OBJECTID_12,OBJECTID,TOTAL_POPU,NAME_1,Total_population,Total_White_alone,Percent_White_alone,Total_Black_or_African_American,Percent_Black_or_African_,Total_American_Indian_and_Alask,Percent_American_Indian_a,Total_Asian_alone,Percent_Asian_alone,Total_Native_Hawaiian_and_Other,Percent_Native_Hawaiian,Shape__Area,Shape__Length
19,610,6595,3198.0,6833.0,4254.0,62.0,685.0,10.0,239.0,3.0,244.0,4.0,0.0,0.0,3619947.015625,7534.24256617881
20,720,5449,3195.0,6392.0,4534.0,71.0,519.0,8.0,153.0,2.0,391.0,6.0,45.0,1.0,3706208.46484375,7703.84966330728
21,723,3173,3199.06,3580.0,2830.0,79.0,271.0,8.0,37.0,1.0,264.0,7.0,0.0,0.0,3648495.11328125,7715.08127817762
22,749,2211,3199.08,2647.0,1557.0,59.0,389.0,15.0,26.0,1.0,157.0,6.0,3.0,0.0,3720902.8046875,7711.28102596511
23,761,4520,3194.03,4833.0,3221.0,67.0,595.0,12.0,179.0,4.0,77.0,2.0,0.0,0.0,3835964.26171875,7834.3095853573
24,763,2472,3199.02,2919.0,1874.0,64.0,344.0,12.0,22.0,1.0,192.0,7.0,83.0,3.0,3729072.87890625,7723.11695345718
25,764,6057,3188.0,7072.0,4912.0,69.0,453.0,6.0,249.0,4.0,530.0,7.0,36.0,1.0,3702531.625,7772.1910699187
26,767,2942,3191.01,3501.0,1600.0,46.0,342.0,10.0,91.0,3.0,1069.0,31.0,0.0,0.0,475847.48828125,3150.59383674467
27,772,6254,3189.0,6825.0,4433.0,65.0,427.0,6.0,226.0,3.0,238.0,3.0,0.0,0.0,3725888.78125,7723.50445209962
28,773,3200,3185.01,3670.0,3029.0,83.0,65.0,2.0,49.0,1.0,203.0,6.0,4.0,0.0,1809508.81640625,6648.91347379941
29,780,5666,3199.03,6431.0,4955.0,77.0,251.0,4.0,21.0,0.0,468.0,7.0,41.0,1.0,3841772.578125,8043.47511555603
30,790,1483,3197.04,1748.0,1261.0,72.0,64.0,4.0,126.0,7.0,178.0,10.0,12.0,1.0,11367528.6796875,15820.7062810399
31,795,2225,3199.07,2126.0,1901.0,89.0,39.0,2.0,45.0,2.0,71.0,3.0,26.0,1.0,3711580.6953125,7713.7518432774
32,797,4865,3199.04,5383.0,4386.0,81.0,168.0,3.0,97.0,2.0,144.0,3.0,42.0,1.0,3735029.75390625,7653.7465119131
33,799,9107,3190.0,8907.0,6794.0,76.0,462.0,5.0,67.0,1.0,734.0,8.0,3.0,0.0,3725393.18359375,7717.02998427301
34,805,2278,3199.09,2477.0,1967.0,79.0,54.0,2.0,20.0,1.0,107.0,4.0,0.0,0.0,3799769.15625,7791.87685989007
35,829,2675,3187.0,3581.0,2694.0,75.0,233.0,7.0,23.0,1.0,367.0,10.0,0.0,0.0,3471579.703125,7636.99775452831
36,904,7023,3200.01,8509.0,3907.0,46.0,1636.0,19.0,495.0,6.0,1445.0,17.0,24.0,0.0,4237206.890625,10359.2774604137
37,59,4806,,,,,,,,,,,,,7854812.8984375,14488.802895723
38,503,4011,3199.01,5196.0,4060.0,78.0,144.0,3.0,94.0,2.0,494.0,10.0,0.0,0.0,9428276.98828125,13575.1598171613
