OBJECTID,CYCLE,ID305B,NAME,LOCATION,MILES,NHD_BASIN,AQUATIC_LIFE,RECREATION,FISH_CONSUMPION,DRINKING_WATER_SUPPLY,Shape__Length
69,2006,CT4600-13_01,Spruce Brook (Berlin)-01,"From mouth at Mattabasset River US to headwaters at confluence of East/West Spruce Brooks, above Lamentation Brook (Lamentation Mountain area).",4.17139252,1080205,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,22024.9532111127
70,2006,CT4600-22_01,Coles Brook-01,"From mouth at Mattabasset River, US to headwaters above Shunpike Road (Route 3) crossing, Cromwell.",3.10039758,1080205,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,16370.1000757138
71,2006,CT4600-26_01,Miner Brook-01,"From mouth at confluence with Mattabasset River, Cromwell/Middletown border, US to headwaters (in marsh just US (south) of Westfield Street crossing, parallel with Route 217), Middletown.",2.92159133,1080205,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,15426.0023463813
72,2006,CT4600-27_01,Willow Brook (Cromwell)-01,"From mouth at confluence with Mattabasset River (DS of Berlin Road (Route 372) crossing, US to headwaters, just US of Coles Road crossing (near junctin of Coles Road and Willow Brook Road), Cromwell.",1.38390649,1080205,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,7307.02619300469
73,2006,CT4600-27_trib_01,East Branch Willow Brook-01,"From mouth at confluence with Willow brook (DS of Evergreen Road crossing), US to headwaters (in marsh US of Route 9 crossing, along west side of Shunpike Road (Route 3) area), Cromwell.",0.76186529,1080205,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,4022.64903718536
74,2006,CT4601-00_01,Belcher Brook-01,"From mouth at Mattabasset River US to source at Silver Lake, Berlin.",3.73666429,1080205,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,19729.5894179363
76,2006,CT4601-01_02,Crooked Brook (Berlin)-02,"From Swede Pond INLET, US to Elton Rd crossing, Berlin.",0.33696964,1080205,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,1779.20000631915
78,2006,CT3800-00_05,Shetucket River-05,"From confluence with Cold Brook (DS of Franklin Mushroom Farm STP from unnamed tributary), US to headwaters at confluence of Natchaug River and Willimantic River.",4.98737363,1100002,Insufficient Information,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,26333.3323362974
82,2006,CT3805-00_02,Little River (Sprague)-02,"From inlet to Versailles Pond (northwest corner of pond),  US to Papermill Pond outlet dam, Sprague.",0.8915302,1100002,Not Supporting,Insufficient Information,Not Supporting,Water Not Classified For Drinking Supply,4707.27876139239
83,2006,CT7000-22_01,Indian River (Westport)-01,"From mouth at Saugatuck River (head of Burritt Cove, Saugatuck River Estuary, just DS of Saugatuck Avenue (Route 136) crossing), US to I95 crossing, Westport.",0.52818811,1100006,Insufficient Information,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,2788.83275552937
84,2006,CT7000-22_02,Indian River (Westport)-02,"From I95 crossing, Westport, US to headwaters (portions of river in concrete channels and pipes), Norwalk. (Segment made from site map, actual hydro must be mapped to confirm underground portions)",0.93803554,1100006,Insufficient Information,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,4952.82769498965
86,2006,CT7105-00_02,Pequonnock River-02,"From inlet to Bunnells (Beardsley Park) Pond (eastern side of Route 8, exit 6 area), Bridgeport, US to Daniels Farm Road crossing (US of Route 25 crossing), Trumbull.",2.92012319,1100006,Not Supporting,Insufficient Information,Fully Supporting,Water Not Classified For Drinking Supply,15418.2504247638
87,2006,CT7105-00_03,Pequonnock River-03,"From Daniels Farm Road crossing (US of Route 25 crossing), Trumbull, US to Monroe Turnpike (Route 111) crossing (near intersection with Route 25), Trumbull.",4.1901587,1100006,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,22124.0366179006
89,2006,CT4601-02_01,Hatchery Brook-01,"From mouth at confluence with Belcher Brook, US to area adjacent to Lions Club Pool (just US of Norton Road crossing), Berlin.",1.87658537,1080205,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,9908.37184760949
91,2006,CT4602-00_01,Willow Brook (New Britain)-01,"From mouth at Mattabasset River, US to outlet of conduit under Buell Street, near intersection with Route 71A (Kensington Ave, east of Hart Park), New Britain.",3.43290077,1080205,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,18125.7161150619
93,2006,CT4603-00_01,Webster Brook-01,"From mouth at Mattabasset River, US to headwaters between Railroad track and Stamm Road, just US of Route 174 crossing, Newington.",3.42065622,1080205,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,18061.0641791975
94,2006,CT4604-00_01,Sawmill Brook (Middletown)-01,"From mouth at Mattabasset River, US to headwater at Atkin Street Pond (Highland Pond) Middletown.",4.17893365,1080205,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,22064.7697131401
96,2006,CT4607-00_02,Coginchaug River-02,"From downstream side of Route 3 crossing, US to downstream side of Route 66 crossing (just US of Veterans Memorial Park), Middletown.",0.74557092,1080205,Insufficient Information,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,3936.61439555968
97,2006,CT4607-00_03,Coginchaug River-03,"From downstream side of Route 66 crossing (just US of Veterans Memorial Park), US to Starr Mill Pond dam, Middletown.",0.60294219,1080205,Insufficient Information,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,3183.53471226127
98,2006,CT4607-00_04,Coginchaug River-04,"From Starr Mill Pond Inlet, US (past Wadsworth Falls) to Strictland Road crossing, Middlefield.",4.19418161,1080205,Insufficient Information,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,22145.2791901713
99,2006,CT4607-00_05,Coginchaug River-05,"From Strictland Road crossing, Middlefield, US to Meeting House Hill Road crossing, Durham.",4.94589706,1080205,Insufficient Information,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,26114.3368228395
100,2006,CT4607-00_06,Coginchaug River-06,"From Meeting House Hill Road crossing, Durham, US to headwaters (US of Route 72 crossing, between Bluff Head and Broomstick Ledges), North Guilford.",3.58610427,1080205,Not Assessed,Not Supporting,Fully Supporting,Not Assessed,18934.6304248159
102,2006,CT4703-01_01,Cabin Brook-01,"From mouth at confluence with Nelkin Brook (in marsh DS of Cabin Road crossing), US under Route 2/Route 11 interchange to confluence with small tributary near exit 20 ramp, Colchester.",1.53054187,1080205,Not Supporting,Insufficient Information,Fully Supporting,Water Not Classified For Drinking Supply,8081.26108091372
112,2006,CT4709-04_02,Pocotopaug Creek-02,"From Old Chestnut Hill Road crossing, East Hamption, US to Pocotopaug Lake outlet dam (just US of Route 66 crossing).",2.66045172,1080205,Not Supporting,Insufficient Information,Fully Supporting,Water Not Classified For Drinking Supply,14047.1849358445
117,2006,CT4300-00_01,Farmington River-01,"From mouth at Connecticut River, US to Rainbow Reservoir dam outlet, Windsor.",8.59017452,1080207,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,45356.1218721598
122,2006,CT4300-48_01,Perkins Brook-01,"From mouth on Farmington River at Rainbow Reservoir, Windsor, US to former Combustion Engineering outfall approximately 50 feet DS of Goodwin Pond outlet.",0.67443906,1080207,Not Supporting,Not Assessed,Not Assessed,Water Not Classified For Drinking Supply,3561.03856104874
123,2006,CT4300-50_01,Rainbow Brook-01,"From mouth at Farmington River (just DS of Island below Rainbow Reservoir Dam), Windsor, US to headwaters, southwest portion of Bradley International Airport, Windsor Locks.",1.7422461,1080207,Not Supporting,Insufficient Information,Fully Supporting,Water Not Classified For Drinking Supply,9199.05953858814
124,2006,CT4300-51_01,Seymour Hollow Brook-01,"From mouth at Farmington River, Windsor (formerly tributary to Rainbow Brook, now channelized to Farmington, Gazetteer # based upon Rainbow Brook), US to headwaters, southest portion of Bradley International Airport, Windsor Locks.",1.36209669,1080207,Not Supporting,Insufficient Information,Fully Supporting,Water Not Classified For Drinking Supply,7191.869887926
125,2006,CT4302-00_01,Mad River (Winchester)-01,"From mouth at Still River, US to Mad River Dam outlet, Winchester.",2.24114291,1080207,Not Supporting,Insufficient Information,Fully Supporting,Water Not Classified For Drinking Supply,11833.234463055
127,2006,CT4302-00_02b,Mad River (Winchester)-02b,"From confluence with  Rugg Brook Reservoir outlet, US to diversion entrance for Rugg Brook Reservoir.",0.63241795,1080207,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,3339.16668720806
131,2006,CT4303-00_02,Still River (Colebrook)-02,"From confluence with Sandy Brook, Colebrook, US to Winchester (Winsted) POTW (east side of Route 8), Winsted.",2.67416639,1080207,Not Supporting,Insufficient Information,Fully Supporting,Water Not Classified For Drinking Supply,14119.5992473535
132,2006,CT4303-00_03,Still River (Winsted)-03,"From Winchester (Winsted) POTW, US to confuence with Mad River (just US of Route 44/183 crossing).",1.67143097,1080207,Not Supporting,Insufficient Information,Fully Supporting,Water Not Classified For Drinking Supply,8825.15605440914
144,2006,CT4308-00_01,"Farmington River, East Branch-01","From mouth at Farmington River mainstem, New Hartford, US to Lake McDonough outlet dam.",1.11345204,1080207,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,5879.02636839156
146,2006,CT4310-00_01,Nepaug River-01,"From mouth at confluence with Farmington River (southwest of Route 202 crossing), US to Nepaug Reservoir outlet dam.",0.89715411,1080207,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,4736.97402015587
151,2006,CT4313-00_02,Poland River-02,"From confluence with Marsh Brook, US to confluence with unnamed brook 4313-03-1, US of Judd Road crossing (paralell with Route 72), Plymouth, CT.",0.70864089,1080207,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,3741.62379877874
152,2006,CT4314-00_01,Coppermine Brook-01,"From mouth at Pequabuck River, US to New Britain drinking water watershed boundary and water diversion (just us of confluence with Polkville Brook), Bristol.",2.43142046,1080207,Insufficient Information,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,12837.8997400497
155,2006,CT4315-00_01,Pequabuck River-01,"From mouth at Farmington River, US to RailRoad crossing (US (south) of Route 72 crossing), Plainville.",5.36601009,1080207,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,28332.531621603
156,2006,CT4315-00_02,Pequabuck River-02,"From RailRoad crossing (US (south) of Route 72 crossing), Plainville, US to Bristol POTW outfall (DS of route 229 crossing), Bristol.",3.37446466,1080207,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,17817.1717587676
157,2006,CT4315-00_03,Pequabuck River-03,"From Bristol POTW outfall (DS of route 229 crossing), US to exit of box culvert, downtown Bristol.",1.23382634,1080207,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,6514.60358536796
158,2006,CT4315-00_04,Pequabuck River-04,"From exit of box culvert, US to entrance of box culvert (entire segment in culvert), center of Bristol.",0.32837807,1080207,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,1733.83600586794
159,2006,CT4315-00_05,Pequabuck River-05,"From entrance to box culvert, center Bristol, US to Plymouth POTW (just DS of Canal Street (Route 72) crossing), Plymouth.",2.70143136,1080207,Insufficient Information,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,14263.5579108044
160,2006,CT4315-00_06,Pequabuck River-06,"From Plymouth POTW (just DS of Canal Street (Route72) crossing), US to headwaters, South of Rocky Road, Harwinton.",5.46334968,1080207,Insufficient Information,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,28846.486678274
190,2006,CT6910-00_02,Branch Brook-02,"From Black Rock Dam outlet (along south side of Route 109), US to Wigwam Reservoir outlet dam, Watertown-Thomaston.",1.905528,1100005,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,10061.1884830366
191,2006,CT6912-00_01,Steele Brook-01,"From mouth at confluence with Naugatuck River (just DS of Route 8 crossing), US to Sherwood Medical (American Home Products) area (site is behind Municipal Stadium parking lot on northend of stadium property), Waterbury.",1.18409513,1100005,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,6252.02227555911
192,2006,CT6912-00_02,Steele Brook-02,"From Sherwood Medical (American Home Products) area (site is behind Municipal Stadium parking lot on northend of stadium property), Waterbury, US to INLET of Heminway Pond (DS of Route 6 crossing, pond included in segment), Watertown.",3.78045068,1100005,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,19960.7793977763
212,2006,CT3700-00_01,Quinebaug River-01,"From mouth at confluence with Shetucket River, at Lisbon/Norwich border, US to Aspinook Pond outlet dam (US of River Road (Route 12) crossing), Lisbon/Griswold border.",7.46313958,1100001,Not Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,39405.376940082
215,2006,CT3700-00_04,Quinebaug River-04,"From confluence with Moosup River (river forms town boundary for Canterbury and Plainfield), US to Putnum POTW (parallel to Kennedy Drive near I-395), Putnam.",17.61443666,1100001,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,93004.2250502574
216,2006,CT3700-00_05,Quinebaug River-05,"From just US of Putnum POTW (just DS of Railroad crossing), US to confluence with French River, Thompson.",3.31565874,1100001,Insufficient Information,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,17506.6778229862
219,2006,CT3708-00_01,Little River (Putnam)-01,"From mouth at confluence with Quinebaug River (just DS of Route 44 crossing), Putnum, US to drinking water watershed boundary (outlet of marsh, parallel to Peake Brook Road, DS of Shepherds Pond), Woodstock (southeast corner).",2.63984428,1100001,Insufficient Information,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,13938.3778102266
222,2006,CT3708-01_02,Muddy Brook (Woodstock)-02,"From Route 197 crossing, US to confluence with Moss Brook (just DS of Route 169 crossing, Sherman corner area), Woodstock.",1.98196872,1100001,Not Supporting,Insufficient Information,Fully Supporting,Fully Supporting,10464.7958244067
224,2006,CT3708-10_01,North Running Brook-01,"From mouth at confluence with Muddy Brook, US to runoff ditch from farm field (300Ft US of farm road crossing) (farm road crossing is 900Ft US of Muddy Brook confluence, farm road is off of Child Hill Road), Woodstock.",0.19458191,1100001,Not Supporting,Insufficient Information,Fully Supporting,Not Assessed,1027.39245974851
228,2006,CT3710-00_02,Mashamoquet Brook-02,"From confluence with Wolf Den Brook (just US of Route 101 crossing), US to Taft Pond outlet dam (US of Taft Pond Road crossing), Pomfret.  Includes diversion to swimming pond in Mashamoquet State Park.",4.36264124,1100001,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,23034.7446982364
233,2006,CT3716-00_01,Broad Brook (Preston)-01,"From mouth at confluence with Quinnebaug River (DS of Old Jewett City Road crossing), at the Preston/Lisbon/Griswold borders, US to Lewis Pond outlet dam (north side of Route 165, near intersection with Lewis Road), Preston.",4.73309424,1100001,Not Supporting,Insufficient Information,Fully Supporting,Water Not Classified For Drinking Supply,24990.7391100142
242,2006,CT3100-19_01,Eagleville Brook-01,"From mouth at entrance to Eagleville Pond (lower eastern corner), US to confluence with Kings (Roberts) Brook (east side of North Eagleville Road), Mansfield.",0.6823782,1100002,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,3602.95698174408
243,2006,CT3100-19_02,Eagleville Brook-02,"From confluence with Kings (Roberts) Brook (east side of North Eagleville Road), US to headwaters near UConn campus (just crossing Stadium Road), Mansfield.",1.67119676,1100002,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,8823.91905380675
248,2006,CT6900-00_04,Naugatuck River-04,"From confluence with Steele Brook (west side of Route 8, at Route 73 connection), Waterbury, US to sewage leak from pipe under river (near old bridge abutment) along Chase River Road, Watertown/Waterbury town border.",1.65367942,1100005,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,8731.42755710053
249,2006,CT6900-00_05,Naugatuck River-05,"From US side of sewage leak from pipe under river (near old bridge abutment) along Chase River Road, Watertown/Waterbury town border, US to confluence with Thomaston WPCF outfall (just US of confuence with Branch Brook), Thomaston.",4.45552308,1100005,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,23525.1606526641
250,2006,CT6900-00_06,Naugatuck River-06,"From confluence with Thomaston WPCF outfall (just US of confuence with Branch Brook), Thomaston, US to confluence with Spruce Brook (west side of Route 8), Litchfield/Harwinton town border.",8.99879661,1100005,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,47513.6466290859
