OBJECTID,SLDLST,GEOID,Centers,Capacity,GrpHmeCnt,FamHmeCnt,LicCenCnt,EarlyHSCnt,CapEarlyHS,GSRPCnt,CapGSRP,HSCnt,CapHS,Shape__Area,Shape__Length
96,96,26096,89,2702,23.0,25.0,41,,,15,785,4.0,232.0,6708743898.72559,378935.528917482
97,97,26097,74,2268,27.0,13.0,34,,,16,654,12.0,417.0,58457446404.0195,1598637.75050622
98,98,26098,118,3504,30.0,41.0,47,,,11,690,5.0,158.0,12604363891.7979,632971.315613606
99,99,26099,86,2946,36.0,20.0,30,1.0,16.0,6,567,2.0,78.0,25470083663.5098,933705.208015802
100,100,26100,81,3745,20.0,21.0,40,4.0,349.0,13,948,8.0,688.0,76444155670.7603,1463030.70506895
101,101,26101,99,2380,28.0,31.0,40,,,17,884,8.0,354.0,165036272034.396,1985095.51970101
102,102,26102,97,2399,25.0,28.0,44,1.0,38.0,19,839,14.0,496.0,38905495524.8164,1335547.51257383
103,103,26103,80,1693,25.0,24.0,31,,,14,624,7.0,219.0,79856692723.7188,1263518.93657212
104,104,26104,118,3629,18.0,52.0,48,1.0,52.0,14,911,7.0,313.0,16777902542.0098,667602.094755671
105,105,26105,109,2773,30.0,38.0,41,1.0,173.0,17,963,14.0,541.0,101973408397.018,1977050.06503293
106,106,26106,94,1533,31.0,35.0,28,,,12,412,11.0,328.0,238511685798.852,2478118.77808718
107,107,26107,122,2495,24.0,44.0,54,5.0,183.0,21,780,18.0,518.0,164478967402.172,2781771.58647452
108,108,26108,79,2143,16.0,26.0,37,3.0,310.0,9,480,7.0,459.0,114741921559.054,1979044.0149871
109,109,26109,79,2102,14.0,27.0,38,1.0,50.0,10,385,8.0,307.0,293269369789.885,3448904.20129719
110,110,26110,70,2463,12.0,23.0,35,8.0,401.0,16,1085,13.0,1062.0,426640042280.723,3615290.68520751
