OBJECTID,CYCLE,ASSESSMENT_UNIT_ID,ASSESSMENT_UNIT_NAME,LOCATION_DESCRIPTION,WATER_TYPE_NAME,WATER_SIZE,UNITS,CLASS_ID,USE_CLASS_NAME,LIS_BASIN,LIS_ZONE,ISLAND,BEACH,CT2020_AQL_Use_USE_NAME,CT2020_REC_Use_USE_NAME,CT2020_FSHCON_Use_USE_NAME,CT2020_SHLFSH_Use_USE_NAME,Impaired,CT2020_AQL_Use_ATTAINMENT,CT2020_REC_Use_ATTAINMENT,CT2020_FSHCON_Use_ATTAINMENT,CT2020_SHLFSH_Use_ATTAINMENT,Shape__Area,Shape__Length
14,2020,CT-W1_006,"LIS WB Inner - Mill River, Fairfield","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from Harbor Road crossing, US to saltwater limit at Sturges Road crossing (includes Mill Pond section of Mill River), Fairfield.",ESTUARY,0.033,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Inner Estuary,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Fully Supporting,Fully Supporting,Not Supporting,Not Supporting,913136.136627197,12504.3614815708
15,2020,CT-W1_010-SB,"LIS WB Inner - Saugatuck River (mouth), Westport","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth of Saugatuck River Estuary (at Bluff Point across to Owenoke), US to RR crossing, DS of I95 crossing (includes Kitts Island, Burritt Cove), Westport.",ESTUARY,0.645,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Western,Inner Estuary,True,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Commercial Shellfish Harvesting Where Authorized,Yes,Fully Supporting,Not Assessed,Insufficient Information,Not Supporting,17969699.022644,40307.273199612
18,2020,CT-W1_021-SB,"LIS WB Inner - Greenwich Harbor, Greenwich","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth of Greenwich Harbor (Round Island to Smith Cove), US to saltwater limit just below I95 (mouth of Horseneck Brook), Greenwich.",ESTUARY,0.104,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Western,Inner Estuary,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Commercial Shellfish Harvesting Where Authorized,Yes,Not Supporting,Fully Supporting,Insufficient Information,Not Supporting,2886952.34597778,13565.6756802289
19,2020,CT-E1_001-SB,"LIS EB Inner - Pawcatuck River (01), Stonington","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary in Pawcatuck River from Stanton Weir Point US to Saltwater limit, parallel to RR and Mechanic Street, Clarks Village, (Stonington).",ESTUARY,0.103,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Eastern,Inner Estuary,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Commercial Shellfish Harvesting Where Authorized,Yes,Not Supporting,Not Supporting,Insufficient Information,Not Supporting,2860400.67095947,18240.6604460157
20,2020,CT-E1_002-SB,"LIS EB Inner - Pawcatuck River (02), Stonington","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary in Pawcatuck River from mouth at Pawcatuck Point, US to Stanton Weir Point.",ESTUARY,0.313,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Eastern,Inner Estuary,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Commercial Shellfish Harvesting Where Authorized,Yes,Not Supporting,Not Supporting,Insufficient Information,Fully Supporting,8720442.76300049,34675.4515805169
21,2020,CT-E1_005,"LIS EB Inner - Inner Stonington Harbor, Stonington","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Inner Stonington Harbor from SB/SA water quality boundary at RR crossing, US to Saltwater limit near Route 1 crossing, Stonington.",ESTUARY,0.226,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Inner Estuary,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Fully Supporting,Not Assessed,Insufficient Information,Not Supporting,6302944.70733643,26569.7945215565
23,2020,CT-W1_004,"LIS WB Inner - Pine Creek, Fairfield","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from mouth at Pine Creek Point, US to saltwater limit at Oldfield Road crossing, Fairfield.",ESTUARY,0.06,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Inner Estuary,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Not Assessed,Insufficient Information,Not Supporting,1675498.77664185,32505.3262816607
24,2020,CT-C2_002,"LIS CB Shore - Westbrook Harbor (West), Westbrook","See Map for Boundaries.  Central portion of LIS from Portside Drive near Patchogue River outlet to Fiske Lane (includes Westbrook Town Beach), out approximately 1000 ft offshore, Westbrook.",ESTUARY,0.231,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Shore,False,True,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Fully Supporting,Insufficient Information,Not Supporting,6430481.45751953,14980.2404509242
25,2020,CT-C2_003,"LIS CB Shore - Clinton Beach, Clinton","See Map for Boundaries.  Central portion of LIS from Kelsey Point to Grove Beach Point area (to Portside Drive, includes Patchogue River outlet), out approximately 1000 ft offshore, Clinton/Westbrook.",ESTUARY,0.516,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Shore,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Not Assessed,Insufficient Information,Not Supporting,14379845.9511719,32526.4247364012
27,2020,CT-W2_013,"LIS WB Shore - Outer Norwalk Harbor(West), Norwalk","See Map for Boundaries.  Western portion of LIS from just west of Hoyt Island to midpoint of outer Norwalk Harbor (includes Hickory Bluff Beach, Hoyt Island, Keyser Point) out approximately 1000 ft offshore, Norwalk.",ESTUARY,0.365,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Shore,True,True,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Supporting,Fully Supporting,Insufficient Information,Not Supporting,10186500.1929626,35295.4720114574
28,2020,CT-C2_005,"LIS CB Shore - Hammonasset Beach, Madison","See Map for Boundaries.  Central portion of LIS from Webster Point to West Rock area (includes Hammonasset State Park Beach), out approximately 1000 ft offshore, Madison.",ESTUARY,0.583,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Shore,False,True,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Fully Supporting,Insufficient Information,Not Supporting,16260349.2566528,45849.5071753142
29,2020,CT-W2_010,"LIS WB Shore - Compo Beach, Cedar Point, Westport","See Map for Boundaries.  Western portion of LIS from Saugatuck Shores area to Compo Cove (includes Compo Beach, Cedar Point, Saugatuck River outlet, Owenoke) out approximately 1000 ft offshore, Westport.",ESTUARY,0.419,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Shore,False,True,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Insufficient Information,Fully Supporting,Insufficient Information,Not Supporting,11674163.291626,25238.8473509162
30,2020,CT-W3_006,"LIS WB Midshore - Sherwood Point, Westport","See Map for Boundaries.  Western portion of LIS from approximately 1000 ft offshore (Saugatuck River mouth, Compo Cove, Sherwood Island Sate Park area), out to 50 ft contour, Westport.",ESTUARY,9.69,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Midshore,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Supporting,Not Assessed,Insufficient Information,Not Supporting,270138236.835632,75378.0956925817
31,2020,CT-C1_017,"LIS CB Inner - Oyster River, Milford","See Map for Boundaries.  Central portion of LIS, Inner Estuary, from mouth at Oyster River Beach (just DS of New Haven Avenue crossing), US to saltwater limit near Woodmont Road, Milford.",ESTUARY,0.012,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Inner Estuary,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Supporting,Not Assessed,Insufficient Information,Not Assessed,345488.811218262,13934.9533915806
32,2020,CT-C1_016,"LIS CB Inner - Cove River, West Haven","See Map for Boundaries.  Central portion of LIS, Inner Estuary, from mouth at West Haven West Beach (just DS of Ocean Avenue crossing), US to saltwater limit near Riverview Terrace, West Haven.",ESTUARY,0.008,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Inner Estuary,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Supporting,Not Assessed,Insufficient Information,Not Assessed,227221.791137695,8911.65684078344
33,2020,CT-E1_012,"LIS EB Inner - Poquonuck River (Mouth), Groton","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Poquonuck River from mouth at Baker Cove (along East of Groton-New London Airport), US to saltwater limit just US of RR crossing, Groton.",ESTUARY,0.367,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Inner Estuary,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Not Assessed,Insufficient Information,Not Supporting,10219890.0625,41045.3933202502
34,2020,CT-E1_013,"LIS EB Inner - Baker Cove, Groton","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Baker cove from Avery Point and tip of Pine Island, to mouth of Poquonuck River (South of Groton-New London Airport), Groton.",ESTUARY,0.314,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Inner Estuary,True,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Not Assessed,Insufficient Information,Not Supporting,8764590.71307373,28487.1170411747
35,2020,CT-E1_015-SB,"LIS EB Inner - Thames River (middle), Ledyard","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Thames River from I95 crossing, US to just below outlet of Poquetanuck Cove (near Walden Island), and adjacent to Route 12 at Cardinal Lane intersection, Ledyard.",ESTUARY,3.316,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Eastern,Inner Estuary,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Commercial Shellfish Harvesting Where Authorized,Yes,Not Supporting,Not Supporting,Insufficient Information,Not Supporting,92442236.0251465,165470.097581137
36,2020,CT-E1_020,"LIS EB Inner - Niantic River (mouth), Niantic","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Niantic River (Inner Niantic Bay) from outlet at Route 156 and RR crossing, US to saltwater limit in Banning Cove (between Route 1 crossing and I95/I395), East Lyme/Waterford.",ESTUARY,1.305,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Inner Estuary,False,True,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Supporting,Not Supporting,Insufficient Information,Not Supporting,36368783.0817871,68748.1940410612
37,2020,CT-C1_019-SB,"LIS CB Inner - Housatonic River (mouth), Milford","See Map for Boundaries.  Central portion of LIS, Inner Estuary, from mouth between Sniffens Point and Milford Point, US to Route 1 crossing (includes Nells Island area, lower Beaver Brook to saltwater limit, Goose Island, Crimbo Point), Milford/Stratford.",ESTUARY,0.805,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Central,Inner Estuary,True,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Commercial Shellfish Harvesting Where Authorized,Yes,Not Supporting,Not Assessed,Insufficient Information,Not Supporting,22445868.1471558,160562.942934892
38,2020,CT-C3_016,LIS CB Midshore - West Haven,"See Map for Boundaries.  Central portion of LIS, SA water from SA/SB water boundary along outer New Haven Harbor, out to 50 ft contour, West Haven.",ESTUARY,6.121,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Midshore,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Supporting,Not Assessed,Insufficient Information,Not Supporting,170639628.623535,58735.5333781603
39,2020,CT-E3_010,LIS EB Midshore - Old Saybrook,"See Map for Boundaries.  Eastern portion of LIS from approximately 1000 ft offshore Guardhous Point, to SB/SA water quality boundary, Old Saybrook (Mouth of Connecticut River), out to 50 ft contour.",ESTUARY,4.409,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Midshore,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Fully Supporting,Not Assessed,Insufficient Information,Not Supporting,122902676.142944,46023.1439721937
40,2020,CT-E3_008,"LIS EB Midshore - Old Lyme, CT River","See Map for Boundaries.  Eastern portion of LIS from SB/SA water quality boundary near CT River mouth to approximately 1000 ft offshore Hatchett Point, Old Lyme, out to 50 ft contour (offshore of Connecticut River).",ESTUARY,3.517,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Midshore,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Fully Supporting,Not Assessed,Insufficient Information,Not Supporting,98059104.4929199,47590.3354094752
41,2020,CT-W1_011,"LIS WB Inner - Saugatuck River, Westport","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from SA/SB water quality line at RR crossing (DS of I95 crossing), US to saltwater limit at Hydraulic Pond outlet Dam, Westport.",ESTUARY,0.189,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Inner Estuary,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Fully Supporting,Not Supporting,Insufficient Information,Not Assessed,5261207.77914429,36982.8585532212
42,2020,CT-W2_024,"LIS WB Shore - Byram Harbor, Greenwich","See Map for Boundaries.  Western portion of LIS from just west of Shore Island to Field Point (includes Shore Island, Rich Island, Farwells Island, Game Cock Island, Byram Harbor) out approximately 1000 ft offshore, Greenwich.",ESTUARY,0.34,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Shore,True,True,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Not Supporting,Insufficient Information,Not Supporting,9466636.36560059,28337.3321484333
46,2020,CT-W2_011,"LIS WB Shore - Canfield Island, Westport","See Map for Boundaries.  Western portion of LIS from just west of Canfield Island to Saugatuck Shores area (includes Canfiled Island, Saugatuck Shores, Seymour Point) out approximately 1000 ft offshore, Westport.",ESTUARY,0.43,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Shore,True,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Not Assessed,Insufficient Information,Not Supporting,11976498.4584656,52718.8457352264
47,2020,CT-W1_001-SB,"LIS WB Inner - Bridgeport Harbor, Bridgeport","See Map for Boundaries.  Western portion of LIS from SA/SB water quality line at mouth at Pleasure Beach area, US to saltwater limit in Pequonnock River and Lewis Gut (includes Yellow Mill Channel, Johnsons Creek, all SB water of Harbor area), Bridgeport.",ESTUARY,1.434,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Western,Inner Estuary,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Commercial Shellfish Harvesting Where Authorized,Yes,Not Supporting,Not Supporting,Insufficient Information,Not Supporting,39982017.949707,199178.427272333
48,2020,CT-W1_018-SB,"LIS WB Inner - Stamford Harbor (Inner), Stamford","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from Cook Road and across to Yacht Club, US to saltwater limit in both the West (Route 137 crossing above I95 crossing) and East (Jefferson Street) Branches of Harbor, Stamford.",ESTUARY,0.318,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Western,Inner Estuary,True,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Commercial Shellfish Harvesting Where Authorized,Yes,Not Supporting,Insufficient Information,Insufficient Information,Not Assessed,8865824.75708008,49916.2431344272
49,2020,CT-W1_009,"LIS WB Inner - Grays Creek, Westport","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth on Saugatuck River Estuary, US to saltwater limit at Compo Road, Westport.",ESTUARY,0.036,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Inner Estuary,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Not Assessed,Insufficient Information,Not Supporting,1006460.25100708,14199.499641636
50,2020,CT-E1_006,"LIS EB Inner - Inner Quiambaug Cove, Stonington","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Inner Quiambaug Cove from RR crossing, US to Saltwater limit, above Route 1 crossing, adjacent to Cove Road, Stonington.",ESTUARY,0.114,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Inner Estuary,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Not Assessed,Insufficient Information,Not Supporting,3165409.62036133,20584.359403294
51,2020,CT-E1_010,"LIS EB Inner - Palmer Cove (Inner), Groton","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Inner Palmer Cove waters from North side of Groton Long Point Road crossing, past RR crossings to saltwater limit, Groton.",ESTUARY,0.113,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Inner Estuary,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Not Assessed,Insufficient Information,Not Supporting,3149840.36657715,17689.4423605944
52,2020,CT-E1_019,"LIS EB Inner - Jordan Cove, Waterford","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Jordan Cove from outlet at Pleasure Beach, US past RR crossing, to Saltwater limit at outlet dam of Jordan Mill Pond, adjacent to Route 156, Waterford.",ESTUARY,0.191,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Inner Estuary,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Not Assessed,Insufficient Information,Not Supporting,5329055.27288818,32641.230842191
53,2020,CT-E1_023,"LIS EB Inner - Fourmile River (mouth), Old Lyme","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Fourmile River from outlet at RR crossing, Western end of Rocky Neck State Park Beach, US to saltwater limit at Route 156 crossing, Old Lyme.",ESTUARY,0.031,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Inner Estuary,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Not Assessed,Not Assessed,Insufficient Information,Not Supporting,864108.868896484,10331.9964637195
54,2020,CT-W1_005,"LIS WB Inner - Southport Harbor, Fairfield","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from mouth parallel to Willow Street, US to Harbor Road crossing, Fairfield.",ESTUARY,0.072,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Inner Estuary,False,False,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Recreation,Fish Consumption,Shellfish Harvesting for Direct Consumption Where Authorized,Yes,Fully Supporting,Not Assessed,Insufficient Information,Not Supporting,2016457.98724365,13931.7434392543
