boro,order_no,main_st,from_st,to_st,sos
B,P-381073  ,EAST TREMONT AVENUE,FRISBY AVENUE,LANE AVENUE,S
B,P-395976  ,EAST TREMONT AVENUE,THIRD AVENUE,LA FONTAINE AVENUE,S
B,P-395977  ,EAST TREMONT AVENUE,LAFONTAINE AVENUE,ARTHUR AVENUE,S
B,P-504694  ,ERICSON PLACE,EAST TREMONT AVENUE,ZULETTE AVENUE,W
B,P-510187  ,EAST  144 STREET,PARK AVENUE,CANAL PLACE,S
B,P-514661  ,WEST  231 STREET,RIVERDALE AVENUE,TIBBETT AVENUE,S
B,P-533571  ,WESTCHESTER AVENUE,MIDDLETOWN ROAD,MULFORD AVENUE,S
B,P-563137  ,GRAND CONCOURSE,BUSH STREET,EAST BURNSIDE AVENUE,E
B,P-594310  ,WHITE PLAINS ROAD,BRADY AVENUE,MARAN PLACE,E
B,P-595219  ,WILLIS AVENUE,EAST  147 STREET,EAST  148 STREET,E
B,P-599131  ,BAINBRIDGE AVENUE,EAST FORDHAM ROAD,COLES LANE,W
B,P-900724  ,EAST  237 STREET,RICHARDSON AVENUE,WHITE PLAINS ROAD,S
B,P-900737  ,EAST  237 STREET,WHITE PLAINS ROAD,FURMAN AVENUE,S
B,P-921789  ,DOCK STREET,WESTCHESTER SQUARE,KIRK STREET,W
B,P-930459  ,WOOD ROAD,WOOD ROAD*E RDWY,WOOD ROAD*E RDWY,E
B,P-930460  ,WOOD ROAD*E RDWY,WOOD ROAD,WOOD ROAD,W
B,P-931742  ,WESTCHESTER SQUARE,WESTCHESTER AVENUE,BENSON STREET,E
B,S-00023120,CONNER STREET,HOLLERS AVENUE,NEW ENGLAND THRUWY SERVICE ROAD,S
B,S-00023123,CARVER LOOP*E LEG,CO-OP CITY BOULEVARD,CARVER LOOP SOUTH,W
B,S-00023125,WEST  174 STREET,POPHAM AVENUE,UNIVERSITY AVENUE,S
B,S-00023127,OSBORNE PLACE,WEST  179 STREET,WEST  180 STREET,E
B,S-00023129,METCALF AVENUE,RANDALL AVENUE,RANDALL AVENUE,W
B,S-00023131,METCALF AVENUE,RANDALL AVENUE,RANDALL AVENUE,E
B,S-00474548,EAST  134 STREET,MAJOR DEEGAN EXPRESSWAY*EXIT,BROOK AVENUE,N
B,S-00474562,HUTCHINSON AVENUE,PINKNEY AVENUE,HOLLERS AVENUE,W
B,S-00474569,JACKSON AVENUE,HOME STREET,BOSTON ROAD,W
B,S-00474586,EAGLE AVENUE,WESTCHESTER AVENUE,EAST  149 STREET,W
B,S-00474597,EAST  223 STREET,BARNES AVENUE,BRONXWOOD AVENUE,S
B,S-00474605,CASTLE HILL AVENUE,GLOVER STREET,PARKER STREET,E
B,S-00474609,WESTCHESTER AVENUE,EDISON AVENUE,CROSBY AVENUE,S
B,S-00474611,PARKER STREET,MACLAY AVENUE,CASTLE HILL AVENUE,E
B,S-00474618,VALENTINE AVENUE,EAST  182 STREET,EAST  181 STREET,W
B,S-00474621,WEEKS AVENUE,EAST  173 STREET,EAST  174 STREET,W
B,S-00474625,HUGHES AVENUE,EAST  191 STREET,EAST FORDHAM ROAD,W
B,S-00474629,CROSS BRONX EXPRESSWAY,CROTONA AVENUE,CLINTON AVENUE,N
B,S-00474632,BRIGGS AVENUE,EAST  196 STREET,EAST  197 STREET,E
B,S-00474642,TELLER AVENUE,EAST  163 STREET,EAST  165 STREET,E
B,S-00474646,JEROME AVENUE,BEDFORD PARK BOULEVARD,EAST  204 STREET,E
B,S-00474649,EAST  153 STREET,COURTLANDT AVENUE,MORRIS AVENUE,S
B,S-00474652,ROCHAMBEAU AVENUE,EAST  206 STREET,BAINBRIDGE AVENUE,E
B,S-00474659,MORRIS AVENUE,EAST  190 STREET,EAST  191 STREET,E
B,S-00474663,MORRIS AVENUE,EAST  190 STREET,EAST  191 STREET,W
B,S-00474668,JEROME AVENUE,WEST TREMONT AVENUE,WEST  177 STREET,W
B,S-00474671,CRESTON AVENUE,EAST  190 STREET,EAST FORDHAM ROAD,E
B,S-00474674,RIDER AVENUE,EAST  140 STREET,EAST  141 STREET,W
B,S-00474678,NETHERLAND AVENUE,WEST  230 STREET,WEST  231 STREET,E
B,S-00474686,PLIMPTON AVENUE,CROSS BRONX EXPRESSWAY,FEATHERBED LANE,E
B,S-00474694,TIBBETT AVENUE,WEST  230 STREET,DEAD END,W
B,S-00474697,WEST  236 STREET,OXFORD AVENUE,CAMBRIDGE AVENUE,S
B,S-00474703,TIFFANY STREET,EAST  163 STREET,WESTCHESTER AVENUE,E
B,S-00474704,EAST  183 STREET,RYER AVENUE,VALENTINE AVENUE,S
B,S-00474705,UNIVERSITY AVENUE,WEST  197 STREET,RESERVOIR AVENUE,E
B,S-00474713,GRAND CONCOURSE*E,EAST  165 STREET,EAST  167 STREET,W
B,S-00474716,GRAND CONCOURSE*E,EAST  167 STREET,EAST  169 STREET,W
B,S-00474720,GRAND CONCOURSE*E,EAST  169 STREET,EAST  170 STREET,W
B,S-00474723,GRAND CONCOURSE*W,EAST  170 STREET,EAST  169 STREET,E
B,S-00474730,GRAND CONCOURSE*W,EAST  169 STREET,EAST  167 STREET,E
B,S-00474733,GRAND CONCOURSE*W,EAST  167 STREET,EAST  165 STREET,E
B,S-00474761,METCALF AVENUE,GLEASON AVENUE,WESTCHESTER AVENUE,E
B,S-00474764,EAST  141 STREET,ST ANNS AVENUE,BROOK AVENUE,S
B,S-00474769,RHINELANDER AVENUE,BOGART AVENUE,RADCLIFF AVENUE,S
B,S-00474772,BRONXDALE AVENUE,VAN NEST AVENUE,MORRIS PARK AVENUE,E
B,S-00474776,UNDERHILL AVENUE,LAFAYETTE AVENUE,STORY AVENUE,E
B,S-00474779,OLMSTEAD AVENUE,QUIMBY AVENUE,BRUCKNER BOULEVARD,E
B,S-00474786,WHITE PLAINS ROAD,EAST TREMONT AVENUE,GUERLAIN STREET,W
B,S-00474806,GRAND CONCOURSE,EAST  153 STREET,EAST  153 STREET,E
B,S-00474814,TIFFANY STREET,EAST  165 STREET,EAST  167 STREET,E
B,S-00474821,COSTER STREET,EAST BAY AVENUE,VIELE AVENUE,W
B,S-00474824,BOSTON ROAD,SECOR AVENUE,MAROLLA PLACE,W
B,S-00474827,WEST FORDHAM ROAD,UNIVERSITY AVENUE,SEDGWICK AVENUE,N
B,S-00474834,MANIDA STREET,VIELE AVENUE,EAST BAY AVENUE,E
B,S-00474840,WEST  254 STREET,SYCAMORE AVENUE,PALISADE AVENUE,N
B,S-00474848,TILDEN STREET,BARNES AVENUE,GUNHILL ROAD,S
B,S-00474889,WEST MT EDEN AVENUE,JEROME AVENUE,MACOMBS ROAD,N
B,S-005160  ,WEST  167 STREET,E L GRANT HIGHWAY,CROMWELL AVENUE,N
B,S-00766907,FINDLAY AVENUE,EAST  170 STREET,EAST  169 STREET,W
B,S-00766909,WALTON AVENUE,TUDOR PLACE,MC CLELLAN STREET,E
B,S-00766910,RIVER AVENUE,EAST  167 STREET,MCCLELLAN STREET,W
B,S-00766911,TUDOR PLACE,WALTON AVENUE,GRAND CONCOURSE,S
B,S-00766912,EAST  168 STREET,WALTON AVENUE,GRANDVIEW PLACE,S
B,S-00766913,EAST  168 STREET,GRANDVIEW PLACE,GRAND CONCOURSE,S
B,S-008083  ,EAST  151 STREET,DEEGAN EXPRESSWAY SR*E,CROMWELL AVENUE,S
B,S-01249571,MONTEREY AVENUE,EAST  180 STREET,DEAD END,E
B,S-01249629,WALLACE AVENUE,PELHAM PARKWAY NORTH,ASTOR AVENUE,E
B,S-01249631,EAST  168 STREET,WEBSTER AVENUE,BROOK AVENUE,S
B,S-01249638,EAST  168 STREET,CLAY AVENUE,WEBSTER AVENUE,S
B,S-01249728,WEST  169 STREET,SHAKESPEARE AVENUE,NELSON AVENUE,N
B,S-01249745,GRAND CONCOURSE,EAST  196 STREET,EAST KINGSBRIDGE ROAD,W
B,S-01249773,LACONIA AVENUE,EAST  224 STREET,EAST  223 STREET,W
B,S-01249775,FENTON AVENUE,LACONIA AVENUE,OAKLEY STREET,S
B,S-01249777,FENTON AVENUE,STICKNEY PLACE,LACONIA AVENUE,N
B,S-01249778,FENTON AVENUE,OAKLEY STREET,STICKNEY PLACE,N
B,S-01249786,WEST  169 STREET,EDWARD L GRANT HIGHWAY,SHAKESPEARE AVENUE,N
B,S-01249803,BRONX RIVER AVENUE,NOBLE AVENUE,ROSEDALE AVENUE,N
B,S-01249931,EAST  166 STREET,SHERIDAN AVENUE,SHERMAN AVENUE,S
B,S-01250080,HUTCHINSON RIVER PARKWAY EAST,HUTCHINSON RIVER PWAY*ENTRANCE,HUTCHINSON RIVER PWAY*EXIT,W
B,S-01250101,CROSS BRONX EXPRESSWAY,ELLIS AVENUE,GLEASON AVENUE,S
B,S-01250199,ST ANNS AVENUE,EAST  158 STREET,EAST  157 STREET,W
B,S-01250223,ARTHUR AVENUE,EAST  180 STREET,EAST  181 STREET,W
B,S-01250232,LAFONTAINE AVENUE,EAST  180 STREET,EAST  179 STREET,W
B,S-01250368,SOUTHERN BOULEVARD,EAST  181 STREET,EAST  180 STREET,W
B,S-01250442,PALMER AVENUE,STILLWELL AVENUE,HUTCHINSON RIVER PARKWAY EAST,E
B,S-01250456,OLMSTEAD AVENUE,SEWARD AVENUE,RANDALL AVENUE,W
B,S-01250461,PUGSLEY AVENUE,RANDALL AVENUE,SEWARD AVENUE,E
B,S-01250471,RANDALL AVENUE,OLMSTEAD AVENUE,PUGSLEY AVENUE,N
B,S-01250477,SEWARD AVENUE,PUGSLEY AVENUE,OLMSTEAD AVENUE,S
B,S-01250572,EAST  168 STREET,GERARD AVENUE,WALTON AVENUE,S
B,S-01250643,EAST  174 STREET,BRYANT AVENUE,VYSE AVENUE,N
B,S-01250666,WHITTIER STREET,HUNTS POINT AVENUE,OAK POINT AVENUE,W
B,S-01250676,WHITTIER STREET,OAK POINT AVENUE,HUNTS POINT AVENUE,E
B,S-01250801,WHITE PLAINS ROAD,LAFAYETTE AVENUE,TURNBULL AVENUE,E
B,S-01250858,SOUTHERN BOULEVARD,EAST FORDHAM ROAD,EAST FORDHAM ROAD,W
B,S-01250938,EAST  167 STREET,INTERVALE AVENUE,REV JAMES A POLITE AVENUE,N
B,S-01251007,WEBSTER AVENUE,PARKSIDE PLACE,PARKSIDE PLACE,W
B,S-01251065,LORING PLACE NORTH,WEST  183 STREET,WEST FORDHAM ROAD,E
B,S-01251067,LORING PLACE NORTH,WEST  183 STREET,WEST FORDHAM ROAD,W
B,S-01251095,HOFFMAN STREET,EAST FORDHAM ROAD,EAST  191 STREET,W
B,S-01251143,EAST  215 STREET,WHITE PLAINS ROAD,HOLLAND AVENUE,S
B,S-01251148,EAST  214 STREET,HOLLAND AVENUE,WHITE PLAINS ROAD,N
B,S-01251219,ARLINGTON AVENUE,INDEPENDENCE AVENUE,WEST  256 STREET,W
B,S-01251235,STRATFORD AVENUE,BRUCKNER BOULEVARD,WATSON AVENUE,W
B,S-01251459,WALNUT AVENUE,EAST  136 STREET,EAST  135 STREET,W
B,S-01251462,MARION AVENUE,EAST  194 STREET,EAST  193 STREET,W
B,S-01251504,KAPPOCK STREET,JOHNSON AVENUE,NETHERLAND AVENUE,E
B,S-01251563,EAST  170 STREET,FINDLAY AVENUE,TELLER AVENUE,S
B,S-01251566,WEST  162 STREET,OGDEN AVENUE,SUMMIT AVENUE,N
B,S-01251568,LAFONTAINE AVENUE,EAST  179 STREET,EAST  178 STREET,E
B,S-01251571,LAFONTAINE AVENUE,EAST  179 STREET,EAST  178 STREET,W
B,S-01251653,TUDOR PLACE,GRAND CONCOURSE,WALTON AVENUE,N
B,S-01251655,EAST  168 STREET,GRAND CONCOURSE,WALTON AVENUE,N
B,S-01251657,SHAKESPEARE AVENUE,WEST  170 STREET,EDWARD L GRANT HIGHWAY,E
B,S-01251658,EAST CLARKE PLACE,WALTON AVENUE,GRAND CONCOURSE,S
B,S-01251688,ST ANNS AVENUE,EAST  141 STREET,ST MARYS STREET,E
B,S-01251767,EAST  179 STREET,PROSPECT AVENUE,CLINTON AVENUE,N
B,S-01251784,EAST  145 STREET,ST ANNS AVENUE,BROOK AVENUE,N
B,S-01251789,RIVER AVENUE,MC CLELLAN STREET,EAST  167 STREET,E
B,S-01252006,MELROSE AVENUE,EAST  160 STREET,EAST  159 STREET,W
B,S-01252031,EAST  154 STREET,MELROSE AVENUE,ELTON AVENUE,N
B,S-01252035,EAST  154 STREET,MELROSE AVENUE,ELTON AVENUE,S
B,S-01252037,EAST  155 STREET,THIRD AVENUE,ELTON AVENUE,S
B,S-01252039,MELROSE AVENUE,EAST  154 STREET,EAST  153 STREET,W
B,S-01252061,WEST BURNSIDE AVENUE,HARRISON AVENUE,UNIVERSITY AVENUE,N
B,S-01252066,WEST BURNSIDE AVENUE,UNIVERSITY AVENUE,HARRISON AVENUE,S
B,S-01252107,TIBBETT AVENUE,COLLEGE ROAD,WEST  246 STREET,W
B,S-01252191,WEST  177 STREET,WEST TREMONT AVENUE,DAVIDSON AVENUE,S
B,S-01252207,RADCLIFF AVENUE,ALLERTON AVENUE,MACE AVENUE,W
B,S-01252218,WESTCHESTER AVENUE,ST ANNS AVENUE,BROOK AVENUE,N
B,S-01252326,EAST  169 STREET,TELLER AVENUE,FINDLAY AVENUE,N
B,S-01252355,EAST  163 STREET,THIRD AVENUE,EAGLE AVENUE,S
B,S-01252373,CLAFLIN AVENUE,WEST  195 STREET,WEST  197 STREET,E
B,S-01252396,TAYLOR AVENUE,MORRIS PARK AVENUE,VAN NEST AVENUE,W
B,S-01252411,FRISBY AVENUE,ZEREGA AVENUE,ROWLAND STREET,S
B,S-01252415,VAN NEST AVENUE,VAN BUREN STREET,ADAMS STREET,S
B,S-01252453,MEAD STREET,UNIONPORT ROAD,GARFIELD STREET,S
B,S-01252624,ALLERTON AVENUE,FENTON AVENUE,EASTCHESTER ROAD,S
B,S-01252633,EAST  224 STREET,LACONIA AVENUE,PAULDING AVENUE,S
B,S-01252697,BRYANT AVENUE,RANDALL AVENUE,HUNT POINT AVENUE,E
B,S-01252700,BRYANT AVENUE,RANDALL AVENUE,HUNT POINT AVENUE,W
B,S-01252703,HUNTS POINT AVENUE,SPOFFORD AVENUE,BRYANT AVENUE,W
B,S-01252795,WARING AVENUE,WILLIAMSBRIDGE ROAD,BRONXWOOD AVENUE,N
B,S-01252797,WARING AVENUE,MATTHEWS AVENUE,BARNES AVENUE,N
B,S-01252810,EAST  140 STREET,GERARD AVENUE,WALTON AVENUE,S
B,S-01252833,ST PAULS PLACE,FULTON AVENUE,CROTONA PLACE,N
B,S-01252845,BOSTON ROAD,CRUGER AVENUE,WARING AVENUE,W
B,S-01253112,MELROSE AVENUE,EAST  150 STREET,EAST  149 STREET,W
B,S-01253124,EAST  168 STREET,RIVER AVENUE,GERARD AVENUE,S
B,S-01253129,MELROSE AVENUE,EAST  151 STREET,EAST  150 STREET,W
B,S-01253207,GRAND CONCOURSE,EAST  162 STREET,EAST  163 STREET,E
B,S-01253291,WEST  246 STREET,PLOUGHMANS BUSH,INDEPENDENCE AVENUE,N
B,S-01253331,GRAND AVENUE,WEST  180 STREET,WEST BURNSIDE AVENUE,W
B,S-01253346,EAST  169 STREET,PARK AVENUE,WEBSTER AVENUE,N
B,S-01253349,CITY ISLAND AVENUE,HORTON STREET,ROCHELLE STREET,W
B,S-01253354,WEST  174 STREET,MACOMBS ROAD,NELSON AVENUE,N
B,S-01253367,EAST  168 STREET,TELLER AVENUE,FINDLAY AVENUE,N
B,S-01253369,EAST  168 STREET,FINDLAY AVENUE,TELLER AVENUE,S
B,S-01253393,WEST  190 STREET,DEVOE TERRACE,UNIVERSITY AVENUE,S
B,S-01253400,WEST  190 STREET,UNIVERSITY AVENUE,WEBB AVENUE,N
B,S-01253406,EAST  181 STREET,BRYANT AVENUE,VYSE AVENUE,N
B,S-01253418,BRYANT AVENUE,BRONX PARK SOUTH,EAST  181 STREET,E
B,S-01253424,WEST  190 STREET,WEBB AVENUE,DEVOE TERRACE,S
B,S-01253430,BRYANT AVENUE,BRONX PARK SOUTH,EAST  181 STREET,W
B,S-01253433,WEBB AVENUE,WEST  190 STREET,DEVOE TERRACE,E
B,S-01253480,BOSTON ROAD,EAST TREMONT AVENUE,EAST  179 STREET,E
B,S-01253597,COURTLANDT AVENUE,EAST  154 STREET,EAST  155 STREET,E
B,S-01253616,HOE AVENUE,JENNINGS STREET,FREEMAN STREET,E
B,S-01253637,NELSON AVENUE,WEST  170 STREET,WEST  169 STREET,W
B,S-01253669,COLLEGE AVENUE,EAST  166 STREET,EAST  167 STREET,W
B,S-01253671,WEST  165 STREET,NELSON AVENUE,OGDEN AVENUE,N
B,S-01253673,WEST  165 STREET,WOODYCREST AVENUE,NELSON AVENUE,N
B,S-01253674,COLLEGE AVENUE,EAST  167 STREET,EAST  168 STREET,E
B,S-01253681,WEST  197 STREET,RESERVOIR AVENUE,GOULDEN AVENUE,S
B,S-01253684,COLLEGE AVENUE,EAST  167 STREET,EAST  168 STREET,W
B,S-01253694,WYATT STREET,MORRIS PARK AVENUE,BRONX PARK AVENUE,N
B,S-01253702,WEST  165 STREET,OGDEN AVENUE,SUMMIT AVENUE,N
B,S-01253759,HENRY HUDSON PARKWAY EAST,WEST  239 STREET,MANH COLLEGE PARKWAY,E
B,S-01253881,ORLOFF AVENUE,VAN CORTLANDT PARK SOUTH,GALE PLACE,W
B,S-01253896,EAST  171 STREET,PARK AVENUE,WASHINGTON AVENUE,S
B,S-01253911,WASHINGTON AVENUE,CLAREMONT PARKWAY,EAST  171 STREET,E
B,S-01253916,EAST  171 STREET,WASHINGTON AVENUE,THIRD AVENUE,S
B,S-01253946,WASHINGTON AVENUE,ST PAULS PLACE,EAST  170 STREET,W
B,S-01253949,WASHINGTON AVENUE,ST PAULS PLACE,EAST  170 STREET,E
B,S-01253958,PARK AVENUE,ST PAULS PLACE,EAST  171 STREET,E
B,S-01253963,PARK AVENUE,EAST  170 STREET,ST PAULS PLACE,E
B,S-01253996,BRUCKNER BOULEVARD,BRYANT AVENUE,FAILE STREET,W
B,S-01254011,BRUCKNER BOULEVARD,FAILE STREET,HOE AVENUE,N
B,S-01254129,PARK AVENUE,EAST  170 STREET,CLAREMONT PARKWAY,W
B,S-01254135,EAST  170 STREET,WEBSTER AVENUE,PARK AVENUE,N
B,S-01254151,EAST  170 STREET,WASHINGTON AVENUE,THIRD AVENUE,S
B,S-01254186,WEST  258 STREET,RIVERDALE AVENUE,DEAD END,S
B,S-01254230,WEST  258 STREET,RIVERDALE AVENUE,DEAD END,N
B,S-01254350,KAPPOCK STREET,HENRY HUDSON PARKWAY*EXIT,KNOLLS CRESCENT,S
B,S-01254355,NETHERLAND AVENUE,WEST  227 STREET,KAPPOCK STREET,W
B,S-01254394,CRESTON AVENUE,EAST  184 STREET,FIELD PLACE,E
B,S-01254396,FIELD PLACE,MORRIS AVENUE,CRESTON AVENUE,S
B,S-01254399,CRESTON AVENUE,FIELD PLACE,EAST  183 STREET,E
B,S-01254433,TIFFANY STREET,LAFAYETTE AVENUE,GARRISON AVENUE,E
B,S-01254437,BARNES AVENUE,EAST  225 STREET,EAST  226 STREET,W
B,S-01254446,BARNES AVENUE,EAST  226 STREET,EAST  227 STREET,E
B,S-01254449,EAST  226 STREET,WHITE PLAINS ROAD,CARPENTER AVENUE,S
B,S-01254469,EAST  225 STREET,WHITE PLAINS ROAD,BARNES AVENUE,N
B,S-01254663,NELSON AVENUE,WEST  165 STREET,WEST  164 STREET,E
B,S-01254666,ADEE AVENUE,WHITE PLAINS ROAD,OLINVILLE AVENUE,N
B,S-01254669,ADEE AVENUE,OLINVILLE AVENUE,BARKER AVENUE,N
B,S-01254673,ADEE AVENUE,BARKER AVENUE,BRONX PARK EAST,N
B,S-01254685,WHITTIER STREET,SPOFFORD AVENUE,RANDALL AVENUE,W
B,S-01254715,RANDALL AVENUE,WHITTIER STREET,HUNTS POINT AVENUE,N
B,S-01254718,EAST  184 STREET,WALTON AVENUE,JEROME AVENUE,N
B,S-01254770,ALDUS STREET,FAILE STREET,BRYANT AVENUE,N
B,S-01254772,ALDUS STREET,FAILE STREET,BRYANT AVENUE,S
B,S-01255001,TRUXTON STREET,EAST  156 STREET,GRINNELL PLACE,W
B,S-01255020,TRUXTON STREET,GRINNELL PLACE,LEGGETT AVENUE,W
B,S-01255034,BURNET PLACE,TIFFANY STREET,BARRY STREET,E
B,S-01255067,WALES AVENUE,EAST  150 STREET,EAST  149 STREET,W
B,S-01255117,ADAMS STREET,VAN NEST AVENUE,MORRIS PARK AVENUE,E
B,S-01255395,WILLIS AVENUE*W RDWY,EAST  147 STREET,THIRD AVENUE,E
B,S-01255423,WILLIS AVENUE,EAST  148 STREET,EAST  149 STREET,W
B,S-01255451,BRYANT AVENUE,FREEMAN STREET,HOME STREET,W
B,S-01255453,HOME STREET,WEST FARMS ROAD,BRYANT AVENUE,S
B,S-01255457,BRYANT AVENUE,HOME STREET,WEST FARMS ROAD,W
B,S-01255465,WHITTIER STREET,BRUCKNER BOULEVARD,GARRISON AVENUE,E
B,S-01255474,WHITTIER STREET,BRUCKNER BOULEVARD,GARRISON AVENUE,W
B,S-01255663,MT EDEN PARKWAY*N RDWY,WEEKS AVENUE,EASTBURN AVENUE,N
B,S-01255667,LOCUST AVENUE,EAST  139 STREET,EAST  138 STREET,W
B,S-01255669,VIRGINIA AVENUE,ELLIS AVENUE,NEWBOLD AVENUE,E
B,S-01255675,LOCUST AVENUE,EAST  134 STREET,EAST  133 STREET,W
B,S-01255697,WALNUT AVENUE,EAST  134 STREET,EAST  133 STREET,W
B,S-01255705,EAST  133 STREET,LOCUST AVENUE,WALNUT AVENUE,N
B,S-01255730,WILLOW AVENUE,EAST  133 STREET,EAST  132 STREET,E
B,S-01255739,WILLOW AVENUE,EAST  133 STREET,EAST  132 STREET,W
B,S-01255829,TIMPSON PLACE,EAST  147 STREET,EAST  145 STREET,W
B,S-01255979,BRUCKNER BOULEVARD*W S/R,BRUCKNER EXPRESSWAY ENTRANCE SB,JARVIS AVENUE,E
B,S-01256001,EAST  144 STREET,TIMPSON PLACE,SOUTHERN BOULEVARD,N
B,S-01256009,CONCORD AVENUE,EAST  147 STREET,EAST  149 STREET,E
B,S-01256011,EAST  143 STREET,EAST  144 STREET,MORRIS AVENUE,S
B,S-01256018,WHITE PLAINS ROAD,RANDALL AVENUE,SEWARD AVENUE,E
B,S-01256022,WHITE PLAINS ROAD,SEWARD AVENUE,LAFAYETTE AVENUE,E
B,S-01256109,EAST  187 STREET,TIEBOUT AVENUE,VALENTINE AVENUE,N
B,S-01256255,EAST  187 STREET,TIEBOUT AVENUE,VALENTINE AVENUE,S
B,S-01256374,GRAND CONCOURSE,EAST  151 STREET,EAST  150 STREET,W
B,S-01256402,EAST  144 STREET,BRUCKNER BOULEVARD,AUSTIN PLACE,N
B,S-01256409,TIMPSON PLACE,EAST  145 STREET,EAST  144 STREET,W
B,S-01256449,EAST TREMONT AVENUE,LAWTON AVENUE,MILES AVENUE,E
B,S-01256451,EAST  144 STREET,JACKSON AVENUE,CONCORD AVENUE,S
B,S-01256611,CARPENTER AVENUE,EAST  226 STREET,EAST  225 STREET,E
B,S-01256632,EAST  160 STREET,UNION AVENUE,TINTON AVENUE,S
B,S-01256777,WEST  230 STREET,KINGSBRIDGE AVENUE,CORLEAR AVENUE,N
B,S-01256852,EAST  134 STREET,WILLOW AVENUE,WALNUT AVENUE,S
B,S-01256873,EAST  134 STREET,ALEXANDER AVENUE,MAJOR DEEGAN EXPRESS*EXT RAMP,N
B,S-01256878,EAST  134 STREET,MAJOR DEEGAN EXPRESS*EXT RAMP,WILLIS AVENUE,N
B,S-01256879,EAST  134 STREET,ALEXANDER AVENUE,WILLIS AVENUE,S
B,S-01256886,EAST  132 STREET,LOCUST AVENUE,DEAD END,S
B,S-01256979,BRUCKNER BOULEVARD,TIFFANY STREET,LONGWOOD AVENUE,W
B,S-01256984,BRONX BOULEVARD,EAST  228 STREET,EAST  229 STREET,E
B,S-01256992,EAST  133 STREET,CYPRESS AVENUE,WILLOW AVENUE,S
B,S-01256997,EAST  133 STREET,BRUCKNER BOULEVARD,WILLOW AVENUE,N
B,S-01256998,BRUCKNER BOULEVARD,EAST  140 STREET,EAST  141 STREET,E
B,S-01257000,BRUCKNER BOULEVARD,EAST  133 STREET,EAST  134 STREET,E
B,S-01257005,BRUCKNER BOULEVARD,EAST  134 STREET,EAST  135 STREET,E
B,S-01257008,BRUCKNER BOULEVARD,EAST  135 STREET,EAST  136 STREET,E
B,S-01257009,BRUCKNER BOULEVARD,EAST  136 STREET,EAST  137 STREET,E
B,S-01257011,BRUCKNER BOULEVARD,EAST  137 STREET,EAST  138 STREET,E
B,S-01257014,BRUCKNER BOULEVARD*N RDWY,EAST  138 STREET,EAST  139 STREET,E
B,S-01257017,BRUCKNER BOULEVARD*N RDWY,EAST  139 STREET,EAST  140 STREET,E
B,S-01257025,EAST  158 STREET,PARK AVENUE,CONCOURSE VILLAGE EAST,N
B,S-01257029,EAST  158 STREET,PARK AVENUE,CONCOURSE VILLAGE EAST,S
B,S-01257030,EAST  160 STREET,PROSPECT AVENUE,UNION AVENUE,N
B,S-01257035,EAST  160 STREET,TRINITY AVENUE,CAULDWELL AVENUE,N
B,S-01257038,EAST  160 STREET,JACKSON AVENUE,TRINITY AVENUE,S
B,S-01257039,EAST  160 STREET,JACKSON AVENUE,TRINITY AVENUE,N
B,S-01257045,EAST  160 STREET,TRINITY AVENUE,CAULDWELL AVENUE,S
B,S-01257049,EAST  160 STREET,FOREST AVENUE,JACKSON AVENUE,S
B,S-01257050,EAST  160 STREET,FOREST AVENUE,JACKSON AVENUE,N
B,S-01257052,EAST  159 STREET,SAINT ANNS AVENUE,BROOK AVENUE,N
B,S-01257053,EAST  159 STREET,SAINT ANNS AVENUE,BROOK AVENUE,S
B,S-01257058,EAST  161 STREET,SAINT ANNS AVENUE,CAULDWELL AVENUE,N
B,S-01257065,EAST  161 STREET,SAINT ANNS AVENUE,CAULDWELL AVENUE,S
B,S-01257067,BRUCKNER BOULEVARD,BROWN PLACE,BROOK AVENUE,N
B,S-01257078,BRUCKNER BOULEVARD,BROOK AVENUE,SAINT ANNS AVENUE,N
B,S-01257081,BRUCKNER BOULEVARD,EAST  139 STREET,EAST  140 STREET,W
B,S-01257082,BRUCKNER BOULEVARD*W RDWY,JACKSON AVENUE,EAST  137 STREET,W
B,S-01257089,BRUCKNER BOULEVARD,EAST  137 STREET,EAST  136 STREET,W
B,S-01257092,BRUCKNER BOULEVARD,LINCOLN AVENUE,ALEXANDER AVENUE,S
B,S-01257094,BRUCKNER BOULEVARD,EAST  149 STREET,EAST  144 STREET,W
B,S-01257095,BRUCKNER BOULEVARD,EAST  138 STREET,JACKSON AVENUE,W
B,S-01257096,BRUCKNER BOULEVARD,WALES AVENUE,EAST  140 STREET,W
B,S-01257135,WEST FARMS ROAD,FREEMAN STREET,BOONE AVENUE,E
B,S-01257139,FAILE STREET,BRUCKNER BOULEVARD,ALDUS STREET,W
B,S-01257148,BRUCKNER BOULEVARD,WALES AVENUE,EAST  141 STREET,W
B,S-01257149,BRUCKNER BOULEVARD*S RDWY,EAST  141 STREET,WALES AVENUE,W
B,S-01257152,BRUCKNER BOULEVARD,EAST  144 STREET,EAST  142 STREET,W
B,S-01257161,BRUCKNER BOULEVARD,EAST  141 STREET,SOUTHERN BOULEVARD,W
B,S-01257163,BRUCKNER BOULEVARD,SOUTHERN BOULEVARD,EAST  141 STREET,N
B,S-01257168,BRUCKNER BOULEVARD,EAST  142 STREET,SOUTHERN BOULEVARD,W
B,S-01257169,EAST  132 STREET,WILLOW AVENUE,CYPRESS AVENUE,N
