X,Y,SiteNumber,Land_Use_Restriction,SiteName,Address,Town,Priority,Staff,ClosureDate,SiteStatus,BrownfieldStatus,Source_Of_Contamination,Contaminants,DocLink,LatY,LongX,ArcGeometry
540166.483185738,227876.27130724,911178,No,Lyndon Town Garage,Rt 114,Lyndon,MED,Lynda Provencher,,Brownfields,,UST-Gasoline,,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=911178,44.5500175431,-71.9944605352,
443555.956472419,221063.122259153,931359,No,Former Gracie Roofing,87-111 Archibald St,Burlington,LOW,Richard Spiese,,Brownfields,Active,Other,,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=931359,44.4876041057,-73.2096133378,
459347.262234878,87379.4509883116,931396,No,North Dorset Gas,5279 Rt 7,Dorset,LOW,Matthew Becker,01/13/2020,Brownfields,Completed,UST-Gasoline,Gasoline,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=931396,43.2855315138,-73.0008598551,
442232.077001904,220685.803877877,941585,Yes,North 40 Urban Reserve,C V R Northern Properties,Burlington,LOW,Matthew Becker,,Brownfields,Completed,Above Ground Storage Tank,"Diesel, Gasoline, Heating Oil, Kerosene, Waste Oil",https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=941585,44.4840979165,-73.2262218424,
446997.41996644,167318.503330137,951783,No,Pecks Rental Realty,112 Creek Rd,Middlebury,LOW,Rob Farley,,Brownfields,Completed,UST-Heating Oil,Heating Oil,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=951783,44.0042088877965,-73.1609127624217,
460724.591660507,123101.557775181,951900,Yes,H-our Mart Inc,257-263 West St,Rutland City,LOW,Caitlyn Bain,,Brownfields,Completed,"Above Ground Storage Tank, UST-Gasoline","Gasoline, PAH",https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=951900,43.607141947,-72.9865050808,
455126.829908549,75085.2494758118,962033,No,Manchester Police Fire And Rescue,301-341 Depot Street,Manchester,SMAC,Caitlyn Bain,05/01/1997,Brownfields,,"UST-Diesel, UST-Heating Oil",Heating Oil,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=962033,43.1745946057,-73.0519107925,
462439.694680296,123736.137580658,972194,Yes,Fillipo Dry Cleaners,84 Woodstock Avenue,Rutland City,LOW,Matthew Becker,,Brownfields,Completed,"Dry Cleaners, Spill",Chlorinated Solvents,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=972194,43.6128855826,-72.9653492167,
502622.018859997,106933.228706543,982443,Yes,Mt. Ascutney Maintenance Garage/Ski Area,Route 44,West Windsor,LOW,Matt Moran,,Brownfields,Completed,"Above Ground Storage Tank, UST-Diesel",Diesel,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=982443,43.4626452841959,-72.467561503816,
502622.018859997,106933.228706543,982443,Yes,Mt. Ascutney Maintenance Garage/Ski Area,Route 44,West Windsor,LOW,Matt Moran,,Brownfields,Completed,"Above Ground Storage Tank, UST-Diesel",Diesel,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=982443,43.4626452841959,-72.467561503816,
503138.870835729,227430.482898586,982450,No,Abandoned Tank,Route 15,Wolcott,SMAC,Patricia Coppolino,01/30/2006,Brownfields,,UST-Gasoline,,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=982450,44.5471333358,-72.4604667691,
443697.605044227,123122.895396177,982567,No,Goddard Transportation,Route 4A,Castleton,SMAC,Gerold Noyes,08/21/2000,Brownfields,Completed,"Floor drain/Dry well, UST-Heating Oil",Heating Oil,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=982567,43.6061929188,-73.1974439755,
498278.992848217,52975.0498355515,992607,Yes,Basketville,Rt 5,Putney,SMAC,Mike Young,08/10/1999,Brownfields,Active,UST-Heating Oil,PAH,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=992607,42.9768645005,-72.5210673548,
514915.99014111,128036.03916253,20002770,Yes,Hartford Oil Company,90 Prospect Street,Hartford,LOW,Gerold Noyes,,Brownfields,,"Above Ground Storage Tank, Free Product Present","Diesel, Gasoline, Heating Oil",https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20002770,43.6523702962,-72.3151325831,
504531.766722865,70595.1887277941,20002836,Yes,Waypoint Center,17 Depot Street   Bellows Fall,Rockingham,SMAC,Hugo Martinez Cazon,03/10/2005,Brownfields,Completed,Other,Chlorinated Solvents,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20002836,43.1354984484,-72.4443181359,
486453.872921828,277382.908583804,20002839,No,Sweat Comings,Main St,Richford,LOW,Matthew Becker,,Brownfields,Completed,UST-Gasoline,Gasoline,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20002839,44.9964605423,-72.6718451819,
,,20012908,Yes,Former American Legion Bldg,154 Creek Rd,Middlebury,SMAC,Matthew Becker,07/13/2011,Brownfields,Completed,UST-Heating Oil,Heating Oil,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20012908,,,
504637.752075871,70273.0948910397,20022989,No,TLR Complex,"1 Mill St,  Bellows Falls",Rockingham,MED,Lynda Provencher,,Brownfields,Active,Unknown,"Chlorinated Solvents, Other Metals, PAH",https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20022989,43.1326402207,-72.4429931706,
495071.513538906,39035.1697794654,20033084,Yes,Bradley Lot / Bushnell Block,177 Flat Street,Brattleboro,SMAC,Hugo Martinez Cazon,02/25/2003,Brownfields,Active,Manufacturing,,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20033084,42.8514468498,-72.5603169127,
514658.648396922,127668.834268243,20033177,No,Twin State Fruit,25 Railroad Row,Hartford,SMAC,Hugo Martinez Cazon,06/06/2005,Brownfields,Active,UST-Diesel,"Chlorinated Solvents, Diesel",https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20033177,43.6491176635,-72.3182913202,
443829.075756181,43884.0424944576,20043196,No,U S Tsubaki,222 Bowen Rd,Bennington,COC,Patricia Coppolino,12/01/2004,Brownfields,Active,Unknown,,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20043196,42.8929654388,-73.1877245621,
494202.242225627,194875.276972725,20043267,Yes,Salt Shed - Montpelier,575 Stonecutters Way,Montpelier,SMAC,Matthew Becker,12/28/2011,Brownfields,Completed,Other,"PAH, PCB",https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20043267,44.2541338204,-72.5726314566,
494154.365715026,194919.76480773,20043268,Yes,Turntable Park-Montpelier,555 Stone Cutters Way,Montpelier,SMAC,Matthew Becker,08/21/2013,Brownfields,Completed,Spill,"Chlorinated Solvents, Other Metals, PAH",https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20043268,44.2545391985631,-72.5731711522009,
504426.022122481,70561.7918341719,20043287,Yes,Boccelli Property,46 Canal St,Rockingham,SMAC,Hugo Martinez Cazon,07/11/2007,Brownfields,Completed,"Free Product Present, UST-Gasoline","Chlorinated Solvents, Gasoline, Other Metals",https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20043287,43.1351835487,-72.4456293239,
494523.584770202,38646.7831502435,20053351,Yes,Estey Organ,116 Birge Street,Brattleboro,LOW,Kristi Herzer,,Brownfields,Active,Manufacturing,"Other Metals, PAH",https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20053351,42.8479489481,-72.5670264341,
442389.205521329,220462.157039725,20053357,No,Moran Plant,Lake St,Burlington,LOW,Matthew Becker,,Brownfields,Completed,Manufacturing,"Arsenic, Chlorinated Solvents, PAH",https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20053357,44.4820721842,-73.2241632685,
520292.605804826,147937.842854275,20053374,No,Thetford Town Garage,Route 113,Thetford,LOW,Matthew Becker,,Brownfields,Completed,Floor drain/Dry well,PAH,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20053374,43.8313504233,-72.2477297994,
453660.080302065,256699.398375781,20053412,Yes,Leader Evaporator,25 Stowell Street,Saint Albans City,SMAC,Matthew Becker,07/17/2008,Brownfields,Completed,Unknown,"Lead, Other Petroleum, PAH",https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20053412,44.8089997619,-73.0858388979,
453636.508865371,256721.794244264,20053413,Yes,Lewis Auto Body,22 Stebbins Street,Saint Albans City,SMAC,Matthew Becker,11/27/2006,Brownfields,,"Floor drain/Dry well, Unknown","Lead, Other SVOCs",https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20053413,44.8091974135706,-73.0860563920654,
451697.363090404,268149.261166133,20053420,Yes,Litchfield Property,134 Grand Avenue,Swanton,SMAC,Matthew Becker,05/03/2006,Brownfields,,UST-Gasoline,Gasoline,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20053420,44.911918139,-73.1116716669,
486139.11604915,237323.122561306,20053458,Yes,VEC,182 School Street,Johnson,COC,Kimberly Caldwell,01/05/2011,Brownfields,Active,"Other, Spill","PAH, PCB",https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20053458,44.6359650062,-72.674746515,
486139.11604915,237323.122561306,20053458,Yes,VEC,182 School Street,Johnson,COC,Kimberly Caldwell,01/05/2011,Brownfields,Active,"Other, Spill","PAH, PCB",https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20053458,44.6359650062,-72.674746515,
437881.694027884,121085.368545739,20053461,Yes,Burke Auto,26 Prospect St,Fair Haven,SMAC,Matthew Becker,08/11/2006,Brownfields,Completed,"UST-Diesel, UST-Gasoline, UST-Kerosene","Diesel, Gasoline, Kerosene",https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20053461,43.5874443889,-73.2692120977,
514472.112529257,128123.946715792,20063470,No,Former Parkway Drycleaners,18 Union Street,Hartford,HIGH,Grahame Bradley,,Brownfields,Active,Other,Chlorinated Solvents,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20063470,43.6531707816,-72.3206191505,
493858.49042633,35270.3424211153,20063505,No,Guilford Sewer Line,Route 5/Mill Road,Guilford,SMAC,Tami Wuestenberg,03/22/2006,Brownfields,Active,Unknown,Gasoline,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20063505,42.8175106968446,-72.5750927211341,
440639.127155553,223967.293906707,20063540,No,Gosse Court Armory,126 Gosse Court,Burlington,SMAC,Hugo Martinez Cazon,10/25/2006,Brownfields,Active,Other,Other Metals,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20063540,44.5134704462,-73.2466356986,
488752.862885144,97921.0021324601,20063567,Yes,Cavendish Village Site,Route 131,Cavendish,SMAC,Kimberly Caldwell,07/29/2008,Brownfields,,Unknown,PAH,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20063567,43.3813749744,-72.6387588826,
502223.763181459,87557.9295516086,20063608,Yes,Lucas Industries,201 Clinton Street,Springfield,COC,Kimberly Caldwell,12/05/2008,Brownfields,Active,Coal Tar,Coal Tar,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20063608,43.2881943288,-72.4725669199,
494646.072176472,38491.1666471862,20063618,Yes,Basketville - Brattleboro,34-68 Birge Street,Brattleboro,MED,Rob Farley,07/02/2008,Brownfields,Active,"Other, UST-Heating Oil","Chlorinated Solvents, Other Metals, PAH",https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20063618,42.8465297033,-72.5655326051,
443849.134807536,43339.514972307,20073684,Yes,JARD/BCIC,Bowen Road,Bennington,COC,Patricia Coppolino,09/16/2008,Brownfields,Active,Unknown,"Lead, Other Metals, PAH",https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20073684,42.8880974046,-73.1873720029,
441887.87417496,67297.2725777823,20073687,No,PS Service Station,3871 ROUTE 313 W,Arlington,LOW,Matthew Becker,,Brownfields,Completed,"Spill, Waste Oil","PAH, Waste Oil",https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20073687,43.1035570487821,-73.2138969867287,
461539.19213326,125774.45906505,20073732,Yes,Butterfield Property,300 Route 7 North,Rutland Town,COC,Matthew Becker,11/15/2007,Brownfields,Completed,Unknown,Lead,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20073732,43.6311876453,-72.9766404956,
498213.914587295,53652.7055126784,20073737,Yes,Wilson Wetland,Sand Hill Road,Putney,LOW,Rob Farley,,Brownfields,Active,UST-Heating Oil,,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20073737,42.9830031894,-72.5219446105,
475769.682545786,266946.198645416,20083760,Yes,Enosburg Diesel #1 Building,18 Duffy Hill Road,Enosburgh,SMAC,Matthew Becker,01/04/2012,Brownfields,Completed,UST-Diesel,,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20083760,44.902255845,-72.8067790269,
457900.874816888,161651.15394444,20083765,Yes,Silver Towers Camp,56 Silver Towers Road,Ripton,SMAC,Matthew Becker,11/14/2013,Brownfields,Completed,UST-Heating Oil,Heating Oil,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20083765,43.9538611226,-73.0244882093,
,,20083806,No,Morrisville Tannery,,--,NFRAP,Patricia Coppolino,,Brownfields - RELEASE NOT IDENTIFIED,Active,,,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20083806,,,
439479.556459813,185351.061732988,20083809,Yes,Haviland Shade Roller Mill and Annex,1-2 Canal St,Vergennes,LOW,Matthew Becker,,Brownfields,Completed,"Manufacturing, Spill","Chlorinated Solvents, Other Metals, Other Petroleum, PAH, PCB",https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20083809,44.1658686029,-73.2567282658,
461418.812850036,123086.417546861,20083813,Yes,Berwick Hotel Site & Rutland Herald,Center & Wales,Rutland City,LOW,Kristi Herzer,,Brownfields,Active,Spill,"Lead, Manganese, Other Metals, Other Petroleum",https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20083813,43.6070038802,-72.977925529,
453709.783426535,257010.204113327,20083815,Yes,Brickyard Tavern Building,29-33 Federal Street,--,COC,Matthew Becker,07/13/2011,Brownfields,Completed,"UST-Gasoline, UST-Heating Oil",,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20083815,44.8118450569,-73.0852156393,
471927.313864682,179510.194335331,20083816,Yes,Warren Town Garage,School Road,Warren,SMAC,Matthew Becker,08/14/2013,Brownfields - RELEASE NOT IDENTIFIED,Completed,,,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20083816,44.1153294427,-72.850729927,
438134.295400313,121327.477438136,20083817,No,Outlet Property,Prospect and Adams,Fair Haven,NFAP,Matthew Becker,07/15/2008,Brownfields - RELEASE NOT IDENTIFIED,Completed,,,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20083817,43.5896106338,-73.2661103664,
472470.478859588,179230.121165266,20083819,Yes,Warren Dump,450 Dump Rd,Warren,NFAP,Matthew Becker,10/07/2013,Brownfields - RELEASE NOT IDENTIFIED,Completed,Other,,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20083819,44.1128401625,-72.8438630061,
498881.149942004,189583.841840377,20083890,Yes,10 West Second Street,10 West Second Street,Barre City,COC,Matthew Becker,12/07/2012,Brownfields,Completed,Manufacturing,PAH,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20083890,44.2065163923,-72.5139752174,
499520.486822217,188761.533627187,20093892,Yes,Former Twin Cities Custom Sandblast,32 Granite Street,Barre City,COC,Matthew Becker,07/22/2010,Brownfields,Completed,"Manufacturing, UST-Heating Oil","Heating Oil, PAH",https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20093892,44.1990792193,-72.5060128606,
514415.715972272,128090.4944533,20093903,No,Nitzel,357 Maple Street,Hartford,NFAP,Patricia Coppolino,,Brownfields - RELEASE NOT IDENTIFIED,,,,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20093903,43.6529066517,-72.3212544856,
493659.848192916,195553.570663271,20093905,Yes,State of Vermont Land on Taylor Street,,Montpelier,NFAP,Matthew Becker,02/06/2009,Brownfields,Completed,Other,"Arsenic, PAH",https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20093905,44.2601626258,-72.5794220124,
502174.952060173,87924.5252743211,20093906,Yes,Edgar May Health and Recreation Center,140 Clinton Street,Springfield,MED,Kimberly Caldwell,,Brownfields,Active,"Manufacturing, Spill","Other Metals, PAH, PCB",https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20093906,43.2914530329,-72.4732293078,
501101.857778601,196706.17671385,20093978,Yes,3030 US Route 2,,East Montpelier,COC,Matthew Becker,11/13/2009,Brownfields,Completed,Unknown,,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20093978,44.2706156392,-72.4862461341,
514899.781956023,128069.333691961,20094011,Yes,Prospect Street,Prospect Street,Hartford,LOW,Matthew Becker,05/02/2022,Brownfields,,"Above Ground Storage Tank, Free Product Present, Manufacturing, Unknown","Arsenic, Gasoline, Lead, Other Petroleum, PAH",https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20094011,43.6527272018,-72.3152509434,
493589.663467452,36392.5496558586,20104018,Yes,Omega Drive Lots2/3,Omega Drive,Brattleboro,SMAC,Hugo Martinez Cazon,03/15/2011,Brownfields,,Dump/Landfill,,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20104018,42.8275568043,-72.5784330885,
451424.899939383,221277.397256896,20104037,Yes,3 Maple Street,3 Maple Street,Essex,MED,Kassandra Kimmey,,Brownfields,,Unknown,,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20104037,44.4901423037,-73.1107074598,
499424.567222473,188783.763762327,20104038,Yes,Gable Place,"10,11-15,19, 22 Gable Place",Barre City,COC,Matthew Becker,08/05/2010,Brownfields,Completed,"Floor drain/Dry well, Unknown","Lead, Other Petroleum, PAH",https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20104038,44.1992537355,-72.5071998074,
442819.836900979,42359.2531122046,20104061,Yes,Alcaro Motors,239 MAIN ST,Bennington,COC,Matthew Becker,07/09/2015,Brownfields,Completed,"Other, UST-Gasoline","Gasoline, PAH",https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20104061,42.8791969338673,-73.1998826908073,
456818.120844989,129525.279622026,20104117,Yes,Former Vermont Marble Facility,52 Main Street,Proctor,NFAP,Kristi Herzer,10/25/2010,Brownfields,Completed,,,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20104117,43.6646930346187,-73.0354078499024,
503290.030100655,227074.977158276,20114159,Yes,47 Railroad Street,47 Railroad Street,Wolcott,SMAC,Matthew Becker,10/07/2013,Brownfields,Completed,Unknown,"Chlorinated Solvents, Lead, PAH",https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20114159,44.5439261686073,-72.4585650325409,
456696.49322861,129426.069540614,20114161,Yes,OMYA Parcel 5B,60 North Street,Proctor,LOW,Matthew Becker,,Brownfields,Completed,"Spill, UST-Gasoline","Gasoline, PCB",https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20114161,43.6637849717758,-73.0369027343933,
502423.440374101,185161.939347339,20114169,Yes,Former Crusher Plant Property-Lot 2,225 Websterville Road,Barre Town,SMAC,Matthew Becker,10/07/2013,Brownfields,Completed,Spill,,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20114169,44.1667380961,-72.469740785,
443604.150697652,151190.405156057,20114177,Yes,75 & 79 South Main Street,Tax Map Designation 06-28,Whiting,LOW,Matthew Becker,,Brownfields,Completed,UST-Gasoline,Gasoline,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20114177,43.8588344330737,-73.20148187686,
447373.023773314,167148.830550212,20114178,Yes,198 Court Street,Tax map Designation 028175000,Middlebury,SMAC,Matthew Becker,08/14/2013,Brownfields - RELEASE NOT IDENTIFIED,Completed,UST-Heating Oil,,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20114178,44.0027164643865,-73.1561715395201,
492119.317093461,229012.402203003,20114181,Yes,Arthur's Department Store,63 Lower Main St,Morristown,COC,Matthew Becker,11/17/2014,Brownfields,Completed,UST-Heating Oil,,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20114181,44.5612666139098,-72.5992103473602,
453685.012458318,256865.913595166,20114183,Yes,St. Albans House,"58,60 Lake St.,1 Catherine St.",Saint Albans City,SMAC,Matthew Becker,03/01/2013,Brownfields,Completed,Other,PAH,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20114183,44.810518443571,-73.0855453001961,
501141.749629363,196861.742517766,20114192,Yes,Washington Electric,110 VT Route 14,East Montpelier,COC,Matthew Becker,08/04/2016,Brownfields,Active,Unknown,"Other Petroleum, PCB",https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20114192,44.2719912358776,-72.4856971597502,
495038.803825786,39012.9760878016,20114193,Yes,118 Elliot Street,118 Elliot Street,Brattleboro,COC,Matthew Becker,06/06/2014,Brownfields,Completed,Unknown,Chlorinated Solvents,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20114193,42.8511925900827,-72.5606803885744,
499233.401204578,125175.278874399,20114195,Yes,Alsup,56-60 PLEASANT ST,Woodstock,LOW,Matthew Becker,,Brownfields,Completed,Other,"Lead, Other Petroleum, PAH, PCB",https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20114195,43.6268342351817,-72.5095338464271,
499272.650110793,188405.997647385,20114196,Yes,Rueda Property,110 Granite Street,Barre City,LOW,Matthew Becker,,Brownfields,Completed,UST-Heating Oil,Heating Oil,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20114196,44.195869844293,-72.5091271735568,
495095.907229092,38857.4149239642,20114204,Yes,proposed Brattleboro Music Center,"80 Flat Street, rear",Brattleboro,MED,Kristi Herzer,,Brownfields,,Unknown,"Arsenic, Other, PAH",https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20114204,42.849806078383,-72.5599808451218,
486430.28908607,277416.297096339,20124255,No,Richford Area-Wide Assessment,Main Street & River Street,Richford,LOW,Sarah Bartlett,,Brownfields - RELEASE NOT IDENTIFIED,,,,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20124255,44.9967603077708,-72.6721171915405,
443628.605309301,221184.731062482,20124261,Yes,35-39 & 47 Bright Street,35-39 & 47 Bright Street,Burlington,COC,Matthew Becker,01/19/2017,Brownfields,Active,Other,PAH,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20124261,44.4887358555768,-73.2087127754631,
539728.773024018,213661.076202009,20134349,No,Vermont Salvage Corporation Properties,Ely & State Streets,Saint Johnsbury,LOW,Matthew Becker,,Brownfields,Completed,,,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20134349,44.4221438605094,-72.0011188080734,
442315.272139002,221096.234137878,20134350,No,Former Packard Lofts,237 North Avenue,Burlington,MED,Kristi Herzer,,Brownfields,Active,,,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20134350,44.4877667099213,-73.2252486760574,
522937.937090112,270608.65337018,20134355,No,Newport Main Street Block,151-189 Main Street,Newport City,SMAC,Matthew Becker,10/07/2013,Brownfields - RELEASE NOT IDENTIFIED,Completed,,,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20134355,44.9353119049415,-72.2093926672032,
460006.15351687,123116.914277492,20134386,No,Watkins School,26 Watkins Ave.,Rutland City,NFAP,Matthew Becker,06/23/2015,Brownfields - RELEASE NOT IDENTIFIED,Completed,,,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20134386,43.6072234628254,-72.9953702472214,
509303.599561056,108905.576652484,20134395,No,Windsor Bike Shop,25 Depot Ave,Windsor,MED,Sarah Bartlett,,Brownfields,,,,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20134395,43.4803329106924,-72.384996635582,
493750.243748383,42146.6566015275,20134396,No,485 West River Road,485 West River Road,Brattleboro,MED,Sarah Bartlett,,Brownfields - RELEASE NOT IDENTIFIED,,,,https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20134396,42.8794299327257,-72.5764997374344,
509344.018777259,108927.852263878,20134397,No,CV Properties,Depot Ave,Windsor,MED,Kassandra Kimmey,,Brownfields,,,"Arsenic, Chlorinated Solvents, PAH",https://anrweb.vt.gov/DEC/ERT/HazSites.aspx?site=20134397,43.480545076579,-72.3845026815454,
