IntakeType,IntakeSubtype,Number_of_Animals,YEAR,MONTH,OBJECTID
STRAY,FIELD,286,2006,12,296
STRAY,OTC,328,2006,12,297
CONFISCATE,CRUELTY,1,2007,1,298
CONFISCATE,DANGER DOG,1,2007,1,299
CONFISCATE,NEGLECT,14,2007,1,300
EUTH REQ,FIELD OWN,4,2007,1,301
EUTH REQ,OTC OWNED,47,2007,1,302
OUTSURGERY,,31,2007,1,303
OWNER SUR,FIELD,33,2007,1,304
OWNER SUR,OTC,224,2007,1,305
QUARANTINE,MAS,2,2007,1,306
QUARANTINE,OWNER,4,2007,1,307
QUARANTINE,STRAY,5,2007,1,308
STRAY,FIELD,302,2007,1,309
STRAY,OTC,311,2007,1,310
CONFISCATE,ABANDONED,1,2007,2,311
CONFISCATE,DANGER DOG,1,2007,2,312
CONFISCATE,NEGLECT,8,2007,2,313
CONFISCATE,POTDANGER,1,2007,2,314
EUTH REQ,FIELD OWN,7,2007,2,315
EUTH REQ,OTC OWNED,56,2007,2,316
OUTSURGERY,,54,2007,2,317
OWNER SUR,FIELD,28,2007,2,318
OWNER SUR,OTC,155,2007,2,319
QUARANTINE,MAS,2,2007,2,320
QUARANTINE,OWNER,2,2007,2,321
STRAY,FIELD,285,2007,2,322
STRAY,OTC,284,2007,2,323
CONFISCATE,BITE,1,2007,3,324
CONFISCATE,CRUELTY,1,2007,3,325
CONFISCATE,DANGER DOG,4,2007,3,326
CONFISCATE,NEGLECT,28,2007,3,327
CONFISCATE,POTDANGER,9,2007,3,328
EUTH REQ,FIELD OWN,7,2007,3,329
EUTH REQ,OTC OWNED,43,2007,3,330
OUTSURGERY,,70,2007,3,331
OWNER SUR,FIELD,39,2007,3,332
OWNER SUR,OTC,156,2007,3,333
QUARANTINE,MAS,6,2007,3,334
QUARANTINE,OWNER,4,2007,3,335
QUARANTINE,STRAY,4,2007,3,336
RETURN,OTC,2,2007,3,337
STRAY,FIELD,301,2007,3,338
STRAY,OTC,392,2007,3,339
TRANSFER,AN CONTROL,2,2007,3,340
CONFISCATE,BITE,2,2007,4,341
CONFISCATE,CRUELTY,4,2007,4,342
CONFISCATE,NEGLECT,22,2007,4,343
CONFISCATE,POLICE,1,2007,4,344
CONFISCATE,POTDANGER,3,2007,4,345
EUTH REQ,,1,2007,4,346
EUTH REQ,FIELD OWN,15,2007,4,347
EUTH REQ,OTC OWNED,63,2007,4,348
OUTSURGERY,,103,2007,4,349
OWNER SUR,FIELD,39,2007,4,350
OWNER SUR,OTC,257,2007,4,351
QUARANTINE,,1,2007,4,352
QUARANTINE,MAS,2,2007,4,353
QUARANTINE,OWNER,4,2007,4,354
QUARANTINE,STRAY,3,2007,4,355
RETURN,OTC,2,2007,4,356
STRAY,FIELD,330,2007,4,357
STRAY,OTC,302,2007,4,358
CONFISCATE,ABANDONED,1,2007,5,359
CONFISCATE,BITE,3,2007,5,360
CONFISCATE,CRUELTY,3,2007,5,361
CONFISCATE,DANGER DOG,3,2007,5,362
CONFISCATE,NEGLECT,22,2007,5,363
CONFISCATE,POLICE,4,2007,5,364
CONFISCATE,POTDANGER,3,2007,5,365
CONFISCATE,UNPERMITED,2,2007,5,366
EUTH REQ,FIELD OWN,17,2007,5,367
EUTH REQ,OTC OWNED,52,2007,5,368
INVESTIGAT,POTDANGER,1,2007,5,369
OUTSURGERY,,104,2007,5,370
OWNER SUR,FIELD,76,2007,5,371
OWNER SUR,OTC,282,2007,5,372
QUARANTINE,,1,2007,5,373
QUARANTINE,MAS,5,2007,5,374
QUARANTINE,OWNER,6,2007,5,375
QUARANTINE,STRAY,7,2007,5,376
RETURN,FIELD,1,2007,5,377
RETURN,OTC,6,2007,5,378
STRAY,,1,2007,5,379
STRAY,FIELD,438,2007,5,380
STRAY,OTC,337,2007,5,381
TRANSFER,AN CONTROL,1,2007,5,382
CONFISCATE,,1,2007,6,383
CONFISCATE,ABANDONED,3,2007,6,384
CONFISCATE,DANGER DOG,2,2007,6,385
CONFISCATE,NEGLECT,23,2007,6,386
CONFISCATE,POLICE,2,2007,6,387
CONFISCATE,POTDANGER,8,2007,6,388
CONFISCATE,UNPERMITED,3,2007,6,389
EUTH REQ,FIELD OWN,8,2007,6,390
EUTH REQ,OTC OWNED,102,2007,6,391
INVESTIGAT,POTDANGER,2,2007,6,392
OUTSURGERY,,111,2007,6,393
OUTSURGERY,,3,2007,6,394
OWNER SUR,FIELD,35,2007,6,395
OWNER SUR,OTC,361,2007,6,396
QUARANTINE,,1,2007,6,397
QUARANTINE,MAS,9,2007,6,398
QUARANTINE,OWNER,6,2007,6,399
QUARANTINE,STRAY,11,2007,6,400
RETURN,OTC,7,2007,6,401
STRAY,FIELD,436,2007,6,402
STRAY,OTC,412,2007,6,403
TRANSFER,,1,2007,6,404
TRANSFER,AN CONTROL,1,2007,6,405
CONFISCATE,,2,2007,7,406
CONFISCATE,CRUELTY,10,2007,7,407
CONFISCATE,NEGLECT,26,2007,7,408
CONFISCATE,POLICE,2,2007,7,409
CONFISCATE,POTDANGER,5,2007,7,410
CONFISCATE,UNPERMITED,2,2007,7,411
EUTH REQ,FIELD OWN,12,2007,7,412
EUTH REQ,OTC OWNED,76,2007,7,413
INVESTIGAT,,1,2007,7,414
INVESTIGAT,POTDANGER,5,2007,7,415
OUTSURGERY,,108,2007,7,416
OWNER SUR,FIELD,60,2007,7,417
OWNER SUR,OTC,308,2007,7,418
QUARANTINE,MAS,2,2007,7,419
QUARANTINE,OWNER,5,2007,7,420
QUARANTINE,STRAY,11,2007,7,421
RETURN,FIELD,3,2007,7,422
RETURN,OTC,6,2007,7,423
STRAY,,1,2007,7,424
STRAY,FIELD,481,2007,7,425
STRAY,OTC,449,2007,7,426
CONFISCATE,,1,2007,8,427
CONFISCATE,ABANDONED,1,2007,8,428
CONFISCATE,DANGER DOG,1,2007,8,429
CONFISCATE,NEGLECT,20,2007,8,430
CONFISCATE,POLICE,3,2007,8,431
CONFISCATE,UNPERMITED,12,2007,8,432
EUTH REQ,FIELD OWN,15,2007,8,433
EUTH REQ,OTC OWNED,75,2007,8,434
INVESTIGAT,POTDANGER,2,2007,8,435
OUTSURGERY,,96,2007,8,436
OWNER SUR,,2,2007,8,437
OWNER SUR,FIELD,60,2007,8,438
OWNER SUR,OTC,335,2007,8,439
QUARANTINE,MAS,6,2007,8,440
QUARANTINE,OWNER,5,2007,8,441
QUARANTINE,STRAY,6,2007,8,442
RETURN,FIELD,1,2007,8,443
RETURN,OTC,9,2007,8,444
STRAY,FIELD,457,2007,8,445
STRAY,OTC,328,2007,8,446
CONFISCATE,,5,2007,9,447
CONFISCATE,BITE,1,2007,9,448
CONFISCATE,EVICTION,2,2007,9,449
CONFISCATE,NEGLECT,133,2007,9,450
CONFISCATE,POLICE,3,2007,9,451
CONFISCATE,POTDANGER,1,2007,9,452
CONFISCATE,UNPERMITED,40,2007,9,453
EUTH REQ,FIELD OWN,6,2007,9,454
EUTH REQ,OTC OWNED,45,2007,9,455
INVESTIGAT,POTDANGER,1,2007,9,456
OUTSURGERY,,67,2007,9,457
OWNER SUR,FIELD,44,2007,9,458
OWNER SUR,OTC,319,2007,9,459
QUARANTINE,,1,2007,9,460
QUARANTINE,MAS,7,2007,9,461
QUARANTINE,OWNER,2,2007,9,462
QUARANTINE,STRAY,8,2007,9,463
RETURN,FIELD,4,2007,9,464
RETURN,OTC,2,2007,9,465
STRAY,,1,2007,9,466
STRAY,FIELD,383,2007,9,467
STRAY,OTC,321,2007,9,468
CONFISCATE,,1,2007,10,469
CONFISCATE,ABANDONED,9,2007,10,470
CONFISCATE,NEGLECT,13,2007,10,471
CONFISCATE,POTDANGER,4,2007,10,472
CONFISCATE,UNPERMITED,20,2007,10,473
EUTH REQ,,10,2007,10,474
EUTH REQ,FIELD OWN,3,2007,10,475
EUTH REQ,OTC OWNED,67,2007,10,476
OUTSURGERY,,39,2007,10,477
OWNER SUR,,1,2007,10,478
OWNER SUR,FIELD,58,2007,10,479
OWNER SUR,OTC,232,2007,10,480
QUARANTINE,MAS,3,2007,10,481
QUARANTINE,OWNER,1,2007,10,482
QUARANTINE,STRAY,5,2007,10,483
RETURN,FIELD,1,2007,10,484
RETURN,OTC,4,2007,10,485
STRAY,,4,2007,10,486
STRAY,FIELD,415,2007,10,487
STRAY,OTC,336,2007,10,488
CONFISCATE,ABANDONED,1,2007,11,489
CONFISCATE,BITE,6,2007,11,490
CONFISCATE,CRUELTY,1,2007,11,491
CONFISCATE,NEGLECT,31,2007,11,492
CONFISCATE,POTDANGER,2,2007,11,493
CONFISCATE,UNPERMITED,12,2007,11,494
EUTH REQ,,2,2007,11,495
EUTH REQ,FIELD OWN,3,2007,11,496
EUTH REQ,OTC OWNED,45,2007,11,497
INVESTIGAT,DANGER DOG,1,2007,11,498
OUTSURGERY,,102,2007,11,499
OWNER SUR,,4,2007,11,500
OWNER SUR,FIELD,84,2007,11,501
OWNER SUR,OTC,250,2007,11,502
QUARANTINE,MAS,5,2007,11,503
QUARANTINE,OWNER,1,2007,11,504
QUARANTINE,STRAY,7,2007,11,505
RETURN,OTC,8,2007,11,506
STRAY,,1,2007,11,507
STRAY,FIELD,383,2007,11,508
STRAY,OTC,260,2007,11,509
CONFISCATE,ABANDONED,4,2007,12,510
CONFISCATE,NEGLECT,27,2007,12,511
CONFISCATE,POTDANGER,1,2007,12,512
CONFISCATE,UNPERMITED,8,2007,12,513
EUTH REQ,FIELD OWN,4,2007,12,514
EUTH REQ,OTC OWNED,53,2007,12,515
INVESTIGAT,POTDANGER,2,2007,12,516
OUTSURGERY,,53,2007,12,517
OUTSURGERY,,1,2007,12,518
OWNER SUR,FIELD,31,2007,12,519
OWNER SUR,OTC,227,2007,12,520
QUARANTINE,MAS,8,2007,12,521
QUARANTINE,OWNER,1,2007,12,522
QUARANTINE,STRAY,3,2007,12,523
RETURN,FIELD,5,2007,12,524
RETURN,OTC,14,2007,12,525
STRAY,FIELD,313,2007,12,526
STRAY,OTC,205,2007,12,527
TRANSFER,AN CONTROL,2,2007,12,528
CONFISCATE,,4,2008,1,529
CONFISCATE,BITE,1,2008,1,530
CONFISCATE,DANGER DOG,2,2008,1,531
CONFISCATE,NEGLECT,28,2008,1,532
CONFISCATE,POTDANGER,1,2008,1,533
CONFISCATE,UNPERMITED,2,2008,1,534
EUTH REQ,FIELD OWN,6,2008,1,535
EUTH REQ,OTC OWNED,34,2008,1,536
INVESTIGAT,,2,2008,1,537
INVESTIGAT,POTDANGER,1,2008,1,538
OUTSURGERY,,65,2008,1,539
OWNER SUR,FIELD,54,2008,1,540
OWNER SUR,OTC,154,2008,1,541
QUARANTINE,MAS,1,2008,1,542
QUARANTINE,OWNER,3,2008,1,543
QUARANTINE,STRAY,7,2008,1,544
RETURN,,1,2008,1,545
RETURN,FIELD,3,2008,1,546
RETURN,OTC,14,2008,1,547
STRAY,FIELD,324,2008,1,548
STRAY,OTC,204,2008,1,549
CONFISCATE,ABANDONED,3,2008,2,550
CONFISCATE,CRUELTY,1,2008,2,551
CONFISCATE,NEGLECT,26,2008,2,552
CONFISCATE,POLICE,4,2008,2,553
CONFISCATE,POTDANGER,3,2008,2,554
CONFISCATE,UNPERMITED,1,2008,2,555
EUTH REQ,FIELD OWN,4,2008,2,556
EUTH REQ,OTC OWNED,35,2008,2,557
OUTSURGERY,,72,2008,2,558
OUTSURGERY,,1,2008,2,559
OWNER SUR,,2,2008,2,560
OWNER SUR,FIELD,49,2008,2,561
OWNER SUR,OTC,224,2008,2,562
QUARANTINE,MAS,4,2008,2,563
QUARANTINE,OWNER,2,2008,2,564
QUARANTINE,STRAY,4,2008,2,565
RETURN,FIELD,2,2008,2,566
RETURN,OTC,19,2008,2,567
STRAY,,1,2008,2,568
STRAY,FIELD,299,2008,2,569
STRAY,OTC,193,2008,2,570
CONFISCATE,ABANDONED,1,2008,3,571
CONFISCATE,NEGLECT,13,2008,3,572
CONFISCATE,POLICE,1,2008,3,573
CONFISCATE,POTDANGER,1,2008,3,574
CONFISCATE,UNPERMITED,4,2008,3,575
EUTH REQ,FIELD OWN,3,2008,3,576
EUTH REQ,OTC OWNED,54,2008,3,577
INVESTIGAT,POTDANGER,2,2008,3,578
OUTSURGERY,,84,2008,3,579
OWNER SUR,FIELD,35,2008,3,580
OWNER SUR,OTC,218,2008,3,581
QUARANTINE,MAS,7,2008,3,582
QUARANTINE,OWNER,1,2008,3,583
QUARANTINE,STRAY,2,2008,3,584
RETURN,,2,2008,3,585
RETURN,FIELD,2,2008,3,586
RETURN,OTC,21,2008,3,587
STRAY,FIELD,332,2008,3,588
STRAY,OTC,200,2008,3,589
TRANSFER,AN CONTROL,1,2008,3,590
CONFISCATE,ABANDONED,4,2008,4,591
CONFISCATE,DANGER DOG,1,2008,4,592
CONFISCATE,EVICTION,2,2008,4,593
CONFISCATE,NEGLECT,19,2008,4,594
CONFISCATE,POLICE,2,2008,4,595
CONFISCATE,POTDANGER,3,2008,4,596
CONFISCATE,UNPERMITED,2,2008,4,597
EUTH REQ,,2,2008,4,598
EUTH REQ,FIELD OWN,6,2008,4,599
EUTH REQ,OTC OWNED,43,2008,4,600
INVESTIGAT,POTDANGER,4,2008,4,601
MED OBSERV,,2,2008,4,602
OUTSURGERY,,75,2008,4,603
OWNER SUR,FIELD,41,2008,4,604
OWNER SUR,OTC,207,2008,4,605
QUARANTINE,,1,2008,4,606
QUARANTINE,MAS,13,2008,4,607
QUARANTINE,OWNER,3,2008,4,608
QUARANTINE,STRAY,6,2008,4,609
RETURN,,1,2008,4,610
RETURN,OTC,14,2008,4,611
STRAY,,1,2008,4,612
STRAY,FIELD,438,2008,4,613
STRAY,OTC,306,2008,4,614
CONFISCATE,ABANDONED,1,2008,5,615
CONFISCATE,BITE,1,2008,5,616
CONFISCATE,CRUELTY,2,2008,5,617
CONFISCATE,NEGLECT,21,2008,5,618
CONFISCATE,POTDANGER,3,2008,5,619
CONFISCATE,UNPERMITED,4,2008,5,620
EUTH REQ,FIELD OWN,3,2008,5,621
EUTH REQ,OTC OWNED,52,2008,5,622
INVESTIGAT,POTDANGER,2,2008,5,623
OUTSURGERY,,79,2008,5,624
OWNER SUR,FIELD,73,2008,5,625
OWNER SUR,OTC,270,2008,5,626
QUARANTINE,MAS,15,2008,5,627
QUARANTINE,OWNER,10,2008,5,628
QUARANTINE,STRAY,6,2008,5,629
RETURN,,1,2008,5,630
RETURN,FIELD,5,2008,5,631
RETURN,OTC,9,2008,5,632
STRAY,FIELD,517,2008,5,633
STRAY,OTC,332,2008,5,634
TRANSFER,AN CONTROL,2,2008,5,635
CONFISCATE,,3,2008,6,636
CONFISCATE,ABANDONED,1,2008,6,637
CONFISCATE,BITE,2,2008,6,638
CONFISCATE,DANGER DOG,1,2008,6,639
CONFISCATE,NEGLECT,34,2008,6,640
CONFISCATE,POLICE,1,2008,6,641
CONFISCATE,POTDANGER,1,2008,6,642
CONFISCATE,UNPERMITED,5,2008,6,643
EUTH REQ,FIELD OWN,11,2008,6,644
EUTH REQ,OTC OWNED,71,2008,6,645
INVESTIGAT,POTDANGER,1,2008,6,646
OUTSURGERY,,73,2008,6,647
OWNER SUR,,2,2008,6,648
OWNER SUR,FIELD,66,2008,6,649
OWNER SUR,OTC,302,2008,6,650
