OBJECTID,ADMIN_ST,FET_TYPE,FET_SUBTYPE,FET_NAME,ADM_UNIT_CD,GIS_ACRES,DESCRIPTION,UNIT_NAME,WEB_LINK,COORD_SRC_TYPE,GlobalID,Shape__Area,Shape__Length
222,UT,4,SRMA,Capitol Reef Gateway,UTC02000,12766.71577204,,,,UNK,{4F0ED0AA-98DB-4E5C-BBA5-26E659A06AB1},51665065.7150177,52808.5748968075
224,UT,4,SRMA,Sheeprock / Tintic ORV Area,UTW02000,392779.49236892,,,,UNK,{602CB0EC-CE5D-4BB7-BDFC-165544F6FF92},1589522211.28017,892346.099134975
225,UT,4,SRMA,Dirty Devil / Robber's Roost,UTC02000,290518.51677255,,,,UNK,{DAAD7918-DF07-469D-ABA8-60800E4B14CD},1175686725.42713,601407.156795908
226,UT,4,SRMA,Tabernacle Hill,UTW02000,3702.31711077,,,,UNK,{0572256D-DEBC-4230-BB70-96A05E4BA31A},14982745.7774732,23941.9392575076
227,UT,4,SRMA,Escalante,UTP02000,22795.4515737,,,,UNK,{B9E91366-4934-4A39-8B62-4252C96F0D99},92249919.602546,65462.0806801359
228,UT,4,SRMA,Orderville Canyon,UTP02000,1951.52955154,,,,UNK,{E2F76062-CD5C-4299-B3B8-439CFEF800FC},7897559.8991748,20516.0998674627
229,UT,3,OHV Designated Area,Little Sahara Recreation Site,UTW02000,62761.46402339,,,,UNK,{E8D7C26D-6944-4FB7-8A89-8391082C1CC7},253986633.762281,74146.5978218412
230,UT,4,SRMA,Dark Canyon,UTY02000,30820.15860238,,,,UNK,{927CFC07-4269-414D-B75D-7251A8C51803},124682379.668548,349054.783254067
231,UT,4,SRMA,Sand Flats,UTY01000,6248.54813868,,,,UNK,{7746705C-8390-427C-863B-020ABC7D3490},25286977.1657068,69757.1541491237
232,UT,4,SRMA,Labyrinth Canyon,UTG02000,37203.04452859,,,,UNK,{A8B441F4-0539-447C-A608-6CA188239917},150555379.683373,267265.134424078
233,UT,4,SRMA,Gandy Mountain Caves,UTW02000,1136.98270709,,,,UNK,{E6D57446-525B-46C0-A00C-3BD11704AE3C},4601205.77034198,9310.32542754308
235,UT,4,SRMA,Canyon Rims,UTY01000,101546.17003264,,,,UNK,{34AB3BCD-C063-449C-8BB1-3AF856F0B382},410942770.366698,358137.44801564
237,UT,4,SRMA,Henry Mountains,UTC02000,532602.40379941,,,,UNK,{09127DF5-115C-4289-9A45-0AD0CCD6BDF1},2155365458.40132,1036782.66248867
239,UT,4,SRMA,Lower Gray Canyon,UTY01000,3804.71157425,,,,UNK,{113DE04F-5A27-468A-BEE3-89050D5B51C5},15397121.4696374,67551.5034945578
240,UT,4,SRMA,Nine Mile Canyon,UTG02000,24248.81255095,,,,UNK,{D9C71D3A-1FFC-4A4E-870F-A464ABFE343E},98131462.8073969,238971.791337782
241,UT,4,SRMA,Cameo Cliffs,UTY01000,15641.50707996,,,,UNK,{7AA2B930-1C77-4CBD-9EB7-7CAFA1CA298C},63298933.3825466,78242.1013854168
242,UT,4,SRMA,Utah Rims,UTY01000,15738.6449929,,,,UNK,{A23E7B21-0B2E-46CE-9505-70F7F5F904AC},63692036.5694088,42533.4124931052
243,UT,3,OHV Designated Area,Big Rocks,UTC02000,90.28839181,,,,UNK,{37D4A625-951A-4B8A-8B9C-195AF78CDBB6},365384.15824673,3045.54144261843
244,UT,4,SRMA,Red Mountain / Dry Fork,UTG01000,24258.66119121,,,,UNK,{80DAA4F9-759D-494D-862D-282F3391310D},98171318.84049,214171.738688666
245,UT,4,SRMA,South Moab,UTY01000,63982.23549206,,,,UNK,{C70FE50D-8C7C-47A8-A304-1E032DE3B216},258926920.620549,243803.763929946
246,UT,4,SRMA,Desolation Canyon,UTG02000,72754.23587035,,,,UNK,{052D53E9-9862-4957-843A-8E81A27BA70C},294425946.688741,257666.646055531
247,UT,4,SRMA,Beaver Dam Wash SRMA,UTC03200,63478.42731845,,,,UNK,{63A0C7CF-8A83-4D7F-A776-EE6715BF17C5},256888081.277513,207873.921042083
248,UT,4,SRMA,White Canyon,UTY02000,2828.09039925,,,,UNK,{08D05674-E062-412A-8610-00682177E7FD},11433877.3795231,113223.645548029
250,UT,4,SRMA,Dolores River Canyons,UTY01000,31721.21047446,,,,UNK,{304F0933-0625-4433-8E5F-786FB2338FA0},128371184.334866,130871.935636149
251,UT,4,SRMA,Labyrinth Rims / Gemini Bridges,UTY01000,299971.3506674,,,,UNK,{74D7E3FD-5138-41A4-A076-8A0367E634D3},1213940986.98438,674989.913247161
253,UT,4,SRMA,Antelope Springs Cave,UTW02000,230.47596722,,,,UNK,{413250A9-C258-4695-B8C3-9FC62148B009},932703.14815575,4142.84043896627
254,UT,4,SRMA,Pony Express Route,UTW01000,22356.82419876,,,,GIS,{5139874D-D779-495F-9C4A-422F55840EBD},90474857.5932166,295300.446199924
255,UT,4,SRMA,Wah Wah Mountains,UTW02000,5975.21864729,,,,UNK,{501A553A-F8F2-476C-9EB0-B81531549FBA},24180851.9580277,32678.3979252322
256,UT,4,SRMA,Canaan Mountain,UTC03000,34576.75206995,,,,UNK,{25CBF7EA-49AE-42EE-AA5B-45CCE4189C3D},139927151.17999,102510.343989275
257,UT,4,SRMA,Nine Mile,UTG01000,44168.11218773,,,,UNK,{0DADE9C8-2A5F-4AA2-A19A-DDDAC148B5FE},178742008.472193,204364.015998426
258,UT,4,SRMA,Beef Basin,UTY02000,17200.91324195,,,,UNK,{169A7104-58D0-4A84-BD7D-3A71D845B6AE},69567722.4414301,60520.9597831543
259,UT,4,SRMA,Two Rivers,UTY01000,28786.89411818,,,,UNK,{0E956495-03A4-467B-8787-2B6B663F84EA},116496427.343095,262662.772152649
260,UT,4,SRMA,Deep Creek Mountains,UTW02000,101457.77740267,,,,UNK,{9EC76007-BB48-4F34-A4E8-8A1DFA35F472},410585058.084403,204662.924939172
261,UT,2,Day Use Area,White River Enron Boat Ramp,UTG01000,0.75447179,,,,IMG,{6F3C729F-A4DF-4576-9525-EE02E42D4455},3053.239022585,226.869984638958
262,UT,2,Day Use Area,Indian Crossing Boat Ramp,UTG01000,1.54011187,,,,IMG,{9DEF8AFF-149B-41D9-99E8-B5E622486B1C},6232.61162328,371.794572275144
263,UT,1,Campground,Book Cliffs Roadside Campsite,UTG01000,0.75851439,,,,IMG,{D66946C7-F604-4615-9802-0E5C8D1B481A},3069.598839805,203.469162216331
264,UT,2,Day Use Area,Dinosaur Trackway Trailhead,UTG01000,0.28420455,,,,IMG,{64B52695-7B07-414D-96BC-7DC4F3A93E6A},1150.13500721,170.631690988679
265,UT,2,Day Use Area,Pariette Wetlands Overlook,UTG01000,0.40200377,,,,IMG,{11DA90D3-D798-4CBF-A50A-D06AE711A65C},1626.851533255,202.409017851143
266,UT,1,Campground,White River Enron Boat Ramp Campsites,UTG01000,2.1964553,,,,IMG,{0BA23825-18AC-4C13-A149-424C2C2D900E},8888.73924067,360.944205604435
267,UT,2,Day Use Area,Dry Fork Flume Trailhead #2,UTG01000,0.228248,,,,IMG,{097D3516-8C0C-4559-BFBB-2C1077A57D98},923.68688917,121.323485703851
268,UT,1,Campground,Riverside Campsite,UTG01000,1.13184346,,,,IMG,{8E398CED-F050-4344-8D92-4FA82452091E},4580.40799193,294.721819910071
269,UT,2,Day Use Area,Browns Park UT/CO Kiosk,UTG01000,0.16000504,,,,IMG,{F61E4750-2801-43FC-81BF-4A7A2B6B5F05},647.517412265,97.6360545809691
270,UT,2,Day Use Area,Fisherman's Trailhead,UTG01000,0.61139858,,,,IMG,{33A856D6-16BB-4555-91AB-90F85475FF4E},2474.242257035,194.169365568221
271,UT,2,Day Use Area,Wells Draw Kiosk,UTG01000,0.56427802,,,,IMG,{9C9FE5A0-D622-4E8B-8DA9-41A47E9BC3C0},2283.552144515,186.985060210072
272,UT,1,Campground,Grasshopper I & II Campsite,UTG01000,1.02477948,,,,IMG,{C5833265-F273-4777-B21A-93F741A0A24B},4147.135405835,280.813219527192
273,UT,1,Campground,Cliff Ridge Campsites 2,UTG01000,0.14720267,,,,IMG,{ED0EF164-89DB-4964-AE77-2F2E0931B75C},595.708071425,93.7967250710839
274,UT,1,Campground,Point of Pines Campsite 6,UTG01000,0.40693023,,,,IMG,{B8753D02-BC0C-4301-B8A4-995320D75047},1646.788213455,158.638046495756
275,UT,1,Campground,Pugmire Pocket Campsite,UTG01000,0.36225727,,,,IMG,{43DF6CB6-990C-4877-BFA3-C20AF1B2B360},1466.00316648,172.961369133778
276,UT,2,Day Use Area,Pariette Wetlands,UTG01000,1.10594942,,,,IMG,{81F44EFD-AB18-429D-864E-91D13F35DB33},4475.61852666,251.279716786881
277,UT,1,Campground,PR Springs Campsite 1 & 2,UTG01000,0.5806343,,,,IMG,{EBB330E1-B64E-455D-A201-B8FA715A8492},2349.743625875,203.557800495258
278,UT,2,Day Use Area,Red Fleet Flow Trailhead,UTG01000,0.37450084,,,,IMG,{FB499BAD-1E97-4BE6-912C-D50BCF86FE2D},1515.551145495,162.040053290797
279,UT,1,Campground,Little Swallow Campsite,UTG01000,0.4191089,,,,IMG,{3D8944F9-4D7E-4E82-9C6A-02E59A4DAA39},1696.073558625,169.231582046839
280,UT,1,Campground,Cicada Campsite,UTG01000,0.31920106,,,,IMG,{85D54EF4-C86B-442D-9B9E-E6F1069EF5A5},1291.7608642,136.892700749514
281,UT,1,Campground,Pelican Lake Campground,UTG01000,13.05395847,,,,IMG,{53FA87A2-61E2-4B60-A090-3F557995CB85},52827.49566972,2021.48209649477
282,UT,1,Campground,Dry Fork Campsite 3 & 4,UTG01000,0.380003,,,,IMG,{C7E3F084-A080-4C62-9789-ECE682DC59D2},1537.8175844,165.362698376754
283,UT,1,Campground,Point of Pines East Campsite 2,UTG01000,0.21778959,,,,IMG,{35EA0404-5BE2-4578-AFDC-B504ED92C9D7},881.363192065,112.682155308299
284,UT,2,Day Use Area,PR Springs Horse Corral,UTG01000,1.34965,,,,IMG,{AC38C117-5BAB-4B71-8AC6-B21A1208247A},5461.839784085,305.169477468689
285,UT,2,Day Use Area,Musket Shot Springs Scenic Overlook,UTG01000,2.06496948,,,,IMG,{E9DA061F-216E-464A-9C54-C6C179B7F123},8356.634983865,420.910426931678
286,UT,1,Campground,South Canyon Group Campsite,UTG01000,0.54665626,,,,IMG,{EEEE12F0-A7BE-444C-BC7C-BB8326E6DF07},2212.23939493,175.465854352446
287,UT,2,Day Use Area,McCoy Flats Trailhead,UTG01000,1.51735562,,,,IMG,{56B61686-D6A4-46BB-9365-5BBB39F87DAB},6140.520348,340.190834491967
288,UT,1,Campground,Red Creek I & II Campsite,UTG01000,0.35899678,,,,IMG,{2FBB68B1-1676-44CF-95DE-8C919578AEED},1452.80843623,185.935083277329
289,UT,2,Day Use Area,Fire Flat Picnic Site,UTG01000,0.18083602,,,,IMG,{7CB251FB-C901-4ACC-BC4D-8A6516E1667E},731.817402005,105.575289815944
290,UT,1,Campground,Lower South Canyon Group Campsite,UTG01000,0.23429811,,,,IMG,{ECE2DAB1-29F8-4ADD-824B-D9FC18B173AC},948.170820105,119.288120871909
291,UT,1,Campground,Rye Grass Campsite,UTG01000,0.12449345,,,,IMG,{0EBCDC5C-65EC-4419-8107-FE461B2C9807},503.80710858,139.679573892525
292,UT,2,Day Use Area,Massey Junction,UTG01000,0.23554961,,,,IMG,{70C9CF58-0AD6-4684-9985-2EF0E9CD8034},953.23544347,180.478625538296
293,UT,1,Campground,Point of Pines Campsite 1,UTG01000,0.16365738,,,,IMG,{E15CFE8E-0640-45AC-B3B3-41F604D71917},662.297935045,96.6891636203993
294,UT,2,Day Use Area,Duck Rock Scenic Overlook,UTG01000,0.62749706,,,,IMG,{E3A52889-5042-4441-B0FE-002A3E07843D},2539.39052165,238.841634579896
295,UT,1,Campground,Big Tree Campsite,UTG01000,0.33951341,,,,IMG,{CD60D6EA-1523-42C3-B76A-1838B8717653},1373.962023645,247.169697392934
296,UT,2,Day Use Area,Dry Fork Flume Trailhead #1,UTG01000,0.13256315,,,,IMG,{07924471-0738-45E3-ACF1-C76C20686EFB},536.464031095,101.958993186894
297,UT,1,Campground,Lower South Canyon Campsite,UTG01000,0.20053935,,,,IMG,{002C3D9E-0479-45C5-AC1D-EFA93AE69E51},811.55396167,115.33973008756
298,UT,1,Campground,Dry Fork Campsite 5,UTG01000,0.34328625,,,,IMG,{33362C0A-880C-4F3C-B57F-ECBE860EC894},1389.23014552,154.514016223526
299,UT,1,Campground,Roadside Campsite,UTG01000,0.65423649,,,,IMG,{BB4091ED-0C4A-47BA-BB03-EA6FAF83CFE5},2647.60115495,276.226454056118
300,UT,3,OHV Designated Area,Docs Beach Staging Area,UTG01000,4.01120556,,,,IMG,{B0575C1C-093C-4F33-9E73-5343A36870F9},16232.772987475,547.209673059143
301,UT,1,Campground,Little Hole South Campsite,UTG01000,0.32342333,,,,IMG,{E9807E00-958F-4002-89E0-562E2ED73722},1308.84777817,135.987901072525
302,UT,2,Day Use Area,Rainbow Town Site,UTG01000,0.05773479,,,,IMG,{9CBEC174-1A2A-4CAE-A843-5CCEC2354219},233.64439968,84.9603563655037
303,UT,1,Campground,Massey Junction Campsites,UTG01000,0.9872926,,,,IMG,{DB293B36-E036-42B2-926A-30B57F9B901D},3995.43139609,259.498098222268
304,UT,2,Day Use Area,Jarvie Ranch Historic Site,UTG01000,16.19691083,,,,IMG,{52B5BCDF-5362-494A-8255-DA3D31D3E310},65546.572605565,1469.73913098378
305,UT,1,Campground,Zane Canyon Campsite,UTG01000,0.11388243,,,,IMG,{1E3AF2BF-6C28-481D-8502-3994ACF445A9},460.86582828,81.105798417602
306,UT,1,Campground,Beaverdam Campsite I & II,UTG01000,2.26713027,,,,IMG,{45AE21D4-E220-45A6-A9F3-9F896BDF6287},9174.750708735,464.563006639552
307,UT,1,Campground,Point of Pines Campsite 8,UTG01000,0.10729214,,,,IMG,{B9C9A6ED-63C8-4CD6-9316-807858314EA2},434.19586608,83.9283172164708
308,UT,1,Campground,Tree Tops Campsite,UTG01000,0.43407309,,,,IMG,{EAF081B4-68A0-43F7-BC0D-7E7F5F3DD481},1756.63148171,169.872294298251
309,UT,1,Campground,Jackson Creek Campsite,UTG01000,0.61695709,,,,IMG,{533931D1-89B3-41EA-93B5-B2E4511B4AE5},2496.73677091,217.947254358693
310,UT,2,Day Use Area,Swallow Canyon Boat Ramp,UTG01000,1.19819662,,,,IMG,{0F11F472-1D37-42FB-942C-A0DF7B55F994},4848.92969139,422.743020711423
311,UT,1,Campground,Point of Pines Campsite 5,UTG01000,0.09550284,,,,IMG,{BF78D00F-6BBC-4F0E-952A-6161499D97DA},386.486294255,74.8202306576169
312,UT,1,Campground,Indian Crossing Campground,UTG01000,12.06541136,,,,IMG,{61CD48EA-E09D-4ADC-9FD9-4F0A90B91E70},48826.9874496,855.407181946676
313,UT,2,Day Use Area,Bridge Hollow Boat Ramp,UTG01000,1.31563587,,,,IMG,{546220DA-11C9-4CF1-A11F-199458BC9FB5},5324.189488765,338.65017825292
314,UT,1,Campground,Big Park V Campsite,UTG01000,0.09332076,,,,UNK,{BD896D13-C521-4D9A-92AB-1D75F5A10789},377.65571224,72.8267302490651
315,UT,2,Day Use Area,Pipeline River Access,UTG01000,0.74309177,,,,IMG,{D50D3BB4-F177-45D3-B9E5-795322DE84F9},3007.18569796,268.677627845991
316,UT,1,Campground,Point of Pines Campsite 3,UTG01000,0.12981726,,,,IMG,{CC694F51-E392-43F7-94F2-ABAF8A7ACE54},525.35182978,83.5761221695966
317,UT,1,Campground,Cliff Ridge Campsites 1,UTG01000,0.68481588,,,,IMG,{EED9A2EA-6482-4247-B10E-DA29B49F62E7},2771.351523125,209.040692844071
318,UT,2,Day Use Area,Browns Park Outlaw Trails Corral,UTG01000,4.9829142,,,,IMG,{450CC7B0-50A0-495E-8C86-A711683B62BE},20165.13831747,567.78754120256
319,UT,1,Campground,Lone Tree Campsite,UTG01000,0.37154667,,,,IMG,{08F11A1F-8A73-41F9-AF73-60C8B33E71FD},1503.59601458,172.415249951286
320,UT,1,Campground,Point of Pines East Campsite,UTG01000,0.15655202,,,,IMG,{F3782BC6-5259-427E-87D8-D0FA42165A56},633.543562785,94.7968946392374
321,UT,1,Campground,Point of Pines Campsite 9,UTG01000,0.12520085,,,,IMG,{61CD8259-18EF-47E3-9A1F-E2695815CDC3},506.669852615,85.9477234848684
322,UT,1,Campground,Airstrip Campsite,UTG01000,0.15654705,,,,IMG,{2C459028-96E7-4F78-B8C0-31288BF0DDA5},633.52343642,117.925693276233
323,UT,1,Campground,Dry Fork Campsite 1 & 2,UTG01000,0.50105893,,,,IMG,{7379BBE6-0A98-4200-98B2-1B4BB4C0D62D},2027.71354828,181.94157427483
324,UT,2,Day Use Area,Kennedy Stage Coach Station,UTG01000,0.50986619,,,,IMG,{EABF820E-662E-43B2-8FB4-42A0421C6F04},2063.355278725,182.863471648442
325,UT,1,Campground,Island View Campsite,UTG01000,0.25171982,,,,IMG,{3F8EEC28-86F3-434B-A062-CC57FE0C5C05},1018.67396463,146.215622590793
326,UT,2,Day Use Area,Fantasy Canyon,UTG01000,5.51741894,,,,IMG,{5D80F099-2393-4ABB-ABEF-70CCDB633322},22328.202253925,731.930708614658
327,UT,2,Day Use Area,Pelican Lake Day Use Site,UTG01000,3.52163225,,,,IMG,{4B7CE4D0-7918-493C-970E-236D63EB8E4A},14251.54007978,680.350066265395
328,UT,1,Campground,PR Springs Campsite 3,UTG01000,0.40167426,,,,IMG,{CFF2B744-61DC-434D-98D8-A959CBEB7DAE},1625.51804417,152.450033105451
329,UT,1,Campground,Bridge Hollow Campground,UTG01000,6.47877241,,,,IMG,{A004F137-A473-48D2-B17F-19416BD69CD5},26218.6617311,742.215061866268
330,UT,1,Campground,Brewer Overlook Campsite,UTG01000,0.3422973,,,,IMG,{E8E88014-7C29-48FA-ABD1-2C7F9003331D},1385.228045915,138.429374457428
331,UT,1,Campground,Upper South Canyon Campsite,UTG01000,0.16156869,,,,IMG,{4E2E230E-B8BB-4083-A0A9-2973800B54C8},653.84528204,102.117675367136
332,UT,2,Day Use Area,Buck Canyon,UTG01000,0.24815929,,,,IMG,{D6DFDF88-FD7C-456C-8C68-C50A4A84FC0F},1004.26501207,155.443953336321
333,UT,2,Day Use Area,Hang Glider Landing Zone,UTG01000,0.09551798,,,,IMG,{C98627BA-8774-45D4-B6B1-CF59301FA6C2},386.54754017,88.0462742307607
334,UT,2,Day Use Area,Cliff Ridge Hang Glider Launch,UTG01000,5.80474476,,,,IMG,{73313792-5145-4B54-8342-4B9E067DB11C},23490.968626695,613.819886751076
661,UT,3,OHV Designated Area,Glenwood ,UTC02000,1042.51235874,,,,UNK,{A860C2FC-5CD2-43EF-9DC5-969677E2F02D},4218897.83438405,14365.3312863584
662,UT,3,OHV Designated Area,Jensen Hills,UTG01000,930.77413864,,,,UNK,{9BFB17DC-C2EF-43CB-BF6E-02024859373E},3766709.3007737,7962.06932336958
663,UT,3,OHV Designated Area,Auroura ,UTC02000,300.04128647,,,,UNK,{80246263-27B7-4222-B1F1-6B8646AC2BD8},1214224.00715591,5522.97235363659
664,UT,3,OHV Designated Area,Coral Pink Sand Dunes ,UTP02000,963.85094678,,,,UNK,{E015BF49-391C-4E6F-995E-45747E874188},3900566.39422063,12822.3023701496
665,UT,3,OHV Designated Area,Buckskin Hills,UTG01000,713.39486439,,,,UNK,{901F508D-D82E-49DE-9D7C-F82C7BFEC49B},2887006.58866563,10732.1049726273
666,UT,3,OHV Designated Area,Factory Butte ,UTC02000,5781.07665195,,,,UNK,{A23437B1-6818-468F-93A6-1F6ACC0A1344},23395187.177343,30581.3781785526
667,UT,3,OHV Designated Area,Red Wash (AKA Devils Playground),UTG01000,1901.58544578,,,,UNK,{D10A6B20-80B1-40F7-87C1-B2ADA12C3F62},7695443.2739851,16933.9351776085
668,UT,3,OHV Designated Area,White Wash Sand Dunes ,UTY01000,1943.85129939,,,,UNK,{C4A3E2EB-CDB8-47D4-9586-4BA5A85F7120},7866487.115111,15259.913961058
669,UT,4,SRMA,Cedar Mesa,UTY02000,325437.55027864,,,,UNK,{9488F74A-C540-49BB-A6B7-2BA640009BFB},1319943315.02962,540681.915323023
670,UT,4,SRMA,Indian Creek,UTY02000,40571.74343764,,,,UNK,{CC155DE5-1A78-4842-9B3B-9D0D10D20A47},166837312.523294,142427.403657233
671,UT,4,SRMA,San Juan River,UTY02000,8118.82706634,,,,UNK,{65D85A72-2330-4D86-ADBF-D56E61B9FFB6},33166412.9917462,150564.428924997
695,UT,4,SRMA,San Juan River,UTY02000,197.26420346,,,,UNK,{3FF4BE01-62E1-4761-8D77-2D5BD98AA65F},798884.19491421,8543.00708717791
696,UT,4,SRMA,San Juan River,UTY02000,278.96141187,,,,UNK,{73EC2A45-DB1E-4F3F-A867-D5146130242C},1319425.77637447,7833.77875376434
700,UT,1,Campground,Buckhorn Draw,UTG02000,0.0,A group site camping area where there are 4 group sites at $50/night and 3 individual sites that are $15/night. A large overflow parking area is located here as well.,,,IMG,{028F9C33-69F7-45C0-B875-CE33B5314981},44013.967050385,1021.258147785
701,UT,1,Campground,Price Recreation Area Lower Campground,UTG02000,0.0,Lower area has two group sites at $50/night,,,IMG,{06B32889-63F7-48E6-AA3D-20B4DBCA7B67},5567.890088115,312.508811051884
702,UT,1,Campground,Swinging Bridge South Campground,UTG02000,0.0,This campground consists of 11 individual sites at $15/night. Six of these sites also contain a tent pad. Six sites also contain a shade structure.,,,IMG,{12F9BF20-BD92-42D8-81BC-80D69CB1C227},23615.655657485,588.25540171545
703,UT,1,Campground,Equestrian Campground,UTG02000,0.0,"This campground offers 6 individual sites at $15/night. Each site contains a fire ring, picnic table, and two corrals for horses.",,,IMG,{1D4FCC37-0D52-4486-8D38-9BE6CC91B5FE},25691.38386385,608.796580361433
