OBJECTID,CYCLE,ID305B,WATER_NAME,LOCATION,WATER_SIZE,SIZE_UNIT,WATER_TYPE,LIS_BASIN,LIS_ZONE,ISLAND,BEACH,CLASS_ID,CLASS_NAME,MILES_SQUARE,AQUATIC_LIFE_ATTAINMENT_CODE,AQUATIC_LIFE_ATTAINMENT,RECREATION_ATTAINMENT_CODE,RECREATION_ATTAINMENT,FISH_CONSUMPTN_ATTAINMENT_CODE,FISH_CONSUMPTION_ATTAINMENT,SHELLFISH_USE_DESCRIPTION,SHELLFISH_ATTAINMENT_CODE,SHELLFISH_ATTAINMENT,IMPAIRED,Shape__Area,Shape__Length
28,2016,CT-C2_005,"LIS CB Shore - Hammonasset Beach, Madison","See Map for Boundaries.  Central portion of LIS from Webster Point to West Rock area (includes Hammonasset State Park Beach), out approximately 1000 ft offshore, Madison.",0.583,SQUARE MILES,ESTUARY,Central,Shore,False,True,51,Coastal and Marine Surface Waters Class SA,0.583,X,Unassessed,F,Fully Supporting,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,16260349.2558594,45849.5071755053
29,2016,CT-E3_001,LIS EB Midshore - Stonington,"See Map for Boundaries.  Eastern portion of LIS from approximately 1000 ft offshore (Little Narragansett Bay), out to CT/NY State line.",0.585,SQUARE MILES,ESTUARY,Eastern,Midshore,False,False,51,Coastal and Marine Surface Waters Class SA,0.585,N,Not Supporting,N,Not Supporting,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,16306493.5961914,20298.633263009
30,2016,CT-E2_001,"LIS EB Shore - Wequetequock Cove, Stonington","See Map for Boundaries.  Eastern portion of LIS from RR crossing on east side of Wequetequock cove to mouth of Pawcatuck River, out approximately 1000 ft offshore (Little Narragansett Bay).",0.619,SQUARE MILES,ESTUARY,Eastern,Shore,True,False,51,Coastal and Marine Surface Waters Class SA,0.619,N,Not Supporting,N,Not Supporting,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,17264977.8419189,59702.8831907662
31,2016,CT-W2_010,"LIS WB Shore - Compo Beach, Cedar Point, Westport","See Map for Boundaries.  Western portion of LIS from Saugatuck Shores area to Compo Cove (includes Compo Beach, Cedar Point, Saugatuck River outlet, Owenoke) out approximately 1000 ft offshore, Westport.",0.419,SQUARE MILES,ESTUARY,Western,Shore,False,True,51,Coastal and Marine Surface Waters Class SA,0.419,X,Unassessed,F,Fully Supporting,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,11674163.2915344,25238.8473508255
32,2016,CT-W3_006,"LIS WB Midshore - Sherwood Point, Westport","See Map for Boundaries.  Western portion of LIS from approximately 1000 ft offshore (Saugatuck River mouth, Compo Cove, Sherwood Island Sate Park area), out to 50 ft contour, Westport.",9.69,SQUARE MILES,ESTUARY,Western,Midshore,False,False,51,Coastal and Marine Surface Waters Class SA,9.69,N,Not Supporting,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,270138236.836212,75378.0956926134
33,2016,CT-C1_017,"LIS CB Inner - Oyster River, Milford","See Map for Boundaries.  Central portion of LIS, Inner Estuary, from mouth at Oyster River Beach (just DS of New Haven Avenue crossing), US to saltwater limit near Woodmont Road, Milford.",0.012,SQUARE MILES,ESTUARY,Central,Inner Estuary,False,False,51,Coastal and Marine Surface Waters Class SA,0.012,N,Not Supporting,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,X,Unassessed,Yes,345488.811096191,13934.9533915398
34,2016,CT-C1_016,"LIS CB Inner - Cove River, West Haven","See Map for Boundaries.  Central portion of LIS, Inner Estuary, from mouth at West Haven West Beach (just DS of Ocean Avenue crossing), US to saltwater limit near Riverview Terrace, West Haven.",0.008,SQUARE MILES,ESTUARY,Central,Inner Estuary,False,False,51,Coastal and Marine Surface Waters Class SA,0.008,N,Not Supporting,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,X,Unassessed,Yes,227221.790588379,8911.65684082543
35,2016,CT-E1_012,"LIS EB Inner - Poquonuck River (Mouth), Groton","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Poquonuck River from mouth at Baker Cove (along East of Groton-New London Airport), US to saltwater limit just US of RR crossing, Groton.",0.367,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,False,False,51,Coastal and Marine Surface Waters Class SA,0.367,X,Unassessed,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,10219890.0637817,41045.3933201836
36,2016,CT-E1_013,"LIS EB Inner - Baker Cove, Groton","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Baker cove from Avery Point and tip of Pine Island, to mouth of Poquonuck River (South of Groton-New London Airport), Groton.",0.314,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,True,False,51,Coastal and Marine Surface Waters Class SA,0.314,X,Unassessed,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,8764590.71289063,28487.1170412456
37,2016,CT-E1_015-SB,"LIS EB Inner - Thames River (middle), Ledyard","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Thames River from I95 crossing, US to just below outlet of Poquetanuck Cove (near Walden Island), and adjacent to Route 12 at Cardinal Lane intersection, Ledyard.",3.316,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,False,False,52,Coastal and Marine Surface Waters Class SB,3.316,N,Not Supporting,N,Not Supporting,F,Fully Supporting,Shellfish Commercial Harvesting,N,Not Supporting,Yes,92442236.0233765,165470.097581348
38,2016,CT-E1_020,"LIS EB Inner - Niantic River (mouth), Niantic","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Niantic River (Inner Niantic Bay) from outlet at Route 156 and RR crossing, US to saltwater limit in Banning Cove (between Route 1 crossing and I95/I395), East Lyme/Waterford.",1.305,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,False,True,51,Coastal and Marine Surface Waters Class SA,1.305,N,Not Supporting,N,Not Supporting,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,36368783.0807495,68748.1940414993
39,2016,CT-C1_019-SB,"LIS CB Inner - Housatonic River (mouth), Milford","See Map for Boundaries.  Central portion of LIS, Inner Estuary, from mouth between Sniffens Point and Milford Point, US to Route 1 crossing (includes Nells Island area, lower Beaver Brook to saltwater limit, Goose Island, Crimbo Point), Milford/Stratford.",0.805,SQUARE MILES,ESTUARY,Central,Inner Estuary,True,False,52,Coastal and Marine Surface Waters Class SB,0.805,N,Not Supporting,X,Unassessed,F,Fully Supporting,Shellfish Commercial Harvesting,N,Not Supporting,Yes,22445868.1459351,160562.942934643
40,2016,CT-C3_016,LIS CB Midshore - West Haven,"See Map for Boundaries.  Central portion of LIS, SA water from SA/SB water boundary along outer New Haven Harbor, out to 50 ft contour, West Haven.",6.121,SQUARE MILES,ESTUARY,Central,Midshore,False,False,51,Coastal and Marine Surface Waters Class SA,6.121,N,Not Supporting,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,170639628.623352,58735.5333781605
41,2016,CT-E3_010,LIS EB Midshore - Old Saybrook,"See Map for Boundaries.  Eastern portion of LIS from approximately 1000 ft offshore Guardhous Point, to SB/SA water quality boundary, Old Saybrook (Mouth of Connecticut River), out to 50 ft contour.",4.409,SQUARE MILES,ESTUARY,Eastern,Midshore,False,False,51,Coastal and Marine Surface Waters Class SA,4.409,F,Fully Supporting,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,122902676.143433,46023.1439721381
42,2016,CT-E3_008,"LIS EB Midshore - Old Lyme, CT River","See Map for Boundaries.  Eastern portion of LIS from SB/SA water quality boundary near CT River mouth to approximately 1000 ft offshore Hatchett Point, Old Lyme, out to 50 ft contour (offshore of Connecticut River).",3.517,SQUARE MILES,ESTUARY,Eastern,Midshore,False,False,51,Coastal and Marine Surface Waters Class SA,3.517,F,Fully Supporting,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,98059104.4926758,47590.3354095106
44,2016,CT-W2_024,"LIS WB Shore - Byram Harbor, Greenwich","See Map for Boundaries.  Western portion of LIS from just west of Shore Island to Field Point (includes Shore Island, Rich Island, Farwells Island, Game Cock Island, Byram Harbor) out approximately 1000 ft offshore, Greenwich.",0.34,SQUARE MILES,ESTUARY,Western,Shore,True,True,51,Coastal and Marine Surface Waters Class SA,0.34,X,Unassessed,N,Not Supporting,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,9466636.36508179,28337.3321483221
48,2016,CT-W2_011,"LIS WB Shore - Canfield Island, Westport","See Map for Boundaries.  Western portion of LIS from just west of Canfield Island to Saugatuck Shores area (includes Canfiled Island, Saugatuck Shores, Seymour Point) out approximately 1000 ft offshore, Westport.",0.43,SQUARE MILES,ESTUARY,Western,Shore,True,False,51,Coastal and Marine Surface Waters Class SA,0.43,X,Unassessed,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,11976498.4579468,52718.8457353217
49,2016,CT-W1_001-SB,"LIS WB Inner - Bridgeport Harbor, Bridgeport","See Map for Boundaries.  Western portion of LIS from SA/SB water quality line at mouth at Pleasure Beach area, US to saltwater limit in Pequonnock River and Lewis Gut (includes Yellow Mill Channel, Johnsons Creek, all SB water of Harbor area), Bridgeport.",1.434,SQUARE MILES,ESTUARY,Western,Inner Estuary,False,False,52,Coastal and Marine Surface Waters Class SB,1.434,N,Not Supporting,N,Not Supporting,F,Fully Supporting,Shellfish Commercial Harvesting,N,Not Supporting,Yes,39982017.9476318,199178.427272553
50,2016,CT-W1_018-SB,"LIS WB Inner - Stamford Harbor (Inner), Stamford","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from Cook Road and across to Yacht Club, US to saltwater limit in both the West (Route 137 crossing above I95 crossing) and East (Jefferson Street) Branches of Harbor, Stamford.",0.318,SQUARE MILES,ESTUARY,Western,Inner Estuary,True,False,52,Coastal and Marine Surface Waters Class SB,0.318,N,Not Supporting,X,Unassessed,F,Fully Supporting,Shellfish Commercial Harvesting,X,Unassessed,Yes,8865824.75665283,49916.2431341998
51,2016,CT-W1_009,"LIS WB Inner - Grays Creek, Westport","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth on Saugatuck River Estuary, US to saltwater limit at Compo Road, Westport.",0.036,SQUARE MILES,ESTUARY,Western,Inner Estuary,False,False,51,Coastal and Marine Surface Waters Class SA,0.036,X,Unassessed,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,1006460.25097656,14199.4996414239
52,2016,CT-E1_006,"LIS EB Inner - Inner Quiambaug Cove, Stonington","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Inner Quiambaug Cove from RR crossing, US to Saltwater limit, above Route 1 crossing, adjacent to Cove Road, Stonington.",0.114,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,False,False,51,Coastal and Marine Surface Waters Class SA,0.114,X,Unassessed,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,3165409.62036133,20584.3594034182
53,2016,CT-E1_010,"LIS EB Inner - Palmer Cove (Inner), Groton","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Inner Palmer Cove waters from North side of Groton Long Point Road crossing, past RR crossings to saltwater limit, Groton.",0.113,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,False,False,51,Coastal and Marine Surface Waters Class SA,0.113,X,Unassessed,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,3149840.3659668,17689.4423606825
54,2016,CT-E1_019,"LIS EB Inner - Jordan Cove, Waterford","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Jordan Cove from outlet at Pleasure Beach, US past RR crossing, to Saltwater limit at outlet dam of Jordan Mill Pond, adjacent to Route 156, Waterford.",0.191,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,False,False,51,Coastal and Marine Surface Waters Class SA,0.191,X,Unassessed,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,5329055.27301025,32641.2308422451
55,2016,CT-E1_023,"LIS EB Inner - Fourmile River (mouth), Old Lyme","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Fourmile River from outlet at RR crossing, Western end of Rocky Neck State Park Beach, US to saltwater limit at Route 156 crossing, Old Lyme.",0.031,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,False,False,51,Coastal and Marine Surface Waters Class SA,0.031,X,Unassessed,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,864108.869018555,10331.9964637076
56,2016,CT-W1_005,"LIS WB Inner - Southport Harbor, Fairfield","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from mouth parallel to Willow Street, US to Harbor Road crossing, Fairfield.",0.072,SQUARE MILES,ESTUARY,Western,Inner Estuary,False,False,51,Coastal and Marine Surface Waters Class SA,0.072,X,Unassessed,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,2016457.98684692,13931.7434392048
57,2016,CT-E1_016-SB,"LIS EB Inner - Thames River (Upper), Norwich","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Thames River from just below outlet of Poquetanuck Cove (near Walden Island), adjacent to Route 12 at Cardinal Lane intersection, US to first dams in Yantic and Shetucket Rivers, Norwich.",1.555,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,True,False,52,Coastal and Marine Surface Waters Class SB,1.555,N,Not Supporting,N,Not Supporting,F,Fully Supporting,Shellfish Commercial Harvesting,N,Not Supporting,Yes,43355803.5612183,152946.582019018
58,2016,CT-E1_027-SB,"LIS EB Inner - Duck River, Old Lyme","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Duck River from RR crossing near Route 156 crossing, US to saltwater limit at Elm Street, Old Lyme.",0.007,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,False,False,52,Coastal and Marine Surface Waters Class SB,0.007,X,Unassessed,N,Not Supporting,F,Fully Supporting,Shellfish Commercial Harvesting,N,Not Supporting,Yes,183157.771911621,7220.30823173567
59,2016,CT-E1_024-SB,"LIS EB Inner - Connecticut River (mouth), Old Lyme","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Connecticut River from outlet at Griswold Point, US to I 95 crossing (Includes North and South Coves, lower Lieutenant River and waters around Great Island upto RR crossings), Old Lyme.",3.284,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,True,False,52,Coastal and Marine Surface Waters Class SB,3.284,X,Unassessed,X,Unassessed,N,Not Supporting,Shellfish Commercial Harvesting,N,Not Supporting,Yes,91545858.8720703,187381.763210371
62,2016,CT-W1_008,"LIS WB Inner - Sherwood Millpond, Westport","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from mouth at Compo Cove, US to saltwater limit south of RR and I95 (includes Mill Creek, Grove Point, and all of Greens Farm Brook surrounding Sherwood Island State Park), Westport.",0.168,SQUARE MILES,ESTUARY,Western,Inner Estuary,True,False,51,Coastal and Marine Surface Waters Class SA,0.168,X,Unassessed,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,4679287.04684448,50701.3364763244
64,2016,CT-C1_007,"LIS CB Inner - West River, Guilford","See Map for Boundaries.  Central portion of LIS, Inner Estuary, from mouth of West River at outlet into Guilford Harbor, US to saltwater limit at Route 1 crossing, Guilford.",0.047,SQUARE MILES,ESTUARY,Central,Inner Estuary,False,False,51,Coastal and Marine Surface Waters Class SA,0.047,X,Unassessed,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,1317364.32885742,26350.7315294374
66,2016,CT-E1_029-SB,"LIS EB Inner - Connecticut River (Lower), Essex","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Connecticut River from I95 crossing, US to area just above Brockway Island, Essex.",3.182,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,True,False,52,Coastal and Marine Surface Waters Class SB,3.182,X,Unassessed,X,Unassessed,N,Not Supporting,Shellfish Commercial Harvesting,X,Unassessed,Yes,88707618.3782959,247663.82978093
68,2016,CT-E2_005,"LIS EB Shore - Mouth Mystic River, Stonington","See Map for Boundaries.  Eastern portion of LIS from western most tip of Mason Island along SB/SA water quality boundary to eastern most tip of Mason Island, out approximately 1000 ft offshore.",0.35,SQUARE MILES,ESTUARY,Eastern,Shore,False,False,51,Coastal and Marine Surface Waters Class SA,0.35,X,Unassessed,X,Unassessed,F,Fully Supporting,Shellfish Direct Consumption,N,Not Supporting,Yes,9744571.94537354,29178.2386357383
