OBJECTID,ACTIVITY_CODE,ACTIVITY_NAME,TREATMENT_TYPE,FUND_CODES,NBR_UNITS_PLANNED,NBR_UNITS_ACCOMPLISHED,UOM,DATE_PLANNED,DATE_ACCOMPLISHED,DATE_COMPLETED,FY_PLANNED,FY_ACCOMPLISHED,FY_COMPLETED,ACTIVITY_UNIT_ORG,REGION_CODE,ADMIN_FOREST_CODE,DISTRICT_CODE,HOME_ORG,ADMIN_FOREST_NAME,ADMIN_DISTRICT_NAME,PROCLAIMED_FOREST_CODE,OWNERSHIP_CODE,OWNERSHIP_DESC,ALPCOUNTY,STATE_ABBR,WATERSHED_CODE,SLOPE,ELEVATION,ASPECT,METHOD_CODE,METHOD_DESC,EQUIPMENT_CODE,EQUIPMENT_DESC,COST_PER_UOM,NEPA_PROJECT_ID,NEPA_DOC_NAME,IMPLEMENTATION_PROJECT_NAMES,IMPLEMENTATION_PROJECT_NUMBERS,IMPLEMENTATION_PROJECT_TYPES,WORK_AGENT_CODES,SUBUNIT_SIZE,SUBUNIT_UOM,GIS_ACRES,ACTIVITY_UNIT_CN,SUBUNIT_CN,FACTS_ID,SUID,SUBUNIT,SUBUNIT_NAME,ACTIVITY_CN,NEPA_PROJECT_CN,STAGE,STAGE_DESC,REV_DATE,DATA_SOURCE_CODE,DATA_SOURCE_DESC,UK,ACCURACY,SHAPEAREA,SHAPELEN
24699,4152,Group Selection Cut (UA/RH/FH),Biomass Removal,XXXX,7.0,7.0,ACRES,2017/09/12 00:00:00+00,2017/09/12 00:00:00+00,2017/09/12 00:00:00+00,2017,2017,2017.0,30703.0,3.0,7.0,3.0,30703,Kaibab National Forest,North Kaibab Ranger District,307.0,FS,USDA FOREST SERVICE,Coconino,AZ,,,,,420,,455,,0.0,,,"MONARCH BUTTERFLY HABITAT RESTORATION,RESILIENCY,WILD BUCK TS"," ,03143,MBHR-0307","MBHR,WBBS,WBBS",CT,7.0,ACRES,7.349,3978205010602,944507010602,A000000083,030703A000000083021,021,WILD BUCK GRP SELECT REGEN. PAY UNIT 7,5465364010602,33859,3,Accomplished,2017/10/02 20:44:51+00,3.0,GPS – Differentially Corrected Data,0307_26954_ACTP,,2.9981127080235e-06,0.0310734769316724
24700,4220,Commercial Thin,Thinning,XXXX,130.0,130.0,ACRES,2017/09/12 00:00:00+00,2017/09/12 00:00:00+00,2017/09/12 00:00:00+00,2017,2017,2017.0,30703.0,3.0,7.0,3.0,30703,Kaibab National Forest,North Kaibab Ranger District,307.0,FS,USDA FOREST SERVICE,Coconino,AZ,,,,,420,,455,,0.0,,,"MONARCH BUTTERFLY HABITAT RESTORATION,RESILIENCY,WILD BUCK TS"," ,03143,MBHR-0307","MBHR,WBBS,WBBS",CT,130.0,ACRES,129.853,3978205010602,944510010602,A000000083,030703A000000083022,022,WILD BUCK COM. THIN TENDING PAY UNIT 7,5465407010602,33859,3,Accomplished,2017/10/02 20:44:51+00,3.0,GPS – Differentially Corrected Data,0307_26966_ACTP,,5.29761444042455e-05,0.0991069502212635
24701,4152,Group Selection Cut (UA/RH/FH),Biomass Removal,XXXX,1.0,1.0,ACRES,2017/07/17 00:00:00+00,2017/07/17 00:00:00+00,2017/07/17 00:00:00+00,2017,2017,2017.0,30703.0,3.0,7.0,3.0,30703,Kaibab National Forest,North Kaibab Ranger District,307.0,FS,USDA FOREST SERVICE,Coconino,AZ,,,,,420,,455,,0.0,,,"MONARCH BUTTERFLY HABITAT RESTORATION,RESILIENCY,WILD BUCK TS"," ,03143,MBHR-0307","MBHR,WBBS,WBBS",CT,1.0,ACRES,0.938,3978205010602,944511010602,A000000083,030703A000000083023,023,WILD BUCK GRP SELECT REGEN PAY UNIT 6,5465511010602,33859,3,Accomplished,2017/10/02 20:44:51+00,3.0,GPS – Differentially Corrected Data,0307_26967_ACTP,,3.82624701486e-07,0.0025832727660299
24702,4220,Commercial Thin,Thinning,XXXX,33.0,33.0,ACRES,2017/07/17 00:00:00+00,2017/07/17 00:00:00+00,2017/07/17 00:00:00+00,2017,2017,2017.0,30703.0,3.0,7.0,3.0,30703,Kaibab National Forest,North Kaibab Ranger District,307.0,FS,USDA FOREST SERVICE,Coconino,AZ,,,,,420,,455,,0.0,,,"MONARCH BUTTERFLY HABITAT RESTORATION,RESILIENCY,WILD BUCK TS"," ,03143,MBHR-0307","MBHR,WBBS,WBBS",CT,33.0,ACRES,32.476,3978205010602,944512010602,A000000083,030703A000000083024,024,WILD BUCK COM. THIN TENDING PAY UNIT 6,5465527010602,33859,3,Accomplished,2017/10/02 20:44:51+00,3.0,GPS – Differentially Corrected Data,0307_26968_ACTP,,1.3249700318633e-05,0.0274668986010074
24703,4220,Commercial Thin,Thinning,XXXX,88.0,88.0,ACRES,2017/06/23 00:00:00+00,2017/06/23 00:00:00+00,2019/05/29 00:00:00+00,2017,2017,2019.0,30703.0,3.0,7.0,3.0,30703,Kaibab National Forest,North Kaibab Ranger District,307.0,FS,USDA FOREST SERVICE,Coconino,AZ,,,,,420,,455,,0.0,,,MONARCH BUTTERFLY HABITAT RESTORATION,MBHR-0307,MBHR,CT,88.0,ACRES,88.316,3978205010602,1205639010602,A000000083,030703A000000083032,032,BUCK LAKE COM THIN TENDING PAY UNIT 1,5961268010602,33859,3,Accomplished,2019/10/29 21:22:32+00,2.0,GPS – Uncorrected Data,0307_28973_ACTP,,3.6044670472597e-05,0.129576574000601
24704,4152,Group Selection Cut (UA/RH/FH),Biomass Removal,XXXX,6.0,6.0,ACRES,2017/06/23 00:00:00+00,2017/06/23 00:00:00+00,2019/05/29 00:00:00+00,2017,2017,2019.0,30703.0,3.0,7.0,3.0,30703,Kaibab National Forest,North Kaibab Ranger District,307.0,FS,USDA FOREST SERVICE,Coconino,AZ,,,,,420,,455,,0.0,,,MONARCH BUTTERFLY HABITAT RESTORATION,MBHR-0307,MBHR,CT,6.0,ACRES,6.081,3978205010602,1205744010602,A000000083,030703A000000083033,033,BUCK LAKE GRP SELECT PAY UNIT 1,5961314010602,33859,3,Accomplished,2019/10/29 21:22:32+00,2.0,GPS – Uncorrected Data,0307_28974_ACTP,,2.481886848307e-06,0.020542478122041
24705,4220,Commercial Thin,Thinning,XXXX,114.0,114.0,ACRES,2017/06/23 00:00:00+00,2017/06/23 00:00:00+00,2017/06/23 00:00:00+00,2017,2017,2017.0,30703.0,3.0,7.0,3.0,30703,Kaibab National Forest,North Kaibab Ranger District,307.0,FS,USDA FOREST SERVICE,Coconino,AZ,,,,,420,,455,,0.0,,,"BUCK LAKE TS,MONARCH BUTTERFLY HABITAT RESTORATION,RESILIENCY"," ,03150,MBHR-0307","MBHR,WBBS,WBBS",CT,114.0,ACRES,114.08,3978205010602,956379010602,A000000083,030703A000000083034,034,BUCK LAKE COM THIN TENDING PAY UNIT 2,5464969010602,33859,3,Accomplished,2017/10/02 20:44:51+00,3.0,GPS – Differentially Corrected Data,0307_26969_ACTP,,4.6561900821357e-05,0.102593476978602
24706,4152,Group Selection Cut (UA/RH/FH),Biomass Removal,XXXX,6.0,6.0,ACRES,2017/06/23 00:00:00+00,2017/06/23 00:00:00+00,2017/06/23 00:00:00+00,2017,2017,2017.0,30703.0,3.0,7.0,3.0,30703,Kaibab National Forest,North Kaibab Ranger District,307.0,FS,USDA FOREST SERVICE,Coconino,AZ,,,,,420,,455,,0.0,,,"BUCK LAKE TS,MONARCH BUTTERFLY HABITAT RESTORATION,RESILIENCY"," ,03150,MBHR-0307","MBHR,WBBS,WBBS",CT,6.0,ACRES,5.753,3978205010602,956381010602,A000000083,030703A000000083035,035,BUCK LAKE GRP SELECT PAY UNIT 2,5465616010602,33859,3,Accomplished,2017/10/02 20:44:51+00,3.0,GPS – Differentially Corrected Data,0307_26972_ACTP,,2.3481941906875e-06,0.0253123587957194
24707,4220,Commercial Thin,Thinning,XXXX,190.0,190.0,ACRES,2017/06/23 00:00:00+00,2017/06/23 00:00:00+00,2018/11/26 00:00:00+00,2017,2017,2019.0,30703.0,3.0,7.0,3.0,30703,Kaibab National Forest,North Kaibab Ranger District,307.0,FS,USDA FOREST SERVICE,Coconino,AZ,,,,,420,,455,,0.0,,,MONARCH BUTTERFLY HABITAT RESTORATION,MBHR-0307,MBHR,CT,190.0,ACRES,190.122,3978205010602,1205836010602,A000000083,030703A000000083038,038,BUCK LAKE COM THIN TENDING PAY UNIT 4,5961570010602,33859,3,Accomplished,2019/10/29 21:22:32+00,2.0,GPS – Uncorrected Data,0307_28972_ACTP,,7.7621307081488e-05,0.104894409797691
24708,4152,Group Selection Cut (UA/RH/FH),Biomass Removal,XXXX,7.0,7.0,ACRES,2017/06/23 00:00:00+00,2017/06/23 00:00:00+00,2018/11/26 00:00:00+00,2017,2017,2019.0,30703.0,3.0,7.0,3.0,30703,Kaibab National Forest,North Kaibab Ranger District,307.0,FS,USDA FOREST SERVICE,Coconino,AZ,,,,,420,,455,,0.0,,,MONARCH BUTTERFLY HABITAT RESTORATION,MBHR-0307,MBHR,CT,7.0,ACRES,6.7,3978205010602,1205871010602,A000000083,030703A000000083039,039,BUCK LAKE GRP SELECT PAY UNIT 4,5961624010602,33859,3,Accomplished,2019/10/29 21:22:33+00,2.0,GPS – Uncorrected Data,0307_28975_ACTP,,2.735362412964e-06,0.0203647680809666
24709,4220,Commercial Thin,Thinning,XXXX,79.0,79.0,ACRES,2017/06/23 00:00:00+00,2017/06/23 00:00:00+00,2017/06/23 00:00:00+00,2017,2017,2017.0,30703.0,3.0,7.0,3.0,30703,Kaibab National Forest,North Kaibab Ranger District,307.0,FS,USDA FOREST SERVICE,Coconino,AZ,,,,,420,,455,,0.0,,,"BUCK LAKE TS,MONARCH BUTTERFLY HABITAT RESTORATION,RESILIENCY"," ,03150,MBHR-0307","MBHR,WBBS,WBBS",CT,79.0,ACRES,79.334,3978205010602,956469010602,A000000083,030703A000000083042,042,BUCK LAKE COM THIN TENDING PAY UNIT 6,5465654010602,33859,3,Accomplished,2017/10/02 20:44:52+00,3.0,GPS – Differentially Corrected Data,0307_26981_ACTP,,3.23932517453995e-05,0.0585261153597982
24710,4152,Group Selection Cut (UA/RH/FH),Biomass Removal,XXXX,3.0,3.0,ACRES,2017/06/23 00:00:00+00,2017/06/23 00:00:00+00,2017/06/23 00:00:00+00,2017,2017,2017.0,30703.0,3.0,7.0,3.0,30703,Kaibab National Forest,North Kaibab Ranger District,307.0,FS,USDA FOREST SERVICE,Coconino,AZ,,,,,420,,455,,0.0,,,"BUCK LAKE TS,MONARCH BUTTERFLY HABITAT RESTORATION,RESILIENCY"," ,03150,MBHR-0307","MBHR,WBBS,WBBS",CT,3.0,ACRES,2.757,3978205010602,956470010602,A000000083,030703A000000083043,043,BUCK LAKE GRP SELECT PAY UNIT 6,5465681010602,33859,3,Accomplished,2017/10/02 20:44:52+00,3.0,GPS – Differentially Corrected Data,0307_26982_ACTP,,1.1258693071475e-06,0.0110400661333029
24711,4220,Commercial Thin,Thinning,XXXX,118.0,118.0,ACRES,2017/06/12 00:00:00+00,2017/06/12 00:00:00+00,2020/08/31 00:00:00+00,2017,2017,2020.0,30703.0,3.0,7.0,3.0,30703,Kaibab National Forest,North Kaibab Ranger District,307.0,FS,USDA FOREST SERVICE,Coconino,AZ,,,,,420,,455,,0.0,,,"MONARCH BUTTERFLY HABITAT RESTORATION,RESILIENCY,ZEE TS"," ,03143,MBHR-0307","MBHR,WBBS,WBBS",CT,118.0,ACRES,118.911,3978205010602,1110353010602,A000000083,030703A000000083075,075,ZEE COM. THIN TENDING PAY UNIT 2,5527509010602,33859,3,Accomplished,2020/10/29 16:56:11+00,3.0,GPS – Differentially Corrected Data,0307_29911_ACTP,,4.8522113176042e-05,0.0720513032862687
24712,4152,Group Selection Cut (UA/RH/FH),Biomass Removal,XXXX,2.0,2.0,ACRES,2017/06/12 00:00:00+00,2017/06/12 00:00:00+00,2020/08/31 00:00:00+00,2017,2017,2020.0,30703.0,3.0,7.0,3.0,30703,Kaibab National Forest,North Kaibab Ranger District,307.0,FS,USDA FOREST SERVICE,Coconino,AZ,,,,,420,,455,,0.0,,,"MONARCH BUTTERFLY HABITAT RESTORATION,RESILIENCY,ZEE TS"," ,03143,MBHR-0307","MBHR,WBBS,WBBS",CT,2.0,ACRES,1.937,3978205010602,1110355010602,A000000083,030703A000000083076,076,ZEE GRP. SEL. CUT PAY UNIT 2,5527490010602,33859,3,Accomplished,2020/10/29 16:56:11+00,3.0,GPS – Differentially Corrected Data,0307_29913_ACTP,,7.90318752499e-07,0.0090843081247754
24713,4152,Group Selection Cut (UA/RH/FH),Biomass Removal,XXXX,7.0,7.0,ACRES,2017/06/12 00:00:00+00,2017/06/12 00:00:00+00,2020/07/31 00:00:00+00,2017,2017,2020.0,30703.0,3.0,7.0,3.0,30703,Kaibab National Forest,North Kaibab Ranger District,307.0,FS,USDA FOREST SERVICE,Coconino,AZ,,,,,420,,455,,0.0,,,"MONARCH BUTTERFLY HABITAT RESTORATION,RESILIENCY,ZEE TS"," ,03143,MBHR-0307","MBHR,WBBS,WBBS",CT,7.0,ACRES,6.686,3978205010602,1110374010602,A000000083,030703A000000083078,078,ZEE GRP. SEL. CUT PAY UNIT 3,5527456010602,33859,3,Accomplished,2020/10/29 16:56:11+00,3.0,GPS – Differentially Corrected Data,0307_29912_ACTP,,2.72805139317e-06,0.020444363268817
24714,7100,"Pollinator habitat improved, restored or maintained",,XXXX,81.0,81.0,ACRES,2018/08/31 00:00:00+00,2018/08/31 00:00:00+00,,2018,2018,,30703.0,3.0,7.0,3.0,30703,Kaibab National Forest,North Kaibab Ranger District,307.0,FS,USDA FOREST SERVICE,Coconino,AZ,,,,,420,,455,,0.0,,,"MONARCH BUTTERFLY HABITAT RESTORATION,RIDGE REOFFER","03143,MBHR-0307","MBHR,WBBS",CT,81.0,ACRES,80.574,3978205010602,1154952010602,A000000083,030703A000000083085,085,RIDGEREOFF PAYUNIT 1 TENDING,5730030010602,33859,3,Accomplished,2018/10/31 15:22:49+00,2.0,GPS – Uncorrected Data,0307_27992_ACTP,,3.28821297703995e-05,0.0475448501615693
24715,7100,"Pollinator habitat improved, restored or maintained",,XXXX,1.0,1.0,ACRES,2018/08/31 00:00:00+00,2018/08/31 00:00:00+00,,2018,2018,,30703.0,3.0,7.0,3.0,30703,Kaibab National Forest,North Kaibab Ranger District,307.0,FS,USDA FOREST SERVICE,Coconino,AZ,,,,,420,,455,,0.0,,,"MONARCH BUTTERFLY HABITAT RESTORATION,RIDGE REOFFER","03143,MBHR-0307","MBHR,WBBS",CT,1.0,ACRES,0.961,3978205010602,1154960010602,A000000083,030703A000000083086,086,RIDGEREOFF PAYUNIT 1 GRP SELECT CUT,5743113010602,33859,3,Accomplished,2018/10/31 15:22:49+00,2.0,GPS – Uncorrected Data,0307_27991_ACTP,,3.920309806595e-07,0.0025697189579949
24716,7100,"Pollinator habitat improved, restored or maintained",,XXXX,52.0,52.0,ACRES,2018/08/31 00:00:00+00,2018/08/31 00:00:00+00,,2018,2018,,30703.0,3.0,7.0,3.0,30703,Kaibab National Forest,North Kaibab Ranger District,307.0,FS,USDA FOREST SERVICE,Coconino,AZ,,,,,100,,111,,0.0,,,"MONARCH BUTTERFLY HABITAT RESTORATION,RIDGE REOFFER","03143,MBHR-0307","MBHR,WBBS",CT,52.0,ACRES,52.356,3978205010602,1154962010602,A000000083,030703A000000083087,087,RIDGEREOFF PAYUNIT 2 TENDING,5743141010602,33859,3,Accomplished,2018/10/31 15:22:50+00,2.0,GPS – Uncorrected Data,0307_28036_ACTP,,2.1365845069734e-05,0.0423359027864066
24717,7100,"Pollinator habitat improved, restored or maintained",,XXXX,4.0,4.0,ACRES,2018/08/31 00:00:00+00,2018/08/31 00:00:00+00,,2018,2018,,30703.0,3.0,7.0,3.0,30703,Kaibab National Forest,North Kaibab Ranger District,307.0,FS,USDA FOREST SERVICE,Coconino,AZ,,,,,420,,455,,0.0,,,"MONARCH BUTTERFLY HABITAT RESTORATION,RIDGE REOFFER","03143,MBHR-0307","MBHR,WBBS",CT,4.0,ACRES,4.264,3978205010602,1154963010602,A000000083,030703A000000083088,088,RIDGEREOFF PAYUNIT 2 GRP SELECT CUT,5743190010602,33859,3,Accomplished,2018/10/31 15:22:49+00,2.0,GPS – Uncorrected Data,0307_27990_ACTP,,1.740312314472e-06,0.0111914711622181
24718,7100,"Pollinator habitat improved, restored or maintained",,XXXX,41.0,41.0,ACRES,2018/08/31 00:00:00+00,2018/08/31 00:00:00+00,,2018,2018,,30703.0,3.0,7.0,3.0,30703,Kaibab National Forest,North Kaibab Ranger District,307.0,FS,USDA FOREST SERVICE,Coconino,AZ,,,,,420,,455,,0.0,,,"MONARCH BUTTERFLY HABITAT RESTORATION,RIDGE REOFFER","03143,MBHR-0307","MBHR,WBBS",CT,41.0,ACRES,40.927,3978205010602,1154964010602,A000000083,030703A000000083089,089,RIDGEREOFF PAYUNIT 3 TENDING,5743150010602,33859,3,Accomplished,2018/10/31 15:22:50+00,2.0,GPS – Uncorrected Data,0307_28035_ACTP,,1.6703403420529e-05,0.03515267650704
24719,7100,"Pollinator habitat improved, restored or maintained",,XXXX,43.0,43.0,ACRES,2018/08/31 00:00:00+00,2018/08/31 00:00:00+00,,2018,2018,,30703.0,3.0,7.0,3.0,30703,Kaibab National Forest,North Kaibab Ranger District,307.0,FS,USDA FOREST SERVICE,Coconino,AZ,,,,,420,,455,,0.0,,,"MONARCH BUTTERFLY HABITAT RESTORATION,RIDGE REOFFER","03143,MBHR-0307","MBHR,WBBS",CT,43.0,ACRES,42.583,3978205010602,1154974010602,A000000083,030703A000000083090,090,RIDGEREOFF PAYUNIT 4 TENDING,5743197010602,33859,3,Accomplished,2018/10/31 15:22:49+00,2.0,GPS – Uncorrected Data,0307_27989_ACTP,,1.7379729905003e-05,0.0363941579051835
24720,7100,"Pollinator habitat improved, restored or maintained",,XXXX,3.0,3.0,ACRES,2018/08/31 00:00:00+00,2018/08/31 00:00:00+00,,2018,2018,,30703.0,3.0,7.0,3.0,30703,Kaibab National Forest,North Kaibab Ranger District,307.0,FS,USDA FOREST SERVICE,Coconino,AZ,,,,,420,,455,,0.0,,,"MONARCH BUTTERFLY HABITAT RESTORATION,RIDGE REOFFER","03143,MBHR-0307","MBHR,WBBS",CT,3.0,ACRES,3.387,3978205010602,1154981010602,A000000083,030703A000000083091,091,RIDGEREOFF PAYUNIT 4 GRP SELECT CUT,5743264010602,33859,3,Accomplished,2018/10/31 15:22:49+00,2.0,GPS – Uncorrected Data,0307_27988_ACTP,,1.382190280737e-06,0.0076448687548394
