OBJECTID,GEOID10,SqMiles,Acres,Parcel_Count,Total_Surveyed,PctSurveyed,StructureYes,Pct_StructureYes,StructureNo,Pct_StructureNo,Use_Commercial,PctParcels_Commercial,PctStructure_Commercial,Use_Industrial,PctParcels_Industrial,PctStructure_Industrial,Use_Institutional,PctParcels_Institutional,PctStructure_Institutional,Use_Mixed,PctParcels_Mixed,PctStructure_Mixed,Use_Private,PctParcels_Private,PctLots_Private,Use_Public,PctParcel_Public,PctLots_Public,Use_Residential,PctParcels_Residental,PctStructure_Residential,StructureNo_Unknown,PctParcelsNo_Unknown,PctLotsNo_Unknown,StructureYes_Unknown,PctParcelsYes_Unknown,PctStructureYes_Unknown,Condition_Good,Pct_ConditionGood,Condition_Fair,PctCondition_Fair,Condition_Poor,PctCondition_Poor,Condition_SuggestDemo,PctCondition_SuggestDemo,AvgConditionRating,ResStructs_Good,PctGood_ResStruct,ResStructs_Fair,PctFair_ResStruct,ResStruct_Poor,PctPoor_ResStruct,ResStruct_SugDemo,PctSugDemo_ResStruct,ResStruct_AvgConditionRating,Occupancy_Occupied,PctStructures_Occupied,Occupancy_Maybe,PctStructures_Maybe,Occupancy_Unoccupied,PctStructures_Unoccupied,ResStruct_Occupied,PctResStruct_Occupied,ResStruct_Maybe,PctResStruct_Maybe,ResStruct_Unoccupied,PctResStruct_Unoccupied,Boarding_Yes,PctStructures_NeedBoarding,Fire_Yes,PctStructures_Fire,ResStruct_NeedBoarding,PctResStruct_Boarding,ResStruct_FireDamage,PctResStruct_Fire,StructureNo_DumpingYes,PctLots_withDumping,StructureYes_DumpingYes,PctStructures_withDumping,TotalParcels_withDumping,PctTotalParcels_withDumping,ResMixUnits_0Units,PctResMixUnits_0Units,ResMixUnits_1Units,PctResMixUnits_1Units,ResMixUnits_2to3Units,PctResMixUnits_2to3Units,ResMixUnits_4Units,PctResMixUnits_4Units,EmptyLots_Improved,PctLots_Improved,EmptyLots_Unimproved,PctLots_Unimproved,EmptyLot_Maintained,PctLots_Maintained,EmptyLot_Unmaintained,PctLots_Unmaintained,Public_Use_Lots,EmptyLot_PublicUse_ParkGarden,PctLots_ParkGarden,PctPULots_ParkGarden,EmptyLot_PublicUse_ParkingLot,PctLots_ParkingLot,PctPULots_ParkingLot,EmptyLot_PublicUse_Other,PctLots_OtherPublicUse,PctPULots_OtherPU
45,26163512600,0.53425805,341.925152,2338,2276.0,0.973481608212147,722.0,0.317223198594025,1554.0,0.682776801405975,48.0,0.0210896309314587,0.0664819944598338,,0.0,0.0,13.0,0.0057117750439367,0.018005540166205,5.0,0.0021968365553602,0.0069252077562326,163.0,0.0716168717047452,0.104890604890605,22.0,0.0096660808435852,0.0141570141570142,655.0,0.287785588752197,0.907202216066482,1369.0,0.601493848857645,0.880952380952381,1.0,0.000439367311072,0.0013850415512465,499.0,0.691135734072022,122.0,0.168975069252078,64.0,0.0886426592797784,37.0,0.0512465373961219,1.5,458.0,0.699236641221374,104.0,0.158778625954198,59.0,0.0900763358778626,34.0,0.0519083969465649,1.49465648854962,452.0,0.626038781163435,47.0,0.0650969529085873,156.0,0.21606648199446,452.0,0.690076335877863,47.0,0.0717557251908397,156.0,0.238167938931298,127.0,0.17590027700831,41.0,0.056786703601108,113.0,0.172519083969466,39.0,0.0595419847328244,112.0,0.0720720720720721,35.0,0.0484764542936288,147.0,0.0645869947275923,5,0.0075757575757575,515.0,0.78030303030303,126.0,0.190909090909091,13,0.0196969696969697,203.0,0.130630630630631,1351.0,0.869369369369369,373.0,0.24002574002574,1180.0,0.759330759330759,22.0,4.0,0.0025740025740025,0.181818181818182,4.0,0.0025740025740025,0.181818181818182,14.0,0.009009009009009,0.636363636363636
46,26163512400,0.38672648,247.5049504,1710,1676.0,0.980116959064328,575.0,0.343078758949881,1101.0,0.656921241050119,27.0,0.016109785202864,0.0469565217391304,,0.0,0.0,9.0,0.0053699284009546,0.0156521739130435,1.0,0.0005966587112171,0.0017391304347826,110.0,0.0656324582338902,0.0999091734786558,51.0,0.0304295942720764,0.0463215258855586,535.0,0.319212410501193,0.930434782608696,940.0,0.560859188544153,0.853769300635786,3.0,0.0017899761336515,0.0052173913043478,355.0,0.617391304347826,114.0,0.198260869565217,80.0,0.139130434782609,26.0,0.0452173913043478,1.61217391304348,326.0,0.609345794392523,109.0,0.203738317757009,76.0,0.142056074766355,24.0,0.0448598130841121,1.62242990654206,320.0,0.556521739130435,45.0,0.0782608695652174,170.0,0.295652173913043,320.0,0.598130841121495,45.0,0.0841121495327103,170.0,0.317757009345794,136.0,0.236521739130435,24.0,0.0417391304347826,129.0,0.241121495327103,22.0,0.0411214953271028,67.0,0.0608537693006358,21.0,0.0365217391304348,88.0,0.0525059665871122,1,0.001865671641791,471.0,0.878731343283582,57.0,0.10634328358209,7,0.0130597014925373,151.0,0.137148047229791,950.0,0.862851952770209,212.0,0.192552225249773,889.0,0.807447774750227,51.0,1.0,0.0009082652134423,0.0196078431372549,4.0,0.0036330608537693,0.0784313725490196,43.0,0.03905540417802,0.843137254901961
47,26163512300,0.30649793,196.15867617,1116,1095.0,0.981182795698925,526.0,0.480365296803653,569.0,0.519634703196347,27.0,0.0246575342465753,0.0513307984790875,1.0,0.0009132420091324,0.0019011406844106,15.0,0.0136986301369863,0.0285171102661597,,0.0,0.0,73.0,0.0666666666666667,0.12829525483304,8.0,0.0073059360730593,0.0140597539543058,482.0,0.440182648401826,0.916349809885932,488.0,0.445662100456621,0.857644991212654,1.0,0.0009132420091324,0.0019011406844106,436.0,0.828897338403042,50.0,0.0950570342205323,27.0,0.0513307984790875,13.0,0.0247148288973384,1.27186311787072,395.0,0.819502074688797,48.0,0.0995850622406639,26.0,0.0539419087136929,13.0,0.0269709543568465,1.28838174273859,355.0,0.67490494296578,17.0,0.032319391634981,110.0,0.209125475285171,355.0,0.736514522821577,17.0,0.0352697095435685,110.0,0.228215767634855,69.0,0.131178707224335,19.0,0.0361216730038023,67.0,0.139004149377593,19.0,0.0394190871369295,13.0,0.0228471001757469,8.0,0.0152091254752852,21.0,0.0191780821917808,2,0.004149377593361,419.0,0.869294605809129,51.0,0.105809128630705,10,0.020746887966805,85.0,0.149384885764499,484.0,0.850615114235501,254.0,0.446397188049209,315.0,0.553602811950791,8.0,,0.0,0.0,1.0,0.0017574692442882,0.125,7.0,0.0123022847100176,0.875
48,26163512100,0.46078281,294.900998,1620,1595.0,0.984567901234568,1225.0,0.768025078369906,370.0,0.231974921630094,21.0,0.013166144200627,0.0171428571428571,,0.0,0.0,5.0,0.0031347962382445,0.0040816326530612,1.0,0.0006269592476489,0.0008163265306122,104.0,0.0652037617554859,0.281081081081081,8.0,0.0050156739811912,0.0216216216216216,1198.0,0.751097178683386,0.977959183673469,258.0,0.161755485893417,0.697297297297297,,0.0,0.0,1048.0,0.855510204081633,146.0,0.119183673469388,20.0,0.0163265306122449,11.0,0.0089795918367346,1.17877551020408,1022.0,0.853088480801336,146.0,0.121869782971619,19.0,0.0158597662771285,11.0,0.0091819699499165,1.18113522537563,849.0,0.693061224489796,101.0,0.0824489795918367,248.0,0.202448979591837,849.0,0.708681135225376,101.0,0.0843071786310517,248.0,0.207011686143573,168.0,0.137142857142857,14.0,0.0114285714285714,167.0,0.139398998330551,14.0,0.011686143572621,18.0,0.0486486486486487,10.0,0.0081632653061224,28.0,0.0175548589341693,1,0.0008340283569641,1029.0,0.858215179316097,160.0,0.133444537114262,8,0.006672226855713,78.0,0.210810810810811,291.0,0.786486486486486,200.0,0.540540540540541,169.0,0.456756756756757,8.0,3.0,0.0081081081081081,0.375,1.0,0.0027027027027027,0.125,1.0,0.0027027027027027,0.125
49,26163511900,0.44505185,284.83318346,1157,1073.0,0.927398444252377,553.0,0.515377446411929,520.0,0.484622553588071,80.0,0.0745573159366263,0.144665461121157,5.0,0.0046598322460391,0.0090415913200723,13.0,0.0121155638397018,0.0235081374321881,7.0,0.0065237651444548,0.0126582278481013,170.0,0.158434296365331,0.326923076923077,22.0,0.0205032618825722,0.0423076923076923,444.0,0.413793103448276,0.802893309222423,328.0,0.305684995340168,0.630769230769231,4.0,0.0037278657968313,0.0072332730560578,409.0,0.739602169981917,121.0,0.21880650994575,9.0,0.0162748643761302,14.0,0.0253164556962025,1.32730560578662,320.0,0.720720720720721,105.0,0.236486486486486,8.0,0.018018018018018,11.0,0.0247747747747748,1.34684684684685,293.0,0.529837251356239,25.0,0.0452079566003617,126.0,0.227848101265823,293.0,0.65990990990991,25.0,0.0563063063063063,126.0,0.283783783783784,101.0,0.182640144665461,12.0,0.0216998191681736,93.0,0.209459459459459,11.0,0.0247747747747748,20.0,0.0384615384615385,4.0,0.0072332730560578,24.0,0.0223671947809879,1,0.0022172949002217,294.0,0.651884700665188,127.0,0.28159645232816,28,0.0620842572062084,228.0,0.438461538461538,292.0,0.561538461538462,322.0,0.619230769230769,198.0,0.380769230769231,22.0,8.0,0.0153846153846154,0.363636363636364,9.0,0.0173076923076923,0.409090909090909,1.0,0.0019230769230769,0.0454545454545455
50,26163985900,0.24143778,154.52018395,53,48.0,0.905660377358491,,0.0,,0.0,7.0,0.145833333333333,,19.0,0.395833333333333,,1.0,0.0208333333333333,,,0.0,,10.0,0.208333333333333,,,,,,0.0,11.0,10.0,0.208333333333333,,1.0,0.0208333333333333,,24.0,,3.0,,1.0,,,,1.17857142857143,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,3.0,,,,3.0,0.0625,0,,,,,,0,,9.0,,11.0,,9.0,,11.0,,,,,,,,,,,
51,26163985200,0.94055798,601.95710969,33,33.0,1.0,18.0,0.545454545454545,15.0,0.454545454545455,10.0,0.303030303030303,0.555555555555556,4.0,0.121212121212121,0.222222222222222,3.0,0.0909090909090909,0.166666666666667,1.0,0.0303030303030303,0.0555555555555556,3.0,0.0909090909090909,0.2,4.0,0.121212121212121,0.266666666666667,,0.0,0.0,8.0,0.242424242424242,0.533333333333333,,0.0,0.0,15.0,0.833333333333333,2.0,0.111111111111111,,0.0,1.0,0.0555555555555556,1.27777777777778,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,2.0,0.111111111111111,1.0,0.0555555555555556,,,,,1.0,0.0666666666666667,,0.0,1.0,0.0303030303030303,0,0.0,0.0,0.0,1.0,1.0,0,0.0,8.0,0.533333333333333,7.0,0.466666666666667,10.0,0.666666666666667,5.0,0.333333333333333,4.0,2.0,0.133333333333333,0.5,2.0,0.133333333333333,0.5,,0.0,0.0
52,26163511200,0.51839813,331.77480427,1304,1295.0,0.993098159509202,641.0,0.494980694980695,654.0,0.505019305019305,48.0,0.0370656370656371,0.0748829953198128,16.0,0.0123552123552124,0.0249609984399376,14.0,0.0108108108108108,0.0218408736349454,13.0,0.01003861003861,0.0202808112324493,166.0,0.128185328185328,0.253822629969419,16.0,0.0123552123552124,0.0244648318042813,540.0,0.416988416988417,0.842433697347894,472.0,0.364478764478764,0.7217125382263,10.0,0.0077220077220077,0.015600624024961,405.0,0.63182527301092,220.0,0.343213728549142,10.0,0.015600624024961,6.0,0.0093603744149766,1.40249609984399,336.0,0.622222222222222,191.0,0.353703703703704,9.0,0.0166666666666667,4.0,0.0074074074074074,1.40925925925926,368.0,0.574102964118565,27.0,0.0421216848673947,145.0,0.226209048361934,368.0,0.681481481481481,27.0,0.05,145.0,0.268518518518519,136.0,0.21216848673947,15.0,0.0234009360374415,122.0,0.225925925925926,15.0,0.0277777777777778,37.0,0.0565749235474006,11.0,0.0171606864274571,48.0,0.0370656370656371,5,0.0090415913200723,415.0,0.750452079566004,116.0,0.209764918625678,16,0.0289330922242315,175.0,0.267584097859327,479.0,0.732415902140673,328.0,0.501529051987768,325.0,0.496941896024465,16.0,9.0,0.0137614678899083,0.5625,2.0,0.0030581039755351,0.125,5.0,0.0076452599388379,0.3125
53,26163985100,1.12935615,722.78793442,208,180.0,0.865384615384615,51.0,0.283333333333333,129.0,0.716666666666667,16.0,0.0888888888888889,0.313725490196078,17.0,0.0944444444444444,0.333333333333333,3.0,0.0166666666666667,0.0588235294117647,3.0,0.0166666666666667,0.0588235294117647,51.0,0.283333333333333,0.395348837209302,,,,2.0,0.0111111111111111,0.0392156862745098,78.0,0.433333333333333,0.604651162790698,10.0,0.0555555555555556,0.196078431372549,34.0,0.666666666666667,10.0,0.196078431372549,3.0,0.0588235294117647,4.0,0.0784313725490196,1.54901960784314,,0.0,1.0,0.5,1.0,0.5,,0.0,2.5,1.0,0.0196078431372549,1.0,0.0196078431372549,,0.0,1.0,0.5,1.0,0.5,,0.0,6.0,0.117647058823529,2.0,0.0392156862745098,,0.0,,0.0,3.0,0.0232558139534884,,0.0,3.0,0.0166666666666667,0,0.0,2.0,0.4,1.0,0.2,2,0.4,54.0,0.418604651162791,75.0,0.581395348837209,63.0,0.488372093023256,66.0,0.511627906976744,,,0.0,,,0.0,,,0.0,
54,26163510700,0.21898092,140.14779367,1109,1084.0,0.977457168620379,461.0,0.425276752767528,623.0,0.574723247232472,22.0,0.0202952029520295,0.0477223427331887,,0.0,0.0,17.0,0.0156826568265683,0.0368763557483731,5.0,0.0046125461254612,0.0108459869848156,119.0,0.109778597785978,0.191011235955056,10.0,0.0092250922509225,0.0160513643659711,413.0,0.3809963099631,0.89587852494577,494.0,0.455719557195572,0.792937399678973,4.0,0.003690036900369,0.0086767895878524,362.0,0.785249457700651,64.0,0.13882863340564,25.0,0.0542299349240781,10.0,0.0216919739696312,1.31236442516269,325.0,0.786924939467312,58.0,0.14043583535109,20.0,0.0484261501210654,10.0,0.0242130750605327,1.30992736077482,332.0,0.720173535791757,16.0,0.03470715835141,65.0,0.140997830802603,332.0,0.803874092009685,16.0,0.0387409200968523,65.0,0.157384987893462,60.0,0.130151843817787,7.0,0.0151843817787419,57.0,0.138014527845036,7.0,0.0169491525423729,30.0,0.0481540930979133,4.0,0.0086767895878524,34.0,0.0313653136531365,5,0.0119617224880383,357.0,0.854066985645933,55.0,0.131578947368421,1,0.0023923444976076,159.0,0.255216693418941,463.0,0.743178170144462,208.0,0.333868378812199,414.0,0.664526484751204,10.0,1.0,0.0016051364365971,0.1,9.0,0.014446227929374,0.9,,0.0,0.0
55,26163510600,0.53334916,341.34346594,1801,1770.0,0.982787340366463,1392.0,0.786440677966102,378.0,0.213559322033898,45.0,0.0254237288135593,0.0323275862068966,3.0,0.0016949152542372,0.0021551724137931,8.0,0.0045197740112994,0.0057471264367816,9.0,0.0050847457627118,0.0064655172413793,192.0,0.108474576271186,0.507936507936508,12.0,0.0067796610169491,0.0317460317460317,1322.0,0.746892655367232,0.949712643678161,174.0,0.0983050847457627,0.46031746031746,3.0,0.0016949152542372,0.0021551724137931,1212.0,0.870689655172414,127.0,0.0912356321839081,43.0,0.0308908045977012,8.0,0.0057471264367816,1.1705035971223,1153.0,0.872163388804841,119.0,0.0900151285930409,42.0,0.0317700453857791,8.0,0.0060514372163388,1.17170953101362,1169.0,0.839798850574713,43.0,0.0308908045977012,109.0,0.0783045977011494,1169.0,0.884266263237519,43.0,0.0325264750378215,109.0,0.0824508320726172,79.0,0.0567528735632184,17.0,0.0122126436781609,76.0,0.0574886535552194,16.0,0.0121028744326778,24.0,0.0634920634920635,11.0,0.0079022988505747,35.0,0.019774011299435,9,0.0067618332081142,1273.0,0.956423741547708,43.0,0.0323065364387678,3,0.0022539444027047,213.0,0.563492063492063,165.0,0.436507936507937,211.0,0.558201058201058,167.0,0.441798941798942,12.0,,0.0,0.0,11.0,0.0291005291005291,0.916666666666667,1.0,0.0026455026455026,0.0833333333333333
56,26163510500,0.55347898,354.22655208,2267,2253.0,0.993824437582708,1322.0,0.586773191300488,931.0,0.413226808699512,35.0,0.0155348424323125,0.0264750378214826,1.0,0.0004438526409232,0.0007564296520423,17.0,0.0075454948956946,0.0128593040847201,11.0,0.0048823790501553,0.0083207261724659,261.0,0.115845539280959,0.280343716433942,22.0,0.0097647581003107,0.0236305048335124,1250.0,0.554815801154017,0.94553706505295,648.0,0.287616511318242,0.696025778732546,8.0,0.0035508211273857,0.0060514372163388,1002.0,0.757942511346445,180.0,0.136157337367625,87.0,0.0658093797276853,53.0,0.0400907715582451,1.38804841149773,943.0,0.7544,170.0,0.136,84.0,0.0672,53.0,0.0424,1.3976,879.0,0.664901664145234,87.0,0.0658093797276853,284.0,0.21482602118003,879.0,0.7032,87.0,0.0696,284.0,0.2272,219.0,0.165658093797277,87.0,0.0658093797276853,209.0,0.1672,85.0,0.068,44.0,0.0472610096670247,61.0,0.046142208774584,105.0,0.0466045272969374,5,0.0039651070578905,1209.0,0.958762886597938,43.0,0.0340999206978588,0,0.0,254.0,0.272824919441461,676.0,0.72610096670247,366.0,0.39312567132116,564.0,0.605800214822771,22.0,7.0,0.0075187969924812,0.318181818181818,12.0,0.0128893662728249,0.545454545454545,3.0,0.0032223415682062,0.136363636363636
57,26163510400,0.61098272,391.02894489,1939,1913.0,0.986591026302218,628.0,0.328280188186095,1285.0,0.671719811813905,45.0,0.0235232618923157,0.071656050955414,7.0,0.003659174072138,0.0111464968152866,8.0,0.0041819132253005,0.0127388535031847,1.0,0.0005227391531625,0.001592356687898,237.0,0.12388917929953,0.18443579766537,115.0,0.0601150026136958,0.0894941634241245,564.0,0.294824882383691,0.898089171974522,933.0,0.48771562990068,0.726070038910506,3.0,0.0015682174594877,0.0047770700636942,385.0,0.613057324840764,109.0,0.173566878980892,64.0,0.101910828025478,70.0,0.111464968152866,1.71178343949045,345.0,0.611702127659574,90.0,0.159574468085106,60.0,0.106382978723404,69.0,0.122340425531915,1.73936170212766,292.0,0.464968152866242,31.0,0.0493630573248408,241.0,0.38375796178344,292.0,0.517730496453901,31.0,0.0549645390070922,241.0,0.427304964539007,188.0,0.299363057324841,76.0,0.121019108280255,183.0,0.324468085106383,75.0,0.132978723404255,84.0,0.0653696498054475,71.0,0.113057324840764,155.0,0.0810245687401986,10,0.0176991150442478,527.0,0.932743362831858,28.0,0.0495575221238938,0,0.0,204.0,0.15875486381323,1080.0,0.840466926070039,266.0,0.207003891050584,1018.0,0.792217898832685,115.0,26.0,0.0202334630350195,0.226086956521739,16.0,0.0124513618677043,0.139130434782609,73.0,0.0568093385214008,0.634782608695652
58,26163508000,0.68761242,440.07194986,1403,1387.0,0.988595866001426,464.0,0.334534967555876,923.0,0.665465032444124,49.0,0.0353280461427541,0.105603448275862,1.0,0.0007209805335255,0.0021551724137931,11.0,0.0079307858687815,0.0237068965517241,,0.0,0.0,190.0,0.136986301369863,0.205850487540628,16.0,0.0115356885364095,0.0173347778981582,402.0,0.289834174477289,0.866379310344828,717.0,0.516943042537852,0.776814734561213,1.0,0.0007209805335255,0.0021551724137931,316.0,0.681034482758621,81.0,0.174568965517241,21.0,0.0452586206896552,46.0,0.0991379310344828,1.5625,265.0,0.659203980099503,70.0,0.174129353233831,21.0,0.0522388059701493,46.0,0.114427860696517,1.62189054726368,254.0,0.547413793103448,5.0,0.0107758620689655,143.0,0.308189655172414,254.0,0.631840796019901,5.0,0.0124378109452736,143.0,0.355721393034826,89.0,0.191810344827586,60.0,0.129310344827586,88.0,0.218905472636816,60.0,0.149253731343284,99.0,0.107258938244854,14.0,0.0301724137931035,113.0,0.0814708002883922,3,0.0074626865671641,365.0,0.907960199004975,29.0,0.0721393034825871,5,0.0124378109452736,132.0,0.143011917659805,791.0,0.856988082340195,248.0,0.268689057421452,675.0,0.731310942578548,16.0,1.0,0.0010834236186348,0.0625,14.0,0.0151679306608884,0.875,1.0,0.0010834236186348,0.0625
59,26163507900,0.40959801,262.14273185,1533,1490.0,0.971950424005218,1010.0,0.677852348993289,480.0,0.322147651006711,57.0,0.038255033557047,0.0564356435643564,2.0,0.0013422818791946,0.0019801980198019,11.0,0.0073825503355704,0.0108910891089109,7.0,0.0046979865771812,0.0069306930693069,49.0,0.0328859060402685,0.102083333333333,17.0,0.0114093959731544,0.0354166666666667,923.0,0.619463087248322,0.913861386138614,414.0,0.277852348993289,0.8625,10.0,0.0067114093959731,0.0099009900990099,703.0,0.696039603960396,201.0,0.199009900990099,64.0,0.0633663366336634,42.0,0.0415841584158416,1.45049504950495,638.0,0.691224268689057,186.0,0.201516793066089,61.0,0.0660888407367281,38.0,0.0411700975081257,1.45720476706392,547.0,0.541584158415842,30.0,0.0297029702970297,346.0,0.342574257425743,547.0,0.592632719393283,30.0,0.0325027085590466,346.0,0.374864572047671,259.0,0.256435643564356,71.0,0.0702970297029703,252.0,0.273022751895991,68.0,0.0736728060671723,30.0,0.0625,49.0,0.0485148514851485,79.0,0.0530201342281879,0,0.0,701.0,0.753763440860215,207.0,0.22258064516129,19,0.0204301075268817,84.0,0.175,396.0,0.825,98.0,0.204166666666667,382.0,0.795833333333333,17.0,4.0,0.0083333333333333,0.235294117647059,8.0,0.0166666666666667,0.470588235294118,2.0,0.0041666666666666,0.117647058823529
60,26163507800,0.4905675,313.9632013,1804,1725.0,0.956208425720621,428.0,0.248115942028986,1297.0,0.751884057971015,48.0,0.0278260869565217,0.11214953271028,17.0,0.0098550724637681,0.0397196261682243,5.0,0.0028985507246376,0.0116822429906542,4.0,0.0023188405797101,0.0093457943925233,150.0,0.0869565217391304,0.115651503469545,51.0,0.0295652173913043,0.0393215111796453,352.0,0.204057971014493,0.822429906542056,1096.0,0.63536231884058,0.84502698535081,2.0,0.001159420289855,0.0046728971962616,280.0,0.654205607476635,88.0,0.205607476635514,40.0,0.0934579439252336,20.0,0.0467289719626168,1.53271028037383,213.0,0.605113636363636,83.0,0.235795454545455,36.0,0.102272727272727,20.0,0.0568181818181818,1.61079545454545,220.0,0.514018691588785,18.0,0.0420560747663551,114.0,0.266355140186916,220.0,0.625,18.0,0.0511363636363636,114.0,0.323863636363636,83.0,0.19392523364486,19.0,0.044392523364486,79.0,0.224431818181818,19.0,0.0539772727272727,106.0,0.0817270624518119,16.0,0.0373831775700935,122.0,0.0707246376811594,4,0.0112359550561798,336.0,0.943820224719101,15.0,0.0421348314606742,0,0.0,181.0,0.139552814186584,1116.0,0.860447185813416,226.0,0.174248265227448,1070.0,0.824980724749422,51.0,13.0,0.0100231303006939,0.254901960784314,14.0,0.0107941403238242,0.274509803921569,23.0,0.0177332305319969,0.450980392156863
61,26163546900,0.44454103,284.50626304,651,648.0,0.995391705069124,556.0,0.858024691358025,92.0,0.141975308641975,31.0,0.0478395061728395,0.0557553956834532,30.0,0.0462962962962963,0.0539568345323741,4.0,0.0061728395061728,0.0071942446043165,,0.0,0.0,36.0,0.0555555555555556,0.391304347826087,4.0,0.0061728395061728,0.0434782608695652,490.0,0.756172839506173,0.881294964028777,52.0,0.0802469135802469,0.565217391304348,1.0,0.0015432098765432,0.0017985611510791,501.0,0.901079136690647,48.0,0.0863309352517986,3.0,0.0053956834532374,4.0,0.0071942446043165,1.11870503597122,439.0,0.895918367346939,45.0,0.0918367346938776,3.0,0.0061224489795918,3.0,0.0061224489795918,1.12244897959184,419.0,0.753597122302158,17.0,0.0305755395683453,54.0,0.0971223021582734,419.0,0.855102040816327,17.0,0.0346938775510204,54.0,0.110204081632653,17.0,0.0305755395683453,3.0,0.0053956834532374,16.0,0.0326530612244898,3.0,0.0061224489795918,1.0,0.0108695652173913,6.0,0.0107913669064748,7.0,0.0108024691358025,0,0.0,487.0,0.993877551020408,1.0,0.0020408163265306,2,0.0040816326530612,42.0,0.456521739130435,50.0,0.543478260869565,37.0,0.402173913043478,55.0,0.597826086956522,4.0,,0.0,0.0,4.0,0.0434782608695652,1.0,,0.0,0.0
62,26163985000,0.27168271,173.87693686,55,55.0,1.0,36.0,0.654545454545455,19.0,0.345454545454545,10.0,0.181818181818182,0.277777777777778,7.0,0.127272727272727,0.194444444444444,,0.0,0.0,,0.0,0.0,9.0,0.163636363636364,0.473684210526316,3.0,0.0545454545454545,0.157894736842105,17.0,0.309090909090909,0.472222222222222,7.0,0.127272727272727,0.368421052631579,1.0,0.0181818181818182,0.0277777777777778,16.0,0.444444444444444,7.0,0.194444444444444,6.0,0.166666666666667,7.0,0.194444444444444,2.11111111111111,6.0,0.352941176470588,3.0,0.176470588235294,6.0,0.352941176470588,2.0,0.117647058823529,2.23529411764706,5.0,0.138888888888889,2.0,0.0555555555555556,10.0,0.277777777777778,5.0,0.294117647058824,2.0,0.117647058823529,10.0,0.588235294117647,11.0,0.305555555555556,4.0,0.111111111111111,6.0,0.352941176470588,,0.0,,0.0,2.0,0.0555555555555556,2.0,0.0363636363636364,0,0.0,12.0,0.705882352941177,5.0,0.294117647058824,0,0.0,12.0,0.631578947368421,7.0,0.368421052631579,9.0,0.473684210526316,10.0,0.526315789473684,3.0,,0.0,0.0,2.0,0.105263157894737,0.666666666666667,1.0,0.0526315789473684,0.333333333333333
63,26163526500,0.37514187,240.09080054,1547,1480.0,0.956690368455074,1052.0,0.710810810810811,428.0,0.289189189189189,49.0,0.0331081081081081,0.0465779467680608,5.0,0.0033783783783783,0.0047528517110266,7.0,0.0047297297297297,0.0066539923954372,4.0,0.0027027027027027,0.0038022813688212,152.0,0.102702702702703,0.355140186915888,76.0,0.0513513513513514,0.177570093457944,969.0,0.65472972972973,0.921102661596958,200.0,0.135135135135135,0.467289719626168,18.0,0.0121621621621622,0.0171102661596958,659.0,0.626425855513308,180.0,0.171102661596958,138.0,0.131178707224335,75.0,0.0712927756653992,1.64733840304183,599.0,0.618163054695562,168.0,0.173374613003096,131.0,0.135190918472652,71.0,0.0732714138286894,1.66357069143447,661.0,0.628326996197719,15.0,0.0142585551330798,293.0,0.27851711026616,661.0,0.682146542827657,15.0,0.0154798761609907,293.0,0.302373581011352,231.0,0.21958174904943,53.0,0.0503802281368821,219.0,0.226006191950464,49.0,0.0505675954592363,34.0,0.0794392523364486,61.0,0.0579847908745247,95.0,0.0641891891891892,3,0.0030832476875642,776.0,0.797533401849949,186.0,0.191161356628983,8,0.0082219938335046,178.0,0.41588785046729,250.0,0.58411214953271,218.0,0.509345794392523,210.0,0.490654205607477,76.0,40.0,0.0934579439252336,0.526315789473684,2.0,0.0046728971962616,0.0263157894736842,34.0,0.0794392523364486,0.447368421052632
64,26163507500,0.34495563,220.77160765,1330,1312.0,0.986466165413534,1057.0,0.805640243902439,255.0,0.194359756097561,42.0,0.0320121951219512,0.0397350993377483,,0.0,0.0,10.0,0.0076219512195122,0.0094607379375591,1.0,0.0007621951219512,0.0009460737937559,96.0,0.0731707317073171,0.376470588235294,8.0,0.0060975609756097,0.0313725490196078,1001.0,0.762957317073171,0.947019867549669,151.0,0.115091463414634,0.592156862745098,3.0,0.0022865853658536,0.0028382213812677,891.0,0.842951750236518,131.0,0.123935666982025,22.0,0.0208136234626301,13.0,0.0122989593188269,1.20245979186377,846.0,0.845154845154845,122.0,0.121878121878122,21.0,0.020979020979021,12.0,0.011988011988012,1.1998001998002,745.0,0.704824976348155,38.0,0.0359508041627247,218.0,0.206244087038789,745.0,0.744255744255744,38.0,0.037962037962038,218.0,0.217782217782218,120.0,0.11352885525071,34.0,0.032166508987701,117.0,0.116883116883117,34.0,0.033966033966034,9.0,0.0352941176470588,7.0,0.0066225165562913,16.0,0.0121951219512195,2,0.0019960079840319,987.0,0.985029940119761,11.0,0.0109780439121756,2,0.0019960079840319,119.0,0.466666666666667,135.0,0.529411764705882,136.0,0.533333333333333,118.0,0.462745098039216,8.0,2.0,0.0078431372549019,0.25,6.0,0.0235294117647059,0.75,,0.0,0.0
