OBJECTID,ALTPAST,ALLOTNUM,ALLOTNAME,PASTNUM,PASTNAME,GRAZSYS,MGMTCAT,ADMINRA,GIS_ACRES,Standard_1,Causal_Factor_1,Causal_Factor_1b,Standard_2,Causal_Factor_2,Causal_Factor_2b,Standard_3,Causal_Factor_3,Causal_Factor_3b,Standard_4,Causal_Factor_4,Causal_Factor_4b,Standard_5_TERR,Causal_Factor_5_TERR,Causal_Factor_5_TERR_b,Standard_5_RIP,Causal_Factor_5_RIP,Causal_Factor_5_RIP_b,Status,Year_Assessed,Year_Evaluated,Year_Determination,SHAPE_Length,SHAPE_Area
595,00162_06,00162,CALF CREEK,6.0,UPPER CALF CREEK,DR,I,ORV04,829.84069005381,Does Not Meet,,,Does Not Meet,Existing Livestock,,Does Not Meet,Existing Livestock,,Does Not Meet,Existing Livestock,,Does Not Meet,Existing Livestock,,Does Not Meet,Existing Livestock,,,,,,9731.32716709677,3358246.12611311
596,10404_05,10404,SOURDOUGH,5.0,NORTH KANE SPRINGS,DR,M,ORV04,10863.1328494795,Meets Standard,,,Does Not Meet,Historic Livestock,Invasives,Meets Standard,,,Does Not Meet,,,Meets Standard,,,No Data,,,,,,,31357.3945155486,43961538.9393004
597,10401_23,10401,KEENEY CREEK,23.0,FENCELINE SPR ENCL,RE,I,ORV04,396.364478296721,No Data,,,Does Not Meet,Historic Livestock,,No Data,,,Does Not Meet,,,No Data,,,No Data,,,,,,,5057.18898395844,1604030.13460631
598,00162_09,00162,CALF CREEK,9.0,GRASSHOPPER FFR,CU,I,ORV04,696.185887148181,No Data,,,No Data,,,No Data,,,No Data,,,No Data,,,No Data,,,,,,,6802.02289772576,2817364.32858986
599,00128_03,00128,CHALK BUTTE,3.0,CHALK BUTTE CUST M,CU,C,ORV04,220.696270262344,Meets Standard,,,Not Applicable,,,Meets Standard,,,Meets Standard,,,Does Not Meet,Other,Other,No Data,,,,,,,4173.22553261853,893126.118710893
600,10403_22,10403,NYSSA,22.0,FFA RIPARIAN EXCL,RX,I,ORV04,0.128344334182241,No Data,,,Meets Standard,,,No Data,,,Does Not Meet,,,No Data,,,No Data,,,,,,,94.6559041995598,519.391093064054
601,10403_10,10403,NYSSA,10.0,YELLOWJACKET RES ENCL,RE,I,ORV04,48.7464806501033,No Data,,,Not Applicable,,,No Data,,,Meets Standard,,,No Data,,,No Data,,,,,,,1831.25062962921,197270.008288268
602,10403_11,10403,NYSSA,11.0,DARKEY RES ENCL,RE,I,ORV04,2.07377616014497,No Data,,,Not Applicable,,,No Data,,,Meets Standard,,,No Data,,,No Data,,,,,,,433.025852366484,8392.27437230268
603,10404_16,10404,SOURDOUGH,16.0,BUNCHGRASS RES ENCL,RE,M,ORV04,1.26102958858809,No Data,,,No Data,,,No Data,,,No Data,,,No Data,,,No Data,,,,,,,341.953216148169,5103.20568941413
604,10605_01,10605,VENATOR,1.0,NORTH FIELD,CU,M,ORV04,1065.93600939831,,,,,,,,,,,,,,,,,,,,,,,15188.9539559114,4313689.98550097
605,10503_08,10503,THREE FINGERS,8.0,SULPHER SPRING SEEDING,DR,I,ORV04,1895.44781219311,,,,,,,,,,,,,,,,,,,,,,,12196.9470133055,7670605.1520977
606,10508_07,10508,ROCKVILLE,7.0,FFR,CU,I,ORV04,685.2938306562,,,,,,,,,,,,,,,,,,,,,,,6972.00936718519,2773285.73982214
607,11004_10,11004,WILLOW CREEK,10.0,GLUCH SEEDING WEST,DR,I,ORV04,1384.54132343774,,,,,,,,,,,,,,,,,,,,,,,10372.6885933222,5603039.94683222
608,11004_11,11004,WILLOW CREEK,11.0,GLUCH SEEDING EAST,DR,I,ORV04,1717.03601756876,,,,,,,,,,,,,,,,,,,,,,,11554.3554851723,6948598.23519026
609,21003_02,21003,RATTLESNAKE,2.0,RATTLESNAKE INDIVIDUAL FFR,CU,C,ORV04,1296.80107347125,,,,,,,,,,,,,,,,,,,,,,,9927.38670621523,5247967.75275233
610,11004_24,11004,WILLOW CREEK,24.0,LEQUERICA HOLDING PEN,XX,I,ORV04,26.5466558616668,,,,,,,,,,,,,,,,,,,,,,,1356.69742807053,107430.504767029
611,01101_05,01101,JACKIES BUTTE SUMMER,5.0,OWYHEE SPRINGS,DR,M,ORV04,267.400878096034,,,,,,,,,,,,,,,,,,,,,,,4370.96334088787,1082132.96087834
612,11004_19,11004,WILLOW CREEK,19.0,CASTRO HABITAT,RX,I,ORV04,26.7701445337946,,,,,,,,,,,,,,,,,,,,,,,1531.83609464139,108334.931335163
613,01201_35,01201,15-MILE COMMUNITY,35.0,MULES EAR RSEX,MX,I,ORV04,6.58972359716139,,,,,,,,,,,,,,,,,,,,,,,743.607620968563,26667.6652610134
614,01307_07,01307,LOUSE CANYON COMMUNITY,7.0,RAWHIDE SPEX,RX,M,ORV04,5.26281218165098,,,,,,,,,,,,,,,,,,,,,,,591.15994414423,21297.8452771992
616,10142_01,10142,IRONSIDE SCHOOL,1.0,IRONSIDE,CU,C,ORV04,1340.44102879427,,,,,,,,,,,,,,,,,,,,,,,11416.8909624577,5424572.38622456
617,00148_04,00148,BROGAN CANYON,4.0,SMITH PRIVATE,SP,I,ORV04,447.452967017812,,,,,,,,,,,,,,,,,,,,,,,6301.55569925693,1810777.91329797
618,00148_03,00148,BROGAN CANYON,3.0,DIVERSION DAM,RR,I,ORV04,231.596254462875,,,,,,,,,,,,,,,,,,,,,,,5146.31726412628,937236.78977687
620,00148_01,00148,BROGAN CANYON,1.0,LOWER CANYON,SP,I,ORV04,775.198916230268,,,,,,,,,,,,,,,,,,,,,,,11205.2403845434,3137118.71278398
623,20101_03,20101,ALKALI SPRING,3.0,FAREWELL BEND SEEDING,DR,I,ORV04,1586.00603682067,,,,,,,,,,,,,,,,,,,,,,,14066.0146270795,6418338.71607288
624,00112_01,00112,IRONSIDE MOUNTAIN WEST,1.0,WEST,CU,C,ORV04,4886.70778056446,,,,,,,,,,,,,,,,,,,,,,,24118.1863001823,19775804.7661693
625,20101_18,20101,ALKALI SPRING,18.0,Little Mac,RX,I,ORV04,6.58489485452948,,,,,,,,,,,,,,,,,,,,,,,755.038970505708,26648.1240328813
626,00153_01,00153,SOUTH WILLOW CREEK,1.0,SOUTH WILLOW,CU,C,ORV04,6817.61396222027,,,,,,,,,,,,,,,,,,,,,,,28093.281569828,27589904.848455
627,00109_01,00109,BRIDGE CREEK WEST,1.0,BRIDGE CREEK,CU,C,ORV04,860.289465936185,Meets Standard,,,Does Not Meet,Existing Livestock,,Meets Standard,,,Does Not Meet,Existing Livestock,,Meets Standard,,,Meets Standard,,,,,,,9237.83144115572,3481467.95034692
628,00133_01,00133,KIVETT,1.0,KIVETT,CU,C,ORV04,3431.34265674623,Meets Standard,,,Not Applicable,,,Meets Standard,,,Meets Standard,,,Meets Standard,,,Meets Standard,,,,,,,16732.3838622967,13886151.0679085
629,00129_01,00129,DRY GULCH,1.0,DRY,CU,C,ORV04,2038.5921356884,,,,,,,,,,,,,,,,,,,,,,,12623.9205817586,8249889.67696473
630,00123_01,00123,WICKIUP GULCH,1.0,GULCH,CU,C,ORV04,4145.12050047216,,,,,,,,,,,,,,,,,,,,,,,23753.2071016586,16774707.5189576
631,20101_17,20101,ALKALI SPRING,17.0,MCDOWELL SPEX,RX,I,ORV04,1.18538728846148,,,,,,,,,,,,,,,,,,,,,,,333.33664574005,4797.09216134166
632,20101_17,20101,ALKALI SPRING,17.0,MCDOWELL SPEX,RX,I,ORV04,1.18486929243627,,,,,,,,,,,,,,,,,,,,,,,263.787401123462,4794.99590580025
633,10106_01,10106,JAMIESON,1.0,JAMIESON,CU,C,ORV04,378.072030929998,,,,,,,,,,,,,,,,,,,,,,,6058.7134271702,1530003.22649887
634,00228_01,00228,SCRATCH POST BUTTE,1.0,SCRATCH,CU,C,ORV04,9713.06531183665,Meets Standard,,,No Data,,,Meets Standard,,,No Data,,,Meets Standard,,,No Data,,,,,,,32841.7237440979,39307380.7383968
635,10208_02,10208,RING BUTTE,2.0,EAST RING,CU,C,ORV04,1879.99699915592,Meets Standard,,,Does Not Meet,Existing Livestock,,Meets Standard,,,Does Not Meet,Existing Livestock,,Meets Standard,,,Meets Standard,,,,,,,12866.4823201108,7608077.93012688
636,00233_01,00233,SQUAW BUTTE,1.0,SQUAW,CU,C,ORV04,2210.20671727345,Meets Standard,,,Not Applicable,,,Meets Standard,,,Meets Standard,,,Meets Standard,,,Meets Standard,,,,,,,15645.8242847885,8944389.2486297
637,00244_01,00244,POST CREEK,1.0,POST,CU,C,ORV04,5108.12014146839,Meets Standard,,,No Data,,,Meets Standard,,,No Data,,,Meets Standard,,,No Data,,,,,,,31484.5384013106,20671828.8008922
638,10210_01,10210,CLOVER CREEK INDIVIDUAL,1.0,CLOVER CREEK,CU,C,ORV04,16397.1138011349,No Data,,,No Data,,,No Data,,,No Data,,,No Data,,,No Data,,,,,,,62483.979966217,66356765.2949465
639,00135_01,00135,DRY CREEK INDIVIDUAL,1.0,DRY CREEK INDIVIDUAL,CU,C,ORV04,4878.34988878852,,,,,,,,,,,,,,,,,,,,,,,23434.6737294786,19741981.5781581
640,10208_01,10208,RING BUTTE,1.0,WEST RING,CU,C,ORV04,1316.74880334457,Meets Standard,,,Does Not Meet,Existing Livestock,,Meets Standard,,,Does Not Meet,Existing Livestock,,Does Not Meet,Existing Livestock,,Does Not Meet,Existing Livestock,,,,,,12100.3901337666,5328693.35150248
641,10205_05,10205,RAIL CANYON,5.0,EAST CROW CREEK,RR,I,ORV04,4434.68900935555,Meets Standard,,,Does Not Meet,Other,,Does Not Meet,Other,,Does Not Meet,Other,,Does Not Meet,Other,,No Data,,,,,,,24392.6212143682,17946549.6988572
642,OUT,OUT, ,, ,00,M,ORV04,3736.30786579401,,,,,,,,,,,,,,,,,,,,,,,27962.4048328917,15120301.4827521
643,00116_01,00116,EAST MOORES HOLLOW,1.0,EAST MOORES,CU,C,ORV04,4961.96699732545,,,,,,,,,,,,,,,,,,,,,,,25974.5655165898,20080368.0108633
644,10205_06,10205,RAIL CANYON,6.0,WEST CROW CREEK,DR,I,ORV04,3022.26822900982,Meets Standard,,,Does Not Meet,Other,,Does Not Meet,Other,,Does Not Meet,Other,,Does Not Meet,Other,,No Data,,,,,,,16398.7224992544,12230685.5927839
645,10211_09,10211,CASTLE ROCK,9.0,HEIFER,DR,I,ORV04,845.791756742179,Meets Standard,,,Does Not Meet,Existing Livestock,,Meets Standard,,,Meets Standard,Existing Livestock,,Does Not Meet,,,Does Not Meet,,,,,,,7931.96819222494,3422797.80278507
646,10107_01,10107,GROVE ROAD,1.0,GROVE,CU,C,ORV04,4762.28033376082,,,,,,,,,,,,,,,,,,,,,,,21416.1971484595,19272264.7539492
647,10205_04,10205,RAIL CANYON,4.0,KITTEN CANYON,DR,I,ORV04,6198.45474250226,Meets Standard,,,Does Not Meet,Existing Livestock,Other,Meets Standard,,,Does Not Meet,Other,,Meets Standard,,,No Data,,,,,,,23659.2195468302,25084256.383651
648,UNALT,UNALT, ,, ,99,M,ORV04,3022.57519681715,,,,,,,,,,,,,,,,,,,,,,,20675.0326004018,12231927.8474264
649,10215_01,10215,BRIAN CREEK,1.0,NORTH MOUNTAIN,DR,M,ORV04,1019.20058559256,Meets Standard,,,Does Not Meet,Existing Livestock,,Meets Standard,,,Does Not Meet,Other,,Meets Standard,,,No Data,,,,,,,8511.58339929817,4124558.43551909
650,00150_01,00150,BUTTERFIELD SPRING,1.0,BUTTER,CU,C,ORV04,9640.6608097823,,,,,,,,,,,,,,,,,,,,,,,32031.0937801588,39014370.1142475
651,20102_17,20102,COTTONWOOD MOUNTAIN,17.0,MORRISON RES EXCL,RX,I,ORV04,30.0370164014884,,,,,,,,,,,,,,,,,,,,,,,1403.89274008609,121555.492734098
652,10214_09,10214,RICHIE FLAT,9.0,REDS CREEK EXCLOSURE,RX,I,ORV04,21.8881538864453,No Data,,,No Data,,,No Data,,,No Data,,,No Data,,,No Data,,,,,,,1804.65455293362,88578.2161298407
653,10219_03,10219,MALHEUR RIVER,3.0,MALHEUR RIVER,CU,C,ORV04,989.560697662358,Does Not Meet,Existing Livestock,,Does Not Meet,Existing Livestock,,Does Not Meet,Existing Livestock,,Does Not Meet,Existing Livestock,,Does Not Meet,Existing Livestock,,Does Not Meet,Existing Livestock,,,,,,8758.85418464319,4004610.06468954
654,10206_18,10206,DEARMOND-MURPHY,18.0,LOST CREEK,DR,M,ORV04,2053.62599674201,No Data,,,Not Applicable,,,No Data,,,No Data,,,No Data,,,Not Applicable,,,,,,,18448.2189820684,8310729.55412302
655,10219_02,10219,MALHEUR RIVER,2.0,L. MALHEUR RIPARIAN STEX,CU,C,ORV04,42.7834861077754,Meets Standard,,,Meets Standard,,,Meets Standard,,,Meets Standard,,,Meets Standard,,,,,,,,,,2454.43927603681,173138.625527912
656,10214_04,10214,RICHIE FLAT,4.0,WEST LOG CREEK,DR,I,ORV04,5554.94187184461,Meets Standard,,,Does Not Meet,Other,,Meets Standard,,,Does Not Meet,Other,,Does Not Meet,Other,,No Data,,,,,,,25992.8109329392,22480052.190133
657,00113_02,00113,BOSTON HORSE CAMP,2.0,COTTONWOOD CR EXCL,RX,C,ORV04,12.501909496841,,,,,,,,,,,,,,,,,,,,,,,1040.73743083702,50593.4327395544
658,20102_18,20102,COTTONWOOD MOUNTAIN,18.0,WILLOW CREEK RES EXCL,RX,I,ORV04,9.08063920331819,,,,,,,,,,,,,,,,,,,,,,,820.956965806121,36748.0430794455
659,10201_21,10201,ALLOTMENT NO.2,21.0,COTTONWOOD FIRE RX,RX,I,ORV04,117.313523743372,No Data,,,No Data,,,No Data,,,No Data,,,No Data,,,No Data,,,,,,,3134.72973733066,474750.986995241
660,10223_06,10223,LAVA RIDGE,6.0,SOUTH HAY CANYON,DR,I,ORV04,772.08709228726,,,,,,,,,,,,,,,,,,,,,,,10334.8035300462,3124525.60807484
661,UNALT,UNALT, ,, ,99,M,ORV04,619.366435988769,,,,,,,,,,,,,,,,,,,,,,,6744.06278508437,2506487.03930015
662,10211_16,10211,CASTLE ROCK,16.0,L. MALHEUR RIVER FFR,CU,I,ORV04,102.087426758254,No Data,,,Meets Standard,,,No Data,,,Meets Standard,,,No Data,,,Meets Standard,,,,,,,2478.1890854541,413133.15862293
663,10212_01,10212,BUTTE TREE,1.0,BUTTE,CU,C,ORV04,1890.07175232392,Meets Standard,,,Not Applicable,,,Does Not Meet,Existing Livestock,,Does Not Meet,Existing Livestock,,Does Not Meet,Existing Livestock,,Does Not Meet,Existing Livestock,Other,,,,,13420.3203979727,7648849.00968889
664,10211_14,10211,CASTLE ROCK,14.0,FFR,CU,I,ORV04,3558.71618013983,No Data,,,No Data,,,No Data,,,No Data,,,No Data,,,No Data,,,,,,,22366.9868839062,14401613.4290977
665,UNALT,UNALT, ,, ,99,M,ORV04,307.188116134757,,,,,,,,,,,,,,,,,,,,,,,4403.8895345375,1243146.2006649
666,10205_09,10205,RAIL CANYON,9.0,EAST ROCK CREEK,CU,I,ORV04,627.347991467576,No Data,,,Not Applicable,,,No Data,,,Not Applicable,,,No Data,,,No Data,,,,,,,8280.67152305044,2538787.2483503
667,10205_10,10205,RAIL CANYON,10.0,FFR,CU,I,ORV04,502.072980406697,No Data,,,No Data,,,No Data,,,No Data,,,No Data,,,No Data,,,,,,,8212.13844262456,2031817.26527235
668,10205_01,10205,RAIL CANYON,1.0,WEST ROCK CREEK,RR,I,ORV04,1994.2250312304,Meets Standard,,,Not Applicable,,,Meets Standard,,,Not Applicable,,,Meets Standard,,,No Data,,,,,,,11690.5529996225,8070342.3753456
669,10222_11,10222,WILLOW BASIN,11.0,FFR,CU,I,ORV04,2087.23146445025,No Data,,,No Data,,,No Data,,,No Data,,,No Data,,,No Data,,,,,,,14090.2529177688,8446726.05694585
670,10222_09,10222,WILLOW BASIN,9.0,FFR,CU,I,ORV04,5602.22172765213,No Data,,,No Data,,,No Data,,,No Data,,,No Data,,,No Data,,,,,,,33531.7358658998,22671386.9782578
671,10216_04,10216,WHITLEY CANYON,4.0,LITTLE MALHEUR,DR,M,ORV04,4895.63191264338,Meets Standard,,,Meets Standard,,,Meets Standard,,,Meets Standard,,,Meets Standard,,,Meets Standard,,,,,,,25041.9906979337,19811919.4473873
672,10211_10,10211,CASTLE ROCK,10.0,HAT BUTTE,DR,I,ORV04,3126.73428035183,Meets Standard,,,Does Not Meet,Existing Livestock,,Does Not Meet,,,Does Not Meet,Existing Livestock,,Does Not Meet,Existing Livestock,,Does Not Meet,,,,,,,18107.6204550393,12653444.70358
673,10216_07,10216,WHITLEY CANYON,7.0,DOGWOOD,RR,M,ORV04,513.986018043754,No Data,,,Does Not Meet,Existing Livestock,,No Data,,,Does Not Meet,Existing Livestock,,No Data,,,Does Not Meet,Existing Livestock,,,,,,7854.95098155905,2080027.61814417
674,10222_05,10222,WILLOW BASIN,5.0,NORTH FORK,DR,I,ORV04,1460.10272045407,Meets Standard,,,Does Not Meet,Other,,Meets Standard,,,Does Not Meet,Other,,Meets Standard,,,No Data,,,,,,,11043.9211846456,5908826.07163327
675,10217_10,10217,BEULAH RESERVOIR,10.0,WEST M J FIELD,DR,I,ORV04,1663.76670031834,Does Not Meet,,,Not Applicable,,,Does Not Meet,,,Does Not Meet,,,Does Not Meet,,,Not Applicable,,,,,,,10597.2737495266,6733024.95655851
676,00226_01,00226,COTTONWOOD CREEK,1.0,COTTTONWOOD,CU,C,ORV04,1810.66071675801,Meets Standard,,,Not Applicable,,,Does Not Meet,Other,,Meets Standard,,,Does Not Meet,Other,,Does Not Meet,Other,,,,,,15180.9794143064,7327483.95039956
677,10222_01,10222,WILLOW BASIN,1.0,JUNIPER SPRINGS,DR,I,ORV04,7228.8172267107,Meets Standard,,,Does Not Meet,Existing Livestock,Other,Meets Standard,,,Does Not Meet,Other,,Does Not Meet,Existing Livestock,Other,No Data,,,,,,,25580.1927718388,29253985.4202699
678,10218_10,10218,BUCKBRUSH,10.0,CHALK SPR EXCL,RX,I,ORV04,8.43986421293726,,,,,,,,,,,,,,,,,,,,,,,844.685515988085,34154.9186943091
679,10217_20,10217,BEULAH RESERVOIR,20.0,NORTH HOMESTEAD,CU,I,ORV04,2146.44157552888,Does Not Meet,Existing Livestock,,Not Applicable,,,Does Not Meet,Existing Livestock,,Does Not Meet,Existing Livestock,,Does Not Meet,Existing Livestock,,Not Applicable,,,,,,,13066.9653128997,8686340.87523544
680,10217_11,10217,BEULAH RESERVOIR,11.0,RIVER FIELD,RR,I,ORV04,722.454571914541,,,,,,,,,,,,,,,,,,,,,,,8057.33115317584,2923669.9242446
681,10214_06,10214,RICHIE FLAT,6.0,POISON BUTTE SEEDING,DR,I,ORV04,794.067786377642,Meets Standard,,,Not Applicable,,,Meets Standard,,,Not Applicable,,,Meets Standard,,,No Data,,,,,,,7816.92219293423,3213478.32112331
682,10222_03,10222,WILLOW BASIN,3.0,INDIAN CREEK,DR,I,ORV04,5424.17676608465,Meets Standard,,,Does Not Meet,Existing Livestock,Other,Meets Standard,,,Does Not Meet,Other,,Meets Standard,,,No Data,,,,,,,22528.4286932229,21950864.5820625
683,UNALT,UNALT, ,, ,99,M,ORV04,1331.64610434709,,,,,,,,,,,,,,,,,,,,,,,19665.9963386314,5388980.58974095
684,10201_10,10201,ALLOTMENT NO.2,10.0,COTTONWOOD WILDLIFE STEX,RX,I,ORV04,455.717109566393,No Data,,,No Data,,,No Data,,,No Data,,,No Data,,,No Data,,,,,,,5674.60681843609,1844221.71164632
685,10202_16,10202,ALLOTMENT NO.3,16.0,HANNA STATION FFR,CU,I,ORV04,2080.8043483005,No Data,,,No Data,,,No Data,,,No Data,,,No Data,,,No Data,,,,,,,16979.159429494,8420716.44067773
686,10222_04,10222,WILLOW BASIN,4.0,PAN HANDLE,DR,I,ORV04,3406.24309007173,Meets Standard,,,Does Not Meet,Existing Livestock,Other,Meets Standard,,,Does Not Meet,Other,,Meets Standard,,,No Data,,,,,,,23607.2589094411,13784576.7253124
687,10211_01,10211,CASTLE ROCK,1.0,CASTLE ROCK,RR,I,ORV04,4131.58492373565,Does Not Meet,,,Does Not Meet,Existing Livestock,,Does Not Meet,Existing Livestock,,Does Not Meet,Existing Livestock,,Does Not Meet,Existing Livestock,,Does Not Meet,,,,,,,17855.4043616609,16719930.9833106
688,10218_05,10218,BUCKBRUSH,5.0,SALTERS,DR,I,ORV04,395.627829261866,Meets Standard,,,Does Not Meet,Other,,Does Not Meet,Other,,Not Applicable,Other,,Does Not Meet,Other,,No Data,,,,,,,6326.53936690523,1601049.02172855
689,10201_22,10201,ALLOTMENT NO.2,22.0,NG WILDLIFE EXCL,MX,I,ORV04,3.06158424295195,No Data,,,No Data,,,No Data,,,No Data,,,No Data,,,No Data,,,,,,,565.514093278574,12389.7918563087
690,10217_16,10217,BEULAH RESERVOIR,16.0,HORSE,CU,I,ORV04,220.739939160764,No Data,,,No Data,,,No Data,,,No Data,,,No Data,,,No Data,,,,,,,3745.8984995441,893302.840472924
