File #,Pooled or Unitized,Owner Agency,Active/ Expired,County,Section,Township,Range,Tract #,Legal Description,Latitude,Longitude,Net Acres,Gross Acres,Original Lessee,Current Lessee,Lease #,Royalty Interest,Well Name,Well Operator,Production Zone,Sale or Approved Date,End or Expiration Date,Bonus
OA-0074,,DOC,Expired,Atoka,27,1N,12E,,"E/2 & NW/4 SW/4 NE/4  and  N/2 NE/4, SE/4 NE/4",,,,370.0,Chesapeake Exploration Limited Partnership,,,,,,,10/28/2003,10/28/2006,"$23,852.00 "
OA-0075,,DOC,Expired,Atoka,27,1N,12E,,E/2 NE/4 NW/4 & NE/4 SE/4 NW/4,,,,370.0,Chesapeake Exploration Limited Partnership,,,,,,,10/28/2003,10/28/2006,"$5,340.00 "
OA-0076,,DOC,Expired,Atoka,27,1N,12E,,"SW/4 NW/4 SE/4, SE/4 SE/4, SW/4 SE/4",,,,370.0,Chesapeake Exploration Limited Partnership,,,,,,,10/28/2003,10/28/2006,"$16,020.00 "
OA-0077,,DOC,Expired,Atoka,27,1N,12E,,"S/2 NE/4 SW/4, SE/4 SW/4, and  N/2 & s/2 SW/4 SW/4",,,,370.0,Chesapeake Exploration Limited Partnership,,,,,,,10/28/2003,10/28/2006,"$15,219.00 "
OA-0066,,,Expired,Atoka,15,1N,12E,,NE/4,,,,550.0,Chesapeake Exploration Limited Partnership,,,,,,,10/28/2003,10/28/2006,"$9,280.00 "
OA-0067,,,Expired,Atoka,15,1N,12E,,SW/4 & E/2 SW/4 NW/4,,,,550.0,Chesapeake Exploration Limited Partnership,,,,,,,10/28/2003,10/28/2006,"$4,060.00 "
OA-0068,,,Expired,Atoka,15,1N,12E,,SE/4,,,,550.0,Chesapeake Exploration Limited Partnership,,,,,,,10/28/2003,10/28/2006,"$9,280.00 "
OA-0069,,,Expired,Atoka,15,1N,12E,,SW/4,,,,550.0,Chesapeake Exploration Limited Partnership,,,,,,,10/28/2003,10/28/2006,"$9,280.00 "
OA-0064,,,Expired,Atoka,14,1N,12E,,NW/4,,,,240.0,Chesapeake Exploration Limited Partnership,,,,,,,10/28/2003,10/28/2006,"$30,186.00 "
OA-0065,,,Expired,Atoka,14,1N,12E,,NW/4 SW/4 & SW/4 SW/4,,,,240.0,Chesapeake Exploration Limited Partnership,,,,,,,10/28/2003,10/28/2006,"$11,094.00 "
OA-157,,OMD,Active,Atoka,9,2S,11E,,"Those lands known as ""The old rodeo arena"" beginning at the Southeast corner of the Northeast quarter of the Southeast quarter (NE/4 SE/4) for a point and place of beginning; thence west a distance of 1,1314 feet, thence north 321.4 feet to a point in the south right-of-way of Highway No. 75; thence northeasterly along the south right-of-way of Highway No. 75 to a point in the east line of said Section 9, said point being 386.4 feet north of the Southeast corner of the Northeast quarter of the Southeast quarter (NE/4 SE/4); thence south 386.4 feet to the point and place beginning and containing 10.6 acres, more or less (1.0000 M.R.), Sec 9-2S-11E",34.37475677,-96.14540768,10.6,10.6,Antero Resources Corportation,,,,Atoka 9-1H,,,2/16/2007,2/16/2010,"$21,740.60 "
,,,Expired,Baca (Colorado),22,29S,43W,,SE/4,,,,,,,,,,,,,,
,,,Expired,Beckham,11,9N,24W,,NE/4 SE/4 & N/2 SE/4 SE/4 (1/2 MR),,,30,60.0,,,,,,,,,,
OA-0056,,OHS,Expired,Canadian,25,13N,8W,,"S/2 SW/4 NW/4, N/2 NW/4 SW/4  - A part of the NW/4 and of Government Lot No.2, both being a portion of Sec. 25-13N-8W, described as follows: beginning at a point whence the Northeast corner of said Sec. 25, bears North 45 degrees 30' 19"" East, a distance of 3431.34 feet; thence South 66 degrees 23' 43"" East a distance of 468.43 feet; thence, South 74 degrees 49' 33"" East, a distance of 391.69 feet; thence, South 77 degrees 30' 00"" East, a distance of 280.00 feet to an existing fenceline; thence, along said existing fenceline, South 02 degrees 43' 49"" West a distance of 529.30 feet to a point on the Northerly bank of the North Canadian River; thence along said Northerly bank the following five (5) courses: 1) thence, North 89 degrees 55'14"" West, a distance of 284.55 feet; 2) thence, North 64 degrees 59' 36"" West, a distance of 122.62 feet; 3) thence, North 49 degrees 26' 16"" West, a distance of 164.58 feet; 4) thence, North 34 degrees 49' 02"" West, a distance of 653.61 feet; 5) thence, North 62 degrees 35' 07"" West, a distance of 227.90 feet; thence departing from said Northerly bank, North 27 degrees 24' 53"" East, a distance of 88.56 feet to the point of beginning; containing 9.93 acres, more or less ( All MR) ",,,9.93,9.93,Mack Energy Co.,Collegiate Energy LLC,,,,,,3/3/2017,3/2/2020,"$83,630.46 "
,,DMH,Expired,Cleveland,7,9N,2WIM,,NE/4 Sec.7-9N-2WIM,,,,,,,,,,,,,,
,,DMH,Expired,Cleveland,27,9N,2WIM,,NW/4 Sec. 27-9N-2WIM,,,,,,,,,,,,,,
,,DMH,Expired,Cleveland,28,9N,2W,2.0,NE/4 &NW/4 (1/2 MR),,,160,320.0,,,,,,,,,,
,,DMH,Expired,Cleveland,20,9N,2W,5.0,N/2 NE/4 SE/4,,,,320.0,,,,,,,,,,
OA-0001,,DMH,Expired,Cleveland,20,9N,2W,5.0,NE/4 NE/4 & SE/4 NE/4,,,,320.0,Union Texas Natural Gas Corporation,Forward Oil and Gas Inc.,,,,,,4/8/1994,4/8/1997,"$1,350.00 "
OA-0002,,DMH,Expired,Cleveland,20,9N,2W,5.0,NW/4 &SW/4 NE/4,,,,320.0,Union Texas Natural Gas Corporation,Forward Oil and Gas Inc.,,,,,,4/8/1994,4/8/1997,"$2,220.00 "
OA-0003,,DMH,Expired,Cleveland,20,9N,2W,5.0,NE/4 SE/4 & SE/4 SE/4,,,,20.0,Union Texas Natural Gas Corporation,Forward Oil and Gas Inc.,,,,,,4/8/1994,4/8/1997,$300.00 
OA-0004,,DMH,Expired,Cleveland,20,9N,2W,5.0,NW/4 SE/4 & SW/4 SE/4,,,,20.0,Union Texas Natural Gas Corporation,Forward Oil and Gas Inc.,,,,,,4/8/1994,4/8/1997,"$1,350.00 "
,,DMH,Expired,Cleveland,29,9N,2W,6.0,"NE/4, NE/4 SE/4, E/2 E/2 NW/4 SE/4, N/2 SE/4 SE/4, E/2 E/2 SW/4 SE/4",,,160,250.0,,,,,,,,,,
,,DMH,Expired,Craig*,29,26N,21E,,"N/2 NE/4, SW/4 NE/4, & sw/4 SE/4 NE/4",,,,,,,,,,,,,,
,,DMH,Expired,Craig*,7,25N,21E,,"s/2 NE/4, S/2 NW/4, SW/4, and SE/4",,,,480.0,,,,,,,,,,
,,DMH,Expired,Craig*,12,25N,20E,,"NE/4, NW/4, SE/4, and SW/4",,,,600.0,,,,,,,,,,
,,DMH,Expired,Craig*,11,25N,20E,,"S/2 NE/4, SE/4 NE/4 NE/4, N/2 SE/4, N/2 SE/4 SE/4 SE/4, N/2 SW/4 SE/4",,,,220.0,,,,,,,,,,
,,DMH,Expired,Craig*,2,25N,20E,,E/2 SE/4 & E/2 SW/4 SE/4,,,,100.0,,,,,,,,,,
,,DMH,Expired,Craig*,1,25N,20E,,"NW/4, SW/4, W/2 NW/4 NE/4, W/2 SW/4 NE/4, and W/2 NW/4 SE/4",,,,420.0,,,,,,,,,,
OA-10,,DMH,Active,Creek,30,15N,8EIM,,NE/4 SE/4; W/2 SE/4. the interest herein conveyed extends down to and includes the Bartlesville Sand but no deeper. (11/72 (.1527) MR),35.7443,-96.5015,18.3333,120.0,Ernest Shamblin,,,,,,,5/8/1956,5/8/1957,$1.00 
OA-62,,DMH,Active,Creek,17,16N,11EIM,,"S/2 SE/4, less and execpt the Taneha formation, perforated from 2,078 feet to 2,094 feet, as found in the Jennings #1 Well located in SE/4 (1/2 M.R.), Sec. 17/16N/11E",35.8589,-96.1615,40,80.0,Bob G. Sherrill,,,0.1875,Jennings #2&3,Bob G. Sherrill,Layton/Redfork,10/23/2002,10/23/2005,$440.00 
OA-158,,DMH,Expired,Creek,8,16N,10EIM,1.0,"SE/4 SE/4 (.0625 M.R.), Sec. 8-16N-10EIM (1/16 int.) [MR all of SE/4]",35.873,-96.2647,2.5,10.0,Shelton Oil Resources LLC,,,,Donovan#2,,,4/16/2007,4/16/2010,$267.50 
OA-159,,DMH,Expired,Creek,8,16N,10EIM,2.0,"SW/4 SE/4 (.0625 M.R.), Sec 8-16N-10EIM (1/16 int.) [MR all of SE/4]",35.8732,-96.2686,2.5,40.0,Shelton Oil Resources LLC,,,,,,,4/16/2007,4/16/2010,$267.50 
OA-0026,,DMH,Expired,Creek,17,16N,11EIM,,S/2 SE/4 (1/2 MR),,,40,80.0,Bob G. Sherrill,,,,,,,9/10/1996,9/10/1999,$300.00 
OA-160,,DMH,Expired,Creek,17,16N,11EIM,3.0,"SE/4 SE/4, less & Except the Taneha, Red Fork, Layton, Wilcox and Bartlesville formations (.5000 M.R.), Sec. 17-16N-11EIM",,,40,80.0,KLO LLC,,,,,,,4/16/2007,4/16/2010,"$3,560.00 "
OA-161,,DMH,Active,Creek,17,16N,11EIM,4.0,"SW/4 SE4, less & except the Tancha, Red Fork, Layton, Wilcox and Barlesville formations (.5000 M.R.), Sec. 17-16N-11EIM   ",35.8621,-96.162,40,80.0,KLO LLC,,,,Jennings#4,,,4/16/2007,4/17/2010,"$3,560.00 "
OA-163,,DMH,Expired,Creek,6,16N,11E,2.0,Lot3 aka NE/4 NW/4; SE/4 NW/4 (.5000 M.R.) Sec. 6-16N-11E,,,42.564,85.13,,Universal Land Services LLC,,,,,,11/1/2007,11/1/2010,"$1,600.00 "
OA-164,,DMH,Expired,Creek,25,17N,11E,3.0,SW/4 (.033333 M.R.) Sec. 25-17N-11E,,,5.333,160.0,,Universal Land Services LLC,,,,,,11/1/2007,11/1/2010,$538.66 
OA-165,,DMH,Expired,Creek,27,17N,11E,4.0,NE/4 (.02500 M.R.) Sec. 27-17N-11E (1/10 of 1/4 int.),,,,173.0,,Universal Land Services LLC,,,,,,11/1/2007,11/1/2010,
OA-166,,DMH,Expired,Creek,27,17N,11E,5.0,East 13 acres of the S/2 NW/4 (.0250 M.R.) Sec. 27-17N-11E (1/10 of 1/4 int.),,,,173.0,,Universal Land Services LLC,,,,,,11/1/2007,11/1/2010,
OA-167,,DMH,Expired,Creek,33,17N,11E,6.0,SE/4 SW/4 (.5000 M.R.) Sec. 33-17N-11E (.0500 MR),,,2,40.0,,Universal Land Services LLC,,,,,,11/1/2007,11/1/2010,$102.00 
OA-176,,DMH,Expired,Creek,23,14N,10E,1.0,SE/4 NW/4 Sec. 23-14N-10E (1/8 MR for all of NW/4),,,40,160.0,CH4 Production Co.,,,,,,,9/3/2008,9/3/2011,$635.00 
OA-177,,DMH,Expired,Creek,23,14N,10E,2.0,NW/4 SE/4 Sec. 23-14N-10E (1/12 MR for all of SE/4),,, ,120.0,CH4 Production Co.,,,,,,,9/3/2008,9/3/2011,$421.64 
OA-178,,DMH,Expired,Creek,23,14N,10E,3.0,NE/4 SW/4 Sec. 23-14N-10E (5/72 MR for N/2 of SW/4),,,40,80.0,CH4 Production Co.,,,,,,,9/3/2008,9/3/2011,$350.52 
,,,Expired,Creek,31,16N,9E,,SW/4 SE/4,,,40,,,,,,,,,,,
,,,Expired,Creek,9,17N,10E,,NE/4,,,160,,,,,,,,,,,
,,DMH,Expired,Creek,31,17N,10E,,"W/2 NW/4, NE/4 NW/4 (1/28 int.)",,,0.9375,120.0,,,,,,,,,,
,,DMH,Expired,Creek,24,18N,11E,,"NE/4 NW/4, NW/4 NW/4, SE/4 NW/4, SW/4 NW/4  (11/72 int. The NW/4 less 300'x300' in NW4 SW/4 NW/4 Section 24, Township 18 North, Range 11 East, Creek County, Oklahoma.",,,24.116,157.93,,,,,,,,,,
,,DMH,Expired,Creek,34,18N,10E,,3/8 Int. ,,,15,40.0,,,,,,,,,,
,,DMH,Expired,Creek,33,18N,10E,,"NW/4 SE/4, NE/4 SW/4  (1/2 MR)",,,40,80.0,,,,,,,,,,
,,DMH,Expired,Creek,16,17N,10E,,E/2 SE/4 (1/4 int),,,20,80.0,,,,,,,,,,
,,DMH,Expired,Creek,10,17N,10E,,SE/4 (3/4 int),,,120,160.0,,,,,,,,,,
,,DMH,Expired,Creek,30,16N,10E,,"N/2 SE/4, N/2 SE/4 SE/4, N/2 SW/4 SE/4 (1/4 int)",,,30,120.0,,,,,,,,,,
,,DMH,Expired,Creek,27,15N,10E,,1/4 int. of 80/142.22 of SW/4 of Sec 27-15N-10E less 17.78 acres in NE/4 of said SW/4,,,80,142.22,,,,,,,,,,
,,DMH,Expired,Creek,25,14N,10E,,E/2 of SE/4 (1/12 int. in NE/4 SE/4) (5/72 int. in SE/4 SE/4),,,,40.0,,,,,,,,,,
,,DMH,Expired,Creek,35,19N,9E,,NE/4 SW/4 & SE/4 SW/4 (1/5 int.),,,16,80.0,,,,,,,,,,
,,DMH,Expired,Creek,36,17N,9E,,NE/4 NE/4 (1/128 int),,,0.3125,40.0,,,,,,,,,,
,,DMH,Expired,Creek,12,17N,9E,,SE/4 (1/18 int),,,8.888,160.0,,,,,,,,,,
,,DMH,Expired,Creek,34,16N,9E,,NW/4 (1/5 int.),,,32,160.0,,,,,,,,,,
,,DMH,Expired,Creek,16,14N,9E,,N/2 SW/4 (1/4 Int.),,,20,80.0,,,,,,,,,,
,,DMH,Expired,Creek,5,14N,9E,,W/2 NW/4 NE/4 and E/2 NE/4 NW/4 (1/12 int),,,3.333,40.0,,,,,,,,,,
OA-29249,,DMH,Active,Creek,33,18N,8E,,NW/4 less 1 acre in NW corner (1/6 int),36.0001,-96.4733,26.5,159.0,Viper Resources LLC,,,,,,,12/28/2012,12/28/2015,"$4,696.65 "
,,DMH,Expired,Creek,33,18N,8E,,NW/4 less 1 acre in NW corner (1/6 int),,,26.5,159.0,Whitehead Production Co.,,,,,,,5/14/1990,5/14/1993,"$1,360.14 "
,,DMH,Expired,Creek,16,18N,8E,,NW/4 SE/4 (1/2 MR),,,20,80.0,,,,,,,,,,
,,DMH,Expired,Creek,25,16N,8E,,NW/4 SE/4 & SW/4 SE/4 (1/4 int),,,20,80.0,,,,,,,,,,
,,DMH,Expired,Creek,31,15N,8E,,NW/4  (1/4 int.),,,40,160.0,,,,,,,,,,
,,DMH,Expired,Creek,16,15N,8E,,NW/4 SE/4 (1/2 MR),,,20,40.0,,,,,,,,,,
,,DMH,Expired,Creek,4,15N,8E,,SE/4 NE/4 (1/4 int),,,10,40.0,,,,,,,,,,
OA-0029,,DMH,Expired,Creek,31,14N,8E,,"NW/4 SW/4 (NW/4, W/2 NE/4, and W/2 SW/4) (1/2 MR)",,,40,80.0,Le Norman Energy Corporation,,,,,,,8/10/1998,8/10/2001,$838.25 
OA-0030,,DMH,Expired,Creek,31,14N,8E,,"SW/4 SW/4 (NW/4, W/2 NE/4, and W/2 SW/4)",,,,240.0,Le Norman Energy Corporation,,,,,,,8/10/1998,8/10/2001,"2,102.51"
OA-0013,,DMH,Expired,Creek,21,14N,8E,,NE/4 NW/4 (1/4 int),,,,120.0,Philip M. Lowry Co. Inc.,,,,,,,9/2/1994,9/2/1997,$97.50 
OA-0014,,DMH,Expired,Creek,21,14N,8E,,NW/4 NW/4  (1/4 int),,,,120.0,Philip M. Lowry Co. Inc.,,,,,,,9/2/1994,9/2/1997,$97.50 
OA-0015,,DMH,Expired,Creek,21,14N,8E,,SW/4 NW/4  (1/4 int),,,,120.0,Philip M. Lowry Co. Inc.,,,,,,,9/2/1994,9/2/1997,$97.50 
,,DMH,Expired,Creek,23,16N,7E,,S/2 NE/4 & SE/4 NW/4 (1/2 MR),,,60,120.0,,,,,,,,,,
,,DMH,Expired,Creek,35,15N,7E,,N/2 SW/4 & SE/4 SW/4 (1/2 mr),,,60,120.0,,,,,,,,,,
,,DMH,Expired,Creek,34,14N,7E,,NW/4 NE/4 & NE/4 NW/4 (1/8 int.),,,10,80.0,,,,,,,,,,
OA-0010,,,Expired,Creek,27,14N,7E,,"W/2 NE/4 SE/4, E/2 NW/4 SE/4, W/2 SE/4 SE/4, & E/2 SW/4 SE/4 (1/8 MR)",,,10,80.0,Coler Yoakam Jr.,,,,,,,6/1/1994,6/1/1997,$512.00 
,,DMH,Expired,Creek,24,15N,10E,,NW/4 SW/4  (1.757900 R.I.),,,,,Associated Transport & Trading Co.,,31725,,,,,,,
OA-30273,,DMH,Active,Creek,25,14N,10E,,NE/4 NW/4 (12.50),35.666169,-96.20338,40,,,Landseer Exploration LLC,,,,,,7/16/2015,7/15/2018,"1,250.00"
OA-30274,,DMH,Active,Creek,23,14N,10EIM,,NW/4 NW/4 (12.50%),35.68055,-96.226305,40,,,Landseer Exploration LLC,,,,,,7/16/2015,7/15/2018,"1,250.00"
OA-30275,,DMH,Active,Creek,23,14N,10EIM,,SE/4 NW/4,35.677346,-96.221668,40,,,Landseer Exploration LLC,,,,,,7/16/2015,7/15/2018,"1,250.00"
OA-30276,,DMH,Active,Creek,23,14N,10EIM,,SW/4 NW/4,35.677343,-96.226219,40,,,Landseer Exploration LLC,,,,,,7/16/2015,7/15/2018,"1,250.00"
OA-30277,,DMH,Active,Creek,23,14N,10EIM,,NE/4 SE/4 (8.33%),35.673715,-96.212563,40,,,Landseer Exploration LLC,,,,,,7/16/2015,7/15/2018,832.50
OA-30278,,DMH,Active,Creek,23,14N,10EIM,,NW/4 SE/4 (8.33%),35.673367,-96.217287,40,,,Landseer Exploration LLC,,,,,,7/16/2015,7/15/2018,832.50
OA-30279,,DMH,Active,Creek,23,14N,10EIM,,SE/4 SE/4 (8.33%),35.670084,-96.212477,40,,,Landseer Exploration LLC,,,,,,7/16/2015,7/15/2018,832.50
OA-30280,,DMH,Active,Creek,23,14N,10EIM,,NE/4 SW/4 (6.94%),35.673923,-96.221924,40,,,Landseer Exploration LLC,,,,,,7/16/2015,7/15/2018,695.00
OA-30281,,DMH,Active,Creek,23,14N,10EIM,,NW/4 SW/4 (6.94%),35.673851,-96.225787,40,,,Landseer Exploration LLC,,,,,,7/16/2015,7/15/2018,695.00
OA-30282,,DMH,Active,Creek,25,14N,10EIM,,NE/4 SE/4 (8.33%),35.659349,-96.195038,40,,,Landseer Exploration LLC,,,,,,7/16/2015,7/15/2018,832.50
OA-30283,,DMH,Active,Creek,25,14N,10EIM,,SE/4 SE/4 (6.94%),35.655787,-96.195044,40,,,Landseer Exploration LLC,,,,,,7/16/2015,7/15/2018,695.00
OA-29274,,DMH,Active,Creek,4,17N,10E,,SE/4,35.94478114,-96.24408029,80,160.0,,,,,,,,,,
OA-0162,,DMH,Active,Creek,26,17N,11E,,1/10 of 1/4 M.R. NW/4,35.94473041,-96.13682919,4,160.0,Royalty Star Petroleum Inc.,,,,,,,11/29/1988,,
OA-30235,,DMH,Active,Creek,14,17N,10E,,NE/4,35.94478114,-96.24408029,80,320.0,,,,,,,,,,
OA-29824,,DMH,Active,Creek,4,16N,10E,,SW/4,35.85718588,-96.24533475,10,160.0,"Total Petroleum, Inc.",,,,Williams A-1 Thru 6,Beard Oil Company,,,,
OA-29823,,DMH,Active,Creek,3,16N,10E,,SW/4 SE/4,35.85718588,-96.24533475,2,40.0,,,,,,,,,,
OA-29822,,DMH,Active,Creek,32,15N,9E,,E/2 SW/4 (1/12 int),35.76984272,-96.35176665,6.666,80.0,,,,,,,,,,
OA-29817,,DMH,Active,Creek,16,14N,8E,,NW/4 NE/4 (1/4 Int.),35.68272272,-96.45885777,10,40.0,,,,,,,,,,
OA-30098,,DMH,Active,Creek,1,14N,8E,,SE/4   ,35.68272272,-96.45885777,32,160.0,,,,,,,,,,
OA-29275,,DMH,Active,Creek,5,14N,7E,,SE/4 (1/9 int. for w/2 SE/4 + NE/4 SE/4) (1/18 int. fpr SE/4 SE/4),35.68252208,-96.56568115,15.555,160.0,,,,,,,,,,
OA-29276,,DMH,Active,CREEK,4,17N,10EIM,,N/2 SE/4 ,35.94478114,-96.24408029,80,,,,,,,,,,,
OA-29818,,DMH,Active,CREEK,31,15N,08EIM,,E/2 NW/4,35.76997508,-96.45867023,80,,,,,,,,,,,
OA-29819,,DMH,Active,CREEK,31,15N,08EIM,,LOT 1 A/K/A NW/4 NW/4,35.76997508,-96.45867023,40,,,,,,,,,,,
OA-29820,,DMH,Active,CREEK,31,15N,08EIM,,LOT 2 A/K/A SW/4 NW/4,35.76997508,-96.45867023,40,,,,,,,,,,,
OA-29821,,DMH,Active,CREEK,5,14N,09EIM,,THE WEST 20 ACRES OF LOT 2; EAST 20 ACRES OF LOT 3,35.68265656,-96.35205578,40,,,,,,,,,,,
OA-29825,,DMH,Active,CREEK,8,16N,10EIM,,NE/4 SE/4,35.85718588,-96.24533475,40,,,,,,,,,,,
,,,Expired,Custer,25,12N,17W,1.0,"N/2 N/2 NW/4 Beginning at a point 567.5 feet south and 846.5 feet east of the NW/corner of Sec 25-12N-17W; thence east 200 feet; thence south 200 feet; thence north 200 feet, to the point of beginning.",,,0.92,,Dale K. Lawyer,,,,,,,2/22/1982,,
,,DCS,Expired,Custer,26,12N,17W,,"N/2 NE/4 except 3.85 acres, more or less, described as follows: Beginning 910.5' South of the Northwest corner of the NE/4 of Section 26-12N-17WIM on East right-of-way line of US Hwy 183, thence North 28 degrees 20 minutes East along said right-of-way line 95' thence South 73 degrees 55 minutes East 138', thence South 46 degrees 02 minutes East 92 degrees, thence South 620.5', thence South 89 degrees 29 minutes West 244' to the West boundary line of said NE/4. Thence, North along said West boundary line 641' to place of beginning (All M.R.) Sec 26-12N-17WIM, containing 76.15 acres m.o.l.",,,156.15,156.15,,,,,,,,,,
,,,Expired,Ellis,35,22N,23WIM,,"Beginning at the SE corner of the NE/4, SE/4 said Section 35m thence north 22degrees 50' W, one hundred feet; thence North 46 degrees 20' Wm two hundred feet; thence North 10degrees 15' E., one thousand thirty-one and 4/10 feet to point of intersection with the section line between Sections 35 and 36; thence south on said Section line, twelve hundred forty-five and 1/10 feet to point of beginning, containing two and sixtenths acres, more or less.",,,2.6,,,,,,,,,,,
,,DHS,Expired,Ellis,12,18N,25W,,"NE/4 NW/4, NW/4 NW/4, SW/4 NW/4. NW/4 SW/4 (1/4 Int.)",,,,160.0,,,,,,,,,,
,,DHS,Expired,Ellis,12,18N,25W,,"NE/4 NW/4, NW/4 NW/4, SW/4 NW/4. NW/4 SW/4 (1/4 Int.)",,,,160.0,,,,,,,,,,
OA-1,Unitized 12/15/1964,DHS,Active,Garfield,28,23N,6WIM,1.0,"E/2 W/2 SW/4 SE/4 (ALL M.R.), 28-23N-06WIM",36.4363,-97.8429,10,10.0,L.O. Ward,Veenker,20259,0.125,L.O. Ward- Beasly #2 & J.L. Beasly Unit #1-28,"Veenker Resources & J& B Energy, Inc.",Mississipi,7/18/1963,7/18/1968,$630.00 
OA-2,,DHS,Active,Garfield,33,23N,6WIM,,"E/2 NW/4 (ALL M.R.), Sec 33-23N-06WIM",36.4305,-97.8487,80,480.0,Champlin Oil & Refining Co.,"Anadarko Minerals, Inc.",,0.125,"State School # 1,2,3,4 & 5","Exploration Associates, LLC",Mississippi Oswego,7/17/1963,7/18/1968,"$8,760.80 "
OA-3,,DHS,Active,Garfield,33,23N,6WIM,,"W/2 NW/4 (ALL M.R.), Sec 33-23N-06WIM",36.4309,-97.8533,80,480.0,Champlin Oil & Refining Co.,"Anadarko Minerals, Inc.",,0.125,"State School # 1,2,3,4 & 5","Exploration Associates, LLC",Mississippi Oswego,7/17/1963,7/18/1968,"$8,760.80 "
OA-4,,DHS,Active,Garfield,33,23N,6WIM,,"W/2 SW/4 (ALL M.R.), Sec 33-23N-06WIM",36.4241,-97.8479,80,480.0,Champlin Oil & Refining Co.,"Anadarko Minerals, Inc.",,0.125,"State School # 1,2,3,4 & 5","Exploration Associates, LLC",Mississippi Oswego,7/17/1963,7/18/1968,"$8,760.80 "
OA-5,Unitized 9/26/1963,DHS,Active,Garfield,33,23N,6WIM,,"E/2 SW/4 (ALL M.R.), Sec 33-23N-06WIM",36.4229,-97.8479,80,480.0,Champlin Oil & Refining Co.,"Anadarko Minerals, Inc.",,0.125,"State School # 1,2,3,4 & 5","Exploration Associates, LLC",Mississippi Oswego,7/17/1963,7/18/1968,"$8,760.80 "
OA-6,,DHS,Active,Garfield,33,23N,6WIM,,"W/2 SE/4 (ALL M.R.), Sec 33-23N-06WIM",36.4233,-97.8444,80,480.0,Champlin Oil & Refining Co.,"Anadarko Minerals, Inc.",,0.125,"State School # 1,2,3,4 & 5","Exploration Associates, LLC",State School ,7/17/1963,7/18/1968,"$8,760.80 "
OA-7,,DHS,Active,Garfield,33,23N,6WIM,,"E/2 SE/4 (ALL M.R.), Sec 33-23N-06WIM",36.4234,-97.8392,80,480.0,Champlin Oil & Refining Co.,"Anadarko Minerals, Inc.",,0.125,"State School # 1,2,3,4 & 5","Exploration Associates, LLC",Mississippi Oswego,7/17/1963,7/18/1968,"$8,760.80 "
