OBJECTID,EOFORM,PARKFLAG,FID_PHSREG,FID_EAGLE_,FID_HERONH,SOURCE,DESCRIPTION,P_AREA,SHAPE_Length,SHAPE_Area
26,915019.0,,25,-1,-1,WDFW priority habitat and species,"PHS-EOFORM: 915019 (Biodiversity Areas And Corridor)  SEWARD PARK - SEATTLE STANDS OF CONIFER, MIXED CONIFER-DECIDUOUS, AND MIXED CONIFER-BROADLEAF EVERGREE N TREES. DIAMETER OF TREES RANGE FROM 15 TO OVER 30 INCHES. SNAGS, DOWNED LOGS,  AND SEEPS PRESENT. NESTING BALD EAGLES AND OSPREY. MARBLED MURRELET DETECTED.",5847674.13171482,19762.4257252598,-5849278.63689902
27,915029.0,,26,-1,-1,WDFW priority habitat and species,"PHS-EOFORM: 915029 (Biodiversity Areas And Corridor)  LAKERIDGE PARK - SEATTLE STANDS OF DECIDUOUS AND MIXED CONIFER-DECIDUOUS WITH DIAMETERS OF 5 TO 30 INCHES . SNAGS, DOWNED LOGS, SEEPS, AND WETLANDS PRESENT. ALSO NESTING BALD EAGLE PRESE NT.",999039.02835278,9051.66842089584,-999271.866772722
28,915040.0,,28,-1,-1,WDFW priority habitat and species,"PHS-EOFORM: 915040 (Biodiversity Areas And Corridor)  KUBOTA GARDENS PARK AND ENVIRONS - SEATTLE STANDS OF DECIDUOUS AND MIXED DECIDUOUS-BROADLEAF EVERGREEN TREES WITH DIAMETERS  RANGING FROM 5 TO 30 INCHES. SEEPS, DOWNED LOGS, SNAGS, AND STEEP SLOPES. THE C ITY OF SEATTLE HAS MAPPED AREA AS BEING A RIPARIAN CORRIDOR AND WETLAND.",1136520.23059279,8470.6714448356,1136520.23261415
29,904461.0,,29,-1,-1,WDFW priority habitat and species,PHS-EOFORM: 904461 (California Sea Lion)    CALIFORNIA SEA LION    ,5185475.76708348,18568.0903745007,-5185549.89765914
30,915038.0,,30,-1,-1,WDFW priority habitat and species,PHS-EOFORM: 915038 (Biodiversity Areas And Corridor)  NORTHACRES PARK - SEATTLE STANDS OF CONIFER AND DECIDUOUS TEREES WITH DIAMETERS RANGING FROM 5 TO 20 INCHE S. SNAGS AND DOWNED LOGS ARE PRESENT. ,718506.35130855,4347.89519628197,718506.365949554
31,915036.0,,31,-1,-1,WDFW priority habitat and species,"PHS-EOFORM: 915036 (Biodiversity Areas And Corridor)  THORNTON CREEK GREENSPACE - SEATTLE STANDS OF CONIFER, DECIDUOUS, AND MIXED CONIFER-DECIDUOUS TREES RANGING FROM 5 T O OVER 30 INCHES IN DIAMETER. RIPARIAN CORRIDOR AND WETLANDS ALONG THORNTON CREE K. SNAGS AND DOWNED LOGS PRESENT. RESIDENT COASTAL CUTTHROAT PRESENT.",827788.81880524,7648.0101182564,827788.771821863
32,915020.0,,32,-1,-1,WDFW priority habitat and species,"PHS-EOFORM: 915020 (Biodiversity Areas And Corridor)  RAVENNA PARK AND ENVIRONS - SEATTLE STANDS OF CONIFER, DECIDUOUS, MIXED CONIFER-DECIDUOUS, AND MIXED CONIFER-BROADLE AF EVERGREEN TREES. DIAMETER OF TREES RANGE FROM 5 TO 20 INCHES. SNAGS, DOWNED L OGS, AND WETLANDS ALSO PRESENT.",1970409.92230172,14946.3848934548,1970409.8869345
33,915041.0,,33,-1,-1,WDFW priority habitat and species,"PHS-EOFORM: 915041 (Biodiversity Areas And Corridor)  EAST DUWAMISH GREENBELT - SEATTLE STANDS OF DECIDUOUS AND MIXED CONIFER-DECIDUOUS WITH DIAMETERS RANGING FROM 5 TO  20 INCHES. WETLANDS, SEEPS, SNAGS, DOWNED LOGS, TALUS, AND SHRUBS PRESENT. STEE P SLOPES MAINLY WEST FACING. OPSREY NESTING NEAR MARTIN LUTHER KING WAY.",12502563.7704417,79073.9233101053,12502563.821458
34,904754.0,,34,-1,-1,WDFW priority habitat and species,"PHS-EOFORM: 904754 (Esturine Zone)    BAY/ESTUARY-COASTAL ZONE ATLAS CODE 54-MODERATELY PROTECTED MARINE EMBAYMENTS WI TH FREE CONNECTIONS WITH THE OPEN SEA. BLUFFS, REACH SUBSTRATES MARSHES, EELGRAS S BEDS, AND OTHER INTERTIDAL HABITATS ARE ASSOCIATED WITH IT.",23723516.5640284,188029.676613533,23723516.7440776
35,902525.0,,35,-1,-1,WDFW priority habitat and species,PHS-EOFORM: 902525 (Wetlands)  GREEN RIVER WETLANDS (LOWER RIVER). VARIOUS TYPES OF WETLANDS THROUGHOUT THE LOWER GREEN RIVER VALLEY (DOWNSTREAM FR OM FLAMING GEYSR PARK). SOME OF THESE ALSO HAVE OPEN WATER COMPONENTS.  ,430037.41972819,6695.96206266284,430037.479115355
36,920070.0,,36,-1,-1,WDFW priority habitat and species,PHS-EOFORM: 920070 (Waterfowl Concentrations)  BITTER LAKE LOWLAND LAKES PROVIDE A FOOD BASE FOR PISCIVOROUS AND HERBIVOROUS WATERFOWL. DABBLING AND DIVING DUCKS IN LOW HUNDREDS ,747509.36754659,4189.7979657206,747509.371078089
37,920071.0,,37,-1,-1,WDFW priority habitat and species,PHS-EOFORM: 920071 (Waterfowl Concentrations)  GREEN LAKE LOWLAND LAKES PROVIDE A FOOD BASE FOR PISCIVOROUS AND HERBIVOROUS WATERFOWL. DABBLING DUCKS IN LOW TO MID-HUNDREDS; PARTICULARLY WIGEON ON LAKE AND SHORELINE BALL FIELDS.,11517004.5754294,16366.2499391599,-11517044.9573695
38,903606.0,,38,-1,-1,WDFW priority habitat and species,"PHS-EOFORM: 903606 (Wetlands)  REGION 4 SALTWATER WETLANDS. PUGET SOUND COASTAL SALT MARSHES, SALT MEADOWS, AND BRACKISH MARSHES.    ",726879.40593787,3921.08536791962,726879.401481821
39,,,-1,-1,1,Great blue heron management area,Great blue heron management area,22071322.9544466,106044.929405623,-22065864.8571481
40,,,-1,-1,2,Great blue heron management area,Great blue heron management area,15766.89941826,471.580937977049,-15717.2560765998
41,,,-1,-1,3,Great blue heron management area,Great blue heron management area,60466.55364385,1493.50586312271,60466.5470437509
42,,,-1,-1,4,Great blue heron management area,Great blue heron management area,76718.04752197,1073.66371327292,-76608.6014664696
43,,,-1,-1,5,Great blue heron management area,Great blue heron management area,49470.06942753,1592.5638930052,49470.0649737521
44,,,-1,-1,6,Great blue heron management area,Great blue heron management area,55602.07848978,1815.51040520375,55602.0784924698
45,,,-1,-1,7,Great blue heron management area,Great blue heron management area,39430.62184955,1063.14786945028,39430.624592227
46,,,-1,-1,8,Great blue heron management area,Great blue heron management area,904970.1029955,7640.6838251186,904970.044632359
47,,,-1,-1,9,Great blue heron management area,Great blue heron management area,722295.37071024,7021.36605382434,722295.312319844
48,,,-1,-1,10,Great blue heron management area,Great blue heron management area,123969.39542331,1579.58141584053,123969.389635237
49,,,-1,-1,11,Great blue heron management area,Great blue heron management area,49301.56462955,991.60722832587,49301.5571926471
50,,,-1,-1,12,Great blue heron management area,Great blue heron management area,1170624.5234253,23054.6412326118,1170624.46483741
51,,,-1,-1,13,Great blue heron management area,Great blue heron management area,303900.79250216,2744.93375739459,303900.779690815
52,,,-1,-1,14,Great blue heron management area,Great blue heron management area,57002.43802949,933.969524271342,57002.4477403826
53,915021.0,,6,1,-1,WDFW priority habitat and species    Bald eagle management area,"PHS-EOFORM: 915021 (Biodiversity Areas And Corridor)  WASHINGTON ARBORETUM AND ENVIRONS - SEATTLE STANDS OF CINIFER, DECIDUOUS, AND MIXED CONIFER-DECIDUOUS TREES INTERMIXED WITH  LANDSCAPED GRASSLANDS AND FOREST. SNAGS, DOWNED LOGS, AND WETLANDS ARE PRESENT.  NESTING BALD EAGLES, AND GREAT BLUE HERON. WESTERN POND AND PAINTED TURTLES.",96323.10653185,2264.72176428725,-96213.2313293288
54,915025.0,,9,1,-1,WDFW priority habitat and species    Bald eagle management area,"PHS-EOFORM: 915025 (Biodiversity Areas And Corridor)  LINCOLN-FAUNTLEROY PARKS - SEATTLE STANDS OF CONIFER, DECIDUOUS, BROADLEAF EVERGREEN, AND MIXED CONIFER-DECIDUOUS.  SNAGS, DOWNED LOGS, AND WETLANDS PRESENT. NESTING BALD EAGLE AND DOCUMENTED PRES ENCE OF COHO AND RESIDENT COASTAL CUTTHROAT TROUT IN FAUNTLEROY CREEK.",299994.17984934,1982.0032888604,-299701.911182681
55,915028.0,,12,1,-1,WDFW priority habitat and species    Bald eagle management area,"PHS-EOFORM: 915028 (Biodiversity Areas And Corridor)  DUWAMISH HEAD GREENBELT - SEATTLE STANDS OF DECIDUOUS AND MIXED CONIFER-DECIDUOUS WITH DIAMETERS RANGING FROM 5 TO  20 INCHES. SNAGS, DOWNED LOGS, SEEPS, AND WETLANDS PRESENT.  ALSO NESTING BALD  EAGLE PRESENT.",246810.8373486,2336.78821892954,-246624.825438692
56,915015.0,,18,1,-1,WDFW priority habitat and species    Bald eagle management area,"PHS-EOFORM: 915015 (Biodiversity Areas And Corridor)  DISCOVERY PARK - SEATTLE STANDS OF CONIFERS, DECIDUOUS AND MIXED CONIFER AND DECIDUOUS INTERMIXED WITH PA TCHES OF SHRUBLAND, GRASSLAND, CLIFFS, AND WETLANDS UPON MAGNOLIA BLUFF. DIAMETE R OF TREES 5 TO 30 INCHES. NESTING PILEATED WOODPECKERS AND BALD EAGLE PRESENT.",1315799.9292749,8584.82192674401,-1314142.99101607
57,915019.0,,25,1,-1,WDFW priority habitat and species    Bald eagle management area,"PHS-EOFORM: 915019 (Biodiversity Areas And Corridor)  SEWARD PARK - SEATTLE STANDS OF CONIFER, MIXED CONIFER-DECIDUOUS, AND MIXED CONIFER-BROADLEAF EVERGREE N TREES. DIAMETER OF TREES RANGE FROM 15 TO OVER 30 INCHES. SNAGS, DOWNED LOGS,  AND SEEPS PRESENT. NESTING BALD EAGLES AND OSPREY. MARBLED MURRELET DETECTED.",878642.70262355,4803.83029730434,-877674.506559841
58,915029.0,,26,1,-1,WDFW priority habitat and species    Bald eagle management area,"PHS-EOFORM: 915029 (Biodiversity Areas And Corridor)  LAKERIDGE PARK - SEATTLE STANDS OF DECIDUOUS AND MIXED CONIFER-DECIDUOUS WITH DIAMETERS OF 5 TO 30 INCHES . SNAGS, DOWNED LOGS, SEEPS, AND WETLANDS PRESENT. ALSO NESTING BALD EAGLE PRESE NT.",155926.78365727,1741.05669005999,-155711.779864994
59,,,-1,1,1,Great blue heron management area    Bald eagle management area,Great blue heron management area    Bald eagle management area,39855.54486208,1194.73846819609,-39758.0963157234
60,,,-1,1,16,Great blue heron management area    Bald eagle management area,Great blue heron management area    Bald eagle management area,19852.78630453,641.001607206902,-19808.9116267088
61,915021.0,,6,2,-1,WDFW priority habitat and species    Bald eagle management area,"PHS-EOFORM: 915021 (Biodiversity Areas And Corridor)  WASHINGTON ARBORETUM AND ENVIRONS - SEATTLE STANDS OF CINIFER, DECIDUOUS, AND MIXED CONIFER-DECIDUOUS TREES INTERMIXED WITH  LANDSCAPED GRASSLANDS AND FOREST. SNAGS, DOWNED LOGS, AND WETLANDS ARE PRESENT.  NESTING BALD EAGLES, AND GREAT BLUE HERON. WESTERN POND AND PAINTED TURTLES.",376865.95988644,4845.63864695504,-376544.399355726
62,915025.0,,9,2,-1,WDFW priority habitat and species    Bald eagle management area,"PHS-EOFORM: 915025 (Biodiversity Areas And Corridor)  LINCOLN-FAUNTLEROY PARKS - SEATTLE STANDS OF CONIFER, DECIDUOUS, BROADLEAF EVERGREEN, AND MIXED CONIFER-DECIDUOUS.  SNAGS, DOWNED LOGS, AND WETLANDS PRESENT. NESTING BALD EAGLE AND DOCUMENTED PRES ENCE OF COHO AND RESIDENT COASTAL CUTTHROAT TROUT IN FAUNTLEROY CREEK.",530965.55836042,4225.90768434857,-530883.742599566
63,915028.0,,12,2,-1,WDFW priority habitat and species    Bald eagle management area,"PHS-EOFORM: 915028 (Biodiversity Areas And Corridor)  DUWAMISH HEAD GREENBELT - SEATTLE STANDS OF DECIDUOUS AND MIXED CONIFER-DECIDUOUS WITH DIAMETERS RANGING FROM 5 TO  20 INCHES. SNAGS, DOWNED LOGS, SEEPS, AND WETLANDS PRESENT.  ALSO NESTING BALD  EAGLE PRESENT.",498252.23079784,6135.19250395885,-498057.287145911
64,915023.0,,14,2,-1,WDFW priority habitat and species    Bald eagle management area,"PHS-EOFORM: 915023 (Biodiversity Areas And Corridor)  WEST DUWAMISH GREENBELT - SEATTLE STANDS OF CONIFER, DECIDUOUS, BROADLEAF EVERGREEN, AND MIXED CONIFER-DECIDUOUS T REES. SNAGS, DOWNED LOGS, SEEPS, WETLANDS, AND SHRUBS PRESENT. NESTING BALD EAGL E ALSO PRESENT.",131766.40164907,2100.97978709886,-131951.317484676
65,915015.0,,18,2,-1,WDFW priority habitat and species    Bald eagle management area,"PHS-EOFORM: 915015 (Biodiversity Areas And Corridor)  DISCOVERY PARK - SEATTLE STANDS OF CONIFERS, DECIDUOUS AND MIXED CONIFER AND DECIDUOUS INTERMIXED WITH PA TCHES OF SHRUBLAND, GRASSLAND, CLIFFS, AND WETLANDS UPON MAGNOLIA BLUFF. DIAMETE R OF TREES 5 TO 30 INCHES. NESTING PILEATED WOODPECKERS AND BALD EAGLE PRESENT.",2016959.74027982,16086.707315903,-2017609.43144692
66,915019.0,,25,2,-1,WDFW priority habitat and species    Bald eagle management area,"PHS-EOFORM: 915019 (Biodiversity Areas And Corridor)  SEWARD PARK - SEATTLE STANDS OF CONIFER, MIXED CONIFER-DECIDUOUS, AND MIXED CONIFER-BROADLEAF EVERGREE N TREES. DIAMETER OF TREES RANGE FROM 15 TO OVER 30 INCHES. SNAGS, DOWNED LOGS,  AND SEEPS PRESENT. NESTING BALD EAGLES AND OSPREY. MARBLED MURRELET DETECTED.",1985970.03840061,12995.5602195867,-1985333.7186321
67,915029.0,,26,2,-1,WDFW priority habitat and species    Bald eagle management area,"PHS-EOFORM: 915029 (Biodiversity Areas And Corridor)  LAKERIDGE PARK - SEATTLE STANDS OF DECIDUOUS AND MIXED CONIFER-DECIDUOUS WITH DIAMETERS OF 5 TO 30 INCHES . SNAGS, DOWNED LOGS, SEEPS, AND WETLANDS PRESENT. ALSO NESTING BALD EAGLE PRESE NT.",508916.68439704,4552.27428907592,-508898.844792219
68,904461.0,,29,2,-1,WDFW priority habitat and species    Bald eagle management area,PHS-EOFORM: 904461 (California Sea Lion)    CALIFORNIA SEA LION    ,13436.55937206,724.580525576378,-13362.3129595678
69,920071.0,,37,2,-1,WDFW priority habitat and species    Bald eagle management area,PHS-EOFORM: 920071 (Waterfowl Concentrations)  GREEN LAKE LOWLAND LAKES PROVIDE A FOOD BASE FOR PISCIVOROUS AND HERBIVOROUS WATERFOWL. DABBLING DUCKS IN LOW TO MID-HUNDREDS; PARTICULARLY WIGEON ON LAKE AND SHORELINE BALL FIELDS.,4610.85063623,502.230530805631,-4570.40609543979
70,,,-1,2,1,Great blue heron management area    Bald eagle management area,Great blue heron management area    Bald eagle management area,375512.92976287,5218.86764722755,-375174.03709833
71,,,-1,2,16,Great blue heron management area    Bald eagle management area,Great blue heron management area    Bald eagle management area,11871.55923276,592.286069283049,-11915.4361502627
72,918012.0,,1,-1,-1,WDFW priority habitat and species,"PHS-EOFORM: 918012 (Waterfowl Concentrations)  UNION BAY - LAKE WASHINGTON THE WETLANDS AT THE MOUTH OF UNIVERSITY SLOUGH, ALONG THE UNION BAY NATURAL AREA , MARSH AND FOSTER ISLANDS AND ASSOCIATED UW ARBORETUM SHORELINE PROVIDE NESTING  AND LOAFING OPPORTUNITIES FOR URBAN DABBLER SPECIES, INCLUDING WOOD DUCKS.",3639198.65493985,18370.1812647011,-3639266.39057464
73,902029.0,,5,-1,-1,WDFW priority habitat and species,"PHS-EOFORM: 902029 (Wetlands)  ARBORETUM, FOSTER ISLAND, AND, UNIVERSITY OF WASH UNION BAY WETLANDS. THESE WETLANDS ARE REPORTED TO HOST A DIVERSE WILDLIFE POPUL ATION (145 SPECIES) ARBORETUM/LAKESIDE TRAIL DEIS. 1990.  ",3639198.65493985,18370.1812647011,-3639266.39057464
74,918012.0,,1,-1,-1,WDFW priority habitat and species,"PHS-EOFORM: 918012 (Waterfowl Concentrations)  UNION BAY - LAKE WASHINGTON THE WETLANDS AT THE MOUTH OF UNIVERSITY SLOUGH, ALONG THE UNION BAY NATURAL AREA , MARSH AND FOSTER ISLANDS AND ASSOCIATED UW ARBORETUM SHORELINE PROVIDE NESTING  AND LOAFING OPPORTUNITIES FOR URBAN DABBLER SPECIES, INCLUDING WOOD DUCKS.",4011197.84938257,24211.3418060277,-4011885.38069758
