Agency Number,OCP_AGNCY_NAME,Account - Major Class,Account Description - Major Class,Account - Sub-Class,Account Description - Sub-Class,Account,Account Description,Fiscal Year,Accounting Period,Amount
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411200,TOBACCO TAXES,411219,TRIBAL COMPACT INLIEU TAX PMTS,2008,11,$831714.55
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,411200,TOBACCO TAXES,411219,TRIBAL COMPACT INLIEU TAX PMTS,2008,12,$736747.30
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412101,GROSS PRODUCTION TAX - GAS,2008,1,$45814995.68
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412101,GROSS PRODUCTION TAX - GAS,2008,2,$56573856.92
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412101,GROSS PRODUCTION TAX - GAS,2008,3,$56900575.77
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412101,GROSS PRODUCTION TAX - GAS,2008,4,$63900450.41
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412101,GROSS PRODUCTION TAX - GAS,2008,5,$49139638.83
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412101,GROSS PRODUCTION TAX - GAS,2008,6,$46486357.64
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412101,GROSS PRODUCTION TAX - GAS,2008,7,$56546271.93
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412101,GROSS PRODUCTION TAX - GAS,2008,8,$51175709.14
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412101,GROSS PRODUCTION TAX - GAS,2008,9,$55468376.80
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412101,GROSS PRODUCTION TAX - GAS,2008,10,$46998481.10
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412101,GROSS PRODUCTION TAX - GAS,2008,11,$64008721.29
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412101,GROSS PRODUCTION TAX - GAS,2008,12,$67190678.71
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412102,GROSS PRODUCTION TAX - OIL,2008,1,$20266602.81
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412102,GROSS PRODUCTION TAX - OIL,2008,9,$9780664.98
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412102,GROSS PRODUCTION TAX - OIL,2008,10,$31579000.86
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412102,GROSS PRODUCTION TAX - OIL,2008,11,$28615786.20
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412102,GROSS PRODUCTION TAX - OIL,2008,12,$36173985.42
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412105,PETROLEUM EXCISE TAX,2008,1,$906609.51
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412105,PETROLEUM EXCISE TAX,2008,2,$1069833.15
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412105,PETROLEUM EXCISE TAX,2008,3,$970657.95
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412105,PETROLEUM EXCISE TAX,2008,4,$1083800.89
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412105,PETROLEUM EXCISE TAX,2008,5,$951242.98
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412105,PETROLEUM EXCISE TAX,2008,6,$902947.25
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412105,PETROLEUM EXCISE TAX,2008,7,$1075244.01
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412105,PETROLEUM EXCISE TAX,2008,8,$1147931.97
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412105,PETROLEUM EXCISE TAX,2008,9,$1099428.16
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412105,PETROLEUM EXCISE TAX,2008,10,$1202944.67
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412105,PETROLEUM EXCISE TAX,2008,11,$1220454.78
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412105,PETROLEUM EXCISE TAX,2008,12,$1472780.84
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412122,COIN OPERATORS DEVICE DECAL,2008,1,$2234221.00
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412122,COIN OPERATORS DEVICE DECAL,2008,2,$515466.89
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412122,COIN OPERATORS DEVICE DECAL,2008,3,$213998.91
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412122,COIN OPERATORS DEVICE DECAL,2008,4,$51357.00
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412122,COIN OPERATORS DEVICE DECAL,2008,5,$92580.00
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412122,COIN OPERATORS DEVICE DECAL,2008,6,$13997.00
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412122,COIN OPERATORS DEVICE DECAL,2008,7,$9840.00
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412122,COIN OPERATORS DEVICE DECAL,2008,8,$14555.00
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412122,COIN OPERATORS DEVICE DECAL,2008,9,$14112.50
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412122,COIN OPERATORS DEVICE DECAL,2008,10,$17251.50
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412122,COIN OPERATORS DEVICE DECAL,2008,11,$8549.00
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412122,COIN OPERATORS DEVICE DECAL,2008,12,$326259.50
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412133,FRANCHISE TAX,2008,1,$2906659.06
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412133,FRANCHISE TAX,2008,2,$5980695.31
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412133,FRANCHISE TAX,2008,3,$11057570.61
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412133,FRANCHISE TAX,2008,4,$10468932.86
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412133,FRANCHISE TAX,2008,5,$1202827.13
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412133,FRANCHISE TAX,2008,6,$602419.06
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412133,FRANCHISE TAX,2008,7,$698072.94
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412133,FRANCHISE TAX,2008,8,$358824.43
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412133,FRANCHISE TAX,2008,9,$1084362.86
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412133,FRANCHISE TAX,2008,10,$9526018.85
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412133,FRANCHISE TAX,2008,11,$1548073.13
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412133,FRANCHISE TAX,2008,12,$669112.49
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412144,CORPORATE INCOME TAX,2008,1,$61367755.65
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412144,CORPORATE INCOME TAX,2008,2,$2933892.67
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412144,CORPORATE INCOME TAX,2008,3,$3553053.98
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412144,CORPORATE INCOME TAX,2008,4,$65244076.39
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412144,CORPORATE INCOME TAX,2008,5,$12532065.80
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412144,CORPORATE INCOME TAX,2008,7,$35859481.31
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412144,CORPORATE INCOME TAX,2008,8,$9334306.75
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412144,CORPORATE INCOME TAX,2008,9,$1805858.06
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412144,CORPORATE INCOME TAX,2008,10,$51606394.28
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412144,CORPORATE INCOME TAX,2008,11,$31402648.46
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412144,CORPORATE INCOME TAX,2008,12,$3617087.44
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412155,OCCUPATIONAL HEALTH/SAFETY TAX,2008,1,$215509.19
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412155,OCCUPATIONAL HEALTH/SAFETY TAX,2008,2,$160366.55
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412155,OCCUPATIONAL HEALTH/SAFETY TAX,2008,3,$199659.59
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412155,OCCUPATIONAL HEALTH/SAFETY TAX,2008,4,$193783.51
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412155,OCCUPATIONAL HEALTH/SAFETY TAX,2008,5,$202285.01
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412155,OCCUPATIONAL HEALTH/SAFETY TAX,2008,6,$167392.84
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412155,OCCUPATIONAL HEALTH/SAFETY TAX,2008,7,$179691.38
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412155,OCCUPATIONAL HEALTH/SAFETY TAX,2008,8,$201911.40
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412155,OCCUPATIONAL HEALTH/SAFETY TAX,2008,9,$167937.04
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412155,OCCUPATIONAL HEALTH/SAFETY TAX,2008,10,$204389.17
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412155,OCCUPATIONAL HEALTH/SAFETY TAX,2008,11,$214888.11
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412155,OCCUPATIONAL HEALTH/SAFETY TAX,2008,12,$203740.46
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412161,CHARITY GAMES TAX,2008,1,$5703.57
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412161,CHARITY GAMES TAX,2008,2,$20808.84
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412161,CHARITY GAMES TAX,2008,4,$13593.89
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412161,CHARITY GAMES TAX,2008,6,$2989.24
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412161,CHARITY GAMES TAX,2008,7,$10410.71
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412161,CHARITY GAMES TAX,2008,8,$2231.06
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412161,CHARITY GAMES TAX,2008,10,$12071.09
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412161,CHARITY GAMES TAX,2008,11,$3554.82
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412163,BINGO TAX,2008,1,$42092.83
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412163,BINGO TAX,2008,2,$275274.34
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412163,BINGO TAX,2008,4,$56573.62
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412163,BINGO TAX,2008,6,$15224.22
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412163,BINGO TAX,2008,7,$34920.92
0,STATE OF OKLAHOMA,400700,TAXES AND INTEREST INCOME,412100,BUSINESS TAXES                ,412163,BINGO TAX,2008,8,$12691.25
