OBJECTID,QUAD,SEGMENT,SRC_MAP,SRC_SCALE,SRC_YEAR,HELP_MAP,HELP_SCALE,HELP_DATE,FPR_TRAIL_,JUR,MAINT,MAINT2,CLASS,LONG_,LTS,AT_,ATS,ALTS,CAT,VAST,VAST_1,VAST_2,VAFD,SFT,LRP,PCT,ATV,OT,ID,NOTES,MILES,SHAPElen
677,411,146, ,0,0, ,0, ,0,FD,FS, ,OT, , , , , , , , , , ,T, , , , ,411146,"Wilkinson Ski trail (non fee, ungroomed)",0.034,55.4000729293887
678,411,147, ,0,0, ,0, ,0,ER, , , , , , , , , , , , , , , , , , ,411147,IS NOT A TRAIL!!,0.124,199.051834947506
679,411,148, ,0,0, ,0, ,0,FD,FS, ,OT, , , , , , , , , , ,T, , , , ,411148,"Wilkinson ski trail (non-fee, ungroomed)",0.073,116.872973129257
680,411,149, ,0,0, ,0, ,0,FD,FS, ,OT, , , , , , , , , , ,T, , , , ,411149,"Wilkinson ski trail (non-fee, ungroomed)",0.052,83.5980248918022
681,411,150, ,0,0, ,0, ,0,FD,FS, ,OT, , , , , , , , , , ,T, , , , ,411150,"Wilkinson ski trail (non-fee, ungroomed)",0.229,368.805803012935
682,411,151, ,0,0, ,0, ,0,FD,FS, ,OT, , , , , , , , , , ,T, , , , ,411151,"Wilkinson ski trail (non-fee, ungroomed)",0.198,318.067901949423
683,411,152, ,0,0, ,0, ,0,FD,FS, ,OT, , , , , , , , , , ,T, , , , ,411152,"Wilkinson ski trail (non-fee, ungroomed)",0.372,599.670685529364
684,411,153, ,0,0, ,0, ,0,FD,FS, ,OT, , , , , , , , , , ,T, , , , ,411153,"Wilkinson ski trail (non-fee, ungroomed)",0.336,541.150131346958
685,411,154, ,0,0, ,0, ,0,FD,FS, ,OT, , , , , , , , , , ,T, , , , ,411154,"Wilkinson ski trail (non-fee, ungroomed)",0.236,379.203155718729
686,411,155, ,0,0, ,0, ,0,FD,FS, ,OT, , , , , , , , , , ,T, , , , ,411155,"Wilkinson ski trail (non-fee, ungroomed)",0.455,733.013592598371
687,411,156, ,0,0, ,0, ,0,FD,FS, ,OT, , , , , , , , , , ,T, , , , ,411156,"Wilkinson ski trail (non-fee, ungroomed)",0.238,383.561790758638
688,411,157, ,0,0, ,0, ,0,FD,FS, ,OT, , , , , , , , , , ,T, , , , ,411157,"Wilkinson ski trail (non-fee, ungroomed)",0.05,80.4489984618808
689,411,158, ,0,0, ,0, ,0,FD,FS, ,OT, , , , , , , , , , ,T, , , , ,411158,"Wilkinson ski trail (non-fee, ungroomed)",0.317,510.582811481699
690,410,1, ,0,0, ,0, ,0,FD,FS, ,OT, , , , , , ,T, , , ,F, , , , ,410001,Leicester Hollow Trail-map edge to trail intersect,1.779,2863.79661713767
691,410,2, ,0,0, ,0, ,0,FD,FS, ,OT, , , , , , , , , , ,T, , , , ,410002,Chandler Ridge trail-intersection to map edge,2.113,3402.21573753847
692,410,3, ,0,0, ,0, ,0,FD,FS, ,OT, , , , , , ,T, , , ,F, , , , ,410003,Leicester Hollow trail- to Minnie Baker trail,0.118,190.728415130926
693,410,4, ,0,0, ,0, ,0,FD,VA,FS,OT, , , , , , , , , ,T, , , , , ,410004,Minnie Baker Trail to Route 53,1.154,1857.75967977217
694,410,5, ,0,0, ,0, ,0,FD,SK, ,OT, , , , , , , , , , , , ,T, , ,410005,Churchill House fee trail-Leicester Hollow,0.15,241.062396499016
695,410,6, ,0,0, ,0, ,0,FD,SK, ,OT, , , , , , , , , , , , ,T, , ,410006,Churchill house fee trail,0.401,646.043674829734
696,410,7, ,0,0, ,0, ,0,FD,SK, ,OT, , , , , , , , , , , , ,T, , ,410007,Churchill House Fee Trail,0.092,147.724476769176
697,410,8, ,0,0, ,0, ,0,FD,SK, ,OT, , , , , , , , , , , , ,T, , ,410008, ,0.269,432.553719828893
698,410,9, ,0,0, ,0, ,0,FD,SK, ,OT, , , , , , , , , , , , ,T, , ,410009,segment between trail intersections,0.115,185.089242481499
699,410,10, ,0,0, ,0, ,0,FD,SK, ,OT, , , , , , , , , , , , ,T, , ,410010,Churchill House Fee Trail,0.162,260.351518495188
700,410,11, ,0,0, ,0, ,0,FD,SK, ,OT, , , , , , , , , , , , ,T, , ,410011,Churchill House Fee Trail,0.068,109.094968778982
701,410,12, ,0,0, ,0, ,0,FD,SK, ,OT, , , , , , , , , , , , ,T, , ,410012,Churchill House Fee Trail,0.186,299.279176677563
702,410,13, ,0,0, ,0, ,0,FD,SK, ,OT, , , , , , , , , , , , ,T, , ,410013,Churchill House Fee Trail,0.305,490.934675636157
703,410,14, ,0,0, ,0, ,0,FD,SK,FS,OT, , , , , , , , , , , , ,T, , ,410014,map edge to trail intersection,1.872,3013.77368588143
704,410,15, ,0,0, ,0, ,0,FD,SK, ,OT, , , , , , , , , , , , ,T, , ,410015,Churchill House fee trail,0.141,226.383140698444
705,410,16, ,0,0, ,0, ,0,FD,SK, ,OT, , , , , , , , , , , , ,T, , ,410016,Churchill House fee trail,0.829,1334.12659031985
706,410,17, ,0,0, ,0, ,0,PV,VA, ,PR, , , , , , ,T, , , , , , , , ,410017,Corridor trail to edge of clearing,0.248,399.91982189306
707,410,18, ,0,0, ,0, ,0,PV,VA, ,PR, , , , , , ,T, , , , , , , , ,410018,Corridor trail to Route 73,0.416,670.234689539479
708,410,19, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , ,T, , , , , , , , ,410019,Corridor trail,0.284,457.172142095756
709,410,20, ,0,0, ,0, ,0,PV,VA, ,TH, , , , , , ,T, , , , , , , , ,410020,Corridor trail,0.145,233.279861585817
710,410,21, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , ,T, , , , , , , , ,410021,Corridor trail,0.155,249.849523610771
711,410,22, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , ,T, , , , , , , , ,410022,Corridor trail,0.742,1193.97989602359
712,410,23, ,0,0, ,0, ,0,PV,VA, ,PR, , , , , , ,T, , , , , , , , ,410023,Corridor trail,0.27,434.680073086026
713,410,24, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , ,T, , , , , , , , ,410024,Corridor trail- section of trail off road,0.085,137.2546960199
714,410,25, ,0,0, ,0, ,0,PV,VA, ,PR, , , , , , ,T, , , , , , , , ,410025,Corridor trail- to intersect w/ feeder trail,0.917,1476.32506235685
715,410,26, ,0,0, ,0, ,0,PV,VA,UK,OT, , , , , , ,T, , , , , , , , ,410026,Corridor trail to map edge,1.209,1947.1638158614
716,410,27, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , , , , ,T, , , , , ,410027,feeder trail -end of road to trail intersection,1.695,2728.90592575643
717,410,28, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , , , , ,T, , , , , ,410028,trail intersection to intersect with road,0.622,1001.78909776544
718,410,29, ,0,0, ,0, ,0,PV,VA, ,PR, , , , , , , , , ,T, , , , , ,410029,feeder trail along road to tr/rd intersection,0.568,915.052556802449
719,410,30, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , , , , ,T, , , , , ,410030,feeder trail to trail end,0.353,569.093491826407
720,410,31, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , ,T, , , , , , , , ,410031,Corridor trail to Route 73,0.847,1364.41044732967
721,410,32, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , ,T, , , , , , , , ,410032,Corridor trail to intersection with town road,0.759,1222.30414010862
722,410,33, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , ,T, , , , , , , , ,410033,Corridor trail to Old Farm Road,0.322,517.884511519808
723,410,34, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , ,T, , , , , , , , ,410034,Corridor trail,1.594,2566.11374555264
724,410,35, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , ,T, , , , , , , , ,410035,Corridor trail,0.841,1354.11215724957
725,410,36, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , , , , ,T, , , , , ,410036,feeder trail to utility corridor,0.175,281.043767599653
726,410,37, ,0,0, ,0, ,0,UT,VA,UT,UC, , , , , , , , , ,T, , , , , ,410037,feeder trail along utility easement,0.276,443.996322046221
727,410,38, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , , , , ,T, , , , , ,410038,feeder trail to Route 7,0.25,402.024640675278
728,410,39, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , , , , ,T, , , , , ,410039,feeder trail segment adjacent tooute 7,0.283,454.95223621364
729,410,40, ,0,0, ,0, ,0,PV,VA, ,TH, , , , , , , , , ,T, , , , , ,410040,"feeder trail, along town highway to trail intersec",0.1,160.432804550355
730,410,41, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , , , , ,T, , , , , ,410041,feeder trail from TH tooute 7,0.471,757.851057168959
731,410,42, ,0,0, ,0, ,0,PV,VA, ,PR, , , , , , ,T, , , , , , , , ,410042,C-7 from feeder trail til it leaves private road,0.167,268.239117171551
732,410,43, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , ,T, , , , , , , , ,410043,C-7 from private rd to town highway,0.186,299.836593002177
733,410,44, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , ,T, , , , , , , , ,410044,C-7 from Town Highway to Utitlity corr. thru swamp,0.948,1526.70114117002
734,410,45, ,0,0, ,0, ,0,PV,VA, ,PR, , , , , , , , , ,T, , , , , ,410045,feeder trail from utility corr to Route 7,0.237,381.37893101484
735,410,46, ,0,0, ,0, ,0,UT,VA,UT,UC, , , , , , ,T, , , , , , , , ,410046,C-7 along utility corridor,0.429,691.36356458096
736,410,47, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , ,T, , , , , , , , ,410047,C-7 segment not along utility corridor,0.24,386.954860292221
737,410,48, ,0,0, ,0, ,0,UT,VA,UT,UC, , , , , , ,T, , , , , , , , ,410048,C-7 from utility corridor to intersect w/ town rd,0.69,1111.15398310182
738,410,49, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , ,T, , , , , , , , ,410049,C-7,0.434,698.616934639407
739,410,50, ,0,0, ,0, ,0,UT,VA,UT,UC, , , , , , ,T, , , , , , , , ,410050,C-7 from utility corridor to intersect w/ town rd,0.713,1148.71995851527
740,410,51, ,0,0, ,0, ,0,UT,VA,UT,UC, , , , , , ,T, , , , , , , , ,410051,C-7 to point where trail leaves utitlity corridor,0.53,853.265192473023
741,410,52, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , ,T, , , , , , , , ,410052,C-7 -intersect with utitlity corr to Route 7,0.172,276.300646836749
742,410,53, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , ,T, , , , , , , , ,410053,C-7 from Route7 to intersect w/ utility corridor,0.177,285.514480709279
743,410,54, ,0,0, ,0, ,0,UT,VA,UT,UC, , , , , , ,T, , , , , , , , ,410054,C-7 along utility corridor to map edge,0.119,192.160828929675
744,410,55, ,0,0, ,0, ,0,FD,SK, ,OT, , , , , , , , , , , , ,T, , ,410055,Blueberry Hill Fee trail edge topo,0.586,944.040758004611
745,410,56, ,0,0, ,0, ,0,FD,CT, ,OT, , , , , ,T, , , , , , , , , ,410056,Blueberry Hill Fee trail catamount trail,0.37,596.346659009031
746,410,57, ,0,0, ,0, ,0,FD,CT, ,OT, , , , , ,T, , , , , , , , , ,410057,Blueberry Hill Fee trail catamount trail,0.399,641.726052691677
747,410,58, ,0,0, ,0, ,0,FD,CT, ,OT, , , , , ,T, , , , , , , , , ,410058,Blueberry Hill Fee trail catamount trail,0.118,190.780469924888
748,309,1, ,0,0, ,0, ,0,PV,ST, ,OT, , , , , , , , , , ,T, , , , ,309001,Daniel Coffey Trail (hiking- private ownership),0.213,343.566906370099
749,309,2, ,0,0, ,0, ,0,ST,ST, ,OT, , , , , , , , , , ,T, , , , ,309002,Daniel Coffey Trail along road system,0.522,840.695900411872
750,309,3, ,0,0, ,0, ,0,ST,ST, ,OT, , , , , , , , , , ,T, , , , ,309003,trail intersection to road,0.207,333.158891336307
751,309,4, ,0,0, ,0, ,0,ST,ST, ,OT, , , , , , , , , , ,T, , , , ,309004,trail intersection to trail intersection,0.125,201.908704713654
752,309,5, ,0,0, ,0, ,0,ST,ST, ,OT, , , , , , , , , , ,T, , , , ,309005,Half Moon Pond Trail,0.449,722.806902872363
753,309,6, ,0,0, ,0, ,0,ST,ST, ,OT, , , , , , , , , , ,T, , , , ,309006,Half Moon Pond Trail,0.534,860.40010107078
754,309,7, ,0,0, ,0, ,0,ST,ST, ,OT, , , , , , , , , , ,T, , , , ,309007,Glen LAke Trail to road intersection,0.394,634.860753813191
755,309,8, ,0,0, ,0, ,0,ST,ST, ,OT, , , , , , , , , , ,T, , , , ,309008,Glen Lake Trail- Moscow road to Glen Lake,2.644,4257.06588229244
756,309,9, ,0,0, ,0, ,0,ST,ST, ,OT, , , , , , , , , , ,T, , , , ,309009,Glen Lake Trail along lake shore,0.838,1348.88819238877
757,309,10, ,0,0, ,0, ,0,ST,ST, ,OT, , , , , , , , , , ,T, , , , ,309010,Glen Lake Trail- uses road system,0.347,558.160910092253
758,309,11, ,0,0, ,0, ,0,ST,ST, ,OT, , , , , , , , , , ,T, , , , ,309011,Glen Lake Trail- to trail head,0.251,404.838294169457
759,309,12, ,0,0, ,0, ,0,ST,ST, ,OT, , , , , , , , , , ,T, , , , ,309012,Slate History Trail- through field,0.213,342.124529950647
760,309,13, ,0,0, ,0, ,0,ST,ST, ,OT, , , , , , , , , , ,T, , , , ,309013,Bomoseen Loop Trail (hiking) through field,0.113,182.1334351337
761,309,14, ,0,0, ,0, ,0,ST,ST, ,OT, , , , , , , , , , ,T, , , , ,309014,Bomoseen Loop Trail,1.418,2282.82087177516
762,308,1, ,0,0, ,0, ,0,ST,VA,ST,RR, , , , , , ,T, , , , , , , , ,308001,D&H Rail Trail -Rte. 4a to north road,0.668,1075.58996169406
763,308,2, ,0,0, ,0, ,0,ST,VA,ST,RR, , , , , , ,T, , , , , , , , ,308002,D&H Rail Trail- North Road to Town Road,1.347,2168.64843928335
764,308,3, ,0,0, ,0, ,0,ST,VA,ST,RR, , , , , , ,T, , , , , , , , ,308003,D&H Rail Trail- Town road to town road,1.336,2151.5964360387
765,308,4, ,0,0, ,0, ,0,ST,VA,ST,RR, , , , , , ,T, , , , , , , , ,308004,D&H Rail Trail- Town road to town road,0.348,560.27128572625
766,308,5, ,0,0, ,0, ,0,ST,VA,ST,RR, , , , , , ,T, , , , , , , , ,308005,D&H Rail Trail-town road to Route 30,0.913,1469.41463383835
767,308,6, ,0,0, ,0, ,0,ST,VA,ST,RR, , , , , , ,T, , , , , , , , ,308006,D&H Rail Trail- Route 30 to town road,0.868,1396.89381884785
768,308,7, ,0,0, ,0, ,0,ST,VA,ST,RR, , , , , , ,T, , , , , , , , ,308007,Town Road to Poultney village,1.816,2924.27075475608
769,308,8, ,0,0, ,0, ,0,ST,VA,ST,RR, , , , , , ,T, , , , , , , , ,308008,D&H Rail Trail- through Poultney Village,0.65,1047.22240494754
770,308,9, ,0,0, ,0, ,0,ST,VA,ST,RR, , , , , , ,T, , , , , , , , ,308009,D&H Rail Trail- Poultney Village to trail intersec,0.556,895.748574006104
771,308,10, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , ,T, , , , , , , , ,308010,Corridor- NY line to D&H Rail Trail,0.463,745.884244764251
772,308,11, ,0,0, ,0, ,0,ST,ST,VA,RR, , , , , , ,T, , , , , , , , ,308011,D&H Rail Trail- trail intersect to map edge,0.507,816.395076206775
773,308,12, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , ,T, , , , , , , , ,308012,Corridor trail- D&H to Route 30,0.153,246.60493742401
774,308,13, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , ,T, , , , , , , , ,308013,Corridor trail- Rt. 30 to Rt. 30,1.651,2658.85408749549
775,308,14, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , ,T, , , , , , , , ,308014,Corridor trail- Rt. 30 to Poultney river,1.946,3133.24015920726
776,308,15, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , ,T, , , , , , , , ,308015,Corridor Trail- Poultney River to Rt. 140,0.051,82.1995459200011
777,308,16, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , ,T, , , , , , , , ,308016,Corridor trail- Rt. 140 to Hampshire Hollow,0.819,1317.8647300562
778,308,17, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , ,T, , , , , , , , ,308017,trail segment west of Hampshire Hollow,0.686,1103.68139296178
779,308,18, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , ,T, , , , , , , , ,308018,trail east of Hampshire Hollow to feeder trail,0.654,1053.1231276465
780,308,19, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , ,T, , , , , , , , ,308019,from feeder trail north to end of jeep trail,1.588,2557.05215022387
781,308,20, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , ,T, , , , , , , , ,308020,from jeep trail to map edge,1.007,1620.48651033234
782,308,21, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , , , , ,T, , , , , ,308021,feeder trail east to Middletown Sprgs,2.0,3220.63627762315
783,308,22, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , , , , ,T, , , , , ,308022,road intersection to map edge,0.579,932.359557569375
784,409,1, ,0,0, ,0, ,0,MU,MU, ,OT, , , , , , , , , , , ,T, , , ,409001,Rocky Pond Trail-map edge to map edge,0.194,312.400682403665
785,409,2, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , ,T, , , , , , , , ,409002,Corridor 4 - map edge to proctor,2.364,3805.47728558569
786,409,3, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , ,T, , , , , , , , ,409003,Corridor 4- edge woods to RR tracks,0.213,342.937199156052
787,409,4, ,0,0, ,0, ,0,PV,VA, ,RR, , , , , , ,T, , , , , , , , ,409004,along tracks through Proctor Village,1.156,1861.26534383969
788,409,5, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , ,T, , , , , , , , ,409005,RR tracks to town road,0.027,44.0550603033627
789,409,6, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , ,T, , , , , , , , ,409006,segment between 2 town roads,0.79,1271.72528390859
790,409,7, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , ,T, , , , , , , , ,409007,along town road over covered bridge,0.155,249.097223218597
791,409,8, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , ,T, , , , , , , , ,409008,from bridge to intersection with road,1.028,1655.31531120245
792,409,9, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , ,T, , , , , , , , ,409009,along road to Route 3,0.118,190.693067458969
793,409,10, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , ,T, , , , , , , , ,409010,route 3 to Grove Street @ Corn Hill Road,0.899,1447.30125635435
794,409,11, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , ,T, , , , , , , , ,409011,Grove St. to map edge,0.509,819.102926484418
795,408,1, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , ,T, , , , , , , , ,408001,alternate corridor trail-map edge to feeder trail,2.118,3410.6626663246
796,408,2, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , ,T, , , , , , , , ,408002,trail intersection to end road,0.849,1367.65414585677
797,408,3, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , ,T, , , , , , , , ,408003,end road to intersection with old route 4,0.812,1307.44750975216
798,408,4, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , ,T, , , , , , , , ,408004,"old Rt. 4, along trolley line, to Whipple Hollow",1.997,3215.60779805993
799,408,5, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , ,T, , , , , , , , ,408005,"along swamp, north to town road",0.417,671.972922748081
800,408,6, ,0,0, ,0, ,0,MU,VA, ,TH, , , , , , ,T, , , , , , , , ,408006,along Town Road to Whipple Hollow - East,0.248,399.174035299462
801,408,7, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , ,T, , , , , , , , ,408007,across to Pleasant street,0.464,747.06276201687
802,408,8, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , ,T, , , , , , , , ,408008,Pleasant st. north to powerline,0.398,641.173236912691
803,408,9, ,0,0, ,0, ,0,UT,VA, ,UC, , , , , , ,T, , , , , , , , ,408009,along powerline,0.297,477.416919768449
804,408,10, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , ,T, , , , , , , , ,408010,"powerline, north to map edge",0.346,556.658901901033
805,408,12, ,0,0, ,0, ,0,MU,MU, ,OT, , , , , , , , , , , ,T, , , ,408012,Rocky Pond Trail-powerline to map edge,0.178,286.283130622774
806,408,13, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , , , , ,T, , , , , ,408013,map edge to road intersection,0.271,436.091108324762
807,408,14, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , , , , ,T, , , , , ,408014,along road/trail to road intersection,0.645,1037.68538784972
808,408,15, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , , , , ,T, , , , , ,408015,along road to intersection in Ira.,2.319,3733.62167519884
809,408,16, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , , , , ,T, , , , , ,408016,"along road, north to road intersection",2.438,3925.78142122297
810,408,17, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , , , , ,T, , , , , ,408017,"along road, NW to VAST corridor 4A",1.243,2001.5740608642
811,408,18, ,0,0, ,0, ,0,MU,MU, ,OT, , , , , , , , , , , ,T, , , ,408018,map edge to map edge,0.059,94.9170503685775
812,408,11, ,0,0, ,0, ,0,MU,MU, ,OT, , , , , , , , , , , ,T, , , ,408011,Rocky Pond Trail-powerline to map edge,0.368,591.719686853367
813,307,1, ,0,0, ,0, ,0,ST,ST, ,OT, , , , , , , , , , ,T, , , , ,307001,State Park hiking trail,0.145,233.52224226982
814,307,2, ,0,0, ,0, ,0,ST,ST, ,OT, , , , , , , , , , ,T, , , , ,307002,State Park hiking trail,0.487,783.372818149692
815,307,3, ,0,0, ,0, ,0,ST,ST, ,OT, , , , , , , , , , ,T, , , , ,307003,State Park hiking trail,0.196,315.279299659997
816,307,4, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , , , , ,T, , , , , ,307004,NY line to Route 31,0.28,451.242927253104
817,307,5, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , , , , ,T, , , , , ,307005,Route 31 to intersection with town road,1.346,2166.95606617716
818,307,6, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , , , , ,T, , , , , ,307006,town road to road crossing,1.681,2706.25241435084
819,307,7, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , , , , ,T, , , , , ,307007,"road crossing, south to Route 30",1.26,2029.07539078072
820,307,8, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , , , , ,T, , , , , ,307008,segment south of Route 30,0.68,1094.86995135536
821,307,9, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , , , , ,T, , , , , ,307009,"trail north of Route 30, west to trail intersect",0.471,758.454798281666
822,307,10, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , , , , ,T, , , , , ,307010,between road intersections,0.153,245.827130941307
823,307,11, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , , , , ,T, , , , , ,307011,south of quarries between road intersections,0.625,1006.96654621497
824,307,12, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , , , , ,T, , , , , ,307012,short segment between roads,0.211,339.898734887173
825,307,13, ,0,0, ,0, ,0,PV,VA, ,OT, , , , , , , , , ,T, , , , , ,307013,trail west to map edge,0.224,361.440479263374
826,306,1, ,0,0, ,0, ,0,ST,VA,ST,RR, , , , , , , , , ,T, , , , , ,306001,D&H Rail Trail-W. Pawlet to TH 22,1.375,2213.8987057885
827,306,2, ,0,0, ,0, ,0,ST,VA,ST,RR, , , , , , , , , ,T, , , , , ,306002,D&H Rail Trail- TH 22 to RT 153,0.221,355.919235819526
828,306,3, ,0,0, ,0, ,0,ST,VA,ST,RR, , , , , , , , , ,T, , , , , ,306003,D&H Rail Trail- RT 153 to RT 153,1.301,2094.84873998435
829,306,4, ,0,0, ,0, ,0,ST,VA,ST,RR, , , , , , , , , ,T, , , , , ,306004,D&H Rail Trail- RT 153 to TH,0.355,571.089972216335
830,306,5, ,0,0, ,0, ,0,ST,VA,ST,RR, , , , , , , , , ,T, , , , , ,306005,D&H Rail Trail- TH to TH,0.781,1258.19348300253
831,306,6, ,0,0, ,0, ,0,ST,VA,ST,RR, , , , , , , , , ,T, , , , , ,306006,D&H Rail Trail- TH to TH,2.677,4310.5042406428
832,306,7, ,0,0, ,0, ,0,ST,VA,ST,RR, , , , , , , , , ,T, , , , , ,306007,D&H Rail Trail- TH to map edge,0.216,347.957851417192
833,306,8, ,0,0, ,0, ,0,PC,PV, ,PR, , , , , , , , , , , ,T, , , ,306008,map edge to intersect of road to the east,0.251,403.762167811514
834,306,9, ,0,0, ,0, ,0,PC,PV, ,PR, , , , , , , , , , , ,T, , , ,306009,trail intersection to Kouwenhoven trail intersect,0.183,294.474781325653
835,306,10, ,0,0, ,0, ,0,PC,PV, ,PR, , , , , , , , , , , ,T, , , ,306010,from Kouwenhoven trail to Schenk Road,0.24,386.829502820439
836,306,11, ,0,0, ,0, ,0,PC,PV, ,PR, , , , , , , , , , , ,T, , , ,306011,segment between intersections,0.417,672.064602170207
837,306,12, ,0,0, ,0, ,0,PC,PV, ,PR, , , , , , , , , , , ,T, , , ,306012,along field to intersect w/ Antone Road west,0.262,422.354536793498
838,306,13, ,0,0, ,0, ,0,PC,PV, ,PR, , , , , , , , , , , ,T, , , ,306013,"old TH/TR to barn and work road, east",0.338,543.727684475912
839,306,14, ,0,0, ,0, ,0,PC,PV, ,PR, , , , , , , , , , , ,T, , , ,306014,old TH to trail east across meadow,0.225,361.793963337219
840,306,15, ,0,0, ,0, ,0,PC,PV, ,PR, , , , , , , , , , , ,T, , , ,306015,segment between trail intersections,0.029,47.2199639409189
841,306,16, ,0,0, ,0, ,0,PC,PV, ,PR, , , , , , , , , , , ,T, , , ,306016,to property line and end of road as trail,0.229,368.462983753308
842,306,17, ,0,0, ,0, ,0,PC,PV, ,PR, , , , , , , , , , , ,T, , , ,306017,nature trail 1/2 loop & spur south of old rd/tr,0.217,349.148344523052
843,306,18, ,0,0, ,0, ,0,PC,PV, ,PR, , , , , , , , , , , ,T, , , ,306018,Masters Mtn trail- map edge to Beebe Pond trail,0.062,99.2867132715755
844,306,19, ,0,0, ,0, ,0,PC,PV, ,PR, , , , , , , , , , , ,T, , , ,306019,Masters Mtn trail- Beebe Pond trail to Antone Road,0.142,228.452027000902
845,306,20, ,0,0, ,0, ,0,PC,PV, ,PR, , , , , , , , , , , ,T, , , ,306020,end of Antone Rd trail to top of Mtn to intersect,0.226,363.574998263729
846,306,21, ,0,0, ,0, ,0,PC,PV, ,PR, , , , , , , , , , , ,T, , , ,306021,Antone Rd trail to Lookout Rd trail,0.178,285.901666310534
847,306,22, ,0,0, ,0, ,0,PC,PV, ,PR, , , , , , , , , , , ,T, , , ,306022,Antone Rd trail to Buechen Rd Trail,0.024,38.5434134113285
848,306,23, ,0,0, ,0, ,0,PC,PV, ,OT, , , , , , , , , , , ,T, , , ,306023,Antone Rd side trail - not on road,0.369,593.481012996712
849,306,24, ,0,0, ,0, ,0,PC,PV, ,PR, , , , , , , , , , , ,T, , , ,306024,Antone Rd trail to Schenk Rd trail,0.493,794.157692608729
850,306,25, ,0,0, ,0, ,0,PC,PV, ,PR, , , , , , , , , , , ,T, , , ,306025,Antone Rd trail to Old Town Road trail,0.599,964.063169094501
851,306,26, ,0,0, ,0, ,0,PC,PV, ,PR, , , , , , , , , , , ,T, , , ,306026,Lookout Rd trail- map edge to Beebe Pond trail,0.099,160.10941276355
