Year,Renewal Due Month,Renewal Processing Timeframe,County,SAWS,Eligibility Financial Method,Renewals Due ,Renewals Completed,Renewals Completed by Due Date,Continued Medi-Cal Eligibility, Auto Ex-Parte, Manual Ex-Parte,Discontinued - Failure to Respond,Discontinued - Over Income (MAGI) / Over property (Non-MAGI),Discontinued - Other Reasons,Reinstated,Annotation Code,Annotation Code Description
2018,2018-01,January 2018 - April 2018,Fresno,CalWIN,NON-MAGI,"2,007","1,883","1,587","1,521",0,77,164,5,185,168,,
2018,2018-01,January 2018 - April 2018,Orange,CalWIN,NON-MAGI,"5,476","5,096","2,654","3,786",0,,651,,691,588,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Placer,CalWIN,NON-MAGI,604,565,361,433,0,8,83,,44,56,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Sacramento,CalWIN,NON-MAGI,"3,132","3,033","1,906","2,032",0,7,494,11,442,439,,
2018,2018-01,January 2018 - April 2018,San Diego ,CalWIN,NON-MAGI,"4,776","4,612","2,719","3,330",0,17,525,14,665,536,,
2018,2018-01,January 2018 - April 2018,San Francisco,CalWIN,NON-MAGI,"2,073","2,055","1,596","1,537",0,7,214,,280,270,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,San Luis Obispo,CalWIN,NON-MAGI,387,350,205,264,0,0,48,0,39,48,,
2018,2018-01,January 2018 - April 2018,San Mateo,CalWIN,NON-MAGI,"1,779","1,667",744,"1,333",0,,158,,179,129,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Santa Barbara,CalWIN,NON-MAGI,713,560,339,382,0,,106,0,75,60,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Santa Clara,CalWIN,NON-MAGI,"3,418","3,406","2,713","2,611",0,11,360,9,407,372,,
2018,2018-01,January 2018 - April 2018,Santa Cruz,CalWIN,NON-MAGI,444,295,193,183,0,,88,,27,52,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Solano,CalWIN,NON-MAGI,823,701,435,499,0,,134,,71,86,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Sonoma,CalWIN,NON-MAGI,723,490,226,362,0,6,56,,83,43,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Tulare,CalWIN,NON-MAGI,"1,332","1,305","1,007","1,026",0,,122,,150,119,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Ventura,CalWIN,NON-MAGI,"1,400","1,373",726,"1,045",0,,185,,137,121,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Yolo,CalWIN,NON-MAGI,364,328,186,220,0,,46,,54,50,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Alpine,C-IV,NON-MAGI,,0,0,0,0,0,0,0,0,0,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Alpine,C-IV,MAGI,12,8,6,6,,5,0,0,,,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Amador,C-IV,MAGI,548,532,512,502,296,92,17,0,13,0,,
2018,2018-01,January 2018 - April 2018,Butte,C-IV,MAGI,"5,479","4,740","4,132","4,500","2,815",683,152,0,88,18,,
2018,2018-01,January 2018 - April 2018,Calaveras,C-IV,MAGI,873,804,706,770,440,131,15,0,19,5,,
2018,2018-01,January 2018 - April 2018,Colusa,C-IV,MAGI,526,341,298,339,259,84,0,0,,0,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Del Norte,C-IV,MAGI,584,534,449,503,292,105,18,0,13,5,,
2018,2018-01,January 2018 - April 2018,El Dorado,C-IV,MAGI,"2,784","2,435","2,161","2,313","1,355",371,76,0,46,,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Glenn,C-IV,MAGI,892,834,738,813,220,139,13,0,8,,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Humboldt,C-IV,MAGI,"3,842","3,233","3,084","3,170","1,416",367,5,0,58,10,,
2018,2018-01,January 2018 - April 2018,Imperial,C-IV,MAGI,"5,939","5,827","5,385","5,368","2,478",437,336,0,123,32,,
2018,2018-01,January 2018 - April 2018,Inyo,C-IV,MAGI,407,284,248,262,170,79,18,0,,0,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Kern,C-IV,MAGI,"28,208","22,656","20,050","22,304","13,972","4,587",63,0,289,91,,
2018,2018-01,January 2018 - April 2018,Kings,C-IV,MAGI,"3,291","3,210","2,979","3,017","1,403",754,125,0,68,19,,
2018,2018-01,January 2018 - April 2018,Lake,C-IV,MAGI,"1,786","1,444","1,175","1,426",886,280,,0,16,,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Lassen,C-IV,MAGI,293,262,222,213,137,40,41,0,8,,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Madera,C-IV,MAGI,"4,802","4,632","3,878","4,340","2,090",898,172,0,120,19,,
2018,2018-01,January 2018 - April 2018,Marin,C-IV,MAGI,"2,694","2,436","2,094","2,293","1,093",492,75,0,68,6,,
2018,2018-01,January 2018 - April 2018,Mariposa,C-IV,MAGI,299,274,230,272,169,42,0,0,,0,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Mendocino,C-IV,MAGI,"2,220","1,663","1,444","1,649","1,282",288,,0,13,,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Merced,C-IV,MAGI,"9,988","8,888","7,976","8,435","3,826","1,516",185,0,268,49,,
2018,2018-01,January 2018 - April 2018,Modoc,C-IV,MAGI,160,152,140,140,97,24,6,0,6,0,,
2018,2018-01,January 2018 - April 2018,Mono,C-IV,MAGI,252,222,185,181,105,42,32,0,9,,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Monterey,C-IV,MAGI,"14,781","13,000","11,275","12,888","3,648","1,796",,0,109,51,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Napa,C-IV,MAGI,"2,260","1,854","1,598","1,750","1,004",277,70,0,34,7,,
2018,2018-01,January 2018 - April 2018,Nevada,C-IV,MAGI,"1,591","1,254","1,106","1,215",917,223,,0,37,,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Plumas,C-IV,MAGI,400,333,301,321,268,51,,0,10,0,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Riverside,C-IV,MAGI,"57,939","56,937","53,080","51,004","28,282","5,450","3,810",,"2,120",341,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,San Benito,C-IV,MAGI,"1,427","1,250","1,059","1,227",708,296,5,0,18,,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,San Bernardino,C-IV,MAGI,"59,722","50,225","44,760","48,156","31,136","7,846","1,428",0,641,167,,
2018,2018-01,January 2018 - April 2018,San Joaquin,C-IV,MAGI,"20,527","20,412","18,787","17,934","9,951","3,063","1,536",0,942,139,,
2018,2018-01,January 2018 - April 2018,Shasta,C-IV,MAGI,"3,886","3,766","3,505","3,415","1,824",361,286,0,65,14,,
2018,2018-01,January 2018 - April 2018,Sierra,C-IV,MAGI,52,49,47,48,18,6,0,0,,0,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Siskiyou,C-IV,MAGI,930,757,665,740,540,130,,0,16,7,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Stanislaus,C-IV,MAGI,"19,571","16,367","14,376","15,973","9,481","3,305",97,0,297,55,,
2018,2018-01,January 2018 - April 2018,Sutter,C-IV,MAGI,"2,888","2,677","2,241","2,638","1,066",317,11,0,28,10,,
2018,2018-01,January 2018 - April 2018,Tehama,C-IV,MAGI,"2,138","1,922","1,771","1,880",592,192,,0,38,19,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Trinity,C-IV,MAGI,332,315,303,287,153,19,18,0,10,,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Tuolumne,C-IV,MAGI,856,800,741,709,455,99,51,0,40,6,,
2018,2018-01,January 2018 - April 2018,Yuba,C-IV,MAGI,"1,923","1,727","1,465","1,657",891,212,35,0,35,5,,
2018,2018-01,January 2018 - April 2018,Amador,C-IV,NON-MAGI,74,74,62,71,0,24,,0,,0,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Butte,C-IV,NON-MAGI,704,537,315,502,0,106,22,0,13,5,,
2018,2018-01,January 2018 - April 2018,Calaveras,C-IV,NON-MAGI,112,97,66,91,0,17,,0,,0,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Colusa,C-IV,NON-MAGI,43,18,13,17,0,11,0,0,,0,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Del Norte,C-IV,NON-MAGI,79,74,56,68,0,11,,0,,0,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,El Dorado,C-IV,NON-MAGI,257,203,125,192,0,34,,0,10,,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Glenn,C-IV,NON-MAGI,121,111,91,104,0,15,,0,5,,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Humboldt,C-IV,NON-MAGI,387,305,236,289,0,30,,0,13,5,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Imperial,C-IV,NON-MAGI,743,718,557,633,0,97,58,0,27,,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Inyo,C-IV,NON-MAGI,54,33,15,30,0,5,,0,,,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Kern,C-IV,NON-MAGI,"1,792","1,279",924,"1,262",0,389,,0,15,,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Kings,C-IV,NON-MAGI,275,268,217,237,0,43,16,0,15,9,,
2018,2018-01,January 2018 - April 2018,Lake,C-IV,NON-MAGI,247,165,87,163,0,46,0,0,,0,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Lassen,C-IV,NON-MAGI,48,39,21,29,0,,9,0,,,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Madera,C-IV,NON-MAGI,254,229,159,197,0,39,28,0,,,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Marin,C-IV,NON-MAGI,241,210,148,195,0,42,8,0,7,,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Mariposa,C-IV,NON-MAGI,35,34,16,33,0,6,0,0,,0,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Mendocino,C-IV,NON-MAGI,218,128,71,125,0,62,0,0,,0,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Merced,C-IV,NON-MAGI,648,504,311,464,0,121,26,0,14,,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Modoc,C-IV,NON-MAGI,16,13,8,11,0,,,0,,0,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Mono,C-IV,NON-MAGI,21,20,14,19,0,11,0,0,,0,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Monterey,C-IV,NON-MAGI,991,778,389,764,0,149,0,0,14,,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Napa,C-IV,NON-MAGI,266,198,153,186,0,63,,0,10,,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Nevada,C-IV,NON-MAGI,171,132,85,130,0,23,0,0,,0,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Plumas,C-IV,NON-MAGI,34,25,20,23,0,11,0,0,,0,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Riverside,C-IV,NON-MAGI,"4,190","3,971","3,326","3,312",0,514,411,0,248,47,,
2018,2018-01,January 2018 - April 2018,San Benito,C-IV,NON-MAGI,130,97,58,91,0,24,0,0,6,,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,San Bernardino,C-IV,NON-MAGI,"5,348","3,869","2,395","3,550",0,732,167,0,152,33,,
2018,2018-01,January 2018 - April 2018,San Joaquin,C-IV,NON-MAGI,"1,677","1,645","1,345","1,384",0,181,179,0,82,10,,
2018,2018-01,January 2018 - April 2018,Shasta,C-IV,NON-MAGI,401,355,239,291,0,47,44,0,20,,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Sierra,C-IV,NON-MAGI,9,9,8,9,0,,0,0,0,0,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Siskiyou,C-IV,NON-MAGI,68,53,36,51,0,19,,0,,0,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Stanislaus,C-IV,NON-MAGI,"1,524","1,255",977,"1,185",0,390,32,0,38,,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Sutter,C-IV,NON-MAGI,361,318,164,316,0,81,0,0,,0,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Tehama,C-IV,NON-MAGI,194,147,66,143,0,35,,0,,0,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Trinity,C-IV,NON-MAGI,34,34,24,32,0,,0,0,,0,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Tuolumne,C-IV,NON-MAGI,138,112,70,96,0,20,11,0,5,,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Yuba,C-IV,NON-MAGI,213,166,96,156,0,32,,0,9,,1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Los Angeles,LRS,MAGI,"190,198","183,323","160,766","147,371","98,233",0,"29,793",,"6,158","8,752",1.0,Cell Suppressed For Small Numbers
2018,2018-01,January 2018 - April 2018,Los Angeles,LRS,NON-MAGI,"23,584","21,045","15,995","13,593",0,0,"5,690",0,"1,762","2,086",,
2018,2018-02,February 2018 - May 2018,Alameda,CalWIN,MAGI,"28,780","24,347","17,961","16,807","8,617",17,"6,313",672,420,"2,538",,
2018,2018-02,February 2018 - May 2018,Contra Costa,CalWIN,MAGI,"17,191","15,229","11,364","12,188","5,926",30,"2,277",185,758,982,,
2018,2018-02,February 2018 - May 2018,Fresno,CalWIN,MAGI,"38,064","37,842","34,397","32,843","13,497",193,"1,041",392,"3,035","2,071",,
2018,2018-02,February 2018 - May 2018,Orange,CalWIN,MAGI,"59,961","57,193","43,541","46,412","22,900",187,"6,785",596,"2,953","4,283",,
2018,2018-02,February 2018 - May 2018,Placer,CalWIN,MAGI,"3,941","3,676","3,260","2,960","1,426",86,435,38,239,284,,
2018,2018-02,February 2018 - May 2018,Sacramento,CalWIN,MAGI,"32,653","31,751","25,481","23,476","14,257",28,"5,181",719,"1,555","2,834",,
2018,2018-02,February 2018 - May 2018,San Diego ,CalWIN,MAGI,"62,221","61,372","50,642","50,071","20,644",192,"6,476",797,"2,530","3,207",,
2018,2018-02,February 2018 - May 2018,San Francisco,CalWIN,MAGI,"15,236","15,143","13,526","12,207","7,088",28,"1,801",267,632,"1,082",,
2018,2018-02,February 2018 - May 2018,San Luis Obispo,CalWIN,MAGI,"4,142","3,960","3,139","3,134","1,444",41,521,51,230,353,,
2018,2018-02,February 2018 - May 2018,San Mateo,CalWIN,MAGI,"12,547","12,152","10,129","10,242","3,093",107,"1,059",100,597,716,,
2018,2018-02,February 2018 - May 2018,Santa Barbara,CalWIN,MAGI,"11,119","9,732","8,270","8,295","2,566",61,"1,049",77,306,568,,
2018,2018-02,February 2018 - May 2018,Santa Clara,CalWIN,MAGI,"30,493","30,403","26,752","24,814","10,707",124,"3,352",525,"1,381","1,955",,
2018,2018-02,February 2018 - May 2018,Santa Cruz,CalWIN,MAGI,"6,006","5,603","4,967","4,627","1,631",57,754,87,134,393,,
2018,2018-02,February 2018 - May 2018,Solano,CalWIN,MAGI,"7,961","7,693","6,242","6,163","2,966",33,"1,007",92,344,541,,
2018,2018-02,February 2018 - May 2018,Sonoma,CalWIN,MAGI,"9,165","7,988","6,633","6,470","2,814",61,"1,008",76,372,436,,
2018,2018-02,February 2018 - May 2018,Tulare,CalWIN,MAGI,"19,065","18,898","16,898","16,556","4,917",68,"1,288",230,582,"1,022",,
2018,2018-02,February 2018 - May 2018,Ventura,CalWIN,MAGI,"21,446","21,294","17,350","18,259","5,726",62,"1,690",179,854,974,,
2018,2018-02,February 2018 - May 2018,Yolo,CalWIN,MAGI,"4,710","4,612","3,674","3,438","1,252",10,743,46,303,707,,
2018,2018-02,February 2018 - May 2018,Alameda,CalWIN,NON-MAGI,"5,258","3,815","2,304","2,048",0,10,"1,516",9,322,664,,
2018,2018-02,February 2018 - May 2018,Contra Costa,CalWIN,NON-MAGI,"2,121","1,641",726,"1,138",0,,307,0,258,147,1.0,Cell Suppressed For Small Numbers
2018,2018-02,February 2018 - May 2018,Fresno,CalWIN,NON-MAGI,"2,312","2,180","1,722","1,751",0,59,190,,257,235,1.0,Cell Suppressed For Small Numbers
2018,2018-02,February 2018 - May 2018,Orange,CalWIN,NON-MAGI,"5,953","5,549","2,607","4,071",0,11,696,,802,680,1.0,Cell Suppressed For Small Numbers
2018,2018-02,February 2018 - May 2018,Placer,CalWIN,NON-MAGI,582,504,407,374,0,,79,0,53,64,1.0,Cell Suppressed For Small Numbers
2018,2018-02,February 2018 - May 2018,Sacramento,CalWIN,NON-MAGI,"3,450","3,309","2,000","2,050",0,5,645,22,525,500,1.0,Cell Suppressed For Small Numbers
2018,2018-02,February 2018 - May 2018,San Diego ,CalWIN,NON-MAGI,"5,359","5,224","2,872","3,648",0,13,664,18,790,684,,
2018,2018-02,February 2018 - May 2018,San Francisco,CalWIN,NON-MAGI,"2,166","2,133","1,655","1,602",0,13,195,,308,260,1.0,Cell Suppressed For Small Numbers
2018,2018-02,February 2018 - May 2018,San Luis Obispo,CalWIN,NON-MAGI,400,374,220,279,0,,53,,41,45,1.0,Cell Suppressed For Small Numbers
2018,2018-02,February 2018 - May 2018,San Mateo,CalWIN,NON-MAGI,"1,635","1,298",700,"1,090",0,6,220,0,170,149,,
2018,2018-02,February 2018 - May 2018,Santa Barbara,CalWIN,NON-MAGI,833,610,366,437,0,,83,,106,76,1.0,Cell Suppressed For Small Numbers
2018,2018-02,February 2018 - May 2018,Santa Clara,CalWIN,NON-MAGI,"3,907","3,892","3,038","2,949",0,14,389,12,524,425,,
2018,2018-02,February 2018 - May 2018,Santa Cruz,CalWIN,NON-MAGI,553,418,287,287,0,,100,,50,61,1.0,Cell Suppressed For Small Numbers
2018,2018-02,February 2018 - May 2018,Solano,CalWIN,NON-MAGI,828,696,400,478,0,,139,,91,94,1.0,Cell Suppressed For Small Numbers
2018,2018-02,February 2018 - May 2018,Sonoma,CalWIN,NON-MAGI,734,531,282,363,0,6,79,,69,60,1.0,Cell Suppressed For Small Numbers
2018,2018-02,February 2018 - May 2018,Tulare,CalWIN,NON-MAGI,"1,593","1,561","1,134","1,200",0,6,148,,189,185,1.0,Cell Suppressed For Small Numbers
2018,2018-02,February 2018 - May 2018,Ventura,CalWIN,NON-MAGI,"1,549","1,511",785,"1,141",0,7,228,,131,140,1.0,Cell Suppressed For Small Numbers
2018,2018-02,February 2018 - May 2018,Yolo,CalWIN,NON-MAGI,448,412,253,292,0,,66,,64,68,1.0,Cell Suppressed For Small Numbers
2018,2018-02,February 2018 - May 2018,Alpine,C-IV,NON-MAGI,,,,,0,0,0,0,0,0,1.0,Cell Suppressed For Small Numbers
2018,2018-02,February 2018 - May 2018,Alpine,C-IV,MAGI,16,16,12,16,,,0,0,0,0,1.0,Cell Suppressed For Small Numbers
2018,2018-02,February 2018 - May 2018,Amador,C-IV,MAGI,518,496,468,459,257,109,17,0,20,,1.0,Cell Suppressed For Small Numbers
2018,2018-02,February 2018 - May 2018,Butte,C-IV,MAGI,"5,027","4,333","3,793","4,074","2,448",604,167,0,92,15,,
2018,2018-02,February 2018 - May 2018,Calaveras,C-IV,MAGI,738,685,653,635,438,68,31,0,19,,1.0,Cell Suppressed For Small Numbers
2018,2018-02,February 2018 - May 2018,Colusa,C-IV,MAGI,491,320,276,315,209,64,0,0,5,0,,
2018,2018-02,February 2018 - May 2018,Del Norte,C-IV,MAGI,605,541,460,513,263,100,19,0,9,0,,
2018,2018-02,February 2018 - May 2018,El Dorado,C-IV,MAGI,"2,657","2,385","2,066","2,204","1,451",295,93,0,88,15,,
2018,2018-02,February 2018 - May 2018,Glenn,C-IV,MAGI,"1,044",976,853,923,260,149,13,0,40,9,,
2018,2018-02,February 2018 - May 2018,Humboldt,C-IV,MAGI,"4,005","3,387","3,199","3,325","1,305",324,,0,60,15,1.0,Cell Suppressed For Small Numbers
2018,2018-02,February 2018 - May 2018,Imperial,C-IV,MAGI,"6,507","6,407","5,769","5,900","2,543",596,335,0,172,18,,
2018,2018-02,February 2018 - May 2018,Inyo,C-IV,MAGI,350,248,211,226,139,73,8,0,14,,1.0,Cell Suppressed For Small Numbers
2018,2018-02,February 2018 - May 2018,Kern,C-IV,MAGI,"29,326","24,136","21,468","23,437","13,944","4,663",196,0,503,104,,
2018,2018-02,February 2018 - May 2018,Kings,C-IV,MAGI,"4,545","4,455","4,148","4,162","2,052",949,120,0,173,41,,
2018,2018-02,February 2018 - May 2018,Lake,C-IV,MAGI,"1,854","1,447","1,221","1,426",844,245,,0,18,,1.0,Cell Suppressed For Small Numbers
2018,2018-02,February 2018 - May 2018,Lassen,C-IV,MAGI,378,279,220,242,181,49,31,0,6,,1.0,Cell Suppressed For Small Numbers
2018,2018-02,February 2018 - May 2018,Madera,C-IV,MAGI,"5,253","5,141","4,400","4,752","2,281",976,192,0,197,36,,
2018,2018-02,February 2018 - May 2018,Marin,C-IV,MAGI,"2,942","2,632","2,196","2,475","1,228",572,95,0,62,9,,
2018,2018-02,February 2018 - May 2018,Mariposa,C-IV,MAGI,298,277,257,240,135,34,21,0,16,0,,
2018,2018-02,February 2018 - May 2018,Mendocino,C-IV,MAGI,"2,122","1,577","1,304","1,553","1,204",239,0,0,24,9,,
2018,2018-02,February 2018 - May 2018,Merced,C-IV,MAGI,"10,324","8,742","7,609","8,291","4,021","1,668",187,0,264,45,,
2018,2018-02,February 2018 - May 2018,Modoc,C-IV,MAGI,210,200,181,188,88,40,,0,11,,1.0,Cell Suppressed For Small Numbers
2018,2018-02,February 2018 - May 2018,Mono,C-IV,MAGI,275,250,213,204,114,41,33,0,13,,1.0,Cell Suppressed For Small Numbers
2018,2018-02,February 2018 - May 2018,Monterey,C-IV,MAGI,"14,226","12,227","10,794","12,077","3,679","1,922",,0,149,36,1.0,Cell Suppressed For Small Numbers
2018,2018-02,February 2018 - May 2018,Napa,C-IV,MAGI,"2,275","1,818","1,536","1,693",934,230,83,0,42,,1.0,Cell Suppressed For Small Numbers
2018,2018-02,February 2018 - May 2018,Nevada,C-IV,MAGI,"1,484","1,102",980,"1,073",857,139,0,0,29,7,,
2018,2018-02,February 2018 - May 2018,Plumas,C-IV,MAGI,316,262,226,253,163,62,,0,6,0,1.0,Cell Suppressed For Small Numbers
2018,2018-02,February 2018 - May 2018,Riverside,C-IV,MAGI,"60,485","59,006","54,469","53,388","28,304","6,661","3,669",0,"1,949",382,,
2018,2018-02,February 2018 - May 2018,San Benito,C-IV,MAGI,"1,253","1,069",903,"1,043",607,274,0,0,26,7,,
2018,2018-02,February 2018 - May 2018,San Bernardino,C-IV,MAGI,"64,673","55,184","48,490","51,972","33,138","7,732","2,173",,"1,038",214,1.0,Cell Suppressed For Small Numbers
2018,2018-02,February 2018 - May 2018,San Joaquin,C-IV,MAGI,"21,464","21,350","19,513","18,568","10,203","3,316","1,746",0,"1,036",159,,
2018,2018-02,February 2018 - May 2018,Shasta,C-IV,MAGI,"3,924","3,712","3,370","3,451","1,629",367,198,0,63,6,,
