"**Please note** 2021 data in columns H, K, R, and U are populated with 2020 data until current data is released.  ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
File Name,File Version,Update Date,Region Code,State Code,Date Type,Date,Population age 18-64*,SSA Disability Beneficiaries  age 18-64*,Percent of Adult Population Receiving SSA Adult Disability Benefits,Eligible Adult Population*,Adult Receipts,Eligible Adult Population Filing Rate,Favorable Adult Determinations,Eligible Adult Population Allowance Rate,All Adult Determinations,Adult Favorable  Determination Rate,Population under age 18*,SSI Disabled Child (DC) Beneficiaries*,Percent of Population under age 18 Receiving SSI DC Benefits,Eligible Child Population*,SSI Disabled Child (DC) Receipts,Eligible Child Population Filing Rate,Favorable SSI Child (DC) Determinations,Eligible Child Population Allowance Rate,All SSI Disabled Child Determinations,SSI Disabled Child Allowance Rate,All Determinations,All Favorable Determinations,Favorable Determination Rate
SSA-SA-FYWL.csv,2,3/13/2023,ATL,GA ,FY,2001,5386624,264615,4.91,5122009,60785,1.19,19072,0.37,60585,31.48,2228686,28672,1.29,2200014,12649,0.57,4854,0.22,12527,38.75,73112,23926,32.73
SSA-SA-FYWL.csv,2,3/13/2023,SFO,HI ,FY,2001,763477,25573,3.35,737904,6564,0.89,3014,0.41,5808,51.89,290557,1284,0.44,289273,666,0.23,421,0.15,634,66.40,6442,3435,53.32
SSA-SA-FYWL.csv,2,3/13/2023,KCM,IA ,FY,2001,1767592,75024,4.24,1692568,15799,0.93,6234,0.37,14745,42.28,726446,5671,0.78,720775,2414,0.33,997,0.14,2266,44.00,17011,7231,42.51
SSA-SA-FYWL.csv,2,3/13/2023,SEA,ID ,FY,2001,799559,32828,4.11,766731,7998,1.04,2683,0.35,6840,39.23,372094,3208,0.86,368886,1211,0.33,556,0.15,1062,52.35,7902,3239,40.99
SSA-SA-FYWL.csv,2,3/13/2023,CHI,IL ,FY,2001,7764992,338361,4.36,7426631,69221,0.93,26483,0.36,66664,39.73,3242537,39007,1.20,3203530,16713,0.52,6881,0.21,16541,41.60,83205,33364,40.10
SSA-SA-FYWL.csv,2,3/13/2023,CHI,IN ,FY,2001,3791503,172447,4.55,3619056,37808,1.04,11441,0.32,33536,34.12,1576279,17195,1.09,1559084,7274,0.47,2747,0.18,6471,42.45,40007,14188,35.46
SSA-SA-FYWL.csv,2,3/13/2023,KCM,KS ,FY,2001,1636843,65398,4.00,1571445,15912,1.01,5100,0.32,15362,33.20,709149,6160,0.87,702989,2891,0.41,1203,0.17,2777,43.32,18139,6303,34.75
SSA-SA-FYWL.csv,2,3/13/2023,ATL,KY ,FY,2001,2566411,235803,9.19,2330608,43560,1.87,12620,0.54,42450,29.73,992758,23567,2.37,969191,8347,0.86,3769,0.39,8054,46.80,50504,16389,32.45
SSA-SA-FYWL.csv,2,3/13/2023,DAL,LA ,FY,2001,2741824,186128,6.79,2555696,38844,1.52,13837,0.54,39056,35.43,1200237,27591,2.30,1172646,13451,1.15,4185,0.36,13608,30.75,52664,18022,34.22
SSA-SA-FYWL.csv,2,3/13/2023,BOS,MA ,FY,2001,4042734,216137,5.35,3826597,38787,1.01,16889,0.44,37687,44.81,1504624,15677,1.04,1488947,5847,0.39,2891,0.19,5887,49.11,43574,19780,45.39
SSA-SA-FYWL.csv,2,3/13/2023,PHL,MD ,FY,2001,3401308,123248,3.62,3278060,28732,0.88,10544,0.32,27325,38.59,1364487,13739,1.01,1350748,5021,0.37,2251,0.17,4829,46.61,32154,12795,39.79
SSA-SA-FYWL.csv,2,3/13/2023,BOS,ME ,FY,2001,800822,54557,6.81,746265,9281,1.24,3705,0.50,8908,41.59,298770,3004,1.01,295766,1071,0.36,508,0.17,1057,48.06,9965,4213,42.28
SSA-SA-FYWL.csv,2,3/13/2023,CHI,MI ,FY,2001,6188438,330063,5.33,5858375,68762,1.17,27284,0.47,65832,41.44,2588979,33731,1.30,2555248,14766,0.58,5079,0.20,14228,35.70,80060,32363,40.42
SSA-SA-FYWL.csv,2,3/13/2023,CHI,MN ,FY,2001,3095463,111626,3.61,2983837,21382,0.72,10220,0.34,20606,49.60,1287667,8726,0.68,1278941,3261,0.25,1809,0.14,3166,57.14,23772,12029,50.60
SSA-SA-FYWL.csv,2,3/13/2023,KCM,MO ,FY,2001,3457792,196535,5.68,3261257,45245,1.39,17061,0.52,43864,38.90,1426162,16921,1.19,1409241,7623,0.54,2911,0.21,7590,38.35,51454,19972,38.82
SSA-SA-FYWL.csv,2,3/13/2023,ATL,MS ,FY,2001,1738726,151679,8.72,1587047,35516,2.24,9741,0.61,33224,29.32,769238,19606,2.55,749632,10551,1.41,3228,0.43,9952,32.44,43176,12969,30.04
SSA-SA-FYWL.csv,2,3/13/2023,DEN,MT ,FY,2001,556783,26269,4.72,530514,5695,1.07,1746,0.33,5420,32.21,226597,1860,0.82,224737,740,0.33,340,0.15,683,49.78,6103,2086,34.18
SSA-SA-FYWL.csv,2,3/13/2023,ATL,NC ,FY,2001,5213767,294955,5.66,4918812,66094,1.34,21261,0.43,63022,33.74,2000053,30392,1.52,1969661,12407,0.63,4729,0.24,12008,39.38,75030,25990,34.64
SSA-SA-FYWL.csv,2,3/13/2023,DEN,ND ,FY,2001,386719,14208,3.67,372511,3092,0.83,986,0.26,2807,35.13,155394,922,0.59,154472,456,0.30,183,0.12,416,43.99,3223,1169,36.27
SSA-SA-FYWL.csv,2,3/13/2023,KCM,NE ,FY,2001,1038351,39424,3.80,998927,9831,0.98,3473,0.35,9494,36.58,447131,3337,0.75,443794,1483,0.33,583,0.13,1521,38.33,11015,4056,36.82
SSA-SA-FYWL.csv,2,3/13/2023,BOS,NH ,FY,2001,795106,32268,4.06,762838,5791,0.76,3358,0.44,5071,66.22,311347,1640,0.53,309707,544,0.18,299,0.10,508,58.86,5579,3657,65.55
SSA-SA-FYWL.csv,2,3/13/2023,NYC,NJ ,FY,2001,5280746,205082,3.88,5075664,46852,0.92,17053,0.34,35934,47.46,2093834,20212,0.97,2073622,8378,0.40,3058,0.15,6337,48.26,42271,20111,47.58
SSA-SA-FYWL.csv,2,3/13/2023,DAL,NM ,FY,2001,1110798,57209,5.15,1053589,12520,1.19,4220,0.40,10656,39.60,500918,5649,1.13,495269,2034,0.41,906,0.18,1913,47.36,12569,5126,40.78
SSA-SA-FYWL.csv,2,3/13/2023,SFO,NV ,FY,2001,1326893,47655,3.59,1279238,11150,0.87,5508,0.43,9829,56.04,535922,4310,0.80,531612,1581,0.30,884,0.17,1395,63.37,11224,6392,56.95
SSA-SA-FYWL.csv,2,3/13/2023,NYC,NY ,FY,2001,11962032,658050,5.50,11303982,130112,1.15,52417,0.46,120037,43.67,4661431,66822,1.43,4594609,24657,0.54,9260,0.20,23740,39.01,143777,61677,42.90
SSA-SA-FYWL.csv,2,3/13/2023,CHI,OH ,FY,2001,7006190,365711,5.22,6640479,76528,1.15,25100,0.38,74698,33.60,2873768,40826,1.42,2832942,16951,0.60,6208,0.22,16825,36.90,91523,31308,34.21
SSA-SA-FYWL.csv,2,3/13/2023,DAL,OK ,FY,2001,2121208,109855,5.18,2011353,24736,1.23,8564,0.43,25005,34.25,884670,10421,1.18,874249,4184,0.48,1768,0.20,4117,42.94,29122,10332,35.48
SSA-SA-FYWL.csv,2,3/13/2023,SEA,OR ,FY,2001,2179584,91324,4.19,2088260,22651,1.08,7708,0.37,20218,38.12,848743,6896,0.81,841847,2446,0.29,1337,0.16,2254,59.32,22472,9045,40.25
SSA-SA-FYWL.csv,2,3/13/2023,PHL,PA ,FY,2001,7478501,407330,5.45,7071171,83385,1.18,39299,0.56,79272,49.57,2896020,43931,1.52,2852089,16505,0.58,9002,0.32,15808,56.95,95080,48301,50.80
SSA-SA-FYWL.csv,2,3/13/2023,NYC,PR ,FY,2001,2319146,144037,6.21,2175109,20345,0.94,6460,0.30,18674,34.59,0,0,0.00,0,0,0.00,0,0.00,0,0.00,18674,6460,34.59
SSA-SA-FYWL.csv,2,3/13/2023,BOS,RI ,FY,2001,658375,38800,5.89,619575,7266,1.17,3055,0.49,6411,47.65,248034,3443,1.39,244591,1317,0.54,614,0.25,1183,51.90,7594,3669,48.31
SSA-SA-FYWL.csv,2,3/13/2023,ATL,SC ,FY,2001,2551769,163019,6.39,2388750,33594,1.41,11255,0.47,31900,35.28,1015027,17260,1.70,997767,7165,0.72,2571,0.26,6972,36.88,38872,13826,35.57
SSA-SA-FYWL.csv,2,3/13/2023,DEN,SD ,FY,2001,449536,18990,4.22,430546,4145,0.96,1302,0.30,3786,34.39,200672,1964,0.98,198708,816,0.41,366,0.18,792,46.21,4578,1668,36.44
SSA-SA-FYWL.csv,2,3/13/2023,ATL,TN ,FY,2001,3634143,239166,6.58,3394977,52049,1.53,12455,0.37,48374,25.75,1406013,21219,1.51,1384794,9771,0.71,3434,0.25,9521,36.07,57895,15889,27.44
SSA-SA-FYWL.csv,2,3/13/2023,DAL,TX ,FY,2001,13237659,464475,3.51,12773184,121195,0.95,39471,0.31,109697,35.98,5982741,50377,0.84,5932364,21432,0.36,8919,0.15,19814,45.01,129511,48390,37.36
SSA-SA-FYWL.csv,2,3/13/2023,DEN,UT ,FY,2001,1367174,35562,2.60,1331612,8729,0.66,2404,0.18,7240,33.20,728200,3505,0.48,724695,1289,0.18,781,0.11,1199,65.14,8439,3185,37.74
SSA-SA-FYWL.csv,2,3/13/2023,PHL,VA ,FY,2001,4629213,203305,4.39,4425908,41298,0.93,16121,0.36,39609,40.70,1751532,19821,1.13,1731711,8064,0.47,3337,0.19,8006,41.68,47615,19458,40.87
SSA-SA-FYWL.csv,2,3/13/2023,BOS,VT ,FY,2001,388418,19711,5.07,368707,2646,0.72,1259,0.34,2701,46.61,145411,1287,0.89,144124,372,0.26,238,0.17,394,60.41,3095,1497,48.37
SSA-SA-FYWL.csv,2,3/13/2023,SEA,WA ,FY,2001,3799843,156534,4.12,3643309,35781,0.98,13813,0.38,33394,41.36,1516214,11998,0.79,1504216,4654,0.31,2539,0.17,4462,56.90,37856,16352,43.20
SSA-SA-FYWL.csv,2,3/13/2023,CHI,WI ,FY,2001,3339219,138236,4.14,3200983,28689,0.90,10518,0.33,25509,41.23,1363574,14559,1.07,1349015,6535,0.48,2457,0.18,6109,40.22,31618,12975,41.04
SSA-SA-FYWL.csv,2,3/13/2023,PHL,WV ,FY,2001,1127788,115663,10.26,1012125,20744,2.05,6727,0.66,21894,30.73,394564,7707,1.95,386857,2688,0.69,1261,0.33,2802,45.00,24696,7988,32.35
SSA-SA-FYWL.csv,2,3/13/2023,DEN,WY ,FY,2001,308796,11780,3.81,297016,2594,0.87,764,0.26,2450,31.18,125620,887,0.71,124733,295,0.24,130,0.10,289,44.98,2739,894,32.64
SSA-SA-FYWL.csv,2,3/13/2023,SEA,AK ,FY,2002,415107,13606,3.28,401501,4190,1.04,1535,0.38,3879,39.57,188265,1017,0.54,187248,433,0.23,254,0.14,425,59.76,4304,1789,41.57
SSA-SA-FYWL.csv,2,3/13/2023,ATL,AL ,FY,2002,2770228,223434,8.07,2546794,45172,1.77,15812,0.62,50401,31.37,1112246,26687,2.40,1085559,11780,1.09,4337,0.40,12259,35.38,62660,20149,32.16
SSA-SA-FYWL.csv,2,3/13/2023,DAL,AR ,FY,2002,1649376,127384,7.72,1521992,29632,1.95,10004,0.66,28170,35.51,677037,14288,2.11,662749,7497,1.13,2408,0.36,6887,34.96,35057,12412,35.41
SSA-SA-FYWL.csv,2,3/13/2023,SFO,AZ ,FY,2002,3304451,145073,4.39,3159378,34203,1.08,14614,0.46,30863,47.35,1444795,14360,0.99,1430435,5146,0.36,2569,0.18,4637,55.40,35500,17183,48.40
SSA-SA-FYWL.csv,2,3/13/2023,SFO,CA ,FY,2002,21848399,921274,4.22,20927125,212142,1.01,89941,0.43,205458,43.78,9363561,88941,0.95,9274620,28546,0.31,16574,0.18,28338,58.49,233796,106515,45.56
SSA-SA-FYWL.csv,2,3/13/2023,DEN,CO ,FY,2002,2931316,92783,3.17,2838533,22262,0.78,6260,0.22,22774,27.49,1138673,6577,0.58,1132096,2457,0.22,1350,0.12,2623,51.47,25397,7610,29.96
SSA-SA-FYWL.csv,2,3/13/2023,BOS,CT ,FY,2002,2136165,90854,4.25,2045311,19044,0.93,7499,0.37,17947,41.78,843427,6066,0.72,837361,2490,0.30,1074,0.13,2399,44.77,20346,8573,42.14
SSA-SA-FYWL.csv,2,3/13/2023,PHL,DC ,FY,2002,393282,19891,5.06,373391,4937,1.32,1806,0.48,3593,50.26,116445,3638,3.12,112807,1329,1.18,555,0.49,1043,53.21,4636,2361,50.93
SSA-SA-FYWL.csv,2,3/13/2023,PHL,DE ,FY,2002,502256,23444,4.67,478812,5091,1.06,2288,0.48,4853,47.15,196683,2834,1.44,193849,1126,0.58,565,0.29,1058,53.40,5911,2853,48.27
SSA-SA-FYWL.csv,2,3/13/2023,ATL,FL ,FY,2002,10019416,508690,5.08,9510726,122035,1.28,38366,0.40,106469,36.03,3771816,72074,1.91,3699742,30422,0.82,12824,0.35,27800,46.13,134269,51190,38.12
SSA-SA-FYWL.csv,2,3/13/2023,ATL,GA ,FY,2002,5491957,272820,4.97,5219137,66489,1.27,17707,0.34,61432,28.82,2272782,29618,1.30,2243164,13782,0.61,4624,0.21,13050,35.43,74482,22331,29.98
SSA-SA-FYWL.csv,2,3/13/2023,SFO,HI ,FY,2002,772370,26931,3.49,745439,6397,0.86,3217,0.43,6074,52.96,288731,1358,0.47,287373,552,0.19,352,0.12,585,60.17,6659,3569,53.60
SSA-SA-FYWL.csv,2,3/13/2023,KCM,IA ,FY,2002,1776256,77838,4.38,1698418,17068,1.00,6167,0.36,16300,37.83,719810,6013,0.84,713797,2624,0.37,1254,0.18,2565,48.89,18865,7421,39.34
SSA-SA-FYWL.csv,2,3/13/2023,SEA,ID ,FY,2002,815053,34846,4.28,780207,8367,1.07,3304,0.42,7777,42.48,374172,3311,0.88,370861,1230,0.33,654,0.18,1171,55.85,8948,3958,44.23
SSA-SA-FYWL.csv,2,3/13/2023,CHI,IL ,FY,2002,7823158,348229,4.45,7474929,75143,1.01,29805,0.40,74298,40.12,3238817,40872,1.26,3197945,18471,0.58,8011,0.25,18103,44.25,92401,37816,40.93
SSA-SA-FYWL.csv,2,3/13/2023,CHI,IN ,FY,2002,3815064,179772,4.71,3635292,43422,1.19,13695,0.38,43270,31.65,1573864,17810,1.13,1556054,8243,0.53,3343,0.21,8298,40.29,51568,17038,33.04
SSA-SA-FYWL.csv,2,3/13/2023,KCM,KS ,FY,2002,1652207,67288,4.07,1584919,17527,1.11,5043,0.32,16517,30.53,706257,6392,0.91,699865,3130,0.45,1292,0.18,3056,42.28,19573,6335,32.37
SSA-SA-FYWL.csv,2,3/13/2023,ATL,KY ,FY,2002,2585343,242410,9.38,2342933,45490,1.94,12880,0.55,44576,28.89,992370,24015,2.42,968355,8888,0.92,4015,0.41,8868,45.28,53444,16895,31.61
SSA-SA-FYWL.csv,2,3/13/2023,DAL,LA ,FY,2002,2756830,192407,6.98,2564423,43816,1.71,14331,0.56,43969,32.59,1188038,28474,2.40,1159564,15091,1.30,4817,0.42,15374,31.33,59343,19148,32.27
SSA-SA-FYWL.csv,2,3/13/2023,BOS,MA ,FY,2002,4073396,220844,5.42,3852552,40828,1.06,17936,0.47,40394,44.40,1501291,16197,1.08,1485094,6143,0.41,3014,0.20,5974,50.45,46368,20950,45.18
SSA-SA-FYWL.csv,2,3/13/2023,PHL,MD ,FY,2002,3449771,126333,3.66,3323438,33220,1.00,9908,0.30,27478,36.06,1372251,13798,1.01,1358453,5873,0.43,2321,0.17,5042,46.03,32520,12229,37.60
SSA-SA-FYWL.csv,2,3/13/2023,BOS,ME ,FY,2002,810854,57286,7.06,753568,10073,1.34,4103,0.54,9861,41.61,296239,3095,1.04,293144,1124,0.38,542,0.18,1102,49.18,10963,4645,42.37
SSA-SA-FYWL.csv,2,3/13/2023,CHI,MI ,FY,2002,6230909,342538,5.50,5888371,76886,1.31,29982,0.51,72957,41.10,2575328,34427,1.34,2540901,16155,0.64,6001,0.24,15459,38.82,88416,35983,40.70
SSA-SA-FYWL.csv,2,3/13/2023,CHI,MN ,FY,2002,3131843,116276,3.71,3015567,24447,0.81,10476,0.35,23001,45.55,1281581,9064,0.71,1272517,3723,0.29,1833,0.14,3480,52.67,26481,12309,46.48
SSA-SA-FYWL.csv,2,3/13/2023,KCM,MO ,FY,2002,3493320,203740,5.83,3289580,49375,1.50,16770,0.51,48578,34.52,1423231,17623,1.24,1405608,8056,0.57,3125,0.22,8166,38.27,56744,19895,35.06
SSA-SA-FYWL.csv,2,3/13/2023,ATL,MS ,FY,2002,1746808,155412,8.90,1591396,36754,2.31,9882,0.62,34742,28.44,764595,20278,2.65,744317,10915,1.47,3377,0.45,10586,31.90,45328,13259,29.25
SSA-SA-FYWL.csv,2,3/13/2023,DEN,MT ,FY,2002,562419,26888,4.78,535531,6130,1.14,1749,0.33,6095,28.70,223777,1825,0.82,221952,751,0.34,354,0.16,736,48.10,6831,2103,30.79
SSA-SA-FYWL.csv,2,3/13/2023,ATL,NC ,FY,2002,5282336,307075,5.81,4975261,71708,1.44,22290,0.45,69827,31.92,2028904,31437,1.55,1997467,13645,0.68,5078,0.25,13374,37.97,83201,27368,32.89
SSA-SA-FYWL.csv,2,3/13/2023,DEN,ND ,FY,2002,387753,14610,3.77,373143,3418,0.92,1070,0.29,3153,33.94,151995,946,0.62,151049,444,0.29,187,0.12,431,43.39,3584,1257,35.07
SSA-SA-FYWL.csv,2,3/13/2023,KCM,NE ,FY,2002,1046642,40912,3.91,1005730,10552,1.05,3453,0.34,10118,34.13,445664,3417,0.77,442247,1568,0.35,628,0.14,1536,40.89,11654,4081,35.02
SSA-SA-FYWL.csv,2,3/13/2023,BOS,NH ,FY,2002,806863,34245,4.24,772618,6544,0.85,3848,0.50,6472,59.46,311675,1724,0.55,309951,617,0.20,331,0.11,580,57.07,7052,4179,59.26
SSA-SA-FYWL.csv,2,3/13/2023,NYC,NJ ,FY,2002,5326583,209408,3.93,5117175,42768,0.84,17257,0.34,36189,47.69,2102391,20292,0.97,2082099,7394,0.36,3111,0.15,6563,47.40,42752,20368,47.64
SSA-SA-FYWL.csv,2,3/13/2023,DAL,NM ,FY,2002,1128797,60133,5.33,1068664,13670,1.28,5358,0.50,13079,40.97,499712,5858,1.17,493854,2254,0.46,1100,0.22,2083,52.81,15162,6458,42.59
SSA-SA-FYWL.csv,2,3/13/2023,SFO,NV ,FY,2002,1369299,51646,3.77,1317653,13700,1.04,6465,0.49,12689,50.95,554672,4845,0.87,549827,1849,0.34,1055,0.19,1715,61.52,14404,7520,52.21
SSA-SA-FYWL.csv,2,3/13/2023,NYC,NY ,FY,2002,12040647,668641,5.55,11372006,146215,1.29,54473,0.48,138572,39.31,4640919,67683,1.46,4573236,27603,0.60,9832,0.21,26168,37.57,164740,64305,39.03
SSA-SA-FYWL.csv,2,3/13/2023,CHI,OH ,FY,2002,7041226,371384,5.27,6669842,85611,1.28,24310,0.36,81422,29.86,2855846,40776,1.43,2815070,18456,0.66,5964,0.21,17904,33.31,99326,30274,30.48
SSA-SA-FYWL.csv,2,3/13/2023,DAL,OK ,FY,2002,2140153,115160,5.38,2024993,29283,1.45,9144,0.45,26461,34.56,884266,10856,1.23,873410,4778,0.55,1983,0.23,4380,45.27,30841,11127,36.08
SSA-SA-FYWL.csv,2,3/13/2023,SEA,OR ,FY,2002,2220277,96074,4.33,2124203,24667,1.16,8273,0.39,23574,35.09,850602,7288,0.86,843314,2530,0.30,1413,0.17,2446,57.77,26020,9686,37.23
SSA-SA-FYWL.csv,2,3/13/2023,PHL,PA ,FY,2002,7519122,424114,5.64,7095008,88813,1.25,38316,0.54,85275,44.93,2877493,47211,1.64,2830282,18555,0.66,9976,0.35,17755,56.19,103030,48292,46.87
SSA-SA-FYWL.csv,2,3/13/2023,NYC,PR ,FY,2002,2338381,147386,6.30,2190995,19992,0.91,6735,0.31,20587,32.71,0,0,0.00,0,0,0.00,0,0.00,0,0.00,20587,6735,32.71
SSA-SA-FYWL.csv,2,3/13/2023,BOS,RI ,FY,2002,666912,39802,5.97,627110,7468,1.19,3072,0.49,6850,44.85,248118,3531,1.42,244587,1418,0.58,606,0.25,1263,47.98,8113,3678,45.33
SSA-SA-FYWL.csv,2,3/13/2023,ATL,SC ,FY,2002,2580856,168377,6.52,2412479,36487,1.51,11065,0.46,33311,33.22,1018697,17349,1.70,1001348,7867,0.79,2482,0.25,7342,33.81,40653,13547,33.32
SSA-SA-FYWL.csv,2,3/13/2023,DEN,SD ,FY,2002,454485,19418,4.27,435067,4215,0.97,1321,0.30,3976,33.22,198484,1932,0.97,196552,817,0.42,368,0.19,727,50.62,4703,1689,35.91
SSA-SA-FYWL.csv,2,3/13/2023,ATL,TN ,FY,2002,3667648,245851,6.70,3421797,56846,1.66,13285,0.39,52479,25.31,1411316,21517,1.52,1389799,9815,0.71,3237,0.23,9570,33.82,62049,16522,26.63
SSA-SA-FYWL.csv,2,3/13/2023,DAL,TX ,FY,2002,13501245,498494,3.69,13002751,136491,1.05,53569,0.41,140127,38.23,6068569,56476,0.93,6012093,24854,0.41,12302,0.20,25181,48.85,165308,65871,39.85
SSA-SA-FYWL.csv,2,3/13/2023,DEN,UT ,FY,2002,1400736,37112,2.65,1363624,8630,0.63,2833,0.21,9010,31.44,734008,3656,0.50,730352,1203,0.16,730,0.10,1218,59.93,10228,3563,34.84
SSA-SA-FYWL.csv,2,3/13/2023,PHL,VA ,FY,2002,4689289,209428,4.47,4479861,44229,0.99,14371,0.32,34396,41.78,1768150,19616,1.11,1748534,8562,0.49,2974,0.17,6984,42.58,41380,17345,41.92
SSA-SA-FYWL.csv,2,3/13/2023,BOS,VT ,FY,2002,392652,20353,5.18,372299,3632,0.98,1233,0.33,2534,48.66,143291,1358,0.95,141933,471,0.33,236,0.17,401,58.85,2935,1469,50.05
SSA-SA-FYWL.csv,2,3/13/2023,SEA,WA ,FY,2002,3860724,163952,4.25,3696772,39950,1.08,14732,0.40,37652,39.13,1515185,12466,0.82,1502719,5022,0.33,2680,0.18,4735,56.60,42387,17412,41.08
SSA-SA-FYWL.csv,2,3/13/2023,CHI,WI ,FY,2002,3379385,144283,4.27,3235102,30401,0.94,12672,0.39,32327,39.20,1357277,15002,1.11,1342275,6825,0.51,2617,0.19,6892,37.97,39219,15289,38.98
SSA-SA-FYWL.csv,2,3/13/2023,PHL,WV ,FY,2002,1131001,119993,10.61,1011008,22509,2.23,6632,0.66,20810,31.87,392276,7944,2.03,384332,2965,0.77,1274,0.33,2793,45.61,23603,7906,33.50
SSA-SA-FYWL.csv,2,3/13/2023,DEN,WY ,FY,2002,313131,11887,3.80,301244,3410,1.13,966,0.32,3248,29.74,124730,840,0.67,123890,342,0.28,162,0.13,336,48.21,3584,1128,31.47
SSA-SA-FYWL.csv,2,3/13/2023,SEA,AK ,FY,2003,422571,14337,3.39,408234,4250,1.04,1629,0.40,4014,40.58,187339,1064,0.57,186275,462,0.25,311,0.17,471,66.03,4485,1940,43.26
SSA-SA-FYWL.csv,2,3/13/2023,ATL,AL ,FY,2003,2787370,232793,8.35,2554577,47729,1.87,13358,0.52,46283,28.86,1106767,27308,2.47,1079459,12605,1.17,4047,0.37,12565,32.21,58848,17405,29.58
SSA-SA-FYWL.csv,2,3/13/2023,DAL,AR ,FY,2003,1662931,133874,8.05,1529057,32251,2.11,11051,0.72,29887,36.98,676886,15363,2.27,661523,7873,1.19,2897,0.44,7901,36.67,37788,13948,36.91
