Eligible,Zip_Code,DPA_Cond_Commit__Amount,Purchase_Price,Closing_Date,Before_1978_,Loan_Type,First_Time_Homeowner,F__of_Bedrooms,AMI,Race,Household_Size,Household_Type,HH_Monthly_Income,New_Construction,Neighborhood,Council_Dist_,Date_Closed,ObjectId
Closed ,40212,19500,100000,10/26/2022,Yes,FHA,Yes,2,60-80%,African American,2,Single/Non-Elderly,3371.31,No,Shawnee,5,44860,43
Closed ,40211,31000,174000,10/27/2022,Yes,FHA,Yes,3,60-80%,African American,2,Single Parent,4334.55,No,Chickasaw,5,44861,44
Closed ,40211,28000,140000,10/28/2022,Yes,Conventional,Yes,3,60-80%,African American,1,Single/Non-Elderly,3346.54,No,Chickasaw,5,44862,45
Closed ,40258,36600,183000,11/3/2022,Yes,Conventional,Yes,3,60-80%,White,2,Single Parent,3646.0,No,PRP,12,44868,46
Closed ,40211,20000,115000,11/15/2022,Yes,FHA,Yes,2,60-80%,African American,1,Single/Non-Elderly,2632.5,No,Chickasaw,5,44880,47
Closed ,40213,32500,165000,11/11/2022,Yes,Conventional,Yes,3,60-80%,White,1,Single/Non-Elderly,3496.0,No,Lynnview,21,44876,48
Closed ,40210,24000,120000,11/17/2022,Yes,FHA,Yes,3,50-60%,African American,2,Single Parent,2894.09,No,Park Hill,6,44882,49
Closed ,40258,33000,165000,11/22/2022,Yes,FHA,Yes,3,60-80%,African American,2,Single Parent,3629.67,No,PRP,12,44887,50
Closed ,40245,25500,127500,11/28/2022,Yes,Conventional,Yes,2,60-80%,White,1,Single/Non-Elderly,3190.0,No,Shively,3,44893,51
Closed ,40219,40600,203000,11/3/2022,Yes,Conventional,Yes,3,60-80%,African American,2,Single Parent,3824.73,No,Okolona,24,44868,52
Closed ,40258,36000,180000,11/28/2022,Yes,FHA,Yes,3,60-80%,African American,2,Single Parent,4347.42,No,PRP,12,44893,53
Closed ,40215,27000,180000,11/30/2022,Yes,Conventional,Yes,3,0-30%,African American,3,Single Parent,1047.0,No,Taylor Berry,3,44895,54
Closed ,40216,36000,180000,12/6/2022,Yes,FHA,Yes,3,30-50%,African American,3,Single Parent,2696.58,No,St.Dennis,1,44901,55
Closed ,40211,23000,115000,12/1/2022,Yes,Conventional,Yes,4,50-60%,African American,1,Single/Non-Elderly,2931.33,No,Russell,5,44896,56
Closed ,40212,17400,116000,12/8/2022,No,Conventional,Yes,3,30-50%,African American,1,Single/Non-Elderly,1387.58,No,Portland,5,44903,57
Closed ,40216,39900,199500,12/9/2022,Yes,Conventional,Yes,3,60-80%,African American,5,Two Parents,5474.73,No,Shively,3,44904,58
Closed ,40218,30700,155000,12/9/2022,Yes,Conventional,Yes,3,60-80%,African American,1,Single/Non-Elderly,3480.6,No,Newburg,2,44904,59
Closed ,40217,27900,197000,12/12/2022,Yes,Conventional,Yes,3,0-30%,African American,3,Single Parent,998.08,No,Audubon,10,44907,60
Closed ,40215,22000,110000,12/13/2022,Yes,Conventional,Yes,2,60-80%,Others,1,Single/Non-Elderly,3853.86,No,Beechmont,21,44908,61
Closed ,40218,15000,100000,12/9/2022,Yes,Conventional,Yes,2,0-30%,African American,2,Single Parent,841.0,No,Bashford Manor,10,44904,62
Closed ,40213,32000,160000,11/4/2022,Yes,FHA,Yes,2,60-80%,African American,1,Single/Non-Elderly,3780.4,No,Lynnview,21,44869,63
Closed ,40216,39000,195000,12/21/2022,Yes,Others,Yes,3,60-80%,African American,2,Single Parent,2990.0,No,cloverleaf,15,44916,64
Closed ,40215,29980,149900,12/22/2022,Yes,Conventional,Yes,3,60-80%,African American,2,Single Parent,3605.59,No,Iroquis,15,44917,65
Closed ,40210,26700,134000,12/16/2022,Yes,Conventional,Yes,3,50-60%,African American,4,Single Parent,3640.0,No,California,4,44911,66
Closed ,40258,44000,220000,12/22/2022,Yes,FHA,Yes,4,30-50%,African American,5,Single Parent,2932.8,No,PRP,12,44917,67
Closed ,40272,35900,179900,12/27/2022,Yes,FHA,Yes,4,60-80%,White,5,Two Parents,6003.29,No,Valley Station,12,44922,68
Closed ,40218,33400,167000,1/4/2023,Yes,Conventional,Yes,3,60-80%,White,2,Single Parent,3913.46,No,Buechel,10,44930,69
Closed ,40210,32400,162000,12/29/2022,Yes,FHA,Yes,3,50-60%,African American,5,Single/Non-Elderly,3877.79,No,Hallmark,3,44924,70
Closed ,40219,29500,197000,1/5/2023,Yes,Conventional,Yes,4,0-30%,African American,4,Single Parent,1169.0,No,Okolona,24,44931,71
Closed ,40218,26000,130000,1/6/2023,Yes,FHA,Yes,2,60-80%,African American,3,Two Parents,3528.08,No,Bashford Manor,10,44932,72
Closed ,40216,49000,245000,1/27/2023,no,Conventional,yes,3,30-50%,African American,3,single parent,2458.83,yes,prp,1,44953,73
Closed ,40211,19800,99000,1/19/2023,Yes,Conventional,Yes,3,30-50%,White,1,Single/Non-Elderly,2266.88,No,Park Duvalle,1,44945,74
Closed ,40258,31300,220000,1/26/2023,yes,Conventional,Yes,3,60-80%,African American,3,Single Parent,4165.0,no,PRP,12,44952,75
Closed ,40218,26300,183000,1/19/2023,yes,Conventional,Yes,3,0-30%,African American,5,Two Parents,1597.0,no,Newburg,2,44945,76
Closed,40208,20400,100000,12/22/2022,Yes,Conventional,Yes,3,60-80%,African American,1,Single/Non-Elderly,3208.4,No,Taylor Berry,6,44917,77
Closed,40216,34200,171000,12/28/2022,Yes,Conventional,Yes,3,50-60%,White,4,Single Parent,3687.61,No,St. Dennis,1,44923,78
Closed,40258,29700,201000,12/2/2022,yes,Conventional,yes,3,50-60%,African American,2,Single Parent,3041.75,No,PRP,12,44923,79
Closed,40216,34000,170000,12/28/2022,Yes,Conventional,Yes,3,50-60%,African American,4,Single Parent,3856.67,No,Cloverleaf,3,44923,80
Closed,40203,35800,179000,12/28/2022,Yes,Conventional,Yes,2,60-80%,White,1,Single/Non-Elderly,3813.33,No,Shelby Park,6,44923,81
Closed,40214,27000,180000,1/5/2023,Yes,Conventional,Yes,4,50-60%,African American,3,Single Parent,3104.0,No,Iroquis,21,44931,82
Closed,40216,34400,172000,1/9/2023,Yes,FHA,Yes,2,60-80%,African American,1,Single/Non-Elderly,3921.39,No,PRP,12,44935,83
Closed,40210,27500,139000,1/12/2023,Yes,FHA,Yes,3,50-60%,African American,1,Single/Non-Elderly,3438.11,No,California,4,44938,84
closed,40258,40000,200000,1/18/2023,Yes,Conventional,Yes,3,50-60%,African American,3,Single Parent,3833.33,No,PRP,12,44944,85
Closed,40216,24000,120000,18/18/2023,no,Conventional,Yes,2,60-80%,African American,1,Single/Non-Elderly,3154.67,No,Shively,3,44944,86
Closed,40118,22500,150000,1/12/2023,No,Conventional,Yes,2,30-50%,African American,1,Single/Non-Elderly,2346.08,No,Fairdale,13,44938,87
Closed,40212,25600,128000,1/13/2023,yes,FHA,Yes,4,60-80%,African American,3,Single Parent,4468.12,no,Portland,5,44939,88
