Permit_Number,Effective_Date,Expiration_Date,Permit_Type,Applicant,Street_Address,City,State,ZIP_Code,Permit_Subtype,Permit_Description,Permit_Type_Code,Subtype_Code,ID,OBJECTID
24543,2017/07/01 00:00:00,2022/07/01 00:00:00,APCD Gasoline Dispense Permit,SPEEDWAY LLC,1422 POPLAR LEVEL RD,LOUISVILLE,KY,40217,Gas Dispen Facility Stage I,SPEEDWAY #9653,GAS,STG1,960,54
24545,2017/07/01 00:00:00,2022/07/01 00:00:00,APCD Gasoline Dispense Permit,SPEEDWAY LLC,5339 DIXIE HWY,LOUISVILLE,KY,40216,Gas Dispen Facility Stage I,SPEEDWAY #9655,GAS,STG1,961,55
24546,2019/03/01 00:00:00,2024/03/01 00:00:00,APCD Gasoline Dispense Permit,JACOBUS ENERGY,11900 WESTPORT RD,LOUISVILLE,KY,40245,Gas Dispen Facility Stage I,JACK COOPER TRANSPORT,GAS,STG1,962,56
24549,2018/10/01 00:00:00,2023/10/01 00:00:00,APCD Gasoline Dispense Permit,CARDINAL MARKET,7312 ST ANDREWS CHURCH RD,LOUISVILLE,KY,40214,Gas Dispen Facility Stage I,CARDINAL MARKET,GAS,STG1,963,57
24550,2011/09/01 00:00:00,2016/09/01 00:00:00,APCD Gasoline Dispense Permit,JC'S CIGARETTE OUTLET LLC,6620 SIX MILE LN,LOUISVILLE,KY,40218,Gas Dispen Facility Stage II,JC'S CIGARETTE OUTLET SIX MILE,GAS,STG2,964,58
24551,2017/07/01 00:00:00,2022/07/01 00:00:00,APCD Gasoline Dispense Permit,SPEEDWAY LLC,4300 CRITTENDEN DR,LOUISVILLE,KY,40209,Gas Dispen Facility Stage I,SPEEDWAY #9662,GAS,STG1,965,59
24554,2019/01/01 00:00:00,2024/01/01 00:00:00,APCD Gasoline Dispense Permit,JC'S CIGARETTE OUTLET LLC,2714 CRUMS LN,SHIVELY,KY,40216,Gas Dispen Facility Stage I,JC'S CIGARETTE OUTLET CRUMS LN,GAS,STG1,966,60
24555,2015/11/01 00:00:00,2020/11/01 00:00:00,APCD Gasoline Dispense Permit,CARMAX AUTO SUPERSTORE INC,9550 BLUEGRASS PKY,FOREST HILLS,KY,40299,Gas Dispen Facility Stage I,CARMAX #7174,GAS,STG1,967,61
24556,2017/07/01 00:00:00,2022/07/01 00:00:00,APCD Gasoline Dispense Permit,SPEEDWAY LLC,3030 TAYLOR BLVD,LOUISVILLE,KY,40208,Gas Dispen Facility Stage I,SPEEDWAY #9678,GAS,STG1,968,62
24558,2019/03/01 00:00:00,2024/03/01 00:00:00,APCD Gasoline Dispense Permit,METRO PARKS,12304 HOLSCLAW HILL RD,LOUISVILLE,KY,40118,Gas Dispen Facility Stage I,JEFFERSON FOREST HORINE,GAS,STG1,969,63
24559,2012/01/01 00:00:00,2017/01/01 00:00:00,APCD Gasoline Dispense Permit,SPEEDWAY LLC,306 W AMHERST AVE,LOUISVILLE,KY,40214,Gas Dispen Facility Stage II,SPEEDWAY #9684,GAS,STG2,970,64
24560,2017/03/30 00:00:00,2022/03/30 00:00:00,APCD Gasoline Dispense Permit,CITY OF JEFFERSONTOWN PUBLIC W,10317 GRAND AVE,JEFFERSONTOWN,KY,40299,Gas Dispen Facility Stage I,JEFFERSONTOWN PUBLIC WORKS,GAS,STG1,971,65
24561,2019/04/01 00:00:00,2024/04/01 00:00:00,APCD Gasoline Dispense Permit,METRO PARKS,1297 TREVILIAN WAY,LOUISVILLE,KY,40213,Gas Dispen Facility Stage I,JOE CREASON PARK,GAS,STG1,972,66
24562,2017/07/01 00:00:00,2022/07/01 00:00:00,APCD Gasoline Dispense Permit,SPEEDWAY LLC,5510 BARDSTOWN RD,LOUISVILLE,KY,40291,Gas Dispen Facility Stage I,SPEEDWAY #9685,GAS,STG1,973,67
24564,2018/06/01 00:00:00,2023/06/01 00:00:00,APCD Gasoline Dispense Permit,CAVE HILL CEMETERY,701 BAXTER AVE,LOUISVILLE,KY,40204,Gas Dispen Facility Stage I,CAVE HILL CEMETERY,GAS,STG1,974,68
24565,2014/02/01 00:00:00,2019/02/01 00:00:00,APCD Gasoline Dispense Permit,Kentucky Indiana Lumber US LBM.LLC,4025 COLLINS LN,LOUISVILLE,KY,40245,Gas Dispen Facility Stage I,K & I LUMBER COMPANY,GAS,STG1,975,69
24566,2017/07/01 00:00:00,2022/07/01 00:00:00,APCD Gasoline Dispense Permit,SPEEDWAY LLC,6821 SOUTHSIDE DR,LOUISVILLE,KY,40214,Gas Dispen Facility Stage I,SPEEDWAY #9686,GAS,STG1,976,70
24567,2018/12/01 00:00:00,2023/12/01 00:00:00,APCD Gasoline Dispense Permit,KENTUCKIANA AUTO STORAGE POOL,4420 POPLAR LEVEL RD,LOUISVILLE,KY,40213,Gas Dispen Facility Stage I,KENTUCKIANA AUTO STORAGE,GAS,STG1,977,71
24569,2015/12/01 00:00:00,2020/12/01 00:00:00,APCD Gasoline Dispense Permit,KENTUCKY COUNTRY DAY SCHOOL,4100 SPRINGDALE RD,LOUISVILLE,KY,40241,Gas Dispen Facility Stage I,KENTUCKY COUNTRY DAY SCHOOL,GAS,STG1,978,72
24570,2014/10/08 00:00:00,2019/10/08 00:00:00,APCD Gasoline Dispense Permit,"Kentucky Kingdom,LLP",937 PHILLIPS LN,LOUISVILLE,KY,40209,Gas Dispen Facility Stage I,KENTUCKY KINGDOM,GAS,STG1,979,73
24571,2019/03/01 00:00:00,2024/03/01 00:00:00,APCD Gasoline Dispense Permit,"KEYSTOPS INC, DBA KEY OIL CO",7520 DISTRIBUTION DR,LOUISVILLE,KY,40258,Gas Dispen Facility Stage I,KEY OIL CO FUEL CENTER,GAS,STG1,980,74
24572,2018/06/01 00:00:00,2023/06/01 00:00:00,APCD Gasoline Dispense Permit,LIMITED PARTNERSHIP I   KROGER,7505 TERRY RD,LOUISVILLE,KY,40258,Gas Dispen Facility Stage I,KROGER FUEL L-292,GAS,STG1,981,75
24573,2013/07/01 00:00:00,2015/07/01 00:00:00,APCD Gasoline Dispense Permit,CECIL'S SERVICE CENTER,447 S 8TH ST,LOUISVILLE,KY,40203,Gas Dispen Facility Stage II,CECIL'S CHEVRON,GAS,STG2,982,76
24574,2018/03/01 00:00:00,2023/03/01 00:00:00,APCD Gasoline Dispense Permit,KROGER LIMITED PARTNERSHIP I,9812 LINN STATION RD,JEFFERSONTOWN,KY,40223,Gas Dispen Facility Stage I,KROGER FUEL L-309,GAS,STG1,983,77
24575,2017/07/01 00:00:00,2022/07/01 00:00:00,APCD Gasoline Dispense Permit,SPEEDWAY LLC,8510 NATIONAL TPKE,LOUISVILLE,KY,40118,Gas Dispen Facility Stage I,SPEEDWAY #9701,GAS,STG1,984,78
24576,2018/06/01 00:00:00,2023/06/01 00:00:00,APCD Gasoline Dispense Permit,LIMITED PARTNERSHIP I   KROGER,2710 W BROADWAY,LOUISVILLE,KY,40211,Gas Dispen Facility Stage I,KROGER FUEL L-327,GAS,STG1,985,79
24577,2017/07/01 00:00:00,2022/07/01 00:00:00,APCD Gasoline Dispense Permit,SPEEDWAY LLC,8325 PRESTON HWY,LOUISVILLE,KY,40219,Gas Dispen Facility Stage I,SPEEDWAY #9705,GAS,STG1,986,80
24580,2017/11/01 00:00:00,2022/11/01 00:00:00,APCD Gasoline Dispense Permit,KROGER LIMITED PARTNERSHIP I,3065 BRECKENRIDGE LN,LOUISVILLE,KY,40220,Gas Dispen Facility Stage I,KROGER FUEL L-346,GAS,STG1,987,81
24581,2017/07/01 00:00:00,2022/07/01 00:00:00,APCD Gasoline Dispense Permit,SPEEDWAY LLC,4239 POPLAR LEVEL RD,LOUISVILLE,KY,40213,Gas Dispen Facility Stage I,SPEEDWAY #9709,GAS,STG1,988,82
24582,2018/06/01 15:17:00,2023/06/01 00:00:00,APCD Gasoline Dispense Permit,LIMITED PARTNERSHIP I   KROGER,12501 SHELBYVILLE RD,MIDDLETOWN,KY,40243,Gas Dispen Facility Stage I,KROGER FUEL L-356,GAS,STG1,989,83
24583,2015/10/31 00:00:00,2020/10/31 00:00:00,APCD Gasoline Dispense Permit,CENTRAL STATE HOSPITAL,10510 LA GRANGE RD,LOUISVILLE,KY,40223,Gas Dispen Facility Stage I,CENTRAL STATE HOSPITAL,GAS,STG1,990,84
24584,2018/06/01 00:00:00,2023/06/01 00:00:00,APCD Gasoline Dispense Permit,KROGER LIMITED PARTNERSHIP,6900 BARDSTOWN RD,LOUISVILLE,KY,40291,Gas Dispen Facility Stage I,KROGER FUEL L-360,GAS,STG1,991,85
24586,2014/03/30 00:00:00,2019/03/30 00:00:00,APCD Gasoline Dispense Permit,KEMPER INC.,10207 MARY DELL LN,LOUISVILLE,KY,40299,Gas Dispen Facility Stage I,CHARLIE VETTINER GOLF,GAS,STG1,992,86
24587,2017/07/01 00:00:00,2022/07/01 00:00:00,APCD Gasoline Dispense Permit,SPEEDWAY LLC,7933 FEGENBUSH LN,LOUISVILLE,KY,40228,Gas Dispen Facility Stage I,SPEEDWAY #9710,GAS,STG1,993,87
24589,2018/06/01 00:00:00,2023/06/01 00:00:00,APCD Gasoline Dispense Permit,KROGER LIMITED PARTNERSHIP,5001 MUD LN,LOUISVILLE,KY,40229,Gas Dispen Facility Stage I,KROGER  L-366,GAS,STG1,994,88
24590,2019/03/01 00:00:00,2024/03/01 00:00:00,APCD Gasoline Dispense Permit,CHURCHILL DOWNS INC,700 CENTRAL AVE,LOUISVILLE,KY,40208,Gas Dispen Facility Stage I,CHURCHILL DOWNS INC.,GAS,STG1,995,89
24614,2015/09/30 00:00:00,2020/09/30 00:00:00,APCD Gasoline Dispense Permit,KENTUCKY AIR NATIONAL GUARD,1101 GRADE LN,LOUISVILLE,KY,40213,Gas Dispen Facility Stage I,KENTUCKY AIR NATIONAL GUARD,GAS,STG1,996,90
24615,2019/05/01 08:29:00,2024/05/01 00:00:00,APCD Gasoline Dispense Permit,"KENTUCKY CONTAINER SERVICE, INC",6301 GEIL LN,LOUISVILLE,KY,40219,Gas Dispen Facility Stage I,KY CONTAINER SERVICE INC,GAS,STG1,997,91
24616,2019/04/01 00:00:00,2024/04/01 00:00:00,APCD Gasoline Dispense Permit,METRO PARKS,2649 HELM ST,LOUISVILLE,KY,40209,Gas Dispen Facility Stage I,METRO PARKS SHOP HELM ST,GAS,STG1,998,92
24617,2018/12/01 10:16:00,2023/12/01 00:00:00,APCD Gasoline Dispense Permit,COMMONWEALTH ROOFING CORP,1449 HUGH AVE,LOUISVILLE,KY,40213,Gas Dispen Facility Stage I,COMMONWEALTH ROOFING,GAS,STG1,999,93
24618,2015/10/31 00:00:00,2020/10/31 00:00:00,APCD Gasoline Dispense Permit,KENTUCKY FAIR & EXPOSITION CEN,937 PHILLIPS LN,LOUISVILLE,KY,40209,Gas Dispen Facility Stage I,KY FAIR & EXPOSITION CENTER,GAS,STG1,1000,94
24440,2010/07/01 00:00:00,2015/07/01 00:00:00,APCD Gasoline Dispense Permit,F W OWENS INC,331 BOXLEY AVE,LOUISVILLE,KY,40209,Gas Dispen Facility Stage I,F W OWENS CO INC,GAS,STG1,1001,95
24441,2018/11/01 00:00:00,2023/11/01 00:00:00,APCD Gasoline Dispense Permit,BOB RAY CO INC,723 LYNDON LN,LYNDON,KY,40222,Gas Dispen Facility Stage I,"BOB RAY CO., INC.",GAS,STG1,1002,96
24444,2019/01/01 00:00:00,2024/01/01 00:00:00,APCD Gasoline Dispense Permit,KEYSTOPS LLC,13702 LA GRANGE RD,LOUISVILLE,KY,40245,Gas Dispen Facility Stage I,ALISA ENTERPRISES,GAS,STG1,1003,97
24447,2019/01/01 00:00:00,2024/01/01 00:00:00,APCD Gasoline Dispense Permit,FIRST STOP FOOD MART 2,3700 MANSLICK RD,LOUISVILLE,KY,40215,Gas Dispen Facility Stage I,MANSLICK FOOD MART,GAS,STG1,1004,98
24448,2014/03/30 00:00:00,2019/03/30 00:00:00,APCD Gasoline Dispense Permit,METRO PARKS,4301 E PAGES LN,LOUISVILLE,KY,40272,Gas Dispen Facility Stage I,METRO PARKS-BOBBY NICHOLS GOLF,GAS,STG1,1005,99
24449,2018/12/01 00:00:00,2023/12/01 00:00:00,APCD Gasoline Dispense Permit,Parul Patel,5600 NATIONAL TPKE,LOUISVILLE,KY,40214,Gas Dispen Facility Stage I,DONGAR #528,GAS,STG1,1006,100
24450,2015/07/01 00:00:00,2020/07/01 00:00:00,APCD Gasoline Dispense Permit,GREENWELL LLC,2300 PEE WEE REESE RD,LOUISVILLE,KY,40205,Gas Dispen Facility Stage I,Seneca Golf Course,GAS,STG1,1007,101
24451,2011/08/31 00:00:00,2016/08/31 00:00:00,APCD Gasoline Dispense Permit,BOLAND MALONEY LUMBER,4010 COLLINS LN,LOUISVILLE,KY,40245,Gas Dispen Facility Stage I,BOLAND-MALONEY LUMBER,GAS,STG1,1008,102
24452,2014/09/15 00:00:00,2016/09/15 00:00:00,APCD Gasoline Dispense Permit,MARK   KADER,521 N 22ND ST,LOUISVILLE,KY,40203,Gas Dispen Facility Stage II,BOONE'S MARATHON,GAS,STG2,1009,103
24452,2014/09/15 00:00:00,2016/09/15 00:00:00,APCD Gasoline Dispense Permit,SHAFIKA,521 N 22ND ST,LOUISVILLE,KY,40203,Gas Dispen Facility Stage II,BOONE'S MARATHON,GAS,STG2,1010,104
24452,2014/09/15 00:00:00,2016/09/15 00:00:00,APCD Gasoline Dispense Permit,BOONE CHEVRON FOOD MART,521 N 22ND ST,LOUISVILLE,KY,40203,Gas Dispen Facility Stage II,BOONE'S MARATHON,GAS,STG2,1011,105
