OBJECTID,ID_1,Site,Additional_Info_1,Additional_Info_2,Additional_Info_3,Additional_Info_4,Additional_Info_5,Shape__Area,Shape__Length
11,11,Finney Barn,"Capitol Park - State and Griswold. ""Seymour  Finney conducted one of the principal passenger depots of the underground  railroad in the Detroit area,"" according to the marker. ""Finney, a  tailor by trade, later became a hotel-keeper, and it was in","this capacity  that he assisted fugitive slaves in the era prior to 1861. In 1850 he  purchased a site where in later years stood the Finney Hotel, and also  erected a large barn, which he operated along with his tavern."" This marker is for a barn",Seymour Finney owned in Detroit to hide enslaved  Africans escaping slavery and fleeing to Canada on the underground  railroad.,,,2395.3037109375,173.715020043808
12,10,Michigan's first state capitol,"In 1837, Michigan became a state and the state constitution abolished slavery. Detroit's black population dropped from 1833 and didn't grow again until 1837. The capitol was moved to Lansing 10 years later.",,,,,2713.2646484375,184.88561993964
13,8,First Baptist Church site,"Built in 1827 at Fort and Griswold, it had an integrated congregation, but still had separate seating and were excluded from the church offices. In 1836, many black families formally repudiated their membership and eventually formed the Second Baptist",Church.,,,,2119.73706054688,163.417344497139
14,16,1830s Black community,"In the 1830s, most members of the black community lived near the eastern dockyards, both north and east of the main district area",,,,,1290.68505859375,127.51673180983
15,18,William Webb house,"At corner of E. Congress and St. Antoine. Abolitionists Frederick Douglass and John Brown met with several Detroit residents at the home of abolitionist William Webb on March 12, 1859, to discuss methods for ending slavery in America; while Douglass","sought an end to slavery through political means, Brown believed revolution was the way to end the system; 8 months later, Brown would die for his beliefs after the famed Harper’s Ferry Raid in West Virginia. A portion of the marker inscription ","reads as follows: ""In the home of William Webb, 200 feet north of this spot, two famous American's met with several Detroit African-American"," residents on March 12, 1859, to discuss methods of abolishing slavery in the United States,"" as outlinedon the above marker. ""John Brown (1800-1859), a fiery leader, ardently advocated insurrectionary procedures, and eight months later became","a martar to the cause."" ""Frederick Douglass (1817-1895), ex-slave and internationally-recognized antislavery orator and writer, sought a solution…",1526.21166992188,138.664214939807
16,19,George DeBaptiste house,"SW corner of E. Larned and Beaubien. ""George  DeBaptiste, a long-time Mason, and one of Detroit's most active and  impassioned African-American community leaders, lived on this site during the  1850s and 60s,"" according to the marker describing this"," site. In 1846,  DeBaptiste came to Detroit and conducted several successful businesses  including a shipping business. He used his ships to transport runaways across  the river to freedom in Canada. He was also present at the historic meeting","at William Webb's home in 1859. ""Born in Virginia about 1815, he moved to Madison, Indiana in 1838 and  became involved in the Underground","Railroad. Forced to leave because of his  anti-slavery activities, DeBaptiste became the personal valet ofGeneral  William Henry Harrison, whom he accompanied to the White House as a steward.",,23035.7827148438,639.164218995304
17,5,First Masonic Temple,On W. Jefferson between Griswold and Shelby. This site served as a “station” in Detroit’s Underground Railroad both before and after the building was completed in 1852.,,,,,58571.9377441406,1132.28090538761
18,1,Gateway to Freedom,"Designed by renowned African American sculptor Ed Dwight, two bronze monuments grace both sides of the U.S. Canada border, as a memorial to the thousands of former slaves who escaped through Detroit to freedom in Windsor via the Underground Railroad;",the Detroit monument features eight bronze figures gesturing over the river towards Canada; in Windsor you’ll find a 22-foot sculpture of former slaves celebrating their newfound freedom,,,,5004.9345703125,251.105578762809
19,7,First Congregrational Church of Detroit,"As one of the national forerunners in the Anti-slavery movement, the Congregational Church has a rich history in the Underground Railroad nationally. Locally, church records indicate it served as one of the Railroad Stations while located at Fort",and Wayne Streets.,,,,4357.23681640625,234.294858608431
20,2,Detroit River site - discussion only,"This was the location of several thousands of UGRR crossings for fugitive slaves escaping into Canada. Often runaways crossing the Detroit River referred to it as their ""River Jordan,"" and Canada as their ""Land of Canaan."" George DeBaptiste owned","the ship ""T. Whitney"" that transported runaways across the Detroit River to Canada. The ship traveled  between Sandusky, Ohio and Detroit. It would stop in Amherstburg (Canada) on the pretense of getting lumber, while actually shuttling fugitive","slaves to freedom. A white man, Captain Atwood, a proven abolitionist, was hired by DeBaptiste to run the boat, since African Americans we","re not aloowed to run steamboats at the time. The code name for Detroit was ""Midnight"".",,16957.8981933594,462.214049820923
