OBJECTID,ACEC_ID,LOC_ACEC_ID,ACEC_NAME,CASEFILE_NO,LUP_NAME,ACEC_EST_ACR,ROD_DATE,GIS_ACRES,ADMIN_ST,ADM_UNIT_CD,COMMENTS,created_date,last_edited_date,Shape__Area,Shape__Length,GlobalID
43,ACEC004019,,Deer Gulch ACEC,,White River RMP ,1810,1987/01/01 00:00:00+00,1829.23816298,CO,CON05000,Sensitive plants & remnant vegetation associations (RVAs),,2018/11/28 23:21:31+00,7403088.36509167,23729.7294931071,{3C0E1750-89F3-4C88-B9A4-3E27E14EC029}
45,ACEC004022,,Dudley Bluffs ACEC,,White River RMP ,1630,1987/01/01 00:00:00+00,1618.30250156,CO,CON05000,"T/E plants, sensitive plants & remnant veg associations (RVAs)",,2018/11/28 23:21:31+00,6549037.87185012,21350.1322085815,{EEA00060-6366-4E88-9A1E-CF776565FB05}
48,ACEC004048,,Oil Spring Mountain ACEC,,White River RMP ,18260,1997/07/01 00:00:00+00,18245.48115745,CO,CON05000,Spruce-fir and important biologically diverse plant communities,,2018/11/28 23:11:01+00,73836842.6018192,47195.6038087419,{03F7EB27-735D-4106-9BC6-7C1E00D7F049}
49,ACEC004057,,Ryan Gulch ACEC,,White River RMP ,1440,1997/07/01 00:00:00+00,1442.46299693,CO,CON05000,T/E plants,,2018/11/28 23:11:02+00,5837440.64322685,17586.4937322387,{1D1C4712-167B-4303-9A50-0BC94108883B}
52,ACEC004180,,Yanks Gulch/Upper Greasewood Creek ACEC,,White River RMP ,2680,1987/01/01 00:00:00+00,2722.28133091,CO,CON05000,"T/E plants, sensitive plants & remnant vegeation associations (RVAs)",,2018/11/28 23:21:31+00,11016681.6875541,24323.8317944046,{C9574F1D-4894-4173-BB65-888D2E83144F}
58,ACEC004014,,Coal Oil Rim ACEC,,White River RMP ,3210,1997/07/01 00:00:00+00,3190.99544404,CO,CON05000,Small aspen clones and other biologically diverse plant communities & riparian habitiats,,2018/11/28 23:11:04+00,12913686.166609,29398.6998588022,{D9CB83A6-EC4A-4685-A56A-47E7F3D16C97}
59,ACEC004045,,Native Plant Community ONA,,Gunnison Gorge NCA RMP,3785,2004/11/05 00:00:00+00,3788.12649101,CO,COS05000,,,2017/12/08 20:32:11+00,15330004.019036,25501.8918285499,{BF132058-8929-4821-BB7D-387803A53F35}
60,ACEC004033,,Gunnison Sage-Grouse IBA,,Gunnison Gorge NCA RMP,22000,2004/11/05 00:00:00+00,22189.43154149,CO,COS05000,"Habitat for populations of Gunnison sage-grouse, and spotted bat foraging habitat.",,2018/11/30 18:47:21+00,89797443.543086,98228.2032358345,{E05D13C9-D8CA-4388-AE49-6D0AA2A1AC03}
86,ACEC004010,,Blue Hill ACEC,,Colorado River Valley RMP ,3700,2015/06/19 00:00:00+00,3722.548836,CO,COG02000,"Cultural, Historical, Natural Hazards",,2020/04/20 19:09:36+00,15028020.1548941,19240.3755477825,{265870EF-F0E3-487E-BA17-C9A4FC4F22C2}
91,ACEC004035,,Irish Canyon ACEC,,Little Snake RMP,11910,1989/04/30 00:00:00+00,11921.87410843,CO,CON01000,"Irish Canyon has good examples of three remnant plant associations, as well as Colorado BLM sensitive plant species.",,2018/11/30 20:42:55+00,48246112.8027447,61545.8962739549,{4D36C412-3927-4D1B-8B57-49C889F933E5}
93,ACEC004067,,Trickle Mountain,,San Luis RMP,44521,1991/12/18 00:00:00+00,43856.71511024,CO,COF03000,,,2018/11/28 23:19:45+00,177481829.20924,85006.0253623452,{1339B965-D74D-479F-B0D5-F6BFB6E2942E}
97,ACEC004025,,Elephant Rocks,,San Luis RMP,1852,1991/12/18 00:00:00+00,1844.62066255,CO,COF03000,"Hanging gardens, rare forest communities, core conservation population of Colorado River cutthroat trout.",,2018/11/30 22:00:19+00,7464914.97512195,17633.5819222438,{F76D867B-1975-4745-9132-1FC8CB219217}
100,ACEC004055,,Rio Grande,,San Luis RMP,2640,1991/12/18 00:00:00+00,5356.96319857,CO,COF03000,,,2018/11/28 23:19:44+00,21678860.9247104,71619.8639648534,{DE7BECCB-109E-467F-BAD4-0332DCAD5650}
104,ACEC004021,,Duck Creek ACEC,,White River RMP ,3430,1997/07/01 00:00:00+00,3472.01089097,CO,CON05000,T/E plants & Cultural resources,,2018/11/28 23:11:06+00,14050652.6667455,33181.2435070809,{41CED089-0C45-4B46-B429-9F3FCF90935B}
107,ACEC004023,,E. Douglas Creek/Soldier Creek ACEC,,White River RMP ,47610,1997/07/01 00:00:00+00,47390.74304052,CO,CON05000,"Biologically diverse plant communities, riparian habitat & Colorado River Cutthroat trout habitat",,2018/11/28 23:11:07+00,191791498.394529,236743.346730927,{44E3259A-11DA-4A14-9001-550739F7400C}
115,ACEC004040,,Lower Greaswood Creek ACEC,,White River RMP ,210,1987/01/01 00:00:00+00,203.48520128,CO,CON05000,Sensitive plants & remnant vegetation associations (RVAs),,2018/11/28 23:21:29+00,823475.39369074,4644.94047673027,{E8F895CE-C84A-4D01-B8D3-17523EF678EB}
117,ACEC004062,,South Cathedral Bluffs ACEC,,White River RMP ,1330,1997/07/01 00:00:00+00,1324.07408655,CO,CON05000,Sensitive plants & RVAs,,2018/11/28 23:11:08+00,5358337.81985295,17636.7950276717,{FFBDC78E-ABAF-4CB4-A7EE-A8B7B41EFF58}
121,ACEC004042,,Moosehead Mountain ACEC,,White River RMP ,8940,1997/07/01 00:00:00+00,8971.53932161,CO,CON05000,"Biologically diverse plant communities, riparian habitat & cultural resources",,2018/11/28 23:11:09+00,36306531.522469,51315.7792825781,{9A1A54DC-1A68-4869-BB48-69F1018C1501}
123,ACEC004053,,Raven Ridge ACEC,,White River RMP ,4980,1997/07/01 00:00:00+00,5010.2834767,CO,CON05000,"Candidate T/E plants, sensitive plants & RVAs, Paleontological values",,2018/11/28 23:11:10+00,20276466.123782,46623.3608215685,{417AD63D-E7BD-471B-94B5-BD823D5B20FA}
246,ACEC004058,,San Luis Hills/Flattop,,San Luis RMP,28713,1991/12/18 00:00:00+00,36471.86553868,CO,COF03000,,,2018/11/28 23:19:45+00,147596403.292102,99186.4533502944,{F953D27E-8C8A-4378-B5C7-00DCAC5C19DB}
254,ACEC004072,,White River ACEC,,White River RMP ,950,1997/07/01 00:00:00+00,901.41669419,CO,CON05000,"Biologically diverse plant communities, bald eagle roosts, Colorado River Squawfish",2013/09/24 15:32:53+00,2018/11/28 23:11:11+00,3647903.93813577,90816.2090311315,{3CA0321F-257D-4D7A-80EB-E4B597D30BB9}
649,ACEC004181,,Dillon Pinnacles ACEC,,Gunnison Resource Area RMP,535,1993/02/05 00:00:00+00,939.61780242,CO,COS06000,,2014/09/15 15:20:01+00,2021/02/16 18:56:57+00,3802498.39584447,9028.43195450545,{BDDC1261-D789-4DDE-AF7C-EF58CEAEECC7}
650,ACEC004070,,West Antelope Creek ACEC,,Gunnison Resource Area RMP,28275,1993/02/05 00:00:00+00,47882.05908557,CO,COS06000,,2014/09/15 15:21:44+00,2021/02/16 18:56:57+00,117543156.959716,189535.216705356,{1A28ACFD-3F58-4165-BDA1-9C82A3123062}
1050,ACEC004182,,Blanca Wetlands,,San Luis RMP,122762,2014/07/28 00:00:00+00,122660.36844,CO,COF03000,Contains historic wetland playa basins and associated sensitive wetland plant and animal species.,2014/10/24 16:27:29+00,2018/11/28 23:25:21+00,496388899.795381,155631.914639176,{41DE498C-5D7B-49AB-B5E0-66BD724999C2}
1051,ACEC004183,,Kinney Creek ACEC,,Kremmling RMP ,588,2015/06/19 00:00:00+00,587.50556247,CO,CON02000,Managed to protect the Colorado River cutthroat trout core conservation population.,2015/07/13 20:53:08+00,2018/11/30 20:26:36+00,2377719.91635955,7885.46713663824,{4DA89680-79B5-41C5-897D-4E291D06BE9D}
1056,ACEC004185,,Barger Gulch Heritage Area ACEC,,Kremmling RMP ,535,2015/06/19 00:00:00+00,534.52239794,CO,CON02000,,2015/07/13 20:53:08+00,2018/11/28 23:12:52+00,2155752.18260687,7858.77961436078,{C661BEFD-1E0C-41F4-887E-46131A508050}
1057,ACEC004186,,Laramie River ACEC,,Kremmling RMP ,1783,2015/06/19 00:00:00+00,1783.27173972,CO,CON02000,,2015/07/13 20:53:08+00,2018/11/28 23:12:51+00,7281145.59936696,20881.9416394007,{60BC1F2F-71D8-4EC6-BCB4-C66FE9086266}
1058,ACEC004187,,Kremmling ACEC,,Kremmling RMP ,674,2015/06/19 00:00:00+00,677.85960362,CO,CON02000,,2015/07/13 20:53:08+00,2018/11/28 23:12:52+00,2743200.49039044,14801.3773555887,{455FDF22-A0AF-403F-9AD5-25F7A36A3851}
1059,ACEC004188,,North Sand Hills ACEC,,Kremmling RMP,486,2015/06/19 00:00:00+00,485.81927143,CO,CON02000,Managed to protect the boat-shaped bugseed (Corispermum navicula).,2015/07/13 20:53:08+00,2018/11/30 20:39:30+00,1971775.64689406,5962.10288592544,{0326CA11-4AF0-4E4F-8519-8D37F669A60A}
1060,ACEC004189,,Troublesome Creek ACEC,,Kremmling RMP ,998,2015/06/19 00:00:00+00,998.22379852,CO,CON02000,"Designated to protect Penland's Beardtongue (Penstemon penlandii) and Osterhout milkvetch (Astragalus osterhoutii), 2 federally listed Endangered plant species.",2015/07/13 20:53:08+00,2018/11/30 20:37:42+00,4031416.61653283,10940.2081384449,{4668A67D-037A-4F43-9046-B0A1C145F25F}
1851,ACEC004207,,Sinbad Valley ACEC,,Grand Junction RMP ,6400,2015/08/24 00:00:00+00,6388.02413881,CO,COG01000, ,2015/09/02 14:45:16+00,2021/12/16 19:18:10+00,25851416.5125801,33383.1513974427,{8BB1073C-B8C0-4D46-9849-61840A7F1932}
1852,ACEC004208,,Dolores River Riparian ACEC,,Grand Junction RMP ,7400,2015/08/24 00:00:00+00,7427.58967146,CO,COG01000,"To protect riparian, hydrology, scenic and paleontological resources,.",2015/09/02 15:34:08+00,2021/12/16 19:18:11+00,30058388.9649024,141567.499192026,{DEB1E66E-BA31-4BD8-A516-741BB51C4015}
1853,ACEC004209,,The Palisade ACEC,,Grand Junction RMP ,32200,2015/08/24 00:00:00+00,32197.95334092,CO,COG01000,,2015/09/02 16:59:12+00,2022/10/07 17:44:06+00,130296410.248092,94384.197791134,{E566032C-117A-440D-9A8C-D6A812E46C3A}
1854,ACEC004210,,Rough Canyon ACEC,,Grand Junction RMP ,2800,2015/08/24 00:00:00+00,2778.6606776,CO,COG01000,"Geologic resources (Ladder Creek monocline, Ladder Canyon fault), peregrine falcon habitat, midget faded rattlesnake habitat, prehistoric cultural sites, special status plant species (Grand Junction milkvetch, Osterhout's cryptantha).",2015/09/02 18:28:25+00,2021/12/16 19:18:10+00,11244840.8088068,20503.3677596918,{B27DED69-54C7-41E3-9AFB-C96AC223303E}
1855,ACEC004211,,Indian Creek ACEC,,Grand Junction RMP ,2300,2015/08/24 00:00:00+00,2345.14742072,CO,COG01000,P RMP Boundary adjusted to roads and topography,2015/09/02 19:34:26+00,2021/12/16 19:18:10+00,9490474.90101714,15666.5050934878,{59F43CA0-2832-4172-8E78-9C3FBD331B0B}
1856,ACEC004212,,Mount Garfield,,Grand Junction RMP ,2400,2015/08/24 00:00:00+00,2361.13940546,CO,COG01000,PRMP boundary adjusted to avoid ROW corridor and sediment ponds,2015/09/02 19:42:56+00,2021/12/16 19:18:10+00,9555192.16715365,23110.2372991021,{1A6A7FDB-6979-4DB4-AEA6-4AABEB0528A4}
1857,ACEC004213,,Badger Wash ACEC,,Grand Junction RMP ,2200,2015/08/24 00:00:00+00,2243.97677449,CO,COG01000,"Important habitat for two rare plant species (grand buckwheat, Ferrons milkvetch), and a hydrologic system entirely within the desert used for research since the 1950s.",2015/09/02 19:54:36+00,2021/12/16 19:18:11+00,9081051.5991357,23287.7658766794,{F356067F-77B9-4BD5-9E60-6DA365FC9F08}
1858,ACEC004214,,Atwell Gulch ACEC,,Grand Junction RMP ,2900,2015/08/24 00:00:00+00,2859.16309956,CO,COG01000,"Protects rare plants, cultural resources, scenic values and wildlife habitat.",2015/09/02 21:04:15+00,2021/12/16 19:18:11+00,11570622.5521306,24332.0440262164,{3C63C8F0-BF83-45A4-89E6-27E0D20AABDA}
1859,ACEC004215,,Pyramid Rock ACEC,,Grand Junction RMP ,1300,2015/08/24 00:00:00+00,1256.54983181,CO,COG01000,,2015/09/02 21:57:45+00,2021/12/16 19:18:10+00,5085076.80511285,10434.4073675945,{7C44B649-56AD-4CB7-8BD4-8782C1D65E05}
1868,ACEC004216,,South Shale Ridge ACEC,,Grand Junction RMP ,27800,2015/08/24 00:00:00+00,27838.36364529,CO,COG01000,,2015/09/03 15:11:53+00,2021/12/16 19:18:10+00,112657860.707057,88204.8198796108,{E9A309A2-F7A8-4252-9546-0784F93A0357}
1869,ACEC004217,,Roan and Carr Creeks,,Grand Junction RMP ,33600,2015/08/24 00:00:00+00,33566.55048345,CO,COG01000,Adjusted to lst around creeks merged for PRMP,2015/09/03 15:35:00+00,2021/12/16 19:18:10+00,135839010.321993,254625.717305474,{32F2199E-E4DA-4EA8-86E5-21135455B78E}
1870,ACEC004218,,Juanita Arch ACEC,,Grand Junction RMP ,1600,2015/08/24 00:00:00+00,1624.17749872,CO,COG01000,Only natural bridge in Colorado,2015/09/03 18:57:39+00,2021/12/16 19:18:10+00,6572813.14179355,29419.5479018638,{9A0EBF82-560F-45F8-B3CA-E851FED4533E}
1881,ACEC004219,,Unaweep Seep ACEC,,Grand Junction RMP ,85,2015/08/24 00:00:00+00,83.72606638,CO,COG01000,Includes habitat for Great basin silverspot butterfly and 67 other species of butterflies.,2015/09/03 21:58:28+00,2021/12/16 19:18:10+00,338827.367861755,3548.01718522468,{5FD33A49-15FF-44AB-975B-67FCE1A7F175}
2279,ACEC004192,,Anvil Points ACEC,,"Colorado River Valley RMP, Roan Plateau Amendment",6900,2016/11/14 00:00:00+00,6895.39915936,CO,COG02000,,2016/12/07 15:32:40+00,2020/04/20 20:10:39+00,27904302.5204726,48187.960951581,{F42BBE1E-BAA9-45D2-AEFC-E11950DF5096}
2281,ACEC004193,,Trapper/Northwater Creek ACEC,,"Colorado River Valley RMP, Roan Plateau Amendment",6290,2016/11/14 00:00:00+00,6290.95762562,CO,COG02000,"Trout fisheries, remnant vegeation associations (RVAs). This ACEC is shared between 2 Field Offices.",2016/12/07 15:37:19+00,2018/11/30 22:11:36+00,25458359.671412,107699.310684078,{9971586E-6798-4A89-931D-698B9A78BCEC}
2282,ACEC004194,,Magpie Gulch ACEC,,"Colorado River Valley RMP, Roan Plateau Amendment",4710,2016/11/14 00:00:00+00,4711.07613305,CO,COG02000,"Outstanding scenic quality, habitat and seclusion areas for many wildlife species, unfragmented late seral Douglas fir communities.",2016/12/07 15:40:17+00,2018/11/30 22:09:10+00,19065059.5390859,34790.7898112758,{5E8B8FAA-29E1-4BA5-AC20-37BFDE7345EE}
2283,ACEC004195,,East Fork Parachute Creek ACEC,,"Colorado River Valley RMP, Roan Plateau Amendment",7110,2016/11/14 00:00:00+00,7111.7026937,CO,COG02000,"Change to Hanging gardens, rare forest communities, core conservation population of Colorado River cutthroat trout.",2016/12/07 15:41:15+00,2020/04/20 18:56:12+00,28628398.2644408,103773.432738223,{046B3E7E-CB9D-4E9F-9EA6-2A3EB9E29639}
2284,ACEC004196,,Mount Logan Foothills ACEC,,Colorado River Valley RMP ,4000,2015/06/19 00:00:00+00,3968.955349,CO,COG02000,"Listed Plants: CO Hookless, DeBeque Phacelia, Parachute Penstemon. Sens plant: Naturita Milkvetch",2016/12/07 15:53:29+00,2020/04/20 20:12:07+00,15897636.2590194,47312.8478231139,{986DAEC6-B0D7-47B3-9BEB-30E500F2255F}
2285,ACEC004197,,Grand Hogback ACEC,,Colorado River Valley RMP ,4300,2015/06/19 00:00:00+00,4305.934128,CO,COG02000,"Scenic, Geologic, Cultural Values",2016/12/07 15:56:18+00,2018/11/28 23:20:09+00,17425497.1787609,23037.076457211,{69DD9D27-8FB2-4225-A21D-3DAD53ABD2F5}
2286,ACEC004198,,Glenwood Springs Debris Flow ACEC,,Colorado River Valley RMP ,6100,2015/06/19 00:00:00+00,6099.172199,CO,COG02000,"Debris Flow, Mass Wasting, Public Hazard, CRCT",2016/12/07 15:59:44+00,2018/11/28 23:20:09+00,24691807.9444847,71117.2523068227,{7C16EDFC-972D-4060-95DA-36FD7F934976}
2287,ACEC004199,,Thompson Creek ACEC,,Colorado River Valley RMP ,3600,2015/06/19 00:00:00+00,3548.491942,CO,COG02000,"Scenic, Geologic, Historic, Botanical, Ecological Values",2016/12/07 16:02:19+00,2018/11/28 23:20:09+00,14329002.9228465,20250.9232290397,{0C37A1F4-2C52-4B14-9623-9EA1A7D79597}
2288,ACEC004200,,Deep Creek ACEC,,Colorado River Valley RMP ,4300,2015/06/19 00:00:00+00,4422.46738396,CO,COG02000,Protects outstanding scenic and geologic values. Also protects a high concentration of cave and karst resources.,2016/12/07 18:55:15+00,2019/02/21 16:53:44+00,17897090.5357019,30441.9346673407,{56C12E87-BEE1-4F8C-B416-BDA5E6BC1DB5}
2289,ACEC004201,,Lyons Gulch ACEC,,Colorado River Valley RMP ,400,2015/06/19 00:00:00+00,429.487866,CO,COG02000,Large undisturbed pop of Harrington's Penstemon,2016/12/07 18:58:04+00,2018/11/28 23:20:10+00,1735822.82578133,9192.23130701598,{A1A2ADC6-839D-4A91-8E3C-DF45C6A3A392}
2290,ACEC004202,,Sheep Creek Uplands ACEC,,Colorado River Valley RMP ,3900,2015/06/19 00:00:00+00,3905.396072,CO,COG02000,High concentration of Harrington's Penstemon,2016/12/07 19:08:16+00,2018/11/28 23:20:10+00,15801184.4052475,39140.9219022857,{FB131AC4-30DB-49F8-8B66-AEB1580D5BF4}
2291,ACEC004203,,Bull Gulch ACEC,,Colorado River Valley RMP ,10400,2015/06/19 00:00:00+00,10366.520848,CO,COG02000,"Scenic Qualities, Small pop of Harrington penstemon",2016/12/07 19:15:48+00,2020/04/20 19:47:18+00,41969395.5209959,38580.3039882544,{CEAE7961-D717-4D91-A790-73A2F9C96136}
2292,ACEC004204,,McCoy Fan Delta ACEC,,Colorado River Valley RMP ,1500,2015/06/19 00:00:00+00,1524.387426,CO,COG02000,Geologic and Paleontological values associated with Fluvial and marine depositional events.,2016/12/07 19:19:26+00,2020/04/20 19:07:20+00,6144985.0278991,17014.682146379,{1102B4D3-8045-4D9F-82BD-67DD4E6D940F}
2294,ACEC004206,,Hardscrabble - East Eagle ACEC,,Colorado River Valley RMP ,4200,2015/06/19 00:00:00+00,4153.14476407,CO,COG02000,Core pop of Harrington's Penstemon,2016/12/07 19:32:30+00,2020/04/20 20:07:55+00,16800638.1134083,27558.4294169795,{320C3DA9-6DF3-4A7C-A31B-E7A9D62CEA51}
2295,ACEC004043,,Mosquito Pass ACEC,,Royal Gorge RMP,4036,1996/04/16 00:00:00+00,4173.73592612,CO,COF02000,,2016/12/21 22:52:51+00,2019/04/24 21:21:43+00,16943580.9568598,78470.3857514275,{CEA5FCD7-074F-4D80-8C9B-E32C21F5BB05}
2296,ACEC004016,,Cucharas Canyon ACEC,,Royal Gorge RMP,1866,1996/04/16 00:00:00+00,1404.93572825,CO,COF02000,,2016/12/21 22:52:51+00,2018/11/28 23:19:44+00,5685573.1749117,23761.3503421459,{4ABC3385-61B6-45FC-820F-22E2381D3BC7}
2297,ACEC004005,,Arkansas Canyonlands ACEC,,Royal Gorge RMP,23921,1996/04/16 00:00:00+00,23707.29753851,CO,COF02000,River-related recreation (whitewater boating and fishing) is an important public use within the ACEC . The spectacular river canyon that makes up the heart of the ACEC offers scenic vistas.,2016/12/21 22:52:51+00,2018/11/30 22:13:12+00,95940029.8205903,102994.212231406,{6F040AE1-5B76-4326-AD7D-7745915792EE}
2298,ACEC004020,,Droney Gulch ACEC,,Royal Gorge RMP,705,1996/04/16 00:00:00+00,674.25994497,CO,COF02000,Protects the BLM sensitive species plant Brandegee's wild Buckwheat (Erigonum brandegei).,2016/12/21 22:52:51+00,2018/11/30 22:19:21+00,2728633.18838992,8835.72489162121,{7068E512-9C3B-4B03-A176-8C3A06AC97B8}
2299,ACEC004049,,Phantom Canyon ACEC,,Royal Gorge RMP,6096,1996/04/16 00:00:00+00,6401.76819792,CO,COF02000,,2016/12/21 22:52:51+00,2022/10/07 17:44:34+00,25889047.2905143,68702.1922291725,{D7C96212-3EE6-4B6D-94FE-FD0A8C658CC9}
2302,ACEC004031,,Grape Creek ACEC,,Royal Gorge RMP,15978,1996/04/16 00:00:00+00,16558.33152246,CO,COF02000,,2016/12/21 22:52:51+00,2018/11/28 23:19:45+00,67009190.0931311,100196.891146615,{00001B9B-A13D-43F0-BE83-EAF67E5B4F7E}
3095,ACEC004222,ACED-OBJ-02,Escalante Canyon ACEC,,Dominguez-Escalante NCA RMP,2281,2017/01/09 00:00:00+00,2281.52036592,CO,COG03000,"Protects unique and sensitive plant, fish and wildlife resources.",2017/01/12 16:25:53+00,2021/04/12 15:26:29+00,9232985.35880626,16625.5431540565,{9B7BDEBD-F37A-4388-8AB7-7AE23FC60FAF}
3097,ACEC004221,ACEC-OBJ-03,Gibbler Mountain ACEC,,Dominguez-Escalante NCA RMP,1310,2017/01/09 00:00:00+00,1265.5582794,CO,COG01000,Unique and sensitive paleontological and rare plant resources.,2017/01/12 17:37:24+00,2021/12/16 19:18:10+00,5121532.65091369,11359.5984940458,{9ADD389D-7D73-4B3E-8CAD-4E86B1D375C2}
3099,ACEC004223,ACEC-OBJ-01,Gunnison gravels,,Dominguez-Escalante NCA RMP,15,2017/01/09 00:00:00+00,15.33402589,CO,COG01000,Rare geologic feature,2017/01/12 18:45:42+00,2021/12/16 19:18:10+00,62054.60204151,1149.39680843006,{9FAF8943-1178-4FD6-AF62-DFACA4481AA4}
3504,ACEC004220,ACEC-OBJ-04,River Rims ACEC,,Dominguez-Escalante NCA RMP,5405,2017/01/09 00:00:00+00,5313.82075199,CO,COG03000,Unique and sensitive rare plants and paleontological resources on the benches and slopes above Gunnison River.,2017/02/14 15:13:12+00,2021/04/12 15:26:33+00,21454727.2809333,67324.9308435775,{168D9602-80CA-4CB7-8314-BCFEE39C476B}
3902,ACEC004224,,McElmo ACEC/RNA,,CANM RMP ,427,2010/05/14 00:00:00+00,431.83545695,CO,COS07000,Herptological research area. Also outdoor classroom.,2017/04/10 20:56:39+00,2018/11/28 23:11:25+00,1747576.09238305,6151.82739826077,{CBB35037-30C7-4B1C-B87D-55678D80C35C}
4705,ACEC004007,,Beaver Creek ACEC,,Royal Gorge RMP,12081,1996/04/16 00:00:00+00,12137.38690325,CO,COF02000,,2019/04/23 20:40:08+00,2022/10/07 17:44:34+00,49388237.0691954,81226.437978196,{9792EA07-6A7D-456E-9F6C-E03D74D3D03E}
4745,ACEC004190,,Mesa Verde Escarpment ACEC,,ACEC RMP Amendment,7420,2020/01/29 00:00:00+00,7419.61904315,CO,COS01000,RMP Amendment 2020,2020/04/20 19:31:36+00,2020/10/26 14:57:37+00,30026132.9765467,70722.7776547759,{779E9521-0209-4F4B-A011-16E950AC4210}
4746,ACEC004191,,Gypsum Valley ACEC,,Tres Rios Acec Amendment,6170,2020/01/29 00:00:00+00,6170.50731664,CO,COS01000,RMP Amendment 2020,2020/04/20 19:02:52+00,2020/08/19 21:38:09+00,24971157.1638337,65712.6147842183,{85420B35-833E-414D-8666-AD731C5BFB8A}
4747,ACEC004044,,Ancestral Puebloan ACEC,,ACEC RMP Amendment,801,2020/01/29 00:00:00+00,801.31308477,CO,COS01000,RMP Amendment 2020,2020/04/20 19:24:33+00,2020/08/19 21:38:13+00,3242799.00344295,15220.4386799182,{C8BCB64E-98B3-443E-9F1F-5135A1617637}
4748,ACEC004225,,Paradox Rock Art,,Uncompahgre Field Office Resource Management Plan,1080,2020/04/02 00:00:00+00,1082.78637356,CO,COS05000,,2020/04/08 18:49:07+00,2020/05/20 22:26:07+00,4381880.98991489,16787.7528091455,{67107821-51F2-481F-AA5A-1D6C48473C4C}
