UID,SITE_ID.x,BENT_MMI_COND,MMI_BENT,VISIT_NO.x,AGGR_ECO9_2015,STRAHLERORDER,CHIRDOM1PIND,CHIRDOM3PIND,CHIRDOM5PIND,DOM1PIND,DOM3PIND,DOM5PIND,EPT_NTAX,EPT_PIND,EPT_PTAX,LRBS_USE,L_XFC_NAT,L_XCMGW,W1_HALL,MAFLOWU,MAFLOWV,NHDWAT_NADP2009_MEAN_NH4,NHDWAT_NADP2009_MEAN_NO3,NHDWAT_NADP2009_MEAN_SO4,NHDWAT_NADP2009_MEAN_TOTALN,NHDWAT_ELEV,NHDWAT_SLOPE,NHDWAT_PCT_CANOPY,NHDWAT_PCT_IMPERV,NHDWAT_POPDENKM,RDDEN,NHDWAT_PCT_SAND,TMAX_ANN,TMIN_ANN,WSAREA_NARS,PCT_AG,PCT_URB,PCT_FOR,PCT_WET,PCT_SHRUB_GRASS
15422,FW08NC012,Fair,35.82,1,SAP,1st,26.92,57.69,73.08,16.19,30.48,41.9,13,36.65,32.5,-1.089334366,-0.373006768,0.284635783,0.0,1.23204,-9999.0,2.6812379,7.5045686,11.064601,3.7772365,535.646,16.647,92.524,0.0,0.0,0.0,49.748,20.96,7.2,1.039499998,0.0,0.0,98.615,1.126,0.26
14633,FW08MT111,Fair,53.63,1,NPL,1st,34.55,65.45,85.45,19.39,37.24,51.02,7,10.67,19.44,-1.017010518,-0.304200043,-0.659375643,1.742440909,1.28265,-9999.0,1.0703384,1.7009885,1.7892631,1.2153603,1494.25,13.622,29.234,0.012,0.0,0.098,56.73,10.67,-2.07,5.076900005,0.0,0.0,34.498,0.656,64.846
14771,FW08KY025,Fair,38.73,1,SAP,1st,30.91,52.73,67.27,16.3,33.33,44.81,13,37.0,24.53,-0.767218496,-0.051942868,0.108134329,0.0,1.71893,1.66507,2.1400793,8.2670698,9.4439125,3.5292811,437.743,15.179,90.609,0.0,0.0,2.992,25.399,18.89,6.88,0.471599996,0.0,0.0,98.664,0.0,1.336
14385,FW08OK013,Fair,31.72,1,SPL,1st,39.29,76.79,89.29,33.56,65.41,82.19,1,19.33,4.35,-2.309225747,-2.0,-0.600483603,0.697,1.75672,-9999.0,3.177655339,7.960138321,7.857267618,4.265612602,324.297,2.336,5.782,2.726,102.481,1.976,26.726,23.31,9.49,10.08860016,28.602,11.518,9.492,0.0,48.952
13389,FW08MO008,Fair,26.22,1,TPL,3rd,57.14,90.48,97.62,44.44,70.37,81.48,3,12.7,23.08,-1.624532661,-0.537602002,-0.132237975,0.450015,1.76371,12.35541,4.911028028,9.332495213,9.880828381,5.921574712,288.474,5.234,27.346,0.34,0.935,1.202,34.229,17.09,5.26,32.61489868,61.341,4.311,26.416,0.373,7.134
13937,FW08ID078,Fair,48.53,1,WMT,1st,25.0,66.67,91.67,24.63,45.59,58.46,19,68.67,43.18,-1.652153847,0.174310956,0.101543998,1.060659091,1.78725,-9999.0,0.803358734,1.872234941,1.334231615,1.046737909,1325.7,16.459,59.732,0.258,0.0,1.137,44.0,13.13,0.38,2.560060024,0.0,0.0,92.583,0.0,7.417
10875,FW08NV006,Fair,50.47,1,XER,2nd,53.85,92.31,34.33,44.06,76.24,86.14,7,48.0,33.33,-1.499653852,-0.304200043,-0.201914638,0.734881818,1.96056,6.00992,1.08400019,1.855191429,1.59467415,1.260803064,2329.94,22.662,9.376,0.006,1.556,0.007,36.0,12.88,-1.02,22.83609962,0.0,0.0,2.782,0.0,97.219
11297,FW08MN040,Fair,22.92,1,UMW,2nd,47.92,71.88,84.38,32.86,49.29,65.0,5,10.0,16.67,-1.988854127,-0.46692734,-0.075074923,2.1562875,2.14909,-9999.0,3.752378702,6.753384113,5.986544609,4.439273834,389.443,1.02,1.809,0.585,1.762,1.097,17.013,12.5,0.92,11.85910034,85.955,4.204,1.525,0.0,8.316
12017,FW08ND033,Fair,43.67,1,NPL,4th,14.29,39.29,60.71,60.4,76.51,80.54,6,6.67,18.18,-1.459840196,-0.596567486,-0.783714109,0.962131818,2.41509,20.7094,1.741931726,3.041609991,2.157605895,2.039692319,640.218,2.676,1.824,0.306,2.242,1.155,32.774,12.2,-1.23,516.0089722,47.146,4.135,1.734,2.716,42.024
11005,FW08OR004,Fair,38.3,1,WMT,2nd,29.09,58.18,75.45,11.51,30.22,46.04,10,32.0,23.26,-1.369741625,-0.317116815,-0.094572114,1.484868182,2.47784,-9999.0,0.484305481,1.565283259,1.35960718,0.729655842,1334.94,15.126,18.939,0.039,0.0,0.224,27.618,18.95,2.74,19.2696991,0.504,0.388,29.525,0.0,69.582
15315,FW08MN093,Fair,35.87,1,TPL,2nd,50.0,69.57,82.61,17.69,45.0,61.92,5,10.0,13.16,-1.652860285,-0.206654167,-1.039767127,1.507581818,2.58086,-9999.0,3.348916451,5.848626614,5.08414189,3.921604792,378.711,0.496,0.771,0.455,3.466,1.384,26.516,12.71,1.02,11.32149982,93.271,4.724,0.509,0.0,1.495
11051,FW08OR069,Fair,48.08,1,WMT,1st,20.0,51.76,72.94,8.63,24.37,35.03,16,26.67,33.33,-1.316070405,-0.697000411,-0.403153094,0.0,3.0825,-9999.0,0.430813447,1.409114897,0.878284127,0.652841389,1442.95,5.745,48.19,0.116,0.0,2.275,26.531,12.34,-0.65,13.35149956,0.0,0.0,70.051,1.867,28.083
11469,FW08MD001,Fair,41.87,1,CPL,2nd,30.12,62.65,74.7,41.67,57.58,68.18,6,8.0,15.79,-1.714152944,-0.677780705,0.025771198,0.0,3.60837,3.70565,2.688732862,8.588793755,12.21261978,4.027982712,36.129,3.815,65.072,2.394,43.639,2.825,11.19,19.41,8.13,6.288239956,3.133,15.446,76.588,3.204,1.63
15537,FW08NY011,Fair,41.42,1,NAP,1st,41.61,59.85,71.53,22.18,36.58,46.69,15,15.67,27.78,-1.299812116,-0.489942687,-0.387216143,0.583336364,3.72308,-9999.0,3.0478714,8.2981195,10.983651,4.2411871,481.014,9.348,79.896,0.049,10.286,0.948,39.781,13.79,2.01,3.818700075,1.037,0.966,91.774,2.168,4.053
11232,FW08IA005,Fair,34.15,1,TPL,2nd,30.38,59.49,82.28,17.2,37.28,51.97,6,10.67,17.65,-1.456334716,-1.146523031,-0.29827506,0.0,3.76359,13.84501,3.869735267,5.766078684,4.840584013,4.307367908,417.253,0.866,0.106,0.56,4.75,1.248,35.521,13.77,1.81,63.56169891,92.46,6.136,0.034,0.082,1.195
11249,FW08IA048,Fair,28.92,1,TPL,2nd,39.91,74.12,89.04,34.6,64.26,77.57,5,4.67,20.83,-1.504644022,-0.577499695,-0.675436962,1.5,4.03563,-9999.0,5.12206157,8.970175425,8.85566775,6.003592014,327.727,3.802,19.615,0.754,18.54,1.138,21.301,15.79,4.1,18.3946991,62.028,4.408,21.816,0.102,11.288
15303,FW08MN065,Fair,23.08,1,UMW,2nd,32.32,58.59,68.69,26.21,47.93,61.03,5,10.33,11.11,-1.941575574,-0.55923399,-0.010085231,0.090913636,4.16498,-9999.0,3.237193902,4.925072352,3.987062693,3.626222531,298.166,0.69,3.076,0.675,3.809,1.379,35.861,13.03,1.36,27.41810036,92.042,4.032,2.793,0.279,0.853
13809,FW08AL036,Fair,45.82,1,CPL,1st,25.0,46.88,60.94,14.55,28.18,40.91,3,8.4,8.33,-1.744683724,-0.641718964,0.02390687,0.143940909,5.03514,-9999.0,2.58541739,8.139962196,10.9073844,3.846368194,162.508,3.99,62.225,0.526,12.626,1.94,45.107,22.78,8.94,5.940000057,9.075,6.395,61.954,2.167,20.303
12339,FW08TX088,Fair,28.77,1,SPL,2nd,58.33,91.67,4.76,32.63,64.91,78.95,1,0.34,3.85,-1.584533883,-0.361510743,-0.751915218,1.530304545,5.05635,-9999.0,1.902472496,4.530043019,6.588458326,2.500587622,419.067,5.096,29.813,0.044,0.3,0.444,49.591,25.86,12.39,53.48600006,0.138,0.128,45.448,0.0,54.287
15467,FW08NC102,Fair,36.05,1,SAP,2nd,50.0,5.0,5.0,17.65,39.22,58.82,7,36.67,31.82,-1.242195366,-0.641718964,-0.234534655,2.287895455,5.34035,-9999.0,2.503183126,7.411230564,11.13133526,3.617893696,761.659,18.021,66.819,0.18,30.689,1.151,61.546,19.26,5.6,5.807010174,16.636,3.736,76.528,0.0,3.101
11016,FW08OR008,Fair,45.12,1,WMT,1st,45.45,81.82,100.0,30.14,48.86,61.19,15,63.67,46.88,-1.530460556,0.055864624,0.106978572,0.845274675,5.65867,-9999.0,0.58798122,1.6125051,1.1735241,0.82082641,1616.36,11.368,59.537,0.594,0.0,3.087,26.169,11.72,1.44,4.315499783,0.0,3.545,80.73,0.0,15.725
13920,FW08DE049,Fair,42.87,1,CPL,2nd,35.51,57.94,74.77,33.97,53.44,61.83,5,12.67,12.2,-1.827889824,-0.23793557,-1.190134333,1.409159091,6.05325,5.36833,3.133502483,9.17608134,12.59271304,4.506010056,19.236,0.599,19.683,0.423,39.713,1.257,29.12,18.74,7.27,10.10379982,68.958,4.46,14.386,11.466,0.73
11233,FW08IA008,Fair,36.62,1,TPL,3rd,30.93,66.49,79.9,21.58,50.0,66.91,3,15.67,8.33,-1.621376644,-0.827874927,-0.374173287,0.0,6.91144,-9999.0,5.531982708,9.003348351,7.893693924,6.329385376,341.953,1.536,0.81,1.058,3.87,0.974,43.506,13.58,2.22,33.09320068,91.271,5.996,0.258,0.364,2.072
11176,FW08IN003,Fair,33.4,1,TPL,2nd,83.16,93.88,96.43,58.01,69.75,77.22,3,10.0,8.57,-1.9604245,-0.749136614,-0.325598187,1.333340909,7.27438,8.5179,3.24972407,9.803770065,13.15983295,4.738049984,357.59,0.55,5.508,0.382,12.797,1.556,28.878,15.52,4.39,17.88439941,86.234,7.242,5.663,0.025,0.704
12841,FW08ID008,Fair,53.08,1,XER,3rd,52.74,86.3,91.78,27.5,60.36,69.64,10,23.0,26.32,-1.360699172,-0.368371778,-2.0,1.924263636,7.53872,6.98772,1.399613786,2.209403396,2.191257238,1.585890365,1948.34,8.503,5.701,0.23,0.0,0.916,32.59,14.73,-2.0,60.12549973,0.513,0.0,0.858,1.106,97.523
11890,FW08SD025,Fair,43.43,1,NPL,4th,30.91,59.09,80.91,50.68,67.91,78.04,3,53.67,12.5,-1.03358053,-0.449215928,-0.207449141,1.488101299,8.0718,23.35904,2.025308855,4.447662953,2.854908058,2.577359121,1287.02,8.681,26.376,0.427,3.403,0.856,33.266,16.0,1.24,621.4489746,2.65,1.981,48.053,0.792,46.441
14562,FW08WY081,Fair,38.5,1,WMT,2nd,51.91,70.23,85.5,25.66,46.42,61.51,13,41.0,34.21,-1.270394308,-0.449215928,-0.258025161,1.439418182,8.53073,7.8249,0.926760296,2.424922466,1.622262518,1.26741008,2658.62,10.968,56.054,0.029,0.0,0.032,53.138,8.63,-6.16,14.9368,0.0,0.0,75.429,2.857,21.714
15360,FW08TN028,Fair,42.8,1,CPL,2nd,28.57,51.95,71.43,18.18,42.42,54.11,6,10.57,15.0,-1.640729211,-0.534887652,0.155128918,0.0,9.21145,-9999.0,2.990915537,9.861577988,10.9578886,4.55014658,136.771,4.339,45.853,0.422,27.985,1.324,27.307,21.47,8.86,14.37759972,32.825,5.043,44.866,6.223,10.623
15062,FW08WI007,Fair,30.3,1,TPL,3rd,33.33,52.38,71.43,33.78,64.88,79.93,4,6.33,16.0,-2.267698319,-0.548632296,-0.252694148,0.424259091,10.77365,-9999.0,4.187444568,9.933061838,10.37372231,5.495387256,283.408,3.046,13.453,8.98,326.878,3.662,35.993,13.75,2.87,44.47499847,43.404,34.002,17.864,3.588,0.225
13789,FW08ND071,Fair,35.07,1,TPL,4th,17.54,43.86,64.91,37.4,60.69,68.7,4,34.0,12.12,-1.168679186,-0.55923399,-0.092124689,0.704554545,10.81467,9.52471,2.340942131,3.863535328,2.779456073,2.690490833,370.218,0.667,1.639,0.329,2.447,1.367,35.946,11.14,-0.98,3308.090088,83.128,4.493,1.216,7.355,2.488
15073,FW08WI019,Fair,27.63,1,UMW,3rd,35.48,80.65,90.32,35.02,71.72,81.82,6,43.33,25.0,-1.607177001,-0.633152719,-0.023941956,0.992463636,10.93791,-9999.0,3.920631329,7.49860398,6.714921633,4.738265753,299.081,9.447,46.615,0.552,6.2,1.025,42.043,13.39,1.33,39.34420013,39.19,3.768,56.109,0.002,0.862
15433,FW08AR146,Fair,34.28,1,SAP,2nd,32.88,71.23,83.56,14.17,36.44,54.25,10,27.07,25.0,-1.441514841,-0.406915415,-0.041501273,1.090963636,12.75132,-9999.0,3.16460832,9.501678149,12.82718182,4.603715738,136.612,2.684,66.606,0.49,0.452,1.523,43.322,23.1,10.0,20.34280014,0.0,4.386,73.864,0.097,21.653
15074,FW08WI020,Fair,36.33,1,UMW,2nd,33.33,66.67,91.67,39.18,71.13,82.13,9,23.33,33.33,-1.173547748,-0.771879741,-0.447829733,0.0,12.75627,-9999.0,2.114308739,5.030832291,4.281948376,2.778204679,498.024,1.338,50.54,0.542,10.753,0.907,70.517,10.46,-1.85,33.54550171,11.369,3.291,35.059,42.055,2.506
15096,FW08WI077,Fair,35.5,1,UMW,3rd,30.77,69.23,92.31,63.0,85.0,89.67,4,22.67,19.05,-2.013355627,-0.727525465,-0.095186131,0.0,14.61014,-9999.0,3.926583343,7.460400316,6.694684823,4.734257062,290.21,10.961,49.744,0.432,11.45,0.951,34.256,13.48,1.89,52.15439987,36.951,2.442,59.26,0.11,1.206
12239,FW08WY061,Fair,44.0,1,NPL,4th,50.88,68.42,80.7,21.4,52.84,70.31,5,25.33,15.62,-1.02819719,-0.612448395,-0.877039828,1.666681818,16.56861,5.16771,1.207258659,3.752028545,2.576878224,1.785007541,1774.94,6.346,0.396,0.454,0.131,0.36,31.64,15.52,-0.75,241.9140015,0.0,0.0,2.267,1.236,94.978
11509,FW08MT008,Fair,51.98,1,NPL,4th,24.0,46.67,62.67,17.2,43.01,60.22,5,19.67,19.23,-1.226009411,-1.485090181,-2.0,2.000031818,16.65312,6.90007,0.877792656,2.033420966,1.578042667,1.140946972,1540.43,5.169,4.789,0.202,0.189,0.481,37.033,14.34,-0.98,211.3269958,1.682,0.457,5.847,1.125,90.84
12032,FW08ND052,Fair,54.93,1,NPL,5th,30.1,66.02,78.64,17.78,44.0,56.0,4,18.0,12.12,-1.106458445,-1.106894235,-0.730168774,1.5,16.84929,93.56435,1.374876542,2.734318301,2.105453654,1.685260432,788.112,1.839,0.253,0.32,0.955,1.141,34.055,12.77,-1.05,3335.550049,69.572,3.758,0.165,0.692,25.509
11017,FW08OR009,Fair,45.77,1,WMT,1st,38.46,69.23,84.62,30.53,63.16,69.82,19,77.0,45.24,-1.032475641,-0.46620484,0.138230908,0.030304545,18.17669,-9999.0,0.823426664,1.974968672,2.61514473,1.085528016,694.45,17.132,70.859,0.037,0.0,0.191,28.405,14.53,4.64,6.377399921,0.0,0.635,79.665,0.0,19.701
12024,FW08ND022,Fair,45.02,1,NPL,6th,31.48,72.22,92.59,34.42,55.07,69.57,6,34.33,24.0,-1.262004491,-0.480888271,-0.548632296,1.189436364,18.55301,95.30241,1.335609315,2.674209969,2.083526166,1.641191359,690.419,2.993,0.872,0.263,0.822,0.968,30.488,12.34,-1.6,3158.459961,32.442,2.148,1.306,0.635,63.203
13146,FW08KS045,Fair,35.38,1,SPL,4th,30.0,60.0,75.0,61.15,76.01,82.09,8,25.33,29.63,-1.34152575,-1.132907664,-0.743632175,2.1667,18.7694,22.77743,3.022345657,5.626204247,6.061117937,3.617780771,615.326,2.605,0.7,0.122,0.288,0.882,40.629,21.81,6.4,533.2340088,17.49,3.037,0.726,0.508,77.938
13778,FW08ND046,Fair,51.23,1,NPL,6th,31.46,55.06,68.54,47.83,62.68,70.65,7,6.0,20.59,-1.68036095,-1.485090181,-1.67032483,0.121218182,19.17908,83.26056,1.298011666,2.637072638,2.074616824,1.603607832,790.502,2.057,0.396,0.734,7.246,1.417,32.164,12.5,-1.25,3005.51001,53.404,4.749,0.212,0.999,40.039
14439,FW08OK052,Fair,29.25,1,SPL,5th,44.12,73.53,94.12,32.61,54.35,65.22,5,11.34,21.74,-1.759213555,-1.016086822,-0.59852113,0.401531818,21.93255,25.26748,3.010247346,6.15324517,6.151470645,3.72744501,566.175,1.469,1.323,1.147,23.26,1.907,27.064,22.93,8.78,506.7070007,39.143,7.109,1.743,0.049,51.404
13788,FW08ND020,Fair,31.68,1,TPL,5th,22.0,62.0,88.0,58.08,67.7,74.57,6,16.33,20.69,-1.586747434,-1.160579093,-1.037071311,0.68185,23.76134,26.3493,2.944058078,4.53270545,3.32503878,3.309969838,407.69,1.079,0.88,0.239,1.404,1.238,33.59,12.17,-0.52,1581.650024,66.367,3.503,1.228,7.677,17.258
12229,FW08WY046,Fair,47.18,1,NPL,6th,37.5,70.83,87.5,23.73,54.24,66.95,5,21.21,19.23,-1.246327339,-1.160579093,-0.600483603,2.0758,26.0233,92.77558,1.164479981,2.901938936,1.934745159,1.559755067,1429.05,4.878,11.11,0.318,1.755,0.61,34.087,16.34,0.18,3544.959961,0.239,0.849,21.96,0.966,75.723
14620,FW08MT056,Fair,49.48,1,NPL,2nd,28.21,64.1,82.05,20.36,40.72,54.75,6,32.52,20.0,-0.914865373,-0.119186408,-1.455931956,1.545454545,27.11954,-9998.0,1.083215532,2.141390951,1.83705547,1.32484628,840.052,2.98,0.368,0.196,0.0,0.016,33.008,11.7,-2.76,859.7449951,0.658,0.081,0.019,0.032,13.164
14951,FW08KS031,Fair,28.67,1,TPL,4th,30.91,56.36,78.18,24.47,51.6,62.77,3,19.72,10.34,-2.143945532,-0.151530964,-0.334035451,1.909186364,27.45095,39.94312,4.875205642,10.26468689,11.52571683,6.104341156,331.376,2.074,7.895,0.671,8.054,1.363,11.614,19.84,7.2,135.4360046,56.744,5.313,9.098,0.412,27.75
12105,FW08NM069,Fair,31.65,1,SPL,4th,65.29,93.39,96.69,27.05,65.07,84.59,6,39.67,28.57,-1.568902972,-0.912670402,-0.257132103,1.924259091,28.86677,19.68322,0.939042664,3.098267761,1.992721325,1.429055954,2279.17,6.952,27.98,0.085,1.572,0.625,31.243,18.61,0.04,713.6610107,1.393,0.502,41.229,0.801,55.281
11823,FW08ME009,Fair,53.98,1,NAP,3rd,20.0,45.71,62.86,25.0,39.77,50.38,21,27.67,38.89,-1.322134507,0.124000042,-0.142530437,0.939440909,29.88989,-9998.0,0.994745115,3.541242599,4.567945639,1.572376291,220.393,3.32,44.045,0.66,4.994,0.831,38.922,9.7,-1.44,37.63949966,26.872,3.329,32.046,6.808,2.533
11083,FW08CO006,Fair,47.25,1,XER,3rd,41.11,82.22,86.67,13.81,38.06,54.85,9,17.0,25.0,-1.648776332,-0.003567934,-1.064540721,1.303095455,33.68926,25.70748,0.797720274,3.663355529,2.468434572,1.446973836,2525.51,16.765,51.611,0.196,0.431,0.818,38.614,15.92,0.16,112.0279999,0.563,1.109,83.649,0.702,13.948
12060,FW08NE021,Fair,33.6,1,SPL,3rd,0.0,0.0,0.0,38.1,90.48,100.0,2,57.14,40.0,-1.557852646,-0.687284247,-0.224488846,1.575759091,33.97997,64.82634,3.111059802,5.352969891,3.513219109,3.624942716,1143.0,3.877,0.607,0.177,0.16,0.955,91.642,16.6,1.21,1639.589966,0.321,0.102,0.137,6.216,92.066
12340,FW08TX019,Fair,52.12,1,CPL,2nd,28.57,71.43,100.0,21.05,39.47,50.0,7,33.33,31.82,-1.722378947,-0.255351475,0.201893461,0.1894,41.64753,122.57843,2.987302905,7.934368974,11.9254144,4.111984775,73.545,2.069,58.401,0.802,16.57,0.998,57.797,25.61,12.77,119.4499969,2.363,6.052,31.289,28.87,30.219
14756,FW08KY004,Fair,44.42,1,SAP,3rd,27.96,63.44,77.42,26.43,43.21,55.0,11,37.67,25.0,-0.764850968,-0.659375643,0.03950425,0.386368182,43.04221,35.54163,3.061241845,8.929705779,12.44780485,4.394244194,256.255,8.078,34.004,2.227,39.797,1.863,9.683,18.57,6.34,80.36910248,39.391,9.329,47.038,0.0,4.199
13602,FW08ND038,Fair,46.62,1,NPL,6th,63.64,92.42,96.97,47.73,69.32,82.95,5,9.09,29.41,-0.899588159,-0.958607315,-0.827874927,0.878809091,47.55564,180.17722,1.397515465,2.730424395,2.095466149,1.701959703,666.317,2.783,1.02,0.333,1.924,1.071,35.2,12.23,-1.2,6432.720215,36.194,2.992,1.384,1.169,57.712
12064,FW08NE012,Fair,43.03,1,NPL,4th,25.0,75.0,8.51,27.66,48.94,65.96,4,25.53,23.53,-1.490422626,-0.430200625,-0.453401258,0.0,53.91636,65.44914,2.820387659,4.987753138,3.242692681,3.316736266,1045.38,3.706,0.54,0.137,0.13,0.688,91.049,16.07,1.43,3128.219971,0.25,0.167,0.317,6.688,90.355
15247,FW08TX067,Fair,31.38,1,SPL,4th,29.63,62.96,81.48,51.02,71.09,79.25,2,55.67,7.69,-1.567525655,-0.628092922,-0.217918456,3.030318182,60.36741,65.72498,1.426487136,3.668758554,4.662611039,1.936425591,607.825,1.195,4.296,0.365,5.901,0.655,23.602,25.65,11.01,1544.630005,4.584,4.607,2.108,0.001,88.264
13953,FW08KS025,Fair,28.38,1,SPL,6th,26.83,65.85,85.37,33.69,56.63,70.97,5,12.33,16.67,-1.479135018,-0.701941243,-0.403153094,1.00005,66.80078,495.94506,3.554283146,5.21978113,4.145736705,3.939013772,890.448,1.486,0.413,0.365,2.635,1.073,18.033,19.71,5.93,19561.09961,52.407,3.703,0.251,0.44,42.649
14336,FW08IA065,Fair,39.23,1,TPL,4th,23.08,69.23,84.62,8.82,26.47,44.12,4,16.22,19.05,-1.539228636,-0.44096436,-0.04751577,0.0,114.73099,121.57703,5.267511504,9.428437493,9.914231251,6.220053951,245.244,3.221,4.229,1.444,11.206,1.323,13.52,15.84,4.47,461.7720032,76.381,7.296,2.644,1.4,12.162
14425,FW08OK024,Fair,21.45,1,SPL,6th,100.0,8.7,8.7,26.09,65.22,86.96,4,52.17,57.14,-1.56157426,-0.907853776,-0.24742778,0.863659091,115.23028,137.61956,2.859498163,5.28248271,5.134312964,3.413684585,673.132,2.638,0.76,0.194,1.302,0.908,39.709,22.76,8.63,4023.27002,9.268,2.653,0.81,0.051,86.188
15400,FW08RI016,Fair,51.4,1,NAP,4th,32.79,62.3,77.05,14.66,32.33,43.98,17,39.0,33.33,-0.959657263,-0.072443004,0.171393992,0.106063636,118.24786,119.20283,2.160865995,9.431264107,10.79547904,3.808413368,108.525,3.762,73.296,2.03,36.452,1.424,65.842,15.68,4.46,154.7779999,4.436,9.123,70.996,12.755,0.827
12237,FW08WY055,Fair,49.28,1,XER,4th,74.14,85.63,94.25,58.37,71.04,80.09,5,14.67,25.0,-1.079628869,-1.190134333,-1.911058926,1.469713636,120.87845,59.51644,1.436830419,5.647581437,3.849168347,2.391473126,2219.04,3.13,2.097,0.172,0.006,0.448,47.559,12.78,-3.25,992.9349976,0.298,0.156,2.794,0.714,95.742
15584,FW08OH040,Fair,35.9,1,TPL,4th,13.39,35.43,54.33,23.08,38.8,49.16,2,2.0,5.41,-1.666981637,-0.727525465,0.018265381,0.940861255,137.33324,158.02813,3.200226123,7.814870287,11.17873349,4.250322683,277.063,0.545,8.689,0.553,9.206,1.426,19.19,15.51,4.42,468.25,83.883,5.353,8.08,0.557,1.329
