ENROLLMENT ID - BUYER,ENROLLMENT STATE - BUYER,PROVIDER TYPE CODE - BUYER,PROVIDER TYPE TEXT - BUYER,NPI - BUYER,MULTIPLE NPI FLAG - BUYER,CCN - BUYER,ASSOCIATE ID - BUYER,ORGANIZATION NAME - BUYER,DOING BUSINESS AS NAME - BUYER,CHOW TYPE CODE,CHOW TYPE TEXT,EFFECTIVE DATE,ENROLLMENT ID - SELLER,ENROLLMENT STATE - SELLER,PROVIDER TYPE CODE - SELLER,PROVIDER TYPE TEXT - SELLER,NPI - SELLER,MULTIPLE NPI FLAG - SELLER,CCN - SELLER,ASSOCIATE ID - SELLER,ORGANIZATION NAME - SELLER,DOING BUSINESS AS NAME - SELLER
O20151223000003,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1487025078,N,105687,749581445,SOLARIS HEALTHCARE PARKWAY LLC,SOLARIS HEALTHCARE PARKWAY,CH,CHANGE OF OWNERSHIP,01/01/2016,O20101104000277,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1639488968.0,N,105687,1254525181.0,PARKWAY REHAB LLC,PARKWAY HEALTH AND REHABILITATION CENTER
O20151223000073,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1649641234,N,105515,6800197500,SOLARIS HEALTHCARE PLANT CITY LLC,SOLARIS HEALTHCARE PLANT CITY,CH,CHANGE OF OWNERSHIP,01/01/2016,O20101104000691,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1104135243.0,N,105515,7315131281.0,PLANT CITY REHAB LLC,THE HEALTH CENTER OF PLANT CITY
O20151223001358,AL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1790158418,N,015016,9133420763,ATHENS HEALTH AND REHABILITATION LLC,,CH,CHANGE OF OWNERSHIP,01/01/2016,O20111128000618,AL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1780978593.0,N,015016,1052415031.0,"BEST HEALTH, LLC",ATHENS REHABILITATION CENTER AND SENIOR CARE
O20151228000004,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1053782524,N,105790,5294036851,SOLARIS HEALTHCARE NORTH NAPLES LLC,SOLARIS SENIOR LIVING NORTH NAPLES,CH,CHANGE OF OWNERSHIP,01/01/2016,O20101103000741,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1902115041.0,N,105790,345434395.0,ARISTOCRAT REHAB LLC,THE ARISTOCRAT
O20151228000112,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1528439114,N,105979,8527369180,SOLARIS HEALTHCARE COCONUT CREEK LLC,SOLARIS HEALTHCARE COCONUT CREEK,CH,CHANGE OF OWNERSHIP,01/01/2016,O20101103001435,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1093024317.0,N,105979,3173717188.0,COCONUT CREEK REHAB LLC,THE HEALTH CENTER OF COCONUT CREEK
O20151228000310,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1770954364,N,105769,1658672225,SOLARIS HEALTHCARE LAKE CITY LLC,SOLARIS HEALTHCARE LAKE CITY,CH,CHANGE OF OWNERSHIP,01/01/2016,O20101104000075,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1285943324.0,N,105769,4385838291.0,LAKE CITY REHAB LLC,THE HEALTH CENTER OF LAKE CITY
O20151228000443,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1194196782,N,105561,143521716,SOLARIS HEALTHCARE PENSACOLA LLC,SOLARIS HEALTHCARE PENSACOLA,CH,CHANGE OF OWNERSHIP,01/01/2016,O20101104000434,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1477862514.0,N,105561,9032303979.0,PENSACOLA REHAB LLC,THE HEALTH CENTER OF PENSACOLA
O20151228001131,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1275904864,N,105859,9436450020,SOLARIS HEALTHCARE CHARLOTTE HARBOR LLC,SOLARIS HEALTHCARE CHARLOTTE HARBOR,CH,CHANGE OF OWNERSHIP,01/01/2016,O20101103001388,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1467761783.0,N,105859,749474757.0,CHARLOTTE HARBOR REHAB LLC,CHARLOTTE  HARBOR HEALTHCARE
O20151228001479,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1053782649,N,105915,7618278110,SOLARIS HEALTHCARE DAYTONA LLC,SOLARIS HEALTHCARE DAYTONA,CH,CHANGE OF OWNERSHIP,01/01/2016,O20101103001451,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1376852418.0,N,105915,8527252436.0,DAYTONA REHAB LLC,THE HEALTH CENTER OF DAYTONA BEACH
O20151228001988,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1043681620,N,105544,7315248820,SOLARIS HEALTHCARE BAYONET POINT LLC,SOLARIS HEALTHCARE BAYONET POINT,CH,CHANGE OF OWNERSHIP,01/01/2016,O20101103000919,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1003125329.0,N,105544,7012101082.0,BAYONET POINT REHAB LLC,BAYONET POINT HEALTH AND REHABILITATION CENTER
O20160115001695,WI,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1821453168,N,525498,4981907490,TRN MILWAUKEE LLC,TRINITY HEALTH SERVICE DBA TRINITY VILLAGE,CH,CHANGE OF OWNERSHIP,04/01/2016,O20041208000247,WI,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1124095872.0,N,525498,3173589413.0,"TRINITY HEALTH SERVICES, INC.",
O20160121000759,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1639548449,N,555306,8921301177,AGVA LLC,KEI-AI SOUTH BAY HEALTHCARE CENTER,CH,CHANGE OF OWNERSHIP,02/01/2016,O20110614000069,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1538279419.0,N,555306,8527139963.0,KEIRO NURSING HOME,SOUTH BAY KEIRO NURSING HOME
O20160128000168,GA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1851757744,N,115541,7214230044,"CV SNF, LLC",CROSSVIEW CARE CENTER,CH,CHANGE OF OWNERSHIP,01/01/2016,O20121119000139,GA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1215203823.0,N,115541,3577714609.0,PINEVIEW 102 LLC,CROSSVIEW CARE CENTER
O20160128002026,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1619347465,N,555438,9335442136,ALAL LLC,KEI-AI LOS ANGELES HEALTHCARE CENTER,CH,CHANGE OF OWNERSHIP,02/01/2016,O20080612000586,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1487754297.0,N,555438,8527139963.0,KEIRO NURSING HOME,
O20160210002564,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1003272626,N,335618,8123322245,"LATTA ROAD NURSING HOME EAST, LLC",,CH,CHANGE OF OWNERSHIP,02/01/2016,O20080408000309,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1447348586.0,N,335618,3971680513.0,MORRIS E RICHARDSON,LATTA ROAD NURSING HOME A
O20160210002623,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1841656469,N,335617,9830493956,LATTA ROAD NURSING HOME WEST LLC,,CH,CHANGE OF OWNERSHIP,02/01/2016,O20080408000124,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1447348586.0,N,335617,3971680513.0,MORRIS E RICHARDSON,LATTA ROAD NURSING HOME
O20160223002699,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1952766693,N,555426,9537464961,FRESNO POSTACUTE CARE LLC,FRESNO POSTACUTE CARE,CH,CHANGE OF OWNERSHIP,01/16/2016,O20070208000383,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1235208349.0,N,555426,6800898560.0,"FRESNO HEALTHCARE, LLC",GOLDEN CROSS HEALTHCARE OF FRESNO
O20160224001883,OH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1063741445,N,365672,3577868868,NILES SKILLED NURSING LLC,AUTUMN HILLS CARE CENTER,CH,CHANGE OF OWNERSHIP,01/01/2016,O20100119000182,OH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1063741445.0,N,365672,9436291127.0,AUTUMN HILLS NURSING & REHABILITATION CENTER OF NILES LLC,AUTUMN HILLS CARE CENTER
O20160225001022,IA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1184080889,N,165531,2163727314,PREMIER ESTATES 509 LLC,GARDEN VIEW CARE CENTER,CH,CHANGE OF OWNERSHIP,02/01/2016,O20091119000307,IA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1215264726.0,N,165531,6608914270.0,"SHENANDOAH CARE CENTER, LLC",GARDEN VIEW CARE CENTER
O20160229000116,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1083070239,N,055052,1759686843,CALIFORNIA POST-ACUTE CARE LLC,CALIFORNIA POST-ACUTE CARE,CH,CHANGE OF OWNERSHIP,01/01/2016,O20100129000240,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1184796765.0,N,055052,244373231.0,"MARLINDA CONVALESCENT HOSPITALS, INC",BLOOMFIELD EAST
O20160229001910,NC,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1952766271,N,345036,6800191842,"ELIZABETH CITY HEALTH AND REHABILITATION, LLC",,CH,CHANGE OF OWNERSHIP,01/01/2016,O20061213000101,NC,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1730184102.0,N,345036,547268260.0,"CAROLINA ADVENTIST RETIREMENT SYSTEMS, INC.",
O20160309003051,OH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1003849506,N,365823,2264738798,MINERAL RIDGE SKILLED NURSING AND RESIDENTIAL CARE LLC,,CH,CHANGE OF OWNERSHIP,01/01/2016,O20060719000213,OH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1003849506.0,N,365823,2567471766.0,VISTA CARE CENTER OF MINERAL RIDGE LLC,VISTA CENTER AT THE RIDGE
O20160310000900,OH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1295037463,N,365760,5193021541,BOARDMAN SKILLED NURSING LLC,VISTA CENTER OF BOARDMAN,CH,CHANGE OF OWNERSHIP,01/01/2016,O20110315000081,OH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1295037463.0,N,365760,1658553557.0,VISTA CARE CENTER OF BOARDMAN LLC,VISTA CENTER OF BOARDMAN
O20160310001749,OH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1407843931,N,366087,6507162989,LISBON SKILLED NURSING AND RESIDENTIAL CARE LLC,CONTINUING HEALTHCARE OF LISBON,CH,CHANGE OF OWNERSHIP,01/01/2016,O20031216000820,OH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1407843931.0,N,366087,8123925369.0,"LISBON NURSING CARE CENTER, INC.",THE VISTA CENTRE
O20160311000067,OH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1376534610,N,366067,1456657865,MILAN SKILLED NURSING LLC,VISTA CARE CENTER OF MILAN,CH,CHANGE OF OWNERSHIP,01/01/2016,O20080213000492,OH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1376534610.0,N,366067,2961585997.0,"CLASSIC HEALTH CARE CENTER OF MILAN, INC.",VISTA CARE CENTER OF MILAN
O20160314001324,AL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1528085560,N,015066,3870899099,"FRANKLIN LTC, LLC",TERRACE MANOR NURSING & REHABILITATION CENTER,CH,CHANGE OF OWNERSHIP,01/01/2016,O20031113000324,AL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1528085560.0,N,015066,749194926.0,TERRACE MANOR NURSING AND REHABILITATION CENTER INC.,TERRACE MANOR NURSING & REHABILITATION CENTER
O20160316000486,KY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1205292893,N,185442,7416082987,NAZARETH HOME INC,NAZARETH HOME CLIFTON,CH,CHANGE OF OWNERSHIP,01/01/2016,O20050421000057,KY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1518954114.0,N,185442,4183533052.0,"MERCY SACRED HEART, INC.",SACRED HEART VILLAGE
O20160316000622,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1548625882,N,335528001,4789980863,PRNC OPERATING LLC,PLATTSBURGH REHAB & NURSING CENTER,CH,CHANGE OF OWNERSHIP,01/01/2016,O20120320000448,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1477540193.0,N,335528001,1456511021.0,EVERGREEN VALLEY NURSING HOME,
O20160317001245,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1285099523,N,335378,7719283795,BVRNC OPERATING LLC,SODUS REHABILITATION & NURSING CENTER,CH,CHANGE OF OWNERSHIP,02/29/2016,O20100819000216,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1366445074.0,N,335378,2062546526.0,"BLOSSOM VIEW NURSING HOME, INC.",
O20160322001040,ID,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1700245594,N,135090,5193022978,SHAW MOUNTAIN OF CASCADIA LLC,SHAW MOUNTAIN OF CASCADIA,CH,CHANGE OF OWNERSHIP,05/01/2016,O20050801000426,ID,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1679677991.0,N,135090,5092622993.0,"MARQUIS COMPANIES I, INC",MARQUIS CARE AT SHAW MOUNTAIN
O20160323000657,CT,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1215309679,N,075210001,1658678412,WATERBURY GARDENS NURSING AND REHAB LLC,WATERBURY GARDENS NURSING AND REHAB,CH,CHANGE OF OWNERSHIP,03/16/2016,O20101216000204,CT,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1104819580.0,Y,075210001,6709074834.0,CEDAR LANE REHABILITATION AND HEALTH CARE CENTER LLC,VILLAGE GREEN OF WATERBURY REHABILITATION AND HEALTH CENTER
O20160328000621,MS,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1598139248,N,255334,8426355041,TUNICA COUNTY HEALTH & REHAB LLC,,CH,CHANGE OF OWNERSHIP,01/09/2016,O20120404000285,MS,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1376727818.0,N,255334,2567671407.0,TUNICA NURSING HOME LLC,
O20160331000188,IN,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1619337839,N,155823,1850205162,HANCOCK REGIONAL HOSPITAL,SOUTHPOINTE HEALTHCARE CENTER,CH,CHANGE OF OWNERSHIP,03/01/2016,O20140625000263,IN,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1386066835.0,N,155823,4486561404.0,KINDRED NURSING CENTERS LIMITED PARTNERSHIP,KINDRED TRANSITIONAL CARE AND REHABILITATION-SOUTHPOINTE
O20160401000002,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1932571437,N,105555,8325345630,THE REHABILITATION CENTER AT JUPITER GARDENS LLC,THE REHABILITATION CENTER AT JUPITER GARDENS,CH,CHANGE OF OWNERSHIP,03/01/2016,O20091221000459,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1326289109.0,N,105555,6800936956.0,"COURTYARD GARDENS REHABILITATION CENTER, L.L.C.","JUPITER CONVALESCENT CENTER, LLC"
O20160407000971,NJ,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1427422914,N,315387,1355649377,ALLAIRE HEALTHCARE GROUP LLC,ALLAIRE REHAB & NURSING,CH,CHANGE OF OWNERSHIP,01/01/2016,O20120507000079,NJ,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1750388443.0,N,315387,7012178536.0,COUNTY TREAS COUNTY OF MONMOUTH NJ,
O20160413000436,OH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1700250131,N,365978,2961700638,SCARLET OAKS NURSING AND REHABILITATION CENTER LLC,,CH,CHANGE OF OWNERSHIP,02/01/2016,O20141114002325,OH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1235548116.0,N,365978,2961624564.0,PSOR LLC,
O20160418000589,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1669831079,N,105820,8628105699,"BROOKS SKILLED NURSING FACILITY, A, INC.",UNIVERSITY CROSSING,CH,CHANGE OF OWNERSHIP,06/01/2016,O20110503000086,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1083752885.0,N,105820,1153506373.0,"THE FANNIE E. TAYLOR HOME FOR THE AGED, INC.",TAYLOR HOME
O20160418000895,UT,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1740648989,N,465143,2769376326,BEAVER VALLEY HOSPITAL,CEDAR HEALTH AND REHABILITATION,CH,CHANGE OF OWNERSHIP,02/02/2016,O20130826001072,UT,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1083671119.0,N,465143,5395988174.0,CEDAR CITY NURSING HOME LLC,KOLOB REGIONAL CARE AND REHABILITATION
O20160418001428,UT,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1164881025,N,465152,2769376326,BEAVER VALLEY HOSPITAL,BELLA TERRA ST GEORGE,CH,CHANGE OF OWNERSHIP,02/02/2016,O20050727001209,UT,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1154389203.0,N,465152,547298986.0,ST GEORGE NURSING HOME LLC,KOLOB CARE & REHABILITATION OF ST GEORGE
O20160418001431,CT,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1093173486,N,075366,547568065,HAMDEN REHABILITATION LLC,HAMDEN REHABILITATION & HEALTH CARE CENTER,CH,CHANGE OF OWNERSHIP,04/01/2016,O20070815000417,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1528064490.0,N,075366,6901998335.0,HAMDEN HEALTH CARE LIMITED PARTNERSHIP,HAMDEN HEALTH CARE CENTER
O20160419000657,IA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1073979779,N,165248,4486952868,"PREMIER ESTATES 505, LLC",PLEASANT ACRES CARE CENTER,CH,CHANGE OF OWNERSHIP,02/01/2016,O20141014000763,IA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1508265943.0,N,165248,1355562448.0,"PLEASANT ACRES CARE CENTER, INC.",PLEASANT ACRES CARE CENTER
O20160419002674,IA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1972969681,N,165196,5395043624,"PREMIER ESTATES 502, LLC",GRANDVIEW HEALTH CARE CENTER,CH,CHANGE OF OWNERSHIP,02/01/2016,O20091209000288,IA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1932190758.0,N,165196,3476692112.0,"GRANDVIEW HEALTH CARE CENTER, INC.",GRANDVIEW HEALTH CARE CENTER
O20160420000487,IA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1811353519,N,165174,5395043665,"PREMIER ESTATES 510, LLC",CASA DE PAZ HEALTH CENTER,CH,CHANGE OF OWNERSHIP,02/01/2016,O20091222000700,IA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1770577405.0,N,165174,9739229782.0,"WAVERLEY - CASA DE PAZ, INC.",CASA DE PAZ
O20160421000187,IA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1063878767,N,165241,9436457678,"PREMIER ESTATES 504, LLC",GRUNDY CARE CENTER,CH,CHANGE OF OWNERSHIP,02/01/2016,O20141014001952,IA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1285033605.0,N,165241,9830310952.0,"GRUNDY CARE CENTER, INC.",GRUNDY CARE CENTER
O20160422001647,IA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1083070783,N,165198,6204135486,"PREMIER ESTATES 506, LLC",IOWA CITY REHAB AND HEALTH CARE CENTER,CH,CHANGE OF OWNERSHIP,02/01/2016,O20141014001655,IA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1518366061.0,N,165198,8527289636.0,"IOWA CITY CARE CENTER, INC.",IOWA CITY REHABILITATION AND HEALTH CARE CENTER
O20160425000840,IA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1265898969,N,165235,3971802091,"PREMIER ESTATES 507, LLC",LENOX CARE CENTER,CH,CHANGE OF OWNERSHIP,02/01/2016,O20091209000423,IA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1184615908.0,N,165235,4082753736.0,"LENOX CARE CENTER, INC.",LENOX CARE CENTER
O20160425001389,CT,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1336507722,N,075416,7719285956,NEW MILFORD REHABILITATION LLC,CANDLEWOOD VALLEY HEALTH & REHABILITATION CENTER,CH,CHANGE OF OWNERSHIP,04/01/2016,O20091214000426,CT,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1881777597.0,N,075416,2163562646.0,CANDLEWOOD NEW MILFORD LLC,CANDLEWOOD VALLEY HEALTH & REHABILITATION CENTER
O20160503000529,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1710344361,N,055818,9133428774,ROYAL GARDENS HEALTHCARE LLC,ROYAL GARDENS HEALTHCARE,CH,CHANGE OF OWNERSHIP,01/01/2016,O20091222000412,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1528056116.0,N,055818,3577603695.0,EDINBURGH MANAGEMENT ASSOCIATES,ROYAL GARDEN EXTENDED CARE HOSPITAL
O20160503001222,TN,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1093176950,N,445275,2961701529,"JEFFERSON CITY OPERATIONS, LLC",LIFE CARE CENTER OF JEFFERSON CITY,CH,CHANGE OF OWNERSHIP,06/01/2016,O20070719000052,TN,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1376574301.0,N,445275,6608783543.0,"LIFE CARE CENTERS OF AMERICA, INC.",LIFE CARE CENTER OF JEFFERSON CITY
O20160503002500,OH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1801254883,N,366202,7911206511,"CRYSTAL CARE OF IRONTON, LLC",CRYSTAL CARE OF COAL GROVE,CH,CHANGE OF OWNERSHIP,03/01/2016,O20100621000845,OH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1295719771.0,N,366202,9335270255.0,"COAL GROVE LONG TERM CARE, INC",SUNSET NURSING CENTER
O20160505001091,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1659738201,N,056456,5698074003,SERRANO HEALTHCARE LLC,PALAZZO POST ACUTE,CH,CHANGE OF OWNERSHIP,01/01/2016,O20071003000487,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1801827738.0,N,056456,6800838160.0,"SOUTH FORK HEALTHCARE, LLC",SERRANO SOUTH CONVALESCENT HOSPITAL
