OBJECTID,name,reportdt,confirmed,recovered,deaths,active,GlobalID,tested,Negative,Pending,MaleCases,FemaleCases,Cases0to19,Cases20to29,Cases30to39,Cases40to49,Cases50to59,Cases60to69,Cases70to79,Cases80plus,NewCases,MaleDeaths,FemaleDeaths,Deaths0to19,Deaths20to29,Deaths30to39,Deaths40to49,Deaths50to59,Deaths60to69,Deaths70to79,Deaths80plus,AsianCases,BlackCases,HispanicCases,NativeAmCases,OtherCases,WhiteCases,CurrentlyHospitalizedCases,PercAsianCases,PercBlackCases,PercHispanicCases,PercNativeAmCases,PercOtherCases,PercWhiteCases,PercPopAsianCases,PercPopBlackCases,PercPopHispanicCases,PercPopNativeAmCases,PercPopOtherCases,PercPopWhiteCases,NewDailyDeaths,NewDailyTested,DailyPercentPositive,TotalPercentPositive,NewDailyNegative,ThreeDayAvg,SevenDayAvg,Cases0to9,Cases10to19,Deaths0to9,Deaths10to19,TotalDoses,TotalRecipients,MalesVaccinated,FemalesVaccinated,Vaccinated0to9,Vaccinated10to19,Vaccinated20to29,Vaccinated30to39,Vaccinated40to49,Vaccinated50to59,Vaccinated60to69,Vaccinated70to79,Vaccinated80plus,NewDailyDoses,NewDailyRecipients,Total1DoseRecipients,Total2DoseRecipients,TotalJJDoses,TotalJJRecipients,TotalVaccinated,Pfizer3DoseRecipients,Moderna3DoseRecipients,Total3DoseRecipients,PartialVaccinated
11,South Dakota,2020/03/27 16:37:00+00,58,21,1,36,533611d5-2846-44d2-8c69-74732d7e5428,2465,2387.0,20,31.0,27.0,2.0,10.0,8.0,8.0,16.0,9.0,4.0,1.0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,321.0,3.73831775700935,2.35294117647059,309.0,9.333,6.29,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
12,South Dakota,2020/03/28 16:43:00+00,68,26,1,41,cb4fb467-0bb8-48eb-b3af-e39640987dd6,2660,2592.0,0,35.0,33.0,3.0,10.0,9.0,10.0,18.0,13.0,4.0,1.0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,195.0,5.12820512820513,2.55639097744361,185.0,9.0,7.71,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
13,South Dakota,2020/03/29 16:36:00+00,90,29,1,60,507e7038-0dc1-4f93-b494-2e5e20a90efd,3218,3127.0,1,45.0,45.0,4.0,16.0,9.0,18.0,20.0,16.0,6.0,1.0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,558.0,3.9426523297491,2.79676817899316,536.0,14.667,9.86,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
14,South Dakota,2020/03/30 16:50:00+00,101,34,1,66,f1ea09f5-74df-4459-930c-7ac62ece0d1c,3579,3478.0,0,52.0,49.0,5.0,19.0,13.0,18.0,22.0,17.0,6.0,1.0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,361.0,3.04709141274238,2.82201732327466,350.0,14.333,10.43,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
15,South Dakota,2020/03/31 17:00:00+00,108,44,1,63,969d6ae7-a862-4fa6-88f5-554ae02515ec,3717,3609.0,0,56.0,52.0,5.0,21.0,13.0,20.0,24.0,17.0,7.0,1.0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,138.0,5.07246376811594,2.90556900726392,131.0,13.333,11.14,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
16,South Dakota,2020/04/01 17:01:00+00,129,51,2,76,aacfa79a-7169-4473-98a8-d21ea72dd4db,4032,3903.0,0,69.0,60.0,6.0,23.0,15.0,26.0,30.0,20.0,7.0,2.0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,315.0,6.66666666666667,3.19940476190476,294.0,13.0,12.57,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
17,South Dakota,2020/04/02 16:48:00+00,165,57,2,106,6f45d526-0203-4540-adea-887d72d08c54,4382,4217.0,0,78.0,87.0,6.0,30.0,22.0,31.0,36.0,26.0,8.0,6.0,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,350.0,10.2857142857143,3.76540392514833,314.0,21.333,17.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
18,South Dakota,2020/04/03 16:32:00+00,187,69,2,116,cce170b4-46bc-45db-a003-170b7baace6d,4783,4593.0,3,93.0,94.0,6.0,34.0,28.0,34.0,39.0,30.0,9.0,7.0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,401.0,5.48628428927681,3.90968011708133,379.0,26.333,18.43,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
19,South Dakota,2020/04/04 16:41:00+00,212,76,2,134,c74403ae-37bb-4eb0-bffd-ca457036261b,5225,5012.0,1,103.0,109.0,7.0,38.0,37.0,37.0,43.0,33.0,9.0,8.0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,442.0,5.65610859728507,4.05741626794258,417.0,27.667,20.57,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
20,South Dakota,2020/04/05 17:01:00+00,240,84,2,154,f7f4b192-e64d-4487-9848-ff6397c9bb09,5593,5353.0,0,118.0,122.0,9.0,47.0,46.0,43.0,45.0,33.0,9.0,8.0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,368.0,7.60869565217391,4.29107813338101,340.0,25.0,21.43,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
21,South Dakota,2020/04/06 16:35:00+00,288,91,4,193,483ed06f-4d09-4f62-96ca-08d61b90de18,6020,5732.0,0,147.0,141.0,10.0,54.0,57.0,52.0,58.0,40.0,9.0,8.0,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,427.0,11.2412177985948,4.78405315614618,379.0,33.667,26.71,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
22,South Dakota,2020/04/07 16:38:00+00,320,98,6,216,f65b2c48-74a9-497c-93b0-31c3d3752ee6,6270,5948.0,2,167.0,153.0,12.0,58.0,67.0,55.0,66.0,44.0,10.0,8.0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,250.0,12.8,5.103668261563,218.0,36.0,30.29,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
23,South Dakota,2020/04/08 16:31:00+00,393,146,6,241,0f967142-6cb9-475f-8f12-85cf9e2725c5,6748,6355.0,0,209.0,184.0,14.0,72.0,92.0,64.0,80.0,53.0,10.0,8.0,73,4.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,0.0,478.0,15.2719665271967,5.82394783639597,405.0,51.0,37.71,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
24,South Dakota,2020/04/09 16:33:00+00,447,161,6,280,e84fbd25-a098-4aa6-b1be-837b78c20b1d,7147,6700.0,0,240.0,207.0,14.0,87.0,103.0,70.0,96.0,58.0,11.0,8.0,54,4.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,0.0,399.0,13.5338345864662,6.2543724639709,345.0,53.0,40.29,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
25,South Dakota,2020/04/10 16:27:00+00,536,177,6,353,4aa6da8d-571f-4cd2-96a0-1d8fb7c510d1,7647,7111.0,0,292.0,244.0,16.0,103.0,133.0,88.0,109.0,66.0,12.0,9.0,89,4.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,0.0,500.0,17.8,7.00928468680528,411.0,72.0,49.86,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
26,South Dakota,2020/04/11 17:07:00+00,626,189,6,431,c9a12ad2-408d-48ed-be8f-e61de5ea2bda,8006,7378.0,2,343.0,283.0,21.0,121.0,155.0,107.0,126.0,73.0,14.0,9.0,90,4.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,0.0,359.0,25.0696378830084,7.8191356482638,269.0,77.667,59.14,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
27,South Dakota,2020/04/12 16:47:00+00,730,197,6,527,b87b84cb-d5b7-41d3-80ca-01f7929ef132,8553,7823.0,0,388.0,342.0,26.0,146.0,175.0,128.0,143.0,84.0,16.0,12.0,104,4.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,0.0,547.0,19.0127970749543,8.53501695311587,443.0,94.333,70.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
28,South Dakota,2020/04/13 16:27:00+00,868,207,6,655,4ade3b41-fece-44c1-8489-82e2ec437069,9002,8134.0,0,459.0,409.0,37.0,166.0,212.0,158.0,163.0,101.0,17.0,14.0,138,4.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,0.0,449.0,30.7349665924276,9.64230171073095,311.0,110.667,82.86,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
29,South Dakota,2020/04/14 16:34:00+00,988,261,6,721,1cd95750-91ca-4ec7-88a9-c9fa51505739,9296,8308.0,0,534.0,454.0,44.0,187.0,246.0,187.0,182.0,110.0,18.0,14.0,120,4.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,0.0,294.0,40.8163265306122,10.6282271944923,174.0,120.667,95.43,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
30,South Dakota,2020/04/15 17:12:00+00,1168,329,6,833,c0648e8c-20dc-4ea0-bd35-c56f1be0ec3a,9859,8691.0,0,637.0,531.0,55.0,220.0,286.0,236.0,215.0,123.0,19.0,14.0,180,4.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,0.0,563.0,31.9715808170515,11.8470433106806,383.0,146.0,110.71,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
31,South Dakota,2020/04/16 16:39:00+00,1311,373,7,931,d93509b8-df7c-4480-9e29-2ad42652ffd2,10552,9239.0,2,711.0,600.0,69.0,249.0,321.0,266.0,242.0,130.0,20.0,14.0,143,5.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,1.0,693.0,20.6349206349206,12.4241849886277,550.0,147.667,123.43,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
32,South Dakota,2020/04/17 16:42:00+00,1411,457,7,947,80c4308f-eeb0-4888-9523-f79d15e9450e,11062,9651.0,0,765.0,646.0,74.0,271.0,344.0,286.0,259.0,134.0,22.0,21.0,92,5.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,0.0,510.0,18.0392156862745,12.7553787741819,418.0,138.333,123.86,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
33,South Dakota,2020/04/18 17:19:00+00,1542,552,7,983,6dd20c6e-4751-4777-bed7-44c26a853363,11661,10118.0,1,839.0,703.0,88.0,294.0,368.0,318.0,279.0,146.0,25.0,24.0,131,5.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,0.0,599.0,21.8697829716194,13.2235657319269,468.0,122.0,129.71,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
34,South Dakota,2020/04/19 16:35:00+00,1635,646,7,982,356f9f87-31f0-4d3f-b77e-ea41b7e244c7,12062,10427.0,0,892.0,743.0,94.0,312.0,382.0,336.0,300.0,155.0,26.0,30.0,93,5.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,0.0,401.0,23.1920199501247,13.5549660089537,308.0,105.333,128.14,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
35,South Dakota,2020/04/20 16:32:00+00,1685,709,7,969,4d08cf35-1f2f-4d01-bc6e-1e80516916ae,12326,10641.0,0,915.0,770.0,97.0,317.0,390.0,346.0,307.0,159.0,32.0,37.0,50,5.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,0.0,264.0,18.9393939393939,13.6702904429661,214.0,91.333,115.57,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
36,South Dakota,2020/04/21 16:21:00+00,1755,824,8,923,475aeac9-ccc9-4bca-83ac-98f3d4e9fd5c,12815,11060.0,0,936.0,819.0,98.0,330.0,408.0,361.0,316.0,168.0,35.0,39.0,70,6.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,1.0,489.0,14.3149284253579,13.6948888021849,419.0,71.0,108.43,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
37,South Dakota,2020/04/22 16:24:00+00,1858,937,9,912,b03e0bf3-dae4-41a6-8524-017211757de6,13446,11588.0,0,999.0,859.0,105.0,345.0,431.0,386.0,333.0,179.0,40.0,39.0,103,7.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,1.0,631.0,16.3232963549921,13.8182359065893,528.0,74.333,97.43,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
38,South Dakota,2020/04/23 16:16:00+00,1956,1064,9,883,eafd941b-5b7d-4e77-a159-ff43bbe44235,14065,12109.0,0,1048.0,908.0,111.0,362.0,457.0,401.0,355.0,185.0,41.0,44.0,98,7.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,0.0,619.0,15.8319870759289,13.9068610024884,521.0,90.333,91.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
39,South Dakota,2020/04/24 17:19:00+00,2040,1190,10,840,6c28b22a-a2a8-4cf1-aa7f-c5f03f992a1e,14824,12784.0,0,1090.0,950.0,116.0,382.0,474.0,416.0,370.0,190.0,45.0,47.0,86,8.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,1.0,759.0,11.33069828722,13.7614678899083,673.0,95.667,90.14,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
40,South Dakota,2020/04/25 16:30:00+00,2147,1223,10,914,a10e1002-c5c8-4aea-ac33-4beb83a5c586,15596,13449.0,0,1136.0,1011.0,128.0,407.0,498.0,428.0,386.0,199.0,48.0,53.0,107,8.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,0.0,772.0,13.860103626943,13.7663503462426,665.0,97.0,86.71,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
41,South Dakota,2020/04/26 05:24:00+00,2212,1257,11,944,71f75f43-a434-42ea-ae39-4f2df063bbc6,16274,14062.0,0,1167.0,1045.0,138.0,416.0,511.0,444.0,396.0,203.0,50.0,54.0,65,9.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,1.0,678.0,9.58702064896755,13.5922330097087,613.0,86.0,82.71,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
42,South Dakota,2020/04/27 16:54:00+00,2245,1316,11,918,1e4bc3f7-d122-4204-b4ec-9208a1c2bcbe,16375,14130.0,0,1183.0,1062.0,143.0,422.0,514.0,449.0,402.0,208.0,53.0,54.0,33,9.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,3.0,,,,,,,61.0,,,,,,,,,,,,,0.0,101.0,32.6732673267327,13.7099236641221,68.0,68.333,80.29,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
43,South Dakota,2020/04/28 16:28:00+00,2313,1392,11,909,677b7e3f-a290-4ea1-97ee-f8befecbf122,16612,14299.0,0,1224.0,1089.0,149.0,435.0,533.0,461.0,415.0,213.0,53.0,54.0,68,9.0,2.0,1.0,0.0,0.0,0.0,4.0,3.0,1.0,3.0,275.0,461.0,423.0,95.0,329.0,730.0,69.0,,,,,,,,,,,,,0.0,237.0,28.6919831223629,13.9236696364074,169.0,55.333,80.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
44,South Dakota,2020/04/29 16:47:00+00,2373,1492,13,868,d0d55a08-d19a-4bce-98ef-c16f89b28023,16833,14460.0,0,1250.0,1123.0,149.0,444.0,550.0,472.0,427.0,220.0,53.0,58.0,60,11.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,5.0,282.0,470.0,430.0,104.0,333.0,754.0,69.0,11.8836915297092,19.8061525495154,18.1205225453013,4.38263801095659,14.0328697850822,31.7741255794353,2.22748815165877,2.89391047349301,1.34395999374902,0.13805737345847,1.11018503083847,0.103278899600308,2.0,221.0,27.1493212669683,14.0973088576011,161.0,53.667,73.86,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
45,South Dakota,2020/04/30 16:35:00+00,2449,1573,17,859,0d2bce07-2dba-4c8a-a08b-80a21da0dd02,17028,14579.0,0,1293.0,1156.0,154.0,460.0,570.0,483.0,438.0,226.0,55.0,63.0,76,13.0,4.0,0.0,0.0,0.0,1.0,4.0,3.0,2.0,7.0,291.0,480.0,446.0,110.0,336.0,786.0,76.0,11.8824009799918,19.5998366680278,18.2115149040425,4.49162923642303,13.7198856676194,32.0947325438955,2.29857819905213,2.95548303675882,1.39396780746992,0.146022221927228,1.12018669778296,0.107662088973265,4.0,195.0,38.974358974359,14.3821940333568,119.0,68.0,70.71,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
46,South Dakota,2020/05/01 16:14:00+00,2525,1686,21,818,fb85890c-fd6c-4431-80a4-629bf4c099ab,17363,14838.0,0,1325.0,1200.0,161.0,476.0,585.0,494.0,444.0,233.0,59.0,73.0,76,15.0,6.0,0.0,0.0,0.0,1.0,4.0,4.0,3.0,9.0,297.0,489.0,453.0,123.0,347.0,816.0,69.0,11.7623762376238,19.3663366336634,17.9405940594059,4.87128712871287,13.7425742574257,32.3168316831683,2.34597156398104,3.01089834369805,1.41584622597281,0.163279393609537,1.15685947657943,0.111771329010413,4.0,335.0,22.6865671641791,14.542417784945,259.0,70.667,69.29,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
47,South Dakota,2020/05/02 17:29:00+00,2588,1759,21,808,858eb8b4-bac6-40d2-ad47-de6045920778,18091,15503.0,0,1356.0,1232.0,171.0,486.0,595.0,506.0,452.0,240.0,63.0,75.0,63,15.0,6.0,0.0,0.0,0.0,1.0,4.0,4.0,3.0,9.0,300.0,496.0,466.0,133.0,351.0,842.0,71.0,11.5919629057187,19.1653786707883,18.0061823802164,5.13910355486862,13.5625965996909,32.5347758887172,2.3696682464455,3.05399913798411,1.45647757462103,0.176554141057466,1.17019503250542,0.115332670375941,0.0,728.0,8.65384615384615,14.3054557514786,665.0,71.667,63.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
48,South Dakota,2020/05/03 17:09:00+00,2631,1799,21,811,80938a12-a229-4d39-86cb-1dc63ffb5ca8,18417,15786.0,0,1381.0,1250.0,177.0,494.0,601.0,509.0,461.0,247.0,64.0,78.0,43,15.0,6.0,0.0,0.0,0.0,1.0,4.0,4.0,3.0,9.0,303.0,499.0,472.0,139.0,355.0,863.0,71.0,11.5165336374002,18.9661725579628,17.9399467882934,5.28316229570506,13.4929684530597,32.8012162675789,2.39336492890995,3.07247090696386,1.47523050476637,0.184518989526224,1.18353058843141,0.118209138401944,0.0,326.0,13.1901840490798,14.2857142857143,283.0,60.667,59.86,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
49,South Dakota,2020/05/04 16:53:00+00,2668,1830,21,817,ee79329c-1629-4eb7-8b39-ffe757577168,18713,16045.0,0,1405.0,1263.0,180.0,501.0,610.0,516.0,466.0,251.0,65.0,79.0,34,15.0,6.0,0.0,0.0,0.0,1.0,4.0,4.0,3.0,9.0,306.0,504.0,483.0,140.0,358.0,877.0,69.0,11.4692653673163,18.8905547226387,18.1034482758621,5.24737631184408,13.4182908545727,32.8710644677661,2.41706161137441,3.10325718859676,1.50961087669948,0.185846464271017,1.1935322553759,0.120126783752613,0.0,296.0,11.4864864864865,14.2574680703254,262.0,46.667,60.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
50,South Dakota,2020/05/05 16:30:00+00,2721,1895,24,802,94eee6a6-84c6-4f90-b408-eb1fd6882ba8,19022,16301.0,0,1434.0,1287.0,182.0,509.0,625.0,520.0,477.0,259.0,68.0,81.0,53,15.0,9.0,0.0,0.0,0.0,1.0,4.0,4.0,3.0,12.0,308.0,507.0,493.0,148.0,361.0,901.0,75.0,11.3193678794561,18.632855567806,18.1183388460125,5.43917677324513,13.2671811833885,33.1128261668504,2.43285939968404,3.1217289575765,1.54086576027504,0.196466262229361,1.20353392232039,0.123414175782331,3.0,309.0,17.1521035598706,14.3044895384292,256.0,43.333,57.86,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
51,South Dakota,2020/05/06 16:37:00+00,2779,1977,29,773,4b558df3-a789-4a60-aae6-2368e0579038,19416,16637.0,0,1472.0,1307.0,189.0,516.0,635.0,530.0,485.0,269.0,69.0,86.0,58,16.0,13.0,0.0,0.0,0.0,1.0,4.0,5.0,4.0,15.0,309.0,511.0,504.0,157.0,366.0,932.0,72.0,11.1191075926592,18.3879093198992,18.1360201511335,5.64951421374595,13.1702051097517,33.5372436128104,2.44075829383886,3.14635798288283,1.57524613220816,0.208413534932498,1.22020336722787,0.127660390487383,5.0,394.0,14.7208121827411,14.3129377832715,336.0,48.333,57.57,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,
