conc,MCCCountryCode,FundCode,ProjectCode,ActivityCode,hierarchy_level,start_planned,end_planned,start_actual,end_actual,status
,TZA,2750BXCOMD,,,2,9/17/2008,9/30/2012,9/17/2008,9/30/2012,5
,VUT,2750BXCOMD,,,2,4/28/2006,3/31/2012,4/28/2006,3/31/2012,5
,XKX,2750BXTHRD,,,2,4/1/2018,9/12/2022,4/1/2018,,1
,ZMB,2750BXCOMD,,,2,11/15/2013,3/31/2019,11/15/2013,3/31/2019,5
,WDL,1031BXPEPD,,,1,10/1/2020,6/30/2021,10/1/2020,,1
,GMB,2750BXTHRD,,,1,11/16/2021,11/16/2026,11/16/2021,,1
,BF2,2750BXCOMD,,,2,10/1/2021,8/13/2025,10/1/2021,1/31/2022,6
,TGO,2750BXTHRD,,,2,10/1/2021,11/27/2025,10/1/2021,,1
,XKX,2750BXCOMD,,,1,10/1/2019,12/31/2019,10/1/2019,12/31/2019,5
,GH2,2750BXCOMD,PWR IMPROV,,2,8/5/2014,12/31/2020,8/5/2014,12/31/2020,5
,BF2,2750BXCOMD,,,3,10/1/2021,8/13/2025,10/1/2021,1/31/2022,6
,GH2,2750BXCOMD,FO TRN_E2,0422,3,7/1/2016,3/31/2020,7/1/2016,3/31/2020,5
,GH2,2750BXCOMD,FO TRN_E2,0424,3,7/1/2016,3/31/2020,7/1/2016,3/31/2020,5
,GH2,2750BXCOMD,FO TRN_E2,,2,7/1/2016,3/31/2020,7/1/2016,3/31/2020,5
,GH2,2750BXCOMD,FO TRN_E2,0423,3,7/1/2016,3/31/2020,7/1/2016,3/31/2020,5
,GH2,2750BXCOMD,FO TRN_E2,0421,3,7/1/2016,3/31/2020,7/1/2016,3/31/2020,5
,GH2,2750BXCOMD,FO TRN_NC,0425,3,8/5/2014,12/31/2020,8/5/2014,12/31/2020,5
,GH2,2750BXCOMD,FO TRN_NC,,2,8/5/2014,12/31/2020,8/5/2014,12/31/2020,5
,HN2,2750BXCOMD,,,1,4/1/2018,6/30/2018,4/1/2018,6/30/2018,5
,IND,2750BXCOMD,,,1,10/1/2016,12/31/2017,10/1/2016,12/31/2017,5
,ZMB,2750BXCOMD,,,3,11/15/2013,3/31/2019,11/15/2013,3/31/2019,5
,HND,2750BXTHRD,,,1,4/1/2017,6/30/2017,4/1/2017,6/30/2017,5
,STP,2750BXTHRD,TAX ENF,0217,3,11/9/2007,12/31/2011,11/9/2007,12/31/2011,5
,TGO,2750BXTHRD,,,3,10/1/2021,11/27/2025,10/1/2021,,1
,MN2,2750BXCOMD,MON EVAL,,2,1/1/2021,6/30/2021,1/1/2021,6/30/2021,5
