OBJECTID,DFIRM_ID,XS_LN_ID,XS_LTR,START_ID,STREAM_STN,XS_LN_TYP,WTR_NM,WSEL_REG,LEN_UNIT,V_DATUM,SOURCE_CIT,BED_ELEV,TOP_WIDTH,XS_AREA,AREA_UNIT,VELOCITY,VEL_UNIT
19794,50003C,50003C_1,,50003C_9,15435.0,"NOT LETTERED, NOT MAPPED",Walloomsac River,546.2,Feet,NAVD88,50003C_STUDY1,,,,,,
19795,50003C,50003C_2,,50003C_1,100612.0,"NOT LETTERED, NOT MAPPED",Batten Kill,690.8,Feet,NAVD88,50003C_STUDY1,,,,,,
19796,50003C,50003C_3,C,50003C_9,2060.0,"LETTERED, MAPPED",Walloomsac River,520.3,Feet,NAVD88,50003C_FIRM2,,,,,,
19797,50003C,50003C_4,I,50003C_9,9080.0,"LETTERED, MAPPED",Walloomsac River,533.9,Feet,NAVD88,50003C_FIRM2,,,,,,
19798,50003C,50003C_5,L,50003C_9,11710.0,"LETTERED, MAPPED",Walloomsac River,538.7,Feet,NAVD88,50003C_FIRM2,,,,,,
19799,50003C,50003C_6,P,50003C_9,13250.0,"LETTERED, MAPPED",Walloomsac River,542.2,Feet,NAVD88,50003C_FIRM2,,,,,,
19800,50003C,50003C_7,D,50003C_10,5410.0,"LETTERED, MAPPED",Warm Brook,721.1,Feet,NAVD88,50003C_FIRM1,,,,,,
19801,50003C,50003C_8,C,50003C_6,2460.0,"LETTERED, MAPPED",Fayville Branch,760.2,Feet,NAVD88,50003C_FIRM1,,,,,,
19802,50003C,50003C_200,,50003C_1,35364.0,"NOT LETTERED, NOT MAPPED",Hoosic River,555.0,Feet,NAVD88,50003C_STUDY1,,,,,,
19803,50003C,50003C_201,,50003C_1,34399.0,"NOT LETTERED, NOT MAPPED",Hoosic River,553.8,Feet,NAVD88,50003C_STUDY1,,,,,,
19804,50003C,50003C_202,,50003C_1,32597.0,"NOT LETTERED, NOT MAPPED",Hoosic River,551.8,Feet,NAVD88,50003C_STUDY1,,,,,,
19805,50003C,50003C_203,,50003C_1,31681.0,"NOT LETTERED, NOT MAPPED",Hoosic River,548.4,Feet,NAVD88,50003C_STUDY1,,,,,,
19806,50003C,50003C_9,B,50003C_6,1800.0,"LETTERED, MAPPED",Fayville Branch,737.4,Feet,NAVD88,50003C_FIRM1,,,,,,
19807,50003C,50003C_10,F,50003C_10,7390.0,"LETTERED, MAPPED",Warm Brook,741.7,Feet,NAVD88,50003C_FIRM1,,,,,,
19808,50003C,50003C_309,,50003C_1,33781.0,"NOT LETTERED, NOT MAPPED",Batten Kill,598.1,Feet,NAVD88,50003C_STUDY1,,,,,,
19809,50003C,50003C_310,,50003C_1,33285.0,"NOT LETTERED, NOT MAPPED",Batten Kill,597.7,Feet,NAVD88,50003C_STUDY1,,,,,,
19810,50003C,50003C_311,,50003C_1,33146.0,"NOT LETTERED, NOT MAPPED",Batten Kill,596.2,Feet,NAVD88,50003C_STUDY1,,,,,,
19811,50003C,50003C_312,,50003C_1,33043.0,"NOT LETTERED, NOT MAPPED",Batten Kill,596.1,Feet,NAVD88,50003C_STUDY1,,,,,,
19812,50003C,50003C_313,,50003C_1,31962.0,"NOT LETTERED, NOT MAPPED",Batten Kill,594.1,Feet,NAVD88,50003C_STUDY1,,,,,,
19813,50003C,50003C_314,,50003C_1,30664.0,"NOT LETTERED, NOT MAPPED",Batten Kill,590.2,Feet,NAVD88,50003C_STUDY1,,,,,,
19814,50003C,50003C_315,,50003C_1,30140.0,"NOT LETTERED, NOT MAPPED",Batten Kill,589.4,Feet,NAVD88,50003C_STUDY1,,,,,,
19815,50003C,50003C_316,Q,50003C_1,29506.0,"LETTERED, MAPPED",Batten Kill,588.4,Feet,NAVD88,50003C_STUDY1,,,,,,
19816,50003C,50003C_317,,50003C_1,28753.0,"NOT LETTERED, NOT MAPPED",Batten Kill,587.3,Feet,NAVD88,50003C_STUDY1,,,,,,
19817,50003C,50003C_318,,50003C_1,28172.0,"NOT LETTERED, NOT MAPPED",Batten Kill,586.0,Feet,NAVD88,50003C_STUDY1,,,,,,
19818,50003C,50003C_319,,50003C_1,27074.0,"NOT LETTERED, NOT MAPPED",Batten Kill,584.4,Feet,NAVD88,50003C_STUDY1,,,,,,
19819,50003C,50003C_320,,50003C_1,26510.0,"NOT LETTERED, NOT MAPPED",Batten Kill,583.8,Feet,NAVD88,50003C_STUDY1,,,,,,
19820,50003C,50003C_321,O,50003C_1,25962.0,"LETTERED, MAPPED",Batten Kill,583.4,Feet,NAVD88,50003C_STUDY1,,,,,,
19821,50003C,50003C_322,,50003C_1,25344.0,"NOT LETTERED, NOT MAPPED",Batten Kill,582.8,Feet,NAVD88,50003C_STUDY1,,,,,,
19822,50003C,50003C_323,,50003C_1,24629.0,"NOT LETTERED, NOT MAPPED",Batten Kill,581.2,Feet,NAVD88,50003C_STUDY1,,,,,,
19823,50003C,50003C_324,,50003C_1,23331.0,"NOT LETTERED, NOT MAPPED",Batten Kill,576.6,Feet,NAVD88,50003C_STUDY1,,,,,,
19824,50003C,50003C_325,,50003C_1,22680.0,"NOT LETTERED, NOT MAPPED",Batten Kill,575.2,Feet,NAVD88,50003C_STUDY1,,,,,,
19825,50003C,50003C_326,,50003C_1,22548.0,"NOT LETTERED, NOT MAPPED",Batten Kill,574.9,Feet,NAVD88,50003C_STUDY1,,,,,,
19826,50003C,50003C_327,,50003C_1,22487.0,"NOT LETTERED, NOT MAPPED",Batten Kill,574.5,Feet,NAVD88,50003C_STUDY1,,,,,,
19827,50003C,50003C_328,L,50003C_1,21710.0,"LETTERED, MAPPED",Batten Kill,572.1,Feet,NAVD88,50003C_STUDY1,,,,,,
19828,50003C,50003C_329,,50003C_1,20926.0,"NOT LETTERED, NOT MAPPED",Batten Kill,570.4,Feet,NAVD88,50003C_STUDY1,,,,,,
19829,50003C,50003C_330,,50003C_1,19173.0,"NOT LETTERED, NOT MAPPED",Batten Kill,567.2,Feet,NAVD88,50003C_STUDY1,,,,,,
19830,50003C,50003C_11,E,50003C_10,7060.0,"LETTERED, MAPPED",Warm Brook,730.7,Feet,NAVD88,50003C_FIRM1,,,,,,
19831,50003C,50003C_12,H,50003C_10,9850.0,"LETTERED, MAPPED",Warm Brook,755.4,Feet,NAVD88,50003C_FIRM1,,,,,,
19832,50003C,50003C_13,G,50003C_10,9265.0,"LETTERED, MAPPED",Warm Brook,746.6,Feet,NAVD88,50003C_FIRM1,,,,,,
19833,50003C,50003C_14,K,50003C_10,13600.0,"LETTERED, MAPPED",Warm Brook,756.8,Feet,NAVD88,50003C_FIRM1,,,,,,
19834,50003C,50003C_15,N,50003C_10,17625.0,"LETTERED, MAPPED",Warm Brook,768.3,Feet,NAVD88,50003C_FIRM1,,,,,,
19835,50003C,50003C_16,,50003C_11,22440.0,"NOT LETTERED, NOT MAPPED",Winhall River,1505.6,Feet,NAVD88,50003C_STUDY1,,,,,,
19836,50003C,50003C_17,,50003C_11,22202.0,"NOT LETTERED, NOT MAPPED",Winhall River,1500.3,Feet,NAVD88,50003C_STUDY1,,,,,,
19837,50003C,50003C_18,,50003C_11,22141.0,"NOT LETTERED, NOT MAPPED",Winhall River,1499.2,Feet,NAVD88,50003C_STUDY1,,,,,,
19838,50003C,50003C_19,,50003C_11,21259.0,"NOT LETTERED, NOT MAPPED",Winhall River,1484.6,Feet,NAVD88,50003C_STUDY1,,,,,,
19839,50003C,50003C_20,,50003C_11,21048.0,"NOT LETTERED, NOT MAPPED",Winhall River,1483.0,Feet,NAVD88,50003C_STUDY1,,,,,,
19840,50003C,50003C_21,,50003C_11,20912.0,"NOT LETTERED, NOT MAPPED",Winhall River,1479.1,Feet,NAVD88,50003C_STUDY1,,,,,,
19841,50003C,50003C_22,,50003C_11,20838.0,"NOT LETTERED, NOT MAPPED",Winhall River,1478.2,Feet,NAVD88,50003C_STUDY1,,,,,,
19842,50003C,50003C_23,,50003C_11,20077.0,"NOT LETTERED, NOT MAPPED",Winhall River,1467.2,Feet,NAVD88,50003C_STUDY1,,,,,,
19843,50003C,50003C_24,,50003C_11,19384.0,"NOT LETTERED, NOT MAPPED",Winhall River,1455.9,Feet,NAVD88,50003C_STUDY1,,,,,,
19844,50003C,50003C_25,,50003C_11,18830.0,"NOT LETTERED, NOT MAPPED",Winhall River,1449.1,Feet,NAVD88,50003C_STUDY1,,,,,,
19845,50003C,50003C_26,,50003C_11,18013.0,"NOT LETTERED, NOT MAPPED",Winhall River,1440.1,Feet,NAVD88,50003C_STUDY1,,,,,,
19846,50003C,50003C_27,,50003C_11,17509.0,"NOT LETTERED, NOT MAPPED",Winhall River,1435.7,Feet,NAVD88,50003C_STUDY1,,,,,,
19847,50003C,50003C_28,,50003C_11,16733.0,"NOT LETTERED, NOT MAPPED",Winhall River,1429.2,Feet,NAVD88,50003C_STUDY1,,,,,,
19848,50003C,50003C_29,,50003C_11,16316.0,"NOT LETTERED, NOT MAPPED",Winhall River,1425.8,Feet,NAVD88,50003C_STUDY1,,,,,,
19849,50003C,50003C_30,,50003C_11,15715.0,"NOT LETTERED, NOT MAPPED",Winhall River,1418.8,Feet,NAVD88,50003C_STUDY1,,,,,,
19850,50003C,50003C_31,,50003C_11,15424.0,"NOT LETTERED, NOT MAPPED",Winhall River,1416.1,Feet,NAVD88,50003C_STUDY1,,,,,,
19851,50003C,50003C_32,,50003C_11,14877.0,"NOT LETTERED, NOT MAPPED",Winhall River,1412.3,Feet,NAVD88,50003C_STUDY1,,,,,,
19852,50003C,50003C_33,,50003C_11,14561.0,"NOT LETTERED, NOT MAPPED",Winhall River,1410.5,Feet,NAVD88,50003C_STUDY1,,,,,,
19853,50003C,50003C_34,,50003C_11,13884.0,"NOT LETTERED, NOT MAPPED",Winhall River,1404.4,Feet,NAVD88,50003C_STUDY1,,,,,,
19854,50003C,50003C_35,,50003C_11,13579.0,"NOT LETTERED, NOT MAPPED",Winhall River,1401.8,Feet,NAVD88,50003C_STUDY1,,,,,,
19855,50003C,50003C_36,,50003C_11,13057.0,"NOT LETTERED, NOT MAPPED",Winhall River,1395.0,Feet,NAVD88,50003C_STUDY1,,,,,,
19856,50003C,50003C_37,,50003C_11,12739.0,"NOT LETTERED, NOT MAPPED",Winhall River,1391.0,Feet,NAVD88,50003C_STUDY1,,,,,,
19857,50003C,50003C_38,,50003C_11,12122.0,"NOT LETTERED, NOT MAPPED",Winhall River,1382.3,Feet,NAVD88,50003C_STUDY1,,,,,,
19858,50003C,50003C_39,,50003C_11,11815.0,"NOT LETTERED, NOT MAPPED",Winhall River,1378.7,Feet,NAVD88,50003C_STUDY1,,,,,,
19859,50003C,50003C_40,,50003C_11,11229.0,"NOT LETTERED, NOT MAPPED",Winhall River,1372.2,Feet,NAVD88,50003C_STUDY1,,,,,,
19860,50003C,50003C_41,,50003C_11,10974.0,"NOT LETTERED, NOT MAPPED",Winhall River,1370.1,Feet,NAVD88,50003C_STUDY1,,,,,,
19861,50003C,50003C_42,,50003C_11,10228.0,"NOT LETTERED, NOT MAPPED",Winhall River,1362.6,Feet,NAVD88,50003C_STUDY1,,,,,,
19862,50003C,50003C_43,,50003C_11,9695.0,"NOT LETTERED, NOT MAPPED",Winhall River,1355.7,Feet,NAVD88,50003C_STUDY1,,,,,,
19863,50003C,50003C_44,,50003C_11,9310.0,"NOT LETTERED, NOT MAPPED",Winhall River,1353.3,Feet,NAVD88,50003C_STUDY1,,,,,,
19864,50003C,50003C_45,,50003C_11,9217.0,"NOT LETTERED, NOT MAPPED",Winhall River,1353.0,Feet,NAVD88,50003C_STUDY1,,,,,,
19865,50003C,50003C_46,,50003C_11,9094.0,"NOT LETTERED, NOT MAPPED",Winhall River,1352.3,Feet,NAVD88,50003C_STUDY1,,,,,,
19866,50003C,50003C_47,,50003C_11,9006.0,"NOT LETTERED, NOT MAPPED",Winhall River,1352.1,Feet,NAVD88,50003C_STUDY1,,,,,,
19867,50003C,50003C_48,,50003C_11,8759.0,"NOT LETTERED, NOT MAPPED",Winhall River,1348.7,Feet,NAVD88,50003C_STUDY1,,,,,,
19868,50003C,50003C_49,,50003C_11,8265.0,"NOT LETTERED, NOT MAPPED",Winhall River,1342.3,Feet,NAVD88,50003C_STUDY1,,,,,,
19869,50003C,50003C_50,,50003C_11,8004.0,"NOT LETTERED, NOT MAPPED",Winhall River,1339.0,Feet,NAVD88,50003C_STUDY1,,,,,,
19870,50003C,50003C_51,,50003C_11,7261.0,"NOT LETTERED, NOT MAPPED",Winhall River,1333.2,Feet,NAVD88,50003C_STUDY1,,,,,,
19871,50003C,50003C_66,,50003C_5,10809.0,"NOT LETTERED, NOT MAPPED",West Branch Batten Kill,766.0,Feet,NAVD88,50003C_STUDY1,,,,,,
19872,50003C,50003C_67,,50003C_5,10630.0,"NOT LETTERED, NOT MAPPED",West Branch Batten Kill,765.2,Feet,NAVD88,50003C_STUDY1,,,,,,
19873,50003C,50003C_68,,50003C_5,10258.0,"NOT LETTERED, NOT MAPPED",West Branch Batten Kill,764.0,Feet,NAVD88,50003C_STUDY1,,,,,,
19874,50003C,50003C_69,,50003C_5,9545.0,"NOT LETTERED, NOT MAPPED",West Branch Batten Kill,761.7,Feet,NAVD88,50003C_STUDY1,,,,,,
19875,50003C,50003C_70,,50003C_5,8371.0,"NOT LETTERED, NOT MAPPED",West Branch Batten Kill,759.2,Feet,NAVD88,50003C_STUDY1,,,,,,
19876,50003C,50003C_71,,50003C_5,7540.0,"NOT LETTERED, NOT MAPPED",West Branch Batten Kill,757.6,Feet,NAVD88,50003C_STUDY1,,,,,,
19877,50003C,50003C_72,,50003C_5,7216.0,"NOT LETTERED, NOT MAPPED",West Branch Batten Kill,757.4,Feet,NAVD88,50003C_STUDY1,,,,,,
19878,50003C,50003C_73,,50003C_5,7109.0,"NOT LETTERED, NOT MAPPED",West Branch Batten Kill,757.1,Feet,NAVD88,50003C_STUDY1,,,,,,
19879,50003C,50003C_74,,50003C_5,7044.0,"NOT LETTERED, NOT MAPPED",West Branch Batten Kill,757.1,Feet,NAVD88,50003C_STUDY1,,,,,,
19880,50003C,50003C_75,,50003C_5,6806.0,"NOT LETTERED, NOT MAPPED",West Branch Batten Kill,756.3,Feet,NAVD88,50003C_STUDY1,,,,,,
19881,50003C,50003C_76,,50003C_5,6639.0,"NOT LETTERED, NOT MAPPED",West Branch Batten Kill,755.9,Feet,NAVD88,50003C_STUDY1,,,,,,
19882,50003C,50003C_77,,50003C_5,6518.0,"NOT LETTERED, NOT MAPPED",West Branch Batten Kill,753.4,Feet,NAVD88,50003C_STUDY1,,,,,,
19883,50003C,50003C_52,,50003C_11,6982.0,"NOT LETTERED, NOT MAPPED",Winhall River,1330.0,Feet,NAVD88,50003C_STUDY1,,,,,,
19884,50003C,50003C_53,,50003C_11,6301.0,"NOT LETTERED, NOT MAPPED",Winhall River,1321.8,Feet,NAVD88,50003C_STUDY1,,,,,,
19885,50003C,50003C_54,,50003C_11,5709.0,"NOT LETTERED, NOT MAPPED",Winhall River,1313.7,Feet,NAVD88,50003C_STUDY1,,,,,,
19886,50003C,50003C_55,,50003C_11,4948.0,"NOT LETTERED, NOT MAPPED",Winhall River,1305.5,Feet,NAVD88,50003C_STUDY1,,,,,,
19887,50003C,50003C_56,,50003C_11,4485.0,"NOT LETTERED, NOT MAPPED",Winhall River,1300.0,Feet,NAVD88,50003C_STUDY1,,,,,,
19888,50003C,50003C_57,,50003C_11,3691.0,"NOT LETTERED, NOT MAPPED",Winhall River,1291.3,Feet,NAVD88,50003C_STUDY1,,,,,,
19889,50003C,50003C_58,,50003C_11,3348.0,"NOT LETTERED, NOT MAPPED",Winhall River,1284.2,Feet,NAVD88,50003C_STUDY1,,,,,,
19890,50003C,50003C_59,,50003C_11,3082.0,"NOT LETTERED, NOT MAPPED",Winhall River,1281.7,Feet,NAVD88,50003C_STUDY1,,,,,,
19891,50003C,50003C_60,,50003C_11,2380.0,"NOT LETTERED, NOT MAPPED",Winhall River,1274.7,Feet,NAVD88,50003C_STUDY1,,,,,,
19892,50003C,50003C_61,,50003C_11,1909.0,"NOT LETTERED, NOT MAPPED",Winhall River,1268.4,Feet,NAVD88,50003C_STUDY1,,,,,,
19893,50003C,50003C_62,,50003C_11,848.0,"NOT LETTERED, NOT MAPPED",Winhall River,1255.7,Feet,NAVD88,50003C_STUDY1,,,,,,
19894,50003C,50003C_63,,50003C_11,-52.0,"NOT LETTERED, NOT MAPPED",Winhall River,1249.0,Feet,NAVD88,50003C_STUDY1,,,,,,
19895,50003C,50003C_64,,50003C_5,12522.0,"NOT LETTERED, NOT MAPPED",West Branch Batten Kill,773.8,Feet,NAVD88,50003C_STUDY1,,,,,,
19896,50003C,50003C_65,,50003C_5,11867.0,"NOT LETTERED, NOT MAPPED",West Branch Batten Kill,770.8,Feet,NAVD88,50003C_STUDY1,,,,,,
19897,50003C,50003C_78,,50003C_5,6456.0,"NOT LETTERED, NOT MAPPED",West Branch Batten Kill,753.1,Feet,NAVD88,50003C_STUDY1,,,,,,
19898,50003C,50003C_79,,50003C_5,5654.0,"NOT LETTERED, NOT MAPPED",West Branch Batten Kill,752.2,Feet,NAVD88,50003C_STUDY1,,,,,,
19899,50003C,50003C_80,,50003C_5,5208.0,"NOT LETTERED, NOT MAPPED",West Branch Batten Kill,749.6,Feet,NAVD88,50003C_STUDY1,,,,,,
19900,50003C,50003C_81,,50003C_5,4763.0,"NOT LETTERED, NOT MAPPED",West Branch Batten Kill,746.6,Feet,NAVD88,50003C_STUDY1,,,,,,
19901,50003C,50003C_82,,50003C_5,4161.0,"NOT LETTERED, NOT MAPPED",West Branch Batten Kill,745.0,Feet,NAVD88,50003C_STUDY1,,,,,,
19902,50003C,50003C_83,,50003C_5,3893.0,"NOT LETTERED, NOT MAPPED",West Branch Batten Kill,744.4,Feet,NAVD88,50003C_STUDY1,,,,,,
19903,50003C,50003C_84,,50003C_5,3403.0,"NOT LETTERED, NOT MAPPED",West Branch Batten Kill,742.1,Feet,NAVD88,50003C_STUDY1,,,,,,
19904,50003C,50003C_85,,50003C_5,3218.0,"NOT LETTERED, NOT MAPPED",West Branch Batten Kill,741.9,Feet,NAVD88,50003C_STUDY1,,,,,,
19905,50003C,50003C_86,,50003C_5,2791.0,"NOT LETTERED, NOT MAPPED",West Branch Batten Kill,735.6,Feet,NAVD88,50003C_STUDY1,,,,,,
19906,50003C,50003C_87,,50003C_5,2734.0,"NOT LETTERED, NOT MAPPED",West Branch Batten Kill,735.6,Feet,NAVD88,50003C_STUDY1,,,,,,
19907,50003C,50003C_88,,50003C_5,2470.0,"NOT LETTERED, NOT MAPPED",West Branch Batten Kill,712.5,Feet,NAVD88,50003C_STUDY1,,,,,,
19908,50003C,50003C_101,,50003C_9,31975.0,"NOT LETTERED, NOT MAPPED",Walloomsac River,599.6,Feet,NAVD88,50003C_STUDY1,,,,,,
19909,50003C,50003C_102,,50003C_9,30969.0,"NOT LETTERED, NOT MAPPED",Walloomsac River,593.3,Feet,NAVD88,50003C_STUDY1,,,,,,
19910,50003C,50003C_103,,50003C_9,30314.0,"NOT LETTERED, NOT MAPPED",Walloomsac River,589.5,Feet,NAVD88,50003C_STUDY1,,,,,,
19911,50003C,50003C_104,,50003C_9,28889.0,"NOT LETTERED, NOT MAPPED",Walloomsac River,580.8,Feet,NAVD88,50003C_STUDY1,,,,,,
19912,50003C,50003C_105,,50003C_9,27748.0,"NOT LETTERED, NOT MAPPED",Walloomsac River,576.6,Feet,NAVD88,50003C_STUDY1,,,,,,
19913,50003C,50003C_90,,50003C_5,1123.0,"NOT LETTERED, NOT MAPPED",West Branch Batten Kill,697.4,Feet,NAVD88,50003C_STUDY1,,,,,,
19914,50003C,50003C_91,,50003C_5,743.0,"NOT LETTERED, NOT MAPPED",West Branch Batten Kill,693.2,Feet,NAVD88,50003C_STUDY1,,,,,,
19915,50003C,50003C_92,,50003C_9,34014.0,"NOT LETTERED, NOT MAPPED",Walloomsac River,617.0,Feet,NAVD88,50003C_STUDY1,,,,,,
19916,50003C,50003C_93,,50003C_9,33851.0,"NOT LETTERED, NOT MAPPED",Walloomsac River,616.6,Feet,NAVD88,50003C_STUDY1,,,,,,
19917,50003C,50003C_94,,50003C_9,33685.0,"NOT LETTERED, NOT MAPPED",Walloomsac River,613.4,Feet,NAVD88,50003C_STUDY1,,,,,,
19918,50003C,50003C_95,,50003C_9,33383.0,"NOT LETTERED, NOT MAPPED",Walloomsac River,612.4,Feet,NAVD88,50003C_STUDY1,,,,,,
19919,50003C,50003C_96,,50003C_9,33177.0,"NOT LETTERED, NOT MAPPED",Walloomsac River,610.1,Feet,NAVD88,50003C_STUDY1,,,,,,
19920,50003C,50003C_97,,50003C_9,33095.0,"NOT LETTERED, NOT MAPPED",Walloomsac River,609.9,Feet,NAVD88,50003C_STUDY1,,,,,,
19921,50003C,50003C_98,,50003C_9,33022.0,"NOT LETTERED, NOT MAPPED",Walloomsac River,609.1,Feet,NAVD88,50003C_STUDY1,,,,,,
19922,50003C,50003C_99,,50003C_9,32972.0,"NOT LETTERED, NOT MAPPED",Walloomsac River,607.9,Feet,NAVD88,50003C_STUDY1,,,,,,
19923,50003C,50003C_100,,50003C_9,32695.0,"NOT LETTERED, NOT MAPPED",Walloomsac River,605.5,Feet,NAVD88,50003C_STUDY1,,,,,,
19924,50003C,50003C_89,,50003C_5,1768.0,"NOT LETTERED, NOT MAPPED",West Branch Batten Kill,700.2,Feet,NAVD88,50003C_STUDY1,,,,,,
19925,50003C,50003C_106,,50003C_9,27157.0,"NOT LETTERED, NOT MAPPED",Walloomsac River,575.5,Feet,NAVD88,50003C_STUDY1,,,,,,
19926,50003C,50003C_107,,50003C_9,26148.0,"NOT LETTERED, NOT MAPPED",Walloomsac River,573.8,Feet,NAVD88,50003C_STUDY1,,,,,,
19927,50003C,50003C_108,,50003C_9,25825.0,"NOT LETTERED, NOT MAPPED",Walloomsac River,573.2,Feet,NAVD88,50003C_STUDY1,,,,,,
19928,50003C,50003C_109,,50003C_9,24791.0,"NOT LETTERED, NOT MAPPED",Walloomsac River,571.1,Feet,NAVD88,50003C_STUDY1,,,,,,
19929,50003C,50003C_110,,50003C_9,24289.0,"NOT LETTERED, NOT MAPPED",Walloomsac River,570.2,Feet,NAVD88,50003C_STUDY1,,,,,,
19930,50003C,50003C_111,,50003C_9,23778.0,"NOT LETTERED, NOT MAPPED",Walloomsac River,568.6,Feet,NAVD88,50003C_STUDY1,,,,,,
19931,50003C,50003C_112,X,50003C_9,23343.0,"LETTERED, MAPPED",Walloomsac River,568.3,Feet,NAVD88,50003C_STUDY1,,,,,,
19932,50003C,50003C_113,,50003C_9,22611.0,"NOT LETTERED, NOT MAPPED",Walloomsac River,568.2,Feet,NAVD88,50003C_STUDY1,,,,,,
19933,50003C,50003C_114,,50003C_9,22328.0,"NOT LETTERED, NOT MAPPED",Walloomsac River,568.2,Feet,NAVD88,50003C_STUDY1,,,,,,
19934,50003C,50003C_115,W,50003C_9,21358.0,"LETTERED, MAPPED",Walloomsac River,567.6,Feet,NAVD88,50003C_STUDY1,,,,,,
19935,50003C,50003C_116,,50003C_9,21175.0,"NOT LETTERED, NOT MAPPED",Walloomsac River,566.4,Feet,NAVD88,50003C_STUDY1,,,,,,
19936,50003C,50003C_117,,50003C_9,20905.0,"NOT LETTERED, NOT MAPPED",Walloomsac River,566.1,Feet,NAVD88,50003C_STUDY1,,,,,,
