OBJECTID,DIST_ID,ORG_NAME,NAME,ADDR,ADDR2,CITY,ZIP,PHONE,FAX,COLOR,EMAIL,URL,MAPURL,URL2,Shape__Area,Shape__Length
23,137SSA,Beach Park Special Service Area 3,BEACH PARK SSA #3,11270 W Wadsworth Rd, ,Beach Park,60099.0,(847) 746-1770,(847) 746-1797 fax,2.0, ,http://www.villageofbeachpark.com/,https://maps.lakecountyil.gov/output/districtmaps/spec/BeachParkSpecialServiceArea3.pdf,,14544.359375,585.635222000562
24,138SSA,Beach Park Special Service Area 4,BEACH PARK SSA #4,11270 W Wadsworth Rd, ,Beach Park,60099.0,(847) 746-1770,(847) 746-1797 fax,3.0, ,http://www.villageofbeachpark.com/,https://maps.lakecountyil.gov/output/districtmaps/spec/BeachParkSpecialServiceArea4.pdf,,19724.39453125,740.955142618672
25,139SSA,Beach Park Special Service Area 5,BEACH PARK SSA #5,11270 W Wadsworth Rd, ,Beach Park,60099.0,(847) 746-1770,(847) 746-1797 fax,1.0, ,http://www.villageofbeachpark.com/,https://maps.lakecountyil.gov/output/districtmaps/spec/BeachParkSpecialServiceArea5.pdf,,25440.046875,887.083205152601
26,140SSA,Beach Park Special Service Area 6,BEACH PARK SSA #6,11270 W Wadsworth Rd, ,Beach Park,60099.0,(847) 746-1770,(847) 746-1797 fax,4.0, ,http://www.villageofbeachpark.com/,https://maps.lakecountyil.gov/output/districtmaps/spec/BeachParkSpecialServiceArea6.pdf,,2543170.203125,10304.6566738146
27,141SSA,Beach Park Special Service Area 7,BEACH PARK SSA #7,11270 W Wadsworth Rd, ,Beach Park,60099.0,(847) 746-1770,(847) 746-1797 fax,3.0, ,http://www.villageofbeachpark.com/,https://maps.lakecountyil.gov/output/districtmaps/spec/BeachParkSpecialServiceArea7.pdf,,5991.19921875,309.88598414247
28,142SSA,Beach Park Special Service Area 8,BEACH PARK SSA #8,11270 W Wadsworth Rd, ,Beach Park,60099.0,(847) 746-1770,(847) 746-1797 fax,6.0, ,http://www.villageofbeachpark.com/,https://maps.lakecountyil.gov/output/districtmaps/spec/BeachParkSpecialServiceArea8.pdf,,5209.1640625,326.14357524442
29,143SSA,Beach Park Special Service Area 9,BEACH PARK SSA #9,11270 W Wadsworth Rd, ,Beach Park,60099.0,(847) 746-1770,(847) 746-1797 fax,0.0, ,http://www.villageofbeachpark.com/,https://maps.lakecountyil.gov/output/districtmaps/spec/BeachParkSpecialServiceArea9.pdf,,22966.77734375,843.290470770194
30,149SSA,Lake County Special Service Area 8,LAKE COUNTY SSA #8,18 N County St, ,Waukegan,60085.0,(847) 377-2000, ,6.0, ,https://www.lakecountyil.gov,https://maps.lakecountyil.gov/output/districtmaps/spec/LakeCountySpecialServiceArea8.pdf,,12818619.5703125,16907.2304158754
31,151SSA,Lake County Special Service Area 12,LAKE COUNTY SSA #12,18 N County St, ,Waukegan,60085.0,(847) 377-2000, ,1.0, ,https://www.lakecountyil.gov,https://maps.lakecountyil.gov/output/districtmaps/spec/LakeCountySpecialServiceArea12.pdf,,284123.78125,3880.83460852936
32,152SSA,Lake County Special Service Area 13,LAKE COUNTY SSA #13,18 N County St, ,Waukegan,60085.0,(847) 377-2000, ,0.0, ,https://www.lakecountyil.gov,https://maps.lakecountyil.gov/output/districtmaps/spec/LakeCountySpecialServiceArea13.pdf,,463128.43359375,4534.26244955779
33,153SSA,Lake County Special Service Area 14,LAKE COUNTY SSA #14,18 N County St, ,Waukegan,60085.0,(847) 377-2000, ,0.0, ,https://www.lakecountyil.gov,https://maps.lakecountyil.gov/output/districtmaps/spec/LakeCountySpecialServiceArea14.pdf,,39306.0,866.628796017611
34,154SSA,Lake County Special Service Area 16,LAKE COUNTY SPECIAL SERVICE AREA 16,18 N County St, ,Waukegan,60085.0,(847) 377-2000, ,0.0, ,https://www.lakecountyil.gov,https://maps.lakecountyil.gov/output/districtmaps/spec/LakeCountySpecialServiceArea16.pdf,,58628493.125,152618.004882375
35,155SSA,Lake County Special Service Area 17,LAKE COUNTY SSA #17,18 N County St, ,Waukegan,60085.0,(847) 377-2000, ,4.0, ,https://www.lakecountyil.gov,https://maps.lakecountyil.gov/output/districtmaps/spec/LakeCountySpecialServiceArea17.pdf,,503240.16796875,11945.8810577805
36,156SSA,Deer Park Special Service Area 10,DEER PARK SSA #10,23680 Cuba Rd, ,Deer Park,60010.0,(847) 726-1648,(847) 726-1659 fax,0.0, ,http://www.villageofdeerpark.com/,https://maps.lakecountyil.gov/output/districtmaps/spec/DeerParkSpecialServiceArea10.pdf,,493169.68359375,4760.78109996248
37,158SSA,Deer Park Special Service Area 2,DEER PARK SSA #2,23680 Cuba Rd, ,Deer Park,60010.0,(847) 726-1648,(847) 726-1659 fax,0.0, ,http://www.villageofdeerpark.com/,https://maps.lakecountyil.gov/output/districtmaps/spec/DeerParkSpecialServiceArea2.pdf,,637670.8515625,3652.22557949931
38,159SSA,Deer Park Special Service Area 3,DEER PARK SSA #3,23680 Cuba Rd, ,Deer Park,60010.0,(847) 726-1648,(847) 726-1659 fax,0.0, ,http://www.villageofdeerpark.com/,https://maps.lakecountyil.gov/output/districtmaps/spec/DeerParkSpecialServiceArea2.pdf,,688347.21875,3675.41716687282
39,160SSA,Deer Park Special Service Area 4,DEER PARK SSA #4,23680 Cuba Rd, ,Deer Park,60010.0,(847) 726-1648,(847) 726-1659 fax,0.0, ,http://www.villageofdeerpark.com/,https://maps.lakecountyil.gov/output/districtmaps/spec/DeerParkSpecialServiceArea4.pdf,,458476.453125,3610.78822614129
40,161SSA,Deer Park Special Service Area 5,DEER PARK SSA #5,23680 Cuba Rd, ,Deer Park,60010.0,(847) 726-1648,(847) 726-1659 fax,0.0, ,http://www.villageofdeerpark.com/,https://maps.lakecountyil.gov/output/districtmaps/spec/DeerParkSpecialServiceArea5.pdf,,559263.796875,3717.31935515905
41,162SSA,Deer Park Special Service Area 6,DEER PARK SSA #6,23680 Cuba Rd, ,Deer Park,60010.0,(847) 726-1648,(847) 726-1659 fax,0.0, ,http://www.villageofdeerpark.com/,https://maps.lakecountyil.gov/output/districtmaps/spec/DeerParkSpecialServiceArea6.pdf,,623238.0703125,3352.81341934862
42,163SSA,Deer Park Special Service Area 7,DEER PARK SSA #7,23680 Cuba Rd, ,Deer Park,60010.0,(847) 726-1648,(847) 726-1659 fax,0.0, ,http://www.villageofdeerpark.com/,https://maps.lakecountyil.gov/output/districtmaps/spec/DeerParkSpecialServiceArea7.pdf,,508914.1484375,4105.18767438232
43,164SSA,Deer Park Special Service Area 8,DEER PARK SSA #8,23680 Cuba Rd, ,Deer Park,60010.0,(847) 726-1648,(847) 726-1659 fax,0.0, ,http://www.villageofdeerpark.com/,https://maps.lakecountyil.gov/output/districtmaps/spec/DeerParkSpecialServiceArea8.pdf,,544361.9609375,3814.25768566637
44,165SSA,Deer Park Special Service Area 9,DEER PARK SSA #9,23680 Cuba Rd, ,Deer Park,60010.0,(847) 726-1648,(847) 726-1659 fax,0.0, ,http://www.villageofdeerpark.com/,https://maps.lakecountyil.gov/output/districtmaps/spec/DeerParkSpecialServiceArea9.pdf,,545251.69921875,3289.98315235863
45,166SSA,Fox River Grove Special Service Area Gardner Ter,FOX RIVER GROVE SSA - GARDNER TERRACE,305 Illinois St, ,Fox River Grove,60021.0,(847) 639-3170,(847) 639-9876 fax,4.0, ,https://www.foxrivergrove.org/,https://maps.lakecountyil.gov/output/districtmaps/spec/FoxRiverGroveSpecialServiceAreaGardnerTer.pdf,,152261.8515625,1661.64373593615
46,167SSA,Fox River Grove Special Service Area Hunters Farm,FOX RIVER GROVE SSA - HUNTERS FARM,305 Illinois St, ,Fox River Grove,60021.0,(847) 639-3170,(847) 639-9876 fax,1.0, ,https://www.foxrivergrove.org/,https://maps.lakecountyil.gov/output/districtmaps/spec/FoxRiverGroveSpecialServiceAreaHuntersFarm.pdf,,366092.46875,7409.86602716925
47,168SSA,Fox River Grove Talon Sub Special Service Area,FOX RIVER GROVE SSA - TALON SUB,305 Illinois St, ,Fox River Grove,60021.0,(847) 639-3170,(847) 639-9876 fax,1.0, ,https://www.foxrivergrove.org/,https://maps.lakecountyil.gov/output/districtmaps/spec/FoxRiverGroveTalonSubSpecialServiceArea.pdf,,75742.49609375,1199.01237754884
48,169SSA,Gurnee Special Service Area 2,GURNEE SSA #2,325 N O'Plaine Rd, ,Gurnee,60031.0,(847) 599-7500,(847) 623-9475 fax,2.0, ,https://www.gurnee.il.us/,https://maps.lakecountyil.gov/output/districtmaps/spec/GurneeSpecialServiceArea2.pdf,,233514.14453125,4699.82467765444
49,179SSA,Green Oaks Special Service Area 11,GREEN OAKS SSA #11,2020 O'Plaine Rd, ,Green Oaks,60048.0,(847) 362-5363,(847) 362-5375 fax,0.0,vilgrnoaks@aol.com,http://www.greenoaks.org/,https://maps.lakecountyil.gov/output/districtmaps/spec/GreenOaksSpecialServiceArea11.pdf,,591735.1484375,4711.3501958259
50,180SSA,Hawthorn Woods Special Service Area 1,HAWTHORN WOODS SSA #1,2 Lagoon Dr, ,Hawthorn Woods,60047.0,(847) 438-5500,(847) 438-1459 fax,6.0, ,http://www.vhw.org/,https://maps.lakecountyil.gov/output/districtmaps/spec/HawthornWoodsSpecialServiceArea1.pdf,,8849482.4296875,27039.9878021445
51,181SSA,Hawthorn Woods Special Service Area 2,HAWTHORN WOODS SSA #2,2 Lagoon Dr, ,Hawthorn Woods,60047.0,(847) 438-5500,(847) 438-1459 fax,2.0, ,http://www.vhw.org/,https://maps.lakecountyil.gov/output/districtmaps/spec/HawthornWoodsSpecialServiceArea2.pdf,,15708907.2773438,44620.5256959436
52,182SSA,Hawthorn Woods Special Service Area 3,HAWTHORN WOODS SSA #3,2 Lagoon Dr, ,Hawthorn Woods,60047.0,(847) 438-5500,(847) 438-1459 fax,4.0, ,http://www.vhw.org/,https://maps.lakecountyil.gov/output/districtmaps/spec/HawthornWoodsSpecialServiceArea3.pdf,,9555367.73828125,24666.286083309
53,183SSA,Hawthorn Woods Special Service Area 4,HAWTHORN WOODS SSA #4,2 Lagoon Dr, ,Hawthorn Woods,60047.0,(847) 438-5500,(847) 438-1459 fax,0.0, ,http://www.vhw.org/,https://maps.lakecountyil.gov/output/districtmaps/spec/HawthornWoodsSpecialServiceArea4.pdf,,1066373.01171875,4480.50859125834
54,184SSA,Hainesville Special Service Area 1,HAINESVILLE SSA #1,100 N Hainesville Rd, ,Hainesville,60030.0,(847) 223-2032,(847) 223-2274 fax,6.0, ,https://www.hainesville.org/,https://maps.lakecountyil.gov/output/districtmaps/spec/HainesvilleSpecialServiceArea1.pdf,,1053305.58984375,5269.53413692615
55,195SSA,Highland Park Special Service Area 14-a,HIGHLAND PARK SSA #14A,1707 St Johns Ave, ,Highland Park,60035.0,(847) 432-0800,(847) 432-2624 fax,0.0, ,https://www.cityhpil.com/,https://maps.lakecountyil.gov/output/districtmaps/spec/HighlandParkSpecialServiceArea14-a.pdf,,4182.05859375,269.647007149575
56,196SSA,Highland Park Special Service Area 14-b,HIGHLAND PARK SSA #14B,1707 St Johns Ave, ,Highland Park,60035.0,(847) 432-0800,(847) 432-2624 fax,0.0, ,https://www.cityhpil.com/,https://maps.lakecountyil.gov/output/districtmaps/spec/HighlandParkSpecialServiceArea14-b.pdf,,5921.43359375,423.695105127952
57,197SSA,Highland Park Special Service Area 14-c,HIGHLAND PARK SSA #14C,1707 St Johns Ave, ,Highland Park,60035.0,(847) 432-0800,(847) 432-2624 fax,0.0, ,https://www.cityhpil.com/,https://maps.lakecountyil.gov/output/districtmaps/spec/HighlandParkSpecialServiceArea14-c.pdf,,9374.42578125,400.152072938191
58,205SSA,Highland Park Special Service Area 17,HIGHLAND PARK SSA 17,1707 St Johns Ave, ,Highland Park,60035.0,(847) 432-0800,(847) 432-2624 fax,0.0, ,https://www.cityhpil.com/,https://maps.lakecountyil.gov/output/districtmaps/spec/HighlandParkSpecialServiceArea17.pdf,,190586.390625,5376.55587629993
59,206SSA,Highland Park Special Service Area 18,HIGHLAND PARK SSA #18,1707 St Johns Ave, ,Highland Park,60035.0,(847) 432-0800,(847) 432-2624 fax,0.0, ,https://www.cityhpil.com/,https://maps.lakecountyil.gov/output/districtmaps/spec/HighlandParkSpecialServiceArea18.pdf,,951380.01171875,7102.14814716921
60,208SSA,Kildeer Special Service Area 1,KILDEER SSA #1,21911 Quentin Rd, ,Kildeer,60047.0,(847) 438-6000,(847) 438-1531 fax,3.0, ,https://villageofkildeer.com/,https://maps.lakecountyil.gov/output/districtmaps/spec/KildeerSpecialServiceArea1.pdf,,395417.60546875,4155.38997092698
61,209SSA,Lake Barrington Special Service Area 12,LAKE BARRINGTON SSA #12,23860 N Old Barrington Rd, ,Barrington,60010.0,(847) 381-6010,(847) 381-8557 fax,5.0, ,https://www.lakebarrington.org/,https://maps.lakecountyil.gov/output/districtmaps/spec/LakeBarringtonSpecialServiceArea12.pdf,,74778.6015625,1126.25678259722
62,210SSA,Lake Barrington Special Service Area 13,LAKE BARRINGTON SSA #13,23860 N Old Barrington Rd, ,Barrington,60010.0,(847) 381-6010,(847) 381-8557 fax,4.0, ,https://www.lakebarrington.org/,https://maps.lakecountyil.gov/output/districtmaps/spec/LakeBarringtonSpecialServiceArea13.pdf,,807009.4921875,5539.38488234292
63,211SSA,Lake Barrington Special Service Area 1,LAKE BARRINGTON SSA #1,23860 N Old Barrington Rd, ,Barrington,60010.0,(847) 381-6010,(847) 381-8557 fax,2.0, ,https://www.lakebarrington.org/,https://maps.lakecountyil.gov/output/districtmaps/spec/LakeBarringtonSpecialServiceArea1.pdf,,267183.984375,2177.41189226137
64,212SSA,Lake Barrington Special Service Area 2,LAKE BARRINGTON SSA #2,23860 N Old Barrington Rd, ,Barrington,60010.0,(847) 381-6010,(847) 381-8557 fax,3.0, ,https://www.lakebarrington.org/,https://maps.lakecountyil.gov/output/districtmaps/spec/LakeBarringtonSpecialServiceArea2.pdf,,198711.6484375,1896.13890483125
65,213SSA,Lake Barrington Special Service Area 3,LAKE BARRINGTON SSA #3,23860 N Old Barrington Rd, ,Barrington,60010.0,(847) 381-6010,(847) 381-8557 fax,2.0, ,https://www.lakebarrington.org/,https://maps.lakecountyil.gov/output/districtmaps/spec/LakeBarringtonSpecialServiceArea3.pdf,,2234988.625,9516.08195846017
66,214SSA,Lake Barrington Special Service Area 4,LAKE BARRINGTON SSA #4,23860 N Old Barrington Rd, ,Barrington,60010.0,(847) 381-6010,(847) 381-8557 fax,1.0, ,https://www.lakebarrington.org/,https://maps.lakecountyil.gov/output/districtmaps/spec/LakeBarringtonSpecialServiceArea4.pdf,,126528.91796875,1467.36454106589
67,215SSA,Lake Barrington Special Service Area 5,LAKE BARRINGTON SSA #5,23860 N Old Barrington Rd, ,Barrington,60010.0,(847) 381-6010,(847) 381-8557 fax,6.0, ,https://www.lakebarrington.org/,https://maps.lakecountyil.gov/output/districtmaps/spec/LakeBarringtonSpecialServiceArea5.pdf,,260668.6640625,2509.41690252809
68,216SSA,Lake Barrington Special Service Area 6,LAKE BARRINGTON SSA #6,23860 N Old Barrington Rd, ,Barrington,60010.0,(847) 381-6010,(847) 381-8557 fax,1.0, ,https://www.lakebarrington.org/,https://maps.lakecountyil.gov/output/districtmaps/spec/LakeBarringtonSpecialServiceArea6.pdf,,65355.6171875,1338.01706760781
69,217SSA,Lake Barrington Special Service Area 7,LAKE BARRINGTON SSA #7,23860 N Old Barrington Rd, ,Barrington,60010.0,(847) 381-6010,(847) 381-8557 fax,1.0, ,https://www.lakebarrington.org/,https://maps.lakecountyil.gov/output/districtmaps/spec/LakeBarringtonSpecialServiceArea7.pdf,,568858.96875,9191.9398498208
70,218SSA,Lake Barrington Special Service Area 8,LAKE BARRINGTON SSA #8,23860 N Old Barrington Rd, ,Barrington,60010.0,(847) 381-6010,(847) 381-8557 fax,5.0, ,https://www.lakebarrington.org/,https://maps.lakecountyil.gov/output/districtmaps/spec/LakeBarringtonSpecialServiceArea8.pdf,,1252243.04296875,10535.0928172703
71,219SSA,Lake Barrington Special Service Area 9,LAKE BARRINGTON SSA #9,23860 N Old Barrington Rd, ,Barrington,60010.0,(847) 381-6010,(847) 381-8557 fax,5.0, ,https://www.lakebarrington.org/,https://maps.lakecountyil.gov/output/districtmaps/spec/LakeBarringtonSpecialServiceArea9.pdf,,53050.22265625,966.695143786171
72,220SSA,Lake Barrington Special Service Area 11,LAKE BARRINGTON SSA #11,23860 N Old Barrington Rd, ,Barrington,60010.0,(847) 381-6010,(847) 381-8557 fax,4.0, ,https://www.lakebarrington.org/,https://maps.lakecountyil.gov/output/districtmaps/spec/LakeBarringtonSpecialServiceArea11.pdf,,486717.50390625,3039.42630568104
73,221SSA,Lake Barrington Special Service Area 14,LAKE BARRINGTON SSA #14,23860 N Old Barrington Rd, ,Barrington,60010.0,(847) 381-6010,(847) 381-8557 fax,0.0, ,https://www.lakebarrington.org/,https://maps.lakecountyil.gov/output/districtmaps/spec/LakeBarringtonSpecialServiceArea14.pdf,,221074.5546875,2187.94583821101
74,222SSA,Lake Barrington Special Service Area 15,LAKE BARRINGTON SSA #15,23860 N Old Barrington Rd, ,Barrington,60010.0,(847) 381-6010,(847) 381-8557 fax,0.0, ,https://www.lakebarrington.org/,https://maps.lakecountyil.gov/output/districtmaps/spec/LakeBarringtonSpecialServiceArea15.pdf,,473564.2265625,5123.08969288819
75,223SSA,Libertyville Special Service Area 1,LIBERTYVILLE SSA #1,118 W Cook Ave, ,Libertyville,60048.0,(847) 362-2430,(847) 362-9453 fax,1.0, ,http://libertyville.com/,https://maps.lakecountyil.gov/output/districtmaps/spec/LibertyvilleSpecialServiceArea1.pdf,,309147.3828125,2484.18611034052
76,224SSA,Libertyville Special Service Area 2,LIBERTYVILLE SSA #2,118 W Cook Ave, ,Libertyville,60048.0,(847) 362-2430,(847) 362-9453 fax,2.0, ,http://libertyville.com/,https://maps.lakecountyil.gov/output/districtmaps/spec/LibertyvilleSpecialServiceArea2.pdf,,291057.8828125,2510.07120676232
77,226SSA,Long Grove Special Service Area 4 - Deep Well,LONG GROVE SSA #4--DEEP WATER/IL83,3110 Old McHenry Rd, ,Long Grove,60047.0,(847) 634-9440,(847) 634-9408 fax,0.0, ,https://www.longgroveil.gov/,https://maps.lakecountyil.gov/output/districtmaps/spec/LongGroveSpecialServiceAreaDeepWell.pdf,,379163.8828125,3416.23070347154
78,227SSA,Long Grove Herons Landing Special Service Area 5,LONG GROVE SSA #5--HERONS LANDING,3110 Old McHenry Rd, ,Long Grove,60047.0,(847) 634-9440,(847) 634-9408 fax,0.0, ,https://www.longgroveil.gov/,https://maps.lakecountyil.gov/output/districtmaps/spec/LongGroveHeronsLandingSpecialServiceArea5.pdf,,1473779.89453125,5908.69149297725
79,228SSA,Long Grove Special Service Area 3 - Downtown,LONG GROVE SSA #3--DOWNTOWN,3110 Old McHenry Rd, ,Long Grove,60047.0,(847) 634-9440,(847) 634-9408 fax,0.0, ,https://www.longgroveil.gov/,https://maps.lakecountyil.gov/output/districtmaps/spec/LongGroveSpecialServiceArea-Downtown.pdf,,201621.71875,2473.21770055214
80,233SSA,Lake Forest Special Service Area 25,LAKE FOREST SSA #25,220 E Deerpath Rd, ,Lake Forest,60045.0,(847) 234-2600,(847) 615-4289 fax,6.0, ,https://www.cityoflakeforest.com/,https://maps.lakecountyil.gov/output/districtmaps/spec/LakeForestSpecialServiceArea25.pdf,,1512099.078125,5413.05677304686
81,234SSA,Lake Forest Special Service Area 26,LAKE FOREST SSA #26,220 E Deerpath Rd, ,Lake Forest,60045.0,(847) 234-2600,(847) 615-4289 fax,1.0, ,https://www.cityoflakeforest.com/,https://maps.lakecountyil.gov/output/districtmaps/spec/LakeForestSpecialServiceArea26.pdf,,208962.8125,2518.18261521186
82,235SSA,Lake Forest Special Service Area 29,LAKE FOREST SSA #29,220 E Deerpath Rd, ,Lake Forest,60045.0,(847) 234-2600,(847) 615-4289 fax,1.0, ,https://www.cityoflakeforest.com/,https://maps.lakecountyil.gov/output/districtmaps/spec/LakeForestSpecialServiceArea29.pdf,,525469.5078125,3582.0331081394
