OBJECTID,CYCLE,ASSESSMENT_UNIT_ID,ASSESSMENT_UNIT_NAME,LOCATION_DESCRIPTION,WATER_TYPE_NAME,WATER_SIZE,UNITS,CLASS_ID,USE_CLASS_NAME,LIS_BASIN,LIS_ZONE,ISLAND,BEACH,Segment_ID,CT2022_AQL_USE_NAME,CT2022_AQL_USE_ATTAINMENT,CT2022_REC_USE_NAME,CT2022_REC_USE_ATTAINMENT,CT2022_FISHCON_USE_NAME,CT2022_FISHCON_USE_ATTAINMENT,CT2022_SHLFSH_USE_NAME,CT2022_SHLFSH_USE_ATTAINMENT,Impaired,Shape__Area,Shape__Length
19,2022,CT-W1_006,"LIS WB Inner - Mill River, Fairfield","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from Harbor Road crossing, US to saltwater limit at Sturges Road crossing (includes Mill Pond section of Mill River), Fairfield.",ESTUARY,0.033,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Inner Estuary,False,False,CT-W1_006,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Insufficient Information,Fish Consumption,Not Supporting,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,913136.136566162,12504.3614815416
20,2022,CT-W1_010-SB,"LIS WB Inner - Saugatuck River (mouth), Westport","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth of Saugatuck River Estuary (at Bluff Point across to Owenoke), US to RR crossing, DS of I95 crossing (includes Kitts Island, Burritt Cove), Westport.",ESTUARY,0.645,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Western,Inner Estuary,True,False,CT-W1_010-SB,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Commercial Shellfish Harvesting Where Authorized,Not Supporting,Yes,17969699.0228577,40307.2731995514
23,2022,CT-W1_021-SB,"LIS WB Inner - Greenwich Harbor, Greenwich","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth of Greenwich Harbor (Round Island to Smith Cove), US to saltwater limit just below I95 (mouth of Horseneck Brook), Greenwich.",ESTUARY,0.104,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Western,Inner Estuary,False,False,CT-W1_021-SB,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Commercial Shellfish Harvesting Where Authorized,Not Supporting,Yes,2886952.34585571,13565.675680081
24,2022,CT-E1_001-SB,"LIS EB Inner - Pawcatuck River (01), Stonington","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary in Pawcatuck River from Stanton Weir Point US to Saltwater limit, parallel to RR and Mechanic Street, Clarks Village, (Stonington).",ESTUARY,0.103,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Eastern,Inner Estuary,False,False,CT-E1_001-SB,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Commercial Shellfish Harvesting Where Authorized,Not Supporting,Yes,2860400.67169189,18240.6604461086
25,2022,CT-E1_002-SB,"LIS EB Inner - Pawcatuck River (02), Stonington","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary in Pawcatuck River from mouth at Pawcatuck Point, US to Stanton Weir Point.",ESTUARY,0.313,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Eastern,Inner Estuary,False,False,CT-E1_002-SB,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Commercial Shellfish Harvesting Where Authorized,Fully Supporting,Yes,8720442.76293945,34675.4515807014
27,2022,CT-W2_013,"LIS WB Shore - Outer Norwalk Harbor(West), Norwalk","See Map for Boundaries.  Western portion of LIS from just west of Hoyt Island to midpoint of outer Norwalk Harbor (includes Hickory Bluff Beach, Hoyt Island, Keyser Point) out approximately 1000 ft offshore, Norwalk.",ESTUARY,0.365,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Shore,True,True,CT-W2_013,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,10186500.1933899,35295.4720113631
28,2022,CT-C2_005,"LIS CB Shore - Hammonasset Beach, Madison","See Map for Boundaries.  Central portion of LIS from Webster Point to West Rock area (includes Hammonasset State Park Beach), out approximately 1000 ft offshore, Madison.",ESTUARY,0.583,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Shore,False,True,CT-C2_005,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,16260349.2565918,45849.5071751801
29,2022,CT-W2_010,"LIS WB Shore - Compo Beach, Cedar Point, Westport","See Map for Boundaries.  Western portion of LIS from Saugatuck Shores area to Compo Cove (includes Compo Beach, Cedar Point, Saugatuck River outlet, Owenoke) out approximately 1000 ft offshore, Westport.",ESTUARY,0.419,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Shore,False,True,CT-W2_010,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,11674163.2913513,25238.8473508283
30,2022,CT-W3_006,"LIS WB Midshore - Sherwood Point, Westport","See Map for Boundaries.  Western portion of LIS from approximately 1000 ft offshore (Saugatuck River mouth, Compo Cove, Sherwood Island Sate Park area), out to 50 ft contour, Westport.",ESTUARY,9.69,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Midshore,False,False,CT-W3_006,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,270138236.835968,75378.0956926744
31,2022,CT-C1_017,"LIS CB Inner - Oyster River, Milford","See Map for Boundaries.  Central portion of LIS, Inner Estuary, from mouth at Oyster River Beach (just DS of New Haven Avenue crossing), US to saltwater limit near Woodmont Road, Milford.",ESTUARY,0.012,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Inner Estuary,False,False,CT-C1_017,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Assessed,Yes,345488.81072998,13934.9533915491
32,2022,CT-C1_016,"LIS CB Inner - Cove River, West Haven","See Map for Boundaries.  Central portion of LIS, Inner Estuary, from mouth at West Haven West Beach (just DS of Ocean Avenue crossing), US to saltwater limit near Riverview Terrace, West Haven.",ESTUARY,0.008,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Inner Estuary,False,False,CT-C1_016,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Assessed,Yes,227221.790527344,8911.65684077365
33,2022,CT-E1_012,"LIS EB Inner - Poquonuck River (Mouth), Groton","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Poquonuck River from mouth at Baker Cove (along East of Groton-New London Airport), US to saltwater limit just US of RR crossing, Groton.",ESTUARY,0.367,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Inner Estuary,False,False,CT-E1_012,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,10219890.0632935,41045.3933207524
34,2022,CT-E1_013,"LIS EB Inner - Baker Cove, Groton","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Baker cove from Avery Point and tip of Pine Island, to mouth of Poquonuck River (South of Groton-New London Airport), Groton.",ESTUARY,0.314,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Inner Estuary,True,False,CT-E1_013,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,8764590.71295166,28487.1170414551
35,2022,CT-E1_015-SB,"LIS EB Inner - Thames River (middle), Ledyard","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Thames River from I95 crossing, US to just below outlet of Poquetanuck Cove (near Walden Island), and adjacent to Route 12 at Cardinal Lane intersection, Ledyard.",ESTUARY,3.316,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Eastern,Inner Estuary,False,False,CT-E1_015-SB,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Commercial Shellfish Harvesting Where Authorized,Not Supporting,Yes,92442236.0255127,165470.09758185
36,2022,CT-E1_020,"LIS EB Inner - Niantic River (mouth), Niantic","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Niantic River (Inner Niantic Bay) from outlet at Route 156 and RR crossing, US to saltwater limit in Banning Cove (between Route 1 crossing and I95/I395), East Lyme/Waterford.",ESTUARY,1.305,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Inner Estuary,False,True,CT-E1_020,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,36368783.0807495,68748.1940413442
37,2022,CT-C1_019-SB,"LIS CB Inner - Housatonic River (mouth), Milford","See Map for Boundaries.  Central portion of LIS, Inner Estuary, from mouth between Sniffens Point and Milford Point, US to Route 1 crossing (includes Nells Island area, lower Beaver Brook to saltwater limit, Goose Island, Crimbo Point), Milford/Stratford.",ESTUARY,0.805,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Central,Inner Estuary,True,False,CT-C1_019-SB,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Commercial Shellfish Harvesting Where Authorized,Not Supporting,Yes,22445868.1448364,160562.942934244
38,2022,CT-C3_016,LIS CB Midshore - West Haven,"See Map for Boundaries.  Central portion of LIS, SA water from SA/SB water boundary along outer New Haven Harbor, out to 50 ft contour, West Haven.",ESTUARY,6.121,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Midshore,False,False,CT-C3_016,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,170639628.62323,58735.5333781282
39,2022,CT-E3_010,LIS EB Midshore - Old Saybrook,"See Map for Boundaries.  Eastern portion of LIS from approximately 1000 ft offshore Guardhous Point, to SB/SA water quality boundary, Old Saybrook (Mouth of Connecticut River), out to 50 ft contour.",ESTUARY,4.409,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Midshore,False,False,CT-E3_010,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,122902676.142944,46023.1439722571
40,2022,CT-E3_008,"LIS EB Midshore - Old Lyme, CT River","See Map for Boundaries.  Eastern portion of LIS from SB/SA water quality boundary near CT River mouth to approximately 1000 ft offshore Hatchett Point, Old Lyme, out to 50 ft contour (offshore of Connecticut River).",ESTUARY,3.517,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Midshore,False,False,CT-E3_008,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,98059104.4926758,47590.3354096347
41,2022,CT-W1_011,"LIS WB Inner - Saugatuck River, Westport","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from SA/SB water quality line at RR crossing (DS of I95 crossing), US to saltwater limit at Hydraulic Pond outlet Dam, Westport.",ESTUARY,0.189,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Inner Estuary,False,False,CT-W1_011,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Assessed,Yes,5261207.77944946,36982.8585531764
42,2022,CT-W2_024,"LIS WB Shore - Byram Harbor, Greenwich","See Map for Boundaries.  Western portion of LIS from just west of Shore Island to Field Point (includes Shore Island, Rich Island, Farwells Island, Game Cock Island, Byram Harbor) out approximately 1000 ft offshore, Greenwich.",ESTUARY,0.34,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Shore,True,True,CT-W2_024,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,9466636.36535645,28337.3321483312
46,2022,CT-W2_011,"LIS WB Shore - Canfield Island, Westport","See Map for Boundaries.  Western portion of LIS from just west of Canfield Island to Saugatuck Shores area (includes Canfiled Island, Saugatuck Shores, Seymour Point) out approximately 1000 ft offshore, Westport.",ESTUARY,0.43,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Shore,True,False,CT-W2_011,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,11976498.458252,52718.8457352376
47,2022,CT-W1_001-SB,"LIS WB Inner - Bridgeport Harbor, Bridgeport","See Map for Boundaries.  Western portion of LIS from SA/SB water quality line at mouth at Pleasure Beach area, US to saltwater limit in Pequonnock River and Lewis Gut (includes Yellow Mill Channel, Johnsons Creek, all SB water of Harbor area), Bridgeport.",ESTUARY,1.434,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Western,Inner Estuary,False,False,CT-W1_001-SB,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Commercial Shellfish Harvesting Where Authorized,Not Supporting,Yes,39982017.9493103,199178.427272623
48,2022,CT-W1_018-SB,"LIS WB Inner - Stamford Harbor (Inner), Stamford","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from Cook Road and across to Yacht Club, US to saltwater limit in both the West (Route 137 crossing above I95 crossing) and East (Jefferson Street) Branches of Harbor, Stamford.",ESTUARY,0.318,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Western,Inner Estuary,True,False,CT-W1_018-SB,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Commercial Shellfish Harvesting Where Authorized,Not Assessed,Yes,8865824.75683594,49916.2431339919
49,2022,CT-W1_009,"LIS WB Inner - Grays Creek, Westport","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth on Saugatuck River Estuary, US to saltwater limit at Compo Road, Westport.",ESTUARY,0.036,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Inner Estuary,False,False,CT-W1_009,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,1006460.25128174,14199.4996415774
50,2022,CT-E1_006,"LIS EB Inner - Inner Quiambaug Cove, Stonington","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Inner Quiambaug Cove from RR crossing, US to Saltwater limit, above Route 1 crossing, adjacent to Cove Road, Stonington.",ESTUARY,0.114,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Inner Estuary,False,False,CT-E1_006,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,3165409.62017822,20584.3594036349
51,2022,CT-E1_010,"LIS EB Inner - Palmer Cove (Inner), Groton","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Inner Palmer Cove waters from North side of Groton Long Point Road crossing, past RR crossings to saltwater limit, Groton.",ESTUARY,0.113,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Inner Estuary,False,False,CT-E1_010,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,3149840.36578369,17689.4423605888
52,2022,CT-E1_019,"LIS EB Inner - Jordan Cove, Waterford","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Jordan Cove from outlet at Pleasure Beach, US past RR crossing, to Saltwater limit at outlet dam of Jordan Mill Pond, adjacent to Route 156, Waterford.",ESTUARY,0.191,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Inner Estuary,False,False,CT-E1_019,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,5329055.27233887,32641.2308425645
53,2022,CT-E1_023,"LIS EB Inner - Fourmile River (mouth), Old Lyme","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Fourmile River from outlet at RR crossing, Western end of Rocky Neck State Park Beach, US to saltwater limit at Route 156 crossing, Old Lyme.",ESTUARY,0.031,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Inner Estuary,False,False,CT-E1_023,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,864108.868469238,10331.996463959
