OBJECTID,CYCLE,ID_305b,Water_Name,LOCATION_DESCRIPTION,WATER_SIZE,SIZE_UNIT,WATER_TYPE,HUC_8,HU_8_Name,CLASS_ID,CLASS_NAME,Aquatic_Life_Attainment_Code,Aquatic_Life_Attainment,Recreation_Attainment_Code,Recreation_Attainment,Fish_Consumptin_Attainment_Code,Fish_Consumption_Attainment,Drinking_Water_Attainment_Code,Drinking_Water_Attainment,Impaired,Shape__Length
37,2018,CT2202-00_02,Latimer Brook (East Lyme/Montville)-02,"Confluence Cranberry Meadow Brook (parallel Route 161), East Lyme, US to Beckwith Pond dam OUTLET (boundary drinking water watershed, just US Route 85 crossing), Montville.",3.43,Miles,RIVER,1100003,Thames,48,Inland Surface Waters Class A,N,NOT SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,18104.1629747345
43,2018,CT2204-03_01,Stony Brook (Waterford)-01,"Confluence Niantic River (saltwater limit Keeny Cove), DS Oswegatchie Road crossing, US to ponded section on US side Route 1 crossing, Waterford.",0.23,Miles,RIVER,1100003,Thames,48,Inland Surface Waters Class A,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,1197.80565683755
46,2018,CT2205-00_01,Pattagansett River (East Lyme)-01,"Head of tide, just DS Route 156 crossing, US to Gorton Pond dam OUTLET (just US Roxbury Road crossing, west Route 161 intersection), East Lyme.",1.2,Miles,RIVER,1100003,Thames,48,Inland Surface Waters Class A,N,NOT SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,6357.0098488284
47,2018,CT2205-00_02,Pattagansett River (East Lyme)-02,"Gorton Pond INLET (northern side in marsh, DS I95 crossing), US to Pattagansett Lake dam OUTLET (US Route 1 crossing), East Lyme.",1.9,Miles,RIVER,1100003,Thames,48,Inland Surface Waters Class A,N,NOT SUPPORTING,I,INSUFFICIENT INFORMATION,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,10058.3372458327
53,2018,CT4200-00_01,Scantic River-01,"From mouth at Connecticut River, US to confluence with Broad Brook, East  Windsor.",9.38,Miles,RIVER,1080205,Lower Connecticut,49,Inland Surface Waters Class B,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,49507.6823549795
54,2018,CT4200-00_02,Scantic River-02,"From confluence with Broad Brook, East Windsor, US to Somersville Pond outlet, Somers (passes Somers WPCF at upper end below lake).",13.56,Miles,RIVER,1080205,Lower Connecticut,49,Inland Surface Waters Class B,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,71575.9101606143
55,2018,CT4200-00_03,Scantic River-03,"From Somersville Pond inlet, Somers, US to MA border.",6.05,Miles,RIVER,1080205,Lower Connecticut,50,Inland Surface Waters Class AA,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,X,UNASSESSED,Yes,31943.3713148497
56,2018,CT4203-00_01,Gulf Stream (Somers)-01,"Mouth at Scantic River, US to Shady Lake outlet, just US of Route 83 crossing, Somers.",1.88,Miles,RIVER,1080205,Lower Connecticut,50,Inland Surface Waters Class AA,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,X,UNASSESSED,Yes,9929.84189712526
57,2018,CT4316-01_01,Chidsey Brook (Avon)-01,"Fom mouth at confluence with Big Brook, forming HW of Thompson Brook (DS of Scoville Road crossing), US to Lamonica Pond outlet (just US of West Avon Road crossing), Avon",1.34,Miles,RIVER,1080207,Farmington,48,Inland Surface Waters Class A,N,NOT SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,7089.79888722851
59,2018,CT4318-00_01,Hop Brook (Simsbury)-01,"Mouth Farmington River, US to HW at outlet Tuller Reservoir, Simsbury.",6.74,Miles,RIVER,1080207,Farmington,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,35608.9124221613
64,2018,CT6800-00_01,Pomperaug River-01,"From mouth at confluence with Housatonic River (DS of River Road crossing, near west side of I84, exit 13), US to confluence withTransylvania Brook (south side of East Flat Hill Road), Southbury.",2.74,Miles,RIVER,1100005,"Housatonic. Connecticut, Massachusetts, New York.",49,Inland Surface Waters Class B,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,14485.5143124494
75,2018,CT6911-05_01,Todd Hollow Brook (Plymouth)-01,"Mouth at Confluence Hancock Brook, US of Hancock Brook Lake and west of end of Todd Hollow Rd, Us to HW at unnamed pond US of Harwinton Ave crossing (east of Thomaston Reservoir), Plymouth.",4.03,Miles,RIVER,1100005,"Housatonic. Connecticut, Massachusetts, New York.",48,Inland Surface Waters Class A,N,NOT SUPPORTING,X,UNASSESSED,X,UNASSESSED,,Water Not Classified For Drinking Supply,Yes,21292.6304311551
78,2018,CT2206-00_01,Bride Brook (East Lyme)-01,"Salt water limit, DS Route 156 crossing (near Rocky Neck State Park enterance), US to Bride Lake dam OUTLET (US North Bride Brook Road), East Lyme.",0.7,Miles,RIVER,1100003,Thames,48,Inland Surface Waters Class A,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,3702.27005635762
79,2018,CT2206-00_02,Bride Brook (East Lyme)-02,"Bride Lake INLET (northwest portion, DS North Bride Brook Road crossing), US to HW (marsh area on south side Route 1), East Lyme.",2.13,Miles,RIVER,1100003,Thames,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,11243.2795181601
80,2018,CT2206-03_01,Unnamed tributary Bride Brook (East Lyme)-01,"Confluence Bride Brook (west side of river accross from York Corretional Institution), US (under I95 near exit 72 ramp, Rocky Neck Connector) to HW near Spring Rock Road and south of Plants Dam Road, East Lyme.",1.71,Miles,RIVER,1100003,Thames,48,Inland Surface Waters Class A,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,9021.47079835712
84,2018,CT3000-02_01,Billings Avery Brook (Ledyard)-01,"Mouth at Thames River DS Route 12 crossing, US to AA water boundary US Daniels Lane crossing at outlet Billings Avery Diversion Dam,  Ledyard.",1.78,Miles,RIVER,1100003,Thames,48,Inland Surface Waters Class A,N,NOT SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,9408.34514291378
85,2018,CT3000-08_01,Flat Brook (Ledyard)-01,"Mouth confluence Thames River (inlet Long Cove, North of Navy Base), Gales Ferry/Ledyard, US to HW at unnamed pond, Groton (Brook runs North).",1.09,Miles,RIVER,1100003,Thames,48,Inland Surface Waters Class A,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,5780.81524165616
89,2018,CT3503-00_01,Ekonk Brook-01,"From mouth at confluence with Moosup River (DS of River Street crossing), US to headwaters at Lockes Meadow Pond outlet dam, Plainfield.",4.5,Miles,RIVER,1100001,Quinebaug,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,23741.2492636165
96,2018,CT3710-00_01,Mashamoquet Brook-01,"From mouth at confluence with Quinebaug River (parallel to Route 101 on north side), US to confluence with Wolf Den Brook (US of Route 101 crossing), Pomfret.",3.06,Miles,RIVER,1100001,Quinebaug,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,16157.2321596737
97,2018,CT3710-00_02,Mashamoquet Brook (Pomfret)-02,"Confluence Wolf Den Brook (just US Route 101 crossing), US to Taft Pond outlet dam (US Taft Pond Road crossing), Pomfret. Includes diversion to swimming pond in Mashamoquet State Park.",4.36,Miles,RIVER,1100001,Quinebaug,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,23035.101242383
104,2018,CT3108-00_01b,Hop River (Andover/Coventry/Bolton)-01b,"Confluence with Skungamaug River, just US of Hendee Road crossing (east of Route 6), Andover, US to HW behind Munsons Choclate Company (crosses Route 6 several times, last time is near Stony Hill Road intersection), Bolton.",3.22,Miles,RIVER,1100002,"Shetucket. Connecticut, Massachusetts.",48,Inland Surface Waters Class A,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,17009.0751250228
106,2018,CT4200-15_01,Thrasher Brook (Somers)-01,"Mouth at confluence with Scantic River .25 miles DS of unnamed road crossing that extends from end of Northwest Drive, US to confluence with unnamed tributary .28 miles US of Route 83 crossing, Somers.",1.52,Miles,RIVER,1080205,Lower Connecticut,50,Inland Surface Waters Class AA,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,X,UNASSESSED,Yes,8033.58838825939
107,2018,CT4200-28_01,Dry Brook (South Windsor/East Windsor)-01,"Mouth at confluence with Scantic River .76 miles DS of Rye Street crossing (near intersection with Troy Road), South Windsor, US to HW US of Griffin Road crossing near Vintage Road, South Windsor.",4.7,Miles,RIVER,1080205,Lower Connecticut,48,Inland Surface Waters Class A,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,24800.3478979853
109,2018,CT4202-00_01,Gillettes Brook (Somers)-01,"Mouth at confluence with Scantic River .2 miles DS of Durkee Road crossing, US to confluence with unnamed tributary just US of Route 83 crossing, Somers.",0.41,Miles,RIVER,1080205,Lower Connecticut,50,Inland Surface Waters Class AA,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,X,UNASSESSED,Yes,2171.56351794517
111,2018,CT4600-26_01,Miner Brook-01,"From mouth at confluence with Mattabasset River, Cromwell/Middletown border, US to headwaters (in marsh just US (south) of Westfield Street crossing, parallel with Route 217), Middletown.",2.92,Miles,RIVER,1080205,Lower Connecticut,48,Inland Surface Waters Class A,I,INSUFFICIENT INFORMATION,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,15426.1344135522
112,2018,CT4600-27_01,Willow Brook (Cromwell)-01,"From mouth at confluence with Mattabasset River (DS of Berlin Road (Route 372) crossing, US to headwaters, just US of Coles Road crossing (near junctin of Coles Road and Willow Brook Road), Cromwell.",1.38,Miles,RIVER,1080205,Lower Connecticut,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,7306.9364673371
113,2018,CT4600-27_trib_01,East Branch Willow Brook-01,"From mouth at confluence with Willow brook (DS of Evergreen Road crossing), US to headwaters (in marsh US of Route 9 crossing, along west side of Shunpike Road (Route 3) area), Cromwell.",0.76,Miles,RIVER,1080205,Lower Connecticut,48,Inland Surface Waters Class A,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,4022.62939747589
115,2018,CT5207-00_02,Wharton Brook-02,"From inlet to Simpson Pond, US to North Farms Reservoir outlet dam (just US of Church Street (Route 68) crossing), Wallingford.",2.94,Miles,RIVER,1100004,Quinnipiac,48,Inland Surface Waters Class A,N,NOT SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,15549.1182280907
116,2018,CT5207-01_01,Unnamed Tributary to Wharton Brook (Wallingford)-01,"Mouth at confluence with Wharton Brook, just DS of Reskin Drive crossing (off of Pond Hill Road), US to confluence with another unnamed trib, just US of Route 150 crossing and between Airline Road and I91, Wallingford.",1.8,Miles,RIVER,1100004,Quinnipiac,48,Inland Surface Waters Class A,N,NOT SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,9511.37509173613
117,2018,CT5207-02_01,Allen Brook (Wallingford/North Haven)-01,"Mouth confluence Wharton Brook (east of Route 5, south exit 13 on/off ramp, I91), US to Allen Brook Pond outlet dam, Wallingford/North Haven town line.",0.05,Miles,RIVER,1100004,Quinnipiac,48,Inland Surface Waters Class A,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,270.351109431528
118,2018,CT5207-02_02,Allen Brook (Wallingford)-02,"Inlet to Allen Brook Pond in Wharton Brook State Park which includes swimming area (south exit 13 on/off ramp, I91), Wallingford/North Haven town border, US to HW (under I91, parallel along east side of I91 and west side RR track), Wallingford.",1.8,Miles,RIVER,1100004,Quinnipiac,48,Inland Surface Waters Class A,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,9509.95449618124
125,2018,CT6912-00_01,Steele Brook-01,"From mouth at confluence with Naugatuck River (just DS of Route 8 crossing), US to Sherwood Medical (American Home Products) area (site is behind Municipal Stadium parking lot on northend of stadium property), Waterbury.",1.18,Miles,RIVER,1100005,"Housatonic. Connecticut, Massachusetts, New York.",49,Inland Surface Waters Class B,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,6251.9923604024
126,2018,CT6912-00_02,Steele Brook-02,"From Sherwood Medical (American Home Products) area (site is behind Municipal Stadium parking lot on northend of stadium property), Waterbury, US to INLET of Heminway Pond (DS of Route 6 crossing, pond included in segment), Watertown.",3.78,Miles,RIVER,1100005,"Housatonic. Connecticut, Massachusetts, New York.",49,Inland Surface Waters Class B,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,19960.690778027
128,2018,CT7407-00_02,Mianus River-02,"From Mianus Filtration Plant dam outlet (impoundment at filtration plant), Greenwich, US to Sam Bargh Reservoir (Mianus Reservoir on topo) dam outlet (US of Farms Road crossing, near New York border), Stamford.",6.1,Miles,RIVER,1100006,Saugatuck,50,Inland Surface Waters Class AA,N,NOT SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,I,INSUFFICIENT INFORMATION,Yes,32228.3998788416
129,2018,CT7409-00_01,Horseneck Brook-01,"From mouth at Greenwich Harbor (just DS of I95 crossing, at exit 3 offramp), US to Putnam Lake Reservoir outlet dam (just US of Dewart Road crossing), Greenwich.",5.78,Miles,RIVER,1100006,Saugatuck,48,Inland Surface Waters Class A,N,NOT SUPPORTING,I,INSUFFICIENT INFORMATION,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,30519.5700624428
130,2018,CT7410-00_01,East Branch Byram River-01,"From confuence with Byram River (northeast portion of Toll Gate Pond section of river, between Route 15 and Riversville Road), US to Old Pond outlet dam (just US of Old Mill Road crossing, first impoundment DS of John Street site), Greenwich.",2.79,Miles,RIVER,1100006,Saugatuck,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,14736.6301605488
135,2018,CT4206-00_02,Broad Brook (East Windsor-Ellington)-02,"From Broad Brook Mill Pond inlet, East Windsor, US to headwaters, Ellington, just US of Snipsic Forest Road crossing.",9.01,Miles,RIVER,1080205,Lower Connecticut,48,Inland Surface Waters Class A,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,47587.288973535
139,2018,CT6600-00_03,Still River (Danbury)-03,"From confuence with Limekiln Brook (just US of I84 crossing), US to confluence with Sympaug Brook (just US of Cross Street crossing), Danbury.",2.19,Miles,RIVER,1100005,"Housatonic. Connecticut, Massachusetts, New York.",49,Inland Surface Waters Class B,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,11559.0621654616
140,2018,CT6600-00_04,Still River (Danbury)-04,"From confluence with Sympaug Brook (just US of Cross Street crossing), US to confluence with Padanaram Brook (just US of White Street crossing, river runs between RailRoad tracks), Danbury.",1.56,Miles,RIVER,1100005,"Housatonic. Connecticut, Massachusetts, New York.",49,Inland Surface Waters Class B,N,NOT SUPPORTING,I,INSUFFICIENT INFORMATION,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,8261.3762380242
141,2018,CT6600-00_05,Still River (Danbury)-05,"From confluence with Padanaram Brook (just US of White Street crossing, river runs between RailRoad tracks), US to Lake Kenosia outlet (just US of Kenosia Avenue crossing), Danbury.",3.87,Miles,RIVER,1100005,"Housatonic. Connecticut, Massachusetts, New York.",48,Inland Surface Waters Class A,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,20421.6232254044
144,2018,CT7105-00_02,Pequonnock River (Bridgeport/Trumbull)-02,"INLET Bunnells (Beardsley Park) Pond (east side Route 8, exit 6 area), Bridgeport, US to Daniels Farm Road crossing (US Route 25 crossing), Trumbull.",2.92,Miles,RIVER,1100006,Saugatuck,48,Inland Surface Waters Class A,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,15418.4059247674
145,2018,CT7105-00_03,Pequonnock River (Trumbull)-03,"Daniels Farm Road crossing (US Route 25 crossing), US to Monroe Turnpike (Route 111) crossing (near intersection Route 25), Trumbull.",4.19,Miles,RIVER,1100006,Saugatuck,48,Inland Surface Waters Class A,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,22124.3127581576
147,2018,CT7200-22_01,Beaver Brook (Weston)-01,"From mouth at confluence with Saugatuck River (DS Slumber Lane crossing), US to confluence with Davidge Brook (adjacent to Glenwood Road), Weston.",1.02,Miles,RIVER,1100006,Saugatuck,48,Inland Surface Waters Class A,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,5381.07642442981
148,2018,CT7200-24_01,Kettle Creek (Weston)-01,"From mouth at confluence with Saugatuck River (DS of Good Hill Road crossing), US to confluence with unnamed tributary (DS of Kettle Creek Road crossing), Weston.",0.62,Miles,RIVER,1100006,Saugatuck,48,Inland Surface Waters Class A,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,3283.42134613295
150,2018,CT7201-00_01,Little River (Redding)-01,"Mouth at inlet to Saugatuck Reservoir, parallel to Newtown Turnpike, US to outlet of Lower Park Pond, parallel to Route 58, Redding.",4.43,Miles,RIVER,1100006,Saugatuck,50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,X,UNASSESSED,Yes,23369.3620416433
152,2018,CT4315-00_05,Pequabuck River-05,"From entrance to box culvert, center Bristol, US to Plymouth POTW (just DS of Canal Street (Route 72) crossing), Plymouth.",2.7,Miles,RIVER,1080207,Farmington,49,Inland Surface Waters Class B,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,14263.5279612136
153,2018,CT4315-00_06,Pequabuck River-06,"From Plymouth POTW (just DS of Canal Street (Route72) crossing), US to headwaters, South of Rocky Road, Harwinton.",5.46,Miles,RIVER,1080207,Farmington,48,Inland Surface Waters Class A,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,28846.397837384
160,2018,CT4504-00_01,South Fork Hockanum River (Manchester)-01,"Mouth at confluence Hockanum River just DS of Thrall Road crossing, US to HW at confluence of Hop Brook and Folly Brook US Hartford Road crossing and at I384 crossing (Folly Brook goes under I384), Manchester.",1.2,Miles,RIVER,1080205,Lower Connecticut,49,Inland Surface Waters Class B,N,NOT SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,6545.84953679728
161,2018,CT6008-00_02b,Mill Brook (Cornwall)-02b,"From Rattlesnake Road crossing, US to Headwaters at Cream Hill Lake outlet dam (US of Town Street crossing),  Cornwall.",1.01,Miles,RIVER,1100005,"Housatonic. Connecticut, Massachusetts, New York.",48,Inland Surface Waters Class A,N,NOT SUPPORTING,I,INSUFFICIENT INFORMATION,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,5352.4619103652
165,2018,CT6606-00_03,Limekiln Brook-03,"From Shelter Rock Road crossing (first road crossing, above landfill), Bethel, US to headwaters (just US of Poverty Hollow Road crossing), Newtown.",6.04,Miles,RIVER,1100005,"Housatonic. Connecticut, Massachusetts, New York.",48,Inland Surface Waters Class A,I,INSUFFICIENT INFORMATION,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,31865.4291778666
