Case_Id,Case_Status,Case_ProgramYear,ZipCode,Contact_DistrictLocation,Contact_Neighborhood,InquiryForm_1978,InquiryForm_Children,InquiryForm_Disabled,InquiryForm_Elderly,Household_Size,Household_AMIRatio,Borrower_1_Ethnicity,Borrower_1_Gender,Borrower_1_Race,Funding_ARP_AmericanRescuePlan,ObjectId
15918,Ready for Assignment,2023,40212,5,Shawnee,Yes,Yes,No,Yes,5.0,58.17%,Non-Hispanic,Male,African American, $-   ,46
15943,Ready for Assignment,2023,40216,3,Shively,Yes,No,Yes,Yes,1.0,31.69%,Non-Hispanic,Female,, $-   ,47
15949,Ready for Assignment,2023,40210,4,California,Yes,Yes,Yes,No,3.0,17.96%,Unknown,Female,African American, $-   ,48
15966,Ready for Assignment,2023,40216,3,,Yes,No,No,Yes,2.0,36.31%,Non-Hispanic,Female,African American, $-   ,49
15971,Ready for Assignment,2023,40212,5,Shawnee,Yes,No,Yes,Yes,1.0,45.96%,Non-Hispanic,Female,African American, $-   ,50
16017,Ready for Assignment,2023,40216,3,Shively ,Yes,No,No,No,1.0,53.32%,Unknown,,, $-   ,51
16027,Ready for Assignment,2023,40216,3,Shively,Yes,No,Yes,Yes,1.0,54.29%,Non-Hispanic,Female,African American, $-   ,52
16030,Ready for Assignment,2023,40203,5,Portland,Yes,No,Yes,Yes,1.0,16.81%,Unknown,,, $-   ,53
16039,Ready for Assignment,2023,40210,4,California,Yes,No,Yes,No,1.0,59.12%,Non-Hispanic,Female,African American, $-   ,54
16077,Ready for Assignment,2023,40210,6,Algonquin,Yes,Yes,No,No,3.0,15.36%,Unknown,,, $-   ,55
16124,Application Review,2023,40210,3,Shively,No,No,Yes,Yes,1.0,29.11%,Non-Hispanic,Female,African American, $-   ,56
16126,Case Monitoring,2023,40215,3,Taylor Berry,Yes,Yes,No,No,3.0,39.21%,Non-Hispanic,Female,African American,"$14,600.00 ",57
16135,Ready for Assignment,2023,40215,3,Taylor Berry,Yes,No,Yes,Yes,1.0,32.80%,Non-Hispanic,Female,White, $-   ,58
16198,Ready for Assignment,2023,40216,3,Shively,Yes,Yes,Yes,Yes,2.0,64.00%,Unknown,,, $-   ,59
16211,Ready for Assignment,2023,40211,5,Chickasaw,No,No,No,Yes,1.0,54.04%,Non-Hispanic,Female,African American, $-   ,60
16217,Ready for Assignment,2023,40213,21,Edgewood,Yes,No,No,No,1.0,39.26%,Unknown,Female,African American, $-   ,61
16237,Ready for Assignment,2023,40210,3,Algonquin,Yes,Yes,No,No,3.0,61.69%,Non-Hispanic,Male,African American, $-   ,62
16246,Ready for Assignment,2023,40214,21,Wilder Park,Yes,No,Yes,Yes,2.0,27.22%,Non-Hispanic,Female,White, $-   ,63
16276,Ready for Assignment,2023,40211,5,Shawnee,Yes,No,No,Yes,1.0,23.83%,Non-Hispanic,Female,African American, $-   ,64
16317,Ready for Assignment,2023,40272,14,Valley Station,No,No,Yes,No,1.0,0.00%,Unknown,,, $-   ,65
16346,Application Review,2023,40215,15,Jacobs,Yes,Yes,No,No,3.0,54.47%,Non-Hispanic,Female,African American, $-   ,66
16347,Ready for Assignment,2023,40215,3,Taylor Berry,Yes,No,Yes,No,3.0,18.54%,Unknown,,, $-   ,67
16369,Ready for Assignment,2023,40211,1,Chickasaw,Yes,No,No,Yes,1.0,45.73%,Non-Hispanic,Male,African American, $-   ,68
16403,Application In Progress,2023,40210,3,Algonquin,Yes,No,Yes,No,1.0,,Non-Hispanic,Female,African American, $-   ,69
16411,Ready for Assignment,2023,40215,15,Iroquois ,Yes,No,Yes,No,1.0,26.50%,Non-Hispanic,Female,White, $-   ,70
16417,Application In Progress,2023,40213,2,Newburg,,,,,,,Unknown,,, $-   ,71
16418,Application Review,2023,40214,15,Hazelwood,Yes,Yes,Yes,Yes,3.0,57.20%,Non-Hispanic,Female,African American, $-   ,72
16447,Ready for Assignment,2023,40204,6,Paristown Point,No,No,No,Yes,1.0,22.38%,Non-Hispanic,Female,White, $-   ,73
16473,Ready for Assignment,2023,40208,3,South Louisville,Yes,Yes,No,Yes,1.0,23.61%,Unknown,Female,African American, $-   ,74
16561,Initial Inquiry Review,2023,40216,1,St Dennis,Yes,Yes,No,No,4.0,,Non-Hispanic,Male,African American, $-   ,75
16580,Application Review,2023,40210,6,Park Hill,No,No,Yes,No,1.0,31.07%,Non-Hispanic,Female,Others, $-   ,76
16595,Ready for Assignment,2023,40272,14,,Yes,Yes,No,Yes,2.0,34.60%,Non-Hispanic,Female,African American, $-   ,77
16624,Ready for Assignment,2023,40210,3,,Yes,No,Yes,No,1.0,40.34%,Non-Hispanic,Male,African American, $-   ,78
16658,Ready for Assignment,2023,40216,3,Shively,Yes,Yes,Yes,Yes,2.0,55.35%,Non-Hispanic,Female,African American, $-   ,79
16761,Ready for Assignment,2023,40216,1,St. Dennis,No,Yes,Yes,Yes,1.0,29.38%,Non-Hispanic,Female,African American, $-   ,80
16768,Application In Progress,2023,40212,5,Shawnee,Yes,No,No,Yes,1.0,32.37%,Non-Hispanic,Female,African American, $-   ,81
16810,Application Review,2023,40216,7,Shively ,Yes,No,No,Yes,1.0,28.40%,Non-Hispanic,Female,African American, $-   ,82
17650,Ready for Assignment,2023,40218,2,Buechel,Yes,No,Yes,No,1.0,22.40%,Unknown,Female,African American, $-   ,83
