                                                   Percentage of Fast-Track Receipts,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Oregon,OR,Seattle,"1,861","35,139",5.30%
Pennsylvania,PA,Philadelphia,"6,475","150,096",4.30%
Puerto Rico,PR,New York,558,"30,013",1.90%
Rhode Island,RI,Boston,531,"10,971",4.80%
South Carolina,SC,Atlanta,"2,506","54,087",4.60%
South Dakota,SD,Denver,444,"5,956",7.50%
Tennessee,TN,Atlanta,"3,328","84,960",3.90%
Texas,TX,Dallas,"11,226","247,638",4.50%
Utah,UT,Denver,"1,127","14,852",7.60%
Vermont,VT,Boston,411,"5,709",7.20%
Virgin Islands,VI,New York,13,236,5.50%
Virginia5,VA,Philadelphia,"4,318","75,878",5.70%
Washington,WA,Seattle,"3,004","59,362",5.10%
West Virginia,WV,Philadelphia,"1,030","26,700",3.90%
Wisconsin,WI,Chicago,"3,122","47,595",6.60%
Wyoming,WY,Denver,279,"3,730",7.50%
Federal Sites/Non-State DDS,FD,,77,"4,907",1.60%
National1,,,"151,403","3,140,440",4.80%
,,,,,
" 1Since the percentage of fast-track cases represent data for the reporting fiscal year 2011, it will not be the same as the percentage of initial disability",,,,,
  claims identified as QDD or CAL in the agency's annual performance plan (APP).  The percentage in the APP is based on data for the reporting ,,,,,
"  month of September 2011 (August 27, 2011 through September 30, 2011).  In September 2011, the QDD and CAL ""fast-track"" processes identified ",,,,,
"  5.9% of electronically filed disability claims for expedited handling, surpassing the APP goal of 5.0%.",,,,,
 2Data reflects initial disability cases received and accepted by the Disability Determination Services (DDS) and Extended Service Teams (ESTs) ,,,,,
"  within the fifty states, District of Columbia, Guam, Puerto Rico, US Virgin Islands, and Federal/Non-State sites.",,,,,
" 3Represents the number of initial disability cases identified as Quick Disability Determinations (QDD), Compassionate Allowances (CAL), or both, ",,,,,
"  that were received and accepted by the DDS, EST, or federal site within the fiscal year. ",,,,,
" 4The number of electronic cases received and accepted by a DDS, EST, or federal site.",,,,,
" 5Data includes cases received by ESTs within the state, assisting with processing the case workloads. ",,,,,
,,,,,
,,,,,
                                                            Percentage of Fast-Track Receipts,,,,,
                                                                                         For,,,,,
"                                     Fiscal Year 2012 (October 1, 2011 through September 28, 2012)1",,,,,
,,,,,
State2,State Abbreviation,Region,Total Fast-Track Receipts3,Total DDS Electronic Receipts4,% FT Receipts
Alabama,AL,Atlanta,"3,360","77,834",4.30%
Alaska,AK,Seattle,313,"4,769",6.60%
Arizona,AZ,San Francisco,"3,211","49,427",6.50%
Arkansas5,AR,Dallas,"1,796","47,561",3.80%
California,CA,San Francisco,"16,575","279,408",5.90%
Colorado,CO,Denver,"2,485","35,525",7.00%
Connecticut,CT,Boston,"1,656","26,439",6.30%
Delaware,DE,Philadelphia,537,"8,933",6.00%
District of Columbia,DC,Philadelphia,312,"7,993",3.90%
Florida,FL,Atlanta,"11,827","209,707",5.60%
Georgia,GA,Atlanta,"5,634","104,931",5.40%
Guam,GU,San Francisco,77,993,7.80%
Hawaii,HI,San Francisco,628,"7,735",8.10%
Idaho,ID,Seattle,818,"12,974",6.30%
Illinois,IL,Chicago,"6,796","104,400",6.50%
Indiana,IN,Chicago,"4,360","68,283",6.40%
Iowa,IA,Kansas City,"1,749","22,316",7.80%
Kansas ,KS,Kansas City,"1,089","14,623",7.40%
Kentucky,KY,Atlanta,"2,847","62,991",4.50%
Louisiana,LA,Dallas,"2,706","65,071",4.20%
Maine,ME,Boston,844,"13,844",6.10%
Maryland,MD,Philadelphia,"2,944","57,178",5.10%
Massachusetts,MA,Boston,"3,408","56,268",6.10%
Michigan,MI,Chicago,"6,089","118,282",5.10%
Minnesota,MN,Chicago,"3,064","37,970",8.10%
Mississippi5,MS,Atlanta,"2,053","49,749",4.10%
Missouri,MO ,Kansas City,"4,463","77,367",5.80%
Montana,MT,Denver,457,"7,459",6.10%
Nebraska,NE,Kansas City,"1,043","12,055",8.70%
Nevada,NV,San Francisco,"1,399","20,553",6.80%
New Hampshire,NH,Boston,686,"10,750",6.40%
New Jersey,NJ,New York,"4,721","64,635",7.30%
New Mexico,NM,Dallas,"1,004","19,891",5.00%
New York,NY,New York,"10,452","163,725",6.40%
North Carolina,NC,Atlanta,"6,267","107,901",5.80%
North Dakota,ND,Denver,336,"3,643",9.20%
Ohio,OH,Chicago,"6,866","125,600",5.50%
Oklahoma5,OK,Dallas,"2,212","41,223",5.40%
Oregon,OR,Seattle,"2,069","31,335",6.60%
Pennsylvania,PA,Philadelphia,"7,606","140,658",5.40%
Puerto Rico,PR,New York,595,"23,561",2.50%
Rhode Island,RI,Boston,560,"11,004",5.10%
South Carolina,SC,Atlanta,"3,132","57,291",5.50%
South Dakota,SD,Denver,439,"5,614",7.80%
Tennessee,TN,Atlanta,"4,307","79,820",5.40%
Texas,TX,Dallas,"13,594","232,119",5.90%
Utah,UT,Denver,"1,226","14,057",8.70%
Vermont,VT,Boston,380,"5,229",7.30%
Virgin Islands,VI,New York,29,272,10.70%
Virginia5,VA,Philadelphia,"4,696","65,166",7.20%
Washington,WA,Seattle,"3,279","57,113",5.70%
West Virginia,WV,Philadelphia,"1,263","24,584",5.10%
Wisconsin,WI,Chicago,"3,454","48,459",7.10%
Wyoming,WY,Denver,247,"3,406",7.30%
Federal Sites/Non-State DDS,FD,,96,"3,599",2.70%
National1,,,"174,056","3,003,293",5.80%
,,,,,
" 1The percentage of fast-track cases represent data for the reporting fiscal year (FY) 2012.  While not always true, we report the same percentage for FY 2012 ",,,,,
"  as we did for September 2012 in our annual performance plan (APP).    In September 2012, the QDD and CAL ""fast-track"" processes identified ",,,,,
"  5.8% of electronically filed disability claims for expedited handling, surpassing the APP goal of 5.5%.",,,,,
 2Data reflects initial disability cases received and accepted by the Disability Determination Services (DDS) and Extended Service Teams (ESTs) ,,,,,
"  within the fifty states, District of Columbia, Guam, Puerto Rico, US Virgin Islands, and Federal/Non-State sites.",,,,,
" 3Represents the number of initial disability cases identified as Quick Disability Determinations (QDD), Compassionate Allowances (CAL), or both, ",,,,,
"  that were received and accepted by the DDS, EST, or federal site within the fiscal year. ",,,,,
" 4The number of electronic cases received and accepted by a DDS, EST, or federal site.",,,,,
" 5Data includes cases received by ESTs within the state, assisting with processing the case workloads. ",,,,,
,,,,,
,,,,,
Percentage of Fast-Track Receipts,,,,,
for,,,,,
" Fiscal Year 2013 (September 29, 2012 through September 27, 2013)1",,,,,
,,,,,
State2,State Abbreviation,Region,Total Fast-Track Receipts3,Total DDS Electronic Receipts4,% FT Receipts
Alabama,AL,Atlanta,"3,656","75,472",4.80%
Alaska,AK,Seattle,344,"4,332",7.90%
Arizona,AZ,San Francisco,"3,452","46,535",7.40%
Arkansas5,AR,Dallas,"1,927","44,517",4.30%
California,CA,San Francisco,"17,450","259,136",6.70%
Colorado,CO,Denver,"2,758","32,997",8.40%
Connecticut,CT,Boston,"1,866","25,354",7.40%
Delaware,DE,Philadelphia,555,"7,947",7.00%
District of Columbia,DC,Philadelphia,336,"7,482",4.50%
Florida,FL,Atlanta,"13,078","199,502",6.60%
Georgia,GA,Atlanta,"6,101","98,390",6.20%
Guam,GU,San Francisco,59,877,6.70%
Hawaii,HI,San Francisco,664,"7,466",8.90%
Idaho,ID,Seattle,"1,054","12,653",8.30%
Illinois,IL,Chicago,"7,258","97,216",7.50%
Indiana,IN,Chicago,"4,613","66,676",6.90%
Iowa,IA,Kansas City,"1,940","21,712",8.90%
Kansas ,KS,Kansas City,"1,318","15,381",8.60%
Kentucky,KY,Atlanta,"2,957","60,023",4.90%
Louisiana,LA,Dallas,"3,029","62,022",4.90%
Maine,ME,Boston,925,"13,320",6.90%
Maryland,MD,Philadelphia,"3,489","54,664",6.40%
Massachusetts,MA,Boston,"3,754","55,008",6.80%
Michigan,MI,Chicago,"6,323","107,497",5.90%
Minnesota,MN,Chicago,"3,269","35,460",9.20%
Mississippi5,MS,Atlanta,"2,210","48,153",4.60%
Missouri,MO ,Kansas City,"4,471","72,252",6.20%
Montana,MT,Denver,566,"6,930",8.20%
Nebraska,NE,Kansas City,"1,097","11,271",9.70%
Nevada,NV,San Francisco,"1,480","20,413",7.30%
New Hampshire,NH,Boston,779,"10,472",7.40%
New Jersey,NJ,New York,"4,842","60,603",8.00%
New Mexico,NM,Dallas,"1,076","19,110",5.60%
New York,NY,New York,"10,328","153,283",6.70%
North Carolina,NC,Atlanta,"6,506","102,643",6.30%
North Dakota,ND,Denver,436,"3,542",12.30%
Ohio,OH,Chicago,"7,810","118,289",6.60%
Oklahoma5,OK,Dallas,"2,292","39,199",5.90%
Oregon,OR,Seattle,"2,447","30,802",7.90%
Pennsylvania,PA,Philadelphia,"8,079","130,035",6.20%
Puerto Rico,PR,New York,656,"20,390",3.20%
Rhode Island,RI,Boston,621,"10,589",5.90%
South Carolina,SC,Atlanta,"3,528","55,390",6.40%
South Dakota,SD,Denver,504,"5,682",8.90%
Tennessee,TN,Atlanta,"4,510","75,619",6.00%
Texas,TX,Dallas,"14,780","218,420",6.80%
Utah,UT,Denver,"1,296","13,834",9.40%
Vermont,VT,Boston,430,"5,056",8.50%
Virgin Islands,VI,New York,17,155,11.00%
Virginia5,VA,Philadelphia,"5,005","61,465",8.10%
Washington,WA,Seattle,"3,854","53,634",7.20%
West Virginia,WV,Philadelphia,"1,369","23,750",5.80%
Wisconsin,WI,Chicago,"3,883","45,830",8.50%
Wyoming,WY,Denver,274,"3,367",8.10%
Federal Sites/Non-State DDS,FD,,112,"2,248",5.00%
National1,,,"187,433","2,834,065",6.60%
,,,,,
" 1Since the percentage of fast-track cases represent data for the reporting fiscal year 2013, it will not be the same as the percentage of initial disability",,,,,
  claims identified as QDD or CAL in the agency's annual performance plan (APP).  The percentage in the APP is based on data for the reporting ,,,,,
"  month of September 2013 (August 31, 2013 through September 27, 2013).  In September 2013, the QDD and CAL ""fast-track"" processes identified ",,,,,
"  6.5% of electronically filed disability claims for expedited handling, surpassing the APP goal of 6.0%.",,,,,
 2Data reflects initial disability cases received and accepted by the Disability Determination Services (DDS) and Extended Service Teams (ESTs) ,,,,,
"  within the fifty states, District of Columbia, Guam, Puerto Rico, US Virgin Islands, and Federal/Non-State sites.",,,,,
" 3Represents the number of initial disability cases identified as Quick Disability Determinations (QDD), Compassionate Allowances (CAL), or both, ",,,,,
"  that were received and accepted by the DDS, EST, or federal site within the fiscal year. ",,,,,
" 4The number of electronic cases received and accepted by a DDS, EST, or federal site.",,,,,
" 5Data includes cases received by ESTs within the state, assisting with processing the case workloads. ",,,,,
,,,,,
Percentage of Fast-Track Receipts,,,,,
for,,,,,
" Fiscal Year 2014 (September 28, 2013 through September 26, 2014)1",,,,,
,,,,,
State2,State Abbreviation,Region,Total Fast-Track Receipts3,Total DDS Electronic Receipts4,% FT Receipts
Alabama,AL,Atlanta,"3,812","70,642",5.40%
Alaska,AK,Seattle,346,"4,066",8.50%
Arizona,AZ,San Francisco,"2,972","45,396",6.50%
Arkansas5,AR,Dallas,"1,954","40,537",4.80%
California,CA,San Francisco,"15,132","246,622",6.10%
Colorado,CO,Denver,"2,386","30,378",7.90%
Connecticut,CT,Boston,"1,776","26,106",6.80%
Delaware,DE,Philadelphia,485,"7,488",6.50%
District of Columbia,DC,Philadelphia,342,"7,106",4.80%
Florida,FL,Atlanta,"14,207","191,029",7.40%
Georgia,GA,Atlanta,"5,552","91,708",6.10%
Guam,GU,San Francisco,69,896,7.70%
Hawaii,HI,San Francisco,635,"7,456",8.50%
Idaho,ID,Seattle,"1,106","12,206",9.10%
Illinois,IL,Chicago,"6,408","87,385",7.30%
Indiana,IN,Chicago,"4,699","65,127",7.20%
Iowa,IA,Kansas City,"1,849","20,785",8.90%
Kansas ,KS,Kansas City,"1,384","17,811",7.80%
Kentucky,KY,Atlanta,"2,724","54,196",5.00%
Louisiana,LA,Dallas,"3,152","58,727",5.40%
Maine,ME,Boston,804,"12,182",6.60%
Maryland,MD,Philadelphia,"3,140","52,327",6.00%
Massachusetts,MA,Boston,"3,315","50,354",6.60%
Michigan,MI,Chicago,"6,003","96,265",6.20%
Minnesota,MN,Chicago,"3,090","33,339",9.30%
Mississippi5,MS,Atlanta,"2,165","45,741",4.70%
Missouri,MO ,Kansas City,"4,533","62,373",7.30%
Montana,MT,Denver,516,"6,768",7.60%
Nebraska,NE,Kansas City,911,"10,563",8.60%
Nevada,NV,San Francisco,"1,221","19,076",6.40%
New Hampshire,NH,Boston,706,"9,549",7.40%
New Jersey,NJ,New York,"4,637","58,754",7.90%
New Mexico,NM,Dallas,910,"18,944",4.80%
New York,NY,New York,"9,545","146,848",6.50%
North Carolina,NC,Atlanta,"6,015","98,016",6.10%
North Dakota,ND,Denver,395,"2,988",13.20%
Ohio,OH,Chicago,"6,861","111,271",6.20%
Oklahoma5,OK,Dallas,"2,220","37,674",5.90%
Oregon,OR,Seattle,"2,188","28,889",7.60%
Pennsylvania,PA,Philadelphia,"8,136","124,638",6.50%
Puerto Rico,PR,New York,710,"15,669",4.50%
Rhode Island,RI,Boston,557,"9,782",5.70%
South Carolina,SC,Atlanta,"2,884","52,350",5.50%
South Dakota,SD,Denver,475,"5,209",9.10%
Tennessee,TN,Atlanta,"3,891","69,717",5.60%
Texas,TX,Dallas,"13,314","203,373",6.50%
Utah,UT,Denver,"1,013","13,539",7.50%
Vermont,VT,Boston,389,"4,807",8.10%
Virgin Islands,VI,New York,14,66,21.20%
Virginia5,VA,Philadelphia,"4,615","57,582",8.00%
Washington,WA,Seattle,"3,748","50,901",7.40%
West Virginia,WV,Philadelphia,"1,349","22,230",6.10%
Wisconsin,WI,Chicago,"3,582","44,656",8.00%
Wyoming,WY,Denver,254,"3,055",8.30%
Federal Sites/Non-State DDS,FD,,94,"1,571",6.00%
National1,,,"175,190","2,666,733",6.60%
,,,,,
" 1Since the percentage of fast-track cases represent data for the reporting fiscal year 2014, it will not be the same as the percentage of initial disability",,,,,
  claims identified as QDD or CAL in the agency's annual performance plan (APP).  The percentage in the APP is based on data for the reporting ,,,,,
"  month of September 2014 (August 30, 2014 through September 26, 2014).  In September 2014, the QDD and CAL ""fast-track"" processes identified ",,,,,
" 6.5% of electronically filed disability claims for expedited handling, surpassing the APP goal of 6.1%.",,,,,
 2Data reflects initial disability cases received and accepted by the Disability Determination Services (DDS) and Extended Service Teams (ESTs) ,,,,,
"  within the fifty states, District of Columbia, Guam, Puerto Rico, US Virgin Islands, and Federal/Non-State sites.",,,,,
" 3Represents the number of initial disability cases identified as Quick Disability Determinations (QDD), Compassionate Allowances (CAL), or both, ",,,,,
"  that were received and accepted by the DDS, EST, or federal site within the fiscal year. ",,,,,
" 4The number of electronic cases received and accepted by a DDS, EST, or federal site.",,,,,
" 5Data includes cases received by ESTs within the state, assisting with processing the case workloads. ",,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Percentage of Fast-Track Receipts,,,,,
for,,,,,
" Fiscal Year 2015 (September 27, 2014 through September 25, 2015)",,,,,
,,,,,
State1,State Abbreviation,Region,Total Fast-Track Receipts2,Total DDS Electronic Receipts3,% FT Receipts
Alabama,AL,Atlanta,"4,059","68,373",5.90%
Alaska,AK,Seattle,390,"4,201",9.30%
Arizona,AZ,San Francisco,"3,153","45,754",6.90%
Arkansas4,AR,Dallas,"1,942","43,789",4.40%
California,CA,San Francisco,"16,405","242,284",6.80%
Colorado,CO,Denver,"2,625","29,875",8.80%
Connecticut,CT,Boston,"1,847","25,719",7.20%
DC,DC,Philadelphia,309,"7,397",4.20%
Delaware,DE,Philadelphia,563,"7,390",7.60%
Florida,FL,Atlanta,"12,585","186,835",6.70%
Georgia,GA,Atlanta,"5,670","88,027",6.40%
Guam,GU,San Francisco,84,926,9.10%
Hawaii,HI,San Francisco,660,"7,312",9.00%
Idaho,ID,Seattle,952,"11,728",8.10%
Illinois,IL,Chicago,"6,257","74,587",8.40%
Indiana,IN,Chicago,"4,096","61,669",6.60%
Iowa,IA,Kansas City,"1,677","21,259",7.90%
Kansas ,KS,Kansas City,"1,364","14,649",9.30%
Kentucky,KY,Atlanta,"2,863","52,550",5.40%
Louisiana,LA,Dallas,"3,314","57,800",5.70%
Maine,ME,Boston,958,"12,186",7.90%
Maryland,MD,Philadelphia,"3,130","50,936",6.10%
Massachusetts,MA,Boston,"3,448","49,614",6.90%
Michigan,MI,Chicago,"5,993","92,181",6.50%
Minnesota,MN,Chicago,"3,214","31,875",10.10%
Mississippi4,MS,Atlanta,"2,051","44,373",4.60%
Missouri,MO,Kansas City,"5,392","68,101",7.90%
Montana,MT,Denver,543,"6,755",8.00%
Nebraska,NE,Kansas City,"1,018","10,375",9.80%
Nevada,NV,San Francisco,"1,301","19,870",6.50%
New Hampshire,NH,Boston,807,"9,251",8.70%
New Jersey,NJ,New York,"5,107","60,003",8.50%
New Mexico,NM,Dallas,"1,046","17,725",5.90%
New York,NY,New York,"10,927","151,295",7.20%
North Carolina,NC,Atlanta,"6,445","96,735",6.70%
North Dakota,ND,Denver,406,"3,314",12.30%
Ohio,OH,Chicago,"7,073","106,711",6.60%
Oklahoma4,OK,Dallas,"2,345","37,371",6.30%
Oregon,OR,Seattle,"2,213","28,119",7.90%
Pennsylvania,PA,Philadelphia,"8,535","121,714",7.00%
Puerto Rico,PR,New York,818,"11,890",6.90%
Rhode Island,RI,Boston,579,"9,654",6.00%
South Carolina,SC,Atlanta,"2,961","50,103",5.90%
South Dakota,SD,Denver,476,"5,346",8.90%
Tennessee,TN,Atlanta,"3,933","67,044",5.90%
Texas,TX,Dallas,"14,271","197,758",7.20%
Utah,UT,Denver,"1,121","12,502",9.00%
Vermont,VT,Boston,367,"4,952",7.40%
Virgin Islands,VI,New York,24,200,12.00%
Virginia4,VA,Philadelphia,"4,927","59,319",8.30%
Washington,WA,Seattle,"3,825","49,104",7.80%
West Virginia,WV,Philadelphia,"1,369","22,324",6.10%
Wisconsin,WI,Chicago,"3,764","43,029",8.70%
Wyoming,WY,Denver,251,"3,367",7.50%
Federal Sites/Non-State DDS,FD,,233,"8,692",2.70%
National,,,"181,686","2,615,912",6.90%
,,,,,
 1Data reflects initial disability cases received and accepted by the Disability Determination Services (DDS) and Extended Service Teams (ESTs) ,,,,,
"  within the fifty states, District of Columbia, Guam, Puerto Rico, US Virgin Islands, and Federal/Non-State sites.",,,,,
" 2Represents the number of initial disability cases identified as Quick Disability Determinations (QDD), Compassionate Allowances (CAL), or both, ",,,,,
"  that were received and accepted by the DDS, EST, or federal site within the fiscal year. ",,,,,
" 3The number of electronic cases received and accepted by a DDS, EST, or federal site.",,,,,
" 4Data includes cases received by ESTs within the state, assisting with processing the case workloads. ",,,,,
,,,,,
Percentage of Fast-Track Receipts,,,,,
for,,,,,
" Fiscal Year 2016 (September 26, 2015 through September 30, 2016)1",,,,,
,,,,,
State2,State Abbreviation,Region,Total Fast-Track Receipts3,Total DDS Electronic Receipts4,% FT Receipts
Alabama,AL,Atlanta,"3,772","61,164",6.20%
Alaska,AK,Seattle,381,"4,132",9.20%
Arizona,AZ,San Francisco,"3,298","47,465",6.90%
Arkansas5,AR,Dallas,"2,188","44,025",5.00%
California,CA,San Francisco,"16,235","222,347",7.30%
Colorado,CO,Denver,"2,510","29,086",8.60%
Connecticut,CT,Boston,"1,783","24,467",7.30%
DC,DC,Philadelphia,374,"6,941",5.40%
Delaware,DE,Philadelphia,567,"7,123",8.00%
Florida,FL,Atlanta,"12,373","175,450",7.10%
Georgia,GA,Atlanta,"5,720","87,126",6.60%
Guam,GU,San Francisco,96,957,10.00%
Hawaii,HI,San Francisco,632,"6,751",9.40%
Idaho,ID,Seattle,980,"11,492",8.50%
Illinois,IL,Chicago,"6,726","82,287",8.20%
Indiana,IN,Chicago,"4,174","56,613",7.40%
Iowa,IA,Kansas City,"1,811","20,740",8.70%
Kansas ,KS,Kansas City,"1,300","10,941",11.90%
Kentucky,KY,Atlanta,"2,936","52,066",5.60%
Louisiana,LA,Dallas,"3,143","58,724",5.40%
Maine,ME,Boston,848,"10,590",8.00%
Maryland,MD,Philadelphia,"3,258","49,695",6.60%
Massachusetts,MA,Boston,"3,746","45,836",8.20%
Michigan,MI,Chicago,"6,351","87,698",7.20%
Minnesota,MN,Chicago,"3,175","29,932",10.60%
Mississippi5,MS,Atlanta,"2,092","43,275",4.80%
Missouri,MO,Kansas City,"5,001","64,850",7.70%
Montana,MT,Denver,591,"7,360",8.00%
Nebraska,NE,Kansas City,"1,036","10,533",9.80%
Nevada,NV,San Francisco,"1,365","19,266",7.10%
New Hampshire,NH,Boston,873,"8,615",10.10%
New Jersey,NJ,New York,"5,006","54,000",9.30%
New Mexico,NM,Dallas,"1,039","17,516",5.90%
New York,NY,New York,"11,531","145,192",7.90%
North Carolina,NC,Atlanta,"6,497","91,085",7.10%
North Dakota,ND,Denver,444,"3,903",11.40%
Ohio,OH,Chicago,"7,406","100,318",7.40%
Oklahoma5,OK,Dallas,"2,505","37,754",6.60%
Oregon,OR,Seattle,"2,389","28,318",8.40%
Pennsylvania,PA,Philadelphia,"8,757","117,052",7.50%
Puerto Rico,PR,New York,803,"11,729",6.80%
