ObjectId,IntakeType,IntakeSubtype,Number_of_Animals,YEAR,MONTH
125,KHS,STRAY,11,2006,1
126,OWNER SUR,FIELD,43,2006,1
127,OWNER SUR,OTC,165,2006,1
128,STRAY,FIELD,340,2006,1
129,STRAY,OTC,290,2006,1
130,CONFISCATE,ABANDONED,7,2006,2
131,RETURN,FIELD,3,2006,6
132,TRANSFER,,1,2005,4
133,STRAY,FIELD,443,2006,6
134,RETURN,OTC,2,2007,3
135,CONFISCATE,,2,2005,5
136,STRAY,OTC,517,2006,6
137,STRAY,FIELD,301,2007,3
138,CONFISCATE,CRUELTY,27,2005,5
139,CONFISCATE,ABANDONED,1,2006,7
140,STRAY,OTC,392,2007,3
141,EUTH REQ,FIELD OWN,7,2005,5
142,CONFISCATE,BITE,3,2006,7
143,TRANSFER,AN CONTROL,2,2007,3
144,EUTH REQ,OTC OWNED,23,2005,5
145,CONFISCATE,CRUELTY,1,2006,7
146,CONFISCATE,BITE,2,2007,4
147,KHS,STRAY,1,2005,5
148,CONFISCATE,NEGLECT,15,2006,7
149,CONFISCATE,CRUELTY,4,2007,4
150,OWNER SUR,FIELD,25,2005,5
151,EUTH REQ,FIELD OWN,3,2006,7
152,CONFISCATE,NEGLECT,22,2007,4
153,OWNER SUR,OTC,103,2005,5
154,EUTH REQ,OTC OWNED,34,2006,7
155,CONFISCATE,POLICE,1,2007,4
156,STRAY,,1,2005,5
157,KHS,OWNER SUR,2,2006,7
158,CONFISCATE,POTDANGER,3,2007,4
159,STRAY,FIELD,271,2005,5
160,KHS,STRAY,63,2006,7
161,EUTH REQ,,1,2007,4
162,STRAY,OTC,339,2005,5
163,OUTSURGERY,,3,2006,7
164,EUTH REQ,FIELD OWN,15,2007,4
165,TRANSFER,,1,2005,5
166,OWNER SUR,FIELD,25,2006,7
167,EUTH REQ,OTC OWNED,63,2007,4
168,CONFISCATE,,5,2005,6
169,OWNER SUR,OTC,324,2006,7
170,OUTSURGERY,,103,2007,4
171,CONFISCATE,BITE,1,2005,6
172,RETURN,OTC,2,2006,7
173,CONFISCATE,CRUELTY,17,2005,6
174,STRAY,,3,2006,7
175,STRAY,FIELD,482,2006,7
176,STRAY,OTC,597,2006,7
177,CONFISCATE,BITE,6,2006,8
178,CONFISCATE,CRUELTY,2,2006,8
179,CONFISCATE,NEGLECT,47,2006,8
180,EUTH REQ,FIELD OWN,2,2006,8
181,EUTH REQ,OTC OWNED,30,2006,8
182,KHS,STRAY,45,2006,8
183,OUTSURGERY,,26,2006,8
184,OWNER SUR,FIELD,40,2006,8
185,OWNER SUR,OTC,240,2006,8
186,STRAY,FIELD,495,2006,8
187,STRAY,OTC,514,2006,8
188,CONFISCATE,BITE,5,2006,9
189,CONFISCATE,EVICTION,1,2006,9
190,CONFISCATE,NEGLECT,14,2006,9
191,CONFISCATE,POLICE,1,2006,9
192,EUTH REQ,FIELD OWN,7,2006,9
193,EUTH REQ,OTC OWNED,22,2006,9
194,KHS,STRAY,37,2006,9
195,OUTSURGERY,,16,2006,9
196,OWNER SUR,FIELD,22,2006,9
197,OWNER SUR,OTC,265,2006,9
198,RETURN,OTC,3,2006,9
199,STRAY,,1,2006,9
200,STRAY,FIELD,490,2006,9
201,EUTH REQ,FIELD OWN,3,2005,6
202,EUTH REQ,OTC OWNED,23,2005,6
203,KHS,STRAY,14,2005,6
204,OWNER SUR,FIELD,23,2005,6
205,OWNER SUR,OTC,100,2005,6
206,RETURN,OTC,1,2005,6
207,STRAY,,4,2005,6
208,STRAY,FIELD,320,2005,6
209,STRAY,OTC,356,2005,6
210,CONFISCATE,BITE,1,2005,7
211,CONFISCATE,CRUELTY,14,2005,7
212,CONFISCATE,POLICE,1,2005,7
213,EUTH REQ,FIELD OWN,6,2005,7
214,EUTH REQ,OTC OWNED,26,2005,7
215,KHS,BITE,2,2005,7
216,KHS,STRAY,84,2005,7
217,OWNER SUR,,1,2005,7
218,OWNER SUR,FIELD,42,2005,7
219,OWNER SUR,OTC,124,2005,7
220,STRAY,,1,2005,7
221,STRAY,FIELD,337,2005,7
222,STRAY,OTC,364,2005,7
223,CONFISCATE,ABANDONED,2,2005,8
224,CONFISCATE,CRUELTY,27,2005,8
225,CONFISCATE,NEGLECT,5,2005,8
226,EUTH REQ,,1,2005,8
227,EUTH REQ,FIELD OWN,5,2005,8
228,EUTH REQ,OTC OWNED,34,2005,8
229,KHS,STRAY,71,2005,8
230,OWNER SUR,,1,2005,8
231,OWNER SUR,FIELD,28,2005,8
232,OWNER SUR,OTC,105,2005,8
233,RETURN,FIELD,1,2005,8
234,STRAY,,2,2005,8
235,STRAY,FIELD,354,2005,8
236,STRAY,OTC,379,2005,8
237,CONFISCATE,ABANDONED,1,2005,9
238,CONFISCATE,CRUELTY,17,2005,9
239,CONFISCATE,NEGLECT,3,2005,9
240,EUTH REQ,FIELD OWN,6,2005,9
241,EUTH REQ,OTC OWNED,28,2005,9
242,KHS,STRAY,56,2005,9
243,OWNER SUR,FIELD,30,2005,9
244,OWNER SUR,OTC,121,2005,9
245,STRAY,,2,2005,9
246,STRAY,FIELD,301,2005,9
247,STRAY,OTC,376,2005,9
248,CONFISCATE,ABANDONED,1,2005,10
249,CONFISCATE,BITE,1,2005,10
250,CONFISCATE,CRUELTY,4,2005,10
251,OWNER SUR,FIELD,39,2007,4
252,OWNER SUR,OTC,257,2007,4
253,QUARANTINE,,1,2007,4
254,QUARANTINE,MAS,2,2007,4
255,QUARANTINE,OWNER,4,2007,4
256,QUARANTINE,STRAY,3,2007,4
257,RETURN,OTC,2,2007,4
258,STRAY,FIELD,330,2007,4
259,STRAY,OTC,302,2007,4
260,CONFISCATE,ABANDONED,1,2007,5
261,CONFISCATE,BITE,3,2007,5
262,CONFISCATE,CRUELTY,3,2007,5
263,CONFISCATE,DANGER DOG,3,2007,5
264,CONFISCATE,NEGLECT,22,2007,5
265,CONFISCATE,POLICE,4,2007,5
266,CONFISCATE,POTDANGER,3,2007,5
267,CONFISCATE,UNPERMITED,2,2007,5
268,EUTH REQ,FIELD OWN,17,2007,5
269,EUTH REQ,OTC OWNED,52,2007,5
270,INVESTIGAT,POTDANGER,1,2007,5
271,OUTSURGERY,,104,2007,5
272,OWNER SUR,FIELD,76,2007,5
273,OWNER SUR,OTC,282,2007,5
274,QUARANTINE,,1,2007,5
275,QUARANTINE,MAS,5,2007,5
276,QUARANTINE,OWNER,6,2007,5
277,QUARANTINE,STRAY,7,2007,5
278,RETURN,FIELD,1,2007,5
279,RETURN,OTC,6,2007,5
280,STRAY,,1,2007,5
281,STRAY,FIELD,438,2007,5
282,STRAY,OTC,337,2007,5
283,TRANSFER,AN CONTROL,1,2007,5
284,CONFISCATE,,1,2007,6
285,CONFISCATE,ABANDONED,3,2007,6
286,CONFISCATE,DANGER DOG,2,2007,6
287,CONFISCATE,NEGLECT,23,2007,6
288,CONFISCATE,POLICE,2,2007,6
289,CONFISCATE,POTDANGER,8,2007,6
290,CONFISCATE,UNPERMITED,3,2007,6
291,EUTH REQ,FIELD OWN,8,2007,6
292,EUTH REQ,OTC OWNED,102,2007,6
293,INVESTIGAT,POTDANGER,2,2007,6
294,OUTSURGERY,,111,2007,6
295,OUTSURGERY, ,3,2007,6
296,OWNER SUR,FIELD,35,2007,6
297,OWNER SUR,OTC,361,2007,6
298,QUARANTINE,,1,2007,6
299,QUARANTINE,MAS,9,2007,6
300,QUARANTINE,OWNER,6,2007,6
301,STRAY,OTC,516,2006,9
302,CONFISCATE,ABANDONED,2,2006,10
303,CONFISCATE,BITE,1,2006,10
304,CONFISCATE,CRUELTY,1,2006,10
305,CONFISCATE,DANGER DOG,1,2006,10
306,CONFISCATE,EVICTION,1,2006,10
307,CONFISCATE,NEGLECT,17,2006,10
308,CONFISCATE,POLICE,4,2006,10
309,EUTH REQ,FIELD OWN,5,2006,10
310,EUTH REQ,OTC OWNED,20,2006,10
311,KHS,STRAY,18,2006,10
312,OUTSURGERY,,33,2006,10
313,OWNER SUR,FIELD,48,2006,10
314,OWNER SUR,OTC,230,2006,10
315,RETURN,OTC,1,2006,10
316,STRAY,FIELD,410,2006,10
317,STRAY,OTC,485,2006,10
318,CONFISCATE,ABANDONED,2,2006,11
319,CONFISCATE,BITE,1,2006,11
320,CONFISCATE,DANGER DOG,2,2006,11
321,CONFISCATE,NEGLECT,13,2006,11
322,EUTH REQ,FIELD OWN,7,2006,11
323,EUTH REQ,OTC OWNED,39,2006,11
324,OUTSURGERY,,38,2006,11
325,OWNER SUR,,1,2006,11
326,OWNER SUR,FIELD,22,2006,11
327,OWNER SUR,OTC,184,2006,11
328,RETURN,FIELD,1,2006,11
329,RETURN,OTC,3,2006,11
330,STRAY,FIELD,376,2006,11
331,STRAY,OTC,333,2006,11
332,CONFISCATE,ABANDONED,1,2006,12
333,CONFISCATE,DANGER DOG,1,2006,12
334,CONFISCATE,NEGLECT,17,2006,12
335,CONFISCATE,OWNER DIED,5,2006,12
336,EUTH REQ,FIELD OWN,2,2006,12
337,EUTH REQ,OTC OWNED,33,2006,12
338,KHS,STRAY,4,2006,12
339,OUTSURGERY,,35,2006,12
340,OWNER SUR,FIELD,41,2006,12
341,OWNER SUR,OTC,217,2006,12
342,QUARANTINE,MAS,1,2006,12
343,QUARANTINE,OWNER,2,2006,12
344,QUARANTINE,STRAY,1,2006,12
345,RETURN,OTC,1,2006,12
346,STRAY,,1,2006,12
347,STRAY,FIELD,286,2006,12
348,STRAY,OTC,328,2006,12
349,CONFISCATE,CRUELTY,1,2007,1
350,CONFISCATE,DANGER DOG,1,2007,1
351,CONFISCATE,BITE,2,2006,2
352,CONFISCATE,CRUELTY,1,2006,2
353,CONFISCATE,NEGLECT,13,2006,2
354,EUTH REQ,FIELD OWN,1,2006,2
355,EUTH REQ,OTC OWNED,16,2006,2
356,KHS,STRAY,6,2006,2
357,OWNER SUR,FIELD,32,2006,2
358,OWNER SUR,OTC,110,2006,2
359,RETURN,OTC,2,2006,2
360,STRAY,FIELD,299,2006,2
361,STRAY,OTC,225,2006,2
362,CONFISCATE,ABANDONED,5,2006,3
363,CONFISCATE,BITE,1,2006,3
364,CONFISCATE,NEGLECT,30,2006,3
365,EUTH REQ,FIELD OWN,4,2006,3
366,EUTH REQ,OTC OWNED,19,2006,3
367,OWNER SUR,FIELD,45,2006,3
368,OWNER SUR,OTC,178,2006,3
369,RETURN,FIELD,3,2006,3
370,STRAY,FIELD,332,2006,3
371,STRAY,OTC,270,2006,3
372,CONFISCATE,ABANDONED,2,2006,4
373,CONFISCATE,BITE,10,2006,4
374,CONFISCATE,CRUELTY,5,2006,4
375,CONFISCATE,NEGLECT,22,2006,4
376,EUTH REQ,OTC OWNED,19,2006,4
377,KHS,BITE,2,2006,4
378,KHS,STRAY,4,2006,4
379,OWNER SUR,FIELD,62,2006,4
380,OWNER SUR,OTC,218,2006,4
381,RETURN,OTC,1,2006,4
382,STRAY,,1,2006,4
383,STRAY,FIELD,346,2006,4
384,STRAY,OTC,331,2006,4
385,TRANSFER,AN CONTROL,5,2006,4
386,CONFISCATE,ABANDONED,3,2006,5
387,CONFISCATE,BITE,2,2006,5
388,CONFISCATE,CRUELTY,7,2006,5
389,CONFISCATE,EVICTION,1,2006,5
390,CONFISCATE,NEGLECT,11,2006,5
391,CONFISCATE,POLICE,4,2006,5
392,EUTH REQ,FIELD OWN,5,2006,5
393,EUTH REQ,OTC OWNED,36,2006,5
394,KHS,STRAY,14,2006,5
395,OWNER SUR,FIELD,31,2006,5
396,OWNER SUR,OTC,270,2006,5
397,STRAY,,1,2006,5
398,STRAY,FIELD,484,2006,5
399,STRAY,OTC,451,2006,5
400,CONFISCATE,ABANDONED,2,2006,6
401,OWNER SUR,,4,2007,11
402,OWNER SUR,FIELD,84,2007,11
403,OWNER SUR,OTC,250,2007,11
404,QUARANTINE,MAS,5,2007,11
405,QUARANTINE,OWNER,1,2007,11
406,QUARANTINE,STRAY,7,2007,11
407,RETURN,OTC,8,2007,11
408,STRAY,,1,2007,11
409,STRAY,FIELD,383,2007,11
410,STRAY,OTC,260,2007,11
411,CONFISCATE,ABANDONED,4,2007,12
412,CONFISCATE,NEGLECT,27,2007,12
413,CONFISCATE,POTDANGER,1,2007,12
414,CONFISCATE,UNPERMITED,8,2007,12
415,EUTH REQ,FIELD OWN,4,2007,12
416,EUTH REQ,OTC OWNED,53,2007,12
417,INVESTIGAT,POTDANGER,2,2007,12
418,OUTSURGERY,,53,2007,12
419,OUTSURGERY, ,1,2007,12
420,OWNER SUR,FIELD,31,2007,12
421,OWNER SUR,OTC,227,2007,12
422,QUARANTINE,MAS,8,2007,12
423,QUARANTINE,OWNER,1,2007,12
424,QUARANTINE,STRAY,3,2007,12
425,RETURN,FIELD,5,2007,12
426,RETURN,OTC,14,2007,12
427,STRAY,FIELD,313,2007,12
428,STRAY,OTC,205,2007,12
429,TRANSFER,AN CONTROL,2,2007,12
430,CONFISCATE,,4,2008,1
431,CONFISCATE,BITE,1,2008,1
432,CONFISCATE,DANGER DOG,2,2008,1
433,CONFISCATE,NEGLECT,28,2008,1
434,CONFISCATE,POTDANGER,1,2008,1
435,CONFISCATE,UNPERMITED,2,2008,1
436,EUTH REQ,FIELD OWN,6,2008,1
437,EUTH REQ,OTC OWNED,34,2008,1
438,INVESTIGAT,,2,2008,1
439,INVESTIGAT,POTDANGER,1,2008,1
440,OUTSURGERY,,65,2008,1
441,OWNER SUR,FIELD,54,2008,1
442,OWNER SUR,OTC,154,2008,1
443,QUARANTINE,MAS,1,2008,1
444,QUARANTINE,OWNER,3,2008,1
445,QUARANTINE,STRAY,7,2008,1
446,RETURN,,1,2008,1
447,RETURN,FIELD,3,2008,1
448,RETURN,OTC,14,2008,1
449,STRAY,FIELD,324,2008,1
450,STRAY,OTC,204,2008,1
451,CONFISCATE,ABANDONED,3,2008,2
452,CONFISCATE,CRUELTY,1,2008,2
453,EUTH REQ,OTC OWNED,43,2008,4
454,CONFISCATE,NEGLECT,26,2008,2
455,CONFISCATE,POLICE,4,2008,2
456,CONFISCATE,POTDANGER,3,2008,2
457,CONFISCATE,UNPERMITED,1,2008,2
458,EUTH REQ,FIELD OWN,4,2008,2
459,EUTH REQ,OTC OWNED,35,2008,2
460,OUTSURGERY,,72,2008,2
461,OUTSURGERY, ,1,2008,2
462,OWNER SUR,,2,2008,2
463,OWNER SUR,FIELD,49,2008,2
464,OWNER SUR,OTC,224,2008,2
465,QUARANTINE,MAS,4,2008,2
466,QUARANTINE,OWNER,2,2008,2
467,QUARANTINE,STRAY,4,2008,2
468,RETURN,FIELD,2,2008,2
469,RETURN,OTC,19,2008,2
470,STRAY,,1,2008,2
471,STRAY,FIELD,299,2008,2
472,STRAY,OTC,193,2008,2
473,CONFISCATE,ABANDONED,1,2008,3
474,CONFISCATE,NEGLECT,13,2008,3
475,CONFISCATE,POLICE,1,2008,3
476,CONFISCATE,POTDANGER,1,2008,3
477,CONFISCATE,UNPERMITED,4,2008,3
478,EUTH REQ,FIELD OWN,3,2008,3
479,EUTH REQ,OTC OWNED,54,2008,3
480,INVESTIGAT,POTDANGER,2,2008,3
481,OUTSURGERY,,84,2008,3
482,OWNER SUR,FIELD,35,2008,3
483,OWNER SUR,OTC,218,2008,3
484,QUARANTINE,MAS,7,2008,3
485,QUARANTINE,OWNER,1,2008,3
486,QUARANTINE,STRAY,2,2008,3
487,RETURN,,2,2008,3
488,RETURN,FIELD,2,2008,3
489,RETURN,OTC,21,2008,3
490,STRAY,FIELD,332,2008,3
491,STRAY,OTC,200,2008,3
492,TRANSFER,AN CONTROL,1,2008,3
493,CONFISCATE,ABANDONED,4,2008,4
494,CONFISCATE,DANGER DOG,1,2008,4
495,CONFISCATE,EVICTION,2,2008,4
496,CONFISCATE,NEGLECT,19,2008,4
497,CONFISCATE,POLICE,2,2008,4
498,CONFISCATE,POTDANGER,3,2008,4
499,CONFISCATE,UNPERMITED,2,2008,4
500,EUTH REQ,,2,2008,4
501,EUTH REQ,FIELD OWN,6,2008,4
502,CONFISCATE,NEGLECT,133,2007,9
503,CONFISCATE,UNPERMITED,45,2008,8
504,OWNER SUR,FIELD,50,2008,10
505,EUTH REQ,,3,2008,8
506,INVESTIGAT,POTDANGER,4,2008,4
507,OWNER SUR,OTC,272,2008,10
508,EUTH REQ,FIELD OWN,5,2008,8
509,CONFISCATE,POLICE,3,2007,9
510,MED OBSERV,,2,2008,4
511,QUARANTINE,MAS,8,2008,10
512,EUTH REQ,OTC,9,2008,8
513,CONFISCATE,POTDANGER,1,2007,9
514,OUTSURGERY,,75,2008,4
515,QUARANTINE,STRAY,1,2008,10
516,EUTH REQ,OTC OWNED,59,2008,8
517,CONFISCATE,UNPERMITED,40,2007,9
518,OWNER SUR,FIELD,41,2008,4
519,RETURN,OTC,22,2008,10
520,INVESTIGAT,POTDANGER,1,2008,8
521,EUTH REQ,FIELD OWN,6,2007,9
522,OWNER SUR,OTC,207,2008,4
523,STRAY,FIELD,443,2008,10
524,KHS,,6,2008,8
525,EUTH REQ,OTC OWNED,45,2007,9
526,QUARANTINE,,1,2008,4
527,STRAY,OTC,430,2008,10
528,OUTSURGERY,,64,2008,8
529,INVESTIGAT,POTDANGER,1,2007,9
530,QUARANTINE,MAS,13,2008,4
531,CONFISCATE,,1,2008,11
532,OUTSURGERY,OTC,1,2008,8
533,OUTSURGERY,,67,2007,9
534,QUARANTINE,OWNER,3,2008,4
535,CONFISCATE,ABANDONED,5,2008,11
536,OWNER SUR,,2,2008,8
537,OWNER SUR,FIELD,44,2007,9
538,QUARANTINE,STRAY,6,2008,4
539,CONFISCATE,CHAINING,14,2008,11
540,OWNER SUR,FIELD,103,2008,8
541,OWNER SUR,OTC,319,2007,9
542,RETURN,,1,2008,4
543,CONFISCATE,CRUELTY,6,2008,11
544,OWNER SUR,OTC,355,2008,8
545,QUARANTINE,,1,2007,9
546,RETURN,OTC,14,2008,4
547,CONFISCATE,NEGLECT,33,2008,11
548,QUARANTINE,MAS,8,2008,8
549,QUARANTINE,MAS,7,2007,9
550,STRAY,,1,2008,4
551,CONFISCATE,UNPERMITED,66,2008,11
552,QUARANTINE,OWNER,1,2008,8
553,QUARANTINE,OWNER,2,2007,9
554,STRAY,FIELD,438,2008,4
555,EUTH REQ,FIELD OWN,7,2008,11
556,QUARANTINE,STRAY,4,2008,8
557,QUARANTINE,STRAY,8,2007,9
558,STRAY,OTC,306,2008,4
559,EUTH REQ,OTC OWNED,46,2008,11
560,RETURN,,1,2008,8
561,RETURN,FIELD,4,2007,9
562,CONFISCATE,ABANDONED,1,2008,5
563,OUTSURGERY,,88,2008,11
564,RETURN,OTC,18,2008,8
565,RETURN,OTC,2,2007,9
566,CONFISCATE,BITE,1,2008,5
567,OWNER SUR,EUTH REQ,1,2008,11
568,OWNER SUR,FIELD,32,2008,11
569,OWNER SUR,OTC,283,2008,11
570,QUARANTINE,MAS,9,2008,11
571,QUARANTINE,OWNER,2,2008,11
572,QUARANTINE,STRAY,3,2008,11
573,RETURN,FIELD,1,2008,11
574,RETURN,OTC,13,2008,11
575,STRAY,FIELD,345,2008,11
576,STRAY,OTC,373,2008,11
577,CONFISCATE,ABANDONED,5,2008,12
578,CONFISCATE,CHAINING,15,2008,12
579,CONFISCATE,DANGER DOG,1,2008,12
580,CONFISCATE,NEGLECT,16,2008,12
581,CONFISCATE,POLICE,3,2008,12
582,CONFISCATE,UNPERMITED,59,2008,12
583,EUTH REQ,FIELD OWN,2,2008,12
584,EUTH REQ,OTC OWNED,41,2008,12
585,OUTSURGERY,,103,2008,12
586,OWNER SUR,FIELD,42,2008,12
587,OWNER SUR,OTC,202,2008,12
588,QUARANTINE,MAS,5,2008,12
589,QUARANTINE,OWNER,1,2008,12
590,QUARANTINE,STRAY,3,2008,12
591,RETURN,OTC,12,2008,12
592,STRAY,FIELD,316,2008,12
593,STRAY,OTC,230,2008,12
594,CONFISCATE,,5,2009,1
595,CONFISCATE,ABANDONED,6,2009,1
596,CONFISCATE,CHAINING,24,2009,1
597,CONFISCATE,NEGLECT,23,2009,1
598,CONFISCATE,UNPERMITED,24,2009,1
599,EUTH REQ,FIELD OWN,4,2009,1
600,EUTH REQ,OTC OWNED,41,2009,1
601,CONFISCATE,CRUELTY,2,2008,5
602,CONFISCATE,NEGLECT,21,2008,5
603,CONFISCATE,POTDANGER,3,2008,5
604,STRAY,,1,2007,9
605,CONFISCATE,UNPERMITED,4,2008,5
606,STRAY,FIELD,383,2007,9
607,STRAY,,1,2008,8
608,EUTH REQ,FIELD OWN,3,2008,5
609,STRAY,OTC,321,2007,9
610,STRAY,FIELD,487,2008,8
611,EUTH REQ,OTC OWNED,52,2008,5
612,CONFISCATE,,1,2007,10
613,STRAY,OTC,459,2008,8
614,INVESTIGAT,POTDANGER,2,2008,5
615,CONFISCATE,ABANDONED,9,2007,10
616,STRAY,STRAY,4,2008,8
617,OUTSURGERY,,79,2008,5
618,CONFISCATE,NEGLECT,13,2007,10
619,CONFISCATE,BITE,2,2008,9
620,OWNER SUR,FIELD,73,2008,5
621,CONFISCATE,POTDANGER,4,2007,10
622,CONFISCATE,CHAINING,12,2008,9
623,OWNER SUR,OTC,270,2008,5
624,CONFISCATE,UNPERMITED,20,2007,10
625,CONFISCATE,DANGER DOG,1,2008,9
626,QUARANTINE,MAS,15,2008,5
627,EUTH REQ,,10,2007,10
628,CONFISCATE,NEGLECT,12,2008,9
629,QUARANTINE,OWNER,10,2008,5
630,EUTH REQ,FIELD OWN,3,2007,10
631,CONFISCATE,POTDANGER,1,2008,9
632,QUARANTINE,STRAY,6,2008,5
633,EUTH REQ,OTC OWNED,67,2007,10
634,CONFISCATE,UNPERMITED,8,2008,9
635,RETURN,,1,2008,5
636,OUTSURGERY,,39,2007,10
637,EUTH REQ,OTC OWNED,58,2008,9
638,RETURN,FIELD,5,2008,5
639,OWNER SUR,,1,2007,10
640,OUTSURGERY,,49,2008,9
641,RETURN,OTC,9,2008,5
642,OWNER SUR,FIELD,58,2007,10
643,OWNER SUR,FIELD,110,2008,9
644,STRAY,FIELD,517,2008,5
645,OWNER SUR,OTC,232,2007,10
646,OWNER SUR,OTC,279,2008,9
647,STRAY,OTC,332,2008,5
648,QUARANTINE,MAS,3,2007,10
649,QUARANTINE,MAS,10,2008,9
650,TRANSFER,AN CONTROL,2,2008,5
651,QUARANTINE,OWNER,1,2007,10
