OBJECTID,COMPKEY,COMPTYPE,UNITID,UNITID2,UNITIDSORT,UNITDESC,STNAME_ORD,ONSTREET,XSTRLO,XSTRHI,ARTCLASS,ARTDESCRIP,OWNER,BLOCKNBR,SPEEDLIMIT,SEGDIR,ONEWAY,ONEWAYDIR,FLOW,SEGLENGTH,SURFACEWID,SURFACED_1,INTRLO,DIRLO,INTKEYLO,INTRHI,DIRHI,INTKEYHI,GIS_MID_X,GIS_MID_Y,SGNDBKROUT,NGHBRHDGRN,NATIONHWYS,STREETTYPE,MJTRK_STR_,PVMTCONDIN,PVMTCOND_1,TRANCLASS,TRANDESCRI,FREIGHTCLASS,SHAPE_Length
36,16686,68,13145,0170,131450170,NE 145TH ST BETWEEN 17TH AVE NE AND 19TH AVE NE,NE 145TH ST,NE 145TH ST,17TH AVE NE,19TH AVE NE,1, , ,1700,35,E,N, , ,333.0,0,,17TH AVE NE AND NE 145TH ST,E,36077,19TH AVE NE AND NE 145TH ST,W,36076,1277214.15570466,271192.11757776, , , ,Regional, ,0,0,2, ,1,332.55473575983
37,16692,68,13145,0250,131450250,NE 145TH ST BETWEEN 25TH AVE NE AND 26TH AVE NE,NE 145TH ST,NE 145TH ST,25TH AVE NE,26TH AVE NE,1, , ,2500,35,E,N, , ,334.0,0,,25TH AVE NE AND NE 145TH ST,E,35996,26TH AVE NE AND NE 145TH ST,W,35995,1279208.53241071,271121.22893769, , , ,Regional, ,0,0,2, ,1,333.545471653703
38,15263,68,11975,0060,119750060,N 145TH ST BETWEEN EVANSTON AVE N AND FREMONT AVE N,N 145TH ST,N 145TH ST,EVANSTON AVE N,FREMONT AVE N,1, , ,600,35,E,N, , ,312.0,0,,EVANSTON AVE N AND N 145TH ST,E,35775,FREMONT AVE N AND N 145TH ST,W,35774,1266939.32036614,271470.83194605, , , ,Regional, ,0,0,3, ,1,311.61873892347
39,15269,68,11975,0121,119750121,N 145TH ST BETWEEN LENORA PL N AND STONE AVE N,N 145TH ST,N 145TH ST,LENORA PL N,STONE AVE N,1, , ,1200,35,E,N, , ,254.0,0,,LENORA PL N AND N 145TH ST,E,35700,STONE AVE N AND N 145TH ST,W,35699,1268964.48632021,271431.180298, , , ,Regional, ,0,0,3, ,1,253.927965192428
40,16698,68,13145,0320,131450320,NE 145TH ST BETWEEN 32ND AVE NE AND LAKE CITY WAY NE,NE 145TH ST,NE 145TH ST,32ND AVE NE,LAKE CITY WAY NE,1, , ,3200,35,E,N, , ,338.0,0,,32ND AVE NE AND NE 145TH ST,E,35988,LAKE CITY WAY NE AND NE 145TH ST,W,35987,1281211.17868476,271059.24474561, , , , , ,0,0,2, ,1,338.410992018823
41,16694,68,13145,0270,131450270,NE 145TH ST BETWEEN 27TH AVE NE AND 28TH AVE NE,NE 145TH ST,NE 145TH ST,27TH AVE NE,28TH AVE NE,1, , ,2700,35,E,N, , ,333.0,0,,27TH AVE NE AND NE 145TH ST,E,35993,NE 145TH ST AND 28TH AVE NE,W,35992,1279875.06553139,271100.59872966, , , ,Regional, ,0,0,2, ,1,332.906052072272
42,15278,68,11975,0190,119750190,N 145TH ST BETWEEN BURKE AVE N AND WAYNE PL N,N 145TH ST,N 145TH ST,BURKE AVE N,WAYNE PL N,1, , ,1900,35,E,N, , ,146.0,0,,BURKE AVE N AND N 145TH ST,E,35691,WAYNE PL N AND N 145TH ST,W,35690,1270755.46757005,271398.10087396, , , , , ,0,0,3, ,1,145.769991426369
43,16690,68,13145,0230,131450230,NE 145TH ST BETWEEN 23RD PL NE AND 24TH AVE NE,NE 145TH ST,NE 145TH ST,23RD PL NE,24TH AVE NE,1, , ,2300,35,E,N, , ,320.0,0,,23RD PL NE AND NE 145TH ST,E,36073,24TH AVE NE AND NE 145TH ST,W,36072,1278474.14508195,271146.80429772, , , , , ,0,0,2, ,1,320.156637095576
44,15274,68,11975,0160,119750160,N 145TH ST BETWEEN ASHWORTH AVE N AND DENSMORE AVE N,N 145TH ST,N 145TH ST,ASHWORTH AVE N,DENSMORE AVE N,1, , ,1600,35,E,N, , ,260.0,0,,ASHWORTH AVE N AND N 145TH ST,E,35695,DENSMORE AVE N AND N 145TH ST,W,35694,1269887.00484917,271414.14151399, , , ,Regional, ,0,0,3, ,1,260.022836118732
45,16682,68,13145,0080,131450080,NE 145TH ST BETWEEN 8TH AVE NE AND 10TH AVE NE,NE 145TH ST,NE 145TH ST,8TH AVE NE,10TH AVE NE,1, , ,800,35,E,N, , ,660.0,0,,NE 145TH ST AND 8TH AVE NE,E,35862,NE 145TH ST AND 10TH AVE NE,W,35863,1274733.13707812,271276.92615384, , , ,Regional, ,0,0,2, ,1,660.483278511817
46,16681,68,13145,0060,131450060,NE 145TH ST BETWEEN 6TH AVE NE AND 8TH AVE NE,NE 145TH ST,NE 145TH ST,6TH AVE NE,8TH AVE NE,1, , ,600,35,E,N, , ,349.0,0,,NE 145TH ST AND 6TH AVE NE,E,35861,NE 145TH ST AND 8TH AVE NE,W,35862,1274228.7228696,271293.71482585, , , ,Regional, ,0,0,2, ,1,348.903748887846
47,10761,68,07105,1010,071051010,GREENWOOD AVE N BETWEEN N 101ST ST AND N 102ND ST,GREENWOOD AVE N,GREENWOOD AVE N,N 101ST ST,N 102ND ST,2, , ,10100,35,N,N, , ,264.0,0,,GREENWOOD AVE N AND N 101ST ST,N,37397,GREENWOOD AVE N AND N 102ND ST,S,37395,1265656.72407682,259973.92735827, , , ,Commercial, ,0,0,2, ,2,264.276723522635
48,10792,68,07105,1380,071051380,GREENWOOD AVE N BETWEEN N 138TH ST AND N 140TH ST,GREENWOOD AVE N,GREENWOOD AVE N,N 138TH ST,N 140TH ST,1, , ,13800,35,N,N, , ,311.0,0,,GREENWOOD AVE N AND N 138TH ST,N,35798,GREENWOOD AVE N AND N 140TH ST,S,35788,1265821.837485,270012.33991255, , , ,Regional, ,0,0,2, ,2,310.767779882728
49,10777,68,07105,1120,071051120,GREENWOOD AVE N BETWEEN N 112TH ST AND N 115TH ST,GREENWOOD AVE N,GREENWOOD AVE N,N 112TH ST,N 115TH ST,1, , ,11200,35,N,N, , ,662.0,0,,GREENWOOD AVE N AND N 112TH ST,N,36393,GREENWOOD AVE N AND N 115TH ST,S,36386,1265702.34519687,263216.11347359, , , ,Regional, ,0,0,2, ,2,662.153924284662
50,10780,68,07105,1200,071051200,GREENWOOD AVE N BETWEEN N 120TH ST AND N 122ND ST,GREENWOOD AVE N,GREENWOOD AVE N,N 120TH ST,N 122ND ST,1, , ,12000,35,N,N, , ,662.0,0,,GREENWOOD AVE N AND N 120TH ST,N,36371,GREENWOOD AVE N AND N 122ND ST,S,36364,1265735.26148491,265201.32525162, , , ,Regional, ,0,0,2, ,2,661.762653808231
51,10736,68,07105,0700,071050700,GREENWOOD AVE N BETWEEN N 70TH ST AND N 71ST ST,GREENWOOD AVE N,GREENWOOD AVE N,N 70TH ST,N 71ST ST,2, , ,7000,30,N,N, , ,258.0,0,,GREENWOOD AVE N AND N 70TH ST,N,24336,GREENWOOD AVE N AND N 71ST ST,S,24335,1265520.8289727,251735.71512583, , , ,Mixed, ,0,0,3, ,2,257.886020778416
52,10783,68,07105,1250,071051250,GREENWOOD AVE N BETWEEN N 125TH ST AND N 127TH ST,GREENWOOD AVE N,GREENWOOD AVE N,N 125TH ST,N 127TH ST,1, , ,12500,35,N,N, , ,662.0,0,,GREENWOOD AVE N AND N 125TH ST,N,35841,GREENWOOD AVE N AND N 127TH ST,S,35832,1265758.15812494,266524.99744497, , , ,Regional, ,0,0,2, ,2,662.468684759797
53,10765,68,07105,1050,071051050,GREENWOOD AVE N BETWEEN HOLMAN RD N AND N 107TH ST,GREENWOOD AVE N,GREENWOOD AVE N,HOLMAN RD N,N 107TH ST,1, , ,10500,35,N,N, , ,662.0,0,,GREENWOOD AVE N AND HOLMAN RD N,N,36419,GREENWOOD AVE N AND N 107TH ST,S,36410,1265673.32836485,261229.86399956, , , ,Regional, ,0,0,2, ,2,662.155028239597
54,10795,68,07105,1440,071051440,GREENWOOD AVE N BETWEEN N 144TH ST AND N 145TH ST,GREENWOOD AVE N,GREENWOOD AVE N,N 144TH ST,N 145TH ST,1, , ,14400,35,N,N, , ,337.0,0,,GREENWOOD AVE N AND N 144TH ST,N,35779,GREENWOOD AVE N AND N 145TH ST,S,35778,1265845.78257303,271324.01108189, , , ,Mixed, ,0,0,2, ,2,337.282898082914
55,10746,68,07105,0790,071050790,GREENWOOD AVE N BETWEEN N 79TH ST AND N 80TH ST,GREENWOOD AVE N,GREENWOOD AVE N,N 79TH ST,N 80TH ST,2, , ,7900,30,N,N, , ,265.0,0,,GREENWOOD AVE N AND N 79TH ST,N,24291,GREENWOOD AVE N AND N 80TH ST,S,24282,1265572.73930874,254149.3844403, , , ,Mixed, ,0,0,3, ,2,265.113046992964
56,10793,68,07105,1400,071051400,GREENWOOD AVE N BETWEEN N 140TH ST AND N 143RD ST,GREENWOOD AVE N,GREENWOOD AVE N,N 140TH ST,N 143RD ST,1, , ,14000,35,N,N, , ,663.0,0,,GREENWOOD AVE N AND N 140TH ST,N,35788,GREENWOOD AVE N AND N 143RD ST,S,35780,1265830.722157,270498.99348104, , , ,Regional, ,0,0,2, ,2,662.701525240675
57,10748,68,07105,0810,071050810,GREENWOOD AVE N BETWEEN N 81ST ST AND N 82ND ST,GREENWOOD AVE N,GREENWOOD AVE N,N 81ST ST,N 82ND ST,2, , ,8100,30,N,N, , ,264.0,0,,GREENWOOD AVE N AND N 81ST ST,N,24281,GREENWOOD AVE N AND N 82ND ST,S,24269,1265582.98180476,254677.88933684, , , ,Mixed, ,0,0,3, ,2,264.031824999829
58,10791,68,07105,1370,071051370,GREENWOOD AVE N BETWEEN N 137TH ST AND N 138TH ST,GREENWOOD AVE N,GREENWOOD AVE N,N 137TH ST,N 138TH ST,1, , ,13700,35,N,N, , ,330.0,0,,GREENWOOD AVE N AND N 137TH ST,N,35799,GREENWOOD AVE N AND N 138TH ST,S,35798,1265815.98711699,269692.03847222, , , ,Regional, ,0,0,2, ,2,329.943581320048
59,10755,68,07105,0900,071050900,GREENWOOD AVE N BETWEEN N 90TH ST AND N 92ND ST,GREENWOOD AVE N,GREENWOOD AVE N,N 90TH ST,N 92ND ST,2, , ,9000,30,N,N, , ,661.0,0,,GREENWOOD AVE N AND N 90TH ST,N,37438,GREENWOOD AVE N AND N 92ND ST,S,37428,1265622.2019008,257265.49765949, , , ,Commercial, ,0,0,2, ,2,660.555295929974
60,10779,68,07105,1170,071051170,GREENWOOD AVE N BETWEEN N 117TH ST AND N 120TH ST,GREENWOOD AVE N,GREENWOOD AVE N,N 117TH ST,N 120TH ST,1, , ,11700,35,N,N, , ,662.0,0,,GREENWOOD AVE N AND N 117TH ST,N,36379,GREENWOOD AVE N AND N 120TH ST,S,36371,1265724.02884489,264539.65894695, , , ,Regional, ,0,0,2, ,2,661.760674466277
61,19225,68,15130,0110,151300110,NW MARKET ST BETWEEN 11TH AVE NW AND 14TH AVE NW,NW MARKET ST,NW MARKET ST,11TH AVE NW,14TH AVE NW,1, , ,1100,30,W,N, , ,697.0,0,,11TH AVE NW AND NW MARKET ST,W,25422,14TH AVE NW AND NW MARKET ST,E,25423,1261286.59575236,247698.6090737, , , ,Regional, ,0,0,2, ,1,697.013330799044
62,19227,68,15130,0150,151300150,NW MARKET ST BETWEEN 15TH AVE NW AND 17TH AVE NW,NW MARKET ST,NW MARKET ST,15TH AVE NW,17TH AVE NW,2, , ,1500,30,W,N, , ,658.0,0,,15TH AVE NW AND NW MARKET ST,W,25416,17TH AVE NW AND NW MARKET ST,E,25150,1259962.489255,247727.84753773, , , ,Mixed, ,0,0,2, ,1,657.817741068015
63,19214,68,15130,0015,151300015,NW MARKET ST BETWEEN NW 48TH ST AND NW 49TH ST,NW MARKET ST,NW MARKET ST,NW 48TH ST,NW 49TH ST,1, , ,100,30,NW,N, , ,327.0,0,,NW 48TH ST AND NW MARKET ST,NW,25359,NW 49TH ST AND NW MARKET ST,SE,25352,1264637.61917979,245911.19127987, , , ,Regional, ,0,0,2, ,1,326.94377249837
64,19223,68,15130,0080,151300080,NW MARKET ST BETWEEN 8TH AVE NW AND 9TH AVE NW,NW MARKET ST,NW MARKET ST,8TH AVE NW,9TH AVE NW,1, , ,800,30,W,N, , ,598.0,0,,8TH AVE NW AND NW MARKET ST,W,25419,9TH AVE NW AND NW MARKET ST,E,25420,1262464.75946556,247672.77214567, , , ,Regional, ,0,0,2, ,1,597.880972582878
65,15562,68,12140,0080,121400080,N 46TH ST BETWEEN LINDEN AVE N AND PHINNEY TURN RD,N 46TH ST,N 46TH ST,LINDEN AVE N,PHINNEY TURN RD,1, , ,800,30,E,N, , ,267.0,0,,LINDEN AVE N AND N 46TH ST,E,25690,PHINNEY TURN RD AND N 46TH ST,W,25695,1267181.8719184,245179.58347112, , , ,Regional, ,0,0,2, ,1,266.617924434374
