CITY OF POST OFFICE,ADDRESS,CITY,STATE,ZIP,PHONE,LONGITUDE,LATITUDE,Location
Arnett,109 S Washington St,Arnett,OK,73832,(580) 885-7433,-99.771259,36.13277,"(36.13277, -99.771259)"
Asher,110 W Main St,Asher,OK,74826,(405) 784-2231,-96.929958,34.987491,"(34.987491, -96.929958)"
Atoka,401 E Court St,Atoka,OK,74525,(580) 889-3589,-96.124508,34.38512,"(34.38512, -96.124508)"
Atwood,321 Highway 1,Atwood,OK,74827,(580) 986-2245,-96.341669,34.95609,"(34.95609, -96.341669)"
Avant,514 E 3rd St,Avant,OK,74001,(918) 263-4895,-96.056927,36.492233,"(36.492233, -96.056927)"
Balko,1 Highway 83,Balko,OK,73931,(580) 361-2273,-100.828604,36.616045,"(36.616045, -100.828604)"
Barnsdall,520 W Main St,Barnsdall,OK,74002,(918) 847-3125,-96.162146,36.561978,"(36.561978, -96.162146)"
Bartlesville,3900 SE Green Country Rd,Bartlesville,OK,74006,(918) 333-5858,-95.933736,36.740068,"(36.740068, -95.933736)"
Bartlesville,615 SW Jennings Ave,Bartlesville,OK,74003,(918) 336-0948,-95.981027,36.747926,"(36.747926, -95.981027)"
Battiest,100 S Main St,Battiest,OK,74722,(580) 241-5562,-94.929637,34.394406,"(34.394406, -94.929637)"
Beaver,16 E 2nd St,Beaver,OK,73932,(580) 625-3362,-100.559762,36.774041,"(36.774041, -100.559762)"
Beggs,106 N Choctaw St,Beggs,OK,74421,(918) 267-4187,-96.032978,35.773429,"(35.773429, -96.032978)"
Bennington,310 N Perry St,Bennington,OK,74723,(580) 847-2302,-96.038497,33.996264,"(33.996264, -96.038497)"
Bessie,709 Main St,Bessie,OK,73622,(580) 337-6316,-98.987884,35.386375,"(35.386375, -98.987884)"
Bethany,6612 NW 38th St,Bethany,OK,73008,(405) 491-1096,-97.628105,35.509933,"(35.509933, -97.628105)"
Bethel,100 Main St,Bethel,OK,74724,(580) 241-7846,-94.877151,34.364613,"(34.364613, -94.877151)"
Big Cabin,104 W Main St,Big Cabin,OK,74332,(918) 783-5171,-95.221272,36.537896,"(36.537896, -95.221272)"
Billings,113 Main St,Billings,OK,74630,(580) 725-3523,-97.444308,36.528733,"(36.528733, -97.444308)"
Binger,224 W Main St,Binger,OK,73009,(405) 656-2562,-98.343079,35.30879,"(35.30879, -98.343079)"
Bixby,16 S A Ave,Bixby,OK,74008,(918) 366-8277,-95.883705,35.941141,"(35.941141, -95.883705)"
Blackwell,203 W Blackwell Ave,Blackwell,OK,74631,(580) 363-4640,-97.284412,36.804198,"(36.804198, -97.284412)"
Blair,111 E Main St,Blair,OK,73526,(580) 563-2200,-99.333966,34.780628,"(34.780628, -99.333966)"
Blanchard,1200 N Council Rd,Blanchard,OK,73010,(405) 485-3034,-97.653004,35.147763,"(35.147763, -97.653004)"
Blanco,100 E Highway 63,Blanco,OK,74528,(918) 432-5931,-95.735048,34.767792,"(34.767792, -95.735048)"
Blocker,Highway 31e,Blocker,OK,74529,(918) 469-3488,-95.568688,35.059874,"(35.059874, -95.568688)"
Bluejacket,210 E Main St,Bluejacket,OK,74333,(918) 784-2555,-95.072069,36.80004,"(36.80004, -95.072069)"
Boise City,210 N Cimarron,Boise City,OK,73933,(580) 544-2941,-102.513041,36.73155,"(36.73155, -102.513041)"
Bokchito,118 W Main St,Bokchito,OK,74726,(580) 295-3889,-96.144811,34.016762,"(34.016762, -96.144811)"
Bokoshe,100 Highway 31,Bokoshe,OK,74930,(918) 969-2422,-94.721919,35.18757,"(35.18757, -94.721919)"
Boley,122 S Pecan St,Boley,OK,74829,(918) 667-3722,-96.483669,35.49441,"(35.49441, -96.483669)"
Boswell,515 Hunter Ave,Boswell,OK,74727,(580) 566-2845,-95.870517,34.027472,"(34.027472, -95.870517)"
Bowlegs,126 S Main,Bowlegs,OK,74830,(405) 398-4638,-96.670417,35.14657,"(35.14657, -96.670417)"
Boynton,101 S. Seaman St,Boynton,OK,74422,(918) 472-7252,-95.655969,35.653045,"(35.653045, -95.655969)"
Braman,410 Broadway Ave,Braman,OK,74632,(580) 385-2156,-97.334639,36.923389,"(36.923389, -97.334639)"
Bristow,124 W 6th Ave,Bristow,OK,74010,(918) 367-3440,-96.391708,35.832682,"(35.832682, -96.391708)"
Broken Arrow,1701 S Main St,Broken Arrow,OK,74012,(918) 258-9856,-95.790668,36.036926,"(36.036926, -95.790668)"
Broken Arrow,2801 E Kenosha St,Broken Arrow,OK,74014,(918) 355-9223,-95.756542,36.061089,"(36.061089, -95.756542)"
Broken Bow,405 Main St,Broken Bow,OK,74728,(580) 584-6633,-94.73717,34.030529,"(34.030529, -94.73717)"
Bromide,102 S Main St,Bromide,OK,74530,(580) 638-2400,-96.492169,34.41897,"(34.41897, -96.492169)"
Buffalo,103 E Elm St,Buffalo,OK,73834,(580) 735-2420,-99.629794,36.83345,"(36.83345, -99.629794)"
Bunch,3 E Main St,Bunch,OK,74931,(918) 775-5343,-94.757327,35.750217,"(35.750217, -94.757327)"
Burbank,100 E McCorkle Ave,Burbank,OK,74633,(918) 648-5330,-96.726328,36.698097,"(36.698097, -96.726328)"
Burlington,513 Main St,Burlington,OK,73722,(580) 431-2515,-98.293017,36.90386,"(36.90386, -98.293017)"
Burneyville,200 N Main St,Burneyville,OK,73430,(580) 276-2780,-97.315153,33.932124,"(33.932124, -97.315153)"
Burns Flat,100 Sooner Rd,Burns Flat,OK,73624,(580) 562-3564,-99.170504,35.355401,"(35.355401, -99.170504)"
Butler,103 N Olmstead Ave,Butler,OK,73625,(580) 664-3451,-99.187839,35.63767,"(35.63767, -99.187839)"
Byars,252 E Ripley St,Byars,OK,74831,(405) 783-4427,-97.052872,34.874604,"(34.874604, -97.052872)"
Cache,601 S 8th St,Cache,OK,73527,(580) 429-8100,-98.63293,34.625395,"(34.625395, -98.63293)"
Caddo,127 W Buffalo St,Caddo,OK,74729,(580) 367-2240,-96.261309,34.12593,"(34.12593, -96.261309)"
Calera,410 N Mckinley Ave,Calera,OK,74730,(580) 434-5369,-96.432081,33.931676,"(33.931676, -96.432081)"
Calumet,105 E Main St,Calumet,OK,73014,(405) 893-2572,-98.118477,35.60088,"(35.60088, -98.118477)"
Calvin,205 Canadian St,Calvin,OK,74531,(405) 645-2483,-96.250371,34.967906,"(34.967906, -96.250371)"
Camargo,200 S Broadway St,Camargo,OK,73835,(580) 926-3360,-99.289334,36.01686,"(36.01686, -99.289334)"
Cameron,15818 Church St,Cameron,OK,74932,(918) 654-3316,-94.541094,35.136286,"(35.136286, -94.541094)"
Canadian,101 Tignor St,Canadian,OK,74425,(918) 339-2545,-95.655072,35.176269,"(35.176269, -95.655072)"
Caney,200 W Main St,Caney,OK,74533,(580) 889-6097,-96.213019,34.23242,"(34.23242, -96.213019)"
Canton,202 W Main St,Canton,OK,73724,(580) 886-2218,-98.589794,36.053574,"(36.053574, -98.589794)"
Canute,915 E Willard St,Canute,OK,73626,(580) 472-3261,-99.275756,35.421821,"(35.421821, -99.275756)"
Cardin,508 1st St,Cardin,OK,74335,(580) 673-2525,-94.851436,36.972752,"(36.972752, -94.851436)"
Carmen,418 W Main St,Carmen,OK,73726,(580) 987-2318,-98.463039,36.57896,"(36.57896, -98.463039)"
Carnegie,14 N Broadway St,Carnegie,OK,73015,(580) 654-2115,-98.604919,35.10709,"(35.10709, -98.604919)"
Carney,406 W Santa Fe St,Carney,OK,74832,(405) 865-2360,-97.016238,35.809551,"(35.809551, -97.016238)"
Carrier,101 E Main St,Carrier,OK,73727,(580) 855-2520,-98.020712,36.475633,"(36.475633, -98.020712)"
Carter,108 E Main St,Carter,OK,73627,(580) 486-3256,-99.511474,35.218995,"(35.218995, -99.511474)"
Cartwright,52 Boat Club Rd,Cartwright,OK,74731,(580) 965-4444,-96.583069,33.8506,"(33.8506, -96.583069)"
Cashion,109 S Main St,Cashion,OK,73016,(405) 433-2691,-97.679158,35.798575,"(35.798575, -97.679158)"
Castle,401 Main St,Castle,OK,74833,(918) 668-3332,-96.383099,35.478148,"(35.478148, -96.383099)"
Catoosa,1805 S Cherokee St,Catoosa,OK,74015,(918) 266-7134,-95.75613,36.17247,"(36.17247, -95.75613)"
Cement,406 N Main St,Cement,OK,73017,(405) 489-3620,-98.140189,34.93504,"(34.93504, -98.140189)"
Centrahoma,201 W Main St,Centrahoma,OK,74534,(580) 845-2607,-96.339054,34.60958,"(34.60958, -96.339054)"
Chandler,123 W 9th St,Chandler,OK,74834,(405) 258-1397,-96.881137,35.701404,"(35.701404, -96.881137)"
Chattanooga,307 Madison Ave,Chattanooga,OK,73528,(580) 597-2513,-98.658514,34.422595,"(34.422595, -98.658514)"
Checotah,213 W Spaulding St,Checotah,OK,74426,(918) 473-5606,-95.521528,35.470934,"(35.470934, -95.521528)"
Chelsea,408 W 6th St,Chelsea,OK,74016,(918) 789-2653,-95.433908,36.536374,"(36.536374, -95.433908)"
Cherokee,1780 S Grand Ave,Cherokee,OK,73728,(580) 596-2450,-98.35999,36.739846,"(36.739846, -98.35999)"
Chester,135 S Highway 281,Chester,OK,73838,(580) 764-3435,-98.879801,36.49945,"(36.49945, -98.879801)"
Cheyenne,207 S Ll Males Ave,Cheyenne,OK,73628,(580) 497-3995,-99.671719,35.612695,"(35.612695, -99.671719)"
Chickasha,702 W Kansas Ave,Chickasha,OK,73018,(405) 222-0511,-97.941429,35.050066,"(35.050066, -97.941429)"
Chickasha,702 W Kansas Ave,Chickasha,OK,73018,(405) 224-1633,-97.941429,35.050066,"(35.050066, -97.941429)"
Chouteau,125 Railroad St,Chouteau,OK,74337,(918) 476-8816,-95.344534,36.185924,"(36.185924, -95.344534)"
Claremore,400 W 9th St,Claremore,OK,74017,(918) 343-5912,-95.610466,36.317396,"(36.317396, -95.610466)"
Clarita,100 Main St,Clarita,OK,74535,(580) 428-3303,-96.436255,34.4817,"(34.4817, -96.436255)"
Clayton,502 Lawson Blvd,Clayton,OK,74536,(918) 569-7621,-95.352397,34.590386,"(34.590386, -95.352397)"
Cleo Springs,123 N Square St,Cleo Springs,OK,73729,(580) 438-2244,-98.43608,36.40512,"(36.40512, -98.43608)"
Cleveland,105 W Pawnee St,Cleveland,OK,74020,(918) 358-2371,-96.464138,36.310144,"(36.310144, -96.464138)"
Clinton,212 S 11th St,Clinton,OK,73601,(580) 323-0712,-98.973426,35.513161,"(35.513161, -98.973426)"
Coalgate,38 N Main St,Coalgate,OK,74538,(580) 927-2223,-96.217962,34.539605,"(34.539605, -96.217962)"
Colbert,705 Moore St,Colbert,OK,74733,(580) 296-2927,-96.508339,33.85299,"(33.85299, -96.508339)"
Colcord,367 W Main,Colcord,OK,74338,(918) 326-4636,-94.695424,36.26392,"(36.26392, -94.695424)"
Coleman,12900 OK Highway,Coleman,OK,73432,(580) 937-4544,-96.461048,34.26574,"(34.26574, -96.461048)"
Collinsville,118 S 11th St,Collinsville,OK,74021,(918) 371-6528,-95.838049,36.364279,"(36.364279, -95.838049)"
Bradley,116 S McKee St,Bradley,OK,73011,(405) 462-7443,-97.710261,34.855344,"(34.855344, -97.710261)"
Braggs,300 N Madison St,Braggs,OK,74423,(918) 487-5561,-95.198549,35.663755,"(35.663755, -95.198549)"
Colony,50 N Watan Ave,Colony,OK,73021,(405) 929-7277,-98.676169,35.349136,"(35.349136, -98.676169)"
McAlester,500 E Washington Ave,McAlester,OK,74501,(918) 423-4048,-95.762401,34.932548,"(34.932548, -95.762401)"
McCurtain,215 Main St,McCurtain,OK,74944,(918) 945-7597,-94.973159,35.14977,"(35.14977, -94.973159)"
McLoud,700 S 8th St,McLoud,OK,74851,(405) 964-7389,-97.098324,35.427255,"(35.427255, -97.098324)"
Mead,310 N Main,Mead,OK,73449,(580) 924-3548,-96.509609,34.00095,"(34.00095, -96.509609)"
Medford,115 W Cherokee St,Medford,OK,73759,(580) 395-2250,-97.73527,36.80685,"(36.80685, -97.73527)"
Medicine Park,1 E Lake Dr,Medicine Park,OK,73557,(580) 529-2734,-98.501973,34.736919,"(34.736919, -98.501973)"
Meeker,220 W Carl Hubbell Blvd,Meeker,OK,74855,(405) 279-2014,-96.896256,35.503333,"(35.503333, -96.896256)"
Meno,123 E Highway 60,Meno,OK,73760,(580) 776-2290,-98.178303,36.391037,"(36.391037, -98.178303)"
Meridian,100 E 5th St,Meridian,OK,73058,(405) 586-2222,-97.264962,35.772104,"(35.772104, -97.264962)"
Miami,200 I St Ne,Miami,OK,74354,(918) 540-6232,-94.867643,36.877814,"(36.877814, -94.867643)"
Miami,34 A St Ne,Miami,OK,74354,(918) 542-1018,-94.876254,36.875235,"(36.875235, -94.876254)"
Midwest City,8275 E Reno Ave,Midwest City,OK,73110,(405) 732-8601,-97.383908,35.464193,"(35.464193, -97.383908)"
Milburn,201 E I Ave,Milburn,OK,73450,(580) 443-5541,-96.546943,34.243958,"(34.243958, -96.546943)"
Milfay,2810 S 513th West Ave,Milfay,OK,74046,(918) 968-3675,-96.565539,35.75513,"(35.75513, -96.565539)"
Mill Creek,200 W Main St,Mill Creek,OK,74856,(580) 384-5513,-96.767259,34.237685,"(34.237685, -96.767259)"
Millerton,201 N Main St,Millerton,OK,74750,(580) 746-2741,-95.013844,33.991507,"(33.991507, -95.013844)"
Minco,301 Main St,Minco,OK,73059,(405) 352-4850,-97.944581,35.312723,"(35.312723, -97.944581)"
Moffett,400 Belt St,Moffett,OK,74946,(918) 875-3918,-94.447949,35.39046,"(35.39046, -94.447949)"
Moore,601 S I 35 Service Rd,Moore,OK,73160,(405) 794-1690,-97.492588,35.333553,"(35.333553, -97.492588)"
Monroe,14577 Hickory St,Monroe,OK,74947,(918) 658-3360,-94.5193,34.994572,"(34.994572, -94.5193)"
Moodys,9783 Highway 82A,Moodys,OK,74444,(918) 456-2632,-94.957743,36.02403,"(36.02403, -94.957743)"
Mooreland,302 S Main St,Mooreland,OK,73852,(580) 994-5482,-99.20463,36.437906,"(36.437906, -99.20463)"
Morris,321 S 2nd St,Morris,OK,74445,(918) 733-2224,-95.861287,35.607395,"(35.607395, -95.861287)"
Morrison,309 Woolsey Ave,Morrison,OK,73061,(580) 724-3282,-97.00603,36.296357,"(36.296357, -97.00603)"
Mounds,1201 Rockwood Ave,Mounds,OK,74047,(918) 827-6567,-96.061892,35.875652,"(35.875652, -96.061892)"
Mountain Park,204 Spruce St,Mountain Park,OK,73559,(580) 569-4155,-98.949264,34.697105,"(34.697105, -98.949264)"
Mountain View,302 Main St,Mountain View,OK,73062,(580) 347-2197,-98.747709,35.09759,"(35.09759, -98.747709)"
Moyers,100 Main St,Moyers,OK,74557,(580) 298-5693,-95.652699,34.326345,"(34.326345, -95.652699)"
Muldrow,600 E Shawntel Smith Blvd,Muldrow,OK,74948,(918) 427-3241,-94.574646,35.405347,"(35.405347, -94.574646)"
Mulhall,108 S Lewis,Mulhall,OK,73063,(405) 649-2219,-97.405854,36.064682,"(36.064682, -97.405854)"
Muse,1 Main St,Muse,OK,74949,(918) 651-3369,-94.714349,34.655597,"(34.655597, -94.714349)"
Muskogee,525 W Okmulgee St,Muskogee,OK,74401,(918) 682-7832,-95.374237,35.749604,"(35.749604, -95.374237)"
Mustang,600 N Mustang Rd,Mustang,OK,73064,(405) 376-2681,-97.724564,35.397294,"(35.397294, -97.724564)"
Mutual,105 N Broadway Ave,Mutual,OK,73853,(580) 989-3344,-99.115437,36.20947,"(36.20947, -99.115437)"
Nardin,202 Main St,Nardin,OK,74646,(580) 363-1752,-97.446271,36.804895,"(36.804895, -97.446271)"
Nash,103 S Main St,Nash,OK,73761,(580) 839-2212,-98.050466,36.665994,"(36.665994, -98.050466)"
Nashoba,100 Highway 144,Nashoba,OK,74558,(918) 755-4580,-95.028269,34.524392,"(34.524392, -95.028269)"
Newalla,5900 S Harrah Rd,Newalla,OK,74857,(405) 391-5901,-97.159484,35.407305,"(35.407305, -97.159484)"
Newcastle,220 N Wright St,Newcastle,OK,73065,(405) 387-5679,-97.598639,35.249162,"(35.249162, -97.598639)"
Newkirk,101 S Main St,Newkirk,OK,74647,(580) 362-3353,-97.053761,36.882257,"(36.882257, -97.053761)"
Nicoma Park,2301 Overholser Dr,Nicoma Park,OK,73066,(405) 769-8813,-97.325121,35.49237,"(35.49237, -97.325121)"
Ninnekah,904 Walnut St,Ninnekah,OK,73067,(405) 224-0865,-97.921835,34.946975,"(34.946975, -97.921835)"
Noble,220 Maple St,Noble,OK,73068,(405) 872-3616,-97.395691,35.136515,"(35.136515, -97.395691)"
Norman,129 W Gray St,Norman,OK,73069,(405) 307-0013,-97.445133,35.221533,"(35.221533, -97.445133)"
Norman,200 36th Ave Nw,Norman,OK,73072,(405) 366-6036,-97.494485,35.220014,"(35.220014, -97.494485)"
North Miami,303 Pine St,North Miami,OK,74358,(918) 542-6097,-94.879898,36.916337,"(36.916337, -94.879898)"
Nowata,109 N Pine St,Nowata,OK,74048,(918) 273-1681,-95.639393,36.700552,"(36.700552, -95.639393)"
Oakhurst,6403 W 60th St,Oakhurst,OK,74050,(918) 445-5535,-96.063719,36.075495,"(36.075495, -96.063719)"
Oaks,377 W Main,Oaks,OK,74359,(918) 253-4988,-94.855392,36.166149,"(36.166149, -94.855392)"
Oakwood,102 S Missouri St,Oakwood,OK,73658,(580) 891-3391,-98.69859,35.913167,"(35.913167, -98.69859)"
Ochelata,300 Ochelata St,Ochelata,OK,74051,(918) 335-1786,-95.979754,36.603403,"(36.603403, -95.979754)"
Oilton,101 E Main St,Oilton,OK,74052,(918) 862-3363,-96.585591,36.086309,"(36.086309, -96.585591)"
Okarche,120 W Oklahoma St,Okarche,OK,73762,(405) 263-4444,-97.973627,35.725914,"(35.725914, -97.973627)"
Okay,3620 E 75th St N,Okay,OK,74446,(918) 683-3985,-95.315994,35.850729,"(35.850729, -95.315994)"
Okeene,201 N 5th St,Okeene,OK,73763,(580) 822-3447,-98.315819,36.12319,"(36.12319, -98.315819)"
Okemah,418 W Broadway St,Okemah,OK,74859,(918) 623-0112,-96.305067,35.431705,"(35.431705, -96.305067)"
Oklahoma City,1101 S Agnew Ave,Oklahoma City,OK,73108,(405) 234-8230,-97.554699,35.454809,"(35.454809, -97.554699)"
Oklahoma City,1117 NW 24th St,Oklahoma City,OK,73106,(405) 528-1251,-97.530415,35.494417,"(35.494417, -97.530415)"
Oklahoma City,1930 NE 24th St,Oklahoma City,OK,73111,(405) 427-6653,-97.478159,35.494778,"(35.494778, -97.478159)"
Oklahoma City,2304 W Hefner Rd,Oklahoma City,OK,73120,(405) 751-7384,-97.553332,35.580005,"(35.580005, -97.553332)"
Oklahoma City,2401 N Lincoln Blvd,Oklahoma City,OK,73105,(405) 525-6076,-97.505549,35.494454,"(35.494454, -97.505549)"
Oklahoma City,301 W Britton Rd,Oklahoma City,OK,73114,(405) 848-8725,-97.518188,35.565735,"(35.565735, -97.518188)"
Oklahoma City,3022 W I 44 Service Rd,Oklahoma City,OK,73112,(405) 946-8493,-97.568123,35.510985,"(35.510985, -97.568123)"
Oklahoma City,305 NW 5th St,Oklahoma City,OK,73102,(405) 232-2198,-97.518009,35.473167,"(35.473167, -97.518009)"
Oklahoma City,320 SW 5th St,Oklahoma City,OK,73125,(999) 999-9999,-97.518252,35.459865,"(35.459865, -97.518252)"
Oklahoma City,3621 NW 16th St,Oklahoma City,OK,73107,(405) 946-5038,-97.582021,35.486185,"(35.486185, -97.582021)"
Oklahoma City,3681 H Ave,Oklahoma City,OK,73145,(800) 275-8777,-97.405901,35.428511,"(35.428511, -97.405901)"
Oklahoma City,4440 SE 44th St,Oklahoma City,OK,73135,(405) 672-7851,-97.438009,35.420642,"(35.420642, -97.438009)"
Oklahoma City,4500 SE 28th St,Oklahoma City,OK,73115,(405) 672-5831,-97.437075,35.436104,"(35.436104, -97.437075)"
Oklahoma City,4801 S I 35 Service Rd,Oklahoma City,OK,73129,(405) 677-9439,-97.490035,35.418026,"(35.418026, -97.490035)"
Oklahoma City,4901 W Reno Ave,Oklahoma City,OK,73127,(405) 942-4973,-97.60688,35.464563,"(35.464563, -97.60688)"
Oklahoma City,5300 N Shartel Ave,Oklahoma City,OK,73118,(405) 848-0986,-97.525463,35.523611,"(35.523611, -97.525463)"
Oklahoma City,5701 NW 4th St,Oklahoma City,OK,73127,(405) 942-3679,-97.617124,35.469758,"(35.469758, -97.617124)"
Oklahoma City,5701 S Agnew Ave,Oklahoma City,OK,73119,(405) 688-6747,-97.555068,35.408842,"(35.408842, -97.555068)"
Oklahoma City,601 S Service Rd,Oklahoma City,OK,73160,(405) 794-1733,-97.491688,35.319716,"(35.319716, -97.491688)"
Oklahoma City,6421 N Macarthur Blvd,Oklahoma City,OK,73132,(405) 721-7528,-97.619134,35.537097,"(35.537097, -97.619134)"
Oklahoma City,6500 Air Cargo Rd,Oklahoma City,OK,73195,(405) 553-6321,-97.594601,35.402357,"(35.402357, -97.594601)"
Oklahoma City,701 N Kelley Ave,Oklahoma City,OK,73117,(405) 236-0534,-97.495239,35.473952,"(35.473952, -97.495239)"
Oklahoma City,7800 W Hefner Rd,Oklahoma City,OK,73162,(405) 722-7695,-97.652319,35.579995,"(35.579995, -97.652319)"
Oklahoma City,8275 E Reno Ave,Oklahoma City,OK,73110,(800) 275-8777,-97.383908,35.464193,"(35.464193, -97.383908)"
Oklahoma City,9201 S Pennsylvania Ave,Oklahoma City,OK,73159,(405) 378-3726,-97.547989,35.375297,"(35.375297, -97.547989)"
Okmulgee,111 W 4th St,Okmulgee,OK,74447,(918) 756-3747,-95.971866,35.624798,"(35.624798, -95.971866)"
Oktaha,104 E Prairie,Oktaha,OK,74450,(918) 683-2733,-95.472726,35.57647,"(35.57647, -95.472726)"
Olustee,104 E 4th St,Olustee,OK,73560,(580) 648-2301,-99.423691,34.54874,"(34.54874, -99.423691)"
Omega,100 Main St,Omega,OK,73764,(405) 729-4266,-98.171597,35.84836,"(35.84836, -98.171597)"
Oologah,150 W Coweescowee Ave,Oologah,OK,74053,(918) 443-2529,-95.706672,36.447177,"(36.447177, -95.706672)"
Orlando,100 Highway 77,Orlando,OK,73073,(580) 455-2228,-97.377199,36.152673,"(36.152673, -97.377199)"
Osage,101 S Broadway,Osage,OK,74054,(918) 354-2385,-96.415767,36.298398,"(36.298398, -96.415767)"
Overbrook,209 Highway 77 S,Overbrook,OK,73453,(580) 223-2795,-97.143356,34.06188,"(34.06188, -97.143356)"
Owasso,1233 N Cedar St,Owasso,OK,74055,(918) 274-9376,-95.851284,36.278845,"(36.278845, -95.851284)"
Paden,813 S Main St,Paden,OK,74860,(405) 932-5171,-96.567874,35.506592,"(35.506592, -96.567874)"
Panama,901 N Kentucky St,Panama,OK,74951,(918) 963-2326,-94.673415,35.176753,"(35.176753, -94.673415)"
Panola,5755 Highway 270 E,Panola,OK,74559,(918) 465-5064,-95.237439,34.92673,"(34.92673, -95.237439)"
Wardville,305 Main St,Wardville,OK,74576,(918) 874-3551,-96.030397,34.658453,"(34.658453, -96.030397)"
Warner,805 Second Ave,Warner,OK,74469,(918) 463-2410,-95.307689,35.49254,"(35.49254, -95.307689)"
Washington,214 N Main Ave,Washington,OK,73093,(405) 288-0225,-97.476983,35.147713,"(35.147713, -97.476983)"
Watonga,121 N Noble Ave,Watonga,OK,73772,(580) 623-5095,-98.4133,35.844746,"(35.844746, -98.4133)"
Watson,100 Highway 4,Watson,OK,74963,(580) 244-3424,-94.475829,34.431888,"(34.431888, -94.475829)"
Watts,601 E 6th St,Watts,OK,74964,(918) 422-5986,-94.567493,36.11017,"(36.11017, -94.567493)"
Waukomis,504 E Euclid St,Waukomis,OK,73773,(580) 758-3274,-97.894387,36.280125,"(36.280125, -97.894387)"
Waurika,121 W Broadway Ave,Waurika,OK,73573,(580) 228-2991,-98.001832,34.163781,"(34.163781, -98.001832)"
Wayne,100 S Shannon St,Wayne,OK,73095,(405) 449-3517,-97.313584,34.91917,"(34.91917, -97.313584)"
Waynoka,1620 Santa Fe St,Waynoka,OK,73860,(580) 824-2702,-98.881208,36.584382,"(36.584382, -98.881208)"
Weatherford,107 E Franklin Ave,Weatherford,OK,73096,(580) 772-2412,-98.707517,35.527285,"(35.527285, -98.707517)"
Webbers Falls,116 Commercial St,Webbers Falls,OK,74470,(918) 464-2521,-95.129414,35.51093,"(35.51093, -95.129414)"
Welch,322 S Commercial St,Welch,OK,74369,(918) 788-3623,-95.094919,36.87386,"(36.87386, -95.094919)"
