Prscrbr_Geo_Lvl,Prscrbr_Geo_Cd,Prscrbr_Geo_Desc,Brnd_Name,Gnrc_Name,Tot_Prscrbrs,Tot_Clms,Tot_30day_Fills,Tot_Drug_Cst,Tot_Benes,GE65_Sprsn_Flag,GE65_Tot_Clms,GE65_Tot_30day_Fills,GE65_Tot_Drug_Cst,GE65_Bene_Sprsn_Flag,GE65_Tot_Benes,LIS_Bene_Cst_Shr,NonLIS_Bene_Cst_Shr,Opioid_Drug_Flag,Opioid_LA_Drug_Flag,Antbtc_Drug_Flag,Antpsyct_Drug_Flag
National,,National,Accutane,Isotretinoin,64.0,127.0,127.0,21588.69,59.0,,76.0,76.0,11607.77,,37.0,177.9,4568.43,N,N,N,N
National,,National,Acebutolol Hcl,Acebutolol Hcl,16713.0,86756.0,205281.6,5139329.32,20154.0,,81409.0,194828.7,4844741.28,,18979.0,24472.35,1112399.42,N,N,N,N
National,,National,Acetamin-Caff-Dihydrocodeine,Acetaminophen/Caff/Dihydrocod,410.0,2525.0,2527.8,555180.18,797.0,,1715.0,1717.5,378106.07,,544.0,1731.53,83249.35,Y,N,N,N
National,,National,Acetaminophen,Acetaminophen,45.0,124.0,124.3,36485.32,85.0,,85.0,85.0,11297.06,,67.0,254.53,398.17,N,N,N,N
National,,National,Acetaminophen-Codeine,Acetaminophen With Codeine,295585.0,2763009.0,2776753.1,40716162.06,1209828.0,,2175295.0,2187539.1,30516088.02,,992893.0,1130313.68,9814372.17,Y,N,N,N
National,,National,Acetazolamide,Acetazolamide,47490.0,208326.0,290686.2,16592833.12,76169.0,,156997.0,218402.0,11075733.41,,63074.0,136028.94,2833899.67,N,N,N,N
National,,National,Acetazolamide Er,Acetazolamide,16077.0,81956.0,113268.5,7353629.38,32775.0,,58290.0,78622.3,4119353.17,,26453.0,61504.08,1023016.87,N,N,N,N
National,,National,Acetic Acid,Acetic Acid,20428.0,58534.0,62346.2,1248962.47,36594.0,,45409.0,48446.0,979465.07,,30148.0,23071.1,258662.97,N,N,N,N
National,,National,Acetylcysteine,Acetylcysteine,2970.0,16666.0,16740.4,1601619.51,4040.0,,11220.0,11262.0,1055230.11,,3034.0,5610.41,41813.2,N,N,N,N
National,,National,Aciphex,Rabeprazole Sodium,2847.0,11451.0,23351.7,16176125.3,2504.0,,9782.0,20371.8,13726830.5,,2182.0,18749.44,895894.9,N,N,N,N
National,,National,Acitretin,Acitretin,6454.0,41814.0,52711.7,21444060.03,9236.0,,34599.0,44129.9,17000313.02,,7803.0,31386.17,2115451.26,N,N,N,N
National,,National,Actemra,Tocilizumab,3278.0,32321.0,35637.1,123857181.02,5121.0,,23279.0,26000.6,88450354.35,,3671.0,58943.74,2943686.7,N,N,N,N
National,,National,Actemra Actpen,Tocilizumab,2771.0,24046.0,25853.8,92995740.79,4441.0,,17233.0,18655.3,66532146.57,,3117.0,36763.5,2552004.0,N,N,N,N
National,,National,Acthar,Corticotropin,891.0,6667.0,7172.8,431097613.87,1158.0,,2847.0,3111.0,172476727.32,,451.0,39660.15,3858923.32,N,N,N,N
National,,National,Acthib,Haemoph B Poly Conj-Tet Tox/Pf,861.0,1418.0,1422.6,49583.46,1124.0,,1205.0,1207.6,40995.42,,946.0,1076.18,23454.8,N,N,N,N
National,,National,Actigall,Ursodiol,67.0,112.0,168.0,118792.42,63.0,#,,,,#,,305.79,10233.65,N,N,N,N
National,,National,Actimmune,"Interferon Gamma-1b,recomb.",38.0,423.0,428.4,25309639.28,50.0,,202.0,207.4,12056960.57,,27.0,89.6,302666.57,N,N,N,N
National,,National,Activella,Estradiol/Norethindrone Acet,64.0,300.0,484.2,135284.56,57.0,,269.0,437.0,122433.82,#,,182.34,31147.51,N,N,N,N
National,,National,Actonel,Risedronate Sodium,670.0,2562.0,5021.4,1788277.96,624.0,,2459.0,4856.3,1727628.61,,603.0,4188.91,200732.77,N,N,N,N
National,,National,Actoplus Met,Pioglitazone Hcl/Metformin Hcl,53.0,246.0,382.6,203503.89,51.0,,246.0,382.6,203503.89,,51.0,376.22,10223.41,N,N,N,N
National,,National,Actos,Pioglitazone Hcl,417.0,1619.0,3281.4,1749928.48,378.0,,1454.0,2956.8,1567632.69,,335.0,1933.24,89392.37,N,N,N,N
National,,National,Acular,Ketorolac Tromethamine,94.0,195.0,251.3,64615.68,94.0,,159.0,211.6,54812.27,,80.0,265.1,5161.86,N,N,N,N
National,,National,Acular Ls,Ketorolac Tromethamine,35.0,66.0,78.3,22762.86,36.0,#,,,,#,,43.6,3624.01,N,N,N,N
National,,National,Acuvail,Ketorolac Tromethamine/Pf,153.0,381.0,505.3,221208.02,166.0,,336.0,431.3,188870.87,,150.0,1029.1,32512.85,N,N,N,N
National,,National,Acyclovir,Acyclovir,268345.0,1827051.0,2854488.0,54640346.69,659940.0,,1506946.0,2402069.7,44712338.4,,557378.0,497358.13,10028672.86,N,N,N,N
National,,National,Acyclovir Sodium,Acyclovir Sodium,87.0,199.0,200.3,36696.6,88.0,,165.0,166.3,29086.39,,71.0,56.0,7850.92,N,N,N,N
National,,National,Aczone,Dapsone,166.0,261.0,314.8,215548.01,166.0,,144.0,174.0,114180.61,,100.0,473.1,19356.86,N,N,N,N
National,,National,Adacel Tdap,"Diph,pertuss(Acell),tet Vac/Pf",28149.0,177846.0,177932.7,10680031.39,177399.0,,161074.0,161128.7,9623660.53,,160728.0,111849.59,2743292.95,N,N,N,N
National,,National,Adakveo,Crizanlizumab-Tmca,62.0,510.0,510.0,5852209.87,97.0,*,,,,*,,437.6,5970.7,N,N,N,N
National,,National,Adapalene,Adapalene,4748.0,11956.0,13256.1,2559732.44,5496.0,,4932.0,5770.9,1380338.96,,2650.0,8016.61,113298.81,N,N,N,N
National,,National,Adapalene-Benzoyl Peroxide,Adapalene/Benzoyl Peroxide,684.0,1315.0,1462.5,125817.7,742.0,,617.0,718.0,52201.91,,397.0,562.23,10444.88,N,N,N,N
National,,National,Adcetris,Brentuximab Vedotin,18.0,84.0,84.0,2395839.26,18.0,,44.0,44.0,1233396.76,*,,28.0,29069.54,N,N,N,N
National,,National,Adcirca,Tadalafil,772.0,9421.0,10671.9,43282513.46,1172.0,,5796.0,6641.6,26691182.7,,732.0,21371.5,1144200.25,N,N,N,N
National,,National,Adderall,Dextroamphetamine/Amphetamine,2190.0,10667.0,11278.6,5793971.05,1765.0,,3689.0,4050.7,2074415.91,,689.0,17589.93,313111.11,N,N,N,N
National,,National,Adderall Xr,Dextroamphetamine/Amphetamine,6025.0,26053.0,27745.2,8415349.85,5317.0,,8871.0,9849.2,2968120.15,,1744.0,73878.25,627042.73,N,N,N,N
National,,National,Adefovir Dipivoxil,Adefovir Dipivoxil,561.0,3948.0,5076.0,3683848.43,514.0,,3128.0,4145.0,2996524.6,,422.0,6204.38,272009.94,N,N,N,N
National,,National,Adempas,Riociguat,1585.0,47875.0,48051.9,566366846.37,5430.0,,36543.0,36704.9,432772858.58,,4118.0,229750.06,18202128.59,N,N,N,N
National,,National,Adlyxin,Lixisenatide,29.0,116.0,155.2,107206.69,27.0,,55.0,86.4,58667.04,#,,132.8,1607.65,N,N,N,N
National,,National,Admelog,Insulin Lispro,4679.0,16992.0,17986.0,2222368.91,7142.0,,12093.0,12679.3,1394203.45,,5021.0,28891.65,99999.94,N,N,N,N
National,,National,Admelog Solostar,Insulin Lispro,9301.0,31824.0,38290.5,6134583.94,14111.0,,22743.0,27168.0,3900673.54,,9749.0,61881.12,246836.96,N,N,N,N
National,,National,Adrenalin,Epinephrine,718.0,991.0,1071.7,27631.15,924.0,,719.0,770.3,20314.26,,680.0,941.67,6699.6,N,N,N,N
National,,National,Adriamycin,Doxorubicin Hcl,16.0,42.0,42.0,5684.54,19.0,#,,,,#,,12.4,325.63,N,N,N,N
National,,National,Advair Diskus,Fluticasone Propion/Salmeterol,186136.0,1715121.0,2485157.9,1007343894.1,427430.0,,1366911.0,2026735.2,811153522.74,,343868.0,2415007.8,65814444.94,N,N,N,N
National,,National,Advair Hfa,Fluticasone Propion/Salmeterol,89749.0,570864.0,777595.9,346217478.38,150070.0,,440154.0,609477.1,269094625.49,,117466.0,1244635.91,23768416.43,N,N,N,N
National,,National,Advocate Pen Needle,"Pen Needle, Diabetic",1778.0,3750.0,8712.5,431446.13,1952.0,,2464.0,5747.7,263630.36,,1263.0,7086.88,14123.11,N,N,N,N
National,,National,Advocate Pen Needles,"Pen Needle, Diabetic",7525.0,27375.0,46152.5,2172818.4,9546.0,,19236.0,32788.9,1489958.56,,6669.0,36645.92,109558.1,N,N,N,N
National,,National,Advocate Syringes,"Syring-Needl,disp,insul,0.3 Ml",545.0,2699.0,3538.8,152107.24,833.0,,2244.0,2865.2,118338.52,,677.0,557.15,2640.93,N,N,N,N
National,,National,Advocate Syringes,"Syringe And Needle,insulin,1ml",1237.0,6069.0,8386.7,368312.06,1809.0,,4413.0,6098.5,257293.58,,1289.0,2666.83,9823.3,N,N,N,N
National,,National,Advocate Syringes,"Syringe-Needle,insulin,0.5 Ml",1103.0,5984.0,7994.8,347786.89,1757.0,,4642.0,6207.0,260265.89,,1342.0,2132.96,8029.35,N,N,N,N
National,,National,Adzenys Xr-Odt,Amphetamine,188.0,1041.0,1106.0,545688.01,188.0,,354.0,373.0,189265.92,,70.0,3977.22,46478.04,N,N,N,N
National,,National,Afinitor,Everolimus,2627.0,12992.0,13242.6,216022952.03,2874.0,,8448.0,8534.2,136599917.83,,2047.0,70836.9,4280731.55,N,N,N,N
National,,National,Afinitor Disperz,Everolimus,60.0,324.0,332.2,8602849.16,47.0,,50.0,50.0,1011910.64,,14.0,52.88,17133.34,N,N,N,N
National,,National,Afrezza,"Insulin Regular, Human",867.0,6088.0,7927.0,10393693.26,1399.0,,4654.0,6153.7,7699425.4,,1042.0,13108.03,327144.56,N,N,N,N
National,,National,Aggrenox,Aspirin/Dipyridamole,40.0,74.0,90.0,44158.81,39.0,,52.0,65.0,32521.37,#,,108.0,5354.74,N,N,N,N
National,,National,Agrylin,Anagrelide Hcl,148.0,572.0,854.5,552597.64,123.0,,547.0,818.0,519205.95,#,,1431.9,64620.25,N,N,N,N
National,,National,Aimovig Autoinjector,Erenumab-Aooe,21403.0,330765.0,380685.5,258862594.24,54659.0,,124705.0,145967.4,98102044.68,,21405.0,846596.49,12854545.94,N,N,N,N
National,,National,Airduo Digihaler,Fluticasone Propion/Salmeterol,313.0,533.0,636.8,268285.41,321.0,,424.0,517.8,215208.68,,250.0,870.54,26152.59,N,N,N,N
National,,National,Airduo Respiclick,Fluticasone Propion/Salmeterol,381.0,645.0,706.2,256265.89,379.0,,496.0,544.6,178879.64,,276.0,2595.66,22059.82,N,N,N,N
National,,National,Ajovy Autoinjector,Fremanezumab-Vfrm,4492.0,34240.0,42321.4,27277465.05,8318.0,,14309.0,17976.8,11245224.3,,3604.0,75611.2,1627016.28,N,N,N,N
National,,National,Ajovy Syringe,Fremanezumab-Vfrm,4745.0,35508.0,43014.3,28469755.65,6907.0,,13869.0,17281.8,11161749.31,,2770.0,96458.89,1632322.14,N,N,N,N
National,,National,Ak-Poly-Bac,Bacitracin/Polymyxin B Sulfate,222.0,317.0,322.0,4813.22,245.0,,277.0,280.0,4176.99,,217.0,177.12,1438.32,N,N,N,N
National,,National,Aklief,Trifarotene,142.0,241.0,254.4,149786.26,151.0,,125.0,126.5,74838.38,,85.0,332.0,10740.9,N,N,N,N
National,,National,Akten,Lidocaine Hcl/Pf,28.0,44.0,48.3,2993.63,34.0,#,,,,#,,38.09,731.65,N,N,N,N
National,,National,Akynzeo,Fosnetupitant/Palonosetron,29.0,226.0,226.0,228707.06,62.0,,189.0,189.0,197578.07,#,,1001.93,7146.96,N,N,N,N
National,,National,Akynzeo,Netupitant/Palonosetron Hcl,47.0,343.0,346.3,398550.92,100.0,,279.0,282.3,312746.31,,83.0,1577.01,15975.14,N,N,N,N
National,,National,Ala-Cort,Hydrocortisone,814.0,987.0,996.0,14670.12,834.0,,750.0,758.6,9563.29,,641.0,460.64,1740.17,N,N,N,N
National,,National,Ala-Scalp,Hydrocortisone,159.0,213.0,213.0,112657.83,165.0,,177.0,177.0,93293.35,,133.0,193.59,5058.68,N,N,N,N
National,,National,Albendazole,Albendazole,5559.0,8502.0,8518.6,9489685.25,5860.0,,5736.0,5749.8,6039422.63,,4026.0,17731.71,400941.7,N,N,N,N
National,,National,Albuked-25,Albumin Human,5.0,53.0,53.0,15877.45,,,28.0,28.0,10427.29,*,,55.5,298.4,N,N,N,N
National,,National,Albutein,Albumin Human,8.0,35.0,35.0,3858.73,,,18.0,18.0,1241.29,*,,1.3,250.33,N,N,N,N
National,,National,Albuterol Sulfate,Albuterol Sulfate,34530.0,231334.0,250407.4,11446965.76,83975.0,,185770.0,201300.6,8834394.33,,69807.0,71847.61,763948.54,N,N,N,N
National,,National,Albuterol Sulfate Hfa,Albuterol Sulfate,492591.0,12783908.0,15443830.5,645743980.27,4845968.0,,9197755.0,11188794.9,464613075.21,,3726563.0,12621749.6,120295562.56,N,N,N,N
National,,National,Alclometasone Dipropionate,Alclometasone Dipropionate,11765.0,57160.0,59806.8,3056910.42,38906.0,,50669.0,53079.8,2626279.05,,35521.0,19852.18,811721.77,N,N,N,N
National,,National,Alcohol Pads,Alcohol Antiseptic Pads,27990.0,184642.0,331497.2,11725089.57,54689.0,,139028.0,249651.7,8527492.41,,40854.0,120334.8,195649.3,N,N,N,N
National,,National,Alcohol Prep Pads,Alcohol Antiseptic Pads,71923.0,512800.0,882769.1,18346566.56,179043.0,,385780.0,665836.3,12891121.34,,134362.0,487121.11,654784.16,N,N,N,N
National,,National,Alcohol Swab,Alcohol Antiseptic Pads,7688.0,39215.0,61417.6,116586.48,13617.0,,30650.0,48963.1,88106.16,,10501.0,19293.57,8432.77,N,N,N,N
National,,National,Alcohol Swabs,Alcohol Antiseptic Pads,30750.0,138676.0,232941.5,773524.23,61256.0,,105446.0,179848.7,584684.05,,46449.0,103071.15,44998.99,N,N,N,N
National,,National,Alcohol Wipes,Alcohol Antiseptic Pads,1418.0,5718.0,8192.4,53516.91,2179.0,,4955.0,7136.7,46818.55,,1842.0,6299.03,2168.4,N,N,N,N
National,,National,Aldactazide,Spironolact/Hydrochlorothiazid,274.0,834.0,1748.9,222415.66,266.0,,770.0,1658.6,208892.09,,237.0,803.58,45744.24,N,N,N,N
National,,National,Aldactone,Spironolactone,625.0,2148.0,4913.7,624110.71,619.0,,1956.0,4527.6,558443.18,,563.0,2243.85,85557.37,N,N,N,N
National,,National,Aldara,Imiquimod,40.0,67.0,71.9,7179.95,39.0,,51.0,53.5,5732.02,#,,39.6,1854.66,N,N,N,N
National,,National,Aldurazyme,Laronidase,13.0,197.0,197.0,7750224.9,11.0,,0.0,0.0,0.0,,0.0,41.2,200.0,N,N,N,N
National,,National,Alecensa,Alectinib Hcl,1176.0,8278.0,8552.3,125076789.06,1111.0,,6688.0,6939.0,101021810.91,,909.0,25444.32,2605580.02,N,N,N,N
National,,National,Alendronate Sodium,Alendronate Sodium,275692.0,7503417.0,16285991.0,79570139.02,1971866.0,,7054343.0,15504775.0,74569169.16,,1873633.0,1852742.51,19283316.0,N,N,N,N
National,,National,Alfuzosin Hcl Er,Alfuzosin Hcl,71215.0,820246.0,1892860.7,25182013.43,226568.0,,767985.0,1795108.8,23810407.85,,213205.0,191877.97,8713464.7,N,N,N,N
National,,National,Alimta,Pemetrexed Disodium,180.0,1555.0,1556.8,9849598.41,304.0,,1389.0,1390.8,8633708.26,,270.0,7329.08,136007.84,N,N,N,N
National,,National,Alinia,Nitazoxanide,392.0,641.0,647.8,1790444.86,472.0,,418.0,424.8,999614.54,,322.0,5832.13,76497.96,N,N,N,N
National,,National,Aliskiren,Aliskiren Hemifumarate,7819.0,35309.0,74104.9,13715500.85,7833.0,,33517.0,70774.5,13084018.58,,7429.0,21743.37,2298355.8,N,N,N,N
National,,National,Allopurinol,Allopurinol,337432.0,8986978.0,20846297.7,135179592.68,2163854.0,,8130465.0,19146791.8,123001322.13,,1973736.0,2486576.98,38976290.81,N,N,N,N
National,,National,Allzital,Butalbital/Acetaminophen,29.0,38.0,39.8,8213.75,30.0,#,,,,#,,69.69,563.98,N,N,N,N
National,,National,Almotriptan Malate,Almotriptan Malate,1463.0,5410.0,6366.5,1686399.0,1361.0,,3374.0,4136.5,1100668.41,,914.0,3146.1,159741.37,N,N,N,N
National,,National,Alocril,Nedocromil Sodium,371.0,858.0,1020.4,262378.82,381.0,,731.0,865.8,220096.19,,328.0,1435.0,28654.12,N,N,N,N
National,,National,Alogliptin,Alogliptin Benzoate,12151.0,79735.0,107675.3,17729909.37,20196.0,,68991.0,93265.4,15295034.82,,17194.0,82587.81,1310686.3,N,N,N,N
National,,National,Alogliptin-Metformin,Alogliptin Benz/Metformin Hcl,1542.0,5093.0,7553.3,1253968.06,1771.0,,4487.0,6646.8,1098331.55,,1519.0,6226.06,76727.32,N,N,N,N
National,,National,Alogliptin-Pioglitazone,Alogliptin Benz/Pioglitazone,553.0,2185.0,3894.3,708784.29,549.0,,1995.0,3569.3,649012.93,,494.0,1727.58,90458.04,N,N,N,N
National,,National,Alomide,Lodoxamide Tromethamine,163.0,446.0,686.4,101314.34,177.0,,392.0,618.6,90529.5,,156.0,388.78,22990.39,N,N,N,N
National,,National,Alora,Estradiol,267.0,666.0,1076.5,123748.67,254.0,,552.0,927.4,105080.57,,214.0,809.71,45610.58,N,N,N,N
National,,National,Alosetron Hcl,Alosetron Hcl,1936.0,11564.0,13045.6,13710215.56,2281.0,,8801.0,10163.0,9878701.4,,1791.0,9803.41,846259.33,N,N,N,N
National,,National,Alphagan P,Brimonidine Tartrate,38333.0,589735.0,933991.8,202207689.31,141024.0,,550919.0,877028.5,189912315.82,,131937.0,919271.92,23619540.27,N,N,N,N
National,,National,Alprazolam,Alprazolam,350302.0,11927356.0,12902736.9,118675682.1,2276237.0,,8917184.0,9796597.4,81261483.96,,1853827.0,5743571.12,36937975.58,N,N,N,N
National,,National,Alprazolam Er,Alprazolam,7367.0,43151.0,48934.0,1670509.45,7979.0,,23706.0,28236.9,771085.61,,4847.0,30911.01,413360.13,N,N,N,N
National,,National,Alprazolam Intensol,Alprazolam,130.0,228.0,256.8,25615.89,133.0,,157.0,179.8,15103.12,,105.0,133.16,3837.05,N,N,N,N
National,,National,Alprazolam Odt,Alprazolam,2497.0,6972.0,7664.6,584266.17,2572.0,,4733.0,5275.8,321452.81,,1968.0,3880.21,104899.57,N,N,N,N
National,,National,Alprazolam Xr,Alprazolam,4706.0,22795.0,26221.0,783785.74,4772.0,,13263.0,16049.8,380911.79,,2926.0,17039.17,207614.25,N,N,N,N
National,,National,Alrex,Loteprednol Etabonate,7847.0,29347.0,36128.6,10095999.18,14093.0,,26739.0,33080.6,9202838.99,,12905.0,39437.63,1160790.0,N,N,N,N
National,,National,Altabax,Retapamulin,114.0,155.0,159.5,79813.02,123.0,,139.0,143.5,70112.93,,112.0,177.6,8144.99,N,N,N,N
National,,National,Altace,Ramipril,1650.0,6352.0,14790.1,3761562.58,1442.0,,6175.0,14409.4,3651624.62,,1403.0,3355.05,339019.1,N,N,N,N
National,,National,Altavera,Levonorgestrel/Ethin.Estradiol,832.0,2624.0,5053.4,78277.35,752.0,,15.0,27.6,210.07,*,,2387.79,3620.91,N,N,N,N
National,,National,Altoprev,Lovastatin,365.0,1227.0,1898.6,1734180.05,326.0,,1083.0,1696.5,1536290.85,,285.0,2481.33,58591.2,N,N,N,N
National,,National,Altreno,Tretinoin,421.0,786.0,856.5,78857.16,577.0,,712.0,780.0,71454.97,,526.0,280.4,38727.21,N,N,N,N
National,,National,Alunbrig,Brigatinib,213.0,1127.0,1159.1,19416969.7,176.0,,855.0,879.1,14429548.06,,131.0,5216.86,404053.45,N,N,N,N
National,,National,Alvesco,Ciclesonide,12409.0,207350.0,382560.1,31958972.49,79720.0,,191958.0,355415.5,29565583.45,,73375.0,171940.87,7964823.16,N,N,N,N
National,,National,Alyacen,Norethindrone-Ethin. Estradiol,1529.0,6501.0,10035.7,199928.62,1384.0,,122.0,181.6,4152.39,,27.0,4310.11,12062.04,N,N,N,N
National,,National,Alyq,Tadalafil,834.0,3966.0,4381.5,7373729.27,1520.0,,2699.0,2998.0,5027712.82,,1031.0,11398.65,542565.87,N,N,N,N
National,,National,Amabelz,Estradiol/Norethindrone Acet,1232.0,3599.0,9231.8,523365.13,1221.0,,3342.0,8698.6,486638.34,,1132.0,559.04,226642.39,N,N,N,N
National,,National,Amantadine,Amantadine Hcl,47610.0,475688.0,703297.9,34594284.65,92432.0,,333314.0,511299.6,24569582.82,,68669.0,262666.89,6331865.82,N,N,N,N
National,,National,Amaryl,Glimepiride,655.0,2559.0,5199.5,800348.07,596.0,,2449.0,4983.3,770780.61,,569.0,2422.01,98082.7,N,N,N,N
National,,National,Ambien,Zolpidem Tartrate,3445.0,17496.0,21185.2,12819777.62,2933.0,,13904.0,17182.0,10267060.41,,2400.0,24263.48,871054.86,N,N,N,N
National,,National,Ambien Cr,Zolpidem Tartrate,1948.0,10525.0,13155.9,7695945.78,1523.0,,7129.0,9260.2,5325722.4,,1062.0,19743.46,472116.56,N,N,N,N
National,,National,Ambisome,Amphotericin B Liposome,138.0,693.0,695.0,1974072.89,185.0,,509.0,511.0,1395950.31,,123.0,490.39,112507.48,N,N,N,N
National,,National,Ambrisentan,Ambrisentan,2360.0,55865.0,57458.9,253257870.17,6432.0,,36684.0,38052.9,170664539.72,,4241.0,200831.67,13943001.91,N,N,N,N
National,,National,Amcinonide,Amcinonide,239.0,390.0,459.7,123410.35,236.0,,357.0,426.7,113681.28,,220.0,81.3,9120.4,N,N,N,N
National,,National,Amerge,Naratriptan Hcl,113.0,464.0,556.4,444943.58,96.0,,333.0,416.5,301147.33,,71.0,364.58,34047.85,N,N,N,N
National,,National,Amethia,L-Norgest/E.Estradiol-E.Estrad,182.0,344.0,1040.5,36046.88,172.0,,0.0,0.0,0.0,,0.0,421.17,848.3,N,N,N,N
National,,National,Amethyst,Levonorgestrel/Ethin.Estradiol,166.0,606.0,1051.5,41429.63,141.0,,0.0,0.0,0.0,,0.0,507.46,2547.84,N,N,N,N
National,,National,Amicar,Aminocaproic Acid,85.0,173.0,182.6,549561.6,80.0,,109.0,116.6,308713.36,,53.0,99.73,24428.28,N,N,N,N
National,,National,Amikacin Sulfate,Amikacin Sulfate,2054.0,11338.0,11600.3,1166913.46,2855.0,,8723.0,8943.5,869465.81,,2249.0,5689.9,198499.86,N,N,Y,N
National,,National,Amiloride Hcl,Amiloride Hcl,22036.0,102221.0,217037.2,2204820.83,25194.0,,81377.0,181474.5,1787617.58,,20789.0,39979.63,854016.29,N,N,N,N
National,,National,Amiloride-Hydrochlorothiazide,Amiloride/Hydrochlorothiazide,11240.0,45053.0,116546.3,1441100.0,11687.0,,42839.0,111767.6,1381853.24,,11147.0,13175.35,489226.01,N,N,N,N
National,,National,Aminocaproic Acid,Aminocaproic Acid,1107.0,2277.0,2353.3,3501435.85,1098.0,,1718.0,1779.9,2497736.32,,835.0,1425.47,195740.25,N,N,N,N
National,,National,Amiodarone Hcl,Amiodarone Hcl,207038.0,2419280.0,4645882.8,76958229.32,679916.0,,2249510.0,4350627.6,71853289.84,,633057.0,902316.17,17027445.13,N,N,N,N
National,,National,Amitiza,Lubiprostone,43698.0,208452.0,273136.8,89343932.17,68138.0,,142383.0,191686.8,61647693.56,,47265.0,382238.41,6141529.87,N,N,N,N
National,,National,Amitriptyline Hcl,Amitriptyline Hcl,280865.0,3690839.0,6644399.3,83549373.26,831025.0,,2373383.0,4579803.9,49965701.89,,568883.0,2638946.83,23637293.46,N,N,N,N
National,,National,Amlodipine Besylate,Amlodipine Besylate,556690.0,44191695.0,102592645.8,309962668.24,10566606.0,,39652032.0,93483963.1,282328287.0,,9531664.0,10680049.06,91067894.05,N,N,N,N
