OBJECTID,ID305B,CYCLE,NAME,LOCATION,MILES,NHD_BASIN,AQUATIC_LIFE,RECREATION,FISH_CONSUMPTION,DRINKING_WATER_SUPPLY,IMPAIRED,Shape__Length
43,CT3716-00_01,2012,Broad Brook (Preston)-01,"From mouth at confluence with Quinnebaug River (DS of Old Jewett City Road crossing), at the Preston/Lisbon/Griswold borders, US to Lewis Pond outlet dam (north side of Route 165, near intersection with Lewis Road), Preston.",4.73,1100001,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,24990.8920995497
48,CT3100-00_05,2012,Willimantic River (Tolland/Willington/Ellington/Stafford)-05,"From confluence with Bonemill Brook (just DS of Route 32 crossing), Willington/Tolland, US to Stafford POTW (east of Route 32 (River Road)), Stafford.",1.65,1100002,Not Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,8719.42834813362
49,CT3100-00_06,2012,Willimantic River-06,"From Stafford POTW (east of Route 32 (River Road)), US to headwaters at confluence of Middle River and Furnace Brook.",0.4,1100002,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,2107.30776323135
53,CT3100-19_02,2012,Eagleville Brook-02,"From confluence with Kings (Roberts) Brook (east side of North Eagleville Road), US to headwaters near UConn campus (just crossing Stadium Road), Mansfield.",1.67,1100002,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,8823.8120216177
54,CT3102-00_01,2012,Middle River (Stafford)-01,"From mouth at confluence with Furnace Brook (above Willimantic River), US to 800Ft US of Route 32 crossing, Stafford Springs center.",0.23,1100002,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,1190.97455940896
55,CT3102-00_02,2012,Middle River (Stafford)-02,"From 800Ft US of Route 32 crossing, Stafford Springs center, US to Orcutts Pond dam outlet (just US of Orcutville Road (Route319) crossing), Stafford.",3.92,1100002,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,20687.9515242328
59,CT5107-00_01,2012,Neck River-01,"From head of tide (marsh exit, parallel to Neck Road, DS of Route 1 crossing), US to headwaters (just northeast of Roure 80 and Route 79 rotary intersection, and south of aqueduct), Madison.",9.49,1100004,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,50109.1993188181
61,CT4303-00_04,2012,Still River (Winsted/Torrington)-04,"From confuence with Mad River (just US of Route 44/183 crossing), US to headwaters (on west side of Route 8, paralell with Exit 45 offramp), Torrington.",7.56,1080207,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,39898.1498957458
64,CT4305-00_01,2012,Morgan Brook-01,"From mouth at West Branch Farmington River, US to confluence with tributary 4305-04 (first confluence) on east side of Route 44, Barkhamsted.",0.69,1080207,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,3626.11252568556
65,CT4310-00_01,2012,Nepaug River-01,"From mouth at confluence with Farmington River (southwest of Route 202 crossing), US to Nepaug Reservoir outlet dam.",0.9,1080207,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,4736.91855732827
67,CT4320-19_01,2012,Mountain Brook (Suffield)-01,"From mouth at confluence with Hungary Brook (just US of RailRoad crossing on Hungary Brook), US to confluence with unnamed tributary just US of Copper Hill Road crossing,  Suffield.",1.37,1080207,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,7210.23054455565
68,CT5105-00_01,2012,Chatfield Hollw Brook (Killingworth)-01,"From mouth at confluence with Hammonasset River (DS of River Road crossing), US to Deer Lake outlet Dam, Killingworth.",1.03,1100004,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,5441.50546592151
69,CT5108-00_01,2012,East River (Guilford)-01,"From Platner Dam (just US of Foot Bridge Road crossing, head of tide), US to 2nd unnamed tributary (below lakes), Guilford.",0.67,1100004,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,3562.1004902694
71,CT6302-00_02,2012,Mill Brook (Sharon)-02,"From confluence with Beebee Brook (just DS of Woods 1 road crossing), US to Hatch Pond outlet dam (just US of Mitchelltown Road crossing and confluence with Bog Meadow Brook), Sharon.",1.66,1100005,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,8780.97854923397
74,CT3103-00_01,2012,Furnace Brook (Stafford)-01,"From mouth at confluence with Middle River, US through concrete channel, stopping at US end of conrete channel (passes under RailRoad tracks and Route 14), Stafford.",0.18,1100002,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,934.601168822145
75,CT3103-00_02,2012,Furnace Brook(Stafford)-02,"From US end of conrete channel (just US of Route 14 crossing), US to Staffordville Reservoir oulet dam (just US of Upper Road crossing), Stafford.",4.93,1100002,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,26008.1922220032
76,CT3104-00-2-L8_outlet_01,2012,Ruby Lake outlet stream-01,"From mouth at Roaring Brook, Wilington, US to wetland adjacent to truck stop, SouthWest of Exit 71 off I84.",0.12,1100002,Not Supporting,Not Assessed,Not Assessed,Water Not Classified For Drinking Supply,Yes,641.047388201607
81,CT3110-00_01,2012,Tenmile River (Willimantic)-01,"From mouth at confluence with Willimantic River (south of Route 66), Willimantic, US to Stiles Pond outlet dam, Lebanon.",8.67,1100002,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,45757.9252495356
89,CT3800-00_05,2012,Shetucket River-05,"From confluence with Cold Brook (DS of Franklin Mushroom Farm STP from unnamed tributary), US to headwaters at confluence of Natchaug River and Willimantic River.",4.99,1100002,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,26333.3065963388
90,CT4000-00_01,2012,Connecticut River-01,"From head of estuary at Chapman Pond outlet, East Haddam, US to northern most boundary of Hurd State Park, East Hampton.",10.27,1080205,Not Assessed,Not Supporting,Not Supporting,Water Not Classified For Drinking Supply,Yes,54206.5610869985
91,CT4000-00_02,2012,Connecticut River-02,"From northern most boundary of Hurd State Park, East Hampton, US to confluence with Reservoir Brook (adjacent to Gildersleeve Island), Portland.",10.49,1080205,Not Assessed,Not Supporting,Not Supporting,Water Not Classified For Drinking Supply,Yes,55365.5909592173
92,CT4000-00_03,2012,Connecticut River-03,"From Reservoir Brook confluence (adjacent to Gildersleeve Island), Portland, US to MA border.",35.26,1080205,Insufficient Information,Not Supporting,Not Supporting,Water Not Classified For Drinking Supply,Yes,186196.306230865
98,CT5302-00_02,2012,Mill River (Hamden/Cheshire)-02,"From inlet to Lake Whitney (east side of Route 15, just DS of Connolly Parkway crossing), Hamden, US to Cook Hill Road crossing, Cheshire.",9.06,1100004,Fully Supporting,Not Supporting,Fully Supporting,Not Assessed,Yes,47822.2860235987
99,CT5302-00_03,2012,Mill River (Cheshire)-03,"From Cook Hill Road crossing, Cheshire, US to headwaters (US of Williamsburg Drive crossing).",3.09,1100004,Not Supporting,Insufficient Information,Fully Supporting,Not Assessed,Yes,16338.0180068416
103,CT6100-00_01,2012,Blackberry River (North Canaan)-01,"From mouth at confluence with Housatonic River (at loop in river around island), US to confluence with North Canaan WPCF (near old RailRoad grade, currently trail), North Canaan.",0.78,1100005,Fully Supporting,Not Assessed,Not Supporting,Water Not Classified For Drinking Supply,Yes,4130.74861666637
104,CT6100-00_02a,2012,Blackberry River (North Canaan)-02a,"From confluence with North Canaan WPCF (near old RailRoad grade, currently trail, DS of Route 44 crossing), US to drainage ditch at southwest boundary of Lime Quarry (parallel to Lower Road), North Canaan.",2.75,1100005,Fully Supporting,Not Supporting,Not Supporting,Water Not Classified For Drinking Supply,Yes,14528.2770899215
105,CT6100-00_02b,2012,Blackberry River (North Canaan)-02b,"From drainage ditch at southwest boundary of Lime Quarry (parallel to Lower Road), US to Blast Furnace (Historical Park) at Lower Pond dam outlet on Iron Furnace Pond (perpendicular to Furnace Hill Road), North Canaan.",1.18,1100005,Fully Supporting,Not Assessed,Not Supporting,Water Not Classified For Drinking Supply,Yes,6212.26925326099
109,CT6705-00_01,2012,Bantam River-01,"From mouth at confluence with Shepaug River (parallel with Whittlesey Road), Washington, US to confluence with Bizell Brook (just US of West Morris Road crossing), Morris.",4.53,1100005,Fully Supporting,Not Supporting,Fully Supporting,Not Assessed,Yes,23910.4804741427
119,CT7300-00_01,2012,Norwalk River-01,"From Wall Street (Commerce Street) crossing (head of estuary/saltwater limit), Norwalk, US to confluence with Bryant Brook (DS of Wolfpit Road crossing), Wilton. (Segment includes Winnipauk Mill Pond and Deering Pond)",5.63,1100006,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,29738.3105068215
127,CT3004-00_01,2012,Oxoboxo Brook-01,"From mouth at head of tide (inlet to Gay Cemetery Pond, Horton Cove, Thames River), US to Wheeler Pond outlet dam, Montville. (Segment includes Rockland Pond)",2.62,1100003,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,13818.6606879538
132,CT4101-00_01,2012,Muddy Brook (Suffield)-01,"From mouth at Stony Brook, Suffield, US to confluence with Philo Brook.",2.23,1080205,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,11779.0472985201
134,CT4200-00_01,2012,Scantic River-01,"From mouth at Connecticut River, US to confluence with Broad Brook, East  Windsor.",9.38,1080205,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,49507.6823549896
135,CT4200-00_02,2012,Scantic River-02,"From confluence with Broad Brook, East Windsor, US to Somersville Pond outlet, Somers (passes Somers WPCF at upper end below lake).",13.56,1080205,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,71575.9101605777
136,CT4200-00_03,2012,Scantic River-03,"From Somersville Pond inlet, Somers, US to MA border.",6.05,1080205,Not Assessed,Not Supporting,Fully Supporting,Not Assessed,Yes,31943.3713149237
138,CT7200-26_01,2012,Poplar Plains Brook (Westport)-01,"From mouth at confluence with Saugatuck River (Lee Pond section, just DS of Route 15 crossing), US to confluence with unnamed tributary US of Route 33 (Wilton Road) crossing (outlet for Keenes Pond), Westport.",0.5,1100006,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,2647.0365549371
139,CT6600-00_01,2012,Still River (New Milford/Brookfield)-01,"From mouth at confluence with Housatonic River (DS of RailRoad crossing), New Milford, US to Silvermine Road crossing (USGS station), Brookfield (just DS of Route 7 crossing, and DS of confluence with Charles Pickneys Brook), Brookfield.",8.48,1100005,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,44793.6817253144
140,CT6600-00_02,2012,Still River (Brookfield/Danbury)-02,"From Silvermine Road crossing (USGS station), Brookfield (just DS of Route 7 crossing, and DS of confluence with Charles Pickneys Brook), US to confuence with Limekiln Brook (just US of I84 crossing), Danbury.",6.21,1100005,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,32770.6527650448
141,CT6600-00_03,2012,Still River (Danbury)-03,"From confuence with Limekiln Brook (just US of I84 crossing), US to confluence with Sympaug Brook (just US of Cross Street crossing), Danbury.",2.19,1100005,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,11559.0621654164
142,CT6600-00_04,2012,Still River (Danbury)-04,"From confluence with Sympaug Brook (just US of Cross Street crossing), US to confluence with Padanaram Brook (just US of White Street crossing, river runs between RailRoad tracks), Danbury.",1.56,1100005,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,Yes,8261.37623800683
143,CT6600-00_05,2012,Still River (Danbury)-05,"From confluence with Padanaram Brook (just US of White Street crossing, river runs between RailRoad tracks), US to Lake Kenosia outlet (just US of Kenosia Avenue crossing), Danbury.",3.87,1100005,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,20421.6232254672
144,CT6000-00_04,2012,Housatonic River-04,"From Boardman Road crossing (between Route 7 and RailRoad tracks), New Milford, US to Bull Bridge outlet dam (US of Bulls Bridge Road crossing, west side of Route 7), Kent.",8.05,1100005,Not Assessed,Not Supporting,Not Supporting,Water Not Classified For Drinking Supply,Yes,42510.8867588487
145,CT6000-00_05,2012,Housatonic River-05,"From Bull Bridge OUTLET dam (US of Bulls Bridge Road crossing, west side of Route 7), US to confluence with Mauwee Brook (between River Road on west side, and RailRoad tracks on east), Kent.",6.66,1100005,Not Assessed,Not Assessed,Not Supporting,Water Not Classified For Drinking Supply,Yes,35190.9586623198
160,CT4100-00_01,2012,Stony Brook (Suffield)-01,"From mouth at outlet on canal parallel to Connecticut River, US to confluence with Muddy Brook at railroad crossing, Suffield.",3.47,1080205,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,Yes,18307.8396280453
161,CT6025-00_03,2012,Farmill River-03,"From confluence with Means Brook (just DS of Huntington Street crossing), US to Far Mill (Isinglass) Reservoir outlet dam, just US of Farmill Street crossing (beginning of drinking water watershed), Shelton.",3.33,1100005,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,Yes,17607.4229501056
163,CT6910-00_02,2012,Branch Brook-02,"From Black Rock Dam outlet (along south side of Route 109), US to Wigwam Reservoir outlet dam, Watertown-Thomaston.",1.91,1100005,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,Yes,10061.3907470195
164,CT6912-00_01,2012,Steele Brook-01,"From mouth at confluence with Naugatuck River (just DS of Route 8 crossing), US to Sherwood Medical (American Home Products) area (site is behind Municipal Stadium parking lot on northend of stadium property), Waterbury.",1.18,1100005,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,6251.99236038743
165,CT6912-00_02,2012,Steele Brook-02,"From Sherwood Medical (American Home Products) area (site is behind Municipal Stadium parking lot on northend of stadium property), Waterbury, US to INLET of Heminway Pond (DS of Route 6 crossing, pond included in segment), Watertown.",3.78,1100005,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,19960.6907779557
169,CT7000-22_02,2012,Indian River (Westport)-02,"From I95 crossing, Westport, US to headwaters (portions of river in concrete channels and pipes), Norwalk. (Segment made from site map, actual hydro must be mapped to confirm underground portions)",0.94,1100006,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,4952.84765802188
171,CT7105-00_02,2012,Pequonnock River-02,"From inlet to Bunnells (Beardsley Park) Pond (eastern side of Route 8, exit 6 area), Bridgeport, US to Daniels Farm Road crossing (US of Route 25 crossing), Trumbull.",2.92,1100006,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,15418.4059247559
176,CT3805-00_02,2012,Little River (Sprague)-02,"From inlet to Versailles Pond (northwest corner of pond),  US to Papermill Pond outlet dam, Sprague.",0.89,1100002,Not Supporting,Fully Supporting,Not Supporting,Water Not Classified For Drinking Supply,Yes,4707.24568821627
177,CT2000-30_01,2012,Fenger Brook-01,"From mouth at head of tide, Alewife Cove (just DS of Niles Hill Road (Route 213) crossing), US to headwaters (southeast of Clark Lane and Chester Street intersection), Waterford.",3.47,1100003,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,18332.6933200724
178,CT2102-00-trib_01,2012,Unnamed Trib to Copps Brook-01,"From mouth at Copps Brook, just US of Quiambog Cove (parallel to Cove Road), US to headwaters near Jerry Brown Road, Stonington (intermittent).",0.66,1100003,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,Yes,3479.85756927848
183,CT6008-00_02b,2012,Mill Brook (Cornwall)-02b,"From Rattlesnake Road crossing, US to Headwaters at Cream Hill Lake outlet dam (US of Town Street crossing),  Cornwall.",1.01,1100005,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,Yes,5352.46191036531
184,CT4607-00_05,2012,Coginchaug River-05,"From Strictland Road crossing, Middlefield, US to Meeting House Hill Road crossing, Durham.",4.95,1080205,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,26114.2059382846
185,CT4607-00_06,2012,Coginchaug River-06,"From Meeting House Hill Road crossing, Durham, US to headwaters (US of Route 72 crossing, between Bluff Head and Broomstick Ledges), North Guilford.",3.59,1080205,Fully Supporting,Not Supporting,Fully Supporting,Not Assessed,Yes,18934.6463168535
192,CT4013-00_02,2012,Sumner Brook (Middletown)-02,"Confluence with Long Hill Brook, parallel with Mill Street, US to Russells Pond OUTLET, DS of Russell Street crossing, Middletown.",0.52,1080205,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,Yes,2755.31608823933
194,CT2102-00_01,2012,Copps Brook-01,"From mouth at Quiambog Cove (parallel to Cove Road), US to Palmer (Mystic) Reservoir outlet dam (just US of Jerry Brown Road crossing), Stonington.",0.77,1100003,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,Yes,4043.39431587565
199,CT6000-00_03,2012,Housatonic River-03,"From inlet to Lake Lillinonah (Northwestern most portion, DS of Lovers Leap Road crossing), at confluence with Town Farm Brook, New Milford/Bridgewater town border, US to Boardman Road crossing (between Route 7 and RailRoad tracks), New Milford.",5.09,1100005,Insufficient Information,Fully Supporting,Not Supporting,Water Not Classified For Drinking Supply,Yes,26853.21094285
213,CT3206-00_02,2012,Mount Hope River-02,"From first Route 89 (Mansfield Road) crossing, Ashford, US to headwaters at Morey Pond outlet dam, on Union/Ashford border.",9.99,1100002,Fully Supporting,Not Supporting,Fully Supporting,Not Assessed,Yes,52734.6926828632
215,CT3207-00_01b,2012,Fenton River-01b,"From Gurleyville Road crossing, US to confluence with unnamed tributary (~1 mile US of Gurleyville road crossing), perpendicular to Hoursebarn Hill Road, Mansfield.",1.24,1100002,Not Supporting,Not Assessed,Fully Supporting,Not Assessed,Yes,6561.3291874684
220,CT3800-00_01,2012,Shetucket River-01,"From end of estuary, at Route 2 crossing, US to Greenville dam, Norwich.",1.56,1100002,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,8220.28852354698
222,CT7109-00_01,2012,Sasco Brook-01,"From Bulkely Pond OUTLET dam (US side of Post Road East (Route 1) crossing), Westport/Fairfield town border, US to Hulls Farm Road crossing (just DS of Great Brook confluence), Westport/Fairfield town border. (Segment includes Buckley Pond)",1.42,1100006,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,7496.04809100135
223,CT7109-00_02,2012,Sasco Brook-02,"From Hulls Farm Road crossing (just DS of Great Brook confluence), Westport/Fairfield town border, US to headwaters at marsh (US of Burr Street crossing), Fairfield.",5.2,1100006,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,27465.4767175731
224,CT7109-06_01,2012,Great Brook (Fairfield)-01,"From mouth at confluence with Sasco Brook (just US of Hulls Farm Road crossing of Sasco Brook, east bank), US to first confluence with unnamed brook (just US of Morehouse Lane crossing, DS of marsh), Fairfield.",0.72,1100006,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,3775.73497520444
225,CT7109-06_02,2012,Great Brook (Fairfield)-02,"From first confluence with unnamed brook (just US of Morehouse Lane crossing, DS of marsh), US to headwaters at marsh (US of Congress Street crossing, southwest of Cross highway and Hillside road intersection), Fairfield.",2.2,1100006,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,11592.3515656353
228,CT2104-00_02a,2012,Whitford Brook-02a,"From area east of the Shewville Road and Gallup Hill Road intersection, Ledyard/Stonington town line, US to entrance of ""Lantern Hill"" wellfield (west of Lantern Hill Road, in marsh parallel with Stony Pond), Ledyard/Stonington town line.",0.74,1100003,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,Yes,3916.40830679868
233,CT3900-00_trib_01,2012,"Unnamed Trib, Yantic River (Norwich Landfill)-01","From mouth at confluence with Yantic River, just DS of RailRoad crossing (100m US of I395 crossing of Yantic River), US to Browning Pond outlet dam, Norwich (influenced by Landfill).",0.57,1100003,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,Yes,2987.41267742872
234,CT3900-07_01,2012,Kahn Brook-01,"From mouth at confluence with Yantic River (just DS of Fitchville Road crossing), US to chicken farm road crossing, Bozrah.",0.61,1100003,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,3211.93075212421
241,CT6004-00_01,2012,Konkapot River-01,"From Massachusetts state border (DS of Clayton Road crossing), US to Massachusetts state border (US of Old Turnpike Road crossing), North Canaan. (Small loop through northern Connecticut).",2.44,1100005,Not Assessed,Not Assessed,Not Supporting,Water Not Classified For Drinking Supply,Yes,12894.4879396655
248,CT4315-00_01,2012,Pequabuck River-01,"From mouth at Farmington River, US to RailRoad crossing (US (south) of Route 72 crossing), Plainville.",5.37,1080207,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,28332.1219259331
249,CT4315-00_02,2012,Pequabuck River-02,"From RailRoad crossing (US (south) of Route 72 crossing), Plainville, US to Bristol POTW outfall (DS of route 229 crossing), Bristol.",3.37,1080207,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,17817.0136961011
250,CT7107-00_01,2012,Cricker Brook (Fairfield)-01,"From mouth at confluence with Swamp Mortar Reservoir (Mill River) parallel to Route 58 (Black Rock Turnpike), US to Hemlock Reservoir outlet dam, Fairfield. ",1.69,1100006,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,8930.021664491
252,CT7301-00_01,2012,Comstock Brook (Wilton)-01,"From mouth at confluence with Norwalk River (segment-02, just DS of Lovers Lane crossing), US to confluence with Barretts Brook (outlet for Popes Pond, parallel to Route 33, at intersection with Signal Hill Road), Wilton.",2.02,1100006,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,10682.7603367543
260,CT2206-00_01,2012,Bride Brook-01,"From head of estuary (salt water limit, just DS of Route 156 crossing),  US to Bride Lake outlet dam (just US of North Bride Brook Road), East Lyme.",0.7,1100003,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,3702.27005635964
261,CT2206-00_02,2012,Bride Brook-02,"From inlet to Bride Lake (northwest portion, just DS of North Bride Brook Road crossing), US to headwaters (marsh on south side of Route 1), East Lyme.",2.13,1100003,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,11243.2795181661
262,CT3000-08_01,2012,Flat Brook (Ledyard)-01,"From mouth at confluence with Thames River (inlet to Long Cove, North of Navy Base) Gales Ferry/Ledyard, US to headwaters at unnamed pond, Groton (Brook runs North).",1.09,1100003,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,Yes,5780.81524163202
267,CT5000-55_01,2012,Unnamed trib to Oyster River (Milford)-01,"From Merwin Avenue crossing, US to RailRoad (Amtrak) crossing (just US of Quirkes Pond (included in segment)), Milford. ",1.47,1100004,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,Yes,7776.93987861074
268,CT5000-55_02,2012,Unnamed trib to Oyster River (Milford)-02,"From RailRoad (Amtrak) crossing (just US of Quirks Pond), US to headwaters (inlet to unnamed swamp), just US of Cascade Boulevard (entrance to Light Sources Inc.), Milford.",0.43,1100004,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,Yes,2245.53566800183
270,CT5103-00_02,2012,Menunketesuck River-02,"From Bushy Pond inlet (just DS of Kelseytown Road crossing), Clinton, US to Kelseytown Reservoir outlet dam (just US of Kelseytown Brodge Road crossing), Clinton-Killingworth border.",1.78,1100004,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,Yes,9423.00658965364
