X,Y,OBJECTID,Station_ID,Station_Name,Position_Source,Stage_Peak_Record,Date_Peak_Record,Source_Peak_Record,PeakStage_USACE_1976,PeakYear_USACE_1976,PeakStage_USACE_1992,PeakYear_USACE_1992,Stage_USACE1976_50yr_Stat,Stage_USACE1976_100yr_Stat,Stage_USACE1992_50yr_Stat,Stage_USACE1992_100yr_Stat,Vertical_Datum_Conversion,Stage_Tide_High_Typical,Stage_Tide_Low_Typical,DSS_File,Last_Modified_Date,Last_Modified_By,Comments
-13524948.5292,4586492.2576,18,B95580,San Joaquin River at Venice Island,Hydstra,9.69,12/31/2005,Hydstra,9.3,1956.0,9.3,"1956, 83, 84",9.6,9.9,9.6,9.9,2.5,6.5,2.0,Central Delta,2023/06/15 00:00:00+00,"Joel Dudas, Division of Engineering",
-13510353.3049,4574159.5703,19,B95660,Stockton Ship Channel at Burns Cutoff,Hydstra,9.78,2/6/1998,Hydstra,8.83,1973.0,9.53,1983,9.33,9.63,9.53,9.73,2.13,6.5,1.5,Central Delta,2023/06/15 00:00:00+00,"Joel Dudas, Division of Engineering",SJR at Burns Cut off B95660 in Corp reports
-13547694.8124,4594427.3285,20,B91160,Threemile Slough at Sacramento River,Hydstra,9.11,12/26/1955,Daily gage height,9.61,1973.0,10.31,,9.41,9.61,10.11,10.31,2.41,6.0,1.5,West Delta,2023/06/15 00:00:00+00,"Joel Dudas, Division of Engineering",
-13546130.1497,4592148.3182,21,B95060,"Threemile Slough at San Joaquin River, Old Station",Hydstra,8.74,2/21/1986,timestamped in report,8.24,1958.0,8.74,1986,8.54,8.74,8.64,8.74,2.34,5.5,2.0,West Delta,2023/06/15 00:00:00+00,"Joel Dudas, Division of Engineering",facility moved in 1989
-13533019.1878,4564055.5718,22,B95270,Old River near Byron,USGS,9.64,2/6/1998,Hydstra,8.92,1969.0,9.32,1983,10.02,10.32,10.02,10.32,2.72,6.5,2.0,Central Delta,2023/06/15 00:00:00+00,"Joel Dudas, Division of Engineering",
-13534256.0749,4578053.1899,23,B95180,Old River near Rock Slough,Bulletin 23,9.31,12/26/1955,Daily gage height,9.01,1956.0,9.01,1956,9.21,9.51,9.11,9.51,2.31,5.5,2.5,Central Delta,2023/06/15 00:00:00+00,"Joel Dudas, Division of Engineering",station discontinued in 1984
-13564838.0161,4589830.5277,24,B91110,Sacramento River at Collinsville,Hydstra,9.21,2/6/1998,Hydstra,8.22,1973.0,8.32,1983,8.72,8.92,8.72,8.82,2.42,6.5,2.0,West Delta,2023/06/15 00:00:00+00,"Joel Dudas, Division of Engineering",
-13577728.8166,4605862.9731,25,BDL,Beldon's Landing ,CDEC,8.96,2/6/1998,Hydstra,,,,,,,,,,7.0,1.0,West Delta,2020/07/17 07:56:49+00,"Joel Dudas, Division of Engineering",
-13536729.838,4564290.6699,26,B95261,Discovery Bay at Discovery Bay Blvd,Hydstra,9.29,12/31/2005,Hydstra,,,,,,,,,,6.5,2.0,Central Delta,2020/07/17 07:56:49+00,"Joel Dudas, Division of Engineering",
-13534967.2832,4567817.8124,27,B95260,Discovery Bay at Indian Slough,Hydstra,9.2,12/31/2005,Hydstra,,,,,,,,,,6.5,2.0,Central Delta,2020/07/17 07:56:49+00,"Joel Dudas, Division of Engineering",
-13517032.4735,4553285.9459,28,B95325,Doughty Cut above Grant Line Canal,Hydstra,10.38,4/15/2006,Hydstra,,,,,,,,,,5.5,2.0,South Delta,2020/07/17 07:56:49+00,"Joel Dudas, Division of Engineering",
-13591554.6986,4596109.3995,29,GYS,Goodyear Slough at Morrow Island,CDEC,8.14,1/12/2017,DWR Division of Environmental Services,,,,,,,,,,7.0,1.0,West Delta,2020/07/17 07:56:49+00,"Joel Dudas, Division of Engineering",
-13519444.1439,4554029.6706,30,B95310,Grant Line Canal above Barrier,Hydstra,7.79,12/2/2001,Hydstra,,,,,,,,,,5.5,3.0,South Delta,2020/07/17 07:56:49+00,"Joel Dudas, Division of Engineering",
-13527555.2506,4554060.9855,31,B95295,Grant Line Canal near Clifton Court Forebay,Hydstra,8.52,4/15-16/2006,Hydstra,,,,,,,,,,6.5,2.0,South Delta,2020/07/17 07:56:49+00,"Joel Dudas, Division of Engineering",
-13536791.6865,4556887.6326,32,B95283,Italian Slough Headwater near Byron,Hydstra,9.0,12/31/2005,Hydstra,,,,,,,,,,6.0,2.0,South Delta,2020/07/17 07:56:49+00,"Joel Dudas, Division of Engineering",
-13512363.2332,4562096.629,33,B95530,Middle River at Howard Road Bridge,Hydstra,9.55,4/15/2006,Hydstra,,,,,,,,,,6.0,2.5,Central Delta,2020/07/17 07:56:49+00,"Joel Dudas, Division of Engineering",
-13529104.4524,4571310.8031,34,B95468,Middle River at Middle River,Hydstra,9.47,12/31/2005,Hydstra,,,,,,,,,,6.0,2.0,Central Delta,2020/07/17 07:56:49+00,"Joel Dudas, Division of Engineering",
-13520433.8976,4562684.2733,35,B95503,Middle River at Tracy Road Bridge,Hydstra,9.75,2/6/1998,Hydstra,,,,,,,,,,6.0,2.5,Central Delta,2020/07/17 07:56:49+00,"Joel Dudas, Division of Engineering",
-13541429.9978,4620475.1935,36,B91475,Miner Slough at Five Points,Hydstra,11.32,3/23/2011,Hydstra,,,,,,,,,,6.0,2.5,North Delta,2020/07/17 07:56:49+00,"Joel Dudas, Division of Engineering",
-13518640.4228,4615551.7499,37,B94175,Mokelumne River near Thornton,Hydstra,20.94,1/3/1997,Hydstra,,,,,,,,,,6.0,2.5,North Delta,2020/07/17 07:56:49+00,"Joel Dudas, Division of Engineering",
-13568422.5045,4592629.2241,38,MSL,Montezuma Slough at Roaring River,CDEC,8.59,12/2/2001,DWR Division of Environmental Services,,,,,,,,,,7.0,1.0,West Delta,2020/07/17 07:56:49+00,"Joel Dudas, Division of Engineering",
-13568522.6925,4596689.5452,39,NSL,National Steel ,CDEC,8.92,12/31/2005,DWR Division of Environmental Services,,,,,,,,,,7.5,1.5,West Delta,2020/07/17 07:56:49+00,"Joel Dudas, Division of Engineering",
-13533343.867,4575279.6119,40,B95250,Old River at Bacon Island,Hydstra,9.27,12/31/2005,Hydstra,,,,,,,,,,6.5,2.0,Central Delta,2020/07/17 07:56:49+00,"Joel Dudas, Division of Engineering",
-13529432.2203,4557709.9321,41,B95290,Old River at Coney Island,Hydstra,9.19,12/31/2005,Hydstra,,,,,,,,,,6.5,2.0,South Delta,2020/07/17 07:56:49+00,"Joel Dudas, Division of Engineering",
-13506534.7544,4552268.3048,42,B95400,Old River at Head,CDEC,23.05,1/8/1997,Hydstra,,,,,,,,,,6.5,3.0,South Delta,2020/07/17 07:56:49+00,"Joel Dudas, Division of Engineering",
-13530019.7419,4552698.8321,43,B95366,Old River near DMC above Dam,Hydstra,10.51,1/9/1987,Hydstra,,,,,,,,,,5.5,2.5,South Delta,2020/07/17 07:56:49+00,"Joel Dudas, Division of Engineering",
-13530205.2782,4552777.1112,44,B95365,Old River near DMC below Dam,Hydstra,10.51,1/9/1987,Hydstra,,,,,,,,,,6.0,2.0,South Delta,2020/07/17 07:56:49+00,"Joel Dudas, Division of Engineering",
-13568622.8796,4592431.2005,45,ROR,Roaring River at Montezuma Slough,CDEC,7.7,1/2/2006,DWR Division of Environmental Services,,,,,,,,,,4.5,3.5,West Delta,2020/07/17 07:56:49+00,"Joel Dudas, Division of Engineering",
-13541148.6002,4576185.7485,46,B95218,Rock Slough above Contra Costa Canal,Hydstra,9.32,12/31/2005,Hydstra,,,,,,,,,,6.5,2.0,Central Delta,2020/07/17 07:56:49+00,"Joel Dudas, Division of Engineering",
-13527541.3095,4631541.1235,47,B91780,Sacramento River at Hood,CDEC,19.0,2/12/1919,timestamped in report,,,,,,,,,,,,North Delta,2020/07/17 07:56:49+00,"Joel Dudas, Division of Engineering",
-13572083.8025,4585475.1969,48,MAL,Sacramento River at Mallard Island,CDEC,8.92,2/6/1998,Hydstra,,,,,,,,,,6.5,1.0,West Delta,2020/07/17 07:56:49+00,"Joel Dudas, Division of Engineering",
-13546070.0358,4602071.1234,49,B91212,"Sacramento River at Rio Vista, New Station",Hydstra,10.94,2/21/1986,Hydstra,,,10.9,1986,,,,,,6.5,2.0,West Delta,2020/07/17 07:56:49+00,"Joel Dudas, Division of Engineering","station moved upstream from old, this station began in 1981"
-13504088.4853,4545656.0547,50,B95850,San Joaquin River at Paradise Dam,Hydstra,20.29,6/19/1927,timestamped in report,,,,,,,,,,,,South Delta,2020/07/17 07:56:49+00,"Joel Dudas, Division of Engineering",
-13499067.1061,4533772.366,51,B0702000,San Joaquin River at/near Vernalis,Hydstra,37.18,1/5/1997,USGS,,,,,,,,,,,,South Delta,2020/07/17 07:56:49+00,"Joel Dudas, Division of Engineering",
-13505726.7306,4552760.3163,52,B95765,San Joaquin River below Old River near Lathrop,Hydstra,17.11,4/14/2006,Hydstra,,,,,,,,,,6.0,3.0,South Delta,2020/07/17 07:56:49+00,"Joel Dudas, Division of Engineering",
-13546130.1497,4592148.3182,53,B95060,"Threemile Slough at San Joaquin River, New Station",Hydstra,9.4,2/6/1998,Hydstra,,,,,,,,,,6.5,2.0,West Delta,2020/07/17 07:56:49+00,"Joel Dudas, Division of Engineering",new location as of 1989
-13516250.1419,4549818.5423,54,B95421,Tom Paine Slough above Intake Structure,Hydstra,8.05,2/22/1996,Hydstra,,,,,,,,,,5.5,2.5,South Delta,2020/07/17 07:56:49+00,"Joel Dudas, Division of Engineering",
-13516256.3202,4549885.0615,55,B95420,Tom Paine Slough above Mouth,Hydstra,15.24,1/8/1997,Hydstra,,,,,,,,,,6.5,2.0,South Delta,2020/07/17 07:56:49+00,"Joel Dudas, Division of Engineering",
-13508742.2531,4546618.286,56,B95425,Tom Paine Slough at Pescadero Pumping Plant 6,Hydstra,13.88,7/11/1997,Hydstra,,,,,,,,,,4.5,2.5,South Delta,2020/07/17 07:56:49+00,"Joel Dudas, Division of Engineering",
-13586100.0435,4605027.3998,57,VOL,Volanti ,CDEC,8.57,12/31/2005,DWR Division of Environmental Services,,,,,,,,,,7.0,1.0,West Delta,2020/07/17 07:56:49+00,"Joel Dudas, Division of Engineering",
-13546903.2112,4626031.6684,58,B91510,Yolo Bypass at Liberty Island,Hydstra,19.37,1/3/1997,Hydstra,,,,,,,,,,6.5,2.0,North Delta,2020/07/17 07:56:49+00,"Joel Dudas, Division of Engineering",
-13535182.0705,4646713.1196,59,B91560,"Yolo Bypass near Lisbon, New Station",Hydstra,26.8,2/20/1986,Hydstra,,,,,,,,,,6.0,2.0,North Delta,2020/07/17 07:56:49+00,"Joel Dudas, Division of Engineering",NOAA: Datum changed from (NGVD29) to NAVD88 on 10/01/2006. The difference is -1.06 ft.
-13535182.0705,4646713.1196,60,B91560,"Yolo Bypass near Lisbon, Old Station",Hydstra,22.36,12/24/1955,Bulletin 23,,,,,,,,,,6.0,3.0,North Delta,2020/07/17 07:56:49+00,"Joel Dudas, Division of Engineering",NOAA: Datum changed from (NGVD29) to NAVD88 on 10/01/2006. The difference is -1.06 ft.
-13526092.6403,4614331.0989,61,B91700,Delta Cross Channel at Walnut Grove,Hydstra,15.26,4/4/1958,timestamped in report,,,,,,,,,,6.0,3.0,North Delta,2020/07/17 07:56:49+00,"Joel Dudas, Division of Engineering",
-13540718.7845,4576091.6003,62,B95220,Rock Slough at Contra Costa Canal Intake,Hydstra,8.9,4/6/1958,Bulletin 23,,,,,,,,,,5.5,2.0,Central Delta,2020/07/17 07:56:49+00,"Joel Dudas, Division of Engineering",
-13528473.6445,4639442.6273,63,CLK,Sacramento River at Clarksburg,Bulletin 23,23.35,12/23/1955,Daily gage height,,,,,,,,,,7.0,5.0,North Delta,2020/07/17 07:56:49+00,"Joel Dudas, Division of Engineering",
-13525350.5205,4644061.6289,64,FPT,Sacramento River at (near) Freeport,USGS,27.26,2/19/1986,Hourly data,,,,,,,,,,7.0,5.0,North Delta,2020/07/17 07:56:49+00,"Joel Dudas, Division of Engineering",
-13537750.2741,4602447.1561,65,B91600,Sacramento River at Isleton,Bulletin 23,9.89,4/5/1958,Daily gage height,,,,,,,,,,6.0,2.0,North Delta,2020/07/17 07:56:49+00,"Joel Dudas, Division of Engineering",
-13524855.7585,4618623.7025,66,B91740,Snodgrass Slough at Twin Cities Road Bridge,Bulletin 23,15.16,4/4/1958,timestamped in report,,,,,,,,,,5.0,3.0,North Delta,2020/07/17 07:56:49+00,"Joel Dudas, Division of Engineering",
-13595821.9417,4585471.3472,67,BEN,Suisun Bay at Benecia Arsenal,Bulletin 23,8.3,2/26/1956,Daily gage height,,,,,,,,,,6.0,0.0,West Delta,2020/07/17 07:56:49+00,"Joel Dudas, Division of Engineering",
-13548387.4689,4614212.9765,68,B91260,Yolo Bypass at Lindsey Slough,Bulletin 23,15.48,2/8/1942,Daily gage height,,,,,,,,,,6.0,1.5,North Delta,2020/07/17 07:56:49+00,"Joel Dudas, Division of Engineering",
