C002,DOCUMENT/MESSAGE NAME,010,1001,C,an..3,020,1131,C.1,an..3.1,030,3055,C.2,an..3.2,040,1000,C.3,an..35,Unnamed: 18
C332,SALES CHANNEL IDENTIFICATION,10,3496,M,an..17,20,1131,C,an..3,30.0,3055.0,C,an..3,,,,,
C333,INFORMATION REQUEST,10,4511,C,an..3,20,1131,C,an..3,30.0,3055.0,C,an..3,40.0,4510.0,C,an..35,
C401,EXCESS TRANSPORTATION INFORMATION,10,8457,M,an..3,20,8459,M,an..3,30.0,7130.0,C,an..17,,,,,
C502,MEASUREMENT DETAILS,10,6313,C,an..3,20,6321,C,an..3,30.0,6155.0,C,an..3,40.0,6154.0,C,an..70,
C503,DOCUMENT/MESSAGE DETAILS,10,1004,C,an..35,20,1373,C,an..3,30.0,1366.0,C,an..35,40.0,3453.0,C,an..3,
C504,CURRENCY DETAILS,10,6347,M,an..3,20,6345,C,an..3,30.0,6343.0,C,an..3,40.0,6348.0,C,n..4,
C506,REFERENCE,10,1153,M,an..3,20,1154,C,an..35,30.0,1156.0,C,an..6,40.0,4000.0,C,an..35,
C507,DATE/TIME/PERIOD,10,2005,M,an..3,20,2380,C,an..35,30.0,2379.0,C,an..3,,,,,
C512,SIZE DETAILS,10,6173,C,an..3,20,6174,C,n..15,,,,,,,,,
C514,SAMPLE LOCATION DETAILS,10,3237,C,an..3,20,3236,C,an..35,,,,,,,,,
C515,TEST REASON,10,4425,C,an..17,20,1131,C,an..3,30.0,3055.0,C,an..3,40.0,4424.0,C,an..35,
C517,LOCATION IDENTIFICATION,10,3225,C,an..25,20,1131,C,an..3,30.0,3055.0,C,an..3,40.0,3224.0,C,an..17,
C519,RELATED LOCATION ONE IDENTIFICATION,10,3223,C,an..25,20,1131,C,an..3,30.0,3055.0,C,an..3,40.0,3222.0,C,an..70,
C523,NUMBER OF UNIT DETAILS,10,6350,C,n..15,20,6353,C,an..3,,,,,,,,,
C524,HANDLING INSTRUCTIONS,10,4079,C,an..3,20,1131,C,an..3,30.0,3055.0,C,an..3,40.0,4078.0,C,an..70,
C526,FREQUENCY DETAILS,10,6071,M,an..3,20,6072,C,n..9,30.0,6411.0,C,an..3,,,,,
C527,STATISTICAL DETAILS,10,6314,C,n..18,20,6411,C,an..3,30.0,6313.0,C,an..3,40.0,6321.0,C,an..3,
C528,COMMODITY/RATE DETAIL,10,7357,C,an..18,20,1131,C,an..3,30.0,3055.0,C,an..3,,,,,
C529,PROCESSING INDICATOR,10,7365,M,an..3,20,1131,C,an..3,30.0,3055.0,C,an..3,40.0,7187.0,C,an..17,
C531,PACKAGING DETAILS,10,7075,C,an..3,20,7233,C,an..3,30.0,7073.0,C,an..3,,,,,
C532,RETURNABLE PACKAGE DETAILS,10,8395,C,an..3,20,8393,C,an..3,,,,,,,,,
C533,DUTY/TAX/FEE ACCOUNT DETAIL,10,5289,M,an..6,20,1131,C,an..3,30.0,3055.0,C,an..3,,,,,
C536,CONTRACT AND CARRIAGE CONDITION,10,4065,M,an..3,20,1131,C,an..3,30.0,3055.0,C,an..3,,,,,
C537,TRANSPORT PRIORITY,10,4219,M,an..3,20,1131,C,an..3,30.0,3055.0,C,an..3,,,,,
C545,INDEX IDENTIFICATION,10,5013,M,an..3,20,5027,C,an..3,30.0,1131.0,C,an..3,40.0,3055.0,C,an..3,
C546,INDEX VALUE,10,5030,M,n..6,20,5039,C,an..3,,,,,,,,,
C549,MONETARY FUNCTION,10,5007,M,an..3,20,1131,C,an..3,30.0,3055.0,C,an..3,,,,,
C550,REQUIREMENT/CONDITION IDENTIFICATION,10,7295,M,an..17,20,1131,C,an..3,30.0,3055.0,C,an..3,,,,,
C551,BANK OPERATION,10,4383,M,an..3,20,1131,C,an..3,30.0,3055.0,C,an..3,,,,,
C552,ALLOWANCE/CHARGE INFORMATION,10,1230,C,an..35,20,5189,C,an..3,,,,,,,,,
C553,RELATED LOCATION TWO IDENTIFICATION,10,3233,C,an..25,20,1131,C,an..3,30.0,3055.0,C,an..3,40.0,3232.0,C,an..70,
C554,RATE/TARIFF CLASS DETAIL,10,5243,C,an..9,20,1131,C,an..3,30.0,3055.0,C,an..3,,,,,
C555,STATUS EVENT,10,9011,M,an..3,20,1131,C,an..3,30.0,3055.0,C,an..3,,,,,
C556,STATUS REASON,10,9013,M,an..3,20,1131,C,an..3,30.0,3055.0,C,an..3,40.0,9012.0,C,an..35,
C601,STATUS TYPE,10,9015,M,an..3,20,1131,C,an..3,30.0,3055.0,C,an..3,,,,,
C701,ERROR POINT DETAILS,10,1049,M,an..3,20,1052,C,an..35,30.0,1054.0,C,n..6,,,,,
C703,NATURE OF CARGO,10,7085,M,an..3,20,1131,C,an..3,30.0,3055.0,C,an..3,,,,,
C849,PARTIES TO INSTRUCTION,10,3301,M,an..17,20,3285,C,an..17,,,,,,,,,
C850,STATUS OF INSTRUCTION,10,4405,M,an..3,20,3036,C,an..35,,,,,,,,,
C901,APPLICATION ERROR DETAIL,10,9321,M,an..3,20,1131,C,an..3,30.0,3055.0,C,an..3,,,,,
C941,RELATIONSHIP,10,9143,C,an..3,20,1131,C,an..3,30.0,3055.0,C,an..3,40.0,9142.0,C,an..35,
C942,MEMBERSHIP CATEGORY,10,7451,M,an..4,20,1131,C,an..3,30.0,3055.0,C,an..3,40.0,7450.0,C,an..35,
C944,MEMBERSHIP STATUS,10,7453,C,an..3,20,1131,C,an..3,30.0,3055.0,C,an..3,40.0,7452.0,C,an..35,
C948,EMPLOYMENT CATEGORY,10,9005,C,an..3,20,1131,C,an..3,30.0,3055.0,C,an..3,40.0,9004.0,C,an..35,
C950,QUALIFICATION CLASSIFICATION,10,9007,C,an..3,20,1131,C,an..3,30.0,3055.0,C,an..3,40.0,9006.0,C,an..35,
C951,OCCUPATION,10,9009,C,an..3,20,1131,C,an..3,30.0,3055.0,C,an..3,40.0,9008.0,C,an..35,
C953,CONTRIBUTION TYPE,10,5049,M,an..3,20,1131,C,an..3,30.0,3055.0,C,an..3,40.0,5048.0,C,an..35,
C955,ATTRIBUTE TYPE,10,9021,M,an..3,20,1131,C,an..3,30.0,3055.0,C,an..3,,,,,
C956,ATTRIBUTE DETAILS,10,9019,C,an..3,20,1131,C,an..3,30.0,3055.0,C,an..3,40.0,9018.0,C,an..35,
C960,REASON FOR CHANGE,10,4295,C,an..3,20,1131,C,an..3,30.0,3055.0,C,an..3,40.0,4294.0,C,an..35,
