OBJECTID,ADMIN_ST,NLCS_ID,NLCS_NAME,CASEFILE_NO,WSA_RCMND,ROD_DATE,WSA_AUTH,WSA_TYPE,WSA_NUMBER,WSA_SUITABILITY,WSA_VALUES,GlobalID,Shape__Area,Shape__Length
17,UT,NLCS000914,Jack Canyon,UNK,No recommendation,1983/11/30 00:00:00+00,603,WSA,UT-060-068C,4,Wilderness Study Area,{44F5D76B-8CFF-44BA-BBD9-69D7D2B2A63A},29149140.582812,43796.6278974156
20,UT,NLCS000904,Fish Springs,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-127,0,Acquired Lands Managed as WSA,{53D56C41-2B1B-42E8-A4D6-686CDF838A06},2590616.87012347,6438.1379139752
21,UT,NLCS000904,Fish Springs,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-127,0,Acquired Lands Managed as WSA,{2EFCBEFC-06F8-4AE7-9801-17917924CC23},947552.556276865,4763.25670342243
22,UT,NLCS000959,Winter Ridge,UNK,Non-suitable,1983/11/30 00:00:00+00,603,WSA,UT-080-730,4,Wilderness Study Area,{6166F1B7-4BC8-4BD4-872B-98D869814F17},173363941.02289,114319.413809697
23,UT,NLCS000904,Fish Springs,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-127,0,Acquired Lands Managed as WSA,{2B671F44-2E8C-48E2-ADC0-7330FED9F690},2469896.00922687,6311.92984084726
28,UT,NLCS000959,Winter Ridge,UNK,Non-suitable,1983/11/30 00:00:00+00,603,WSA,UT-080-730,4,Wilderness Study Area,{94E58797-2405-48F6-84EA-9AF6DF6890C0},1955134.30369476,6069.07119474823
30,UT,NLCS000950,Swasey Mountain,UNK,No recommendation,1980/12/31 00:00:00+00,603,WSA,UT-050-061,4,Wilderness Study Area,{685365A8-F2BA-4D7C-B0F1-F5E19E791BC7},206506075.188209,159561.35961033
35,UT,NLCS000950,Swasey Mountain,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-061,0,Acquired Lands Managed as WSA,{502020E1-8945-47C7-92B0-A43689B66C31},2590520.21524312,6438.29091466605
38,UT,NLCS000877,Book Cliffs Mountain Browse ISA,UNK,No recommendation,1980/06/18 00:00:00+00,603,ISA,UT-ISA-007,4,Instant Study Area,{672DAA14-CC53-4FB8-A803-82674A02AAB5},1613837.94115706,5624.18226901361
39,UT,NLCS000950,Swasey Mountain,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-061,0,Acquired Lands Managed as WSA,{EA6EE5EB-4F0F-4362-A256-15DF1A8CE696},2590093.60276983,6434.39004654138
40,UT,NLCS000950,Swasey Mountain,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-061,0,Acquired Lands Managed as WSA,{BFB52FF6-EBCD-49B3-815F-6E4CE560901B},2587935.59525828,6435.08002638307
41,UT,NLCS000950,Swasey Mountain,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-061,0,Acquired Lands Managed as WSA,{CE2A551E-116B-448E-B86A-3F3D4730A9D2},2076776.34796148,5796.61130512879
42,UT,NLCS000950,Swasey Mountain,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-061,0,Acquired Lands Managed as WSA,{164F3459-593A-4511-A115-63ABDBA15057},2091976.50415275,5817.73464653493
44,UT,NLCS000950,Swasey Mountain,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-061,0,Acquired Lands Managed as WSA,{67752F57-0C67-4CFD-9AB7-2734F04DF597},2408995.45639216,6381.09701461119
45,UT,NLCS000950,Swasey Mountain,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-061,0,Acquired Lands Managed as WSA,{785EE3B3-4949-46FA-B0CD-7BBF8826D96D},2581178.43962585,6390.30034072085
48,UT,NLCS000950,Swasey Mountain,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-061,0,Acquired Lands Managed as WSA,{170B04F4-533A-4FEC-9C66-0A0D2B5A2002},2591608.8697347,6439.61903115294
52,UT,NLCS000950,Swasey Mountain,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-061,0,Acquired Lands Managed as WSA,{B209CADC-3B99-4952-A1FC-C0D3BBF7DCD2},2588682.46784204,6435.93468648822
53,UT,NLCS000950,Swasey Mountain,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-061,0,Acquired Lands Managed as WSA,{DAD5F34F-75C2-4F65-AC9E-3BC854723D44},2002726.15194901,6073.08613947199
54,UT,NLCS000950,Swasey Mountain,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-061,0,Acquired Lands Managed as WSA,{622B0793-D116-4D08-97E8-6F2FA310A69B},2588332.32345494,6435.49595651872
55,UT,NLCS000950,Swasey Mountain,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-061,0,Acquired Lands Managed as WSA,{042B10D6-CE08-4AA0-A252-EFCB6C691BD6},2593046.53314523,6441.84627970562
59,UT,NLCS000950,Swasey Mountain,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-061,0,Acquired Lands Managed as WSA,{8EFD7C6D-69C6-458C-9B31-236F2F7F7B63},332561.85449368,2438.45406648573
62,UT,NLCS000950,Swasey Mountain,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-061,0,Acquired Lands Managed as WSA,{62CC85CE-CF27-45F7-8CD2-783B16D92F42},69237.77833955,2113.42880410935
63,UT,NLCS000912,Howell Peak,UNK,No recommendation,1979/11/29 00:00:00+00,603,WSA,UT-050-077,4,Wilderness Study Area,{53EB1379-96C3-4872-ABC0-57FE677175CA},100134166.495967,80800.8682288692
64,UT,NLCS000950,Swasey Mountain,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-061,0,Acquired Lands Managed as WSA,{34BEC9A3-E822-40C0-A913-E350C2DD0099},2588607.55988871,6435.36301769959
65,UT,NLCS000912,Howell Peak,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-077,0,Acquired Lands Managed as WSA,{DEDB1404-3D57-43DA-8F27-4DD00F9D5B14},532735.34563088,3965.26716817657
66,UT,NLCS000912,Howell Peak,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-077,0,Acquired Lands Managed as WSA,{A3B3A7ED-C59A-4BB3-8E77-DCB0C1F080F2},2590437.48180879,6437.64560950015
67,UT,NLCS000887,Conger Mountain,UNK,No recommendation,9999/09/09 00:00:00+00,603,WSA,UT-050-035,4,Wilderness Study Area,{70160929-F157-48D1-B006-FCD2CC8910F3},81588499.47931,62376.8319128613
69,UT,NLCS000912,Howell Peak,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-077,0,Acquired Lands Managed as WSA,{49887922-6BB9-440F-B2B5-ED6E2335098A},2595696.76756368,6444.03194160032
70,UT,NLCS000912,Howell Peak,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-077,0,Acquired Lands Managed as WSA,{D835ED49-01FB-43AE-956F-4BB2EE19DCD1},2587669.90774533,6434.72005422483
73,UT,NLCS000912,Howell Peak,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-077,0,Acquired Lands Managed as WSA,{3150822D-EF80-4B25-9A04-F678A12BD793},2577274.16989816,6421.12852025192
78,UT,NLCS000912,Howell Peak,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-077,0,Acquired Lands Managed as WSA,{23805684-6BF6-461B-9285-C581908B6721},453287.905637845,3789.48904776577
79,UT,NLCS000933,Notch Peak,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-078,0,Acquired Lands Managed as WSA,{C643880D-4401-4A79-BB62-E4C506C21FD2},2595914.5706716,6444.45037133252
83,UT,NLCS000933,Notch Peak,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-078,0,Acquired Lands Managed as WSA,{8AE35D3C-B93B-4EB8-A438-2218B68CD356},7171.333772725,357.389969907441
86,UT,NLCS000933,Notch Peak,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-078,0,Acquired Lands Managed as WSA,{44CF13F9-F813-4A6A-AF89-D3A886271182},408938.67745116,3684.30548247659
95,UT,NLCS000933,Notch Peak,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-078,0,Acquired Lands Managed as WSA,{C587BEFA-3F6E-4978-9200-D6CD2725D92E},2589232.94638042,6435.79618981044
103,UT,NLCS000933,Notch Peak,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-078,0,Acquired Lands Managed as WSA,{2C6C4A60-A2B1-44A2-B264-EC748E23E506},2589835.54402505,6437.11811775019
104,UT,NLCS000933,Notch Peak,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-078,0,Acquired Lands Managed as WSA,{345F06CC-ED3C-4344-A8E9-3B085B96AFFD},2590790.79999063,6438.74156752723
109,UT,NLCS000933,Notch Peak,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-078,0,Acquired Lands Managed as WSA,{62B540AE-DBC9-4428-A0CC-A5F335C3B801},519745.17104504,2815.85908669651
110,UT,NLCS000933,Notch Peak,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-078,0,Acquired Lands Managed as WSA,{2C5EBF31-53C8-4EE8-B1F3-AEE276AF5E3F},2594359.67590381,6441.80066394473
111,UT,NLCS000933,Notch Peak,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-078,0,Acquired Lands Managed as WSA,{147D0A30-74D3-4F0E-B981-D4461A82A489},2582347.33902109,6428.61023583095
114,UT,NLCS000876,Black Ridge Canyon West,UNK,No recommendation,1980/12/31 00:00:00+00,603,WSA,UT-060-116,4,Wilderness Study Area,{2B5A8755-BB82-4AF8-8142-A2A53EC7676A},208690.175071965,2389.64255612071
119,UT,NLCS000915,King Top,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-070,0,Acquired Lands Managed as WSA,{ED7FDEA1-803D-433B-A627-3A6394F3DB6B},2594295.87321819,6443.25291594925
120,UT,NLCS000933,Notch Peak,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-078,0,Acquired Lands Managed as WSA,{A536AA33-C4E0-4A1C-BADD-CBFA94B7509F},1835533.18211447,5761.5934867038
121,UT,NLCS000933,Notch Peak,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-078,0,Acquired Lands Managed as WSA,{9C2FAB2F-70BB-48FC-B28F-202E9002C557},2585692.66331973,6432.60012973571
125,UT,NLCS000915,King Top,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-070,0,Acquired Lands Managed as WSA,{7082538F-43A2-43C5-9943-53E215C13D36},2586375.81081085,6431.63766997087
126,UT,NLCS000915,King Top,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-070,0,Acquired Lands Managed as WSA,{75E912BE-E8FD-472B-88BA-FEF8246A8C90},667350.119769205,3669.01174341305
127,UT,NLCS000915,King Top,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-070,0,Acquired Lands Managed as WSA,{C8CD3FB7-50EE-4F39-B898-EBB54047910B},198403.354208085,2364.41524561456
128,UT,NLCS000915,King Top,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-070,0,Acquired Lands Managed as WSA,{AAEC9CFA-88FF-4FD3-9C29-A3F88CBFD6CC},2784904.22908222,10634.586466457
129,UT,NLCS000915,King Top,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-070,0,Acquired Lands Managed as WSA,{C86004B2-4FFD-4E9B-ACEE-F40423C9CB9E},2580885.40379926,6426.5042013736
130,UT,NLCS000915,King Top,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-070,0,Acquired Lands Managed as WSA,{047827B0-8E90-496E-98BE-8532D79B6DDE},4419257.01675894,11498.6303484904
131,UT,NLCS000915,King Top,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-070,0,Acquired Lands Managed as WSA,{70328023-9C51-49F0-A71D-85A4049266DD},2583524.35210253,6427.92923287258
141,UT,NLCS000915,King Top,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-070,0,Acquired Lands Managed as WSA,{2F89BD3F-42AB-447C-9330-EFECD058AC4D},2596653.17744785,6446.01894796512
143,UT,NLCS000915,King Top,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-070,0,Acquired Lands Managed as WSA,{3A63ADC7-C7C8-470B-86C9-8316B81D1124},1611734.63115479,5389.83249146539
144,UT,NLCS000915,King Top,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-070,0,Acquired Lands Managed as WSA,{45028081-5F18-44A3-A7A4-688FB79309D9},2599313.72231015,6448.64761533435
145,UT,NLCS000915,King Top,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-070,0,Acquired Lands Managed as WSA,{74F91D54-27E1-4465-B8C2-22A646FA982A},2597244.12203815,6446.31590310591
146,UT,NLCS000915,King Top,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-070,0,Acquired Lands Managed as WSA,{39F3F1DF-4AD9-4056-B140-6D6AB026EBC1},1875646.40659788,5541.77698979832
150,UT,NLCS000915,King Top,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-070,0,Acquired Lands Managed as WSA,{3678AD73-1A10-4BC1-B4CB-1C4D9EE4BA80},2575336.19111024,6419.1560699134
153,UT,NLCS000915,King Top,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-070,0,Acquired Lands Managed as WSA,{28C75A6B-6C23-4EAE-9D1F-2044A5B55C35},2566659.21251403,6408.51900699685
154,UT,NLCS000915,King Top,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-070,0,Acquired Lands Managed as WSA,{C258CC78-2F81-4A09-BE78-5A0948691C79},592679.66291081,4943.56803097376
159,UT,NLCS000954,Wah Wah Mountains,UNK,No recommendation,1980/12/31 00:00:00+00,603,WSA,UT-050-073,4,Wilderness Study Area,{6014E9C5-74A5-49D0-A225-B2F953D359BC},149048218.515177,113317.719221233
161,UT,NLCS000918,Lost Spring Canyon,UNK,No recommendation,1980/12/31 00:00:00+00,202,WSA,UT-060-131B,4,Wilderness Study Area,{33D74A27-CB91-4D45-8A63-26553EB4C1D2},63494.673629935,1912.39129677976
162,UT,NLCS000954,Wah Wah Mountains,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-073,0,Acquired Lands Managed as WSA,{FDF2B493-DEFE-498E-976C-816BE05BF904},2577680.16923743,6422.08241963471
166,UT,NLCS000954,Wah Wah Mountains,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-073,0,Acquired Lands Managed as WSA,{AF7F119B-D5C4-4D2A-8F0F-ACCF10EAEE73},2577539.24815194,6418.9231493434
174,UT,NLCS000954,Wah Wah Mountains,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-073,0,Acquired Lands Managed as WSA,{D356B4E3-1866-4578-B6A9-3117BC4155F2},2586529.79396454,6433.2023183939
175,UT,NLCS000954,Wah Wah Mountains,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-073,0,Acquired Lands Managed as WSA,{F71A1ACA-9A8A-4623-94BE-3B4A76A1C2EA},508566.163997345,3862.65628245433
176,UT,NLCS000954,Wah Wah Mountains,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-073,0,Acquired Lands Managed as WSA,{6B9C2023-3B1F-420A-8839-B37BABD6007F},2576500.90038504,6422.19583499902
178,UT,NLCS000954,Wah Wah Mountains,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-073,0,Acquired Lands Managed as WSA,{96DB1396-4082-4D49-BCB6-379D51E711EE},2588256.29060148,6435.35695482102
179,UT,NLCS000954,Wah Wah Mountains,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-073,0,Acquired Lands Managed as WSA,{5E33BC08-3C52-4844-8D34-39FB1C7F8E70},2588215.73382937,6434.98094951896
180,UT,NLCS000954,Wah Wah Mountains,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-073,0,Acquired Lands Managed as WSA,{F62C48AD-6E6D-48A0-9893-1A750D9B0095},2594311.67742629,6442.64083656478
182,UT,NLCS000954,Wah Wah Mountains,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-050-073,0,Acquired Lands Managed as WSA,{4F10F589-C0A0-4DBE-8F5E-81E37C3D9738},2746372.38763575,6631.6498209713
185,UT,NLCS000954,Wah Wah Mountains,UNK,No recommendation,1980/12/31 00:00:00+00,603,WSA,UT-040-205,4,Wilderness Study Area,{758C0CCD-BE2F-4347-AF28-B4E93E014AC8},26879605.8433988,39227.215181198
188,UT,NLCS000954,Wah Wah Mountains,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-040-020,0,Acquired Lands Managed as WSA,{5F206B28-BE37-40A9-B265-42AE5DB031E7},178485.348101595,3448.33306665842
189,UT,NLCS000954,Wah Wah Mountains,UNK,No recommendation,2000/10/13 00:00:00+00,603,ALMWSA,UT-040-205,0,Acquired Lands Managed as WSA,{A52F74B1-D50E-4881-B1EC-01D0688F76FD},2580165.68329875,6425.20815498103
195,UT,NLCS000907,Fremont Gorge,UNK,No recommendation,1980/12/31 00:00:00+00,202,WSA,UT-050-221,4,Wilderness Study Area,{B49972EE-EA49-48F1-90F7-A3B451A33A02},11505488.1647185,16868.1301902844
198,UT,NLCS000958,White Rock Range,UNK,No recommendation,1980/12/31 00:00:00+00,603,WSA,UT-040-216,4,Wilderness Study Area,{79267DF7-0107-4803-AC31-EEC35EBA3A0C},15246161.8888032,21325.116659569
211,UT,NLCS000882,Butler Wash,UNK,No recommendation,1980/12/31 00:00:00+00,603,WSA,UT-060-169,4,Wilderness Study Area,{2EEFEEE7-45E7-4DAE-B224-39A183802A49},89218483.254372,85715.6561283477
215,UT,NLCS000945,South Needles,UNK,No recommendation,1980/12/31 00:00:00+00,202,WSA,UT-060-169A,4,Wilderness Study Area,{736A47EC-DD19-4B1C-AAF9-15EA4B644797},649120.58897091,3222.94547129468
218,UT,NLCS000925,Mt. Pennell,UNK,No recommendation,1980/12/31 00:00:00+00,603,WSA,UT-050-248,4,Wilderness Study Area,{83E3F8E6-7B18-45C7-B509-DE1DA20362E9},312161552.736615,266342.313627453
220,UT,NLCS000891,Dark Canyon ISA Complex,UNK,No recommendation,1980/12/31 00:00:00+00,603,ISACLX,UT-ISA-002,4,Instant Study Area Complex,{DB7905A9-EE43-47D5-AA12-BBA39EC54151},266452520.181837,295440.356025623
222,UT,NLCS000949,Steep Creek,UNK,No recommendation,1980/12/31 00:00:00+00,603,WSA,UT-040-061,4,Wilderness Study Area,{A7556B20-788D-4AC1-992F-70C416976CE8},89287383.6633054,91899.7231331756
224,UT,NLCS000882,Butler Wash,UNK,No recommendation,1986/01/31 00:00:00+00,603,AE,UT-060-169,4,Administratively Endorsed Area,{338BDC5D-3126-4052-92B5-FA51B0DC0758},9027468.99185966,21502.1769558219
227,UT,NLCS000917,Little Rockies,UNK,No recommendation,1980/12/31 00:00:00+00,603,WSA,UT-050-247,4,Wilderness Study Area,{015F6A1E-5640-463E-9889-1FAD3CE00234},164841105.052395,117279.020188656
230,UT,NLCS000924,Mt. Hillers,UNK,No recommendation,1980/12/31 00:00:00+00,603,WSA,UT-050-249,4,Wilderness Study Area,{44395158-D899-400B-962A-9685C12BF167},78012464.7442245,81363.9120694018
231,UT,NLCS000930,North Escalante Canyons/The Gulch,UNK,No recommendation,1980/06/18 00:00:00+00,603,ISA,UT-ISA-076,4,Instant Study Area,{7FFFB039-0747-4763-94A8-ADAA1E891BE7},484986415.892966,364683.053736162
235,UT,NLCS000937,Phipps - Death Hollow ISA,UNK,No recommendation,1980/06/18 00:00:00+00,603,ISA,UT-ISA-006,4,Instant Study Area,{83D636C5-0311-40B3-8499-69B9683B7108},173101652.869254,116208.90594783
252,UT,NLCS000885,Cheese Box Canyon,UNK,No recommendation,1980/12/31 00:00:00+00,603,WSA,UT-060-191,4,Wilderness Study Area,{572BF985-69FD-4DB9-AFCE-91D3368E7654},60020600.2639827,60680.7611520997
253,UT,NLCS000884,Carcass Canyon,UNK,No recommendation,1980/12/31 00:00:00+00,603,WSA,UT-040-076,4,Wilderness Study Area,{98261298-EA69-464F-B24A-DB7A1E351CF1},191560965.654243,210342.070524371
257,UT,NLCS000899,Escalante Canyons Tract 1,UNK,No recommendation,1980/06/18 00:00:00+00,603,ISA,UT-ISA-003,4,Instant Study Area,{C447C6B2-8FCF-4A2A-B4C4-8AF1C3EABC8C},1473279.90077921,6481.11324136742
260,UT,NLCS000951,The Blues,UNK,No recommendation,1980/12/31 00:00:00+00,603,WSA,UT-040-268,4,Wilderness Study Area,{61E8658A-348C-45EC-94B9-B33935FF1D60},75981926.453454,87400.6600674894
261,UT,NLCS000919,Mancos Mesa,UNK,No recommendation,1981/05/13 00:00:00+00,603,WSA,UT-060-181,4,Wilderness Study Area,{298C4562-BCE7-4CF9-B2E0-BC4B3CCE732A},205940803.262937,149704.237014386
264,UT,NLCS000892,Death Ridge,UNK,No recommendation,1983/11/30 00:00:00+00,603,WSA,UT-040-078,4,Wilderness Study Area,{785A1257-3B80-446D-9D7C-ADF6B9CBC203},252964743.964634,287187.108901946
266,UT,NLCS000926,Mud Spring Canyon,UNK,No recommendation,1980/12/31 00:00:00+00,603,WSA,UT-040-077,4,Wilderness Study Area,{D5F15E6E-4E33-4A90-9C74-861FBA3A8AB8},154487576.171129,143152.009653845
267,UT,NLCS000941,Scorpion,UNK,No recommendation,1980/12/31 00:00:00+00,603,WSA,UT-040-082,4,Wilderness Study Area,{53ED8411-68BE-4AB7-8DF1-078B180A6BEF},38988092.2759029,43117.026223434
268,UT,NLCS000948,Squaw/Papoose Canyon,UNK,No recommendation,1980/12/31 00:00:00+00,603,WSA,UT-060-227,4,Wilderness Study Area,{2571E4EE-1AF9-426B-AE03-E2EA0D8D157E},26548817.9283704,34730.2336021462
270,UT,NLCS000928,Mule Canyon,UNK,No recommendation,1980/12/31 00:00:00+00,603,WSA,UT-060-205B,4,Wilderness Study Area,{C0B7E7AC-F94E-4C51-A1B5-1F0192EAF1C8},24973185.3071667,25609.0004282314
273,UT,NLCS000896,Devils Garden ISA,UNK,No recommendation,1981/05/13 00:00:00+00,603,ISA,UT-ISA-009,4,Instant Study Area,{31C24B98-6CBA-494D-A9BD-1A8D6CA868C4},2496059.73837665,7011.07958004525
274,UT,NLCS000896,Devils Garden ISA,UNK,No recommendation,1981/05/13 00:00:00+00,603,ISA,UT-ISA-009,4,Instant Study Area,{90DCCC4C-9CDE-4043-915C-AFD19BD47FEA},65572.4963376,1245.65189273156
275,UT,NLCS000946,Spring Creek Canyon,UNK,No recommendation,1980/12/31 00:00:00+00,202,WSA,UT-040-148,4,Wilderness Study Area,{A64EF3D3-901F-4236-917A-7536238E3A42},17535209.3440625,41456.6231724746
