OBJECTID,UNIT_ID,UNIT_NAME,Polygon_ID,Polygon_ID_Alt_C,Mtrx_Conservation_Score,Mtrx_Consump_Use_Score,Mtrx_Signal,RAC_Hydro_Final_Rating,RAC_Veg_Category,RAC_Calc_Adjac,RAC_Model_Recommend,RAC_Edge_Desig,No_Action_Recommend,Alternative_B_Recommend,Mtrx_Recommnd,Poly_DESG,Polygon_ID_Alt_A,Polygon_ID_Alt_B,Polygon_ID_Alt_D,Contig_WSA,VRM_CLASS,OWNER_TYPE,FEDERAL_STATUS,JURIS_NAME,JURIS_SOURCE,SMA_ID,HOLD_ID,BLM_ORG_CD,DIST_NAME,RA_NAME,AUTH_NAME,ISLAND_NAME,Property_Status_1,GIS_Acres_VRM_Class,AltA_VRM,AltB_VRM,AltC_VRM,AltD_VRM,P_ALT_VRM,SHAPE_Length,SHAPE_Area
11,OR-036-052,Lower Cow Lake ,Lower Cow Lake F,Lower Cow Lake F,16.5,24.6,Divergent,NR,I,I,1,Not Considered,1.0,1,1,WIU,Lower Cow Lake F,Lower Cow Lake F,Lower Cow Lake F,Yes,,0,,,,0.0,0.0,,,,,,,0.0009106101157486,I,II,II,II,II,225.44149571044,3.68510839522002
12,OR-036-091,Owyhee River Cont ,Owyhee River Cont G,Owyhee River Cont G,10.0,16.4,Strong,NR,III,I,1,1,1.0,1,1,WIU,Owyhee River Cont G,Owyhee River Cont G,Owyhee River Cont G,Yes,,0,,,,0.0,0.0,,,,,,,0.0041299313511395,I,II,II,II,II,1452.29115636135,16.7132392124302
13,OR-036-091,Owyhee River Cont ,Owyhee River Cont H,Owyhee River Cont H,10.0,16.4,Strong,ND,II,I,1,1,1.0,1,1,WIU,Owyhee River Cont H,Owyhee River Cont H,Owyhee River Cont H,Yes,,0,,,,0.0,0.0,,,,,,,0.0103019897812955,I,II,II,II,II,3198.08138308599,41.6906735099284
14,OR-034-113,Blue Canyon Cont ,Blue Canyon Cont E,Blue Canyon Cont E,17.5,22.4,Divergent,1,II,I,1,Not Considered,1.0,1,1,WIU,Blue Canyon Cont E,Blue Canyon Cont E,Blue Canyon Cont E,Yes,,0,,,,0.0,0.0,,,,,,,146.950160012506,II,II,II,II,II,21813.7517323834,594686.198819319
15,OR-036-014,Sacramento Hill,Sacramento Hill,Sacramento Hill,18.0,23.799999,Moderate,1,II,I,1,Not Considered,1.0,1,1,WIU,Sacramento Hill,Sacramento Hill,Sacramento Hill,No,,0,,,,0.0,0.0,,,,,,,0.005226089109402,II,II,II,II,II,1837.36188171734,21.1492322764125
16,OR-036-057,Clarks Butte Cont,Clarks Butte Cont B,Clarks Butte Cont B,18.4,25.1,Moderate,NR,II,I,1,1,1.0,1,1,WIU,Clarks Butte Cont B,Clarks Butte Cont B,Clarks Butte Cont B,Yes,,0,,,,0.0,0.0,,,,,,,0.0110725230269577,II,II,II,II,II,4888.91602591892,44.8089109238157
17,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,558.579193082817,I,I,I,I,I,8043.83597233085,2260489.79494621
18,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,636.466371586142,I,I,I,I,I,6420.6951400829,2575688.02349501
19,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,636.88060116688,I,I,I,I,I,6422.81217314895,2577364.35113416
20,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,38.0575016432091,I,I,I,I,I,2001.17266733158,154013.244945319
21,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,629.986340603514,I,I,I,I,I,6387.08662621596,2549464.2684956
22,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,656.690276549517,I,I,I,I,I,6531.20053686703,2657531.26318204
23,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,608.11623722595,I,I,I,I,I,7293.33591509438,2460959.10018356
24,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,25.7308837935462,I,I,I,I,I,1486.10356560861,104129.192333941
25,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,630.462563340661,I,I,I,I,I,6391.56204181793,2551391.47353792
26,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,512.463105696008,I,I,I,I,I,7928.02841520653,2073864.61052894
27,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,112.151453555498,I,I,I,I,I,2833.77865411933,453860.830102564
28,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,636.820351374483,I,I,I,I,I,6422.28311971758,2577120.52887485
29,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,AQ, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,179.671608943685,I,I,I,I,I,4412.8119360591,727105.204576693
30,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,212.438713575499,I,I,I,I,I,5194.50095876577,859708.972399404
31,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,565.157979644941,I,I,I,I,I,6020.91017160151,2287113.19959674
32,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,537.394123733157,I,I,I,I,I,8564.45141670149,2174756.86098955
33,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,177.974398446131,I,I,I,I,I,3872.82413392713,720236.837374503
34,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,359.766115593074,I,I,I,I,I,5633.48026473751,1455921.81544973
35,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,AQ, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,40.4037921681927,I,I,I,I,I,1617.45674681914,163508.345825165
36,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,89.0067706877381,I,I,I,I,I,3572.10064622925,360197.621594757
37,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,224.827587141219,I,I,I,I,I,4468.8791059305,909844.964955136
38,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,0.00658737502729,I,I,I,I,I,618.16895714495,26.658160935946
39,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,456.633461118323,I,I,I,I,I,5619.46900757887,1847930.05480943
40,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,633.070257328447,I,I,I,I,I,6399.29412545703,2561944.43670005
41,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,638.361658612068,I,I,I,I,I,6429.14738958481,2583357.97796816
42,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,571.533694558774,I,I,I,I,I,7901.50171748392,2312914.80244318
43,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,632.424732019415,I,I,I,I,I,6400.55938288056,2559332.08845737
44,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,0.013210083359994,I,I,I,I,I,1208.2411410943,53.4593106858312
45,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,605.492057095105,I,I,I,I,I,7271.80866229064,2450339.41996751
46,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,376.936910452251,I,I,I,I,I,5615.50530894979,1525409.55690331
47,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,0.48407475143784,I,I,I,I,I,486.311436109809,1958.98101677791
48,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,123.911759783274,I,I,I,I,I,3559.36282538429,501453.100889828
49,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,505.129007915171,I,I,I,I,I,5725.41266989131,2044184.56982205
50,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,634.264715864175,I,I,I,I,I,6403.14913504867,2566778.23889665
51,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,13.5000581102276,I,I,I,I,I,1183.29889431636,54632.7968661479
52,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,647.247787629795,I,I,I,I,I,6473.91064036058,2619318.86625383
53,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,633.604619346892,I,I,I,I,I,6405.28874037948,2564106.92306628
54,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,640.738012053864,I,I,I,I,I,6441.16657755787,2592974.73915599
55,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,603.712294216054,I,I,I,I,I,7266.52192110563,2443136.97513008
56,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,595.500659737914,I,I,I,I,I,7096.19088952903,2409905.66940381
57,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,633.370864585355,I,I,I,I,I,6402.29517326594,2563160.95110829
58,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,240.077717576953,I,I,I,I,I,7244.63952861851,971560.053251424
59,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,619.93673484766,I,I,I,I,I,6336.22867269084,2508794.95689994
60,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,351.424319894478,I,I,I,I,I,5003.26684845234,1422163.76595252
61,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,18.1122114539953,I,I,I,I,I,1498.43730111688,73297.5192464678
62,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,270.187145506648,I,I,I,I,I,5620.83152588136,1093408.5850435
63,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,180.413061450426,I,I,I,I,I,5351.62217502664,730105.756415501
64,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,637.305102071483,I,I,I,I,I,6423.90759489872,2579082.24534627
65,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,317.765770091296,I,I,I,I,I,4817.11997988119,1285952.44751284
66,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,0.168161918306107,I,I,I,I,I,116.818586620275,680.527139100172
67,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,16.0868231639951,I,I,I,I,I,1238.57979842948,65101.0636372268
68,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,635.482645790099,I,I,I,I,I,6415.18586165098,2571707.02643941
69,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,44.8031826679665,I,I,I,I,I,2083.23400890792,181312.047523821
70,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,9.89995104744248,I,I,I,I,I,1410.17851569005,40063.6804777882
71,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,359.078660086866,I,I,I,I,I,5366.25271406103,1453139.78171932
72,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,640.433881688111,I,I,I,I,I,6439.58366322939,2591743.96723209
73,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,649.452623411722,I,I,I,I,I,6482.74940853117,2628241.52009826
74,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,AQ, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,95.7535467708946,I,I,I,I,I,3956.54528202662,387500.855717374
75,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,640.648244444734,I,I,I,I,I,6440.65531109088,2592611.46253046
76,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,646.885482443457,I,I,I,I,I,6472.5604273416,2617852.66918363
77,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,556.447259411931,I,I,I,I,I,6161.70534163391,2251862.16547805
78,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,345.151782047508,I,I,I,I,I,4956.62466405564,1396779.70588176
79,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,AQ, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,545.850386081372,I,I,I,I,I,5994.56021681923,2208978.14058292
80,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,586.413132740924,I,I,I,I,I,7112.88030322062,2373129.75241231
81,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,639.915663304797,I,I,I,I,I,6436.95740172772,2589646.81183937
82,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,635.806893617911,I,I,I,I,I,6416.27548467587,2573019.21084384
83,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,612.00710770466,I,I,I,I,I,6297.36465513191,2476704.89436905
84,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,641.836097122167,I,I,I,I,I,6446.88164529218,2597418.53176699
85,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,629.123250203467,I,I,I,I,I,6387.58420080367,2545971.46556706
86,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,634.611287520408,I,I,I,I,I,6410.48129066501,2568180.76462949
87,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,637.482559856795,I,I,I,I,I,6438.32826326942,2579800.39152446
88,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,639.583558071929,I,I,I,I,I,6437.51692130746,2588302.82964483
89,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,AQ, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,40.310302938658,I,I,I,I,I,1615.58487432483,163130.008336198
90,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,639.447474146741,I,I,I,I,I,6434.44398590725,2587752.1175382
91,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,58.8421725102628,I,I,I,I,I,3576.16475046915,238125.823731126
92,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,648.441039834865,I,I,I,I,I,6471.83831142451,2624147.78660346
93,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,627.355787197461,I,I,I,I,I,6373.86043596025,2538818.79654985
94,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,375.597072350953,I,I,I,I,I,6601.68489516506,1519987.42447809
95,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,626.16780599304,I,I,I,I,I,6367.9430814416,2534011.20718305
96,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,477.264950016238,I,I,I,I,I,5618.73058940724,1931422.72815963
97,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,637.232198612408,I,I,I,I,I,6423.44889777733,2578787.21551469
98,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,0.0213761568362993,I,I,I,I,I,1235.76459103807,86.5062375792077
99,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,359.443182907899,I,I,I,I,I,5524.1143503996,1454614.95323873
100,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,633.868299356341,I,I,I,I,I,6406.72555682673,2565173.99820597
101,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,319.305204660596,I,I,I,I,I,5628.32804313775,1292182.31818648
102,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,604.374406631526,I,I,I,I,I,7267.20660478543,2445816.44901098
103,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,621.634094996674,I,I,I,I,I,6431.85604424305,2515663.9297201
104,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,619.596845765243,I,I,I,I,I,6334.92580727233,2507419.47458386
105,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,625.116774214152,I,I,I,I,I,6362.70972843458,2529757.83247851
106,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,36.9775851332233,I,I,I,I,I,1567.01943300484,149642.977881227
107,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,609.752946180369,I,I,I,I,I,6280.62458257067,2467582.62632735
108,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,486.796769858834,I,I,I,I,I,6734.14867830089,1969996.6345068
109,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, , ,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,651.577714705142,I,I,I,I,I,6489.30194229455,2636841.45944722
110,,,,,0.0,0.0,,,,,,,,,,,,,,,I,1,PD, ,MTP,2.0,,ORV04,Vale District,Malheur RA,WO Approval 20150901,,BLM,636.187474707116,I,I,I,I,I,6419.05198457123,2574559.36786893
