id,bite_date,SpeciesIDDesc,BreedIDDesc,breed,GenderIDDesc,color,vaccination_yrs,vaccination_date,victim_zip,AdvIssuedYNDesc,WhereBittenIDDesc,quarantine_date,DispositionIDDesc,head_sent_date,release_date,ResultsIDDesc,FollowupYNDesc,ObjectId
667361,2019/01/01 00:00:00,DOG,GERM SHEPHERD,,MALE,BLK,1,2018/02/01 00:00:00,0,,BODY,,,,2019/01/17 00:00:00,,YES,60
667362,2018/12/31 00:00:00,CAT,,SIAMESE,MALE,,0,,40207,,BODY,,,,2019/01/10 00:00:00,,NO,61
667362,2018/12/31 00:00:00,CAT,,SIAMESE,MALE,,0,,40207,,BODY,,,,2019/01/10 00:00:00,,YES,62
667363,2018/12/30 00:00:00,DOG,,,MALE,ORANGE,0,,40299,,BODY,,,,,,NO,63
667363,2018/12/30 00:00:00,DOG,,,MALE,ORANGE,0,,40299,,BODY,,,,,,YES,64
667364,2018/12/28 00:00:00,DOG,PIT BULL,MIX,MALE,BLACK,1,2018/03/17 00:00:00,40216,,BODY,,,,2019/01/11 00:00:00,,NO,65
667364,2018/12/28 00:00:00,DOG,PIT BULL,MIX,MALE,BLACK,1,2018/03/17 00:00:00,40216,,BODY,,,,2019/01/11 00:00:00,,YES,66
667365,2018/12/29 00:00:00,DOG,SIBERAN HUSKY,,MALE,BLK,0,,40272,,BODY,,,,2019/01/08 00:00:00,,NO,67
667365,2018/12/29 00:00:00,DOG,SIBERAN HUSKY,,MALE,BLK,0,,40272,,BODY,,,,2019/01/08 00:00:00,,YES,68
667366,2018/12/30 00:00:00,DOG,PIT BULL,,MALE,TN BLK,0,2017/11/01 00:00:00,40214,,BODY,,,,2019/01/09 00:00:00,,NO,69
667366,2018/12/30 00:00:00,DOG,PIT BULL,,MALE,TN BLK,0,2017/11/01 00:00:00,40214,,BODY,,,,2019/01/09 00:00:00,,YES,70
667367,2018/12/30 00:00:00,DOG,PIT BULL,,FEMALE,BL WHT,0,,40211,,BODY,,,,2019/01/09 00:00:00,,NO,71
667367,2018/12/30 00:00:00,DOG,PIT BULL,,FEMALE,BL WHT,0,,40211,,BODY,,,,2019/01/09 00:00:00,,YES,72
667368,2018/12/27 00:00:00,DOG,DACHSHUND,,MALE,BROWN,0,2018/02/26 00:00:00,47129,,BODY,,,,2019/01/08 00:00:00,,NO,73
667368,2018/12/27 00:00:00,DOG,DACHSHUND,,MALE,BROWN,0,2018/02/26 00:00:00,47129,,BODY,,,,2019/01/08 00:00:00,,YES,74
667369,2018/12/21 00:00:00,DOG,PIT BULL,,,BLACK,0,,40214,,BODY,,,,,,NO,75
667369,2018/12/21 00:00:00,DOG,PIT BULL,,,BLACK,0,,40214,,BODY,,,,,,YES,76
667391,2018/12/30 00:00:00,CAT,,DSH,,BLK WHTE,3,2018/01/09 00:00:00,40213,,BODY,,,,2019/01/09 00:00:00,,NO,77
667391,2018/12/30 00:00:00,CAT,,DSH,,BLK WHTE,3,2018/01/09 00:00:00,40213,,BODY,,,,2019/01/09 00:00:00,,YES,78
667396,,DOG,,,,,0,,40219,,,,,,,,NO,79
667396,,DOG,,,,,0,,40219,,,,,,,,YES,80
667499,2019/01/05 00:00:00,DOG,BULL DOG,,FEMALE,BRN WHTE,0,2018/07/13 00:00:00,40272,,HEAD,,,,2019/01/18 00:00:00,,NO,81
667499,2019/01/05 00:00:00,DOG,BULL DOG,,FEMALE,BRN WHTE,0,2018/07/13 00:00:00,40272,,HEAD,,,,2019/01/18 00:00:00,,YES,82
667500,2019/01/03 00:00:00,DOG,,MIX,MALE,BLACK,3,2018/08/24 00:00:00,40291,,BODY,,,,2019/01/14 00:00:00,,NO,83
667500,2019/01/03 00:00:00,DOG,,MIX,MALE,BLACK,3,2018/08/24 00:00:00,40291,,BODY,,,,2019/01/14 00:00:00,,YES,84
667501,2019/01/04 00:00:00,DOG,LABRADOR RETRIV,,,BLK BRN,0,,40219,,BODY,,,,,,NO,85
667501,2019/01/04 00:00:00,DOG,LABRADOR RETRIV,,,BLK BRN,0,,40219,,BODY,,,,,,YES,86
667502,2019/01/06 00:00:00,DOG,,MIXED,FEMALE,BROWN,1,2018/10/08 00:00:00,40218,,BODY,,,,2019/01/16 00:00:00,,NO,87
667502,2019/01/06 00:00:00,DOG,,MIXED,FEMALE,BROWN,1,2018/10/08 00:00:00,40218,,BODY,,,,2019/01/16 00:00:00,,YES,88
667503,2019/01/02 00:00:00,CAT,,DSH,FEMALE,BLK WHT,1,2019/01/14 00:00:00,40272,,BODY,,,,2019/01/14 00:00:00,,NO,89
667503,2019/01/02 00:00:00,CAT,,DSH,FEMALE,BLK WHT,1,2019/01/14 00:00:00,40272,,BODY,,,,2019/01/14 00:00:00,,YES,90
667504,2019/01/02 00:00:00,DOG,PIT BULL,,MALE,BRINDLE,0,2018/01/10 00:00:00,40216,,BODY,,,,2019/01/14 00:00:00,,NO,91
665182,2018/11/06 00:00:00,DOG,PIT BULL,MIXED #1,,BLK/WHT BR,0,,40205,,UNKNOWN,,,,2018/11/19 00:00:00,,NO,92
667504,2019/01/02 00:00:00,DOG,PIT BULL,,MALE,BRINDLE,0,2018/01/10 00:00:00,40216,,BODY,,,,2019/01/14 00:00:00,,YES,93
667505,2019/01/02 00:00:00,CAT,,,MALE,BLACK,0,,40205,,BODY,,,,,,NO,94
667505,2019/01/02 00:00:00,CAT,,,MALE,BLACK,0,,40205,,BODY,,,,,,YES,95
667589,2019/01/07 00:00:00,DOG,,GERMAN SPITZ,FEMALE,WHITE,0,,40223,,HEAD,,,,,,NO,96
667589,2019/01/07 00:00:00,DOG,,GERMAN SPITZ,FEMALE,WHITE,0,,40223,,HEAD,,,,,,YES,97
613467,2016/08/30 00:00:00,BAT,,BAT,UNKNOWN,BRN,0,,40206,,UNKNOWN,,,2016/08/30 00:00:00,,NEGATIVE,NO,98
613467,2016/08/30 00:00:00,BAT,,BAT,UNKNOWN,BRN,0,,40206,,UNKNOWN,,,2016/08/30 00:00:00,,NEGATIVE,YES,99
665182,2018/11/06 00:00:00,DOG,PIT BULL,MIXED #1,,BLK/WHT BR,0,,40205,,UNKNOWN,,,,2018/11/19 00:00:00,,YES,100
667122,2018/12/18 00:00:00,DOG,GERM SHEPHERD,,,BLACK,1,2019/01/25 00:00:00,40204,,UNKNOWN,,,,2019/01/22 00:00:00,,YES,101
644843,2018/01/06 00:00:00,CAT,,,FEMALE,,0,,40299,,BODY,,,,,,NO,102
665185,2018/11/06 00:00:00,DOG,,MUTT,MALE,WHT/BRWN,0,,40229,,BODY,,,,,,NO,103
666658,2018/12/07 00:00:00,DOG,PIT BULL,,FEMALE,BRINDLE,0,,30286,,BODY,,,,,,YES,104
666312,2018/11/28 00:00:00,CAT,,,FEMALE,GREY,1,2018/10/11 00:00:00,40214,,UNKNOWN,,,,2018/12/10 00:00:00,,YES,105
658531,2018/08/07 00:00:00,DOG,LHASA APSO,,MALE,WHT GRY,0,,40272,,BODY,,,,,,YES,106
660057,2018/08/18 00:00:00,DOG,GREAT PYRENEESE,,MALE,WHITE,1,2018/01/15 00:00:00,40243,,BODY,,,,2018/08/28 00:00:00,,NO,107
667733,2018/12/30 00:00:00,DOG,PIT BULL,,MALE,BROWN,0,,40229,,BODY,,,,,,NO,108
667123,2018/12/20 00:00:00,DOG,,,MALE,BLK,1,2018/08/21 00:00:00,47150,,BODY,,,,2018/12/31 00:00:00,,NO,109
644843,2018/01/06 00:00:00,CAT,,,FEMALE,,0,,40299,,BODY,,,,,,YES,110
665185,2018/11/06 00:00:00,DOG,,MUTT,MALE,WHT/BRWN,0,,40229,,BODY,,,,,,YES,111
666354,2018/11/27 00:00:00,DOG,PIT BULL,,MALE,BLK WHT,0,,40218,,BODY,,,,,,NO,112
666659,2018/12/07 00:00:00,DOG,PIT BULL,,FEMALE,WHT BLK,1,2018/03/17 00:00:00,40216,,BODY,,,,2018/12/19 00:00:00,,NO,113
660057,2018/08/18 00:00:00,DOG,GREAT PYRENEESE,,MALE,WHITE,1,2018/01/15 00:00:00,40243,,BODY,,,,2018/08/28 00:00:00,,YES,114
667733,2018/12/30 00:00:00,DOG,PIT BULL,,MALE,BROWN,0,,40229,,BODY,,,,,,YES,115
667123,2018/12/20 00:00:00,DOG,,,MALE,BLK,1,2018/08/21 00:00:00,47150,,BODY,,,,2018/12/31 00:00:00,,YES,116
644845,,BAT,,,,,0,,40203,,,,,2018/01/03 00:00:00,,NEGATIVE,NO,117
665417,2018/11/07 00:00:00,DOG,PIT BULL,,MALE,BLUE WHT,0,,40216,,BODY,,,,2018/11/19 00:00:00,,NO,118
666354,2018/11/27 00:00:00,DOG,PIT BULL,,MALE,BLK WHT,0,,40218,,BODY,,,,,,YES,119
666659,2018/12/07 00:00:00,DOG,PIT BULL,,FEMALE,WHT BLK,1,2018/03/17 00:00:00,40216,,BODY,,,,2018/12/19 00:00:00,,YES,120
660323,2018/08/29 00:00:00,DOG,,MIXED,,BLACK,0,,40216,,BODY,,,,,,NO,121
667735,2019/01/07 00:00:00,DOG,ROTTWEILER,,MALE,RED,3,2019/01/21 00:00:00,40219,,,,,,2019/01/17 00:00:00,,NO,122
667124,2018/12/19 00:00:00,DOG,GERM SHEPHERD,,FEMALE,,1,2019/01/03 00:00:00,47150,,BODY,,,,2018/12/31 00:00:00,,NO,123
644845,,BAT,,,,,0,,40203,,,,,2018/01/03 00:00:00,,NEGATIVE,YES,124
665417,2018/11/07 00:00:00,DOG,PIT BULL,,MALE,BLUE WHT,0,,40216,,BODY,,,,2018/11/19 00:00:00,,YES,125
666355,,BAT,,,,,0,,40214,,,,,2018/12/01 00:00:00,,,NO,126
666660,2018/12/08 00:00:00,DOG,PIT BULL,,MALE,GRAY,0,,40211,,BODY,,,2018/12/12 00:00:00,,NEGATIVE,NO,127
660323,2018/08/29 00:00:00,DOG,,MIXED,,BLACK,0,,40216,,BODY,,,,,,YES,128
667735,2019/01/07 00:00:00,DOG,ROTTWEILER,,MALE,RED,3,2019/01/21 00:00:00,40219,,,,,,2019/01/17 00:00:00,,YES,129
667124,2018/12/19 00:00:00,DOG,GERM SHEPHERD,,FEMALE,,1,2019/01/03 00:00:00,47150,,BODY,,,,2018/12/31 00:00:00,,YES,130
645740,2018/01/24 00:00:00,DOG,CHICHAUHUA,,MALE,BROWN,0,,40291,,HEAD,,,,,,NO,131
665439,2018/11/09 00:00:00,DOG,PIT BULL,,FEMALE,BRN WHT,1,2018/12/17 00:00:00,40272,,BODY,,,,2018/11/21 00:00:00,,NO,132
666355,,BAT,,,,,0,,40214,,,,,2018/12/01 00:00:00,,,YES,133
666660,2018/12/08 00:00:00,DOG,PIT BULL,,MALE,GRAY,0,,40211,,BODY,,,2018/12/12 00:00:00,,NEGATIVE,YES,134
662781,2018/09/26 00:00:00,DOG,SCHNAUZER,,,,0,,40242,,BODY,,,,,,NO,135
667736,2019/01/07 00:00:00,DOG,PIT BULL,,FEMALE,TAN,0,2018/12/24 00:00:00,40228,,BODY,,,,,,NO,136
667147,2018/12/21 00:00:00,DOG,MASTIF,,MALE,BROWN,0,,40205,YES,HEAD,,,,,,NO,137
645740,2018/01/24 00:00:00,DOG,CHICHAUHUA,,MALE,BROWN,0,,40291,,HEAD,,,,,,YES,138
666356,2018/12/03 00:00:00,DOG,,TERRIER,,,0,,40245,YES,UNKNOWN,,,,,,NO,139
666758,2018/12/08 00:00:00,DOG,,,,BROWN,0,,40014,,BODY,,,,,,NO,140
662781,2018/09/26 00:00:00,DOG,SCHNAUZER,,,,0,,40242,,BODY,,,,,,YES,141
665439,2018/11/09 00:00:00,DOG,PIT BULL,,FEMALE,BRN WHT,1,2018/12/17 00:00:00,40272,,BODY,,,,2018/11/21 00:00:00,,YES,142
666356,2018/12/03 00:00:00,DOG,,TERRIER,,,0,,40245,YES,UNKNOWN,,,,,,YES,143
667147,2018/12/21 00:00:00,DOG,MASTIF,,MALE,BROWN,0,,40205,YES,HEAD,,,,,,YES,144
667736,2019/01/07 00:00:00,DOG,PIT BULL,,FEMALE,TAN,0,2018/12/24 00:00:00,40228,,BODY,,,,,,YES,145
646161,2018/02/01 00:00:00,DOG,PIT BULL,,MALE,,0,,2554,,BODY,,,,,,NO,146
667148,2018/12/20 00:00:00,CAT,,,MALE,YELLOW,1,2018/08/16 00:00:00,40023,,BODY,,,,2018/12/31 00:00:00,,NO,147
667738,2019/01/04 00:00:00,DOG,,,FEMALE,TAN WHT,0,2018/06/26 00:00:00,40291,,BODY,,,,,,NO,148
666758,2018/12/08 00:00:00,DOG,,,,BROWN,0,,40014,,BODY,,,,,,YES,149
666357,2018/12/02 00:00:00,DOG,PIT BULL,,MALE,GRY WHT,0,,40229,,BODY,,,,,,NO,150
662873,2018/09/27 00:00:00,CAT,,HIMALAYAN,,CREAM,0,,40228,,BODY,,,,,,NO,151
665735,2018/11/15 00:00:00,DOG,,,FEMALE,,1,,40214,,BODY,,,,2018/12/05 00:00:00,,NO,152
646161,2018/02/01 00:00:00,DOG,PIT BULL,,MALE,,0,,2554,,BODY,,,,,,YES,153
667148,2018/12/20 00:00:00,CAT,,,MALE,YELLOW,1,2018/08/16 00:00:00,40023,,BODY,,,,2018/12/31 00:00:00,,YES,154
667738,2019/01/04 00:00:00,DOG,,,FEMALE,TAN WHT,0,2018/06/26 00:00:00,40291,,BODY,,,,,,YES,155
666759,2018/12/11 00:00:00,DOG,,MIXED,,BLK,0,2018/12/26 00:00:00,40205,,UNKNOWN,,,,2018/12/21 00:00:00,,NO,156
666357,2018/12/02 00:00:00,DOG,PIT BULL,,MALE,GRY WHT,0,,40229,,BODY,,,,,,YES,157
662873,2018/09/27 00:00:00,CAT,,HIMALAYAN,,CREAM,0,,40228,,BODY,,,,,,YES,158
665735,2018/11/15 00:00:00,DOG,,,FEMALE,,1,,40214,,BODY,,,,2018/12/05 00:00:00,,YES,159
646318,2017/02/05 00:00:00,DOG,LABRADOR RETRIV,,MALE,YELLOW,0,,40299,,HEAD,,,,,,NO,160
667149,2018/12/18 00:00:00,DOG,GERM SHEPHERD,MIX W/ LAB,,BLACK,0,,40204,,BODY,,,,,,NO,161
667739,2019/01/04 00:00:00,DOG,CHICHAUHUA,,MALE,BROWN,0,2018/11/30 00:00:00,40217,,BODY,,,,,,NO,162
666759,2018/12/11 00:00:00,DOG,,MIXED,,BLK,0,2018/12/26 00:00:00,40205,,UNKNOWN,,,,2018/12/21 00:00:00,,YES,163
666358,2018/12/01 00:00:00,CAT,,DSH,MALE,GREY,1,2018/12/13 00:00:00,40291,,UNKNOWN,,,,2018/12/11 00:00:00,,NO,164
662959,2018/09/28 00:00:00,CAT,,,MALE,,0,,40222,,BODY,,,,,,NO,165
665737,2018/11/15 00:00:00,DOG,HEELER,,MALE,BROWN,0,,40299,,BODY,,,,,,NO,166
646318,2017/02/05 00:00:00,DOG,LABRADOR RETRIV,,MALE,YELLOW,0,,40299,,HEAD,,,,,,YES,167
667149,2018/12/18 00:00:00,DOG,GERM SHEPHERD,MIX W/ LAB,,BLACK,0,,40204,,BODY,,,,,,YES,168
667739,2019/01/04 00:00:00,DOG,CHICHAUHUA,,MALE,BROWN,0,2018/11/30 00:00:00,40217,,BODY,,,,,,YES,169
666810,2018/12/12 00:00:00,DOG,HUSKY,,MALE,BRN WHT,3,2018/12/08 00:00:00,40214,,BODY,,,,2018/12/27 00:00:00,,NO,170
666358,2018/12/01 00:00:00,CAT,,DSH,MALE,GREY,1,2018/12/13 00:00:00,40291,,UNKNOWN,,,,2018/12/11 00:00:00,,YES,171
662959,2018/09/28 00:00:00,CAT,,,MALE,,0,,40222,,BODY,,,,,,YES,172
665737,2018/11/15 00:00:00,DOG,HEELER,,MALE,BROWN,0,,40299,,BODY,,,,,,YES,173
647080,2018/02/19 00:00:00,DOG,GERM SHEPHERD,,,BRN TAN,0,,40291,,UNKNOWN,,,,,,NO,174
667151,2018/12/20 00:00:00,DOG,PIT BULL,,,,0,,40299,,UNKNOWN,,,,,,NO,175
667746,2019/01/10 00:00:00,DOG,,,,BRN WHT,0,,40291,,BODY,,,,,,NO,176
666810,2018/12/12 00:00:00,DOG,HUSKY,,MALE,BRN WHT,3,2018/12/08 00:00:00,40214,,BODY,,,,2018/12/27 00:00:00,,YES,177
666359,2018/12/03 00:00:00,DOG,AAUST. TERR.,,MALE,BLK GRY,1,2018/12/15 00:00:00,40229,,UNKNOWN,,,,2018/12/13 00:00:00,,NO,178
663081,2018/09/25 00:00:00,DOG,BLACK LAB,,MALE,BLK,0,,40258,,BODY,,,,,,NO,179
665872,2018/11/19 00:00:00,DOG,PIT BULL,,,BLACK,1,2019/01/05 00:00:00,40208,,BODY,,,,2018/12/04 00:00:00,,NO,180
647080,2018/02/19 00:00:00,DOG,GERM SHEPHERD,,,BRN TAN,0,,40291,,UNKNOWN,,,,,,YES,181
667151,2018/12/20 00:00:00,DOG,PIT BULL,,,,0,,40299,,UNKNOWN,,,,,,YES,182
666861,2018/12/04 00:00:00,DOG,GERM SHEPHERD,,MALE,BLK TAN,0,,40211,,BODY,,,,,,NO,183
666359,2018/12/03 00:00:00,DOG,AAUST. TERR.,,MALE,BLK GRY,1,2018/12/15 00:00:00,40229,,UNKNOWN,,,,2018/12/13 00:00:00,,YES,184
663081,2018/09/25 00:00:00,DOG,BLACK LAB,,MALE,BLK,0,,40258,,BODY,,,,,,YES,185
647434,2018/02/26 00:00:00,CAT,,DSH,FEMALE,BLACK,0,,40299,,HEAD,,,,,,NO,186
666861,2018/12/04 00:00:00,DOG,GERM SHEPHERD,,MALE,BLK TAN,0,,40211,,BODY,,,,,,YES,187
667746,2019/01/10 00:00:00,DOG,,,,BRN WHT,0,,40291,,BODY,,,,,,YES,188
666360,,BAT,,,,,0,,40243,,,,,2018/12/03 00:00:00,,,NO,189
667152,2018/12/23 00:00:00,DOG,BOSTON TERRIER,,FEMALE,BLK/WHT,0,,40258,,BODY,,,,2019/01/03 00:00:00,,NO,190
665872,2018/11/19 00:00:00,DOG,PIT BULL,,,BLACK,1,2019/01/05 00:00:00,40208,,BODY,,,,2018/12/04 00:00:00,,YES,191
667152,2018/12/23 00:00:00,DOG,BOSTON TERRIER,,FEMALE,BLK/WHT,0,,40258,,BODY,,,,2019/01/03 00:00:00,,YES,192
666360,,BAT,,,,,0,,40243,,,,,2018/12/03 00:00:00,,,YES,193
667793,2019/01/05 00:00:00,CAT,,,FEMALE,BLACK,0,,40243,,UNKNOWN,,,,,,NO,194
647434,2018/02/26 00:00:00,CAT,,DSH,FEMALE,BLACK,0,,40299,,HEAD,,,,,,YES,195
666862,2018/12/14 00:00:00,DOG,,,,,0,,40219,,UNKNOWN,,,,,,NO,196
663087,2018/09/27 00:00:00,DOG,SCHNAUZER,,MALE,BLACK,3,2017/09/14 00:00:00,40204,,BODY,,,,,,NO,197
665966,2018/11/20 00:00:00,DOG,BOXER,,MALE,BRN WHT,1,2018/10/27 00:00:00,40206,,BODY,,,,2018/11/30 00:00:00,,NO,198
667153,2018/12/21 00:00:00,DOG,,,,,0,,40216,,UNKNOWN,,,,,,NO,199
666361,2018/12/03 00:00:00,DOG,PIT BULL,,MALE,BRN,1,2018/12/19 00:00:00,47163,,BODY,,,,2018/12/14 00:00:00,,NO,200
667793,2019/01/05 00:00:00,CAT,,,FEMALE,BLACK,0,,40243,,UNKNOWN,,,,,,YES,201
648032,,DOG,,ST BERDOODLE,MALE,,0,,0,,,,,,,,NO,202
666862,2018/12/14 00:00:00,DOG,,,,,0,,40219,,UNKNOWN,,,,,,YES,203
663087,2018/09/27 00:00:00,DOG,SCHNAUZER,,MALE,BLACK,3,2017/09/14 00:00:00,40204,,BODY,,,,,,YES,204
665966,2018/11/20 00:00:00,DOG,BOXER,,MALE,BRN WHT,1,2018/10/27 00:00:00,40206,,BODY,,,,2018/11/30 00:00:00,,YES,205
