OBJECTID,ID,acres,perim_mi,edge_area,PSI,Perimeter,vastmisqmi,sq_mi,value,biophysreg,pct_coreA,pct_coreB,cons_pct,corebcstmn,ELU_Group,ELU_Gr_Sum,ELU_avg_ac,ac_ELUavg,ELUpctlnds,ELUpctINV,ac_ELUwght,vt_eos_den,core500cst,strm_wght,pct_coreB2,theo2020,bldg_dens,avg_parcsz,pop_chg,threatF1,threatF2,threatF3,threatF4,threat,combo,ThreatF5,ELU_rank,F1rcl,F1raw,F2rcl,F2raw,F3rcl,F3raw,F4rcl,F4raw,F5rcl,F5raw,F6rcl,F6raw,F7rcl,F7raw,F8rcl,F8raw,F9rcl,F9raw,F10rcl,F10raw,F11rcl,F11raw,Fwght,Fwghtrcl,threatrcl,PRIORITY,COMPONENT,COMPDESC,GDB_ANRANR_ADMINACT174_Vermont_Conservation_Design_Layers_Highest_Priority_Interior_Forest_BlocksArea,ShapeSTArea,ShapeSTLength
12,296,505.59726146,6.7043247,8.48653293,2.12837354,10789.5863087,0.0,0.78999572,296,Champlain Valley,54.48789402,30.22989079,92.06740928,32.37779999,10,fine sediment flats,162,3.12097075,0.0351,0.9649,3.01142468,20.5,13.56519985,0.43607831,0.0,6.68892801,34.80080032,11.35589981,19.93510056,2,2,2,10,5.2,0.90384615,10,24,7,32.37779999,7,3.01142468,2,2,0,0.0,4,505.59726146,10,0.0,3,0.06487377,9,15.12363809,9,3.0,2,0.43607831,0,0,4.7,6,5,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,2046087.70903,2046087.69891088,10789.5871594068
13,297,1138.34430012,21.68253012,12.19035337,4.58741792,34894.7195388,0.0,1.77866297,297,Champlain Valley,44.91472395,24.77615955,0.0,48.99940109,7,calc/mod calc low elev steep hills with sed flats,579,1.96605233,0.0422,0.9578,1.88308492,20.25130081,17.77409935,19.64441865,24.77615955,5.02921999,12.64360046,27.4993,17.05080032,5,7,3,1,3.8,1.30263158,3,21,6,48.99940109,6,1.88308492,4,7,4,24.77615955,5,1138.34430012,3,0.67314608,4,0.10815708,6,3.52343311,9,3.0,9,19.64441865,0,0,4.95,6,4,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,4606734.36878,4606734.38102665,34894.723192221
14,310,1827.73548731,34.99062299,12.25231926,5.84238497,56312.06179,0.05560517,2.8558367,310,Champlain Valley,41.33860754,17.52447782,2.0867188,164.4940033,7,calc/mod calc low elev steep hills with sed flats,579,3.15671069,0.0422,0.9578,3.0234975,71.3839035,48.26269913,12.47595845,0.0,4.69674993,30.71999931,14.87370014,17.92149925,2,3,2,3,2.2,1.86363636,1,37,2,164.4940033,7,3.0234975,6,26,0,0.0,5,1827.73548731,1,1.87934415,8,0.80712445,7,8.18152851,9,3.0,9,12.47595845,0,0,4.1,5,2,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,7396612.6817,7396612.73049819,56312.0642338904
15,319,987.25800232,9.37148394,6.07515939,2.12906147,15081.9716158,0.0,1.54259063,319,Champlain Hills,68.633194,50.22846093,0.0,15.7894001,8,acidic low elevation steep hills with sed flats,675,1.46261092,0.0613,0.9387,1.37295287,0.0,5.19436979,3.37756492,50.22846093,4.06775999,4.86885023,25.32789993,8.53135014,9,7,5,1,6.2,0.94354839,9,10,9,15.7894001,6,1.37295287,0,0,7,50.22846093,4,987.25800232,9,0.00758464,9,2.26442328,7,6.31944232,6,1.89189005,5,3.37756492,0,0,5.85,7,6,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,3995307.36848,3995307.36831044,15081.971205051
16,351,32341.1393375,123.74787629,2.44885129,4.91196501,199153.300532,0.38639111,50.53303021,351,Northern Green Mountains,86.13780087,76.9512114,39.10732942,0.96006799,4,upper elev acidic steep hills/mtns,9684,3.33966155,0.4924,0.5076,1.6952122,0.0,0.28712401,2.65066432,76.85782631,5.68713999,3.01502991,31.10359955,5.16762018,10,8,7,8,7.8,0.82051282,6,20,10,0.96006799,6,1.6952122,5,8,9,76.85782631,9,32341.1393375,6,0.25800155,3,0.0444805,3,0.47478507,0,0.0,4,2.65066432,0,0,6.4,8,8,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,130880470.957,130880470.833887,199153.305636181
17,366,1650.80241179,15.64538952,6.06556498,2.74874214,25178.8641038,0.03035601,2.57937877,366,Northern Vermont Piedmont,63.92195653,39.85421243,38.43326103,101.96199799,10,fine sediment flats,162,10.19013834,0.0351,0.9649,9.83246449,30.58499908,0.76660401,7.50634232,39.85421243,6.48245603,26.65629959,20.80500031,55.86539841,2,6,1,8,5.0,1.09,8,12,3,101.96199799,8,9.83246449,5,12,5,39.85421243,5,1650.80241179,8,0.03621027,10,35.69787612,10,38.12634362,1,0.42148399,7,7.50634232,0,0,5.45,7,5,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,6680587.0646,6680587.08827552,25178.8639057829
18,376,1514.42062934,18.67001683,7.89002113,3.42465335,30046.5396601,0.54955162,2.36628223,376,Northern Vermont Piedmont,54.57529328,29.16147545,34.0259628,64.50700378,10,fine sediment flats,162,9.34827549,0.0351,0.9649,9.02015102,24.61730003,12.81169987,11.27033776,22.05735273,5.75849998,12.47210026,31.55260086,12.97319984,5,8,4,8,6.6,0.87878788,8,6,5,64.50700378,8,9.02015102,4,7,4,22.05735273,5,1514.42062934,8,0.07302595,8,0.68704162,9,25.05985409,9,2.95421004,8,11.27033776,0,0,5.8,7,7,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,6128667.36471,6128667.38307534,30046.5402781744
19,391,3488.1421915,25.53381582,4.68491284,3.08612703,41092.7754758,0.0,5.45022217,391,Champlain Hills,74.31966238,57.37668908,22.43370703,1.26084006,5,mid elev acidic steep hills/mtns,1859,1.87636236,0.0886,0.9114,1.71011666,0.0,0.38277701,1.94270979,57.37668908,5.52924001,4.24495983,25.37140083,8.52359009,10,7,5,7,7.0,0.82142857,6,18,10,1.26084006,6,1.71011666,0,0,7,57.37668908,6,3488.1421915,6,0.29545585,8,1.19304769,5,2.01373958,6,1.93026996,3,1.94270979,0,0,5.75,7,7,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,14116067.0941,14116067.176452,41092.7763697533
20,395,3067.54863266,26.69884958,5.57033181,3.44105796,42967.7193137,0.0,4.79304474,395,Northern Vermont Piedmont,67.12993816,47.84952337,1.54423632,43.57490158,2,calc/mod calc gentle hills,452,6.78661202,0.0534,0.9466,6.42420694,0.73298103,1.32247996,0.36043895,47.84952337,5.74772,13.94460011,82.47180176,9.61800003,4,10,5,2,4.8,1.11458333,3,12,6,43.57490158,8,6.42420694,3,3,6,47.84952337,6,3067.54863266,3,0.71866636,10,53.15209945,4,1.59513037,9,2.94454002,2,0.36043895,0,0,5.35,7,5,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,12413978.5409,12413978.4683123,42967.7202724704
21,403,2823.11125831,26.89266712,6.09657409,3.61297575,43279.6390288,1.0319576,4.41111134,403,Champlain Hills,70.20109442,51.71140867,0.74562772,39.10430145,8,acidic low elevation steep hills with sed flats,675,4.18240556,0.0613,0.9387,3.9260241,8.91921043,0.99732399,2.02806035,48.24994042,4.57184005,10.31890011,33.26699829,14.0326004,6,8,3,2,5.0,1.08,6,17,7,39.10430145,7,3.9260241,0,0,6,48.24994042,6,2823.11125831,6,0.2289219,8,0.846272,5,2.73664383,9,2.86069989,3,2.02806035,0,0,5.4,7,5,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,11424771.6259,11424771.5306439,43279.6416685464
22,432,1978.39833804,20.08104419,6.49609739,3.22273496,32317.3726081,0.46945242,3.0912474,432,Northern Vermont Piedmont,67.89470422,47.95092989,10.20208095,31.5897007,8,acidic low elevation steep hills with sed flats,675,2.93097347,0.0613,0.9387,2.7513048,12.34549999,0.484092,5.7618811,47.95092989,5.25081003,6.02726984,24.86020088,2.94822001,8,6,9,5,7.4,0.72972973,9,17,7,31.5897007,7,2.7513048,2,2,6,47.95092989,5,1978.39833804,9,0.00164982,5,0.19515787,6,4.54804264,0,0.0,7,5.7618811,0,0,5.4,7,8,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,8006326.04564,8006325.9665394,32317.3744425346
23,434,34658.1441508,106.60114077,1.968505,4.08746802,171558.249413,0.56276417,54.15335024,434,Northeastern Highlands,89.25265376,81.68415244,52.20715259,0.56192201,3,acidic gentle hills,465,74.53397321,0.0403,0.9597,71.53025409,6.96317005,0.18555801,5.05524956,81.60199743,6.05609298,2.14792991,134.55999756,5.45141983,10,10,7,9,7.6,1.0,2,1,10,0.56192201,10,71.53025409,8,80,10,81.60199743,9,34658.1441508,2,1.22269998,10,3.16549898,8,10.95843847,1,0.409823,6,5.05524956,0,0,7.6,10,8,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,140257094.273,140257093.785031,171558.258543745
24,454,1246.77963666,16.363917,8.39996626,3.30816822,26335.2243122,0.96601728,1.94809318,454,Northern Vermont Piedmont,56.04661637,29.10685171,1.32645734,34.31010056,9,coarse sediment flats,162,7.69620466,0.0187,0.9813,7.55228563,12.81169987,8.21459961,17.12392421,25.19268769,5.17347002,5.39269018,32.2989006,2.75723004,9,8,9,2,7.0,0.83571429,7,3,7,34.31010056,8,7.55228563,5,14,4,25.19268769,5,1246.77963666,7,0.16400653,10,15.62299337,10,47.06574303,0,0.0,9,17.12392421,0,0,5.85,7,7,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,5045558.36216,5045558.32647166,26335.2249373501
25,475,1084.21905384,12.92495368,7.62942721,2.80198396,20800.7382597,0.0,1.69409227,475,Northern Vermont Piedmont,60.74540912,41.29356502,0.0,53.21070099,1,calc/mod calc gentle hills,452,2.39871472,0.0534,0.9466,2.27062335,0.875,4.27747011,5.76527038,41.29356502,4.68886995,5.08303022,31.99839973,10.96469975,9,8,4,1,6.2,0.88709677,9,10,6,53.21070099,6,2.27062335,0,0,6,41.29356502,5,1084.21905384,9,0.00454521,6,0.3204334,7,7.04937805,9,3.0,7,5.76527038,0,0,5.5,7,6,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,4387696.3921,4387696.3854288,20800.7394206078
26,477,4565.2153843,30.28915491,4.24625292,3.20001259,48745.7672072,0.43135036,7.13314904,477,Northeastern Highlands,75.24836203,60.11904957,11.74429583,1.37186003,2,calc/mod calc gentle hills,452,10.10003404,0.0534,0.9466,9.56069222,13.03489971,0.41475201,1.98358396,60.11904957,5.13233995,6.30338001,50.77930069,4.6511302,8,10,7,5,7.0,0.87142857,5,4,10,1.37186003,8,9.56069222,3,3,8,60.11904957,6,4565.2153843,5,0.36683658,6,0.24008068,7,8.11859395,2,0.88992202,3,1.98358396,0,0,6.1,8,7,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,18474845.0969,18474845.1094864,48745.7691631123
27,479,3535.21460593,37.21977056,6.73810668,4.46849182,59899.5342346,0.25507815,5.52377282,479,Northern Vermont Piedmont,64.38538119,41.48741345,1.24975723,40.02679825,1,calc/mod calc gentle hills,452,7.82127125,0.0534,0.9466,7.40361537,7.10119009,0.40871701,3.0727549,41.48741345,4.49100995,5.56821012,32.21289825,5.10485983,9,8,7,2,6.0,0.94166667,4,7,7,40.02679825,8,7.40361537,4,5,6,41.48741345,6,3535.21460593,4,0.45387457,4,0.10578424,8,10.25411864,7,2.11090994,5,3.0727549,0,0,5.65,7,6,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,14306563.1587,14306563.1122098,59899.5381861588
28,499,4489.63860647,33.76278239,4.8128998,3.59689454,54336.0399371,0.0,7.01506032,499,Champlain Hills,75.17966135,61.16151968,3.48783752,2.18684006,8,acidic low elevation steep hills with sed flats,675,6.65134589,0.0613,0.9387,6.24361839,8.76511955,0.79443097,2.52295763,61.16151968,4.80939007,14.28929996,19.59420013,19.30949974,4,5,2,3,4.0,1.625,6,3,10,2.18684006,8,6.24361839,3,3,8,61.16151968,6,4489.63860647,6,0.20016934,10,10.34637397,7,5.48588699,3,0.95025498,4,2.52295763,0,0,6.5,8,4,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,18168995.5048,18168995.4161752,54336.0433599591
29,543,3893.26932775,41.13916708,6.76271398,4.70644987,66207.2041142,0.0,6.08323332,543,Champlain Hills,66.34322166,48.13146336,27.20667159,24.37100029,8,acidic low elevation steep hills with sed flats,675,5.76783194,0.0613,0.9387,5.41426384,7.94469976,1.79273999,4.19758682,42.30266034,5.16786003,15.65859985,21.87730026,22.23080063,4,6,2,7,5.2,1.14423077,7,8,8,24.37100029,7,5.41426384,3,4,6,42.30266034,6,3893.26932775,7,0.11197992,10,4.65578887,9,19.44163212,0,0.0,6,4.19758682,0,0,5.95,7,5,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,15755565.0053,15755564.854192,66207.2095334323
30,557,1781.64906526,15.05202839,5.40695604,2.54553524,24223.9400221,0.0,2.78382666,557,Champlain Hills,70.40863571,51.81304321,0.0,24.36669922,5,mid elev acidic steep hills/mtns,1859,0.95839535,0.0886,0.9114,0.87348152,0.0,0.89546603,3.31478972,51.81304321,4.46728992,6.77576017,39.54880142,13.77929974,8,9,3,1,5.6,1.0,7,20,8,24.36669922,5,0.87348152,0,0,7,51.81304321,5,1781.64906526,7,0.14724336,8,0.93291661,6,3.69777086,9,3.0,5,3.31478972,0,0,5.6,7,6,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,7210106.80259,7210106.76872122,24223.940431939
31,588,764.75225099,8.5340363,7.14189886,2.20287204,13734.2275814,0.0,1.19492539,588,Champlain Valley,63.51490948,45.74601769,0.0,164.5079956,7,calc/mod calc low elev steep hills with sed flats,579,1.32081563,0.0422,0.9578,1.26507721,14.48410034,59.53329849,2.23578812,45.74601769,4.45423007,32.7492981,12.44120026,26.27350044,2,3,2,1,3.2,1.453125,8,27,2,164.5079956,6,1.26507721,0,0,6,45.74601769,4,764.75225099,8,0.04703223,9,1.41775326,7,6.25046869,9,3.0,4,2.23578812,0,0,4.65,6,3,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,3094854.93787,3094854.97096869,13734.2289919517
32,597,154564.054501,252.71222889,1.0464,4.58846237,406701.722697,0.75283696,241.50633516,597,Northeastern Highlands,93.40943149,88.00246483,69.77894702,0.270412,4,upper elev acidic steep hills/mtns,9684,15.96083628,0.4924,0.5076,8.1017205,2.94164991,0.0767925,3.76440436,87.8756433,6.41796798,1.15447998,1113.29003906,-0.187571,10,10,10,10,8.4,0.97619048,2,1,10,0.270412,8,8.1017205,9,205,10,87.8756433,10,154564.054501,2,0.79181443,8,1.06572638,7,6.38063192,5,1.64779997,6,3.76440436,10,99,8.2,10,9,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,625501038.631,625501037.9224,406701.748887969
33,601,1063.64379838,10.18171256,6.12638935,2.22852696,16385.9107847,0.0,1.66194343,601,Champlain Hills,67.42818424,48.35145946,76.0529701,64.4131012,9,coarse sediment flats,162,6.56573152,0.0187,0.9813,6.44295234,7.82196999,0.280393,6.25316108,48.35145946,6.247908,6.23364019,43.56510162,14.63249969,8,10,3,10,8.2,0.70731707,10,4,5,64.4131012,8,6.44295234,4,7,6,48.35145946,5,1063.64379838,10,0.0,7,0.42812265,10,39.99106662,0,0.0238544,7,6.25316108,0,0,5.8,7,8,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,4304430.95434,4304430.95321935,16385.9110184555
34,618,6366.66705874,52.48926141,5.2764071,4.69579965,84473.4468578,0.49230187,9.94791728,618,Champlain Hills,72.28217618,56.30065727,11.04373754,8.38183975,8,acidic low elevation steep hills with sed flats,675,9.43214109,0.0613,0.9387,8.85395084,2.79594994,0.52830899,2.92253134,55.79569761,5.24808002,2.7221899,50.0848999,4.40264988,10,10,8,5,7.6,0.76315789,5,11,10,8.38183975,8,8.85395084,1,1,7,55.79569761,7,6366.66705874,5,0.3593516,6,0.36377432,5,2.00886584,0,0.0,5,2.92253134,0,0,5.8,7,8,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,25765090.5362,25765090.4614898,84473.4514710292
35,642,1409.16327021,21.88788459,9.94082548,4.16215548,35225.2061913,0.30542812,2.20181761,642,Northern Vermont Piedmont,53.0425761,30.669945,2.21361149,33.89759827,1,calc/mod calc gentle hills,452,3.11761785,0.0534,0.9466,2.95113706,0.32193699,6.18002987,17.55981051,28.20746952,4.88497996,5.6690402,37.85129929,3.00636005,9,9,9,3,6.8,0.81617647,4,9,7,33.89759827,7,2.95113706,3,3,4,28.20746952,5,1409.16327021,4,0.42392249,8,0.88556807,9,25.70819916,9,3.0,9,17.55981051,0,0,5.55,7,7,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,5702704.24107,5702704.227179,35225.2086370209
36,670,15336.2306788,56.40748676,2.35395465,3.25141647,90779.2319366,0.38173487,23.96286044,670,Northeastern Highlands,86.37376926,77.14256422,14.74621403,0.65399301,4,upper elev acidic steep hills/mtns,9684,1.58367395,0.4924,0.5076,0.8038729,20.40340042,0.196813,4.66269043,76.92078547,5.22044003,3.63864994,32.01959991,-0.224618,10,8,10,6,7.4,0.90540541,3,15,10,0.65399301,5,0.8038729,6,25,9,76.92078547,8,15336.2306788,3,0.62547207,9,1.3236701,6,4.69565837,4,1.31924999,6,4.66269043,0,0,6.7,8,8,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,62063771.8726,62063771.6561334,90779.2374259909
37,674,25580.2989951,84.37489691,2.11099698,3.76578581,135788.505669,0.02949507,39.96921718,674,Northern Green Mountains,87.54240834,79.18893639,44.8282743,0.59145802,4,upper elev acidic steep hills/mtns,9684,2.64151303,0.4924,0.5076,1.34083202,4.94711018,0.18314201,3.50517748,79.09003645,5.90328002,2.25377989,47.69269943,5.84084988,10,10,7,9,8.4,0.83333333,6,12,10,0.59145802,6,1.34083202,6,21,9,79.09003645,9,25580.2989951,6,0.2446808,8,0.63759927,5,2.74065366,2,0.61812001,5,3.50517748,0,0,7.0,9,9,HIGHEST PRIORITY,1A,HIGHEST PRIORITY INTERIOR FOREST BLOCKS,103520211.356,103520210.944215,135788.515571275
