X,Y,OBJECTID,Loc_name,Status,Score,Match_type,Match_addr,User_fld,Addr_type,Side,ARC_Street,ARC_City,ARC_State,ARC_ZIP,Facility_Name,Notification_ID,Facility_Address,Abatement_Contractor,Demo_Contractor,DateStartActual,MonthStart,DayStart,YearStart,DateEndActual,MonthEnd,DayEnd,YearEnd,GEOID10_Tract,ZCTA5CE10,DRPS_ResStr,D3_SurveyParcelID
13481940.0816929,321870.389435694,16,ParcelLocator_,M,100.0,A,"3165 MEDBURY AVE, DETROIT, MI, 48211",13003692.,StreetAddress,,3165 MEDBURY AVE,Detroit,MI,482,ABANDONED RESIDENTIAL HOM,20133308,3165 MEDBURY,,JOY CONSTRUCTION LEA,2013/01/19 00:00:00+00,1,19,2013,2013/01/26 00:00:00+00,1.0,26,2013,26163518500.0,48211.0,1.0,13003692.10919
13489057.589895,316681.296916008,17,ParcelLocator_,M,100.0,A,"3106 CANTON ST, DETROIT, MI, 48207",15010009.002L,StreetAddress,,3106 CANTON ST,Detroit,MI,482,ABANDONED RESIDENTIAL HOM,20133306,3106 CANTON,,JOY CONSTRUCTION LEA,2013/01/19 00:00:00+00,1,19,2013,2013/01/26 00:00:00+00,1.0,26,2013,26163516300.0,48207.0,1.0,15010009.002L
13485794.3681102,319830.514435694,18,ParcelLocator_,M,89.04,A,"6400 E HANCOCK AVE, DETROIT, MI, 48207",15000463.,StreetAddress,,6400 E HANCOCK ST,DETROIT,MI,482,ABANDONED RESIDENTIAL HOM,20133305,6400 E HANCOCK,,JOY CONSTRUCTION LEA,2013/01/19 00:00:00+00,1,19,2013,2013/01/26 00:00:00+00,1.0,26,2013,26163516100.0,48207.0,1.0,15000463.9592
13503537.7280184,326336.954724416,19,ParcelLocator_,M,100.0,A,"4100 COPLIN ST, DETROIT, MI, 48215",21051370.,StreetAddress,,4100 COPLIN ST,Detroit,MI,482,ABANDONED RESIDENTIAL HOM,20133304,4100 COPLIN,,JOY CONSTRUCTION LEA,2013/01/21 00:00:00+00,1,21,2013,2013/01/31 00:00:00+00,1.0,31,2013,26163512400.0,48215.0,,21051370.13799
13505106.7493438,330973.623359576,20,ParcelLocator_,M,100.0,A,"5114 MARYLAND ST, DETROIT, MI, 48224",21064253.,StreetAddress,,5114 MARYLAND ST,Detroit,MI,482,ABANDONED RESIDENTIAL HOM,20133302,5114 MARYLAND,,JOY CONSTRUCTION LEA,2013/01/21 00:00:00+00,1,21,2013,2013/01/31 00:00:00+00,1.0,31,2013,26163501300.0,48224.0,,21064253.16284
13487292.5275591,319595.046259835,21,ParcelLocator_,M,100.0,A,"4452 CONCORD ST, DETROIT, MI, 48207",15010867.,StreetAddress,,4452 CONCORD ST,Detroit,MI,482,ABANDONED RESIDENTIAL HOM,20133301,4452 CONCORD,,JOY CONSTRUCTION LEA,2013/01/21 00:00:00+00,1,21,2013,2013/01/31 00:00:00+00,1.0,31,2013,26163516200.0,48207.0,1.0,15010867.9369
13470920.0807087,344558.395997375,22,ParcelLocator_,M,100.0,A,"19622 FLEMING ST, DETROIT, MI, 48234",09014694.,StreetAddress,,19622 FLEMING ST,Detroit,MI,482,ABANDONED RESIDENTIAL HOM,20133300,19622 FLEMING,,JOY CONSTRUCTION LEA,2013/01/21 00:00:00+00,1,21,2013,2013/01/31 00:00:00+00,1.0,31,2013,26163507400.0,48234.0,1.0,09014694.25587
13461495.8106955,343758.21358268,23,ParcelLocator_,M,100.0,A,"986 ANNIN ST, DETROIT, MI, 48203",01007368.,StreetAddress,,986 ANNIN ST,Detroit,MI,482,ABANDONED RESIDENTIAL HOM,20133297,986 ANNIN,,JOY CONSTRUCTION LEA,2013/01/21 00:00:00+00,1,21,2013,2013/01/31 00:00:00+00,1.0,31,2013,26163508000.0,48203.0,1.0,01007368.24891
13428546.1774934,314306.160761148,24,ParcelLocator_,M,100.0,A,"8679 VAUGHAN ST, DETROIT, MI, 48228",22098563.,StreetAddress,,8679 VAUGHAN ST,Detroit,MI,482,RESIDENCE,20140013,8679 VAUGHAN,,"DMC CONSULTANTS, INC",2014/01/24 00:00:00+00,1,24,2014,2014/01/31 00:00:00+00,1.0,31,2014,26163546100.0,48228.0,1.0,22098563.5991
13482498.5905512,321231.830052495,25,ParcelLocator_,M,90.87,A,"3315 E PALMER ST, DETROIT, MI, 48211",13003477.,StreetAddress,,3315 PALMER ST,DETROIT,MI,482,RESIDENCE,20140012,3315 PALMER,,"DMC CONSULTANTS, INC",2014/01/24 00:00:00+00,1,24,2014,2014/01/31 00:00:00+00,1.0,31,2014,26163518500.0,48211.0,1.0,13003477.10648
13438739.7260499,319348.156167984,26,ParcelLocator_,M,100.0,A,"11300 MONTROSE AVE, DETROIT, MI, 48227",22052945.,StreetAddress,,11300 MONTROSE AVE,Detroit,MI,482,RESIDENCE,20140011,11300 MONTROSE,,"DMC CONSULTANTS, INC",2014/01/24 00:00:00+00,1,24,2014,2014/01/31 00:00:00+00,1.0,31,2014,26163545200.0,48227.0,1.0,22052945.9564
13435496.3385827,318722.682742789,27,ParcelLocator_,M,100.0,A,"9972 MEMORIAL ST, DETROIT, MI, 48227",22067589.,StreetAddress,,9972 MEMORIAL ST,Detroit,MI,482,RESIDENCE,20140010,9972 MEMORIAL,,"DMC CONSULTANTS, INC",2014/01/24 00:00:00+00,1,24,2014,2014/01/31 00:00:00+00,1.0,31,2014,26163545200.0,48227.0,1.0,22067589.8969
13435495.0114829,318757.686679795,28,ParcelLocator_,M,100.0,A,"9980 MEMORIAL ST, DETROIT, MI, 48227",22067590.,StreetAddress,,9980 MEMORIAL ST,Detroit,MI,482,RESIDENCE,20140009,9980 MEMORIAL,,"DMC CONSULTANTS, INC",2014/01/24 00:00:00+00,1,24,2014,2014/01/31 00:00:00+00,1.0,31,2014,26163545200.0,48227.0,1.0,22067590.8969
13483857.425853,320554.396653548,29,ParcelLocator_,M,100.0,A,"3549 FREDERICK ST, DETROIT, MI, 48211",13003110.,StreetAddress,,3549 FREDERICK ST,Detroit,MI,482,RESIDENCE,20140008,3549 FREDERICK,,"DMC CONSULTANTS, INC",2014/01/24 00:00:00+00,1,24,2014,2014/01/31 00:00:00+00,1.0,31,2014,26163518500.0,48211.0,,13003110.10321
13484600.0629921,317377.586942256,30,ParcelLocator_,M,100.0,A,"3340 E WILLIS ST, DETROIT, MI, 48207",13002184.,StreetAddress,,3340 E WILLIS ST,DETROIT,MI,482,RESIDENCE,20140007,3340 E WILLIS,,"DMC CONSULTANTS, INC",2014/01/24 00:00:00+00,1,24,2014,2014/01/31 00:00:00+00,1.0,31,2014,26163518600.0,48207.0,1.0,13002184.7908
13433827.769685,327364.21489501,31,ParcelLocator_,M,100.0,A,"14364 SOUTHFIELD RD, DETROIT, MI, 48223",22073258.,StreetAddress,,14364 SOUTHFIELD RD,DETROIT,MI,482,ABANDONED/VACANT STRUCTUR,20135801,14364 SOUTHFIEL,,"1 WAY SERVICE, INC.",2013/01/21 00:00:00+00,1,21,2013,2013/01/22 00:00:00+00,1.0,22,2013,26163542500.0,48223.0,1.0,22073258.14417
13433761.7992126,328943.360564306,32,ParcelLocator_,M,100.0,A,"14838 SOUTHFIELD RD, DETROIT, MI, 48223",22073294.001,StreetAddress,,14838 SOUTHFIELD RD,DETROIT,MI,482,ABANDONED/VACANT STRUCTUR,20135800,14838-44 SOUTHF,,"1 WAY SERVICE, INC.",2013/01/22 00:00:00+00,1,22,2013,2013/01/23 00:00:00+00,1.0,23,2013,26163542500.0,48223.0,1.0,22073294.001
13460712.3136483,344011.799868762,33,ParcelLocator_,M,100.0,A,"1134 W LANTZ ST, DETROIT, MI, 48203",01007498.,StreetAddress,,1134 W LANTZ ST,DETROIT,MI,482,RESIDENTIAL STRUCTURE,20135605,1134 W LANTZ,PROFESSIONAL ABATEME,ABLE DEMOLITION INC,2013/01/16 00:00:00+00,1,16,2013,2013/01/18 00:00:00+00,1.0,18,2013,26163508000.0,48203.0,,01007498.25042
13433026.4442257,314177.109580055,34,ParcelLocator_,M,100.0,A,"8620 FAUST AVE, DETROIT, MI, 48228",22078501.,StreetAddress,,8620 FAUST AVE,Detroit,MI,482,ABANDONED,20133991,8620 FAUST,,"1 WAY SERVICE, INC.",2013/01/26 00:00:00+00,1,26,2013,2013/01/28 00:00:00+00,1.0,28,2013,26163546000.0,48228.0,1.0,22078501.6096
13506506.1938976,331646.420931757,35,ParcelLocator_,M,100.0,A,"5107 BALFOUR RD, DETROIT, MI, 48224",21068765.,StreetAddress,,5107 BALFOUR RD,Detroit,MI,482,ABANDONED,20133714,5107 BALFOUR,,"1 WAY SERVICE, INC.",2013/01/04 00:00:00+00,1,4,2013,2013/01/04 00:00:00+00,1.0,4,2013,26163501300.0,48224.0,1.0,21068765.16670
13462410.0062336,344203.149278209,36,ParcelLocator_,M,100.0,A,"709 FERNHILL ST, DETROIT, MI, 48203",01007601.,StreetAddress,,709 FERNHILL ST,Detroit,MI,482,ABANDONED SCHEDULED FOR D,20133672,709 FERNHILL,,"DMC CONSULTANTS, INC",2013/01/29 00:00:00+00,1,29,2013,2013/02/01 00:00:00+00,2.0,1,2013,26163508000.0,48203.0,1.0,01007601.25118
13463945.9110892,343094.129265085,37,ParcelLocator_,M,100.0,A,"19308 EXETER ST, DETROIT, MI, 48203",01009050.,StreetAddress,,19308 EXETER ST,Detroit,MI,482,ABANDONED SCHEDULED FOR D,20133671,19308 EXETER,,"DMC CONSULTANTS, INC",2013/01/29 00:00:00+00,1,29,2013,2013/02/01 00:00:00+00,2.0,1,2013,26163508000.0,48203.0,1.0,01009050.24974
13491335.5065617,322815.459973753,38,ParcelLocator_,M,100.0,A,"4772 FISCHER ST, DETROIT, MI, 48214",19010577.,StreetAddress,,4772 FISCHER ST,Detroit,MI,482,VACANT,20133670,4772 FISCHER,,DEN-MAN CONTRACTORS,2013/01/30 00:00:00+00,1,30,2013,2013/02/06 00:00:00+00,2.0,6,2013,26163514500.0,48214.0,1.0,19010577.11619
13430566.882874,313258.991141737,39,ParcelLocator_,M,100.0,A,"8319 GRANDVILLE AVE, DETROIT, MI, 48228",22088934.,StreetAddress,,8319 GRANDVILLE AVE,Detroit,MI,482,VACANT,20133669,8319 GRANDVILLE,,DEN-MAN CONTRACTORS,2013/01/30 00:00:00+00,1,30,2013,2013/02/06 00:00:00+00,2.0,6,2013,26163546000.0,48228.0,1.0,22088934.5411
13503631.8444882,335777.787401572,40,ParcelLocator_,M,100.0,A,"10231 LAKEPOINTE ST, DETROIT, MI, 48224",21065011.,StreetAddress,,10231 LAKEPOINTE ST,DETROIT,MI,482,VACANT,20133668,10231 LAKEPOINT,,DEN-MAN CONTRACTORS,2013/01/29 00:00:00+00,1,29,2013,2013/02/01 00:00:00+00,2.0,1,2013,26163501100.0,48224.0,1.0,21065011.19355
13460536.1781496,291984.741469815,41,ParcelLocator_,M,100.0,A,"8441 MELVILLE ST, DETROIT, MI, 48209",20001088.,StreetAddress,,8441 MELVILLE ST,Detroit,MI,482,VACANT RESIDENTIAL,20133588,8441 MELVILLE,,JOY CONSTRUCTION LEA,2013/01/10 00:00:00+00,1,10,2013,2013/01/30 00:00:00+00,1.0,30,2013,26163524900.0,48209.0,1.0,20001088.521
13484866.9071522,319814.693241477,42,ParcelLocator_,M,100.0,A,"3672 E WARREN AVE, DETROIT, MI, 48207",13002696.,StreetAddress,,3672 E WARREN AVE,DETROIT,MI,482,DWELLING,20133584,3672 E WARREN,,"FARROW GROUP, INC.",2013/01/22 00:00:00+00,1,22,2013,2013/04/15 00:00:00+00,4.0,15,2013,26163518600.0,48207.0,1.0,13002696.9554
13482478.5708661,319133.292650923,43,ParcelLocator_,M,100.0,A,"5109 MITCHELL ST, DETROIT, MI, 48211",11003513.,StreetAddress,,5109 MITCHELL ST,Detroit,MI,482,VACANT RESIDENTIAL,20133580,5109 MITCHELL,,JOY CONSTRUCTION LEA,2013/01/23 00:00:00+00,1,23,2013,2013/02/23 00:00:00+00,2.0,23,2013,26163518400.0,48211.0,1.0,11003513.9101
13485166.7312992,316737.033464566,44,ParcelLocator_,M,100.0,A,"3380 LELAND ST, DETROIT, MI, 48207",13001950.,StreetAddress,,3380 LELAND ST,Detroit,MI,482,VACANT RESIDENTIAL,20133576,3380 LELAND,,JOY CONSTRUCTION LEA,2013/01/23 00:00:00+00,1,23,2013,2013/02/23 00:00:00+00,2.0,23,2013,26163518600.0,48207.0,1.0,13001950.7397
13500225.6781496,338875.678149611,45,ParcelLocator_,M,100.0,A,"14678 ALMA ST, DETROIT, MI, 48205",21014634.,StreetAddress,,14678 ALMA ST,Detroit,MI,482,VACANT RESIDENTIAL,20133571,14678 ALMA,,JOY CONSTRUCTION LEA,2013/01/31 00:00:00+00,1,31,2013,2013/02/23 00:00:00+00,2.0,23,2013,26163500500.0,48205.0,1.0,21014634.21427
13504382.7604987,335415.344816267,46,ParcelLocator_,M,100.0,A,"10034 GREENSBORO AVE, DETROIT, MI, 48224",21065279.,StreetAddress,,10034 GREENSBORO AVE,DETROIT,MI,482,VACANT RESIDENTIAL,20133564,10034 GREENSBOR,AFFORDABLE ABATEMENT,JOY CONSTRUCTION LEA,2013/01/31 00:00:00+00,1,31,2013,2013/02/23 00:00:00+00,2.0,23,2013,26163501200.0,48224.0,1.0,21065279.19246
13504065.949147,337294.15321523,47,ParcelLocator_,M,100.0,A,"10715 WAYBURN ST, DETROIT, MI, 48224",21063760-1,StreetAddress,,10715 WAYBURN ST,Detroit,MI,482,VACANT RESIDENTIAL,20133553,10715 WAYBURN,,JOY CONSTRUCTION LEA,2013/01/31 00:00:00+00,1,31,2013,2013/02/23 00:00:00+00,2.0,23,2013,26163501100.0,48224.0,1.0,21063760-1
13504363.6824147,335380.174868762,48,ParcelLocator_,M,100.0,A,"10026 GREENSBORO AVE, DETROIT, MI, 48224",21065278.,StreetAddress,,10026 GREENSBORO AVE,DETROIT,MI,482,VACANT RESIDENTIAL,20133551,10026 GREENSBOR,,JOY CONSTRUCTION LEA,2013/01/31 00:00:00+00,1,31,2013,2013/02/23 00:00:00+00,2.0,23,2013,26163501200.0,48224.0,1.0,21065278.19246
13462956.1040026,343476.665354326,49,ParcelLocator_,M,100.0,A,"19393 BLAKE ST, DETROIT, MI, 48203",01009359.,StreetAddress,,19393 BLAKE ST,Detroit,MI,482,VACANT RESIDENTIAL,20133547,19393 BLAKE,,JOY CONSTRUCTION LEA,2013/01/31 00:00:00+00,1,31,2013,2013/02/23 00:00:00+00,2.0,23,2013,26163508000.0,48203.0,1.0,01009359.24718
13492529.6755249,344301.675196856,50,ParcelLocator_,M,100.0,A,"19305 STRASBURG ST, DETROIT, MI, 48205",21034414.,StreetAddress,,19305 STRASBURG ST,Detroit,MI,482,VACANT RESIDENTIAL,20133546,19305 STRASBURG,,JOY CONSTRUCTION LEA,2013/01/31 00:00:00+00,1,31,2013,2013/02/23 00:00:00+00,2.0,23,2013,26163503300.0,48205.0,1.0,21034414.25425
13503008.035105,328028.615813643,51,ParcelLocator_,M,100.0,A,"4654 LAKEVIEW ST, DETROIT, MI, 48215",21052336.,StreetAddress,,4654 LAKEVIEW ST,Detroit,MI,482,VACANT RESIDENTIAL,20133544,4654 LAKEVIEW,,JOY CONSTRUCTION LEA,2013/01/31 00:00:00+00,1,31,2013,2013/02/23 00:00:00+00,2.0,23,2013,26163512400.0,48215.0,,21052336.14727
13429830.0190289,307716.889107615,52,ParcelLocator_,M,100.0,A,"6499 AUBURN ST, DETROIT, MI, 48228",22093015.,StreetAddress,,6499 AUBURN ST,Detroit,MI,482,VACANT RESIDENTIAL,20133529,6499 AUBURN,,JOY CONSTRUCTION LEA,2013/01/31 00:00:00+00,1,31,2013,2013/02/23 00:00:00+00,2.0,23,2013,26163545800.0,48228.0,1.0,22093015.3190
13437555.1755249,319829.937335953,53,ParcelLocator_,M,100.0,A,"11409 MANSFIELD ST, DETROIT, MI, 48227",22057943.,StreetAddress,,11409 MANSFIELD ST,Detroit,MI,482,VACANT RESIDENTIAL,20133527,11409 MANSFIELD,,JOY CONSTRUCTION LEA,2013/01/31 00:00:00+00,1,31,2013,2013/02/23 00:00:00+00,2.0,23,2013,26163545200.0,48227.0,1.0,22057943.9533
13497901.957021,345639.103674546,54,ParcelLocator_,M,100.0,A,"14047 LIBERAL ST, DETROIT, MI, 48205",21022840.,StreetAddress,,14047 LIBERAL ST,Detroit,MI,482,VACANT RESIDENCE,20133465,14047 LIBERAL,ENVIRONMENTAL MAINTE,ADAMO DEMOLITION CO,2013/01/08 00:00:00+00,1,8,2013,2013/01/09 00:00:00+00,1.0,9,2013,26163503400.0,48205.0,1.0,21022840.25933
13462586.2867454,343014.544291332,55,ParcelLocator_,M,100.0,A,"19302 HAVANA ST, DETROIT, MI, 48203",01009483.,StreetAddress,,19302 HAVANA ST,Detroit,MI,482,VACANT RESIDENTIAL,20133007,19302 HAVANA,BROWN ENV CONSTRUCTI,BROWN ENV CONSTRUCTI,2013/01/23 00:00:00+00,1,23,2013,2013/01/30 00:00:00+00,1.0,30,2013,26163508000.0,48203.0,1.0,01009483.24703
13464734.0019685,338294.310695544,56,ParcelLocator_,M,100.0,A,"10 W PARKHURST, DETROIT, MI, 48203",01004812.,StreetAddress,,10 W PARKHURST ,Detroit,MI,482,VACANT RESIDENTIAL,20133003,10 W PARKHURST,BROWN ENV CONSTRUCTI,BROWN ENV CONSTRUCTI,2013/01/23 00:00:00+00,1,23,2013,2013/01/30 00:00:00+00,1.0,30,2013,26163507900.0,48203.0,1.0,01004812.21084
13454161.7293307,329524.853674546,57,ParcelLocator_,M,100.0,A,"14656 SANTA ROSA, DETROIT, MI, 48238",16020027.,StreetAddress,,14656 SANTA ROSA,DETROIT,MI,482,VACANT,20121440,14656 SANTA ROS,,GLO WRECKING COMPANY,2012/01/03 00:00:00+00,1,3,2012,2012/01/16 00:00:00+00,1.0,16,2012,26163536400.0,48238.0,1.0,16020027.15425
13449525.0761155,331711.454396322,58,ParcelLocator_,M,100.0,A,"15377 KENTUCKY ST, DETROIT, MI, 48238",16037040.,StreetAddress,,15377 KENTUCKY ST,Detroit,MI,482,VACANT HOME,20121439,15377 KENTUCKY,,GLO WRECKING COMPANY,2012/01/03 00:00:00+00,1,3,2012,2012/01/16 00:00:00+00,1.0,16,2012,26163536300.0,48238.0,1.0,16037040.16723
13423760.3120079,328174.978346452,59,ParcelLocator_,M,100.0,A,"14635 BURGESS, DETROIT, MI, 48223",22112392.,StreetAddress,,14635 BURGESS  ,Detroit,MI,482,ABANDONED BUILDING,20121437,14635 BURGESS,LAKESHORE ENG SERVIC,GLO WRECKING COMPANY,2012/01/03 00:00:00+00,1,3,2012,2012/01/16 00:00:00+00,1.0,16,2012,26163543600.0,48223.0,1.0,22112392.14677
13506179.2709974,330293.992125988,60,ParcelLocator_,M,100.0,A,"4835 BEACONSFIELD ST, DETROIT, MI, 48224",21066268.,StreetAddress,,4835 BEACONSFIELD ST,DETROIT,MI,482,RESIDENTIAL STRUCTURE,20121398,4835 BEACONSFIE,PROFESSIONAL ABATEME,ABLE DEMOLITION INC,2012/01/30 00:00:00+00,1,30,2012,2012/02/03 00:00:00+00,2.0,3,2012,26163502000.0,48224.0,1.0,21066268.16005
13427544.3418635,339675.00131233,61,ParcelLocator_,M,100.0,A,"18541 VAUGHAN ST, DETROIT, MI, 48219",22098107.001,StreetAddress,,18541 VAUGHAN ST,Detroit,MI,482,VACANT,20121443,18541 VAUGHAN,,GLO WRECKING COMPANY,2012/01/03 00:00:00+00,1,3,2012,2012/01/16 00:00:00+00,1.0,16,2012,26163541100.0,48219.0,1.0,22098107.001
13425075.8612205,325410.997703418,62,ParcelLocator_,M,100.0,A,"13994 WESTBROOK ST, DETROIT, MI, 48223",22109631.,StreetAddress,,13994 WESTBROOK ST,Detroit,MI,482,VACANT,20121442,13994 WESTBROOK,,GLO WRECKING COMPANY,2012/01/03 00:00:00+00,1,3,2012,2012/01/16 00:00:00+00,1.0,16,2012,26163543800.0,48223.0,1.0,22109631.13062
13422508.453084,325920.514435694,63,ParcelLocator_,M,100.0,A,"14141 DOLPHIN ST, DETROIT, MI, 48223",22115086.,StreetAddress,,14141 DOLPHIN ST,Detroit,MI,482,VACANT,20121441,14141 DOLPHIN,,GLO WRECKING COMPANY,2012/01/03 00:00:00+00,1,3,2012,2012/01/16 00:00:00+00,1.0,16,2012,26163543800.0,48223.0,1.0,22115086.13523
13452552.3326772,290064.161089242,64,ParcelLocator_,M,100.0,A,"569 COLONIAL ST, DETROIT, MI, 48217",20016246.,StreetAddress,,569 COLONIAL ST,Detroit,MI,482,ABANDONED,20121177,569 COLONIAL,ENVIRONMENTAL MAINTE,ABC DEMOLITION COMPA,2012/01/31 00:00:00+00,1,31,2012,2012/03/15 00:00:00+00,3.0,15,2012,26163524500.0,48217.0,1.0,20016246.359
