OBJECTID,ALLOT_NO,ALLOT_NAME,GIS_ACRES,ADMIN_ST,ST_ALLOT,ACTIVE_DT,ADM_UNIT_CD,created_date,last_edited_date,created_user,last_edited_user,GlobalID,SHAPE_Length,SHAPE_Area
3756,06706,Burdick East of Ranch,1408.81548419,CO,CO06706,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{29DCC9A3-4A3C-4C85-8DD7-D0763055C724},12682.1694299968,5701273.990158
3757,06714,Dougherty Gulch,4636.40359553,CO,CO06714,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{355A32E7-6A05-44AE-9FCE-3C954E18EA5C},30554.4122604188,18762859.6674006
3758,06731,Baker Canyon,194.48688899,CO,CO06731,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{E19E7447-02FF-4E0B-82E4-01E50A0F75EA},8476.92586910202,787060.515786215
3759,06710,Conn Creek/McCurdy,1979.29107427,CO,CO06710,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{33A97D84-80AC-4EB3-8C3B-96C7EBD7D59C},19974.9039179253,8009906.79569375
3760,06751,Cow Mountain,2518.43814449,CO,CO06751,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{287E3E27-C669-4AEB-95F0-214B686A9DDE},53690.7869105057,10191757.57945
3761,06727,IA East of Ranch,2339.36319148,CO,CO06727,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{6DDCC705-C62C-48A0-BC06-D9F3DD2A7791},21754.0376912122,9467066.95575705
3762,06718,North East Spear,7760.14417837,CO,CO06718,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{06FBB9F3-4283-4E3C-8D16-F556F755B5CA},28551.0892960428,31404189.3069913
3763,06732,Logan End Common,4583.35316199,CO,CO06732,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{0F04DA94-3C9A-4E10-AD87-20339CC02C1D},31659.1357152085,18548172.1797248
3764,06746,McKay Fork,12847.02184591,CO,CO06746,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{B4E6CFF7-25B5-4B78-A666-AF8099528EBB},49920.927345689,51990052.8658316
3765,06724,Kimball Creek,23270.50463702,CO,CO06724,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{B9AB0D7F-BDF9-4A04-A277-8B721D54B669},92225.2064989028,94172391.1428148
3766,06703,Brink Pedigo Gulch,8253.24533096,CO,CO06703,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{A87F01BF-4549-4C4A-985F-8C571A8CD5FC},32333.424724552,33399698.8732437
3767,06749,Stoner-Walker,7742.80961722,CO,CO06749,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{279E8FFC-9442-4BB5-AAE9-2973270D869F},36399.0995388953,31334038.8268587
3768,06716,East End Cow Mountain,417.28156614,CO,CO06716,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{08FA11E4-C497-437A-B282-D607D27A2B43},16549.1745677101,1688678.58588096
3769,06753,West Spears,7279.62006058,CO,CO06753,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{E228DEF9-8B1D-45F9-8D08-7FE5ED741CD0},28995.7771914193,29459577.1948062
3770,06752,West Logan Wash,466.69780752,CO,CO06752,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{A6CB7B7C-370E-41DF-BBB4-A837F83051B2},7581.48003937838,1888659.01967191
3771,16502,Coal Gulch,23688.42221723,CO,CO16502,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{87807137-B06B-4D9D-9CDD-B6E541C03F1B},67601.6384790044,95863643.5863185
3772,06726,Horse Mountain,892.66002483,CO,CO06726,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{C2AB4169-D479-4ED2-BFE7-8B0FDFFD300F},24813.373632427,3612466.95451915
3774,06733,Logan Gulch,3892.28455571,CO,CO06733,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{B6E5D086-87CB-46AB-AE19-A53E1A7DFDB4},23569.6829947265,15751516.7520858
3775,06702,Berry Homestead,4136.89811315,CO,CO06702,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{BB7D7D21-E610-456F-A4A6-E0B9C7BE45B2},17377.212683813,16741432.6980141
3776,16503,Garr Mesa,10397.47003976,CO,CO16503,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{A3ED0759-FCCB-4F5A-9C86-39F868469AF9},40388.2441943838,42853510.1665576
3777,16507,Little Salt,30534.61021114,CO,CO16507,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{FC75535D-1183-4869-9BB2-67B9DD8A6C3D},75992.1182482261,123569183.439866
3778,06739,South East Spear,6500.06743954,CO,CO06739,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{2A81C647-C8CB-4C2E-B589-26831BFB1B91},31947.261795444,26304839.6637309
3779,06715,Dry Fork,14166.60230835,CO,CO06715,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{FB9747E4-E4EE-412D-80C5-2272973D7F9A},46487.6597061698,57330205.5172284
3780,06740,Homestead,5297.80935951,CO,CO06740,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{04288498-5B17-43BE-8006-75AD6FCB2352},22610.7164069089,21439473.8311646
3781,16602,East Salt,119828.2707655,CO,CO16602,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{2445DFD4-8E55-4B3C-B346-97F69F2E9E89},161230.026831052,484151365.372255
3782,16501,Big Salt,30160.43675684,CO,CO16501,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{9558D6F4-310A-4634-96F7-6F35194C7AC4},104930.600042777,122848561.757902
3783,06601,Badger Wash,7819.26150713,CO,CO06601,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{46C4357E-0D67-418B-A5A1-42FC44205428},33214.0404580859,31643428.6485646
3784,06704,Corcoran Wash,11302.7777056,CO,CO06704,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{B05D4693-0D64-454F-933C-523D8A25DD47},49911.8206791616,45740718.5385238
3785,06745,Red Rock,12420.77208019,CO,CO06745,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{3E82344A-040C-41E7-85A1-747B2ED2DCB0},42449.0931007294,50265081.2645566
3786,06712,Coon Hollow Common,19027.63594079,CO,CO06712,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{7F6DA45D-CBF6-4A12-8EAE-A1B48C60D2D6},65131.3148098373,77002110.7100616
3787,16833,Kinney,1514.49675403,CO,CO16833,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{081D7636-6356-41B7-8FA1-94CFE2B5AD81},19312.4409195609,6128950.91128701
3788,06841,Hittle Place Individual,442.89945872,CO,CO06841,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{92DACA67-1880-489A-B11A-362156DFB563},8096.59413230302,1792350.51901296
3789,16805,Hawxhurst Common,3978.20428315,CO,CO16805,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{A314921E-0ECB-492F-B356-FB3A5A97C9A7},21724.4075433449,16099221.5528811
3790,06839,Collier,941.55445539,CO,CO06839,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{2F8A773E-89AE-4130-9199-276E00D15776},11392.2589693553,3810335.69483976
3791,06843,Big Park,19805.3493642,CO,CO06843,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{CED15973-37E4-42B0-9CF8-D1A27643EAFA},63433.3210128786,80149405.2723732
3792,16803,Grassy Gulch Common,482.76424596,CO,CO16803,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{F0971789-9804-4580-9899-CAA48207CF9A},7081.58939253115,1953677.59020354
3793,16504,Hunter Wash,14104.10629191,CO,CO16504,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{6DEE91BA-A0F6-4BCD-9A6C-9ED9898706EE},44110.2791186579,57077293.1296127
3795,16811,Lyons/anderson,2121.64611229,CO,CO16811,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{C83BB5E7-5DD0-44B7-9874-D5192EB5EAED},23060.7359183694,8585997.19558179
3796,16508,Mogensen,1688.11897789,CO,CO16508,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{49278807-DB2A-44E7-9F06-69BDA29C35D5},13525.4061050907,6763482.45558317
3798,16806,Salt Creek Common,2895.59248767,CO,CO16806,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{2E589C87-349E-4035-9EA1-0D28A3C47CF7},23930.2745782668,11718047.0553891
3799,16603,West Salt common,104361.70781098,CO,CO16603,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{EDF8AA94-E7F4-4E6E-A6E0-2DE2BF7E39A0},230901.537468292,422996132.919771
3800,16823,Halfway House,1217.02015292,CO,CO16823,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{9A4B2E34-ADCB-41E8-8F9B-F7886C867BA4},10836.832151772,4925105.82202389
3801,06801,Sunnyside Common,6545.03872646,CO,CO06801,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{7D9777D7-9AEE-42C2-A77D-FF8A880B3A5B},47657.1012284911,26580836.4598818
3802,06847,Jerry Gulch,2423.22010714,CO,CO06847,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{9CEA6D95-692F-4734-A022-54B727F34847},24401.7838203026,9712419.37342044
3803,16836,Long,1311.93303212,CO,CO16836,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{FEB72923-F568-4BF7-9B5A-C8A73D9718E7},11689.7180997709,5309204.61680735
3804,16604,Crow Bottom,3673.2846334,CO,CO16604,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{1AAFE1D4-712B-4B0C-898A-547A61E4D3C7},18881.1011538502,14865255.5099719
3805,06846,Robbins,719.86733185,CO,CO06846,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{C9BAE70B-362C-47D5-ACA2-CD89EF844F95},10613.6777055306,2913199.73515995
3806,06713,Winter Flats-Deer Park,34136.14619205,CO,CO06713,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{3A680820-66EF-4EA7-B8B2-94F9442C989B},65935.2691108909,138144082.453264
3807,06854,East of Collbran,429.30894814,CO,CO06854,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{A380257B-ECBD-4EB2-B1AB-A74DAB914578},14482.4084763762,1737351.64258563
3808,16610,Maluy,2144.86010168,CO,CO16610,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{6210030D-4B9F-4B70-ACAD-AE485A3555E7},14427.1039880723,8679940.87764865
3809,06820,Gapter,623.59049863,CO,CO06820,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{E519E780-974F-47C2-9F9E-E9F8B8FE386E},7205.45904346173,2523581.21433623
3810,16832,Leon,1726.15815946,CO,CO16832,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{8F1FF397-E48A-4D47-A1C8-B4EBC979567D},14428.0316222261,6985514.23368047
3811,16830,Horizon,518.54846356,CO,CO16830,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{F38F407F-5AF0-45A2-B3F4-F1A16BA11826},7435.61560468436,2098491.18007078
3812,16125,Lower Bench,14874.04129899,CO,CO16125,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{D4A09735-6CA7-4D64-A322-D914CC377B6D},162089.815145003,60193109.5578704
3813,16509,Mount Garfield,30942.88359052,CO,CO16509,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{071BA40E-70DF-4DAA-B4AB-22741DC84B0B},62408.3969366713,124937507.518201
3814,16809,Wild Country,12459.7301298,CO,CO16809,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{10424C98-1F84-45CF-AAB9-65B1E105197A},45103.5376240783,50422738.8971647
3815,16838,Lorimor,389.07361341,CO,CO16838,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{0E400651-6882-4372-8FEB-13106D25D51F},8704.85656632639,1574525.05120515
3816,16831,Kuhlman,426.01333225,CO,CO16831,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{9FA4E5D6-C2EC-4085-8876-91DF4632C169},11864.5562472496,1724014.78966364
3817,06853,Molina Place,244.28743739,CO,CO06853,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{1DBD5A1F-4035-4465-97EC-5B6575560DBE},7229.93813187066,988596.184913019
3818,16819,Erven,28.52708393,CO,CO16819,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{04DF9AD6-629D-4E09-AD8C-E00070A8F829},1905.86095498406,115445.012829078
3819,16130,Colorado Ridge,10875.06204278,CO,CO16130,9999/09/09 00:00:00+00,COG01000,2023/04/17 21:11:17+00,2023/04/17 21:11:17+00,msarhan@blm.gov_BLM_EGIS,msarhan@blm.gov_BLM_EGIS,{AC12549D-9072-4B66-8FBF-9BA2EE876DEC},99870.7370430667,44009814.6718356
