OBJECTID,PROP_TYPE,PROP_NAME,LINK,ACCESS,Shape__Area,Shape__Length
23,Wildlife Area,Cache Creek Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Cache-Creek-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,16903038.328125,48785.0437708103
24,Wildlife Area,Camp Cady Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Camp-Cady-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,11541626.4296875,23960.0605202238
25,Wildlife Area,San Luis Obispo Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/San-Luis-Obispo-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,2785329.58984375,7329.49107901494
26,Wildlife Area,Cantara -- Ney Springs Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Cantara-Ney-Springs-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,1099671.5546875,9182.03567605478
27,Public Access,East Fork Carson River Fishing Access, ,Open,283448.6484375,2129.7971889353
28,Wildlife Area,Cinder Flats Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Cinder-Flats-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,5181316.84375,9655.06006675368
29,Public Access,Cliff House Fishing Access, ,Open,21936.54296875,970.653735770185
30,Ecological Reserve,Coachella Valley Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Coachella-Valley-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,10602246.4882813,49318.4320673019
31,Public Access,North Beach Fishing Access, ,Open,15155.4453125,573.170284046604
32,Public Access,Gazos Creek Fishing Access, ,Open,51440.87890625,1287.59522627191
33,Public Access,Colorado River Access, ,Open,2825073.4375,7495.82261212153
34,Wildlife Area,Coon Hollow Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Coon-Hollow-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,5013332.22265625,20502.4830867681
35,Wildlife Area,Cottonwood Creek Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Cottonwood-Creek-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,40786848.7070313,46605.8605462491
36,Public Access,Curry Mountain Public Access, ,Open,585772.57421875,5078.16276901286
37,Fish Hatchery,Darrah Springs Fish Hatchery,http://www.wildlife.ca.gov/Fishing/Hatcheries/Darrah-Springs,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,582006.56640625,3209.60969193552
38,Public Access,Deadwood Hole Fishing Access, ,Open,27416.2265625,915.470832621024
39,Wildlife Area,Kinsman Flat Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Kinsman-Flat-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,3316482.01953125,11645.6330399104
40,Wildlife Area,Antelope Valley Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Antelope-Valley-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,39092730.625,79374.8277252536
41,Wildlife Area,Rhode Island Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Rhode-Island-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,691089.71484375,4424.98038759376
42,Wildlife Area,Doyle Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Doyle-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,72182432.8789063,183859.746240404
43,Ecological Reserve,Fish Slough Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Fish-Slough-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,1186781.47265625,5776.80626920657
44,Wildlife Area,Eel River Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Eel-River-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,16523634.6484375,65985.5867952719
45,Ecological Reserve,Elkhorn Slough Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Elkhorn-Slough-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,11063431.78125,47935.2598050708
46,Wildlife Area,Feather River Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Feather-River-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,16912207.484375,65600.6850387187
47,Fish Hatchery,Mount Shasta Fish Hatchery,http://www.wildlife.ca.gov/Fishing/Hatcheries/Mount-Shasta,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,235068.57421875,2356.1639547109
48,Wildlife Area,Kelso Peak & Old Dad Mountains Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Kelso-Peak-Old-Dad-Mountains-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,627210754.390625,125712.650381513
49,Fish Hatchery,Fillmore Fish Hatchery,http://www.wildlife.ca.gov/Fishing/Hatcheries/Fillmore,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,145046.7109375,1722.8281097825
50,Public Access,Greyhound Rock Fishing Access, ,Open,436901.45703125,6787.42257212071
51,Public Access,Middle Fork Feather River Fishing Access, ,Open,75646.9765625,2541.97996766603
52,Public Access,Bridge Arbor Fishing Access, ,Open,14449.484375,574.047915747624
53,Public Access,Brannan Island Fishing Access, ,Open,47939.95703125,1940.72095396272
54,Public Access,Feather River Fishing Access, ,Open,145433.42578125,6169.73898896735
55,Public Access,Fox Grove Fishing Access, ,Open,333343.88671875,3876.16380102579
56,Public Access,American River Access, ,Open,483937.46875,4846.18118513419
57,Ecological Reserve,Goleta Slough Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Goleta-Slough-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,2270454.6171875,11607.8044153759
58,Wildlife Area,Gray Lodge Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Gray-Lodge-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,62391764.4414063,47444.6573464083
59,Wildlife Area,Heenan Lake Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Heenan-Lake-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,11032443.9804688,18464.8367603327
60,Wildlife Area,Honey Lake Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Honey-Lake-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,53776448.90625,61704.9583439735
61,Wildlife Area,Horseshoe Ranch Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Horseshoe-Ranch-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,37239469.1679688,62450.3780122302
62,Public Access,Hudeman Slough Fishing Access, ,Open,25697.16796875,1000.10990507543
63,Public Access,Coalinga Mineral Springs Public Access, ,Open,2001011.59375,5992.62863202606
64,Wildlife Area,Indian Valley Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Indian-Valley-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,24912966.3007813,79341.2663740469
65,Public Access,Keys Creek Fishing Access, ,Open,174286.4140625,4566.56135969321
66,Public Access,Klamathon Station, ,Closed,29500.21484375,719.736826254583
67,Public Access,Point Reyes Station Public Access, ,Open,76320.18359375,1603.0717990845
68,Wildlife Area,Lake Earl Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Lake-Earl-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,43300923.5,198399.141407596
69,Public Access,Samoa Peninsula Public Access, ,Open,90123.7421875,1379.25656460367
70,Wildlife Area,Los Banos Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Los-Banos-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,40551565.3789063,47066.5881001732
71,Fish Hatchery,Mad River Fish Hatchery,http://www.wildlife.ca.gov/Fishing/Hatcheries/Mad-River,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,308444.48046875,3012.91248772396
72,Ecological Reserve,Magnesia Spring Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Magnesia-Spring-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,22340435.6289063,37839.8919588718
73,Wildlife Area,Butte Valley Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Butte-Valley-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,97288851.9453125,49886.3676808631
74,Wildlife Area,Mendota Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Mendota-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,76329118.8085938,59329.504936711
75,Wildlife Area,Fay Slough Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Fay-Slough-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,3370030.91015625,10975.0398595005
76,Wildlife Area,Miner Slough Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Miner-Slough-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,178229.2265625,2028.22431742844
77,Fish Hatchery,Mojave River Fish Hatchery,http://www.wildlife.ca.gov/Fishing/Hatcheries/Mojave-River,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,105435.87109375,1474.99359140662
78,Wildlife Area,Moss Landing Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Moss-Landing-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,4689900.7890625,21263.3458422541
79,Ecological Reserve,Corte Madera Marsh Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Corte-Madera-Marsh-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,3926987.37890625,17008.7445997476
80,Wildlife Area,Napa -- Sonoma Marshes Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Napa-Sonoma-Marshes-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,100022082.1875,173753.547494676
81,Ecological Reserve,Napa River Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Napa-River-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,482651.29296875,3286.75110061154
82,Public Access,Noyo River Fishing Access, ,Open,11004.95703125,459.510770031483
83,Wildlife Area,Oroville Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Oroville-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,78853496.7578125,118537.120344002
84,Wildlife Area,Petaluma Marsh Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Petaluma-Marsh-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,28461906.4257813,76917.4936865742
85,Ecological Reserve,Pine Hill Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Pine-Hill-ER,Restricted; Refer to regulations or contact CDFW regional or area office prior to visit.,4462262.28515625,23208.1996480449
86,Ecological Reserve,Piute Creek Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Piute-Creek-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,865845.65625,4437.31090132365
87,Public Access,Tulloch Reservoir Public Access, ,Open,593132.59765625,4104.849648607
88,Wildlife Area,Putah Creek Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Putah-Creek-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,4447539.6328125,17259.9645780426
89,Wildlife Area,Red Lake Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Red-Lake-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,5642434.02734375,23446.4292169927
90,Ecological Reserve,River Spring Lakes Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/River-Springs-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,4098607.359375,11098.4794434324
91,Public Access,Rutherford Crossroad, ,Open,11140.74609375,442.397108293459
92,Ecological Reserve,Saline Valley Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Saline-Valley-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,3346117.96484375,10158.8955507995
93,Ecological Reserve,San Dieguito Lagoon Ecological Reserve,https://wildlife.ca.gov/Lands/Places-to-Visit/San-Dieguito-Lagoon-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,567114.15625,3598.83638894359
94,Ecological Reserve,San Elijo Lagoon Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/San-Elijo-Lagoon-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,4187465.19921875,20537.8175677764
95,Wildlife Area,San Jacinto Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/San-Jacinto-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,107016422.617188,236176.09479946
96,Fish Hatchery,San Joaquin Fish Hatchery,http://www.wildlife.ca.gov/Fishing/Hatcheries/San-Joaquin,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,328163.21484375,3309.45650335693
97,Wildlife Area,San Pablo Bay Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/San-Pablo-Bay-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,70975015.9648438,51373.2734739233
98,Public Access,Lewiston Fishing Access, ,Open,342846.0390625,6530.86869453273
99,Wildlife Area,Slinkard - Little Antelope Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Slinkard-Little-Antelope-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,75920836.2890625,117939.768303505
100,Public Access,Smith River Fishing Access, ,Open,20208.7265625,858.128187837018
101,Wildlife Area,Spenceville Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Spenceville-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,78980679.4101563,79944.6490364971
102,Public Access,Suisun Marsh Public Access, ,Open,17852.5,658.988433527623
103,Wildlife Area,Surprise Valley Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Surprise-Valley-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,3340148.11328125,8297.41243119017
104,Wildlife Area,Sutter Bypass Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Sutter-Bypass-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,27566222.7851563,262348.140028824
105,Ecological Reserve,Sycamore Canyon Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Sycamore-Canyon-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,755327.09765625,5385.81403544166
106,Wildlife Area,Tehama Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Tehama-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,304328066.535156,174061.56657018
107,Ecological Reserve,Woodbridge Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Woodbridge-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,2309168.68359375,15471.3770109658
108,Ecological Reserve,Tomales Bay Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Tomales-Bay-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,2874573.54296875,7315.78198593958
109,Wildlife Area,Truckee River Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Truckee-River-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,36476333.984375,100385.077121708
110,Ecological Reserve,Upper Newport Bay Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Upper-Newport-Bay-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,4438673.1015625,16181.6790032078
111,Wildlife Area,Mouth of Cottonwood Creek Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Mouth-of-Cottonwood-Creek-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,7229640.66015625,26450.3961725873
112,Wildlife Area,Merrill's Landing Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Merrills-Landing-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,2121507.64453125,6144.84528549702
113,Public Access,Vallejo Fishing Pier, ,Open,2987.078125,264.122352914048
114,Ecological Reserve,Walker Canyon Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Walker-Canyon-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,2932226.5,13166.4708001692
115,Wildlife Area,Imperial Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Imperial-Valley-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,45267841.2148438,81808.3605061479
116,Ecological Reserve,Watsonville Slough Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Watsonville-Slough-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,3607417.75390625,18476.973434624
117,Wildlife Area,Waukell Creek Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Waukell-Creek-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,193538.33984375,3601.79058007803
118,Wildlife Area,Decker Island Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Decker-Island-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,184238.78515625,1899.07881454956
119,Wildlife Area,Grizzly Island Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Grizzly-Island-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,84241567.078125,131110.755435721
120,Ecological Reserve,Albany Mudflats Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Albany-Mudflats-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,1042740.76953125,5459.53907381398
121,Ecological Reserve,Bair Island Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Bair-Island-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,12450849.2617188,26314.482208768
122,Wildlife Area,Big Lagoon Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Big-Lagoon-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,10423482.1015625,17884.1724319359
123,Wildlife Area,Biscar Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Biscar-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,3871887.45703125,14742.103114072
124,Fish Hatchery,Black Rock Fish Hatchery,http://www.wildlife.ca.gov/Fishing/Hatcheries/Black-Rock,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,277122.5078125,2247.66661123419
125,Ecological Reserve,Bolsa Chica Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Bolsa-Chica-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,7773611.30078125,15407.0633963113
126,Public Access,Bonnyview Road Fishing Access, ,Open,41795.609375,1021.31623864325
127,Ecological Reserve,Butte Creek Canyon Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Butte-Creek-Canyon-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,1923581.76953125,16169.7567127113
128,Ecological Reserve,Butte Creek House Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Butte-Creek-House-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,2288212.1875,7462.10547216485
129,Public Access,Cemetery Hole Fishing Access, ,Open,130075.04296875,1544.59597008666
130,Public Access,Clarksburg Fishing Access, ,Open,23420.0546875,1115.69597873569
131,Ecological Reserve,Cosumnes River Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Cosumnes-River-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,30379278.859375,63999.2106539299
132,Fish Hatchery,Crystal Lake Fish Hatchery,http://www.wildlife.ca.gov/Fishing/Hatcheries/Crystal-Lake,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,267521.38671875,2656.69539733962
133,Public Access,Cutoff Slough, ,Open,1587.515625,229.227531672058
134,Ecological Reserve,Deep Springs Lake Ecological Reserve,http://wildlife.ca.gov/Lands/Places-to-Visit/Deep-Springs-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,4646923.7734375,10161.784768557
135,Public Access,Donner Creek Public Access, ,Open,158571.3515625,5212.80250171874
136,Fish Hatchery,Feather River Fish Hatchery,http://www.wildlife.ca.gov/Fishing/Hatcheries/Feather-River,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,84059.5703125,2219.73567171245
137,Public Access,Fields Landing Coastal Fishing Access, ,Open,13341.6796875,547.410222684029
138,Fish Hatchery,Fish Springs Fish Hatchery,http://www.wildlife.ca.gov/Fishing/Hatcheries/Fish-Springs,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,595460.35546875,3300.93232543716
139,Wildlife Area,Fremont Weir Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Fremont-Weir-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,9709020.94921875,15917.2033623036
140,Public Access,Georgiana Slough Fishing Access, ,Open,46523.015625,2119.71716782373
141,Public Access,Healdsburg Fishing Access, ,Open,45452.34375,1163.42892864295
142,Public Access,Hermosa Beach Fishing Pier, ,Open,14563.3203125,1013.70801481522
143,Fish Hatchery,Hot Creek Fish Hatchery,http://www.wildlife.ca.gov/Fishing/Hatcheries/Hot-Creek,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,1358023.08203125,6087.26659171706
144,Public Access,Indian Creek Public Access, ,Open,511327.21875,4843.20627308137
145,Ecological Reserve,Kerman Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Kerman-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,11223017.5859375,19227.7506903425
146,Fish Hatchery,Kern River Fish Hatchery,http://www.wildlife.ca.gov/Fishing/Hatcheries/Kern-River,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,170315.21484375,1762.89873454314
147,Ecological Reserve,King Clone Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/King-Clone-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,3102726.22265625,9682.25306233925
148,Public Access,Klamath River Fishing Access, ,Open,274994.62890625,7914.42321441031
149,Public Access,Knights Landing Fishing Access, ,Open,37274.91796875,916.492473928093
150,Wildlife Area,Lake Sonoma Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Lake-Sonoma-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,57014495.78125,102867.430272403
151,Wildlife Area,Little Panoche Reservoir Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Little-Panoche-Reservoir-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,5644366.46875,14420.0457675204
152,Fish Hatchery,Moccasin Creek Fish Hatchery,http://www.wildlife.ca.gov/Fishing/Hatcheries/Moccasin,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,138526.828125,1820.10245050965
153,Public Access,Montezuma Slough, ,Open,1312.52734375,154.327620761201
154,Ecological Reserve,Morro Dunes Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Morro-Dunes-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,1695360.3671875,7860.15923265533
155,Public Access,Mouth of Mill Creek Fishing Access, ,Open,2639.7890625,232.529391326856
156,Fish Hatchery,Nimbus Dam Fish Hatchery,http://www.wildlife.ca.gov/Fishing/Hatcheries/Nimbus,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,259344.734375,3030.68026267108
157,Wildlife Area,O'Neill Forebay Wildlife Area,http://www.wildlife.ca.gov/Lands/Places-to-Visit/ONeill-Forebay-WA,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,4269652.59765625,9659.31789786972
158,Ecological Reserve,Oasis Spring Ecological Reserve,http://www.wildlife.ca.gov/Lands/Places-to-Visit/Oasis-Spring-ER,Open; Refer to regulations or contact CDFW regional or area office prior to visit.,2832529.16015625,7747.99756926883
159,Public Access,Oyster Point Fishing Pier, ,Open,4926.625,471.107451453691
160,Public Access,Pebble Beach Fishing Access, ,Open,60218.2578125,1623.40259364879
