ETC_ID,Q1A_Qual_of_services_in_city,Q1B_Appearance_of_city,Q1C_Image_of_city,Q1D_Planning_for_growth,Q1E_Quality_of_life,Q1F_Feeling_of_safety,Q1G_Efforts_to_promote_diversity,Q1H_Promotion_of_inclusiveness,Q1I_Direction_of_city,Q1J_Leadership_of_officials,Q1K_Public_involvement,Q1L_Ethical_conduct_of_employees,Q1M_Sustainability_programs,Q1N_Informed_about_budget,Q1O_Opport_to_express_ideas,Q2_Usage_of_city_services_facilities,Q2_2nd,Q2_3rd,Q2_4th,Q2_5th,Q2_6th,Q2_7th,Q2_8th,Q2_9th,Q2_10th,Q2_11th,Q2_12th,Q3A_Condition_of_streets,Q3B_Condition_of_sidewalks,Q3C_Maint_of_private_property,Q3D_Condition_of_alley,Q3E_Feeling_of_safety,Q3F_Quality_of_neigh_park,Q3G_Adequacy_of_lighting,Q4_Services_should_emphasize,Q4_2nd,Q5_Overall_neighborhood,Q6_Most_important_public_safety_concern,Q7A_Qual_of_large_parks,Q7B_Qual_of_city_rec_centers,Q7C_Qual_of_city_swim_pools,Q7D_Qual_of_athletic_fields,Q7E_Qual_of_youth_rec,Q7F_Qual_of_adult_rec,Q7G_Qual_of_golf_courses,Q7H_Qual_of_arts_cultural,Q7I_Library_programs,Q8_Programs_emphasize_most,Q8_2nd,Q9A_Library_services,Q9B_Condition_of_streets,Q9C_Clarity_of_street_signs,Q9D_Local_transit,Q9E_Mgmt_of_traffic_flow,Q9F_Walk_bike_paths,Q9G_Info_about_programs_events,Q9H_Enforce_prop_maint_codes,Q9I_Landscape_maintenance,Q9J_Appearance_of_resid_prop,Q9K_Appearance_of_comm_prop,Q9L_Cleanliness_of_streets,Q9M_Resid_trash_collection,Q9N_Recycling_services,Q9O_Bulky_item_pickup,Q9P_Water_service,Q9Q_Local_police_services,Q9R_Enforcement_of_traffic_laws,Q9S_Qual_of_local_fire_services,Q9T_Efforts_to_prevent_crime,Q9U_Qual_of_parks_rec,Q9V_Maint_of_city_parks,Q10_Services_emphasize_most,Q10_2nd,Q10_3rd,Q11_Social_human_services_used,Q11_2nd,Q11_3rd,Q11_4th,Q11_5th,Q11_6th,Q11_7th,Q11_8th,Q11_9th,Q12_Social_human_emphasize_most,Q12_2nd,Q12_3rd,Q13_How_get_info_about_Tempe,Q13_2nd,Q13_3rd,Q13_4th,Q13_5th,Q13_6th,Q13_7th,Q13_8th,Q13_9th,Q13_10th,Q13a_Prefer_to_get_info,Q13a_2nd,Q13a_3rd,Q14A_Contacted_Tempe_in_past_year,Q14B_Easy_to_contact,Q14C_Way_you_were_treated,Q14D_Accuracy_of_info_given,Q14E_How_quickly_staff_responded,Q14F_How_well_issue_handled,Q15_Overall_priorities,Q15_2nd,Q15_3rd,Q15_4th,Q16_One_improvement_in_neighborhood,Q17_One_problem_to_work_on,Q18A_How_long_in_Tempe,Q18B_Age,Q18C_Gender,Q18D_Used_public_transit,Q18E_Full_time_student,Q18F_Own_or_rent,Q18G_Have_an_alley,Q18H_Highest_level_of_educ,Q18I_Have_cable_television,Q18J_Internet_access,Q18K_Visited_downtown_Tempe,Q18L_Race_ethnicity,Q18L_2nd,Q18L__3rd,Q18L__4th,Q18L__Other,Q20_Zip,OBJECTID
11,4,5,5,3,4,4,3,4,4,4,3,4,4,4,3,1,3.0,5.0,12.0,,,,,,,,,4,4.0,4,4,4,4,2,G,E,4,CITY TRAFFIC,3,3,3,3,3,3,3,3,4,Z,,4,4,4,4,2,5,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,E,T,D,99,,,,,,,,,99,,,5.0,7.0,9.0,,,,,,,,99,,,2,,,,,,9,10.0,,,MORE STREET LIGHTS,TRAFFIC FLOW,5,5,2,1,2,1,1,4,1,1,1,2,,,,,85282,10
12,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,1,,,,,,,,,,,,4,4.0,3,4,4,3,4,F,A,4,SAFETY,3,3,3,3,3,3,3,3,4,Z,,5,4,4,4,4,3,3,3,4,4,4,4,5,5,5,5,4,3,4,4,2,4,T,U,J,99,,,,,,,,,99,,,99.0,,,,,,,,,,5,9.0,7.0,1,5.0,9.0,9.0,5.0,5.0,4,7.0,,,,,5,7,2,2,2,1,9,3,2,2,1,3,,,,,85282,11
13,4,3,3,9,3,4,4,4,3,4,3,4,4,3,3,1,11.0,,,,,,,,,,,3,4.0,4,4,4,9,4,C,E,4,STRANGERS IN NEIGHBORHOOD,4,4,4,9,9,9,9,9,9,A,I,4,3,4,9,3,9,4,9,3,3,3,4,5,5,5,4,4,4,5,4,4,9,E,J,K,99,,,,,,,,,9,2.0,3.0,5.0,,,,,,,,,,5,9.0,8.0,2,,,,,,2,8.0,,,LIMIT TO 2 CARS PARKED OUTSIDE,TRAFFIC VOLUME 3-7 PM,5,7,2,2,2,2,1,4,1,1,1,2,,,,,85282,12
14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3.0,,,,,,,,,,,4,4.0,2,4,4,4,4,C,,4,,5,3,3,3,3,3,3,4,3,E,,3,4,9,3,4,4,4,2,4,3,4,4,4,4,4,4,4,5,5,5,4,4,R,T,H,99,,,,,,,,,99,,,1.0,5.0,7.0,10.0,,,,,,,7,1.0,5.0,2,,,,,,6,11.0,,,,,5,7,2,2,2,1,1,3,1,1,1,2,,,,,85281,13
15,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,1,,,,,,,,,,,,4,4.0,4,4,4,3,3,A,E,4,,3,3,3,3,3,3,3,3,3,A,D,4,4,4,3,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,Z,,,99,,,,,,,,,99,,,99.0,,,,,,,,,,99,,,2,,,,,,4,8.0,,,,,5,5,1,2,2,2,1,4,1,1,1,2,,,,,85282,14
16,4,4,4,4,4,4,4,3,4,4,3,4,4,2,2,2,3.0,6.0,11.0,,,,,,,,,4,4.0,4,3,4,4,4,E,A,4,DOOR TO DOOR SOLICITATION,4,9,9,9,9,9,4,4,3,E,D,4,4,4,3,4,4,2,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,F,G,T,99,,,,,,,,,2,9.0,1.0,5.0,7.0,9.0,10.0,,,,,,,9,5.0,8.0,2,,,,,,2,11.0,,,ENCOURAGE BUSINESS DEVELOPMENT,FISCAL RESPONSIBILITY,4,5,1,2,2,1,2,4,1,1,1,2,,,,,85283,15
17,5,4,4,4,5,4,4,4,4,4,4,3,4,3,4,1,9.0,,,,,,,,,,,4,4.0,3,4,4,4,4,E,C,3,POLICE PROTECTION,4,4,4,4,4,4,4,4,4,I,B,5,4,4,4,4,4,4,3,4,3,3,4,4,3,4,4,4,4,4,4,4,9,Z,,,99,,,,,,,,,99,,,2.0,5.0,9.0,,,,,,,,99,,,2,,,,,,1,11.0,,,WEED CONTROL,,5,6,2,2,2,1,1,3,1,1,2,2,,,,,85283,16
18,4,4,4,4,4,4,3,3,4,3,3,5,4,4,4,1,2.0,3.0,5.0,8.0,9.0,11.0,12.0,,,,,3,4.0,1,2,4,4,4,C,D,3,EMPTY HOUSING,4,4,4,3,3,3,9,4,4,I,H,4,3,3,5,4,4,5,1,3,1,2,3,4,5,3,5,4,4,9,9,3,4,H,J,K,9,,,,,,,,,9,3.0,6.0,5.0,8.0,9.0,,,,,,,,5,8.0,9.0,1,5.0,5.0,5.0,5.0,5.0,2,6.0,,,ENFORCE CITY CODES,MAINTAIN PROPERTY VALUES,5,4,2,1,2,1,1,5,2,1,1,2,,,,,85282,17
19,5,5,5,5,5,5,9,9,5,5,4,5,5,5,2,5,11.0,12.0,,,,,,,,,,5,5.0,2,2,5,5,5,C,D,5,EMPTY HOMES,5,5,5,5,9,9,9,5,9,E,A,9,5,5,4,5,9,5,9,4,3,3,5,5,5,3,5,5,9,5,9,9,5,Q,H,D,2,,,,,,,,,9,6.0,5.0,2.0,5.0,9.0,,,,,,,,5,6.0,2.0,2,,,,,,8,11.0,,,PROPERTY MAINTENANCE,GANGS,5,5,2,1,2,1,1,4,1,1,1,2,,,,,85282,18
20,2,5,4,5,5,5,4,5,5,5,5,5,5,5,5,1,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,11.0,12.0,,5,5.0,5,9,5,5,5,B,G,4,BREAK-INS,5,5,5,5,5,5,5,5,5,G,E,5,5,5,5,5,5,5,4,5,4,4,4,5,5,5,5,5,5,5,5,5,5,J,K,G,99,,,,,,,,,3,9.0,1.0,1.0,2.0,3.0,5.0,6.0,7.0,8.0,9.0,,,6,3.0,8.0,2,,,,,,8,11.0,,,"SAFETY, UNKEPT HOMES",INCREASE VITALITY OF BUSINESS,4,3,2,1,2,1,2,4,1,1,1,2,,,,,85283,19
21,4,4,4,3,4,4,3,3,4,4,4,4,3,3,3,99,,,,,,,,,,,,4,4.0,4,5,4,3,4,E,A,3,SPEED IN NEIGHBORHOOD,3,3,3,3,3,3,3,3,3,Z,,3,4,4,3,3,3,3,4,4,4,4,4,5,5,5,4,4,4,5,4,3,3,Z,,,99,,,,,,,,,99,,,4.0,5.0,7.0,,,,,,,,4,5.0,7.0,2,,,,,,6,8.0,,,SPEED HUMPS MCCLINTOCK/WATSON,CONTROL DELIVERY TRUCKS ON STS,5,5,1,2,2,2,9,3,2,1,1,2,,,,,85283,20
22,4,5,5,4,5,5,4,4,3,4,4,5,5,5,5,1,2.0,3.0,5.0,8.0,9.0,11.0,12.0,,,,,4,5.0,5,4,5,5,5,D,E,4,,5,5,9,9,9,5,9,5,5,I,A,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,5,5,5,5,5,5,5,N,O,K,2,,,,,,,,,2,7.0,3.0,1.0,4.0,5.0,7.0,9.0,,,,,,1,5.0,7.0,2,,,,,,1,4.0,,,RECYCLING OF YARD WASTE,,4,3,1,1,2,1,1,5,1,1,1,2,,,,,85282,21
23,4,4,4,9,5,5,9,9,4,5,4,5,9,4,4,1,2.0,3.0,4.0,,,,,,,,,4,4.0,4,4,4,4,4,C,E,3,THEFT,4,3,4,4,4,4,3,4,4,Z,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,H,J,T,4,,,,,,,,,4,,,1.0,4.0,5.0,7.0,9.0,,,,,,5,4.0,9.0,1,5.0,5.0,5.0,5.0,5.0,2,6.0,,,,,5,6,1,2,2,2,1,5,1,1,2,2,,,,,85282,22
24,5,5,5,9,4,5,4,4,9,3,4,3,2,4,4,1,2.0,3.0,9.0,10.0,12.0,,,,,,,5,5.0,5,4,5,5,5,D,C,5,SPEED ON NEIGHBORHOOD STS,5,9,9,9,9,4,9,9,5,Z,,5,5,5,5,5,5,4,3,5,4,5,5,5,5,5,4,5,3,5,5,5,5,H,U,V,99,,,,,,,,,7,3.0,1.0,2.0,5.0,7.0,9.0,10.0,,,,,,5,2.0,6.0,1,4.0,5.0,4.0,5.0,4.0,4,9.0,,,PARTIES IN NEIGHBORHOOD,KEEP LAKE FULL,5,5,2,1,2,1,1,5,1,1,1,2,,,,,85282,23
25,3,2,3,2,4,4,3,3,2,2,3,3,3,2,3,1,2.0,3.0,5.0,,,,,,,,,4,4.0,1,3,4,3,4,C,F,4,TOO MANY RENTERS,4,3,3,4,9,9,3,3,4,Z,,4,4,4,5,4,4,3,1,3,1,2,3,4,5,4,3,3,2,4,4,4,3,H,J,K,99,,,,,,,,,3,,,5.0,9.0,,,,,,,,,5,,,1,4.0,3.0,4.0,3.0,3.0,2,6.0,,,RENTALS ONLY 3 RENTERS/HOUSE,YARD UPKEEP,5,5,1,1,2,1,1,4,1,1,1,2,,,,,85282,24
26,4,3,4,3,4,3,9,9,9,9,3,9,4,4,4,1,5.0,6.0,11.0,,,,,,,,,4,4.0,2,4,3,4,4,C,E,2,RENTERS (UNDESIRABLES),4,9,9,9,9,9,4,9,9,Z,,4,4,4,4,4,9,9,1,2,2,3,2,4,5,5,4,3,3,3,2,4,4,I,J,T,99,,,,,,,,,99,,,5.0,9.0,,,,,,,,,5,9.0,,1,4.0,4.0,4.0,4.0,4.0,2,6.0,8.0,,CLEAN UP VACANT PROPERTY,FORCE TREE TRIMMING/CLEANUP,5,6,1,1,2,1,1,3,1,1,2,2,,,,,85282,25
27,5,4,5,4,5,4,3,3,4,5,5,5,3,3,3,1,2.0,5.0,6.0,9.0,,,,,,,,5,5.0,3,4,4,5,2,C,G,4,PARTY NOISE/COLLEGE KIDS,5,5,5,5,5,5,5,5,5,F,H,5,5,4,4,4,2,4,2,4,2,4,5,5,5,5,5,5,5,5,4,5,5,H,F,,99,,,,,,,,,2,3.0,9.0,1.0,2.0,5.0,7.0,10.0,,,,,,1,7.0,10.0,2,,,,,,1,5.0,,,IMPROVE STREET LIGHTING,CLEANLINESS & UPKEEP,5,5,1,1,2,1,1,4,1,1,1,2,,,,,85282,26
28,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,1,2.0,3.0,4.0,9.0,10.0,11.0,,,,,,5,5.0,5,9,5,5,5,Z,,5,,5,4,4,5,4,5,9,5,5,C,E,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Z,,,99,,,,,,,,,99,,,1.0,2.0,5.0,7.0,8.0,9.0,,,,,1,5.0,8.0,1,5.0,5.0,5.0,5.0,5.0,99,,,,REPLACE OLD SEWER LINES,BUDGET,5,3,1,2,2,1,2,5,1,1,1,5,,,,,85283,27
29,3,3,4,4,4,1,3,3,3,3,3,3,3,3,3,3,7.0,8.0,,,,,,,,,,1,3.0,4,3,1,3,1,E,G,2,,4,4,4,4,4,4,3,3,4,H,G,4,3,3,3,3,4,3,4,3,3,3,3,1,1,1,3,3,3,3,3,3,3,O,M,N,1,4.0,5.0,,,,,,,4,1.0,5.0,5.0,7.0,10.0,,,,,,,,10,5.0,7.0,2,,,,,,1,9.0,,,STREET LIGHTS,SOCIAL/HUMAN SERVICES,2,2,2,1,1,2,2,3,1,1,1,2,,,,,85281,28
30,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,99,,,,,,,,,,,,4,4.0,4,4,4,4,4,E,C,4,HOME BURGLARY,4,4,4,4,4,4,4,4,4,A,E,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,3,3,3,4,3,4,4,R,Q,T,99,,,,,,,,,2,9.0,3.0,5.0,7.0,10.0,,,,,,,,5,7.0,10.0,1,4.0,4.0,4.0,4.0,4.0,6,8.0,,,SPEEDERS THRU NEIGHBORHOODS,TRAFFIC LAW ENFORCEMENT,3,5,1,2,2,1,1,3,2,1,2,4,,,,,85283,29
31,4,3,3,4,2,2,4,4,5,4,9,5,9,9,4,1,10.0,12.0,,,,,,,,,,5,5.0,2,9,2,3,4,E,C,1,THEFT AND VANDALISM,9,9,9,9,9,9,9,4,4,H,I,9,4,4,5,5,9,4,4,5,4,2,4,4,5,4,4,5,4,4,2,9,4,T,A,H,99,,,,,,,,,99,,,5.0,,,,,,,,,,5,2.0,10.0,2,,,,,,8,12.0,,,,,5,6,1,1,2,2,2,5,2,2,2,2,,,,,85281,30
32,4,4,4,4,4,4,1,1,2,2,1,1,2,4,2,1,2.0,5.0,9.0,11.0,12.0,,,,,,,4,4.0,4,4,4,4,3,G,D,4,LIGHTING,4,4,4,3,4,4,4,4,4,Z,,4,4,5,4,3,2,4,4,4,4,4,5,4,5,5,4,3,2,9,3,4,4,F,R,Q,99,,,,,,,,,99,,,3.0,5.0,8.0,,,,,,,,8,3.0,5.0,1,3.0,4.0,4.0,5.0,5.0,3,7.0,,,BETTER STREET LIGHTING,DON'T LAY OFF EMPLOYEES,4,2,2,1,1,1,1,5,1,1,1,5,,,,,85283,31
33,4,4,4,3,4,3,3,3,3,3,2,4,4,3,9,2,3.0,,,,,,,,,,,4,3.0,2,4,4,4,4,C,B,3,BURGLARIES,4,3,3,4,4,4,4,4,4,B,C,3,2,3,3,2,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,B,E,T,99,,,,,,,,,99,,,2.0,5.0,7.0,9.0,,,,,,,5,9.0,7.0,2,,,,,,6,9.0,,,NEIGHBORHOOD PROPERTY UPKEEP,CRIME IN NEIGHBORHOODS,5,5,1,2,2,2,1,4,2,1,1,2,,,,,85281,32
34,5,5,5,5,5,5,5,4,5,9,5,9,9,9,4,1,11.0,,,,,,,,,,,5,5.0,4,4,5,4,2,G,C,4,TRAFFIC SPEED,4,9,9,9,9,9,9,9,5,A,E,5,5,5,9,4,9,4,4,4,2,4,4,5,5,5,5,5,5,5,5,4,4,J,G,H,99,,,,,,,,,3,9.0,,5.0,7.0,10.0,,,,,,,,5,7.0,6.0,2,,,,,,6,8.0,,,SPEED BUMPS IN NEIGHBORHOODS,IMPROVE LOOKS OF NEIGHBORHOODS,5,5,1,2,2,1,1,3,2,1,1,2,,,,,85282,33
35,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,1,2.0,3.0,5.0,11.0,12.0,,,,,,,4,4.0,4,5,2,4,3,E,G,3,BREAK-INS,4,9,9,9,9,4,9,4,4,Z,,4,4,4,3,3,4,4,4,4,4,4,4,4,4,5,4,2,2,4,9,4,4,Q,D,E,99,,,,,,,,,3,,,5.0,7.0,9.0,,,,,,,,5,9.0,,2,,,,,,4,8.0,,,,POLICE RESPONSE TIME FOR 911,5,5,2,1,2,2,1,3,2,2,1,2,,,,,85282,34
36,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,5,5.0,5,5,5,5,5,F,C,4,SPEEDING CARS,5,5,3,5,9,5,9,5,5,H,I,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,9,P,U,I,99,,,,,,,,,9,6.0,3.0,1.0,5.0,,,,,,,,,5,1.0,3.0,2,,,,,,1,4.0,,,FILL EMPTY STRIP MALLS,RENTAL HOUSES;UNKEPT/PARTIES,5,4,2,1,2,1,1,5,1,1,1,2,,,,,85282,35
37,4,5,5,5,5,5,5,4,5,5,4,5,3,4,4,1,5.0,9.0,10.0,,,,,,,,,5,5.0,2,1,5,5,5,C,D,3,CARS DRIVE TOO FAST,5,5,3,3,3,5,3,5,5,H,I,5,5,5,4,4,4,5,1,2,2,4,5,5,3,4,3,5,5,5,5,5,5,I,H,J,99,,,,,,,,,99,,,2.0,4.0,7.0,9.0,,,,,,,9,2.0,4.0,1,4.0,5.0,5.0,4.0,3.0,6,11.0,,,REMOVE NON-WORKING CARS/JUNK,NON-WORKING CARS,5,7,1,1,2,2,1,4,1,1,1,2,,,,,85282,36
38,4,4,4,9,3,3,3,9,9,4,9,9,9,9,9,99,,,,,,,,,,,,3,4.0,2,4,4,4,4,Z,,9,,4,4,4,9,3,3,9,3,4,C,,4,3,3,4,4,4,9,2,4,4,9,4,4,4,9,4,4,4,4,4,4,9,H,,,7,,,,,,,,,3,7.0,1.0,5.0,9.0,10.0,,,,,,,,9,5.0,10.0,2,,,,,,6,,,,,,5,7,2,2,2,1,1,3,1,2,1,2,,,,,85282,37
