X,Y,OBJECTID,ODF_FPD,LO_NAME,SPOT,OFFSETA,OFFSETB,AZANGLE,RADIUS2,COUNTY,GlobalID,last_edited_user,last_edited_date,LMClass,LOType
-13191248.0917,5327233.8571,43,Bureau of Land Management,Riddle Mtn.,6317.0,0.0,0.0,-1.396,84480.0,HARNEY,{D60E1934-A5AE-44F8-8375-D837823B6AEE},CBULLOCK,2014/07/28 17:53:49+00,0,2.0
-13100005.7031,5797934.4418,44,Umatilla NF,Oregon Butte,6275.0,0.0,0.0,-1.968,84480.0,COLUMBIA,{7DBACF4C-0E70-429D-85D0-E2933BB49B8A},LZWART,2014/07/21 22:03:27+00,0,2.0
-13531937.0179,5256060.9484,45,Klamath Lake,Calimus Butte,6594.0,5.0,0.0,0.739,84480.0,KLAMATH,{1419BCBA-1D29-464B-969E-465AD81B3146},GIS,2014/07/16 00:32:03+00,4,1.0
-13499610.5589,5250238.3822,46,Fremont NF,Spodue Mountain,6387.0,5.0,0.0,0.537,84480.0,KLAMATH,{385726A9-6006-4F0F-8E24-C39A4E85F70D},CBULLOCK,2014/07/28 16:17:13+00,0,2.0
-13065987.8188,5761186.4923,47,Northeast Oregon,Courtney Butte,4378.0,30.0,0.0,-2.182,84480.0,WALLOWA,{E0A5D6E7-1A6B-4742-94AA-41BB8216B79E},GIS,2014/07/16 00:32:37+00,4,1.0
-13439034.946,5371021.5558,48,Fremont NF,Green Mountain,5174.0,5.0,0.0,0.157,84480.0,LAKE,{79DB6A7C-4CCD-49AF-BE94-774D9FA6EE6B},GIS,2014/07/16 00:31:54+00,0,2.0
-13112259.8449,5756422.634,49,Umatilla NF,Lookout Tower,5216.0,100.0,0.0,-1.892,84480.0,UNION,{30B30C4A-8E9F-4A1A-B0F0-994545E2E650},GIS,2014/07/16 00:33:08+00,0,2.0
-13812447.1459,5299062.0405,50,Coos FPA,Hood Mountain,,,,,,,{02E295C3-ABA6-486C-8F02-7A437634301A},CDSWANSON,2019/04/29 16:03:49+00,4,1.0
-13616398.2337,5441742.3833,51,Wlliamette NF,Huckleberry Mtn.,5497.0,0.0,0.0,1.269,84480.0,LANE,{B90D9CC4-84C1-4CF5-B469-DABB6827B0E5},GIS,2014/07/16 00:33:08+00,0,2.0
-13051018.5252,5618829.7591,52,Wallowa-Whitman NF,Summit Point,6995.0,0.0,0.0,-2.275,84480.0,BAKER,{4D5369A2-3BB2-4174-B956-3ED5337AF56A},CDSWANSON,2019/04/08 20:43:47+00,0,2.0
-13125905.4809,5785320.3886,53,Umatilla NF,Table Rock,6198.0,0.0,0.0,-1.806,84480.0,COLUMBIA,{57D36815-FB44-4D9A-9BF6-0489CC1A5E30},LZWART,2014/07/21 22:36:14+00,0,2.0
-13254971.5689,5595370.95,54,Central Oregon,Ritter Butte,4203.0,0.0,0.0,-0.997,84480.0,GRANT,{4C7ECBBB-E6F0-4FD2-B94B-84932E09E9AF},CDSWANSON,2019/04/08 20:45:50+00,4,1.0
-13123796.8811,5691117.9713,55,Northeast Oregon,"Harris, Mount",5310.0,0.0,0.0,-1.819,84480.0,UNION,{AAC71D92-3B3B-4A84-B83F-2FBF8BCD449B},GIS,2014/07/16 00:32:37+00,4,1.0
-13642101.7594,5282175.522,56,Rogue River NF,Halls Point,5155.0,0.0,0.0,1.43,84480.0,JACKSON,{6F18A099-2A76-4153-ABC9-CA5E46FBCDE6},CBULLOCK,2014/07/28 16:06:07+00,0,2.0
-13523747.7453,5517517.9564,57,Central Oregon,Henkle Butte,3365.0,28.0,0.0,0.688,84480.0,DESCHUTES,{D74D6387-4246-4B90-89A5-E91F3ED02E3E},CDSWANSON,2019/04/08 20:45:50+00,4,1.0
-13495803.6627,5596341.3457,58,BIA,Eagle Butte,3126.0,0.0,0.0,0.513,84480.0,WASCO,{ED9B5CBC-5B49-4483-8F3A-12D87F9C79C3},GIS,2014/07/16 00:31:11+00,0,2.0
-13171378.0224,5595883.0691,59,Mt Hood NF,Mt. Ireland,8193.0,0.0,0.0,-1.521,84480.0,GRANT,{1C1541BD-7CD3-4DA3-82A3-84E20DB82880},CBULLOCK,2014/07/28 17:36:54+00,0,2.0
-13642511.2073,5277147.5119,60,Southwest Oregon,White Point,4978.0,0.0,0.0,1.433,84480.0,JACKSON,{E2E655CC-D033-4770-8F85-BCD7E6C387EB},GIS,2014/07/16 00:32:50+00,4,1.0
-13786439.1846,5205848.0236,61,Coos FPA,Pearsoll Peak,,,,,,Curry,{8328DC8E-F007-4C6F-BFDB-2D6E64AF1ADA},ENILE,2020/04/28 23:12:51+00,4,1.0
-13679162.3863,5337365.4234,62,Umpqua NF,Red Butte,5247.0,47.0,0.0,0.0,84480.0,DOUGLAS,{31D113C3-B455-422C-B6AD-89CB8B437D70},CBULLOCK,2014/07/28 18:00:14+00,0,2.0
-13446257.3457,5253460.998,63,Fremont NF,Bald Butte,7491.0,8.0,0.0,0.202,84480.0,LAKE,{96C0AFF7-4EDB-41BF-BFAE-22CAB28CADC3},GIS,2014/07/16 00:31:54+00,0,2.0
-13209679.333,5598033.5864,64,Umatilla NF,Desolation Butte,6997.0,67.0,0.0,-1.281,84480.0,GRANT,{85C16DFC-E94A-449D-8970-BC9A48E10622},LZWART,2014/07/21 18:32:22+00,0,2.0
-13214036.3388,5534530.6199,65,Malheur NF,Prairie City Fire Finder,3639.0,0.0,0.0,-1.254,84480.0,GRANT,{D2A45DC9-56A0-4DF1-8FEA-D0C124610B5B},LZWART,2014/07/21 22:31:34+00,0,2.0
-13571106.8492,5686691.6065,66,Mt Hood NF,Hickman Butte,4306.0,0.0,0.0,0.985,84480.0,CLACKAMAS,{F0A9C1DE-E7F4-4649-ABA0-941E34A892C5},CBULLOCK,2014/07/28 17:26:17+00,0,2.0
-13743442.8893,5163399.4103,67,Southwest Oregon,Bolan Mountain,,,,,,Josephine,{1FE5A97D-D1AB-45B4-AB41-9D49AA123965},ENILE,2020/04/28 23:12:44+00,4,1.0
-13582787.9339,5300250.4987,68,Crater Lake NP,Mt. Scott,8860.0,10.0,0.0,1.058,84480.0,KLAMATH,{921AF337-F170-485E-A841-4E4BF83ED268},GIS,2014/07/16 00:31:29+00,0,2.0
-13158994.8614,5714752.2122,69,Umatilla NF,Goodman Ridge,5199.0,67.0,0.0,-1.599,84480.0,UNION,{4E2DDD0F-CD52-439E-BBFD-8D4735C05C48},LZWART,2014/07/21 18:38:55+00,0,2.0
-13760884.6619,5229293.9589,70,Southwest Oregon,Onion Mountain,,,,,,Josephine,{4CAE7DD1-7A2D-4AE1-A653-8CD6D483445B},ENILE,2020/04/28 23:12:58+00,4,1.0
-13634301.6761,5170689.7934,71,Southwest Oregon,Soda Mountain,6063.0,21.0,0.0,1.381,84480.0,JACKSON,{817AF282-D3C5-4C42-8424-928468F18AB9},GIS,2014/07/16 00:32:50+00,4,1.0
-13537422.3285,5548456.6959,72,Deschutes NF,Green Ridge,4611.0,0.0,0.0,0.774,84480.0,JEFFERSON,{0393FE31-F954-48CF-A40F-1A0801A589E1},GIS,2014/07/16 00:31:29+00,0,2.0
-13147048.5126,5729628.0439,73,Umatilla NF,High Ridge,5292.0,24.0,0.0,-1.674,84480.0,UNION,{0F4993FC-514D-4FDC-BF37-69973387EE7E},LZWART,2014/07/21 18:40:21+00,0,2.0
-13549469.2791,5358545.5646,74,Deschutes NF,Walker Mountain,,,,,,Klamath,{A9E49571-A492-4008-8567-9C7896DEC21C},LZWART,2014/08/12 22:57:37+00,0,2.0
-13563698.7378,5605677.4512,75,Mt Hood NF,Sisi Butte,5590.0,0.0,0.0,0.938,84480.0,CLACKAMAS,{DED3F327-20CF-4893-B810-0DEA47FBFAFB},GIS,2014/07/16 00:32:30+00,0,2.0
-13346263.4978,5365213.5179,76,Bureau of Land Management,Wagontire Mtn.,6495.0,5.0,0.0,-0.425,84480.0,HARNEY,{ED084FD4-D00A-420C-8715-893ED2421DAC},CBULLOCK,2014/07/28 17:51:18+00,0,2.0
-13010706.4079,5673402.2345,77,Wallowa-Whitman NF,Harl Butte,6046.0,0.0,0.0,-2.528,84480.0,WALLOWA,{367E1A08-B7D2-4EDF-B9A7-4C58BD277C07},CDSWANSON,2019/04/08 20:44:23+00,0,2.0
-13273669.0034,5452413.2129,78,Malheur NF,Sugarloaf Mountain,6080.0,0.0,0.0,-0.88,84480.0,HARNEY,{FA30BE7D-44A0-411A-A6C4-3C5DFFC59794},LZWART,2014/07/21 22:33:39+00,0,2.0
-13212689.7424,5583316.1869,79,Malheur NF,Indian Rock,7253.0,0.0,0.0,-1.262,84480.0,GRANT,{0142CAB7-D076-4D23-968A-BCCE129C2D1E},LZWART,2014/07/21 18:45:17+00,0,2.0
-13702862.6827,5392044.3812,80,Douglas FPA,Harness Mountain,3345.0,45.0,0.0,1.809,84480.0,DOUGLAS,{49A68087-83DA-4028-9A2D-7C8A0DD586A2},ENILE,2020/05/05 21:39:45+00,4,1.0
-13069279.769,5724909.6737,81,NEO,Tope Creek,,,,,,,{264E8A3B-D1CD-43B0-A965-548DF9451418},ENILE,2020/04/28 23:08:58+00,3,
-13705899.4994,5275787.0183,82,Douglas FPA,Cedar Springs Mountain,,,,,,,{68DE683A-33D3-4017-B9A3-1E853BD005BC},CDSWANSON,2020/02/05 22:14:02+00,4,1.0
-13653680.7712,5401547.4892,83,South Cascade,Fairview Peak,,,,,,Lane,{2F12F769-1596-428B-ADEB-EF20026CFBA1},ENILE,2020/04/28 23:11:32+00,0,2.0
-13375912.8196,5206103.7582,84,Fremont NF,Drakes Peak,8209.0,8.0,0.0,-0.239,84480.0,LAKE,{41EAD8B2-A0A0-45A8-A415-346C937D97B4},GIS,2014/07/16 00:31:54+00,0,2.0
-13637808.9565,5449013.884,85,,Saddleblanket Mountain,,,,,,,{FE37FECD-0BAA-48D0-A25E-7B76FD64FBB5},ENILE,2020/04/28 23:11:46+00,0,2.0
-13623425.1237,5215742.3258,86,Rogue River NF,Robinson Butte,5858.0,5.0,0.0,1.313,84480.0,JACKSON,{8F87D40D-7D1B-4E75-9611-934B4515AB29},CBULLOCK,2014/07/28 16:22:13+00,0,2.0
-13621092.3008,5352765.7029,87,Douglas FPA,Pig Iron Mountain,,,,,,DOUGLAS,{4BE224F8-EC38-41B0-8958-15E5D9A764B0},CDSWANSON,2020/02/06 00:50:56+00,0,2.0
-13326663.0852,5516376.6513,88,Ochoco NF,Wolf Mountain,6451.0,0.0,0.0,-0.548,84480.0,WHEELER,{AAC59499-7F0E-4F15-A871-398E42F10DDC},LZWART,2014/07/17 17:29:25+00,0,2.0
-13205452.272,5556097.3232,89,Malheur NF,Dixie Butte,7571.0,0.0,0.0,-1.307,84480.0,GRANT,{915037E1-6008-45D4-BBC6-0DD4BB48BA25},LZWART,2014/07/21 18:32:51+00,0,2.0
-13521834.9086,5686311.5364,90,Central Oregon,Fivemile,,,,,,Wasco,{0DFF1166-2F53-4A2A-8956-A38A5E94FFD8},ENILE,2020/04/28 23:11:16+00,0,2.0
-13828697.4176,5192345.2776,91,Coos FPA,Bosley Butte,3411.0,10.0,0.0,2.6,84480.0,CURRY,{F75B8600-A63C-4C94-8692-353A0875F5C7},LZWART,2014/07/17 17:24:13+00,4,1.0
-12986726.0437,5690708.531,92,Wallowa-Whitman NF,Hat Point,6957.0,0.0,0.0,-2.679,84480.0,WALLOWA,{6B97A623-B93C-4C3D-BD2A-B2A0706DBCCF},CDSWANSON,2019/04/08 20:44:23+00,0,2.0
-13106433.1627,5736194.5454,93,Northeast Oregon,Howard Butte,4309.0,0.0,0.0,-0.074,84480.0,WALLOWA,{522ABCF1-A697-4A41-A301-07BA4C221EA6},GIS,2014/07/16 00:32:37+00,4,1.0
-13409549.5866,5506296.5422,94,Central Oregon,Gerow Butte,5654.0,73.0,0.0,-0.028,84480.0,CROOK,{77B94B92-DBA2-46C9-93EC-927FB1DA76DF},CDSWANSON,2019/04/08 20:45:50+00,4,1.0
-13734412.7053,5290526.5252,95,Douglas FPA,Silver Butte,3941.0,35.0,0.0,2.009,84480.0,DOUGLAS,{FCEF70FD-BF0B-4E99-AE0E-64EB3217E654},GIS,2014/07/16 00:31:41+00,4,1.0
-13691286.596,5266709.4242,96,Southwest Oregon,Round Top,4606.0,0.0,0.0,1.738,84480.0,JACKSON,{60FECB26-D896-480D-8910-F3CB027A2EB1},GIS,2014/07/16 00:32:50+00,4,1.0
-13572953.279,5525169.4341,97,Willamette NF,Sand Mtn.,5400.0,0.0,0.0,0.997,84480.0,LINN,{6C9419A7-983B-46E9-88EB-985F344EA522},GIS,2014/07/16 00:33:08+00,0,2.0
-13447568.1605,5230564.7762,98,Fremont_Winema NF,Lookout Rock,,,,,,Lake,{DF601B43-308B-4E40-A58B-E90C4363D4EE},LZWART,2014/08/12 22:47:54+00,0,2.0
-13199028.4102,5630074.027,99,Umatilla NF,Tower Mountain,6823.0,103.0,0.0,-1.347,84480.0,UMATILLA,{81330531-85C9-4507-B340-8053C992E08F},LZWART,2014/07/21 22:41:22+00,0,2.0
-13580336.5226,5175164.7117,100,Klamath Lake,Chase Mountain,6311.0,5.0,0.0,1.043,84480.0,KLAMATH,{A03525E8-D9AD-48C0-AA8F-84ECCAC06C23},GIS,2014/07/16 00:32:03+00,4,1.0
-13636985.1339,5471437.4168,101,Willamette NF,Little Cowhorn Mountain,,,,,,Lane,{4ECB8092-CC8F-4408-B3CA-38BF8829388F},LZWART,2014/08/12 23:30:10+00,0,2.0
-13316584.0187,5136436.0435,102,BLM,Yellow Peak,7191.0,,,,,Washoe,{26977B1B-C85C-412C-8C52-578E65CB0A5A},LZWART,2014/07/21 22:50:14+00,0,2.0
-13676257.532,5303382.8529,103,Umpqua NF,Pickett Butte,3285.0,0.0,0.0,1.644,84480.0,DOUGLAS,{EE94461B-3B49-46F9-99C1-503AA0732B62},CBULLOCK,2014/07/28 17:56:17+00,0,2.0
-13469190.3143,5414076.9853,104,Deschutes NF,East Butte,6359.0,40.0,0.0,0.346,105600.0,DESCHUTES,{3B2875FA-DED5-4E90-9284-0BA400FC9C82},GIS,2014/07/16 00:31:29+00,0,2.0
-13705568.5744,5307271.6919,105,Douglas FPA,Bland Mountain,2646.0,35.0,0.0,1.828,84480.0,DOUGLAS,{AB25173D-9A96-4250-8019-3339F1921E52},GIS,2014/07/16 00:31:41+00,4,1.0
-13808046.7544,5265443.6237,106,Coos FPA,Bald Knob,,,,,,Coos,{8B65D620-999A-497A-8B22-77FF6C2CC232},ENILE,2020/04/28 23:12:40+00,4,1.0
-13565838.7344,5383884.2463,107,Deschutes NF,Odell Butte,6976.0,28.0,0.0,0.952,84480.0,KLAMATH,{58ECCA33-ADDC-4E6F-B0AD-57449CD2B63A},GIS,2014/07/16 00:31:29+00,0,2.0
-13548239.7118,5197429.9877,108,Klamath Lake,Hogback Mountain,6181.0,5.0,0.0,0.842,84480.0,KLAMATH,{2E5916AD-C523-4214-9148-A6AF366D52DE},GIS,2014/07/16 00:32:03+00,4,1.0
-13596995.0792,5509067.1276,109,Willamette NF,Carpenter Mtn.,5228.0,0.0,0.0,1.147,84480.0,LINN,{3120C7A8-87D9-4B0F-865F-91CF8A608AF4},GIS,2014/07/16 00:33:08+00,0,2.0
-13609357.6219,5466314.2998,110,South Cascade,Indian Ridge,,,,,,Lane,{4D0081BC-F8F9-406A-82B7-71A026F14F32},ENILE,2020/04/28 23:11:36+00,0,2.0
-13473184.8399,5313392.536,111,Fremont NF,Hager Mountain,7127.0,8.0,0.0,0.371,84480.0,LAKE,{E1BF9E18-904C-47EC-A962-553B7B31FC03},GIS,2014/07/16 00:31:54+00,0,2.0
-13709167.5776,5190442.1725,112,Southwest Oregon,Tallowbox Mountain,4984.0,0.0,0.0,1.85,84480.0,JACKSON,{E501905A-6144-463F-944F-89ADF620028B},GIS,2014/07/16 00:32:50+00,4,1.0
-13302263.526,5460862.2551,113,Ochoco NF,Snow Mountain,7120.0,0.0,0.0,-0.7,84480.0,GRANT,{76675686-770E-4AF6-AF04-F09F9C221664},LZWART,2014/07/17 17:29:25+00,0,2.0
-13645853.6204,5540501.9708,114,Linn,Green Peter,3872.0,20.0,0.0,1.454,84480.0,LINN,{42E9BDB6-3BEA-495B-A1E2-1C621890FFF3},CBULLOCK,2014/07/24 17:25:40+00,4,1.0
-13693614.9412,5171422.0436,115,Siskiyou NF,Squaw Peak,4906.0,0.0,0.0,1.753,84480.0,JACKSON,{916347EA-6DDE-47E2-BDF0-D8DAFF1C26F7},CBULLOCK,2014/07/28 16:41:20+00,0,2.0
-13180578.0104,5641285.7035,116,Wallowa-Whitman NF,Johnson Rock,5680.0,0.0,0.0,-1.463,84480.0,UNION,{E20042D9-EBAB-46FD-9790-53B34D64C620},CDSWANSON,2019/04/08 20:44:23+00,0,2.0
-13798613.7279,5292247.8654,117,Siskiyou NF,Eden Ridge,3458.0,53.0,0.0,2.411,84480.0,COOS,{DFD8E613-47CA-44A6-95D1-8A938B771960},CDSWANSON,2019/04/08 20:31:53+00,0,2.0
-13600173.3505,5303292.8166,118,Crater Lake NP,Watchman Butte,7940.0,10.0,0.0,1.167,84480.0,KLAMATH,{DD276C61-C382-420A-AB4A-DEA65EC51C2C},GIS,2014/07/16 00:31:29+00,0,2.0
-13475102.5834,5200633.1246,119,Fremont NF,Horsefly Mountain,6445.0,5.0,0.0,0.383,84480.0,KLAMATH,{8928BB54-EDDB-461C-B232-A68BED589BB7},CBULLOCK,2014/07/28 16:25:32+00,0,2.0
-13590288.4224,5590907.8807,120,North Cascade,Gold Butte,,,,,,Marion,{681D5026-5CC0-418A-AE3D-F8835AAED4A2},ENILE,2020/04/28 23:11:06+00,0,2.0
-13528567.2651,5121831.5832,121,Lava Beds NM,Schonchin Butte,5253.0,5.0,0.0,0.718,84480.0,SISKIYOU,{2430ADCF-D38A-4B6F-96E6-5F12C845EBFD},LZWART,2014/07/17 17:29:25+00,0,2.0
-13549650.8439,5646192.2522,122,Mt Hood NF,Clear Lake,4435.0,0.0,0.0,0.85,84480.0,CLACKAMAS,{D83C52C3-0A24-4B2C-84AF-EF35D69F5DE0},CBULLOCK,2014/07/28 17:34:06+00,0,2.0
