Is_Head_of_Household_,Age,Race,Gender,Ethnicity,Disability,Educational_Level,Employment_Status,Household_Type,ZIP_Code,Service_Id,Date,Program,Housing_Type,City,State,Total_Benefit,Council_District,Monthly_Income,ObjectId
0,13.0,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Multigenerational Household,40211,1448159.0,2021/12/09 15:45:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,1000.0,5.0,35950.32,11
1,72.0,African American,Male,Non-Hispanic,Disabled,2 or 4 years College,Retired,Single Person,40211,1458814.0,2021/12/16 15:18:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,316.65,1.0,8400.0,12
1,42.0,White,Female,Non-Hispanic,Disabled,Grades 9-12,"Unemployed(Long - Term, more than 6 months)",Two Parent Household,40208,1416716.0,2021/11/23 08:28:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,439.3,3.0,8676.0,13
0,14.0,White,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Two Parent Household,40208,1416716.0,2021/11/23 08:28:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,439.3,3.0,8676.0,14
0,17.0,White,Female,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Two Parent Household,40208,1416716.0,2021/11/23 08:28:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,439.3,3.0,8676.0,15
0,6.0,White,Female,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Parent Female,40212,1291861.0,2021/09/09 08:56:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,678.07,5.0,0.0,16
1,53.0,African American,Female,Non-Hispanic,Disabled,Grades 9-12,Retired,Single Parent Female,40258,1308335.0,2021/09/22 12:55:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000.0,14.0,8568.0,17
1,24.0,White,Female,Non-Hispanic,Not Disabled,High School Graduate,Unemployed(Not in Labor Force),Single Parent Female,40212,1291861.0,2021/09/09 08:56:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,678.07,5.0,0.0,18
0,16.0,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40258,1308335.0,2021/09/22 12:55:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000.0,14.0,8568.0,19
0,16.0,African American,Male,Non-Hispanic,Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40258,1308335.0,2021/09/22 12:55:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000.0,14.0,8568.0,20
1,67.0,African American,Female,Non-Hispanic,Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Person,40211,1308533.0,2021/09/22 13:52:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,986.05,1.0,8448.0,21
1,68.0,African American,Female,Non-Hispanic,Disabled,High School Graduate,Retired,Multigenerational Household,40220,1278922.0,2021/08/30 09:55:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,695.16,26.0,27144.0,22
0,19.0,African American,Female,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Multigenerational Household,40220,1278922.0,2021/08/30 09:55:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,695.16,26.0,27144.0,23
1,63.0,African American,Female,Non-Hispanic,Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Person,40210,1331130.0,2021/10/11 14:18:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,402.73,3.0,9528.0,24
1,57.0,African American,Female,Non-Hispanic,Disabled,12 grade + Some Post-Secondary,Unemployed(Not in Labor Force),Single Person,40211,1429972.0,2021/12/01 14:35:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,129.22,5.0,11268.0,25
0,54.0,African American,Male,Hispanic,Not Disabled,12 grade + Some Post-Secondary,"Unemployed(Long - Term, more than 6 months)",Single Person,40211,1429972.0,2021/12/01 14:35:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,129.22,5.0,11268.0,26
1,56.0,African American,Female,Non-Hispanic,Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Person,40210,1434716.0,2021/12/03 11:59:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,204.62,6.0,8874.0,27
0,13.0,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Person,40210,1434716.0,2021/12/03 11:59:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,204.62,6.0,8874.0,28
1,66.0,African American,Female,Non-Hispanic,Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40212,1301275.0,2021/09/16 11:20:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,610.69,5.0,30.36,29
1,30.0,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,Employed Part-Time,Single Parent Female,40216,1214026.0,2021/07/23 15:32:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,883.2,12.0,0.0,30
0,11.0,African American,Male,Non-Hispanic,Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40216,1214026.0,2021/07/23 15:32:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,883.2,12.0,0.0,31
0,16.0,African American,Male,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40216,1214026.0,2021/07/23 15:32:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,883.2,12.0,0.0,32
0,8.0,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40216,1214026.0,2021/07/23 15:32:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,883.2,12.0,0.0,33
1,44.0,White,Female,Non-Hispanic,Not Disabled,High School Graduate,Unemployed(Not in Labor Force),Single Parent Female,40215,1424980.0,2021/11/29 16:30:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,682.02,3.0,7932.0,34
1,57.0,African American,Female,Non-Hispanic,Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Person,40210,1253310.0,2021/08/12 15:20:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,445.53,3.0,9768.0,35
1,64.0,White,Female,Non-Hispanic,Not Disabled,Grades 9-12,Employed Full-Time,Single Parent Female,40219,1285952.0,2021/09/02 15:04:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,982.15,24.0,7526.4,36
0,20.0,White,Male,Non-Hispanic,Not Disabled,High School Graduate,Unemployed(Not in Labor Force),Single Parent Female,40219,1285952.0,2021/09/02 15:04:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,982.15,24.0,7526.4,37
0,25.0,White,Male,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40219,1285952.0,2021/09/02 15:04:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,982.15,24.0,7526.4,38
1,39.0,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,Employed Part-Time,Single Parent Female,40272,1290973.0,2021/09/08 13:12:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,1000.0,25.0,5346.0,39
0,9.0,African American,Female,Non-Hispanic,Not Disabled,Pre-School,Unemployed(Not in Labor Force),Single Parent Female,40272,1290973.0,2021/09/08 13:12:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,1000.0,25.0,5346.0,40
0,17.0,African American,Female,Non-Hispanic,Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40272,1290973.0,2021/09/08 13:12:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,1000.0,25.0,5346.0,41
1,63.0,African American,Male,Non-Hispanic,Disabled,High School Graduate,Unemployed(Not in Labor Force),Single Person,40214,1674538.0,2022/04/14 12:54:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,181.68,25.0,10128.0,42
1,80.0,African American,Female,Non-Hispanic,Disabled,High School Graduate,Retired,Single Person,40210,1309101.0,2021/09/22 15:46:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,152.07,1.0,14172.0,43
1,65.0,African American,Female,Non-Hispanic,Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Person,40215,1755134.0,2022/06/23 17:25:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,95.43,0.0,9000.0,44
1,49.0,African American,Female,Non-Hispanic,Disabled,Grades 9-12,Unemployed(Not in Labor Force),Two Adults No Children,40210,1464503.0,2021/12/24 12:25:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,456.14,1.0,6636.0,45
0,13.0,White,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40215,1424980.0,2021/11/29 16:30:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,682.02,3.0,7932.0,46
0,18.0,White,Female,Non-Hispanic,Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40215,1424980.0,2021/11/29 16:30:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,682.02,3.0,7932.0,47
0,68.0,African American,Female,Non-Hispanic,Disabled,Grades 9-12,Unemployed(Not in Labor Force),Two Adults No Children,40210,1464503.0,2021/12/24 12:25:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,456.14,1.0,6636.0,48
1,36.0,African American,Female,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Two Parent Household,40211,1453032.0,2021/12/13 09:14:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000.0,5.0,0.0,49
0,20.0,African American,Female,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Two Parent Household,40211,1453032.0,2021/12/13 09:14:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000.0,5.0,0.0,50
1,59.0,African American,Female,Non-Hispanic,Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Person,40211,1329209.0,2021/10/08 13:56:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,152.04,4.0,9528.0,51
1,54.0,African American,Male,Non-Hispanic,Disabled,2 or 4 years College,Unemployed(Not in Labor Force),Single Person,40210,1463890.0,2021/12/22 14:34:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,946.89,1.0,21420.0,52
1,32.0,African American,Female,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,Unemployed(Not in Labor Force),Single Parent Female,40212,1220519.0,2021/07/27 14:49:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,835.39,10.0,9528.0,53
0,9.0,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40212,1220519.0,2021/07/27 14:49:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,835.39,10.0,9528.0,54
0,11.0,African American,Male,Non-Hispanic,Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40212,1220519.0,2021/07/27 14:49:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,835.39,10.0,9528.0,55
1,50.0,African American,Female,Non-Hispanic,Disabled,2 or 4 years College,Unemployed(Not in Labor Force),Single Parent Female,40258,1338327.0,2021/10/14 15:32:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,481.57,1.0,22500.0,56
0,23.0,African American,Male,Non-Hispanic,Not Disabled,High School Graduate,Unemployed(Not in Labor Force),Single Parent Female,40258,1338327.0,2021/10/14 15:32:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,481.57,1.0,22500.0,57
0,11.0,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40258,1338327.0,2021/10/14 15:32:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,481.57,1.0,22500.0,58
1,71.0,African American,Female,Non-Hispanic,Disabled,2 or 4 years College,Retired,Single Person,40299,1304631.0,2021/09/20 11:15:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,260.02,20.0,21636.0,59
1,30.0,African American,Female,Non-Hispanic,Disabled,Grades 9-12,"Unemployed(Long - Term, more than 6 months)",Single Parent Female,40211,1291824.0,2021/09/09 08:35:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,149.26,5.0,10584.0,60
0,10.0,African American,Female,Non-Hispanic,Not Disabled,Pre-School,Unemployed(Not in Labor Force),Single Parent Female,40211,1291824.0,2021/09/09 08:35:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,149.26,5.0,10584.0,61
0,6.0,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40211,1291824.0,2021/09/09 08:35:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,149.26,5.0,10584.0,62
1,59.0,White,Female,Hispanic,Disabled,High School Graduate,Unemployed(Not in Labor Force),Two Adults No Children,40214,1271436.0,2021/08/24 12:05:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,160.21,21.0,14448.0,63
0,61.0,White,Male,Non-Hispanic,Disabled,High School Graduate,Unemployed(Not in Labor Force),Two Adults No Children,40214,1271436.0,2021/08/24 12:05:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,160.21,21.0,14448.0,64
1,59.0,African American,Female,Non-Hispanic,Disabled,High School Graduate,Unemployed(Not in Labor Force),Single Person,40211,1236408.0,2021/08/04 11:20:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,167.29,1.0,9768.0,65
0,61.0,African American,Male,Non-Hispanic,Disabled,Grades 9-12,Retired,Two Adults No Children,40258,1394277.0,2021/11/11 14:53:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,873.36,14.0,80982.72,66
1,66.0,African American,Female,Non-Hispanic,Disabled,Grades 9-12,"Unemployed(Long - Term, more than 6 months)",Single Person,40218,1284059.0,2021/09/01 15:15:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,43.07,2.0,9600.0,67
1,62.0,African American,Female,Non-Hispanic,Disabled,High School Graduate,Unemployed(Not in Labor Force),Two Adults No Children,40211,1290717.0,2021/09/08 11:48:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,426.46,5.0,9600.0,68
1,30.0,African American,Female,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40203,1410985.0,2021/11/19 10:00:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,374.85,4.0,9600.0,69
1,54.0,African American,Female,Non-Hispanic,Not Disabled,Grades 9-12,Employed Full-Time,Single Person,40212,1225222.0,2021/07/29 11:37:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,378.85,5.0,15123.36,70
0,6.0,African American,Male,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Parent Female,40214,1324821.0,2021/10/06 09:53:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,728.28,25.0,25200.0,71
1,45.0,African American,Female,Non-Hispanic,Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Person,40216,1324559.0,2021/10/06 08:31:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000.0,1.0,9408.0,72
0,27.0,African American,Male,Non-Hispanic,Not Disabled,Not Applicable,Unemployed(Not in Labor Force),Single Person,40216,1324559.0,2021/10/06 08:31:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000.0,1.0,9408.0,73
0,21.0,African American,Female,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Person,40216,1324559.0,2021/10/06 08:31:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000.0,1.0,9408.0,74
1,64.0,African American,Female,Non-Hispanic,Disabled,2 or 4 years College,Unemployed(Not in Labor Force),Single Person,40211,1497457.0,2022/01/18 13:28:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,463.54,5.0,0.0,75
1,37.0,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,"Unemployed(Long - Term, more than 6 months)",Single Person,40210,1242651.0,2021/08/06 14:34:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000.0,4.0,9528.0,76
0,15.0,African American,Male,Non-Hispanic,Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Person,40210,1242651.0,2021/08/06 14:34:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000.0,4.0,9528.0,77
0,17.0,African American,Male,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Person,40210,1242651.0,2021/08/06 14:34:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,1000.0,4.0,9528.0,78
1,62.0,African American,Female,Non-Hispanic,Not Disabled,2 or 4 years College,Unemployed(Not in Labor Force),Single Parent Female,40207,1273544.0,2021/08/25 12:25:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,507.37,9.0,19056.0,79
0,21.0,African American,Female,Non-Hispanic,Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40207,1273544.0,2021/08/25 12:25:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,507.37,9.0,19056.0,80
0,26.0,African American,Female,Non-Hispanic,Disabled,High School Graduate,Unemployed(Not in Labor Force),Single Parent Female,40207,1273544.0,2021/08/25 12:25:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,507.37,9.0,19056.0,81
1,73.0,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,Unemployed(Not in Labor Force),Single Person,40212,1268834.0,2021/08/23 11:09:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,262.84,5.0,12468.0,82
1,30.0,African American,Female,Non-Hispanic,Not Disabled,High School Graduate,Unemployed(Not in Labor Force),Single Parent Female,40214,1313994.0,2021/09/27 14:51:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,457.12,12.0,9528.0,83
0,12.0,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40214,1313994.0,2021/09/27 14:51:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,457.12,12.0,9528.0,84
0,6.0,African American,Male,Non-Hispanic,Not Disabled,Pre-School,Unemployed(Not in Labor Force),Single Parent Female,40214,1313994.0,2021/09/27 14:51:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,457.12,12.0,9528.0,85
1,38.0,African American,Male,Non-Hispanic,Disabled,12 grade + Some Post-Secondary,"Unemployed(Long - Term, more than 6 months)",Single Parent Male,40216,1242080.0,2021/08/06 12:15:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,459.07,3.0,13384.8,86
0,6.0,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Male,40216,1242080.0,2021/08/06 12:15:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,459.07,3.0,13384.8,87
0,16.0,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Male,40216,1242080.0,2021/08/06 12:15:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,459.07,3.0,13384.8,88
0,17.0,African American,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Male,40216,1242080.0,2021/08/06 12:15:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,459.07,3.0,13384.8,89
0,13.0,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Male,40216,1242080.0,2021/08/06 12:15:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,459.07,3.0,13384.8,90
1,64.0,African American,Female,Non-Hispanic,Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Person,40258,1466682.0,2021/12/29 10:13:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,124.25,14.0,9396.0,91
1,67.0,African American,Female,Non-Hispanic,Disabled,High School Graduate,Unemployed(Not in Labor Force),Single Person,40211,1376981.0,2021/11/04 09:19:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,98.22,5.0,9768.0,92
1,54.0,African American,Female,Non-Hispanic,Disabled,12 grade + Some Post-Secondary,Retired,Single Person,40211,1207869.0,2021/07/21 15:35:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,426.0,1.0,15378.0,93
1,42.0,African American,Female,Non-Hispanic,Not Disabled,2 or 4 years College,"Unemployed(Short - Term, 6 months or less)",Single Parent Female,40211,1284675.0,2021/09/02 10:05:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,163.59,5.0,18576.0,94
0,18.0,African American,Male,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40211,1284675.0,2021/09/02 10:05:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,163.59,5.0,18576.0,95
0,24.0,African American,Female,Non-Hispanic,Disabled,High School Graduate,Unemployed(Not in Labor Force),Single Parent Female,40211,1284675.0,2021/09/02 10:05:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,163.59,5.0,18576.0,96
0,15.0,African American,Male,Non-Hispanic,Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40211,1284675.0,2021/09/02 10:05:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,163.59,5.0,18576.0,97
0,15.0,White,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40272,1420442.0,2021/11/24 10:22:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,408.29,25.0,0.0,98
0,11.0,White,Female,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Parent Female,40272,1420442.0,2021/11/24 10:22:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,408.29,25.0,0.0,99
1,37.0,African American,Female,Non-Hispanic,Not Disabled,12 grade + Some Post-Secondary,"Unemployed(Long - Term, more than 6 months)",Single Parent Female,40220,1338947.0,2021/10/15 09:50:00+00,ARP-Utilities 21,Rent/Non-Subsidized,LOUISVILLE,KY,211.22,26.0,0.0,100
0,21.0,African American,Male,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40215,1287610.0,2021/09/03 14:32:00+00,ARP-Utilities 21,Rent/Non-Subsidized,Louisville,KY,387.69,15.0,23281.8,101
1,60.0,African American,Female,Non-Hispanic,Disabled,High School Graduate,Retired,Single Person,40203,1223507.0,2021/07/28 14:53:00+00,ARP-Utilities 21,Own,LOUISVILLE,KY,31.21,6.0,18816.12,102
0,6.0,African American,Male,Non-Hispanic,Not Disabled,Grades 0-8,Unemployed(Not in Labor Force),Single Person,40202,1258979.0,2021/08/17 10:19:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,569.99,4.0,42240.0,103
0,12.0,African American,Female,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Person,40202,1258979.0,2021/08/17 10:19:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,569.99,4.0,42240.0,104
1,39.0,African American,Female,Non-Hispanic,Disabled,High School Graduate,Unemployed(Not in Labor Force),Single Parent Female,40212,1307221.0,2021/09/22 09:01:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,859.32,5.0,0.0,105
0,20.0,African American,Female,Non-Hispanic,Not Disabled,Grades 9-12,Unemployed(Not in Labor Force),Single Parent Female,40212,1307221.0,2021/09/22 09:01:00+00,ARP-Utilities 21,Rent/Subsidized,LOUISVILLE,KY,859.32,5.0,0.0,106
