ObjectId,Permit_Number,Application_Type,Effective_Date,Expiration_Date,Application_Status,Project_Name,Permit_Type,Applicant,Street_Address,City,Zip,ID
11,C-1613-1000,APCDCONS,2007-02-28 00:00:00,2008-02-28 00:00:00,Void,One (1) Group I automobile refinishing spray booth,MINOR,"CHILE'S AUTO BODY, LLC",2252 7TH STREET RD,LOUISVILLE,40208-0000,11
12,C-1694-1000,APCDCONS,2009-04-30 00:00:00,2010-04-30 00:00:00,Open,"One (1) 48"" x 30"" abrasive blast booth",MINOR,QUALITY CAST BRONZE & ALUMINUM,2936 ST XAVIER ST,LOUISVILLE,40212-0000,12
13,C-1694-1001,APCDCONS,2009-04-30 00:00:00,2010-04-30 00:00:00,Open,"One (1) spray booth (Make: Fast-Bak, Model: none)",MINOR,QUALITY CAST BRONZE & ALUMINUM,2936 ST XAVIER ST,LOUISVILLE,40212-0000,13
14,C-1730-1000,APCDCONS,2010-11-23 00:00:00,2011-11-30 00:00:00,Open,Dust Collection System,MINOR,CARMAX AUTO SUPERSTORE INC,9550 BLUEGRASS PKY,FOREST HILLS,40299-0000,14
15,C-1730-1001,APCDCONS,2010-11-23 00:00:00,2011-11-30 00:00:00,Open,Spray Booth,MINOR,CARMAX AUTO SUPERSTORE INC,9550 BLUEGRASS PKY,FOREST HILLS,40299-0000,15
16,C-1730-1002,APCDCONS,2010-11-23 00:00:00,2011-11-30 00:00:00,Open,Parts Washer,MINOR,CARMAX AUTO SUPERSTORE INC,9550 BLUEGRASS PKY,FOREST HILLS,40299-0000,16
17,C-0103-1003,APCDCONS,,,Void,4 VOC storage tanks,FEDOOPSE,"KELLEY TECHNICAL COATINGS, INC",1401 S 15TH ST,LOUISVILLE,40210-0000,17
18,C-0126-1000,APCDCONS,2014-09-08 00:00:00,2015-09-30 00:00:00,Open,NGCC turbine renewal,TITLE V,LOUISVILLE GAS & ELECTRIC COMPANY,5252 CANE RUN RD,LOUISVILLE,40216-0000,18
19,C-0193-1006,APCDCONS,2016-03-07 14:42:00,2017-03-31 00:00:00,Open,"Extrusion, Slitter, Ink Jet Printer",FEDOOP,"MONDI BAGS USA, LLC",6820 ENTERPRISE DR,LOUISVILLE,40214-0000,19
20,C-0168-1000,APCDCONS,,,Void,Paint Filling Lines & Sand Blasting Equipment,FEDOOP,"PPG ARCHITECTURAL FINISHES, IN",6804 ENTERPRISE DR,LOUISVILLE,40214-0000,20
21,C-0870-1000,APCDCONS,2014-08-28 00:00:00,2015-08-31 00:00:00,Open,Adjusting ginders in re-grind system,TITLE V,"HAIER US APPLIANCE SOLUTIONS, INC.",4000 BUECHEL BANK RD,LOUISVILLE,40225-0000,21
22,C-0870-1001,APCDCONS,2014-02-25 00:00:00,2015-02-28 00:00:00,Open,Grit Blaster,TITLE V,"HAIER US APPLIANCE SOLUTIONS, INC.",4000 BUECHEL BANK RD,LOUISVILLE,40225-0000,22
23,C-1216-1000,APCDCONS,,,Open,"Blast-It-All, Hoffman & JBI Booths",TITLE V,BAE SYSTEMS,163 ROCHESTER DR,LOUISVILLE,40214-0000,23
24,C-0060-1000,APCDCONS,,,Open,New Syngyp System,TITLE V,KOSMOS CEMENT CO INC,15301 DIXIE HWY,LOUISVILLE,40272-0000,24
25,C-0126-1001,APCDCONS,2014-09-08 00:00:00,2015-09-30 00:00:00,Open,NGCC - boiler and generator renewal,TITLE V,LOUISVILLE GAS & ELECTRIC COMPANY,5252 CANE RUN RD,LOUISVILLE,40216-0000,25
26,C-0185-1000,APCDCONS,2014-08-20 15:03:00,2015-08-31 00:00:00,Open,Natural Gas Boiler,TITLE V,"NUPLEX RESINS, LLC",4730 CRITTENDEN DR,LOUISVILLE,40209-0000,26
27,C-0036-1000,APCDCONS,2016-06-13 13:43:00,2017-06-13 13:43:00,Open,Catalyst plant construction,TITLE V,CLARIANT CORPORATION WEST PLAN,1227 S 12TH ST,LOUISVILLE,40210-0000,27
28,C-0011-1000,APCDCONS,2014-10-23 14:13:00,2015-10-31 00:00:00,Open,Phase 3 solvent conversion,TITLE V,AMERICAN SYNTHETIC RUBBER CORP,4500 CAMP GROUND RD,LOUISVILLE,40216-0000,28
29,C-0148-1000,APCDCONS,2015-01-23 00:00:00,2016-01-31 00:00:00,Void,emergency generator,TITLE V,LOU. MED. CENTER INC STEAM & CHILLED WATER PLANT,235 ABRAHAM FLEXNER WAY,LOUISVILLE,40202-0000,29
30,C-0189-1000,APCDCONS,,,Open,KVP2 Pellet Pack Station,TITLE V,ROHM AND HAAS CHEMICALS LLC,4300 CAMP GROUND RD,LOUISVILLE,40216-0000,30
31,C-0026-1000,APCDCONS,2014-09-24 11:24:00,2015-09-30 00:00:00,Open,Modifying routing to baghouses,TITLE V,BLUEGRASS COOPERAGE COMPANY,402 MACLEAN AVE,LOUISVILLE,40209-0000,31
32,C-1061-1002,APCDCONS,2008-01-31 00:00:00,2009-01-31 00:00:00,Open,waste oil furnaces,FEDOOPSE,BILL COLLINS FORD,4220 BARDSTOWN RD,LOUISVILLE,40218-0000,32
33,C-1440-1002,APCDCONS,2011-05-12 00:00:00,2012-05-31 00:00:00,Void,Sorter w/ Cyclone,FEDOOP,ALGOOD FOODS,7401 TRADE PORT DR,LOUISVILLE,40258-0000,33
34,C-1448-1003,APCDCONS,2008-10-31 00:00:00,2009-10-31 00:00:00,Open,700-gallon chromate conversion coating tank,MINOR,AST/ACME COATINGS & LININGS,100 ROCHESTER DR,LOUISVILLE,40214-0000,34
35,C-0185-1003,APCDCONS,,,Open,2 new storage tanks,TITLE V,"NUPLEX RESINS, LLC",4730 CRITTENDEN DR,LOUISVILLE,40209-0000,35
36,C-0189-1003,APCDCONS,,,Open,KVP2 Dump Station,TITLE V,ROHM AND HAAS CHEMICALS LLC,4300 CAMP GROUND RD,LOUISVILLE,40216-0000,36
37,C-0193-1000,APCDCONS,2012-04-30 00:00:00,2013-04-30 00:00:00,Open,extrusion laminator,FEDOOP,GRAPHICS PACKAGING,6820 ENTERPRISE DR,LOUISVILLE,40214-0000,37
38,C-0193-1001,APCDCONS,2006-08-31 00:00:00,2007-08-31 00:00:00,Open,flexography platemaker,FEDOOP,GRAPHICS PACKAGING,6820 ENTERPRISE DR,LOUISVILLE,40214-0000,38
39,C-0193-1002,APCDCONS,2007-06-30 00:00:00,2008-06-30 00:00:00,Open,Lithography press,FEDOOP,GRAPHICS PACKAGING,6820 ENTERPRISE DR,LOUISVILLE,40214-0000,39
40,C-0011-1008,APCDCONS,2008-06-30 00:00:00,2009-06-30 00:00:00,Open,No. 5 stripper vessel,TITLE V,AMERICAN SYNTHETIC RUBBER CORP,4500 CAMP GROUND RD,LOUISVILLE,40216-0000,40
41,C-0011-1009,APCDCONS,2012-11-30 00:00:00,2013-11-30 00:00:00,Open,Phase 1 Solvent Change,TITLE V,AMERICAN SYNTHETIC RUBBER CORP,4500 CAMP GROUND RD,LOUISVILLE,40216-0000,41
42,C-0011-1010,APCDCONS,2013-08-31 00:00:00,2014-08-31 00:00:00,Open,No. 4 stripper vessel,TITLE V,AMERICAN SYNTHETIC RUBBER CORP,4500 CAMP GROUND RD,LOUISVILLE,40216-0000,42
43,C-0011-1011,APCDCONS,2013-08-31 00:00:00,2014-08-31 00:00:00,Open,Flush Tank D-64M,TITLE V,AMERICAN SYNTHETIC RUBBER CORP,4500 CAMP GROUND RD,LOUISVILLE,40216-0000,43
44,C-0011-1012,APCDCONS,2012-11-08 00:00:00,2013-11-30 00:00:00,Open,Boiler Mod - natural gas,TITLE V,AMERICAN SYNTHETIC RUBBER CORP,4500 CAMP GROUND RD,LOUISVILLE,40216-0000,44
45,C-0011-1013,APCDCONS,2015-01-31 15:08:00,2016-01-31 00:00:00,Open,Phase 2 Solvent Change,TITLE V,AMERICAN SYNTHETIC RUBBER CORP,4500 CAMP GROUND RD,LOUISVILLE,40216-0000,45
46,C-0115-1000,APCDCONS,,,Void,Scrubber Modification,FEDOOP,SWIFT PORK COMPANY,1200 STORY AVE,LOUISVILLE,40206-0000,46
47,C-0330-1000,APCDCONS,2007-12-30 00:00:00,2008-12-30 00:00:00,Void,"""Pad line"" paint booth",MINOR,KENTUCKY ASSOCIATION OF ELECTR,4515 BISHOP LN,WATTERSON PARK,40218-0000,47
48,C-0082-1025,APCDCONS,2010-07-22 00:00:00,2011-07-31 00:00:00,Open,"6 Railcar Unloading, East & West Sphere",TITLE V,LUBRIZOL ADVANCED MATERIALS,4200 BELLS LN,LOUISVILLE,40211-0000,48
49,C-0082-1026,APCDCONS,2011-04-05 00:00:00,2012-04-30 00:00:00,Open,Blend Silo with Baghouse,TITLE V,LUBRIZOL ADVANCED MATERIALS,4200 BELLS LN,LOUISVILLE,40211-0000,49
50,C-0082-1027,APCDCONS,2011-11-21 00:00:00,2012-11-30 00:00:00,Open,D-Line/Pellet Line Separation,TITLE V,LUBRIZOL ADVANCED MATERIALS,4200 BELLS LN,LOUISVILLE,40211-0000,50
51,C-0885-1000,APCDCONS,2005-03-31 00:00:00,2006-03-31 00:00:00,Open,Lithographic printing press,FEDOOPSE,AGISHOREWOOD - CORPORATE,4501 ALLMOND AVE,LOUISVILLE,40209-0000,201
52,C-0885-1001,APCDCONS,2006-06-23 00:00:00,2009-06-30 00:00:00,Open,Lithographic printing presses,FEDOOPSE,AGISHOREWOOD - CORPORATE,4501 ALLMOND AVE,LOUISVILLE,40209-0000,202
53,C-0885-1002,APCDCONS,2008-06-30 00:00:00,2009-06-30 00:00:00,Open,Lithographic printing press,FEDOOPSE,AGISHOREWOOD - CORPORATE,4501 ALLMOND AVE,LOUISVILLE,40209-0000,203
54,C-0885-1003,APCDCONS,2010-05-31 00:00:00,2011-05-31 00:00:00,Open,Inkjet printers,FEDOOPSE,AGISHOREWOOD - CORPORATE,4501 ALLMOND AVE,LOUISVILLE,40209-0000,204
55,C-0586-1000,APCDCONS,2008-05-31 00:00:00,2009-05-31 00:00:00,Open,Two (2) offset lithography printing presses,MINOR,VIVID IMPACT,10116 BUNSEN WAY,JEFFERSONTOWN,40299-0000,205
56,C-0586-1001,APCDCONS,2008-05-31 00:00:00,2009-05-31 00:00:00,Open,One (1) screen press and one (1) digital printer,MINOR,VIVID IMPACT,10116 BUNSEN WAY,JEFFERSONTOWN,40299-0000,206
57,C-1688-1000,APCDCONS,2008-11-30 00:00:00,2009-11-30 00:00:00,Void,metal coating,MINOR,"SONDEX, INC USA",7040 INTERNATIONAL DR,LOUISVILLE,40258-0000,207
58,C-0466-1000,APCDCONS,2010-04-23 00:00:00,2011-04-30 00:00:00,Open,One flexographic printer,MINOR,MULTICORR CORPORATION,5800 CANE RUN RD,LOUISVILLE,40258-0000,208
59,C-1787-1000,APCDCONS,2013-10-31 00:00:00,,Open,Emergency Generator,MINOR,NORTON MEDICAL CENTER,4950 NORTON HEALTHCARE BLVD,LOUISVILLE,40241-0000,209
60,C-1658-1000,APCDCONS,2008-04-30 00:00:00,2009-04-30 00:00:00,Open,Blending tanks,MINOR,QUANTUM INK COMPANY,4651 MELTON AVE,LOUISVILLE,40213-0000,210
61,C-1658-1001,APCDCONS,2008-04-30 00:00:00,2009-04-30 00:00:00,Open,Dust Collector,MINOR,QUANTUM INK COMPANY,4651 MELTON AVE,LOUISVILLE,40213-0000,211
62,C-1678-1000,APCDCONS,2008-07-31 00:00:00,2009-07-31 00:00:00,Void,Paint booth,MINOR,MARMON-HERRINGTON CO.,12530 WESTPORT RD,LOUISVILLE,40245-0000,212
63,C-0760-1000,APCDCONS,2011-05-31 00:00:00,2012-05-31 00:00:00,Open,Two (2) temporary boilers,MINOR,STS. MARY AND ELIZABETH HOSP,1850 BLUEGRASS AVE,LOUISVILLE,40215-0000,213
64,C-0760-1001,APCDCONS,2011-05-31 00:00:00,2012-05-31 00:00:00,Open,Two (2) permanent boilers,MINOR,STS. MARY AND ELIZABETH HOSP,1850 BLUEGRASS AVE,LOUISVILLE,40215-0000,214
65,C-0760-1002,APCDCONS,2011-05-31 00:00:00,2012-05-31 00:00:00,Open,Two (2) emergency genetators,MINOR,STS. MARY AND ELIZABETH HOSP,1850 BLUEGRASS AVE,LOUISVILLE,40215-0000,215
66,C-0760-1003,APCDCONS,2011-05-31 00:00:00,2012-05-31 00:00:00,Open,One (1) cooling tower,MINOR,STS. MARY AND ELIZABETH HOSP,1850 BLUEGRASS AVE,LOUISVILLE,40215-0000,216
67,C-1568-1000,APCDCONS,2007-11-30 00:00:00,2008-11-30 00:00:00,Void,"6 edge grinders, 4 chamfer",FEDOOP,NHK SPRING PRECISION AMERICA,10600 FREEPORT DR,LOUISVILLE,40258-0000,217
68,C-1568-1001,APCDCONS,2007-11-30 00:00:00,2008-11-30 00:00:00,Void,Two baghouses,FEDOOP,NHK SPRING PRECISION AMERICA,10600 FREEPORT DR,LOUISVILLE,40258-0000,218
69,C-1568-1002,APCDCONS,,,Void,7 shot peening machines,FEDOOP,NHK SPRING PRECISION AMERICA,10600 FREEPORT DR,LOUISVILLE,40258-0000,219
70,C-1568-1004,APCDCONS,,,Void,One small edge grinder,FEDOOP,NHK SPRING PRECISION AMERICA,10600 FREEPORT DR,LOUISVILLE,40258-0000,220
71,C-1553-1000,APCDCONS,2006-03-31 00:00:00,2007-03-31 00:00:00,Open,LEMT Electro Galvanizing Line,FEDOOP,REPUBLIC CONDUIT MANUFACTURING,7301 LOGISTICS DR,LOUISVILLE,40258-0000,221
72,C-1553-1001,APCDCONS,2006-03-31 00:00:00,2007-03-31 00:00:00,Open,One (1) Wet Scrubber #2 (9G),FEDOOP,REPUBLIC CONDUIT MANUFACTURING,7301 LOGISTICS DR,LOUISVILLE,40258-0000,222
73,C-1553-1003,APCDCONS,2006-03-31 00:00:00,2007-03-31 00:00:00,Open,Hot Dip Galvanizing Line,FEDOOP,REPUBLIC CONDUIT MANUFACTURING,7301 LOGISTICS DR,LOUISVILLE,40258-0000,223
74,C-1553-1009,APCDCONS,2006-03-31 00:00:00,2007-03-31 00:00:00,Open,Zinc Dissolution Process,FEDOOP,REPUBLIC CONDUIT MANUFACTURING,7301 LOGISTICS DR,LOUISVILLE,40258-0000,224
75,C-0143-1001,APCDCONS,2009-05-19 00:00:00,2010-05-19 00:00:00,Open,"Vacuum trucks, Gasoline Terminal",FEDOOP,MARATHON ASHLAND PETROLEUM LLC,3920 KRAMERS LN,LOUISVILLE,40216-0000,225
76,C-0143-1002,APCDCONS,2009-05-19 00:00:00,2010-05-19 00:00:00,Open,"Control Device, Gasoline Terminal",FEDOOP,MARATHON ASHLAND PETROLEUM LLC,3920 KRAMERS LN,LOUISVILLE,40216-0000,226
77,C-0143-1003,APCDCONS,2009-01-31 00:00:00,2010-01-31 00:00:00,Open,"Storage tank, Gasoline Terminal",FEDOOP,MARATHON ASHLAND PETROLEUM LLC,3920 KRAMERS LN,LOUISVILLE,40216-0000,227
78,C-0126-1003,APCDCONS,2003-10-31 00:00:00,2004-10-31 00:00:00,Void,Porta Batch lime slurry mixers,TITLE V,LOUISVILLE GAS & ELECTRIC COMPANY,5252 CANE RUN RD,LOUISVILLE,40216-0000,228
79,C-0547-1000,APCDCONS,,,Void,2 molding presses and 4 cooling towers,MINOR,BERRY PLASTICS,11601 ELECTRON DR,JEFFERSONTOWN,40299-0000,229
80,C-0870-1007,APCDCONS,,,Open,Recycling Systems,TITLE V,"HAIER US APPLIANCE SOLUTIONS, INC.",4000 BUECHEL BANK RD,LOUISVILLE,40225-0000,230
81,C-0149-1001,APCDCONS,,,Open,wastewater screening & grit collection,FEDOOP,METROPOLITAN SEWER DISTRICT,4522 ALGONQUIN PKY,LOUISVILLE,40211-0000,231
82,C-0716-1000,APCDCONS,2008-10-31 00:00:00,2009-10-31 00:00:00,Open,Boilers for Hospital,MINOR,Baptist Health Hospital,4000 KRESGE WAY,ST MATTHEWS,40207-0000,232
83,C-1474-1000,APCDCONS,2010-06-02 00:00:00,2011-06-30 00:00:00,Open,Printing presses,MINOR,LABEL SPECIALTIES,2501 TECHNOLOGY DR,JEFFERSONTOWN,40299-0000,233
84,C-0148-1004,APCDCONS,,,Void,Fly Ash baghouse,TITLE V,LOU. MED. CENTER INC STEAM & CHILLED WATER PLANT,235 ABRAHAM FLEXNER WAY,LOUISVILLE,40202-0000,234
85,C-1900-1000,APCDCONS,2015-11-24 00:00:00,2016-11-25 00:00:00,Void,Fertilizer strge & distribution,FEDOOP,"Oxbow Fertilizer, LLC",8252 PORT RD,LOUISVILLE,40258-0000,235
86,C-0027-1000,APCDCONS,,,Open,Wood working equipment,FEDOOPSE,KENTUCKY INDIANA LUMBER -US LBM,4010 COLLINS LN,LOUISVILLE,40245-0000,236
87,C-0870-1009,APCDCONS,,,Open,Sanding of defective parts,TITLE V,"HAIER US APPLIANCE SOLUTIONS, INC.",4000 BUECHEL BANK RD,LOUISVILLE,40225-0000,237
88,C-0450-1000,APCDCONS,2016-06-13 13:44:00,2017-06-13 00:00:00,Open,Paint spray booth,FEDOOPSE,"PTHV Acquisitions, LLC",7845 NATIONAL TPKE,LOUISVILLE,40214-0000,238
89,C-0187-1002,APCDCONS,,,Open,"2 nat gas units, decanter",TITLE V,ECKART AMERICA CORPORATION,4101 CAMP GROUND RD,LOUISVILLE,40211-0000,239
90,C-1027-1002,APCDCONS,2016-04-29 15:52:00,2017-04-29 00:00:00,Open,Plant expansion,FEDOOPSE,HILLERICH AND BRADSBY CO.,800 W MAIN ST,LOUISVILLE,40202-0000,240
91,C-1493-1000,APCDCONS,2008-03-31 00:00:00,2009-03-31 00:00:00,Open,"Washers, Dryers and Boiler",MINOR,UNIVERSAL LINEN SERVICE,1803 COMMERCE RD,LOUISVILLE,40208-0000,241
92,C-1556-1000,APCDCONS,2005-10-15 00:00:00,2006-10-31 00:00:00,Open,Dust collector and cup filter,MINOR,BLUEGRASS PACKAGING INDUSTRIES,3651 COLLINS LN,LOUISVILLE,40245-0000,242
93,C-1912-1000,APCDCONS,,,Void,Separation from Chemours,TITLE V,"E.I. du Pont de Nemours and Company, Inc.",4250 CAMP GROUND RD,LOUISVILLE,40216-0000,243
94,C-0870-1010,APCDCONS,,,Open,Natural Gas fired process heater,TITLE V,"HAIER US APPLIANCE SOLUTIONS, INC.",4000 BUECHEL BANK RD,LOUISVILLE,40225-0000,244
95,C-0115-1002,APCDCONS,,,Open,,FEDOOP,SWIFT PORK COMPANY,1200 STORY AVE,LOUISVILLE,40206-0000,245
96,C-0115-1003,APCDCONS,2016-03-14 11:13:00,2017-03-31 00:00:00,Open,blood dryer,FEDOOP,SWIFT PORK COMPANY,1200 STORY AVE,LOUISVILLE,40206-0000,246
97,C-0149-1003,APCDCONS,,,Open,0.96 mmbtu natural gas air handler,FEDOOP,METROPOLITAN SEWER DISTRICT,4522 ALGONQUIN PKY,LOUISVILLE,40211-0000,247
98,C-1231-1001,APCDCONS,2016-03-24 10:24:00,2017-03-31 00:00:00,Open,Production increase SD-1 and 2 baghouses,FEDOOPSE,"FORTH TECHNOLOGIES, INC.",600 BERGMAN ST,LOUISVILLE,40203-0000,248
99,C-0160-1000,APCDCONS,2005-02-28 00:00:00,2006-02-28 00:00:00,Void,Rollcoaters,FEDOOPSE,OMEGA NATIONAL PRODUCTS,1525 E BRECKINRIDGE ST,LOUISVILLE,40204-0000,249
100,C-0465-1001,APCDCONS,2008-08-31 00:00:00,2009-08-31 00:00:00,Void,Blend Tank,FEDOOPSE,UNIVERSAL MINERALS KENTUCKY INC.,8250 PORT RD,LOUISVILLE,40258-0000,250
101,C-1188-1000,APCDCONS,2010-12-21 00:00:00,2011-12-31 00:00:00,Open,builds ladders,MINOR,GREEN BULL INC.,11225 BLUEGRASS PKY,JEFFERSONTOWN,40299-0000,301
102,C-1797-1000,APCDCONS,,,Open,Auto body shop,MINOR,M & L AUTO BODY,700 VINE ST,LOUISVILLE,40204-0000,302
103,C-0415-1000,APCDCONS,,,Open,RAP crusher & screener,FEDOOP,FLYNN BROTHERS CONTRACTING,4620 ROBARDS LN,LOUISVILLE,40218-0000,303
104,C-1850-1000,APCDCONS,,,Open,emergency generators,REGISTERED,CHARTER COMMNICATIONS,10300 ORMSBY PARK PL,LYNDON,40223-0000,304
105,C-1225-1000,APCDCONS,2013-02-28 00:00:00,2014-02-28 00:00:00,Open,SVE production area,FEDOOP,"ATKEMIX TEN, INC.",6100 CAMP GROUND RD,LOUISVILLE,40216-0000,305
106,C-1440-1000,APCDCONS,2006-08-21 00:00:00,2007-08-31 00:00:00,Void,Cleaning,FEDOOP,ALGOOD FOODS,7401 TRADE PORT DR,LOUISVILLE,40258-0000,306
107,C-1440-1001,APCDCONS,2009-02-28 00:00:00,2010-02-28 00:00:00,Void,Cleaning,FEDOOP,ALGOOD FOODS,7401 TRADE PORT DR,LOUISVILLE,40258-0000,307
108,C-0869-1001,APCDCONS,2011-08-03 00:00:00,2012-08-31 00:00:00,Open,Two (2) emergency generators,MINOR,NORTON HOSPITAL INC.,4001 DUTCHMANS LN,ST MATTHEWS,40207-0000,308
109,C-0805-1000,APCDCONS,,,Open,Two (2) litho presses and one (1) flexo press,MINOR,STRY-LENKOFF CO.,1100 W BROADWAY,LOUISVILLE,40203-0000,309
110,C-1795-1000,APCDCONS,2012-03-13 00:00:00,2013-03-31 00:00:00,Open,oil reclamation unit,MINOR,GENERAL ELECTRIC INTERNATIONAL,850 BARRET AVE,LOUISVILLE,40204-0000,310
111,C-1639-1000,APCDCONS,,,Open,OxyFuel Cutting Table,FEDOOPSE,MISA METAL FABRICATING INC.,7101 INTERNATIONAL DR,LOUISVILLE,40258-0000,311
112,C-1553-1022,APCDCONS,2008-11-30 00:00:00,2009-11-30 00:00:00,Open,small diameter thread line surface coating,FEDOOP,REPUBLIC CONDUIT MANUFACTURING,7301 LOGISTICS DR,LOUISVILLE,40258-0000,312
113,C-1553-1023,APCDCONS,2008-11-30 00:00:00,2009-11-30 00:00:00,Open,Coating for large diameter thread line,FEDOOP,REPUBLIC CONDUIT MANUFACTURING,7301 LOGISTICS DR,LOUISVILLE,40258-0000,313
114,C-1553-1024,APCDCONS,2009-03-31 00:00:00,2010-03-31 00:00:00,Open,"One (1) 12,750 gallon paint tank, T-2.",FEDOOP,REPUBLIC CONDUIT MANUFACTURING,7301 LOGISTICS DR,LOUISVILLE,40258-0000,314
115,C-1553-1025,APCDCONS,2009-01-31 00:00:00,2010-03-31 00:00:00,Open,Two (2) ultra violet ink printers,FEDOOP,REPUBLIC CONDUIT MANUFACTURING,7301 LOGISTICS DR,LOUISVILLE,40258-0000,315
116,C-1553-1026,APCDCONS,2009-01-31 00:00:00,2010-03-31 00:00:00,Open,Three (3) storage tanks,FEDOOP,REPUBLIC CONDUIT MANUFACTURING,7301 LOGISTICS DR,LOUISVILLE,40258-0000,316
117,C-1553-1027,APCDCONS,2009-06-30 00:00:00,2010-06-30 00:00:00,Open,Metaullics Zinc Recovery (MZR) system,FEDOOP,REPUBLIC CONDUIT MANUFACTURING,7301 LOGISTICS DR,LOUISVILLE,40258-0000,317
118,C-1553-1028,APCDCONS,2010-02-05 00:00:00,2011-02-28 00:00:00,Open,cold solvent parts washer,FEDOOP,REPUBLIC CONDUIT MANUFACTURING,7301 LOGISTICS DR,LOUISVILLE,40258-0000,318
119,C-1553-1029,APCDCONS,2010-04-13 00:00:00,2011-04-30 00:00:00,Open,Two (2) cold solvent parts washers,FEDOOP,REPUBLIC CONDUIT MANUFACTURING,7301 LOGISTICS DR,LOUISVILLE,40258-0000,319
120,C-0187-1001,APCDCONS,,,Open,F-010 metal mesh filter modify,TITLE V,ECKART AMERICA CORPORATION,4101 CAMP GROUND RD,LOUISVILLE,40211-0000,320
121,C-0283-1001,APCDCONS,,,Open,Revision to Emergency generator construction permi,TITLE V,ZEON CHEMICALS L.P.,4100 BELLS LN,LOUISVILLE,40211-0000,321
122,C-0230-1000,APCDCONS,,,Deleted,Manufactures barrels,FEDOOPSE,KELVIN CORPORATION,1103 OUTER LOOP,LOUISVILLE,40219-0000,322
123,C-0125-1000,APCDCONS,,,Open,2 natural gas compressors,TITLE V,LG&E PADDY'S RUN STATION,4512 BELLS LN,LOUISVILLE,40211-0000,323
124,C-1264-1003,APCDCONS,2007-06-15 00:00:00,2008-06-30 00:00:00,Open,Silos,FEDOOPSE,ZEOCHEM,1314 S 12TH ST,LOUISVILLE,40210-0000,324
125,C-1264-1005,APCDCONS,2007-06-15 00:00:00,2008-06-30 00:00:00,Open,Dense Phase System,FEDOOPSE,ZEOCHEM,1314 S 12TH ST,LOUISVILLE,40210-0000,325
126,C-1264-1006,APCDCONS,2007-10-31 00:00:00,2008-10-31 00:00:00,Open,Ring Dryer and other equipment,FEDOOPSE,ZEOCHEM,1314 S 12TH ST,LOUISVILLE,40210-0000,326
127,C-1264-1007,APCDCONS,2007-10-31 00:00:00,2008-10-31 00:00:00,Open,Dust Collector - Ring Dryer and other,FEDOOPSE,ZEOCHEM,1314 S 12TH ST,LOUISVILLE,40210-0000,327
128,C-1264-1008,APCDCONS,2008-03-26 00:00:00,2009-03-31 00:00:00,Open,2 Sulfuric Acid Storage Tanks,FEDOOPSE,ZEOCHEM,1314 S 12TH ST,LOUISVILLE,40210-0000,328
129,C-1264-1009,APCDCONS,2008-11-30 00:00:00,2009-11-30 00:00:00,Void,Plant A & B Dryer/Calciner,FEDOOPSE,ZEOCHEM,1314 S 12TH ST,LOUISVILLE,40210-0000,329
130,C-1264-1010,APCDCONS,,,Void,Dust Collector,FEDOOPSE,ZEOCHEM,1314 S 12TH ST,LOUISVILLE,40210-0000,330
