ObjectId,INCIDENT_NUMBER,DATE_REPORTED,DATE_OCCURED,CRIME_TYPE,UOR_DESC,LEOKA_APPLIES,OFFICER_KILLED,TYPE_OF_ASSIGNMENT,TYPE_OF_ACTIVITY,NIBRS_CODE,UCR_HIERARCHY,ATT_COMP,LMPD_DIVISION,LMPD_BEAT,PREMISE_TYPE,BLOCK_ADDRESS,OFFENSE_CITY,OFFENSE_ZIP
11,80-13-091468,2013/11/27 23:00:00+00,2013/11/27 21:20:59+00,ASSAULT,DISARMING A PEACE OFFICER,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER)                    ,ATTEMPTING OTHER ARREST                                ,13A,PART I,COMPLETED,3RD DIVISION,315,PARKING LOT / GARAGE                         ,9900 BLOCK DIXIE HWY                                        ,LOUISVILLE,40272
12,80-12-015576,2012/02/28 03:45:00+00,2012/02/28 00:58:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)           ,TRAFFIC PURSUIT OR STOPS                               ,13A,PART I,COMPLETED,6TH DIVISION,625,PARKING LOT / GARAGE                         ,3300 BLOCK BARDSTOWN RD                                     ,LOUISVILLE,40218
13,80-14-003982,2014/01/16 19:37:00+00,2014/01/16 19:37:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER)                    ,TRAFFIC PURSUIT OR STOPS                               ,13A,PART I,COMPLETED,3RD DIVISION,331,HIGHWAY / ROAD / ALLEY                       ,CANE RUN RD / WILKIE RD                                     ,LOUISVILLE,40216
14,80-13-073661,2013/09/26 03:55:00+00,2013/09/25 23:19:59+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)              ,TRAFFIC PURSUIT OR STOPS                               ,13A,PART I,COMPLETED,1ST DIVISION,111,PARKING LOT / GARAGE                         ,N 22ND ST / GRIFFITHS AVE                                   ,LOUISVILLE,40212
15,80-13-021969,2013/03/29 22:05:59+00,2013/03/29 22:01:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,DETECTIVE OR SPECIAL ASSIGNMENT ALONE                  ,ALL OTHER                                              ,13A,PART I,COMPLETED,7TH DIVISION,724,HIGHWAY / ROAD / ALLEY                       ,@SMYRNA PKY TO I265S                                        ,LOUISVILLE,40228
16,80-13-005894,2013/01/24 18:20:00+00,2013/01/24 18:00:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER)                    ,ATTEMPTING OTHER ARREST                                ,13A,PART I,COMPLETED,2ND DIVISION,223,HIGHWAY / ROAD / ALLEY                       ,800 BLOCK S 32ND ST                                         ,LOUISVILLE,40211
17,80-14-043422,2014/06/14 08:31:00+00,2014/06/14 08:29:59+00,ASSAULT,ASSAULT - 2ND DEGREE,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER)                    ,ALL OTHER                                              ,13A,PART I,COMPLETED,4TH DIVISION,423,HIGHWAY / ROAD / ALLEY                       ,3200 BLOCK 7TH STREET RD                                    ,LOUISVILLE,40216
18,80-12-064005,2012/08/12 03:24:00+00,2012/08/12 03:20:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)              ,TRAFFIC PURSUIT OR STOPS                               ,13A,PART I,COMPLETED,2ND DIVISION,225,HIGHWAY / ROAD / ALLEY                       ,S 23RD ST / W BURNETT AVE                                   ,LOUISVILLE,40210
19,80-12-063687,2012/08/10 23:26:00+00,2012/08/10 23:26:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)              ,TRAFFIC PURSUIT OR STOPS                               ,13A,PART I,COMPLETED,METRO LOUISVILLE,SHV,HIGHWAY / ROAD / ALLEY                       ,ROCKFORD LN / VAN HOOSE RD                                  ,SHIVELY,40216
20,80-12-077505,2012/09/29 01:33:00+00,2012/09/29 00:55:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)              ,RESPONDING TO DISTURBANCE CALLS                        ,13A,PART I,COMPLETED,6TH DIVISION,624,HIGHWAY / ROAD / ALLEY                       ,FEGENBUSH LN / NORBROOK DR                                  ,LOUISVILLE,40228
21,80-13-045042,2013/06/19 09:59:59+00,2013/06/19 07:47:59+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)              ,INVESTIGATING SUSPICIOUS PERSONS OR CIRCUMSTANCE       ,13A,PART I,COMPLETED,4TH DIVISION,424,CONVENIENCE STORE                            ,4300 BLOCK S 3RD ST                                         ,LOUISVILLE,40214
22,80-13-052452,2013/07/15 21:59:59+00,2013/07/15 21:55:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)           ,ALL OTHER                                              ,13A,PART I,COMPLETED,1ST DIVISION,112,HIGHWAY / ROAD / ALLEY                       ,S 22ND ST / W MADISON ST                                    ,LOUISVILLE,40211
23,80-12-081063,2012/10/12 00:00:00+00,2012/10/11 22:54:59+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)           ,ATTEMPTING OTHER ARREST                                ,13A,PART I,COMPLETED,1ST DIVISION,111,RESIDENCE / HOME                             ,1800 BLOCK NORTHWESTERN PKY                                 ,LOUISVILLE,40203
24,80-13-022316,2013/03/31 11:19:59+00,2013/03/31 11:19:59+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)           ,ALL OTHER                                              ,13A,PART I,COMPLETED,2ND DIVISION,223,HIGHWAY / ROAD / ALLEY                       ,S 24TH ST / GARLAND AVE                                     ,LOUISVILLE,40211
25,80-12-001971,2012/01/08 03:59:59+00,2012/01/08 02:02:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)              ,TRAFFIC PURSUIT OR STOPS                               ,13A,PART I,COMPLETED,2ND DIVISION,234,HIGHWAY / ROAD / ALLEY                       ,ALGONQUIN PKY / WILSON AVE                                  ,LOUISVILLE,40211
26,80-12-097378,2012/12/09 02:07:59+00,2012/12/09 00:40:59+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)              ,ALL OTHER                                              ,13A,PART I,COMPLETED,1ST DIVISION,134,HIGHWAY / ROAD / ALLEY                       ,FRANKFORT AVE / E WASHINGTON ST                             ,LOUISVILLE,40206
27,80-13-012190,2013/02/19 06:26:00+00,2013/02/19 04:43:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)           ,ALL OTHER                                              ,13A,PART I,COMPLETED,5TH DIVISION,512,HIGHWAY / ROAD / ALLEY                       ,BARDSTOWN RD / BAXTER AVE                                   ,LOUISVILLE,40204
28,80-12-007921,2012/01/30 04:17:00+00,2012/01/29 05:38:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER)                    ,ATTEMPTING OTHER ARREST                                ,13A,PART I,COMPLETED,3RD DIVISION,323,HIGHWAY / ROAD / ALLEY                       ,400 BLOCK MOUNT HOLLY RD                                    ,LOUISVILLE,40118
29,80-12-020485,2012/03/16 16:27:00+00,2012/03/14 12:30:00+00,ASSAULT,DISARMING A PEACE OFFICER,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)           ,MENTALLY DERANGED                                      ,13A,PART I,COMPLETED,8TH DIVISION,824,RESIDENCE / HOME                             ,200 BLOCK LANARK DELL                                       ,DRUID_HILLS,40243
30,80-13-045042,2013/06/19 09:59:59+00,2013/06/19 07:47:59+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)              ,INVESTIGATING SUSPICIOUS PERSONS OR CIRCUMSTANCE       ,13A,PART I,COMPLETED,4TH DIVISION,424,CONVENIENCE STORE                            ,4300 BLOCK S 3RD ST                                         ,LOUISVILLE,40214
31,80-12-057567,2012/07/20 15:37:59+00,2012/07/20 15:30:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)           ,DOMESTIC DISTURBANCE                                   ,13A,PART I,COMPLETED,7TH DIVISION,724,HIGHWAY / ROAD / ALLEY                       ,I 65 RAMP / KY-841 RAMP                                     ,LOUISVILLE,40118
32,80-13-062170,2013/08/18 05:50:00+00,2013/08/18 04:15:59+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)              ,TRAFFIC PURSUIT OR STOPS                               ,13A,PART I,COMPLETED,4TH DIVISION,424,HIGHWAY / ROAD / ALLEY                       ,3800 BLOCK SOUTHERN PKY                                     ,LOUISVILLE,40214
33,80-12-039906,2012/05/20 07:31:00+00,2012/05/20 07:31:00+00,ASSAULT,MURDER - POLICE OFFICER ATTEMPTED,YES,NO,"OTHER ASSISTED (FOOT, OFF DUTY, ETC)                   ",RESPONDING TO DISTURBANCE CALLS                        ,13A,PART I,COMPLETED,2ND DIVISION,223,HIGHWAY / ROAD / ALLEY                       ,2900 BLOCK W KENTUCKY ST                                    ,LOUISVILLE,40211
34,80-12-057567,2012/07/20 15:37:59+00,2012/07/20 15:30:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)           ,DOMESTIC DISTURBANCE                                   ,13A,PART I,COMPLETED,7TH DIVISION,724,HIGHWAY / ROAD / ALLEY                       ,I 65 RAMP / KY-841 RAMP                                     ,LOUISVILLE,40118
35,80-12-094404,2012/11/28 22:57:59+00,2012/11/28 22:57:59+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)           ,TRAFFIC PURSUIT OR STOPS                               ,13A,PART I,COMPLETED,6TH DIVISION,613,HIGHWAY / ROAD / ALLEY                       ,5100 BLOCK YAUPON LN                                        ,LOUISVILLE,40213
36,80-12-057567,2012/07/20 15:37:59+00,2012/07/20 15:30:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)           ,DOMESTIC DISTURBANCE                                   ,13A,PART I,COMPLETED,7TH DIVISION,724,HIGHWAY / ROAD / ALLEY                       ,I 65 RAMP / KY-841 RAMP                                     ,LOUISVILLE,40118
37,80-12-064959,2012/08/13 04:33:00+00,2012/08/13 04:27:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)              ,TRAFFIC PURSUIT OR STOPS                               ,13A,PART I,COMPLETED,1ST DIVISION,123,HIGHWAY / ROAD / ALLEY                       ,S 12TH ST / W MUHAMMAD ALI BLVD                             ,LOUISVILLE,40203
38,80-12-058598,2012/07/24 03:59:00+00,2012/07/24 03:40:00+00,ASSAULT,DISARMING A PEACE OFFICER,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)              ,ATTEMPTING OTHER ARREST                                ,13A,PART I,COMPLETED,1ST DIVISION,112,HIGHWAY / ROAD / ALLEY                       ,S 29TH ST / W MUHAMMAD ALI BLVD                             ,LOUISVILLE,40212
39,80-12-087986,2012/11/05 06:59:59+00,2012/11/05 05:10:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)           ,INVESTIGATING SUSPICIOUS PERSONS OR CIRCUMSTANCE       ,13A,PART I,COMPLETED,8TH DIVISION,823,RESIDENCE / HOME                             ,1800 BLOCK CLARK STATION RD                                 ,LOUISVILLE,40023
40,80-12-060768,2012/07/31 23:42:59+00,2012/07/31 23:42:59+00,ASSAULT,ASSAULT - 4TH DEGREE (NO VISIBLE INJURY),YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)           ,ALL OTHER                                              ,13B,PART II,COMPLETED,2ND DIVISION,211,RESIDENCE / HOME                             ,200 BLOCK CECIL AVE                                         ,LOUISVILLE,40212
41,80-12-087476,2012/11/03 00:21:59+00,2012/11/02 23:55:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)              ,ROBBERY IN PROGRESS OR PURSUING ROBBERY SUSPECT        ,13A,PART I,COMPLETED,1ST DIVISION,123,HIGHWAY / ROAD / ALLEY                       ,S 13TH ST / W MUHAMMAD ALI BLVD                             ,LOUISVILLE,40203
42,80-12-063170,2012/08/09 05:00:00+00,2012/08/09 04:28:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)              ,BURGLARY IN PROGRESS OR PURSUING BURG SUSPECT          ,13A,PART I,COMPLETED,3RD DIVISION,322,PARKING LOT / GARAGE                         ,3100 BLOCK ST ANTHONY GARDENS DR                            ,LOUISVILLE,40214
43,80-13-014147,2013/02/27 00:30:00+00,2013/02/27 00:11:59+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)           ,ROBBERY IN PROGRESS OR PURSUING ROBBERY SUSPECT        ,13A,PART I,COMPLETED,1ST DIVISION,123,HIGHWAY / ROAD / ALLEY                       ,400 BLOCK S 4TH ST                                          ,LOUISVILLE,40202
44,80-21-064390,2021/11/01 16:33:00+00,2021/11/01 16:30:00+00,ASSAULT,ASSAULT - 2ND DEGREE - POLICE OFFICER,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER)                    ,MENTALLY DERANGED                                      ,13A,PART I,COMPLETED,5TH DIVISION,521,HIGHWAY / ROAD / ALLEY                       ,1800 BLOCK FRANKFORT AVE                                    ,LOUISVILLE,40206
45,80-22-061795,2022/10/23 17:06:00+00,2022/10/23 17:00:00+00,ASSAULT,ASSAULT - 2ND DEGREE - POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)           ,DOMESTIC DISTURBANCE                                   ,13A,PART I,COMPLETED,2ND DIVISION,236,RESIDENCE / HOME                             ,3100 BLOCK TEAKWOOD CIR                                     ,LOUISVILLE,40216
46,80-22-042086,2022/07/25 17:06:00+00,2022/07/25 17:00:00+00,ASSAULT,ASSAULT - 2ND DEGREE - POLICE OFFICER,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER)                    ,TRAFFIC PURSUIT OR STOPS                               ,13A,PART I,COMPLETED,1ST DIVISION,135,PARKING LOT / GARAGE                         ,900 BLOCK MARSHALL ST                                       ,LOUISVILLE,40204
47,80-23-011172,2023/02/18 00:14:59+00,2023/02/17 21:45:00+00,ASSAULT,ASSAULT - 2ND DEGREE - POLICE OFFICER,YES,NO,"OTHER ALONE (FOOT, OFF DUTY, ECT)                      ",ALL OTHER                                              ,13A,PART I,COMPLETED,8TH DIVISION,815,MALL / SHOPPING CENTER                       ,7900 BLOCK SHELBYVILLE RD                                   ,LOUISVILLE,40222
48,80-12-087986,2012/11/05 06:59:59+00,2012/11/05 05:10:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)              ,INVESTIGATING SUSPICIOUS PERSONS OR CIRCUMSTANCE       ,13A,PART I,COMPLETED,8TH DIVISION,823,RESIDENCE / HOME                             ,1800 BLOCK CLARK STATION RD                                 ,LOUISVILLE,40023
49,80-12-067363,2012/08/04 05:29:59+00,2012/08/04 05:29:59+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)           ,ALL OTHER                                              ,13A,PART I,COMPLETED,1ST DIVISION,135,HIGHWAY / ROAD / ALLEY                       ,E BROADWAY / S PRESTON ST                                   ,LOUISVILLE,40202
50,80-12-100139,2012/12/13 00:11:00+00,2012/12/13 00:11:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)           ,TRAFFIC PURSUIT OR STOPS                               ,13A,PART I,COMPLETED,2ND DIVISION,212,HIGHWAY / ROAD / ALLEY                       ,W BROADWAY / LOUIS COLEMAN JR DR                            ,LOUISVILLE,40211
51,80-21-045785,2021/08/05 06:35:00+00,2021/08/05 06:35:00+00,HOMICIDE,MURDER POLICE OFFICER,YES,YES,"OTHER ALONE (FOOT, OFF DUTY, ECT)                      ",TRAFFIC PURSUIT OR STOPS                               ,09A,PART I,COMPLETED,METRO LOUISVILLE,SHV,AUTO DEALERSHIP (NEW OR USED)                ,2600 BLOCK ROCKFORD LN                                      ,SHIVELY,40216
52,80-14-002463,2014/01/11 07:47:59+00,2014/01/11 07:46:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)              ,ALL OTHER                                              ,13A,PART I,COMPLETED,5TH DIVISION,512,HIGHWAY / ROAD / ALLEY                       ,BARRET AVE / EASTERN PKY                                    ,LOUISVILLE,40204
53,80-12-006750,2012/01/17 13:21:59+00,2012/01/17 13:21:59+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)           ,TRAFFIC PURSUIT OR STOPS                               ,13A,PART I,COMPLETED,4TH DIVISION,412,HIGHWAY / ROAD / ALLEY                       ,E BURNETT AVE / S FLOYD ST                                  ,LOUISVILLE,40208
54,80-12-057567,2012/07/20 15:37:59+00,2012/07/20 15:30:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)           ,DOMESTIC DISTURBANCE                                   ,13A,PART I,COMPLETED,7TH DIVISION,724,HIGHWAY / ROAD / ALLEY                       ,I 65 RAMP / KY-841 RAMP                                     ,LOUISVILLE,40118
55,80-14-022574,2014/04/01 18:35:00+00,2014/04/01 18:35:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)           ,RESPONDING TO DISTURBANCE CALLS                        ,13A,PART I,COMPLETED,2ND DIVISION,234,HIGHWAY / ROAD / ALLEY                       ,2000 BLOCK S 40TH ST                                        ,LOUISVILLE,40211
56,80-13-013513,2013/02/24 06:32:00+00,2013/02/24 06:20:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)           ,RESPONDING TO DISTURBANCE CALLS                        ,13A,PART I,COMPLETED,5TH DIVISION,521,RESIDENCE / HOME                             ,2400 BLOCK MELLWOOD AVE                                     ,LOUISVILLE,40206
57,80-14-030699,2014/05/01 15:23:00+00,2014/05/01 15:10:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)           ,ALL OTHER                                              ,13A,PART I,COMPLETED,7TH DIVISION,724,PARKING LOT / GARAGE                         ,11900 BLOCK STANDIFORD PLAZA DR                             ,LOUISVILLE,40229
58,80-12-041285,2012/05/25 03:45:00+00,2012/05/24 01:20:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)              ,RESPONDING TO DISTURBANCE CALLS                        ,13A,PART I,COMPLETED,5TH DIVISION,512,HIGHWAY / ROAD / ALLEY                       ,BARDSTOWN RD / EASTERN PKY                                  ,LOUISVILLE,40204
59,80-12-100139,2012/12/13 00:11:00+00,2012/12/13 00:11:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)           ,TRAFFIC PURSUIT OR STOPS                               ,13A,PART I,COMPLETED,2ND DIVISION,212,HIGHWAY / ROAD / ALLEY                       ,W BROADWAY / LOUIS COLEMAN JR DR                            ,LOUISVILLE,40211
60,80-12-047727,2012/06/16 05:06:59+00,2012/06/16 05:06:59+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER)                    ,TRAFFIC PURSUIT OR STOPS                               ,13A,PART I,COMPLETED,6TH DIVISION,612,HIGHWAY / ROAD / ALLEY                       ,4900 BLOCK POPLAR LEVEL RD                                  ,LOUISVILLE,40219
61,80-20-056944,2020/09/24 00:59:59+00,2020/09/24 00:29:00+00,ASSAULT,ASSAULT - 1ST DEGREE - POLICE OFFICER,YES,NO,DETECTIVE OR SPECIAL ASSIGNMENT ALONE                  ,"CIVIL DISORDER (RIOT, MASS DISOBEDIENCE, ETC.)         ",13A,PART I,COMPLETED,1ST DIVISION,135,HIGHWAY / ROAD / ALLEY                       ,E BROADWAY / S BROOK ST                                     ,LOUISVILLE,40202
62,80-12-094574,2012/11/05 01:02:00+00,2012/11/05 01:02:00+00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,DETECTIVE OR SPECIAL ASSIGNMENT ALONE                  ,ALL OTHER                                              ,13A,PART I,COMPLETED,4TH DIVISION,435,HIGHWAY / ROAD / ALLEY                       ,BICKNELL AVE / TAYLOR BLVD                                  ,LOUISVILLE,40215
