ObjectId,CodesAndRegsLicenseDataID,LicenseID,Description,LicenseName,Location,StreetNumber,Prefix,StreetName,Suffix,Longitude,Latitude,ExpirationDate,SubType,SubDescription,IssueDate,Zip,DISTRICT,NEIGHBORHOOD,ZONING,EndorsementType,EndorsementTypeDescription,EndorsementStatusDescription,EndorsementIssuedDate,AGENCY,GPSX,GPSY
11,111,3240,Alcoholic Beverage Annual,OHIO VALLEY VOLLEYBALL CENTER,1820 TAYLOR AVE ,1820, ,TAYLOR,AVE,-85.7035279524,38.2002648396,2019/02/28 05:00:00+00,BAR,Bar,2004-02-11 14:02:00,40213,10,POPLAR LEVEL,CM,MBRD2,NQ4 Retail Malt Beverage Drink (12 am till 2 am),ACTIVE,,Codes and Regulations,1222733.0,258305.0
12,112,24849,Alcoholic Beverage Annual,CIRCLE K # 3312,14000 TAYLORSVILLE RD ,14000, ,TAYLORSVILLE,RD,-85.486102061,38.1902169395,2019/08/31 03:59:59+00,GRO,Grocery / Food Mart,2009-10-22 14:07:00,40299,20,,(C1),MBP,NQ Retail Malt Beverage Package,ACTIVE,,Codes and Regulations,1285159.0,253734.0
13,113,3313,Alcoholic Beverage Annual,KOREANA II RESTAURANT,5009 PRESTON HWY ,5009, ,PRESTON,HWY,-85.7125643075,38.1763052313,2020/02/28 05:00:00+00,RST,Restaurant / Cafe,2004-02-16 11:17:00,40213,21,,C1,MBRD,NQ4 Retail Malt Beverage Drink,ACTIVE,,Codes and Regulations,1219998.0,249622.0
14,114,26981,Alcoholic Beverage Annual,CIRCLE K #3315,5929 NEW CUT RD ,5929, ,NEW CUT,RD,-85.7754448515,38.1268254436,2019/08/31 03:59:59+00,GRO,Grocery / Food Mart,2010-03-23 10:05:36,40214,13,,C1,MBP,NQ Retail Malt Beverage Package,ACTIVE,,Codes and Regulations,1201626.0,231899.0
15,115,26981,Alcoholic Beverage Annual,CIRCLE K #3315,5929 NEW CUT RD ,5929, ,NEW CUT,RD,-85.7754448515,38.1268254436,2019/08/31 03:59:59+00,GRO,Grocery / Food Mart,2010-03-23 10:05:36,40214,13,,C1,MBP2,NQ Retail Malt Beverage Package (12 am till 2 am),ACTIVE,,Codes and Regulations,1201626.0,231899.0
16,116,28224,Alcoholic Beverage Annual,THORNTONS #158,4900 BROWNSBORO RD ,4900, ,BROWNSBORO,RD,-85.634719435,38.2807831999,2019/08/31 03:59:59+00,GRO,Grocery / Food Mart,2010-08-13 11:08:00,40222,7,,C1,MBP2,NQ Retail Malt Beverage Package (12 am till 2 am),ACTIVE,,Codes and Regulations,1242945.0,287319.0
17,117,29731,Alcoholic Beverage Annual,CIRCLE K # 3325,9737 3RD STREET RD ,9737, ,3RD STREET,RD,-85.8348452131,38.1148111497,2019/08/31 03:59:59+00,GRO,Grocery / Food Mart,2010-11-08 13:42:27,40272,25,,C1,MBP,NQ Retail Malt Beverage Package,ACTIVE,,Codes and Regulations,1184466.0,227813.0
18,118,29731,Alcoholic Beverage Annual,CIRCLE K # 3325,9737 3RD STREET RD ,9737, ,3RD STREET,RD,-85.8348452131,38.1148111497,2019/08/31 03:59:59+00,GRO,Grocery / Food Mart,2010-11-08 13:42:27,40272,25,,C1,MBP2,NQ Retail Malt Beverage Package (12 am till 2 am),ACTIVE,,Codes and Regulations,1184466.0,227813.0
19,119,5638,Alcoholic Beverage Annual,MEIJER PARTY STORE #162,9907 DIXIE HWY ,9907, ,DIXIE,HWY,-85.8611283067,38.1113143918,2019/08/31 03:59:59+00,LIQ,Liquor Store,2004-08-03 08:42:00,40272,25,,C1,MBP,NQ Retail Malt Beverage Package,ACTIVE,,Codes and Regulations,1176883.0,226671.0
20,120,14ABC1205,Alcoholic Beverage Annual,MARK'S FEED STORE,10316 DIXIE HWY ,10316, ,DIXIE,HWY,-85.8693159582,38.1045050582,2019/07/31 03:59:59+00,RST,Restaurant / Cafe,2014-12-30 13:10:37,40272,14,,C1,RLD,NQ2 Retail Drink (Restaurant),ACTIVE,2014-12-30 13:10:37,Codes and Regulations,1174484.0,224233.0
21,121,14ABC1205,Alcoholic Beverage Annual,MARK'S FEED STORE,10316 DIXIE HWY ,10316, ,DIXIE,HWY,-85.8693159582,38.1045050582,2019/07/31 03:59:59+00,RST,Restaurant / Cafe,2014-12-30 13:10:37,40272,14,,C1,SD,Sunday Drink,ACTIVE,2014-12-30 13:10:37,Codes and Regulations,1174484.0,224233.0
22,122,15ABC1051,Alcoholic Beverage Annual,KOSAIR SHRINE CLUB,4120 BARDSTOWN RD ,4120, ,BARDSTOWN,RD,-85.6469792848,38.1914887887,2020/01/31 05:00:00+00,PRI,Private Club,2015-04-09 15:46:27,40218,2,,C2,PC,NQ3 Retail Drink (Private Club),ACTIVE,,Codes and Regulations,1238933.0,254858.0
23,123,4239,Alcoholic Beverage Annual,AMERICAN TURNERS LOUISVILLE,3125 RIVER RD ,3125, ,RIVER,RD,-85.697753983,38.2821914932,2019/05/31 03:59:59+00,PRI,Private Club,2004-06-01 12:28:00,40207,7,,R4,PC,NQ3 Retail Drink (Private Club),ACTIVE,,Codes and Regulations,1224861.0,288110.0
24,124,15ABC1075,Alcoholic Beverage Annual,LA COCINA DE MAMA,2809 N HURSTBOURNE PKY 117,2809,N,HURSTBOURNE,PKY,-85.5699318744,38.2866466239,2020/01/31 05:00:00+00,RST,Restaurant / Cafe,2015-06-01 13:15:53,40223,17,,C1,RLD,NQ2 Retail Drink (Restaurant),ACTIVE,2015-06-01 13:15:53,Codes and Regulations,1261571.0,289181.0
25,125,15ABC1121,Alcoholic Beverage Annual,XSCAPE THEATERS,12450 SYCAMORE STATION PL ,12450, ,SYCAMORE STATION,PL,-85.5315703384,38.2223523022,2019/02/28 05:00:00+00,AMU,Amusement,2015-09-16 09:45:42,40299,20,,C2,LD2,Quota Retail Drink (12 AM - 2 AM),ACTIVE,2015-09-16 09:45:42,Codes and Regulations,1272255.0,265614.0
26,126,16ABC1003,Alcoholic Beverage Annual,CHILI'S TOO,600 TERMINAL DR ,600, ,TERMINAL,DR,-85.7416363586,38.1861619505,2019/05/31 03:59:59+00,AIRPORT,Airport,2016-02-09 11:29:15,40209,21,REMAINDER OF CITY,EZ1,ESL,Extended Hours Supplement,INACTIVE,2016-02-09 11:29:15,Codes and Regulations,1211700.0,253345.0
27,127,16ABC1015,Alcoholic Beverage Annual,MAIN EVENT ENTERTAINMENT,12500 SYCAMORE STATION PL ,12500, ,SYCAMORE STATION,PL,-85.5291289253,38.2224889281,2019/02/28 05:00:00+00,RST,Restaurant / Cafe,2016-03-09 15:35:00,40299,20,,C2,RLD2,NQ2 Restaurant Liquor Drink (12 am till 2 am),ACTIVE,2016-03-09 15:35:00,Codes and Regulations,1272957.0,265654.0
28,128,33685,Alcoholic Beverage Annual,NORTH END CAFE HIGHLANDS,2116 BARDSTOWN RD ,2116, ,BARDSTOWN,RD,-85.6947641233,38.2247475495,2020/01/31 05:00:00+00,RST,Restaurant / Cafe,2011-11-14 12:03:42,40205,8,DEER PARK,(C2),MBRD2,NQ4 Retail Malt Beverage Drink (12 am till 2 am),ACTIVE,,Codes and Regulations,1225391.0,267180.0
29,129,16ABC1025,Alcoholic Beverage Annual,ZEGGZ AMAZING EGGS,2400 LIME KILN LN ,2400, ,LIME KILN,LN,-85.6292142571,38.2864507737,2020/01/31 05:00:00+00,RST,Restaurant / Cafe,2016-02-17 10:36:01,40222,7,,C1,RLD,NQ2 Retail Drink (Restaurant),ACTIVE,,Codes and Regulations,1244556.0,289359.0
30,130,13ABC1104,Alcoholic Beverage Annual,LEGENDARY BAR & GRILL,2523 W BROADWAY ,2523,W,BROADWAY, ,-85.7943315772,38.2496982578,2019/03/31 03:59:59+00,BAR,Bar,2014-01-27 16:06:33,40211,6,RUSSELL,C2,MBRD4,NQ4 Retail Malt Beverage Drink (12 am till 4 am),ACTIVE,,Codes and Regulations,1196944.0,276729.0
31,131,ABC920982,Alcoholic Beverage Annual,METRO DINER,4901 OUTER LOOP 100,4901, ,OUTER,LOOP,-85.6676180533,38.1397457829,2019/02/28 05:00:00+00,RST,Restaurant / Cafe,2017-10-13 10:34:54,40219,24,,C2,SD,Sunday Drink,ACTIVE,2017-10-13 10:34:54,Codes and Regulations,1232712.0,236108.0
32,132,14ABC1119,Alcoholic Beverage Annual,AGAINST THE GRAIN MICROBREWERY,1800 NORTHWESTERN PKY ,1800, ,NORTHWESTERN,PKY,-85.7767253897,38.2658752318,2019/10/31 03:59:59+00,MAN,Manufacturer,2014-09-04 11:15:38,40203,5,PORTLAND,EZ1,MCBW,Microbrewery,ACTIVE,2014-09-04 11:15:38,Codes and Regulations,1202097.0,282535.0
33,133,14ABC1121,Alcoholic Beverage Annual,HILTON GARDEN INN,350 W CHESTNUT ST ,350,W,CHESTNUT,ST,-85.7574728212,38.2487819335,2019/11/30 05:00:00+00,HOT,Hotels,2014-10-27 09:01:37,40202,4,CENTRAL BUSINESS DISTRICT,(C3),MBP,NQ Retail Malt Beverage Package,ACTIVE,2014-10-27 09:01:37,Codes and Regulations,1207522.0,276220.0
34,134,5638,Alcoholic Beverage Annual,MEIJER PARTY STORE #162,9907 DIXIE HWY ,9907, ,DIXIE,HWY,-85.8611283067,38.1113143918,2019/08/31 03:59:59+00,LIQ,Liquor Store,2004-08-03 08:42:00,40272,25,,C1,LP,Quota Retail Package,ACTIVE,,Codes and Regulations,1176883.0,226671.0
35,135,17247,Alcoholic Beverage Annual,MORE SHENANGIANS,4521 BARDSTOWN RD ,4521, ,BARDSTOWN,RD,-85.6278868279,38.1821915136,2020/01/31 05:00:00+00,BAR,Bar,2006-10-09 11:17:00,40218,2,,C2,MBRD,NQ4 Retail Malt Beverage Drink,ACTIVE,,Codes and Regulations,1244369.0,251390.0
36,136,5643,Alcoholic Beverage Annual,MEIJER PARTY STORE #160,4502 S HURSTBOURNE PKY ,4502,S,HURSTBOURNE,PKY,-85.6078875712,38.1877812979,2019/08/31 03:59:59+00,LIQ,Liquor Store,2004-08-03 08:59:00,40299,11,,C1,LP,Quota Retail Package,ACTIVE,,Codes and Regulations,1250147.0,253340.0
37,137,5644,Alcoholic Beverage Annual,MEIJER PARTY STORE #166,9500 PRESTON HWY ,9500, ,PRESTON,HWY,-85.6796326392,38.1125171895,2019/08/31 03:59:59+00,LIQ,Liquor Store,2004-08-03 09:02:00,40229,24,,C1,LP,Quota Retail Package,ACTIVE,,Codes and Regulations,1229103.0,226247.0
38,138,20962,Alcoholic Beverage Annual,QUEEN OF SHEBA,2804 TAYLORSVILLE RD ,2804, ,TAYLORSVILLE,RD,-85.6677092094,38.2225663186,2020/01/31 05:00:00+00,RST,Restaurant / Cafe,2008-07-01 08:44:00,40205,8,HAWTHORNE,C1,RLD,NQ2 Retail Drink (Restaurant),ACTIVE,,Codes and Regulations,1233150.0,266265.0
39,139,5646,Alcoholic Beverage Annual,MEIJER PARTY STORE #164,4102 TOWNE CENTER DR ,4102, ,TOWNE CENTER,DR,-85.5540372459,38.2993013822,2019/08/31 03:59:59+00,LIQ,Liquor Store,2004-08-03 09:21:00,40241,17,,C2,LP,Quota Retail Package,ACTIVE,,Codes and Regulations,1266198.0,293724.0
40,140,22842,Alcoholic Beverage Annual,MY LUCKY LIQUOR,3705 KLONDIKE LN ,3705, ,KLONDIKE,LN,-85.6396774166,38.2108991611,2020/01/31 05:00:00+00,GRO,Grocery / Food Mart,2009-01-07 13:32:34,40218,26,,C1,MBP,NQ Retail Malt Beverage Package,ACTIVE,,Codes and Regulations,1241138.0,261894.0
41,141,22932,Alcoholic Beverage Annual,D & M CORNER TAVERN,5207 MOUNT WASHINGTON RD ,5207, ,MOUNT WASHINGTON,RD,-85.6678173881,38.093063439,2020/01/31 05:00:00+00,BAR,Bar,2009-01-29 09:36:00,40229,23,,C2,MBRD4,NQ4 Retail Malt Beverage Drink (12 am till 4 am),ACTIVE,,Codes and Regulations,1232393.0,219111.0
42,142,23871,Alcoholic Beverage Annual,RAINBOW BLOSSOM,3046 BARDSTOWN RD ,3046, ,BARDSTOWN,RD,-85.6737991888,38.212855288,2020/01/31 05:00:00+00,GRO,Grocery / Food Mart,2009-07-02 15:36:50,40205,8,GARDINER LANE,C1,MBP,NQ Retail Malt Beverage Package,ACTIVE,,Codes and Regulations,1231346.0,262756.0
43,143,26761,Alcoholic Beverage Annual,SMYRNA INN,8201 SMYRNA PKY ,8201, ,SMYRNA,PKY,-85.6423552651,38.1303033721,2020/01/31 05:00:00+00,BAR,Bar,2010-02-10 14:38:09,40228,23,,R4,MBRD,NQ4 Retail Malt Beverage Drink,ACTIVE,,Codes and Regulations,1239925.0,232559.0
44,144,5656,Alcoholic Beverage Annual,TUMBLEWEED SOUTHWEST GRILL,9701 DIXIE HWY ,9701, ,DIXIE,HWY,-85.860135857,38.1151621595,2019/08/31 03:59:59+00,RST,Restaurant / Cafe,2004-08-03 11:02:00,40272,25,,C1,RLD,NQ2 Retail Drink (Restaurant),ACTIVE,,Codes and Regulations,1177193.0,228067.0
45,145,26761,Alcoholic Beverage Annual,SMYRNA INN,8201 SMYRNA PKY ,8201, ,SMYRNA,PKY,-85.6423552651,38.1303033721,2020/01/31 05:00:00+00,BAR,Bar,2010-02-10 14:38:09,40228,23,,R4,LD2,Quota Retail Drink (12 AM - 2 AM),ACTIVE,,Codes and Regulations,1239925.0,232559.0
46,146,26821,Alcoholic Beverage Annual,ZOES KITCHEN,4126 SUMMIT PLAZA DR ,4126, ,SUMMIT PLAZA,DR,-85.5778388869,38.3063247412,2020/01/31 05:00:00+00,RST,Restaurant / Cafe,2010-07-08 08:21:00,40241,16,,C2,RLD,NQ2 Retail Drink (Restaurant),ACTIVE,,Codes and Regulations,1259405.0,296379.0
47,147,14ABC1186,Alcoholic Beverage Annual,KAIJU,1004 E OAK ST ,1004,E,OAK,ST,-85.7370552675,38.2326726059,2019/10/31 03:59:59+00,BAR,Bar,2014-12-09 12:03:10,40204,10,GERMANTOWN,R6,SD,Sunday Drink,ACTIVE,2014-12-09 12:03:10,Codes and Regulations,1213290.0,270259.0
48,148,5656,Alcoholic Beverage Annual,TUMBLEWEED SOUTHWEST GRILL,9701 DIXIE HWY ,9701, ,DIXIE,HWY,-85.860135857,38.1151621595,2019/08/31 03:59:59+00,RST,Restaurant / Cafe,2004-08-03 11:02:00,40272,25,,C1,SD,Sunday Drink,ACTIVE,,Codes and Regulations,1177193.0,228067.0
49,149,5660,Alcoholic Beverage Annual,O'CHARLEY'S RESTAURANT #265,10641 FISCHER PARK DR ,10641, ,FISCHER PARK,DR,-85.5549903255,38.2962945668,2019/08/31 03:59:59+00,RST,Restaurant / Cafe,2004-08-03 11:29:00,40241,17,,C2,RLD,NQ2 Retail Drink (Restaurant),ACTIVE,,Codes and Regulations,1265909.0,292633.0
50,150,34533,Alcoholic Beverage Annual,CIRCLE K #3330,9110 BLUE LICK RD ,9110, ,BLUE LICK,RD,-85.69034179,38.1168784224,2019/08/31 03:59:59+00,GRO,Grocery / Food Mart,2012-03-28 10:38:21,40219,24,,C1,MBP,NQ Retail Malt Beverage Package,ACTIVE,,Codes and Regulations,1226047.0,227883.0
51,1,5677,Alcoholic Beverage Annual,TUMBLEWEED SOUTHWEST GRILL,4255 OUTER LOOP ,4255, ,OUTER,LOOP,-85.6828157515,38.1387718308,2019/08/31 03:59:59+00,RST,Restaurant / Cafe,2004-08-17 10:14:00,40219,24,,C1,RLD,NQ2 Retail Drink (Restaurant),ACTIVE,,Codes and Regulations,1228336.0,235821.0
52,2,5677,Alcoholic Beverage Annual,TUMBLEWEED SOUTHWEST GRILL,4255 OUTER LOOP ,4255, ,OUTER,LOOP,-85.6828157515,38.1387718308,2019/08/31 03:59:59+00,RST,Restaurant / Cafe,2004-08-17 10:14:00,40219,24,,C1,SD,Sunday Drink,ACTIVE,,Codes and Regulations,1228336.0,235821.0
53,3,5679,Alcoholic Beverage Annual,TUMBLEWEED SOUTHWEST GRILL,3550 SPRINGHURST COMMONS DR ,3550, ,SPRINGHURST COMMONS,DR,-85.5614207154,38.2975050928,2019/08/31 03:59:59+00,RST,Restaurant / Cafe,2004-08-03 16:22:00,40241,17,,C1,RLD,NQ2 Retail Drink (Restaurant),ACTIVE,,Codes and Regulations,1264070.0,293100.0
54,4,5679,Alcoholic Beverage Annual,TUMBLEWEED SOUTHWEST GRILL,3550 SPRINGHURST COMMONS DR ,3550, ,SPRINGHURST COMMONS,DR,-85.5614207154,38.2975050928,2019/08/31 03:59:59+00,RST,Restaurant / Cafe,2004-08-03 16:22:00,40241,17,,C1,SD,Sunday Drink,ACTIVE,,Codes and Regulations,1264070.0,293100.0
55,5,4642,Alcoholic Beverage Annual,CARDINAL HALL OF FAME CAFE,2745 CRITTENDEN DR ,2745, ,CRITTENDEN,DR,-85.7501549754,38.2033851775,2019/05/31 03:59:59+00,RST,Restaurant / Cafe,2004-05-25 08:47:00,40209,15,FAIRGROUNDS,M2,SBL,Supplemental Bar,ACTIVE,,Codes and Regulations,1209354.0,259656.0
56,6,4074,Alcoholic Beverage Annual,SHIRLEY MAE'S CAFE,802 S CLAY ST ,802,S,CLAY,ST,-85.7422633355,38.2414494717,2019/10/31 03:59:59+00,RST,Restaurant / Cafe,2004-04-02 15:25:00,40203,4,SMOKETOWN JACKSON,UN,LD2,Quota Retail Drink (12 AM - 2 AM),ACTIVE,,Codes and Regulations,1211846.0,273479.0
57,7,5874,Alcoholic Beverage Annual,PLEASURE VALLEY VFW POST #1181,6518 BLEVINS GAP RD ,6518, ,BLEVINS GAP,RD,-85.8833687743,38.070444948,2019/09/30 03:59:59+00,PRI,Private Club,2004-08-25 10:44:00,40272,14,,R4,SD,Sunday Drink,ACTIVE,,Codes and Regulations,1170221.0,211903.0
58,8,13ABC1013,Alcoholic Beverage Annual,COMMONWEALTH TAP,9411 NORTON COMMONS BLVD 101,9411, ,NORTON COMMONS,BLVD,-85.5672638427,38.3245258162,2019/02/28 05:00:00+00,LIQ,Liquor Store,2013-09-24 16:53:20,40059,16,,PVD,MBP,NQ Retail Malt Beverage Package,ACTIVE,,Codes and Regulations,1262534.0,302963.0
59,9,13ABC1111,Alcoholic Beverage Annual,CASTAWAY LOUNGE,6909 SHEPHERDSVILLE RD ,6909, ,SHEPHERDSVILLE,RD,-85.6593141588,38.150334758,2019/02/28 05:00:00+00,BAR,Bar,2014-01-29 11:33:07,40219,24,,C2,MBRD4,NQ4 Retail Malt Beverage Drink (12 am till 4 am),ACTIVE,,Codes and Regulations,1235159.0,239927.0
60,10,5875,Alcoholic Beverage Annual,LEBANESE AMERICAN COUNTRY CLUB,3020 RIVER RD ,3020, ,RIVER,RD,-85.6964496751,38.2782831339,2019/05/31 03:59:59+00,CLB,Country Club,2004-08-25 10:47:00,40207,9,REMAINDER OF CITY,R5,SD,Sunday Drink,ACTIVE,,Codes and Regulations,1225213.0,286681.0
61,11,13885,Alcoholic Beverage Annual,GOODWOOD BREWING COMPANY,636 E MAIN ST ,636,E,MAIN,ST,-85.7400683986,38.254635339,2019/11/30 05:00:00+00,MAN,Manufacturer,2005-03-22 13:56:00,40202,4,REMAINDER OF CITY,EZ1,LD,Quota Retail Drink,ACTIVE,,Codes and Regulations,1212554.0,278270.0
62,12,5877,Alcoholic Beverage Annual,PORCINI,2730 FRANKFORT AVE ,2730, ,FRANKFORT,AVE,-85.6924458845,38.254576811,2019/09/30 03:59:59+00,RST,Restaurant / Cafe,2004-08-25 10:54:00,40206,9,CRESCENT HILL,C1,RLD,NQ2 Retail Drink (Restaurant),ACTIVE,,Codes and Regulations,1226227.0,278031.0
63,13,14ABC1119,Alcoholic Beverage Annual,AGAINST THE GRAIN MICROBREWERY,1800 NORTHWESTERN PKY ,1800, ,NORTHWESTERN,PKY,-85.7767253897,38.2658752318,2019/10/31 03:59:59+00,MAN,Manufacturer,2014-09-04 11:15:38,40203,5,PORTLAND,EZ1,MBCO,NQ Retail Malt Beverage Combo (Package and Drink),ACTIVE,,Codes and Regulations,1202097.0,282535.0
64,14,15ABC1134,Alcoholic Beverage Annual,LE MOO,2300 LEXINGTON RD ,2300, ,LEXINGTON,RD,-85.7035000296,38.2451571124,2019/09/30 03:59:59+00,RST,Restaurant / Cafe,2015-09-09 08:29:57,40206,8,IRISH HILL,C2,RLD,NQ2 Retail Drink (Restaurant),ACTIVE,2015-09-09 08:29:57,Codes and Regulations,1222999.0,274651.0
65,15,15ABC1093,Alcoholic Beverage Annual,PASSALINO'S,207 W MARKET ST ,207,W,MARKET,ST,-85.7537986593,38.2551734195,2019/11/30 05:00:00+00,RST,Restaurant / Cafe,2015-08-05 13:10:46,40202,4,CENTRAL BUSINESS DISTRICT,(C3),LD4,Quota Retail Drink (12 AM - 4 AM),ACTIVE,2015-08-05 13:10:46,Codes and Regulations,1208615.0,278530.0
66,16,20183,Alcoholic Beverage Annual,WILTSHIRE PANTRY,1310 E BRECKINRIDGE ST ,1310,E,BRECKINRIDGE,ST,-85.730733064,38.2403988328,2019/10/31 03:59:59+00,RST,Restaurant / Cafe,2008-02-25 08:27:21,40204,4,HIGHLANDS,CR,SD,Sunday Drink,ACTIVE,,Codes and Regulations,1215151.0,273043.0
67,17,15ABC1097,Alcoholic Beverage Annual,WALGREENS #12321,700 ALGONQUIN PKY ,700, ,ALGONQUIN,PKY,-85.770335452,38.2112451255,2019/08/31 03:59:59+00,DRG,Drug Store,2015-07-29 18:24:47,40208,6,TAYLOR BERRY,C1,LP,Quota Retail Package,ACTIVE,2015-07-29 18:24:47,Codes and Regulations,1203603.0,262613.0
68,18,5898,Alcoholic Beverage Annual,SPRING STREET - A BAR & GRILL,300 S SPRING ST ,300,S,SPRING,ST,-85.7190034408,38.2513401604,2019/09/30 03:59:59+00,BAR,Bar,2004-08-25 13:05:00,40206,9,IRISH HILL,C1,LD,Quota Retail Drink,ACTIVE,,Codes and Regulations,1218583.0,276973.0
69,19,5898,Alcoholic Beverage Annual,SPRING STREET - A BAR & GRILL,300 S SPRING ST ,300,S,SPRING,ST,-85.7190034408,38.2513401604,2019/09/30 03:59:59+00,BAR,Bar,2004-08-25 13:05:00,40206,9,IRISH HILL,C1,LD4,Quota Retail Drink (12 AM - 4 AM),ACTIVE,,Codes and Regulations,1218583.0,276973.0
70,20,15ABC1100,Alcoholic Beverage Annual,WALGREENS #05436,4025 TAYLORSVILLE RD ,4025, ,TAYLORSVILLE,RD,-85.6240903408,38.2202673873,2019/08/31 03:59:59+00,DRG,Drug Store,2015-07-29 17:45:21,40220,11,HIKES POINT,C1,MBP,NQ Retail Malt Beverage Package,ACTIVE,2015-07-29 17:45:21,Codes and Regulations,1245667.0,265238.0
71,21,5898,Alcoholic Beverage Annual,SPRING STREET - A BAR & GRILL,300 S SPRING ST ,300,S,SPRING,ST,-85.7190034408,38.2513401604,2019/09/30 03:59:59+00,BAR,Bar,2004-08-25 13:05:00,40206,9,IRISH HILL,C1,SD,Sunday Drink,ACTIVE,,Codes and Regulations,1218583.0,276973.0
72,22,15ABC1102,Alcoholic Beverage Annual,WALGREENS #11665,4310 OUTER LOOP ,4310, ,OUTER,LOOP,-85.6805382147,38.1375392121,2019/08/31 03:59:59+00,DRG,Drug Store,2015-07-29 15:49:34,40219,24,,C1,LP,Quota Retail Package,ACTIVE,2015-07-29 15:49:00,Codes and Regulations,1228984.0,235362.0
73,23,5911,Alcoholic Beverage Annual,THE IRISH ROVER,2319 FRANKFORT AVE ,2319, ,FRANKFORT,AVE,-85.7024650226,38.2536534575,2019/09/30 03:59:59+00,RST,Restaurant / Cafe,2004-08-25 14:21:00,40206,9,CLIFTON,C2,RLD,NQ2 Retail Drink (Restaurant),ACTIVE,,Codes and Regulations,1223345.0,277740.0
