OBJECTID,ID,SECCLASS,NAME,TELEPHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGTEL,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,NAICSCODE,NAICSDESCR,GEOLINKID,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QC_QA,STATE_ID,SECLEVEL,FACTYPE,AGENCY,INMATE_MEN,INMATE_WOM,INMATE_JUV,INMATE_COE,CAPACITY,TOTALPOP,EMERPHONE,PERM_ID,GNIS_ID,PS
11,10424789,UNCLASSIFIED,NORTHERN OREGON REGIONAL CORRECTIONAL FACILITY JUVENILE,541-298-1447,211 WEBBER STREET, ,THE DALLES,OR,97058,3507,WASCO,41065,"LOC ON THE NORTHWEST SIDE OF WEBBER ST, .18 MILES NORTHEAST OF W 2ND ST.", , , ,2008/02/12 00:00:00+00,PHONE,2008/02/12 00:00:00+00,MANUAL,623990,"BOYS' AND GIRLS' RESIDENTIAL FACILITIES (E.G., HOMES, RANCHES, VILLAGES)",121744982,-121.2002297,45.6126572,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS, , , , , , , , ,0,0, , , ,N
12,10425574,UNCLASSIFIED,SHERMAN COUNTY SHERIFFS DEPARTMENT,541-565-3622,500 COURT STREET, ,MORO,OR,97039, ,SHERMAN,41055,LOCATED ON NORTH SIDE OF COURT STREET 0.04 MI NORTHEAST OF 4TH STREET., , , ,2008/02/12 00:00:00+00,PHONE,2008/02/26 00:00:00+00,MANUAL,922120,SHERIFFS' OFFICES (EXCEPT COURT FUNCTIONS ONLY),86449905,-120.7312183,45.4871199,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS,SHER_POL01B, , , , , , , ,0,0, , , ,Y
13,10425568,UNCLASSIFIED,PORTLAND POLICE BUREAU - EAST PRECINCT,503-823-4800,737 SOUTHEAST 106TH AVENUE, ,PORTLAND,OR,97216,3197,MULTNOMAH,41051,ON THE WEST SIDE OF SE 106TH AVE BETWEEN SE WASHINGTON ST AND SE CHERRY BLOSSOM DR, , , ,2008/09/12 00:00:00+00,PHONE,2008/09/22 00:00:00+00,MANUAL,922120,POLICE DEPARTMENTS (EXCEPT AMERICAN INDIAN OR ALASKA NATIVE),21294376,-122.5543606,45.5170604,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS,MULT_POL10A, , , , , , , ,0,0, , , ,Y
14,10425558,UNCLASSIFIED,STAYTON POLICE DEPARTMENT,503-769-3421,386 NORTH 3RD AVENUE, ,STAYTON,OR,97383,1726,MARION,41047,ON THE EAST SIDE OF N 3RD AVE BETWEEN E IDA ST AND E HIGH ST, , , ,2008/09/12 00:00:00+00,PHONE,2008/09/18 00:00:00+00,MANUAL,922120,POLICE DEPARTMENTS (EXCEPT AMERICAN INDIAN OR ALASKA NATIVE),86548902,-122.7919351,44.7976972,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS,MARI_POL13A, , , , , , , ,0,0, , , ,Y
15,10425555,UNCLASSIFIED,MALHEUR COUNTY SHERIFF OFFICE,541-473-5126,151 B STREET WEST, ,VALE,OR,97918,1307,MALHEUR,41045,ON THE SOUTH SIDE OF B ST W BETWEEN COURT ST S AND MAIN ST S, , , ,2008/09/12 00:00:00+00,PHONE,2008/09/18 00:00:00+00,MANUAL,922120,SHERIFFS' OFFICES (EXCEPT COURT FUNCTIONS ONLY),86661739,-117.2409405,43.9807698,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS,MALH_POL03A, , , , , , , ,0,0, , , ,Y
16,10425547,UNCLASSIFIED,LINN COUNTY SHERIFFS OFFICE / LINN COUNTY JAIL,541-967-3950,1115 JACKSON STREET SOUTHEAST, ,ALBANY,OR,97322,3245,LINN,41043,"LOC ON THE NORTHEAST SIDE OF JACKSON ST SE, .08 MILES SOUTHEAST OF INDUSTRIAL WAY SW.", , , ,2008/02/07 00:00:00+00,PHONE,2008/02/07 00:00:00+00,MANUAL,922140,JAILS (EXCEPT PRIVATE OPERATION OF),121065730,-123.097639,44.6298799,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS,LINN_POL04A, , , , , , , ,0,0, , , ,Y
17,10425538,UNCLASSIFIED,EUGENE POLICE DEPARTMENT - CITY HALL,541-682-5111,777 PEARL STREET, ,EUGENE,OR,97401,2720,LANE,41039,ON THE EAST SIDE OF PEARL STREET BETWEEN EAST 7TH AVENUE AND EAST 8TH AVENUE, , , ,2008/09/12 00:00:00+00,PHONE,2008/09/18 00:00:00+00,MANUAL,922120,POLICE DEPARTMENTS (EXCEPT AMERICAN INDIAN OR ALASKA NATIVE),37686997,-123.0892821,44.0516804,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS,LANE_POL02A, , , , , , , ,0,0, , , ,Y
18,10425524,UNCLASSIFIED,JACKSON COUNTY SHERIFFS DEPARTMENT / JACKSON COUNTY JAIL,541-774-6800,787 WEST 8TH STREET, ,MEDFORD,OR,97501,2903,JACKSON,41029,"LOC ON THE SOUTH SIDE OF W 8TH ST, .07 MILES SOUTHWEST OF S OAKDALE AVE.", , , ,2008/02/21 00:00:00+00,PHONE,2008/02/21 00:00:00+00,MANUAL,922140,JAILS (EXCEPT PRIVATE OPERATION OF),87447534,-122.8781717,42.3222054,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS,JACK_POL01A, , , , , , , ,0,0, , , ,Y
19,10425521,UNCLASSIFIED,HARNEY COUNTY SHERIFFS DEPARTMENT / HARNEY COUNTY JAIL,541-573-6156,485 NORTH COURT STREET, ,BURNS,OR,97720,1524,HARNEY,41025,LOC ON THE SOUTHEAST CORNER OF N COURT ST AND W A ST., , , ,2008/02/05 00:00:00+00,PHONE,2008/02/05 00:00:00+00,MANUAL,922140,JAILS (EXCEPT PRIVATE OPERATION OF),86727563,-119.0571914,43.5894622,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS,HARN_POL02A, , , , , , , ,0,0, , , ,Y
20,10425449,UNCLASSIFIED,GRANT COUNTY SHERIFF / GRANT COUNTY JAIL,541-575-1131,205 SOUTH HUMBOLT STREET, ,CANYON CITY,OR,97820,6115,GRANT,41023,"LOC ON THE EAST SIDE OF S HUMBOLT ST, .04 MILES SOUTH OF W IZEE ST.", , , ,2008/02/13 00:00:00+00,PHONE,2008/02/05 00:00:00+00,MANUAL,922140,JAILS (EXCEPT PRIVATE OPERATION OF),121249414,-118.9503806,44.3871834,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS,GRAN_POL02A, , , , , , , ,0,0, , , ,Y
21,10425597,UNCLASSIFIED,WHEELER COUNTY SHERIFFS OFFICE,541-763-4101,701 ADAMS STREET, ,FOSSIL,OR,97830, ,WHEELER,41069,"WEST SIDE OF ADAMS ST, BETWEEN W 4TH ST AND W 3RD ST", , , ,2008/02/19 00:00:00+00,PHONE,2008/02/19 00:00:00+00,MANUAL,922120,SHERIFFS' OFFICES (EXCEPT COURT FUNCTIONS ONLY),86515946,-120.2166282,44.9982884,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS,WHEE_POL01A, , , , , , , ,0,0, , , ,Y
22,10463201,UNCLASSIFIED,OREGON YOUTH AUTHORITY - CORVALLIS HOUSE YOUNG WOMENS TRANSITION PROGRAM,541-757-4144,330 NORTHWEST 9TH STREET, ,CORVALLIS,OR,97330,6131,BENTON,41003,LOC ON THE NW SIDE OF NW 9TH ST BETWEEN NW VAN BUREN AVE AND NW HARRISON BLVD., , , ,2008/02/22 00:00:00+00,PHONE,2008/02/25 00:00:00+00,MANUAL,623990,"BOYS' AND GIRLS' RESIDENTIAL FACILITIES (E.G., HOMES, RANCHES, VILLAGES)",86591000,-123.2664104,44.5687159,NAVTEQ,2006Q4,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,N
23,10461507,UNCLASSIFIED,NORTHEAST OREGON REGIONAL YOUTH CENTER,541-278-5447,817 SOUTHEAST 13TH STREET, ,PENDLETON,OR,97801,3231,UMATILLA,41059,LOCATED ON NORTHWEST SIDE OF SE 13TH ST. 0.10 MI SOUTHWEST OF SE 10TH ST., , , ,2008/02/13 00:00:00+00,PHONE,2008/02/13 00:00:00+00,MANUAL,623990,"BOYS' AND GIRLS' RESIDENTIAL FACILITIES (E.G., HOMES, RANCHES, VILLAGES)",86412837,-118.772026,45.6693624,NAVTEQ,2006Q4,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,Y
24,10461830,UNCLASSIFIED,OREGON YOUTH AUTHORITY - ROGUE VALLEY YOUTH CORRECTIONAL FACILITY,541-471-2862,2001 NORTHEAST F STREET, ,GRANTS PASS,OR,97526,4813,JOSEPHINE,41033,LOC ON THE S SIDE OF NE F STREET BETWEEN NE AGNESS AVE AND TERRY LN, , , ,2008/02/20 00:00:00+00,PHONE,2008/02/20 00:00:00+00,MANUAL,623990,"BOYS' AND GIRLS' RESIDENTIAL FACILITIES (E.G., HOMES, RANCHES, VILLAGES)",129644180,-123.3019018,42.4326038,NAVTEQ,2006Q4,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,N
25,10463203,UNCLASSIFIED,OREGON YOUTH AUTHORITY - OAK CREEK YOUTH CORRECTIONAL FACILITY,541-791-5900,4400 LOCHNER ROAD SOUTHEAST, ,ALBANY,OR,97322,3798,LINN,41043,LOC ON THE WEST SIDE OF LOCHNER ROAD SE 0.56 MILES SE OF MARION ST SE, , , ,2008/02/22 00:00:00+00,PHONE,2008/02/22 00:00:00+00,MANUAL,623990,"BOYS' AND GIRLS' RESIDENTIAL FACILITIES (E.G., HOMES, RANCHES, VILLAGES)",112433162,-123.0947466,44.6015521,NAVTEQ,2006Q4,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,N
26,10463197,UNCLASSIFIED,OREGON YOUTH AUTHORITY - TILLAMOOK YOUTH CORRECTIONAL FACILITY,503-842-2565,6700 OFFICER ROW, ,TILLAMOOK,OR,97141,9620,TILLAMOOK,41057,LOC ON THE NE SIDE OF OFFICER ROW BETWEEN BLIMP RD AND BARRACKS CIR, , , ,2008/02/22 00:00:00+00,PHONE,2008/02/22 00:00:00+00,MANUAL,623990,"BOYS' AND GIRLS' RESIDENTIAL FACILITIES (E.G., HOMES, RANCHES, VILLAGES)",120821148,-123.7971267,45.4250827,NAVTEQ,2006Q4,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,N
27,10463199,UNCLASSIFIED,OREGON YOUTH AUTHORITY - HILLCREST YOUTH CORRECTIONAL FACILITY,503-986-0400,2450 STRONG ROAD SOUTHEAST, ,SALEM,OR,97302,9675,MARION,41047,LOC ON THE SW SIDE OF STRONG RD SE 0.13 MILES SE OF THE INT OF REED RD SE AND STRONG RD SE, , , ,2008/02/22 00:00:00+00,PHONE,2008/02/22 00:00:00+00,MANUAL,623990,"BOYS' AND GIRLS' RESIDENTIAL FACILITIES (E.G., HOMES, RANCHES, VILLAGES)",112453856,-123.009859,44.8941392,NAVTEQ,2006Q4,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,N
28,10463235,UNCLASSIFIED,OREGON YOUTH AUTHORITY - CAMP FLORENCE,541-997-2076,4859 SOUTH JETTY ROAD, ,FLORENCE,OR,97439,8531,LANE,41039,LOC ON THE NE SIDE OF S JETTY RD 0.12 MILES NW OF ODD FELLOW RD, , , ,2008/02/25 00:00:00+00,PHONE,2008/02/25 00:00:00+00,MANUAL,623990,"BOYS' AND GIRLS' RESIDENTIAL FACILITIES (E.G., HOMES, RANCHES, VILLAGES)",121099062,-124.1140683,43.9570057,NAVTEQ,2006Q4,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,N
29,10461835,UNCLASSIFIED,YOUNGS BAY YOUTH DETENTION CENTER,503-861-0310,1250 SOUTHEAST 19TH STREET, ,WARRENTON,OR,97146,9577,CLATSOP,41007,FROM THE INT OF US-101BR AND SE 19TH ST TRAVEL WEST APPROX 0.49 MILES 19TH TURNS SOUTH CONTNUE ON SE 19TH APPROX 0.35 MILES SE 19TH THEN TURNS EAST CONT ON SE 19TH ST APPROX 0.25 MILES ENT IS ON SOUTH SIDE OF SE 19TH STREET, , , ,2008/02/20 00:00:00+00,PHONE,2008/02/20 00:00:00+00,MANUAL,623990,"BOYS' AND GIRLS' RESIDENTIAL FACILITIES (E.G., HOMES, RANCHES, VILLAGES)",119711983,-123.9069182,46.1429601,NAVTEQ,2006Q4,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,N
30,10461832,UNCLASSIFIED,OREGON YOUTH AUTHORITY - NORTH COAST YOUTH CORRECTIONAL FACILITY,503-861-7190,1250 SOUTHEAST 19TH STREET, ,WARRENTON,OR,97146,9577,CLATSOP,41007,FROM THE INT OF US-101BR AND SE 19TH ST TRAVEL WEST APPROX 0.49 MILES 19TH TURNS SOUTH CONTNUE ON SE 19TH APPROX 0.35 MILES SE 19TH THEN TURNS EAST CONT ON SE 19TH ST APPROX 0.25 MILES ENT IS ON SOUTH SIDE OF SE 19TH STREET, , , ,2008/02/20 00:00:00+00,PHONE,2008/02/20 00:00:00+00,MANUAL,623990,"BOYS' AND GIRLS' RESIDENTIAL FACILITIES (E.G., HOMES, RANCHES, VILLAGES)",119711983,-123.9069154,46.1429599,NAVTEQ,2006Q4,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,N
31,10461786,UNCLASSIFIED,OREGON YOUTH AUTHORITY - MACLAREN YOUTH CORRECTIONAL FACILITY,503-981-9531,2630 NORTH PACIFIC HIGHWAY, ,WOODBURN,OR,97071,9165,MARION,41047,LOC ON THE SE SIDE OF N PACIFIC HYW 0.50 MILES NORTHEAST OF MT HOOD AVE. ACROSS FROM INDUSTRIAL AVE, , , ,2008/02/19 00:00:00+00,PHONE,2009/02/18 00:00:00+00,MANUAL,623990,"BOYS' AND GIRLS' RESIDENTIAL FACILITIES (E.G., HOMES, RANCHES, VILLAGES)",21363161,-122.8206692,45.1554591,NAVTEQ,2008Q1,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,N
32,10463213,UNCLASSIFIED,OREGON YOUTH AUTHORITY - RIVERBEND FACILITY,541-663-8801,58231 STATE HIGHWAY 244, ,LA GRANDE,OR,97850, ,UNION,41061,LOC ON THE W SIDE OF OR-244 APPROX 0.16 MILES S OF ROCK CREEK FRONTAGE RD, , , ,2008/02/22 00:00:00+00,PHONE,2009/02/18 00:00:00+00,MANUAL,623990,"BOYS' AND GIRLS' RESIDENTIAL FACILITIES (E.G., HOMES, RANCHES, VILLAGES)",120787828,-118.2415653,45.3375079,NAVTEQ,2008Q1,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,N
33,10461790,UNCLASSIFIED,OREGON YOUTH AUTHORITY - EASTERN OREGON YOUTH CORRECTIONAL FACILITY,541-573-3133,1800 WEST MONROE STREET, ,BURNS,OR,97720,1918,HARNEY,41025,LOC ON THE N SIDE OF W MONROE ST APPROX 0.50 MILES WEST OF THE INT OF W MONROE ST AND US-20, , , ,2008/02/19 00:00:00+00,PHONE,2009/02/18 00:00:00+00,MANUAL,623990,"BOYS' AND GIRLS' RESIDENTIAL FACILITIES (E.G., HOMES, RANCHES, VILLAGES)",120802538,-119.070958,43.5881713,NAVTEQ,2008Q1,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,N
34,10461780,UNCLASSIFIED,SHUTTER CREEK CORRECTIONAL INSTITUTION,541-756-6666,95200 SHUTTERS LANDING LANE, ,NORTH BEND,OR,97459,8712,COOS,41011,FROM THE INTERSECTION OF SHUTTERS LANDING LN AND WILDWOOD RD TRAVEL NORTHEAST ON SHUTTERS LANDING LN APPROXIMATELY 2.94 MILES ON THE EAST SIDE OF SHUTTERS LANDING LN, , , ,2008/02/19 00:00:00+00,PHONE,2009/02/20 00:00:00+00,MANUAL,922140,CORRECTIONAL INSTITUTIONS,119712717,-124.1763818,43.5335033,NAVTEQ,2008Q1,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,N
35,10461492,UNCLASSIFIED,HERMISTON POLICE DEPARTMENT,541-567-5519,330 SOUTH 1ST STREET, ,HERMISTON,OR,97838,2360,UMATILLA,41059,"LOCATED ON WEST SIDE OF S.1ST STREET, 0.07 MI SOUTH OF W ORCHARD AVE", , , ,2008/02/13 00:00:00+00,PHONE,2008/02/13 00:00:00+00,MANUAL,922120,POLICE DEPARTMENTS (EXCEPT AMERICAN INDIAN OR ALASKA NATIVE),109783061,-119.290807,45.8384295,NAVTEQ,2006Q4,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,Y
36,10426029,UNCLASSIFIED,OREGON STATE PENITENTIARY,503-378-2453,2605 STATE STREET, ,SALEM,OR,97301, ,MARION,41047,"LOC ON THE NORTHEAST SIDE OF STATE ST, .19 MILES SOUTHEAST OF 25TH ST SE.", , , ,2008/02/07 00:00:00+00,PHONE,2008/02/25 00:00:00+00,MANUAL,922140,PRISONS,124458889,-123.005044,44.9322175,NAVTEQ,2006Q4,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,N
37,10426030,UNCLASSIFIED,OREGON STATE PENITENTIARY - MINIMUM SECURITY,503-378-2441,2809 STATE STREET, ,SALEM,OR,97301, ,MARION,41047,"LOC ON THE NORTHEAST SIDE OF STATE ST, .54 MILES NORTHWEST OF HAWTHORNE AVE SE.", , , ,2008/02/07 00:00:00+00,PHONE,2008/02/07 00:00:00+00,MANUAL,922140,PRISONS,21372357,-123.0031361,44.9301894,NAVTEQ,2006Q4,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,N
38,10678114,UNCLASSIFIED,BEAVERTON POLICE DEPARTMENT,503-526-2517,4755 SOUTHWEST GRIFFITH DRIVE, ,BEAVERTON,OR,97005,8713,WASHINGTON,41067,ON THE WEST SIDE OF SW GRIFFITH DR LESS THAN 1 MILE SOUTHWEST OF OR-10, , , ,2008/09/15 00:00:00+00,PHONE,2008/09/15 00:00:00+00,MANUAL,922120,POLICE DEPARTMENTS (EXCEPT AMERICAN INDIAN OR ALASKA NATIVE),21338118,-122.7973737,45.4855042,NAVTEQ,2008Q1,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,Y
39,10461748,UNCLASSIFIED,YAMHILL COUNTY JUVENILE CORRECTIONS DIVISION,503-434-7506,535 NORTHEAST 5TH STREET, ,MCMINNVILLE,OR,97128,4504,YAMHILL,41071,"N SIDE OF NE 5TH ST, BETWEEN NE FORD ST AND NE EVANS ST", , , ,2008/02/19 00:00:00+00,PHONE,2009/10/23 00:00:00+00,MANUAL,623990,"BOYS' AND GIRLS' RESIDENTIAL FACILITIES (E.G., HOMES, RANCHES, VILLAGES)",86490779,-123.1935,45.2118464,NAVTEQ,2008Q1,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,N
40,10425599,UNCLASSIFIED,YAMHILL COUNTY SHERIFFS OFFICE / YAMHILL COUNTY JAIL,503-434-7506,535 NORTHEAST 5TH STREET, ,MCMINNVILLE,OR,97128,4504,YAMHILL,41071,"N SIDE OF NE 5TH ST, BETWEEN NE FORD ST AND NE EVANS ST", , , ,2008/02/19 00:00:00+00,PHONE,2009/10/23 00:00:00+00,MANUAL,922140,JAILS (EXCEPT PRIVATE OPERATION OF),86490779,-123.1935016,45.2118448,NAVTEQ,2008Q1,ONENTITY,YES,TGS,YAMH_POL02A, , , , , , , ,0,0, , , ,Y
41,10448879,UNCLASSIFIED,MORROW COUNTY SHERIFFS OFFICE,541-676-5317,325 WILLOW VIEW DRIVE, ,HEPPNER,OR,97836, ,MORROW,41049,"LOC ON THE SOUTHSIDE OF NW WILLOW VIEW DR, .04 MILES NORTHEAST OF CANYON DR.", , , ,2008/02/11 00:00:00+00,PHONE,2009/10/20 00:00:00+00,MANUAL,922120,SHERIFFS' OFFICES (EXCEPT COURT FUNCTIONS ONLY),86462397,-119.5616056,45.3591211,NAVTEQ,2008Q1,ONENTITY,YES,TGS, , , , , , , , ,0,0, , , ,Y
42,10171577,UNCLASSIFIED,GRESHAM POLICE DEPARTMENT,503-618-2313,1333 NORTHWEST EASTMAN PARKWAY, ,GRESHAM,OR,97030,3825,MULTNOMAH,41051,W SIDE OF EASTMAN PARKWAY BETWEEN NW BURNSIDE RD AND NW DIVISION ST, , , ,2006/06/28 00:00:00+00,PHONE,2006/06/28 00:00:00+00,MANUAL,922120,POLICE DEPARTMENTS (EXCEPT AMERICAN INDIAN OR ALASKA NATIVE),21314568,-122.4360593,45.5075778,NAVTEQ,2006Q3,ONENTITY,YES,TGS, , ,LOCAL, ,YES,YES,NO,YES,0,0, , , ,Y
43,10425587,UNCLASSIFIED,WASHINGTON COUNTY SHERIFFS DEPARTMENT / WASHINGTON COUNTY JAIL,503-846-2700,215 SOUTHWEST ADAMS AVENUE, ,HILLSBORO,OR,97123,3874,WASHINGTON,41067,ON THE EAST SIDE OF SW ADAMS AVE BETWEEN SW WASHINGTON ST AND SW BASELINE ST, , , ,2008/09/15 00:00:00+00,PHONE,2009/10/23 00:00:00+00,MANUAL,922140,JAILS (EXCEPT PRIVATE OPERATION OF),21328046,-122.9934327,45.5208111,NAVTEQ,2008Q1,ONENTITY,YES,TGS,WASH_POL02A, , , , , , , ,0,0, , , ,Y
