OBJECTID,AV_LEGEND,CLASS,ACREAGE,SOURCE,SHAPE_Length,SHAPE_Area
61,Tidal Wetland,111,22.525,OLISP 1995 Air Photos,5532.05724507544,981196.484633237
62,Tidal Wetland,111,57.175,OLISP 1995 Air Photos,8632.28846764049,2490556.67169485
63,Tidal Wetland,111,0.686,OLISP 1995 Air Photos,860.197758516504,29890.4634246411
64,Tidal Wetland,111,4.792,OLISP 1995 Air Photos,3002.13732756882,208736.32200897
65,Tidal Wetland,111,184.896,OLISP 1995 Air Photos,21249.4112467674,8054074.71232334
66,Tidal Wetland,111,3.079,OLISP 1995 Air Photos,2583.95106064882,134125.074706097
67,Tidal Wetland,111,0.104,OLISP 1995 Air Photos,360.262880832032,4551.0883823348
68,Tidal Wetland,111,1.842,OLISP 1995 Air Photos,1119.1644491765,80251.2680503905
69,Tidal Wetland,111,2.615,OLISP 1995 Air Photos,2609.64706253508,113911.992698234
70,Tidal Wetland,111,0.2,OLISP 1995 Air Photos,560.155545437232,8698.5161007264
71,Tidal Wetland,111,0.146,OLISP 1995 Air Photos,344.992398129084,6341.18306098206
72,Tidal Wetland,111,0.096,OLISP 1995 Air Photos,327.528561280559,4171.69637279493
73,Tidal Wetland,111,0.07,OLISP 1995 Air Photos,288.997406333703,3039.10290882925
74,Tidal Wetland,111,0.079,OLISP 1995 Air Photos,324.497389313459,3462.27035393829
75,Tidal Wetland,111,5.123,OLISP 1995 Air Photos,3634.19591346827,223172.415726392
76,Tidal Wetland,111,0.399,OLISP 1995 Air Photos,862.971972249991,17359.6161012999
77,Upland,0,0.5, ,590.294859370225,21773.6107510312
78,Tidal Wetland,111,0.075,OLISP 1995 Air Photos,256.522147535774,3272.10120824531
79,Tidal Wetland,111,7.55,OLISP 1995 Air Photos,4082.73567455705,328864.81769266
80,Tidal Wetland,111,0.438,OLISP 1995 Air Photos,1403.96537899515,19059.9047923502
81,Tidal Wetland,111,6.974,OLISP 1995 Air Photos,2591.33274097124,303794.881928927
82,Tidal Wetland,111,0.054,OLISP 1995 Air Photos,196.159344642951,2354.29649970698
83,Tidal Wetland,111,4.499,OLISP 1995 Air Photos,2537.04290022011,195963.050044482
84,Upland,0,0.18, ,402.174175158354,7823.52413089673
85,Tidal Wetland,111,2.558,OLISP 1995 Air Photos,2677.18883206979,111428.121534335
86,Tidal Wetland,111,5.812,OLISP 1995 Air Photos,4152.57232393943,253160.323041181
87,Tidal Wetland,111,13.887,OLISP 1995 Air Photos,6664.19555424283,604939.095248808
88,Tidal Wetland,111,4.366,OLISP 1995 Air Photos,2791.04318839686,190162.265780272
89,Tidal Wetland,111,0.738,OLISP 1995 Air Photos,961.794590027903,32159.3538311128
90,Tidal Wetland,111,1.135,OLISP 1995 Air Photos,1186.27418587682,49430.5310338872
91,Tidal Wetland,111,0.063,OLISP 1995 Air Photos,380.654698628466,2732.4314096847
92,Tidal Wetland,111,0.033,OLISP 1995 Air Photos,164.413707625186,1435.28063573548
93,Tidal Wetland,111,10.373,OLISP 1995 Air Photos,5197.3267335588,451841.731887574
94,Tidal Wetland,111,0.024,OLISP 1995 Air Photos,153.542596814159,1062.12729256007
95,Tidal Wetland,111,0.069,OLISP 1995 Air Photos,301.065190875045,2987.81802956949
96,Tidal Wetland,111,0.478,OLISP 1995 Air Photos,1894.47053096021,20831.4977422664
97,Tidal Wetland,111,0.177,OLISP 1995 Air Photos,408.487294878925,7709.59616038848
98,Tidal Wetland,111,5.866,OLISP 1995 Air Photos,6180.89707504997,255523.774966614
99,Tidal Wetland,111,0.098,OLISP 1995 Air Photos,238.553422554774,4266.52170923006
100,Tidal Wetland,111,0.053,OLISP 1995 Air Photos,388.057220089336,2292.53687374582
101,Tidal Wetland,111,1.716,OLISP 1995 Air Photos,1486.61212215857,74763.2701102993
102,Tidal Wetland,111,0.169,OLISP 1995 Air Photos,535.454317790871,7382.03440726648
103,Tidal Wetland,111,0.128,OLISP 1995 Air Photos,410.577418803107,5580.61393423339
104,Tidal Wetland,111,0.251,OLISP 1995 Air Photos,541.38916716068,10912.8560064517
105,Tidal Wetland,111,0.05,OLISP 1995 Air Photos,184.874836901032,2172.71349401254
106,Tidal Wetland,111,0.053,OLISP 1995 Air Photos,176.367624952026,2320.21086328003
107,Tidal Wetland,111,0.177,OLISP 1995 Air Photos,740.143095019016,7707.87683296746
108,Tidal Wetland,111,0.507,OLISP 1995 Air Photos,1010.30980354863,22098.194804829
109,Tidal Wetland,111,0.031,OLISP 1995 Air Photos,212.838319587581,1360.29721645414
110,Tidal Wetland,111,0.196,OLISP 1995 Air Photos,529.791338961198,8516.42127470521
111,Tidal Wetland,111,0.091,OLISP 1995 Air Photos,482.67346523111,3984.87195814462
112,Tidal Wetland,111,0.034,OLISP 1995 Air Photos,196.1913607107,1492.41510534262
113,Tidal Wetland,111,1.133,OLISP 1995 Air Photos,1203.97463653337,49333.1953115734
114,Tidal Wetland,111,0.35,OLISP 1995 Air Photos,526.01836274476,15250.9152410903
115,Tidal Wetland,111,0.143,OLISP 1995 Air Photos,567.682963128077,6249.55585296303
116,Tidal Wetland,111,0.079,OLISP 1995 Air Photos,379.199480468421,3454.73860154636
117,Tidal Wetland,111,28.424,OLISP 1995 Air Photos,5338.47181922027,1238144.98298649
118,Tidal Wetland,111,0.166,OLISP 1995 Air Photos,841.264347030385,7226.2869674469
119,Tidal Wetland,111,0.076,OLISP 1995 Air Photos,411.639426879175,3316.5069111989
120,Tidal Wetland,111,1.092,OLISP 1995 Air Photos,1801.46595124217,47581.1795482507
121,Tidal Wetland,111,0.137,OLISP 1995 Air Photos,523.570651142089,5981.19477314399
122,Tidal Wetland,111,0.082,OLISP 1995 Air Photos,289.414826325558,3552.41948649356
123,Tidal Wetland,111,0.065,OLISP 1995 Air Photos,290.857396078585,2852.19015718302
124,Tidal Wetland,111,0.406,OLISP 1995 Air Photos,582.772053726823,17677.4968547774
125,Tidal Wetland,111,0.134,OLISP 1995 Air Photos,616.43129345855,5850.13852928956
126,Tidal Wetland,111,0.229,OLISP 1995 Air Photos,789.16359652119,9969.46223360073
127,Tidal Wetland,111,54.072,OLISP 1995 Air Photos,16064.8273367555,2355390.27924791
128,Tidal Wetland,111,10.93,OLISP 1995 Air Photos,4043.17401987369,476115.348342882
129,Tidal Wetland,111,0.161,OLISP 1995 Air Photos,535.5359363884,7007.63564133436
130,Tidal Wetland,111,50.408,OLISP 1995 Air Photos,10259.8968803982,2195790.02583616
131,Tidal Wetland,111,0.261,OLISP 1995 Air Photos,578.493381693378,11348.7747643116
132,Tidal Wetland,111,10.179,OLISP 1995 Air Photos,3854.82484733555,443393.574727011
133,Tidal Wetland,111,0.089,OLISP 1995 Air Photos,314.65332783981,3860.97721523094
134,Tidal Wetland,111,0.919,OLISP 1995 Air Photos,1549.01253174934,40014.4619793639
135,Tidal Wetland,111,1.614,OLISP 1995 Air Photos,1322.64438555629,70290.1663661086
136,Tidal Wetland,111,0.073,OLISP 1995 Air Photos,264.460838147883,3178.8554255723
137,Tidal Wetland,111,0.045,OLISP 1995 Air Photos,478.32491799209,1951.81915005344
138,Tidal Wetland,111,0.026,OLISP 1995 Air Photos,152.124601074368,1124.99322363247
139,Tidal Wetland,111,0.297,OLISP 1995 Air Photos,678.760016228259,12943.7028288661
140,Tidal Wetland,111,0.321,OLISP 1995 Air Photos,741.683807569247,13977.6788130711
141,Tidal Wetland,111,0.091,OLISP 1995 Air Photos,408.10302820659,3985.69499508354
142,Tidal Wetland,111,0.232,OLISP 1995 Air Photos,1236.3829481955,10127.153011207
143,Tidal Wetland,111,0.038,OLISP 1995 Air Photos,217.772432524409,1667.56433901364
144,Tidal Wetland,111,0.575,OLISP 1995 Air Photos,1444.99225585597,25030.5329845524
145,Tidal Wetland,111,0.111,OLISP 1995 Air Photos,399.276361073724,4842.08982260574
146,Tidal Wetland,111,0.24,OLISP 1995 Air Photos,614.919596749441,10462.8929618943
147,Tidal Wetland,111,24.329,OLISP 1995 Air Photos,7255.78673043535,1059750.57872354
148,Tidal Wetland,111,0.228,OLISP 1995 Air Photos,1165.89391189991,9913.72846097157
149,Tidal Wetland,111,0.385,OLISP 1995 Air Photos,1156.47702731836,16759.8186049148
150,Tidal Wetland,111,0.536,OLISP 1995 Air Photos,1267.59690671817,23354.0787358906
151,Tidal Wetland,111,0.124,OLISP 1995 Air Photos,688.590733216117,5415.42783384292
152,Tidal Wetland,111,0.139,OLISP 1995 Air Photos,620.428564869181,6053.00231131068
153,Tidal Wetland,111,0.859,OLISP 1995 Air Photos,1675.23845786654,37408.1012470356
154,Tidal Wetland,111,0.077,OLISP 1995 Air Photos,374.562627271439,3343.38463380178
155,Tidal Wetland,111,0.043,OLISP 1995 Air Photos,377.923117277864,1873.03196019476
156,Tidal Wetland,111,1.156,OLISP 1995 Air Photos,1061.6091970536,50371.0300085264
157,Tidal Wetland,111,0.097,OLISP 1995 Air Photos,375.009162143993,4208.88861477166
158,Tidal Wetland,111,0.027,OLISP 1995 Air Photos,176.625395827997,1159.62835840247
159,Tidal Wetland,111,0.123,OLISP 1995 Air Photos,326.201039000372,5366.94949686544
160,Tidal Wetland,111,1.852,OLISP 1995 Air Photos,5293.55345313184,80693.0919253355
161,Tidal Wetland,111,0.308,OLISP 1995 Air Photos,1035.47687783148,13422.226351391
162,Tidal Wetland,111,0.187,OLISP 1995 Air Photos,681.571612714193,8151.6671241437
163,Tidal Wetland,111,0.112,OLISP 1995 Air Photos,617.501348373638,4868.66359609901
164,Tidal Wetland,111,0.37,OLISP 1995 Air Photos,995.438378104445,16126.4175422628
165,Tidal Wetland,111,0.14,OLISP 1995 Air Photos,405.895017993154,6108.10923109066
166,Tidal Wetland,111,21.45,OLISP 1995 Air Photos,5084.19772188421,934344.315629682
167,Tidal Wetland,111,2.765,OLISP 1995 Air Photos,6817.23671049041,120441.319884456
168,Tidal Wetland,111,0.152,OLISP 1995 Air Photos,550.783092731382,6630.43384182271
169,Tidal Wetland,111,0.124,OLISP 1995 Air Photos,532.189742115267,5382.68944679193
170,Tidal Wetland,111,0.913,OLISP 1995 Air Photos,1487.8414891106,39752.5983916535
171,Tidal Wetland,111,0.077,OLISP 1995 Air Photos,461.061741564909,3372.73943999396
172,Tidal Wetland,111,1.162,OLISP 1995 Air Photos,1080.46572646615,50620.1332212954
173,Tidal Wetland,111,0.044,OLISP 1995 Air Photos,227.750985626849,1930.07643303229
174,Tidal Wetland,111,0.038,OLISP 1995 Air Photos,207.209653481241,1669.60736173146
175,Tidal Wetland,111,0.028,OLISP 1995 Air Photos,133.520219744257,1234.64056678881
176,Tidal Wetland,111,0.137,OLISP 1995 Air Photos,624.6216111296,5988.22041913843
177,Tidal Wetland,111,0.186,OLISP 1995 Air Photos,681.64963207276,8100.63813907193
178,Tidal Wetland,111,0.045,OLISP 1995 Air Photos,240.592996020303,1948.35933268566
179,Tidal Wetland,111,0.168,OLISP 1995 Air Photos,618.073226030457,7311.20926206325
180,Tidal Wetland,111,0.377,OLISP 1995 Air Photos,819.73034194331,16425.3347345488
181,Tidal Wetland,111,0.095,OLISP 1995 Air Photos,697.534815670358,4132.55242909262
182,Tidal Wetland,111,0.422,OLISP 1995 Air Photos,1193.33397826518,18403.7808582467
183,Tidal Wetland,111,0.1,OLISP 1995 Air Photos,522.10115845487,4358.88977802311
184,Tidal Wetland,111,0.004,OLISP 1995 Air Photos,64.8591110291008,194.174481652999
185,Tidal Wetland,111,0.092,OLISP 1995 Air Photos,406.747642061144,3989.7841978374
186,Tidal Wetland,111,0.333,OLISP 1995 Air Photos,808.770168871631,14502.4513516255
187,Tidal Wetland,111,0.185,OLISP 1995 Air Photos,819.710469282963,8051.81517305466
188,Tidal Wetland,111,0.111,OLISP 1995 Air Photos,470.096141182129,4849.134812863
189,Tidal Wetland,111,39.153,OLISP 1995 Air Photos,9892.21455060396,1705515.12892039
190,Tidal Wetland,111,0.237,OLISP 1995 Air Photos,546.771581040249,10306.7624044672
191,Tidal Wetland,111,0.235,OLISP 1995 Air Photos,1038.50635402082,10252.1707389577
192,Tidal Wetland,111,0.158,OLISP 1995 Air Photos,544.705233342528,6899.8971047252
193,Tidal Wetland,111,5.382,OLISP 1995 Air Photos,4174.1877187071,234455.777388752
194,Tidal Wetland,111,0.17,OLISP 1995 Air Photos,593.095160709534,7418.35192859417
195,Tidal Wetland,111,0.514,OLISP 1995 Air Photos,1857.32386804936,22373.5255298826
196,Tidal Wetland,111,21.819,OLISP 1995 Air Photos,7989.45526621742,950453.727519499
197,Tidal Wetland,111,0.223,OLISP 1995 Air Photos,476.903059421898,9712.44344390798
198,Tidal Wetland,111,0.145,OLISP 1995 Air Photos,515.483985555161,6297.2590750099
199,Tidal Wetland,111,0.084,OLISP 1995 Air Photos,323.834254207364,3651.68722615325
200,Tidal Wetland,111,0.205,OLISP 1995 Air Photos,899.295078818102,8920.46743593321
201,Tidal Wetland,111,0.467,OLISP 1995 Air Photos,1570.55603777043,20332.3750745831
202,Tidal Wetland,111,0.333,OLISP 1995 Air Photos,1220.73966309295,14501.2747854627
203,Tidal Wetland,111,0.726,OLISP 1995 Air Photos,1779.65339459665,31637.0530726112
204,Tidal Wetland,111,0.085,OLISP 1995 Air Photos,267.801403295666,3681.01111255073
205,Tidal Wetland,111,0.362,OLISP 1995 Air Photos,1097.35018377325,15786.5996040388
206,Tidal Wetland,111,0.233,OLISP 1995 Air Photos,648.049493739539,10159.173150911
207,Tidal Wetland,111,0.177,OLISP 1995 Air Photos,827.888342741046,7699.6841370951
208,Tidal Wetland,111,0.157,OLISP 1995 Air Photos,494.642468559858,6832.89611251275
209,Tidal Wetland,111,0.499,OLISP 1995 Air Photos,2034.08135788135,21741.7153517685
210,Tidal Wetland,111,1.849,OLISP 1995 Air Photos,1389.79233513913,80556.4072280251
211,Tidal Wetland,111,3.495,OLISP 1995 Air Photos,2756.15503038238,152255.841566563
212,Tidal Wetland,111,0.068,OLISP 1995 Air Photos,275.673364277016,2955.02285395387
213,Tidal Wetland,111,0.061,OLISP 1995 Air Photos,227.763679924356,2670.22024894116
214,Tidal Wetland,111,2.488,OLISP 1995 Air Photos,1397.38064930247,108357.030482857
215,Tidal Wetland,111,0.223,OLISP 1995 Air Photos,614.833988678227,9712.43747684356
216,Tidal Wetland,111,45.036,OLISP 1995 Air Photos,8113.25411195655,1961778.19749478
217,Tidal Wetland,111,0.078,OLISP 1995 Air Photos,286.993302996677,3401.78732760235
218,Tidal Wetland,111,0.11,OLISP 1995 Air Photos,325.427577998201,4783.28085846028
219,Tidal Wetland,111,0.015,OLISP 1995 Air Photos,102.933782109391,655.824271484555
220,Tidal Wetland,111,30.268,OLISP 1995 Air Photos,9379.89305488117,1318489.73065856
221,Tidal Wetland,111,0.172,OLISP 1995 Air Photos,637.944459328672,7494.40596342328
222,Tidal Wetland,111,0.156,OLISP 1995 Air Photos,903.239659144131,6801.45675720303
223,Tidal Wetland,111,0.479,OLISP 1995 Air Photos,768.930740753237,20868.3142155382
224,Tidal Wetland,111,0.059,OLISP 1995 Air Photos,246.023370451582,2588.54328690736
225,Tidal Wetland,111,0.037,OLISP 1995 Air Photos,226.284479221325,1594.03329113429
226,Tidal Wetland,111,0.16,OLISP 1995 Air Photos,664.905933225295,6963.6578193513
227,Tidal Wetland,111,0.444,OLISP 1995 Air Photos,1203.09602009913,19333.2398528941
228,Tidal Wetland,111,0.053,OLISP 1995 Air Photos,304.290821529775,2309.68992878785
229,Tidal Wetland,111,0.053,OLISP 1995 Air Photos,236.651550072428,2296.77476943962
230,Tidal Wetland,111,0.952,OLISP 1995 Air Photos,1010.95949402031,41480.0010230458
231,Tidal Wetland,111,0.072,OLISP 1995 Air Photos,289.640269443375,3147.92605623758
232,Tidal Wetland,111,0.332,OLISP 1995 Air Photos,1849.54115621321,14443.3977429434
233,Tidal Wetland,111,0.794,OLISP 1995 Air Photos,1126.94708907612,34592.7214454063
234,Tidal Wetland,111,0.036,OLISP 1995 Air Photos,180.918179533727,1574.54076189608
235,Tidal Wetland,111,0.171,OLISP 1995 Air Photos,373.719332111483,7467.51310893293
236,Tidal Wetland,111,0.62,OLISP 1995 Air Photos,2220.91514808472,26996.0818644403
237,Tidal Wetland,111,0.873,OLISP 1995 Air Photos,903.222575961668,38043.708850788
238,Tidal Wetland,111,0.425,OLISP 1995 Air Photos,543.284955742992,18501.590475983
239,Tidal Wetland,111,24.108,OLISP 1995 Air Photos,6304.74285849401,1050133.55252896
240,Tidal Wetland,111,0.842,OLISP 1995 Air Photos,790.701688268229,36670.560113382
241,Tidal Wetland,111,0.044,OLISP 1995 Air Photos,242.348381777454,1926.50455585784
242,Tidal Wetland,111,24.375,OLISP 1995 Air Photos,10370.6964629968,1061759.41182565
243,Tidal Wetland,111,0.061,OLISP 1995 Air Photos,248.81634516588,2663.19684031187
244,Tidal Wetland,111,6.335,OLISP 1995 Air Photos,4150.7540796407,275971.244178895
245,Tidal Wetland,111,0.022,OLISP 1995 Air Photos,144.421361540232,959.468849078909
246,Tidal Wetland,111,0.59,OLISP 1995 Air Photos,771.653149752103,25698.9021043481
247,Tidal Wetland,111,0.111,OLISP 1995 Air Photos,332.646836895803,4854.65964325979
248,Tidal Wetland,111,0.041,OLISP 1995 Air Photos,223.404563857473,1766.88927829609
249,Tidal Wetland,111,1.222,OLISP 1995 Air Photos,1030.79516880151,53236.0851098625
250,Tidal Wetland,111,0.669,OLISP 1995 Air Photos,758.689141248805,29162.4360803589
251,Tidal Wetland,111,5.108,OLISP 1995 Air Photos,3651.87359927229,222492.94808076
252,Tidal Wetland,111,93.756,OLISP 1995 Air Photos,26690.824295176,4083991.49033485
253,Tidal Wetland,111,0.406,OLISP 1995 Air Photos,1485.48778495736,17704.451878907
254,Tidal Wetland,111,4.193,OLISP 1995 Air Photos,2692.36302898407,182647.930292095
255,Tidal Wetland,111,25.769,OLISP 1995 Air Photos,7168.58275138884,1122508.10737113
256,Tidal Wetland,111,2.413,OLISP 1995 Air Photos,1692.51786563117,105113.763835842
257,Tidal Wetland,111,2.85,OLISP 1995 Air Photos,2257.90664001019,124150.766584185
258,Tidal Wetland,111,0.831,OLISP 1995 Air Photos,958.538738405549,36219.4963282934
259,Tidal Wetland,111,11.014,OLISP 1995 Air Photos,5346.62435928331,479758.551123416
260,Tidal Wetland,111,4.472,OLISP 1995 Air Photos,3672.87655772354,194800.944258749
261,Tidal Wetland,111,0.256,OLISP 1995 Air Photos,1020.38064836698,11143.1802883187
262,Tidal Wetland,111,0.073,OLISP 1995 Air Photos,296.526080332534,3162.43932661109
263,Tidal Wetland,111,33.926,OLISP 1995 Air Photos,7622.23179755801,1477817.40200633
264,Tidal Wetland,111,2.541,OLISP 1995 Air Photos,1724.27757471039,110694.474721682
265,Tidal Wetland,111,0.78,OLISP 1995 Air Photos,879.797996658342,33976.5267603646
266,Tidal Wetland,111,2.132,OLISP 1995 Air Photos,3385.36148077972,92848.9080211915
267,Tidal Wetland,111,1.291,OLISP 1995 Air Photos,1046.91464469839,56236.607433485
268,Tidal Wetland,111,43.211,OLISP 1995 Air Photos,15154.6383277962,1882283.14562114
269,Tidal Wetland,111,29.788,OLISP 1995 Air Photos,8221.18982435092,1297544.54879
270,Tidal Wetland,111,47.356,OLISP 1995 Air Photos,8947.65265120721,2062844.73288829
271,Tidal Wetland,111,12.577,OLISP 1995 Air Photos,6130.602905378,547874.455810504
272,Tidal Wetland,111,1.036,OLISP 1995 Air Photos,837.847336292551,45132.7043116929
273,Tidal Wetland,111,0.023,OLISP 1995 Air Photos,127.940412031017,1022.75450071837
274,Tidal Wetland,111,2.149,OLISP 1995 Air Photos,1788.12832045987,93596.856728438
275,Tidal Wetland,111,0.018,OLISP 1995 Air Photos,130.982878145737,771.226368764719
276,Tidal Wetland,111,6.917,OLISP 1995 Air Photos,2960.92392323094,301306.391426827
277,Upland,0,2.19, ,1229.40854601318,95414.3556907898
278,Tidal Wetland,111,0.051,OLISP 1995 Air Photos,208.854261713042,2219.23183407912
279,Tidal Wetland,111,0.063,OLISP 1995 Air Photos,264.591784964773,2755.960945023
280,Tidal Wetland,111,0.05,OLISP 1995 Air Photos,195.578282725218,2182.09658647487
281,Tidal Wetland,111,0.081,OLISP 1995 Air Photos,458.083565226428,3550.1023519198
282,Tidal Wetland,111,43.601,OLISP 1995 Air Photos,9196.20566263891,1899265.63484367
283,Tidal Wetland,111,0.163,OLISP 1995 Air Photos,653.550231107881,7091.134468071
284,Tidal Wetland,111,12.86,OLISP 1995 Air Photos,7478.23018166598,560171.088737558
285,Tidal Wetland,111,0.234,OLISP 1995 Air Photos,747.990243202513,10180.4836908294
286,Tidal Wetland,111,0.193,OLISP 1995 Air Photos,770.189393105938,8427.99441139073
287,Tidal Wetland,111,23.242,OLISP 1995 Air Photos,9634.08965282343,1012414.27691266
288,Tidal Wetland,111,0.099,OLISP 1995 Air Photos,556.873892190111,4294.98004259501
289,Tidal Wetland,111,0.54,OLISP 1995 Air Photos,1158.54263382703,23531.7827780594
290,Tidal Wetland,111,0.364,OLISP 1995 Air Photos,1502.71389884312,15834.3822313694
291,Tidal Wetland,111,0.064,OLISP 1995 Air Photos,373.023941453526,2778.58455264225
292,Tidal Wetland,111,5.359,OLISP 1995 Air Photos,1908.71836541307,233458.038340522
293,Tidal Wetland,111,101.389,OLISP 1995 Air Photos,18856.843714113,4416504.44251041
294,Tidal Wetland,111,0.066,OLISP 1995 Air Photos,330.812000440123,2895.00501917608
295,Tidal Wetland,111,35.999,OLISP 1995 Air Photos,8289.87236752178,1568126.37756944
296,Tidal Wetland,111,0.024,OLISP 1995 Air Photos,155.495496182311,1047.13480663945
297,Tidal Wetland,111,0.389,OLISP 1995 Air Photos,662.015915845843,16946.5659479591
298,Tidal Wetland,111,3.491,OLISP 1995 Air Photos,3544.1728781027,152072.270038965
299,Tidal Wetland,111,11.818,OLISP 1995 Air Photos,6391.25305920224,514806.843302017
300,Tidal Wetland,111,2.112,OLISP 1995 Air Photos,1904.47638929424,91991.964258358
301,Tidal Wetland,111,0.585,OLISP 1995 Air Photos,664.428356612543,25478.628943018
302,Upland,0,0.197, ,625.351399100762,8580.38849586347
303,Tidal Wetland,111,7.205,OLISP 1995 Air Photos,3297.29463866596,313833.897663016
