OBJECTID,CYCLE,NAME,LOCATION,MILES,NHD_BASIN,AQUATIC_LIFE,RECREATION,FISH_CONSUMPTION,DRINKING_WATER_SUPPLY,Shape__Length
38,2010,Mashamoquet Brook-02,"From confluence with Wolf Den Brook (just US of Route 101 crossing), US to Taft Pond outlet dam (US of Taft Pond Road crossing), Pomfret.  Includes diversion to swimming pond in Mashamoquet State Park.",4.36,1100001,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,23035.1012423666
43,2010,Broad Brook (Preston)-01,"From mouth at confluence with Quinnebaug River (DS of Old Jewett City Road crossing), at the Preston/Lisbon/Griswold borders, US to Lewis Pond outlet dam (north side of Route 165, near intersection with Lewis Road), Preston.",4.73,1100001,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,24990.8920995497
45,2010,Willimantic River-02,"From confluence with Tenmile River (at Columbia/Lebanon/Windham borders, just DS of Route 66 crossing), US to Eagleville Pond dam outlet (just US of Stonehouse Road crossing).",6.59,1100002,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,34777.1373580059
46,2010,Willimantic River-03,"Inlet to Eagleville Pond (west of Route 32 and RailRoad tracks near Ravine Road intersection), Mansfield, US to I84 crossing (includes under highway crossing area), Willington/Tolland.",9.59,1100002,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,50614.0924086337
52,2010,Eagleville Brook-01,"From mouth at entrance to Eagleville Pond (lower eastern corner), US to confluence with Kings (Roberts) Brook (east side of North Eagleville Road), Mansfield.",0.68,1100002,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,3602.97078641081
53,2010,Eagleville Brook-02,"From confluence with Kings (Roberts) Brook (east side of North Eagleville Road), US to headwaters near UConn campus (just crossing Stadium Road), Mansfield.",1.67,1100002,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,8823.8120216177
59,2010,Neck River-01,"From head of tide (marsh exit, parallel to Neck Road, DS of Route 1 crossing), US to headwaters (just northeast of Roure 80 and Route 79 rotary intersection, and south of aqueduct), Madison.",9.49,1100004,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,50109.1993188181
64,2010,Morgan Brook-01,"From mouth at West Branch Farmington River, US to confluence with tributary 4305-04 (first confluence) on east side of Route 44, Barkhamsted.",0.69,1080207,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,3626.11252568556
65,2010,Nepaug River-01,"From mouth at confluence with Farmington River (southwest of Route 202 crossing), US to Nepaug Reservoir outlet dam.",0.9,1080207,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,4736.91855732827
67,2010,Mountain Brook (Suffield)-01,"From mouth at confluence with Hungary Brook (just US of RailRoad crossing on Hungary Brook), US to confluence with unnamed tributary just US of Copper Hill Road crossing,  Suffield.",1.37,1080207,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,7210.23054455565
68,2010,Chatfield Hollw Brook (Killingworth)-01,"From mouth at confluence with Hammonasset River (DS of River Road crossing), US to Deer Lake outlet Dam, Killingworth.",1.03,1100004,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,5441.50546592151
69,2010,East River (Guilford)-01,"From Platner Dam (just US of Foot Bridge Road crossing, head of tide), US to 2nd unnamed tributary (below lakes), Guilford.",0.67,1100004,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,3562.1004902694
71,2010,Mill Brook (Sharon)-02,"From confluence with Beebee Brook (just DS of Woods 1 road crossing), US to Hatch Pond outlet dam (just US of Mitchelltown Road crossing and confluence with Bog Meadow Brook), Sharon.",1.66,1100005,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,8780.97854923397
74,2010,Furnace Brook (Stafford)-01,"From mouth at confluence with Middle River, US through concrete channel, stopping at US end of conrete channel (passes under RailRoad tracks and Route 14), Stafford.",0.18,1100002,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,934.601168822145
76,2010,Ruby Lake outlet stream-01,"From mouth at Roaring Brook, Wilington, US to wetland adjacent to truck stop, SouthWest of Exit 71 off I84.",0.12,1100002,Not Supporting,Not Assessed,Not Assessed,Water Not Classified For Drinking Supply,641.047388201607
81,2010,Skungamaug River-01,"From mouth at confluence with Hop River, Andover, US to headwaters (US of Old Tolland Road crossing), Tolland.",16.7,1100002,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,88174.5117653779
82,2010,Hop River (Willimantic-Bolton)-01,"From mouth at confluence with Willimantic River (just south of Route 6), Willimantic, US to headwaters (near Route 6 and Stony Road intersection), Bolton.",15.12,1100002,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,79810.9794219986
91,2010,Shetucket River-05,"From confluence with Cold Brook (DS of Franklin Mushroom Farm STP from unnamed tributary), US to headwaters at confluence of Natchaug River and Willimantic River.",4.99,1100002,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,26333.3065963388
92,2010,Connecticut River-01,"From head of estuary at Chapman Pond outlet, East Haddam, US to northern most boundary of Hurd State Park, East Hampton.",10.27,1080205,Not Assessed,Not Supporting,Not Supporting,Water Not Classified For Drinking Supply,54206.5610869985
93,2010,Connecticut River-02,"From northern most boundary of Hurd State Park, East Hampton, US to confluence with Reservoir Brook (adjacent to Gildersleeve Island), Portland.",10.49,1080205,Not Assessed,Not Supporting,Not Supporting,Water Not Classified For Drinking Supply,55365.5909592173
94,2010,Connecticut River-03,"From Reservoir Brook confluence (adjacent to Gildersleeve Island), Portland, US to MA border.",35.26,1080205,Not Assessed,Not Supporting,Not Supporting,Water Not Classified For Drinking Supply,186196.306230865
101,2010,Norwalk River-01,"From Wall Street (Commerce Street) crossing (head of estuary/saltwater limit), Norwalk, US to confluence with Bryant Brook (DS of Wolfpit Road crossing), Wilton. (Segment includes Winnipauk Mill Pond and Deering Pond)",5.63,1100006,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,29738.3105068215
102,2010,Aspetuck River (Westport-Easton)-01,"From confuence with Saugatuck River (DS of Weston Road (ROUTE 57) crossing), Wetport, US to Aspetuck Reservoir outlet dam (US of Black Rock Turnpike (Route 58) crossing), Easton. (Segment passes through Pfeiffer Pond, Weston/Easton town border)",5.93,1100006,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,31328.4677731439
104,2010,West Branch Saugatuck River-01,"From mouth at confluence with Saugatuck River (DS of Pan Handle Lane crossing), Westport, US to Godfrey Road West crossing (just east of Old Orchard Drive intersection), Weston.",6.12,1100006,Insufficient Information,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,32326.989516921
107,2010,Stony Brook (Suffield)-01,"From mouth at outlet on canal parallel to Connecticut River, US to confluence with Muddy Brook at railroad crossing, Suffield.",3.47,1080205,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,18307.8396280453
108,2010,Farmill River-03,"From confluence with Means Brook (just DS of Huntington Street crossing), US to Far Mill (Isinglass) Reservoir outlet dam, just US of Farmill Street crossing (beginning of drinking water watershed), Shelton.",3.33,1100005,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,17607.4229501056
110,2010,Branch Brook-02,"From Black Rock Dam outlet (along south side of Route 109), US to Wigwam Reservoir outlet dam, Watertown-Thomaston.",1.91,1100005,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,10061.3907470195
111,2010,Steele Brook-01,"From mouth at confluence with Naugatuck River (just DS of Route 8 crossing), US to Sherwood Medical (American Home Products) area (site is behind Municipal Stadium parking lot on northend of stadium property), Waterbury.",1.18,1100005,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,6251.99236038743
112,2010,Steele Brook-02,"From Sherwood Medical (American Home Products) area (site is behind Municipal Stadium parking lot on northend of stadium property), Waterbury, US to INLET of Heminway Pond (DS of Route 6 crossing, pond included in segment), Watertown.",3.78,1100005,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,19960.6907779557
116,2010,Indian River (Westport)-02,"From I95 crossing, Westport, US to headwaters (portions of river in concrete channels and pipes), Norwalk. (Segment made from site map, actual hydro must be mapped to confirm underground portions)",0.94,1100006,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,4952.84765802188
118,2010,Pequonnock River-02,"From inlet to Bunnells (Beardsley Park) Pond (eastern side of Route 8, exit 6 area), Bridgeport, US to Daniels Farm Road crossing (US of Route 25 crossing), Trumbull.",2.92,1100006,Not Supporting,Insufficient Information,Fully Supporting,Water Not Classified For Drinking Supply,15418.4059247559
119,2010,Pequonnock River-03,"From Daniels Farm Road crossing (US of Route 25 crossing), Trumbull, US to Monroe Turnpike (Route 111) crossing (near intersection with Route 25), Trumbull.",4.19,1100006,Not Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,22124.3127581934
125,2010,Saugatuck River-03,"From INLET to Saugatuck Reservoir at Newtown Turnpike (Route 53) crossing, US to confluence with Bogus Mountain Brook (US of Redding Road (Route 53) crossing, and parallel to Station Road), Redding.",4.36,1100006,Fully Supporting,Not Supporting,Fully Supporting,Not Assessed,23023.459304263
128,2010,Little River (Sprague)-02,"From inlet to Versailles Pond (northwest corner of pond),  US to Papermill Pond outlet dam, Sprague.",0.89,1100002,Not Supporting,Not Assessed,Not Supporting,Water Not Classified For Drinking Supply,4707.24568821627
129,2010,Fenger Brook-01,"From mouth at head of tide, Alewife Cove (just DS of Niles Hill Road (Route 213) crossing), US to headwaters (southeast of Clark Lane and Chester Street intersection), Waterford.",3.47,1100003,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,18332.6933200724
130,2010,Unnamed Trib to Copps Brook-01,"From mouth at Copps Brook, just US of Quiambog Cove (parallel to Cove Road), US to headwaters near Jerry Brown Road, Stonington (intermittent).",0.66,1100003,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,3479.85756927848
135,2010,Mill Brook (Cornwall)-02b,"From Rattlesnake Road crossing, US to Headwaters at Cream Hill Lake outlet dam (US of Town Street crossing),  Cornwall.",1.01,1100005,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,5352.46191036531
136,2010,Coginchaug River-05,"From Strictland Road crossing, Middlefield, US to Meeting House Hill Road crossing, Durham.",4.95,1080205,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,26114.2059382846
137,2010,Coginchaug River-06,"From Meeting House Hill Road crossing, Durham, US to headwaters (US of Route 72 crossing, between Bluff Head and Broomstick Ledges), North Guilford.",3.59,1080205,Fully Supporting,Not Supporting,Fully Supporting,Not Assessed,18934.6463168535
138,2010,Salmon River-01,"Mouth at Connecticut River, East Haddam, US to headwaters at confluence of Blackledge and Jeremy Rivers, Colchester.",10.41,1080205,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,54984.6352106458
139,2010,Cabin Brook-01,"From mouth at confluence with Nelkin Brook (in marsh DS of Cabin Road crossing), US under Route 2/Route 11 interchange to confluence with small tributary near exit 20 ramp, Colchester.",1.53,1080205,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,8081.19535562432
145,2010,Sumner Brook (Middletown)-02,"Confluence with Long Hill Brook, parallel with Mill Street, US to Russells Pond OUTLET, DS of Russell Street crossing, Middletown.",0.52,1080205,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,2755.31608823933
156,2010,Mount Hope River-02,"From first Route 89 (Mansfield Road) crossing, Ashford, US to headwaters at Morey Pond outlet dam, on Union/Ashford border.",9.99,1100002,Not Assessed,Not Supporting,Fully Supporting,Not Assessed,52734.6926828632
158,2010,Fenton River-01b,"From Gurleyville Road crossing, US to confluence with unnamed tributary (~1 mile US of Gurleyville road crossing), perpendicular to Hoursebarn Hill Road, Mansfield.",1.24,1100002,Not Supporting,Not Assessed,Fully Supporting,Not Assessed,6561.3291874684
163,2010,Shetucket River-01,"From end of estuary, at Route 2 crossing, US to Greenville dam, Norwich.",1.56,1100002,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,8220.28852354698
165,2010,Sasco Brook-01,"From Bulkely Pond OUTLET dam (US side of Post Road East (Route 1) crossing), Westport/Fairfield town border, US to Hulls Farm Road crossing (just DS of Great Brook confluence), Westport/Fairfield town border. (Segment includes Buckley Pond)",1.42,1100006,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,7496.04809100135
166,2010,Sasco Brook-02,"From Hulls Farm Road crossing (just DS of Great Brook confluence), Westport/Fairfield town border, US to headwaters at marsh (US of Burr Street crossing), Fairfield.",5.2,1100006,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,27465.4767175731
167,2010,Great Brook (Fairfield)-01,"From mouth at confluence with Sasco Brook (just US of Hulls Farm Road crossing of Sasco Brook, east bank), US to first confluence with unnamed brook (just US of Morehouse Lane crossing, DS of marsh), Fairfield.",0.72,1100006,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,3775.73497520444
171,2010,Copps Brook-01,"From mouth at Quiambog Cove (parallel to Cove Road), US to Palmer (Mystic) Reservoir outlet dam (just US of Jerry Brown Road crossing), Stonington.",0.77,1100003,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,4043.39431587565
177,2010,Whitford Brook-02a,"From area east of the Shewville Road and Gallup Hill Road intersection, Ledyard/Stonington town line, US to entrance of ""Lantern Hill"" wellfield (west of Lantern Hill Road, in marsh parallel with Stony Pond), Ledyard/Stonington town line.",0.74,1100003,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,3916.40830679868
182,2010,"Unnamed Trib, Yantic River (Norwich Landfill)-01","From mouth at confluence with Yantic River, just DS of RailRoad crossing (100m US of I395 crossing of Yantic River), US to Browning Pond outlet dam, Norwich (influenced by Landfill).",0.57,1100003,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,2987.41267742872
183,2010,Kahn Brook-01,"From mouth at confluence with Yantic River (just DS of Fitchville Road crossing), US to chicken farm road crossing, Bozrah.",0.61,1100003,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,3211.93075212421
186,2010,Tenmile River (Southington/Cheshire)-01,"From mouth at confluence with Quinnipiac River (DS of Old Turnpike Road crossing), Southington, US to Lake Percivel outlet dam on Moss Farms Pond (just US of Jarvis Street crossing), Cheshire.",4.1,1100004,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,21645.397709688
188,2010,Pawcatuck River-01,"From head of tide, Rte 1 crossing in Pawcatuck-Westerly, US to RI border.",5.38,1090005,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,28385.5837869696
190,2010,Sumner Brook-01,"From mouth at Connecticut River, Middletown, US to confuence with Long Hill Brook.",0.97,1080205,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,5128.72036017024
191,2010,Long Hill Brook-01,"From mouth at Sumner Brook, US to Pameacha Pond outlet dam, just US of Pamecha Avenue crossing, Middletown.",0.45,1080205,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,2359.57269624695
196,2010,Konkapot River-01,"From Massachusetts state border (DS of Clayton Road crossing), US to Massachusetts state border (US of Old Turnpike Road crossing), North Canaan. (Small loop through northern Connecticut).",2.44,1100005,Not Assessed,Not Assessed,Not Supporting,Water Not Classified For Drinking Supply,12894.4879396655
203,2010,Pequabuck River-01,"From mouth at Farmington River, US to RailRoad crossing (US (south) of Route 72 crossing), Plainville.",5.37,1080207,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,28332.1219259331
204,2010,Pequabuck River-02,"From RailRoad crossing (US (south) of Route 72 crossing), Plainville, US to Bristol POTW outfall (DS of route 229 crossing), Bristol.",3.37,1080207,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,17817.0136961011
209,2010,Latimer Brook-01,"From mouth at confluence with Niantic River (head of tide at Banning Cove inlet, just DS of Route 1 crossing, south side of I95, east of exit 75), US to confluence with Cranberry Meadow Brook (parallel with Route 161), East Lyme",4.23,1100003,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,22354.868739873
215,2010,Bride Brook-01,"From head of estuary (salt water limit, just DS of Route 156 crossing),  US to Bride Lake outlet dam (just US of North Bride Brook Road), East Lyme.",0.7,1100003,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,3702.27005635964
216,2010,Bride Brook-02,"From inlet to Bride Lake (northwest portion, just DS of North Bride Brook Road crossing), US to headwaters (marsh on south side of Route 1), East Lyme.",2.13,1100003,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,11243.2795181661
217,2010,Flat Brook (Ledyard)-01,"From mouth at confluence with Thames River (inlet to Long Cove, North of Navy Base) Gales Ferry/Ledyard, US to headwaters at unnamed pond, Groton (Brook runs North).",1.09,1100003,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,5780.81524163202
220,2010,Oxoboxo Brook-01,"From mouth at head of tide (inlet to Gay Cemetery Pond, Horton Cove, Thames River), US to Wheeler Pond outlet dam, Montville. (Segment includes Rockland Pond)",2.62,1100003,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,13818.6606879538
228,2010,Unnamed trib to Oyster River (Milford)-01,"From Merwin Avenue crossing, US to RailRoad (Amtrak) crossing (just US of Quirkes Pond (included in segment)), Milford. ",1.47,1100004,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,7776.93987861074
229,2010,Unnamed trib to Oyster River (Milford)-02,"From RailRoad (Amtrak) crossing (just US of Quirks Pond), US to headwaters (inlet to unnamed swamp), just US of Cascade Boulevard (entrance to Light Sources Inc.), Milford.",0.43,1100004,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,2245.53566800183
231,2010,Menunketesuck River-02,"From Bushy Pond inlet (just DS of Kelseytown Road crossing), Clinton, US to Kelseytown Reservoir outlet dam (just US of Kelseytown Brodge Road crossing), Clinton-Killingworth border.",1.78,1100004,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,9423.00658965364
238,2010,Harbor Brook (Meriden)-03,"From culvert entrance (just US of Fire Station, and US of Mill Street crossing), US to Baldwins Pond outlet dam (just US of Westfield Road crossing), Meriden.",1.48,1100004,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,7811.33543362716
239,2010,Wharton Brook-01,"From mouth at confluence with Quinnipiac River (DS of Route 5 and RailRoad crossing), Wallingford/North Haven town borders, US to Simpson Pond outlet dam (US of Center Street (Route 150) crossing), Wallingford.",3.97,1100004,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,20982.8447928067
240,2010,Wharton Brook-02,"From inlet to Simpson Pond, US to North Farms Reservoir outlet dam (just US of Church Street (Route 68) crossing), Wallingford.",2.94,1100004,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,15549.1182281019
241,2010,Allen Brook-01,"From mouth at confluence with Wharton Brook (east of Route 5, south of exit 13 on/off ramp, I91), US to Allen Brook Pond outlet dam, Wallingford.",0.05,1100004,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,270.351109415891
242,2010,Allen Brook-02,"From inlet to Allen Brook Pond (south of exit 13 on/off ramp, I91), Wallingford/North Haven town borders, US to headwaters (under I91, and then parallel along east side, stays to west side of RailRoad track), Wallingford.",1.8,1100004,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,9509.95449617195
244,2010,Norwalk River-02,"From confluence with Bryant Brook (DS of Wolfpit Road crossing), US to Old Mill Road crossing (between Danbury Road (Route 7) and RialRoad tracks southeast of Georgetown), Wilton.",5.61,1100006,Insufficient Information,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,29634.4094569155
245,2010,Norwalk River-03a,"From Old Mill Road crossing (between Danbury Road (Route 7) and RialRoad track, southeast of Georgetown), Wilton, US to confluence with Georgetown POTW outfall, Redding.",0.84,1100006,Not Supporting,Not Supporting,Not Assessed,Water Not Classified For Drinking Supply,4455.82844652641
246,2010,Farm River (East Haven)-01,"From saltwater limit at marsh (just DS of MAin Street Anx. crossing, southwest of Lake Saltonstall outflow), East Haven, US (parallel to lake, around west side) to confluence with Burrs Brook (DS of Route 80 crossing), North Branford.",6.14,1100004,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,32430.9806664071
247,2010,Farm River (East Haven)-02,"From confluence with Burrs Brook (DS of Route 80 crossing), US to Pages Mill Pond outlet dam, US side of Mill Road crossing, North Branford.",1.24,1100004,Not Supporting,Not Supporting,Fully Supporting,Not Supporting,6558.49233803379
249,2010,Burrs Brook-01,"From mouth at confluence with Farm River (just DS of Totoket Road crossing), US to Vic's Pond (on Tomasso property) outlet (part of hyro missing from NHD). Brook contributes to drinking water supply, Lake Saltonstall.",1.35,1100004,Not Supporting,Not Assessed,Fully Supporting,Not Assessed,7130.11852266963
250,2010,Quinnipiac River-01,"From Sackett Point Road crossing (west of I91, and east of Route 15), North Haven, US to Toelles Road crossing (head of tide), Wallingford/North Haven town border.",5.05,1100004,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,26663.6804276581
251,2010,Quinnipiac River-02,"From Toelles Road crossing (head of tide, just east of Route 15), Wallingford/North Haven town border, US to Hanover Pond outlet dam, Meriden. (Segment includes Community Lake portion)",8.5,1100004,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,44896.8199436712
252,2010,Quinnipiac River-03,"From Hanover Pond inlet (at Oregon Road crossing, DS enr of Quinnipiac Gorge), Meriden, US (through Gorge) to Waterworks (breached dam), just DS of Cheshire/Meriden town border (parallel to River Road (Route 70)).",1.29,1100004,Not Supporting,Not Supporting,Not Supporting,Water Not Classified For Drinking Supply,6829.24606619251
253,2010,Quinnipiac River-04,"From Waterworks (breached dam), just DS of Cheshire/Meriden town border (parallel to River Road (Route 70)), US to confluence with Tenmile River (US of Route 322 crossing, and US of Southington WPCF).",4.78,1100004,Not Supporting,Not Supporting,Not Supporting,Water Not Classified For Drinking Supply,25224.0194443353
254,2010,Quinnipiac River-05,"From confluence with Tenmile River (US of Route 322 crossing, and US of Southington WPCF), US to Queen Street (Route 10) crossing (US of RailRoad crossing, North of I-84 crossing), Southington.",8.32,1100004,Not Supporting,Not Assessed,Not Supporting,Water Not Classified For Drinking Supply,43945.1178107306
255,2010,Quinnipiac River-06,"From Queen Street (Route 10) crossing (US of RailRoad crossing, North of I-84 crossing), Southington, US to Hamlin Pond outlet dam (US of Pine Street crossing), Plainville.",3.0,1100004,Not Supporting,Not Supporting,Not Supporting,Water Not Classified For Drinking Supply,15816.1134258624
256,2010,Quinnipiac River-07,"From Hamlin Pond inlet (northeast corner, just south of Route 72 and I84 connection and RailRoad), Plainville, US to headwaters at Dead Wood Swamp (west side of I84, near exit 37, just south of Route 6), Farmington.",3.5,1100004,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,18471.8322641387
257,2010,Patton Brook-01,"From mouth at confluence with Quinnipiac River (just DS of River Road crossing), US to headwaters at unnamed pond (US of confluence with Mill Pond tributary, just US of Malcein Drive crossing), Southington.",2.84,1100004,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,14984.1791723086
259,2010,Hemingway Creek-01,"From saltwater limit (200m DS of Quinipiac Avenue crossing, just DS of RailRoad crossing), New Haven, US to Golf Pond outlet dam, East Haven.",0.74,1100004,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,3890.7893099416
260,2010,Eightmile River (Southington)-01,"From mouth at confluence with Quinnipiac River (DS of West Main Street crossing and just DS of RailRoad crossing), US to Grannis Pond outlet dam (just US of Churchhill Street crossing), Southington.",3.39,1100004,Fully Supporting,Insufficient Information,Not Supporting,Water Not Classified For Drinking Supply,17899.9726728238
261,2010,West Branch Naugatuck River-01,"From mouth at confluence with East Branch Naugatuck River, above Naugatuck River (US of East Albert Street crossing), US to Old Brass Mill Pond outlet dam (1st impoundment on river), just US of Church Street crossing, Torrington.",0.97,1100005,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,5114.84159193104
