Fiscal Year,Vendor Name,Street Address,Vendor Address City,Vendor Address State,Vendor Address Zip Code,Issue Date,Payment Amount,Department Description,Business Unit,Account Description
2007,ADVANCED FINANCIAL SOLUTIONS 1,1200 SOVEREIGN ROW,OKLAHOMA CITY,OK,73108,05/15/2007,$100465.21,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,AI INTERNATIONAL LLC,10 TANTALUM PL,MUSKOGEE,OK,74403,08/15/2006,$8095.37,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,AI INTERNATIONAL LLC,10 TANTALUM PL,MUSKOGEE,OK,74403,11/16/2006,$19016.96,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,AI INTERNATIONAL LLC,10 TANTALUM PL,MUSKOGEE,OK,74403,02/15/2007,$20171.67,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,AI INTERNATIONAL LLC,10 TANTALUM PL,MUSKOGEE,OK,74403,05/15/2007,$25246.97,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,ALL STATE TANK MFG LLC,511 INDUSTRIAL PARK  RD A,GROVE,OK,74344,09/15/2006,$12310.12,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,ALL STATE TANK MFG LLC,511 INDUSTRIAL PARK  RD A,GROVE,OK,74344,09/15/2006,$11900.47,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,ALL STATE TANK MFG LLC,511 INDUSTRIAL PARK  RD A,GROVE,OK,74344,11/16/2006,$13241.37,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,ALL STATE TANK MFG LLC,511 INDUSTRIAL PARK  RD A,GROVE,OK,74344,04/16/2007,$12085.80,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,ALL STATE TANK MFG LLC,511 INDUSTRIAL PARK  RD A,GROVE,OK,74344,05/15/2007,$11559.47,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,ALSALE MGMT & INVEST COMPANY,1601 NW EXPRESSWAY   STE 1600,OKLAHOMA CITY,OK,73118,05/15/2007,$64059.78,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,ALSALE MGMT & INVEST COMPANY,1601 NW EXPRESSWAY   STE 1600,OKLAHOMA CITY,OK,73118,05/15/2007,$264650.96,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,ALSATE MGMT & INVEST COMPANY,1601 NW EXPRESSWAY   STE 1600,OKLAHOMA CITY,OK,73118,06/13/2007,$425957.34,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,AMER BKRS INS#2/ASSURANT SOLUT,6501 W GORE BLVD,LAWTON,OK,73505,08/15/2006,$12156.50,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,AMERI-TI INC,5785 BIRD CREED AVE,CATOOSA,OK,74015,08/15/2006,$3851.07,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,AMERICAN BANKERS INSURANCE CO,6501 W GORE,LAWTON,OK,73505,06/13/2007,$119951.13,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,AMERICAN BANKERS INSURANCE CO,6501 W GORE,LAWTON,OK,73505,06/13/2007,$121409.51,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,AMERICAN BANKERS INSURANCE CO,6501 W GORE,LAWTON,OK,73505,06/13/2007,$120521.04,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,AMERICAN BANKERS INSURANCE CO,6501 W GORE,LAWTON,OK,73505,06/13/2007,$121790.86,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,AMERICAN BANKERS INSURANCE CO,6501 W GORE,LAWTON,OK,73505,06/13/2007,$113539.53,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,AMERICAN CANCER SOCIETY INC,1599 CLIFTON RD NE,ATLANTA,GA,30329,09/15/2006,$79351.58,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,AMERICAN CANCER SOCIETY INC,1599 CLIFTON RD NE,ATLANTA,GA,30329,03/15/2007,$81057.70,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,AMERICAN CANCER SOCIETY INC,1599 CLIFTON RD NE,ATLANTA,GA,30329,03/15/2007,$61051.19,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,AMERICAN CASTINGS LLC,PO BOX 69,PRYOR,OK,74362,08/15/2006,$90014.89,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,AMERICAN CASTINGS LLC,PO BOX 69,PRYOR,OK,74362,11/16/2006,$109869.79,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,AMERICAN CASTINGS LLC,PO BOX 69,PRYOR,OK,74362,02/15/2007,$86967.17,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,AMERICAN CASTINGS LLC,PO BOX 69,PRYOR,OK,74362,05/15/2007,$95627.45,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,AMERICAN WOODMARK CORP,3102 SHAWNEE DR,WINCHESTER,VA,22601,09/15/2006,$83545.27,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,AMERICAN WOODMARK CORP,3102 SHAWNEE DR,WINCHESTER,VA,22601,11/16/2006,$70441.81,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,AMERICAN WOODMARK CORP,3102 SHAWNEE DR,WINCHESTER,VA,22601,02/15/2007,$67941.11,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,AMERICAN WOODMARK CORP,3102 SHAWNEE DR,WINCHESTER,VA,22601,05/15/2007,$61284.14,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,AMERISTAR FENCING PROD INC,1555 N MINGO RD,TULSA,OK,74116,08/15/2006,$28591.37,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,ARINC INC #2,6400 S E 59TH ST,OKLAHOMA CITY,OK,73135,12/14/2006,$58185.22,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,ARINC INC #2,6400 S E 59TH ST,OKLAHOMA CITY,OK,73135,12/14/2006,$56383.19,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,ARINC INC #2,6400 S E 59TH ST,OKLAHOMA CITY,OK,73135,12/14/2006,$60991.80,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,ARINC INC #2,6400 S E 59TH ST,OKLAHOMA CITY,OK,73135,02/15/2007,$60414.08,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,ARINC INC #2,6400 S E 59TH ST,OKLAHOMA CITY,OK,73135,04/16/2007,$71131.77,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,ARKANSAS BOX LLC,#1 ARCHERY LANE,POCOLA,OK,74902,08/15/2006,$9321.48,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,ARKANSAS BOX LLC,#1 ARCHERY LANE,POCOLA,OK,74902,11/16/2006,$9117.54,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,ARKANSAS BOX LLC,#1 ARCHERY LANE,POCOLA,OK,74902,02/15/2007,$9007.37,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,AVAYA INC,14400 HERTZ QUAIL SPRGS PKWAY,OKLAHOMA CITY,OK,73134,08/15/2006,$160769.38,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,AVAYA INC,14400 HERTZ QUAIL SPRGS PKWAY,OKLAHOMA CITY,OK,73134,06/13/2007,$165117.17,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,AVAYA INC,14400 HERTZ QUAIL SPRGS PKWAY,OKLAHOMA CITY,OK,73134,06/13/2007,$117551.14,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,AVAYA INC,14400 HERTZ QUAIL SPRGS PKWAY,OKLAHOMA CITY,OK,73134,06/13/2007,$176934.28,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,AXH AIR-COOLERS LLC,401 E LOWRY RD,CLAREMORE,OK,74017,07/13/2006,$73790.35,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,AXH AIR-COOLERS LLC,401 E LOWRY RD,CLAREMORE,OK,74017,10/16/2006,$93660.82,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,AXH AIR-COOLERS LLC,401 E LOWRY RD,CLAREMORE,OK,74017,02/15/2007,$89104.33,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,AXH AIR-COOLERS LLC,401 E LOWRY RD,CLAREMORE,OK,74017,05/15/2007,$101437.33,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,BAMA COMPANIES INC #1,2745 E 11TH ST,TULSA,OK,74159,08/15/2006,$63046.03,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,BAMA COMPANIES INC #1,2745 E 11TH ST,TULSA,OK,74159,08/15/2006,$63608.57,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,BAMA COMPANIES INC #1,2745 E 11TH ST,TULSA,OK,74159,12/14/2006,$62151.11,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,BAMA COMPANIES INC #1,2745 E 11TH ST,TULSA,OK,74159,04/16/2007,$82860.40,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,BAMA COMPANIES INC #2,2745 E 11TH ST,TULSA,OK,74159,08/15/2006,$57519.17,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,BAMA COMPANIES INC #2,2745 E 11TH ST,TULSA,OK,74159,08/15/2006,$56477.79,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,BAMA COMPANIES INC #2,2745 E 11TH ST,TULSA,OK,74159,12/14/2006,$44567.84,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,BANK OF OKLAHOMA NA,PO BOX 2300,TULSA,OK,74192,08/15/2006,$70349.08,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,BANK OF OKLAHOMA NA,PO BOX 2300,TULSA,OK,74192,12/14/2006,$73010.66,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,BANK OF OKLAHOMA NA,PO BOX 2300,TULSA,OK,74192,01/18/2007,$84142.31,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,BAR S FOODS CO #2,3838 N CENTRAL AVE  STE 1900,PHOENIX,AZ,85012,08/15/2006,$113920.88,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,BAR S FOODS CO #2,3838 N CENTRAL AVE  STE 1900,PHOENIX,AZ,85012,11/16/2006,$104333.41,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,BAR S FOODS CO #2,3838 N CENTRAL AVE  STE 1900,PHOENIX,AZ,85012,05/15/2007,$138204.83,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,BAR S FOODS CO #2,3838 N CENTRAL AVE  STE 1900,PHOENIX,AZ,85012,05/15/2007,$102081.68,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,BOEING AEROSPACE OPERATIONS IN,8120 MID AMERICA BLVD  STE 300,OKLAHOMA CITY,OK,73135,12/14/2006,$186098.52,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,BOEING AEROSPACE OPERATIONS IN,8120 MID AMERICA BLVD  STE 300,OKLAHOMA CITY,OK,73135,12/14/2006,$146774.09,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,BOEING AEROSPACE OPERATIONS IN,8120 MID AMERICA BLVD  STE 300,OKLAHOMA CITY,OK,73135,03/15/2007,$254917.65,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,BOEING AEROSPACE OPERATIONS IN,8120 MID AMERICA BLVD  STE 300,OKLAHOMA CITY,OK,73135,03/15/2007,$197376.90,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,BOEING AEROSPACE OPERATIONS IN,8120 MID AMERICA BLVD  STE 300,OKLAHOMA CITY,OK,73135,05/15/2007,$243831.10,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,BORGWARNER MORSE TEC INC,1300 S OPDYKE,SALLISAW,OK,74955,08/15/2006,$16406.18,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,BORGWARNER MORSE TEC INC,1300 S OPDYKE,SALLISAW,OK,74955,12/14/2006,$17659.06,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,BORGWARNER MORSE TEC INC,1300 S OPDYKE,SALLISAW,OK,74955,03/15/2007,$15817.24,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,CALLIDUS TECHNOLOGIES LLC,7130 S LEWIS AVE  #335,TULSA,OK,74136,08/15/2006,$24034.70,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,CALLIDUS TECHNOLOGIES LLC,7130 S LEWIS AVE  #335,TULSA,OK,74136,10/16/2006,$30031.91,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,CALLIDUS TECHNOLOGIES LLC,7130 S LEWIS AVE  #335,TULSA,OK,74136,02/15/2007,$33415.92,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,CALLIDUS TECHNOLOGIES LLC,7130 S LEWIS AVE  #335,TULSA,OK,74136,05/15/2007,$48244.55,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,CAPITAL ONE AUTO FINANCE INC,15000 CAP ONE DR/12077-0270,RICHMOND,VA,23238,06/13/2007,$52391.27,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,CARDINAL FG CO,775 PRAIRIE CTR DR   STE 200,EDEN PRAIRIE,MN,55344,05/15/2007,$109471.53,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
2007,CARDINAL FG CO,775 PRAIRIE CTR DR   STE 200,EDEN PRAIRIE,MN,55344,05/15/2007,$115960.55,QUALITY JOBS INCENTIVE PAYMENT,OKLAHOMA TAX COMMISSION,DISBURSEMENT OF INCENTIVE PAYMENTS TO QUALIFIED ESTABLISHMENTS
