OBJECTID_12_13,PIN,MAJOR,MINOR,ADDRESS,APT_CONV,B_COM_GRSSQF,B_OTH_GRSSQF,B_PRKG_GRSSQF,B_RES_GRSSQF,BLDG_AV,BLDG_DESC,COM_GRSSQF,EFF_YEAR_MAX,GRSS_SQFT,HOUSE,JURIS_NAME,KCA_AREA,LAND_AV,LEVY_CD,LOT_SQFT,LU_GEN_CAT,LU_GEN_DESC,LU_PLN_CAT,LU_PLN_DESC,NR_BLDGS,NR_STORIES_MAX,NR_UNITS,OTH_GRSSQF,PRES_USE,PRKG_GRSSQF,PROP_NAME,PROP_TYPE,PUB_OWN_CATEGORY,PUB_OWN_TYPE,PUC,RES_GRSSQF,ROLL_YR,STR_ZIP,SUBAREA,TAXPAYER,TAX_ADDRESS,TAX_ATTENTION,TAX_CITY,TAX_ZIP,TAX_STATUS,USE_CATEGORY,YR_BUILT_MAX,YR_RENOV_MAX,GEOM_AREA,GEOM_PERIMETER,BUFFER,TC_ID,OBJECTID,TC_ID_1,Total_A,Can_A,Grass_A,Soil_A,Water_A,Build_A,Road_A,Paved_A,Perv_A,Imperv_A,Can_P,Grass_P,Soil_P,Water_P,Build_P,Road_P,Paved_P,Perv_P,Imperv_P,OBJECTID_1,TC_E_A,TC_Pv_A,TC_Land_A,TC_Pi_A,TC_P_A,TC_E_P,TC_Pv_P,TC_P_P,TC_Pi_P,TC_Land_A_1,Gain,Loss,No_Change,TreeCanopy_2016_Area,TreeCanopy_2021_Area,Change_Area,Change_PercentChange,TreeCanopy_2016_Percent,TreeCanopy_2021_Percent,Change_Percent_AbsDiff,TC_ID_12,OBJECTID_12,TC_ID_12_13,Shape__Area,Shape__Length
11,2768000375,276800,375,5601   5TH AVE NW, ,0,0,0,0,8648800,WEST WOODLAND PARK PUBLIC SCHOOL,0,2000,55100,5601,SEATTLE,19,9689600,10,151400,6,Major Institution And Public Facilities/Utilities,16,Schools,1,2,0,55100,School(Public),0,WEST WOODLAND PARK PUBLIC SCHOOL,C,SEATTLE SCHOOL DISTRICT,PUBLIC,184,0,2019,98107,10,SEATTLE PUBLIC SCHOOLS,PO BOX 34165 M/S 23-365, ,SEATTLE  WA,98124,X,O,1990,2000,139650.3737962,2462.52446642,Y,11,11,,170391,31413,36535,2327,0,52536,0,47580,70275,100116,18.4358328784971,21.4418601921463,1.36568245975433,0.0,30.8326143986478,0.0,27.9240100709545,41.2433755303977,58.7566244696023,,31413,36535,170391,49907,86442,18.4358328784971,21.4418601921463,50.7315527228551,29.2896925307088,,3803,2366,27610,29976,31413,1437,4.79383506805444,17.5924784759758,18.4358328784971,0.84335440252126,,,,170386.971252441,1663.05788528445
12,2826049152,282604,9152,10700   30TH AVE NE, ,0,0,0,0,16924900,ticket and concession bld,24000,2000,247393,10700,SEATTLE,10,16021300,10,801068,6,Major Institution And Public Facilities/Utilities,16,Schools,4,2,0,223393,School(Public),0,NATHAN HALE HIGH SCHOOL,C,SEATTLE SCHOOL DISTRICT,PUBLIC,184,0,2019,98125,10,SEATTLE PUBLIC SCHOOLS,PO BOX 34165 M/S 23-365, ,SEATTLE  WA,98124,X,O,2000,2000,803850.65895467,3783.04332324,Y,12,12,,803840,117969,448329,17020,0,191740,0,28782,583318,220522,14.675681727707,55.7734126194268,2.11733678343949,0.0,23.8530055732484,0.0,3.58056329617834,72.5664311305732,27.4335688694268,,117969,448329,803840,45802,494131,14.675681727707,55.7734126194268,61.4713126990446,5.69790007961783,,21341,6855,96628,103483,117969,14486,13.9984345254776,12.8735818073248,14.675681727707,1.80209992038217,,,,803847.457366943,3783.03585644627
13,3126049064,312604,9064,1330  N 90TH ST, ,0,0,0,0,30847300,ROBERT EAGLE STAFF MIDDLE SCHOOL,0,2016,162182,1330,SEATTLE,19,41598300,10,396175,6,Major Institution And Public Facilities/Utilities,16,Schools,1,3,0,162182,School(Public),0,ROBERT EAGLE STAFF MIDDLE SCHOOL (WILSON PACIFIC M,C,SEATTLE SCHOOL DISTRICT,PUBLIC,184,0,2019,98103,40,SEATTLE PUBLIC SCHOOLS,PO BOX 34165 M/S 23-365, ,SEATTLE  WA,98124,X,O,2016,2016,395196.8171196,2530.21216303,Y,13,13,,395198,5817,22143,273072,0,89679,0,4487,301032,94166,1.47192040445549,5.60301418529446,69.0975156756866,0.0,22.6921694947849,0.0,1.13538023977854,76.1724502654366,23.8275497345634,,5817,22143,395198,277559,299702,1.47192040445549,5.60301418529446,75.8359101007596,70.2328959154651,,2173,696,3644,4340,5817,1477,34.0322580645161,1.09818369526162,1.47192040445549,0.373736709193873,,,,395195.281951904,2530.20695810545
14,4240400005,424040,5,7501   13TH AVE NW, ,0,0,0,0,10619100,SCHOOL BUILDINGS A & B,0,2005,66000,7501,SEATTLE,19,7735200,10,117200,6,Major Institution And Public Facilities/Utilities,16,Schools,2,2,0,66000,School(Public),0,WHITTIER ELEMENTARY SCHOOL,C,SEATTLE SCHOOL DISTRICT,PUBLIC,184,0,2019,98117,50,SEATTLE PUBLIC SCHOOLS,PO BOX 34165 M/S 23-365, ,SEATTLE  WA,98124,X,O,1999,2005,115862.73323137,1404.08460692,Y,14,14,,115860,10174,14603,6200,0,46708,0,38175,30977,84883,8.78128776109097,12.6040048334196,5.35128603486967,0.0,40.3141722768859,0.0,32.9492490937338,26.7365786293803,73.2634213706197,,10174,14603,115860,44375,58978,8.78128776109097,12.6040048334196,50.9045399620231,38.3005351286035,,2084,521,8090,8611,10174,1563,18.1512019509929,7.43224581391334,8.78128776109097,1.34904194717763,,,,115862.281219482,1404.08176388216
15,6392002220,639200,2220,7712   43RD AVE NE, ,0,0,0,0,0, ,0,0,0, ,SEATTLE,17,24858400,10,292452,6,Major Institution And Public Facilities/Utilities,16,Schools,0,0,0,0,School(Public),0,STEPHEN DECATUR ELEM LAND,C,SEATTLE SCHOOL DISTRICT,PUBLIC,184,0,2019,98115,90,SEATTLE PUBLIC SCHOOLS,PO BOX 34165 - M/S 23-365, ,SEATTLE  WA,98124,X,NB,0,0,294840.92853195,3255.75354974,Y,15,15,,336175,15957,129185,19778,0,65094,0,106161,164920,171255,4.7466349371607,38.4279021343051,5.88324533353164,0.0,19.3631293225255,0.0,31.5790882724771,49.0577824049974,50.9422175950026,,15957,129185,336175,125939,255124,4.7466349371607,38.4279021343051,75.8902357403138,37.4623336060088,,4319,4780,11638,16418,15957,-461,-2.80789377512486,4.88376589573883,4.7466349371607,-0.137130958578122,,,,336166.833770752,3255.66956262404
16,1454100350,145410,350,13224   37TH AVE NE, ,0,0,0,0,1977000,SCHOOL,0,1965,32590,13224,SEATTLE,10,4769800,10,190793,6,Major Institution And Public Facilities/Utilities,16,Schools,1,1,0,32590,School(Public),0,CEDAR PARK ART CENTER,C,SEATTLE SCHOOL DISTRICT,PUBLIC,184,0,2019,98125,10,SEATTLE PUBLIC SCHOOLS,PO BOX 34165  M/S 23-365,ATTN: CARLSON LEWIS,SEATTLE  WA,98124,X,O,1959,1965,190858.60665367,1779.30898303,Y,16,16,,190853,55361,81505,0,0,46536,1,7450,136866,53987,29.0071416220861,42.7056425626005,0.0,0.0,24.3831640058055,0.0005239634692669,3.90352784603857,71.7127841846866,28.2872158153134,,55361,81505,190853,7450,88955,29.0071416220861,42.7056425626005,46.6091704086391,3.90352784603857,,6995,1236,48366,49602,55361,5759,11.6104189347204,25.9896360025779,29.0071416220861,3.01750561950821,,,,190857.830200195,1779.3062187815
17,1959700005,195970,5,2515   BOYLSTON AVE E, ,0,8306,0,0,7499700,SEWARD SCHOOL,0,1999,82529,2515,SEATTLE,25,11868000,10,79120,6,Major Institution And Public Facilities/Utilities,16,Schools,5,3,0,74223,School(Public),0,TOPS K-8 @ SEWARD,C,SEATTLE SCHOOL DISTRICT,PUBLIC,184,0,2019,98102,44,SEATTLE PUBLIC SCHOOLS,PO BOX 34165 M/S 23-365, ,SEATTLE  WA,98124,X,O,1999,1999,78734.17573159,1153.92300991,Y,17,17,,78743,5232,5058,0,0,47401,0,21052,10290,68453,6.64440013715505,6.42342811424508,0.0,0.0,60.1970968848025,0.0,26.7350748637974,13.0678282514001,86.9321717485999,,5232,5058,78743,21052,26110,6.64440013715505,6.42342811424508,33.1585029780425,26.7350748637974,,956,931,4276,5207,5232,25,0.480122911465335,6.61265128328867,6.64440013715505,0.0317488538663762,,,,78733.8769836426,1153.9211353951
18,6411600312,641160,312,11725   1ST AVE NE, ,0,0,0,0,4811100,SEATTLE PUBLIC ELEMENTARY SCHOOL,0,1995,36975,11725,SEATTLE,10,3240800,10,216057,6,Major Institution And Public Facilities/Utilities,16,Schools,1,1,0,36975,School(Public),0,NORTHGATE ELEMENTARY SCHOOL,C,SEATTLE SCHOOL DISTRICT,PUBLIC,184,0,2019,98133,95,SEATTLE PUBLIC SCHOOLS,PO BOX 34165 - M/S 23-365, ,SEATTLE  WA,98124,X,O,1956,1995,216063.42771667,2397.09718957,Y,18,18,,253638,26040,33210,0,0,57515,0,136873,59250,194388,10.2666004305349,13.093463913136,0.0,0.0,22.6760185776579,0.0,53.9639170786712,23.3600643436709,76.6399356563291,,26040,33210,253638,136873,170083,10.2666004305349,13.093463913136,67.0573809918072,53.9639170786712,,2853,2312,23187,25499,26040,541,2.12165182948351,10.0533043155994,10.2666004305349,0.213296114935462,,,,253629.022766113,2396.75596247042
19,3812400700,381240,700,6725   45TH AVE S, ,0,0,0,0,0, ,0,0,0, ,SEATTLE,36,1599800,10,39995,6,Major Institution And Public Facilities/Utilities,16,Schools,0,0,0,0,School(Public),0,BRIGHTON ELEMENTARY SCHOOL,C,SEATTLE SCHOOL DISTRICT,PUBLIC,184,0,2019,98118,50,SEATTLE PUBLIC SCHOOLS,PO BOX 34165 M/S 23-365, ,SEATTLE  WA,98124,X,NB,0,0,40015.35243395,863.67642537,Y,19,19,,148305,10434,42253,0,0,54351,0,41267,52687,95618,7.03550116314352,28.4906105660632,0.0,0.0,36.6481237989279,0.0,27.8257644718654,35.5261117292067,64.4738882707933,,10434,42253,148305,41267,83520,7.03550116314352,28.4906105660632,56.3163750379286,27.8257644718654,,1134,556,9300,9856,10434,578,5.86444805194805,6.64576379757931,7.03550116314352,0.389737365564209,,,,148314.147262573,1687.87508650265
20,439000615,43900,615,2720  NE 85TH ST, ,0,7250,0,0,2513200,SCHOOL,0,1980,45000,2720,SEATTLE,17,12773000,10,196509,6,Major Institution And Public Facilities/Utilities,16,Schools,1,1,0,37750,School(Public),0,WEDGWOOD ELEMENTARY SCHOOL,C,SEATTLE SCHOOL DISTRICT,PUBLIC,184,0,2019,98115,30,SEATTLE PUBLIC SCHOOLS,PO BOX 34165 - M/S 23-365, ,SEATTLE  WA,98124,X,O,1955,1980,194180.94922559,2019.37099135,Y,20,20,,194178,26908,108390,7808,0,47706,21,3345,143106,51072,13.8573885816107,55.8199178073726,4.02105284841743,0.0,24.5681797113988,0.0108148193925161,1.72264623180793,73.6983592374007,26.3016407625993,,26908,108390,194178,11153,119543,13.8573885816107,55.8199178073726,61.563616887598,5.74369908022536,,3235,1138,23673,24811,26908,2097,8.45189633630245,12.777451616558,13.8573885816107,1.07993696505269,,,,194180.178283691,2019.3665657017
21,425049022,42504,9022,3003  NE 75TH ST, ,0,0,0,0,8329500,SCHOOL,90000,1949,205000,3003,SEATTLE,17,51439200,10,605168,6,Major Institution And Public Facilities/Utilities,16,Schools,1,2,0,115000,School(Public),0,NATHAN ECKSTEIN MIDDLE SCHOOL,C,SEATTLE SCHOOL DISTRICT,PUBLIC,184,0,2019,98115,80,SEATTLE PUBLIC SCHOOLS,PO BOX 34165 - M/S 23-365, ,SEATTLE  WA,98124,X,O,1950,1949,614776.97112221,3210.49816726,Y,21,21,,614594,91367,330999,0,0,137937,0,54291,422366,192228,14.8662368978545,53.8565296765019,0.0,0.0,22.4435969111316,0.0,8.83363651451202,68.7227665743564,31.2772334256436,,91367,330999,614594,54291,385290,14.8662368978545,53.8565296765019,62.6901661910139,8.83363651451202,,8170,6969,83197,90166,91367,1201,1.33198766719162,14.6708233402864,14.8662368978545,0.195413557568086,,,,614774.413696289,3210.49163512848
22,1498300850,149830,850,2025   14TH AVE S, ,0,0,0,0,4023800,GYM,4848,1995,52738,2025,SEATTLE,40,9292800,10,84480,6,Major Institution And Public Facilities/Utilities,16,Schools,2,1,0,47487,School(Public),0,BEACON HILL SCHOOL,C,SEATTLE SCHOOL DISTRICT,PUBLIC,184,0,2019,98144,40,SEATTLE PUBLIC SCHOOLS,PO BOX 34165 - M/S 23-365, ,SEATTLE  WA,98124,X,O,1971,1995,84536.40339516,1172.41218226,Y,22,22,,84536,7487,8267,0,0,53532,0,15250,15754,68782,8.85658181129933,9.77926563830794,0.0,0.0,63.324500804391,0.0,18.0396517460017,18.6358474496073,81.3641525503927,,7487,8267,84536,15250,23517,8.85658181129933,9.77926563830794,27.8189173843096,18.0396517460017,,972,0,6515,6515,7487,972,14.9194167306216,7.7067758114886,8.85658181129933,1.14980599981073,,,,84536.0420532227,1172.40969725484
23,3624039057,362403,9057,9450   30TH AVE SW, ,0,0,0,0,2576400,ROXHILL ELEM SCHOOL,0,1980,51422,9450,SEATTLE,45,2925900,10,117038,6,Major Institution And Public Facilities/Utilities,16,Schools,1,1,0,51422,School(Public),0,ROXHILL ELEMENTARY SCHOOL,C,SEATTLE SCHOOL DISTRICT,PUBLIC,184,0,2019,98126,15,SEATTLE PUBLIC SCHOOLS,PO BOX 34165 M/S 23-365, ,SEATTLE  WA,98124,X,O,1958,1980,131897.54523884,1580.06345751,Y,23,23,,131896,10018,50499,0,0,52916,0,18463,60517,71379,7.59537817674531,38.2869836841148,0.0,0.0,40.1194880815188,0.0,13.9981500576212,45.8823618608601,54.1176381391399,,10018,50499,131896,18463,68962,7.59537817674531,38.2869836841148,52.2851337417359,13.9981500576212,,1062,369,8956,9325,10018,693,7.43163538873995,7.06996421422939,7.59537817674531,0.525413962515921,,,,131897.092956543,1580.06070369476
24,519000290,51900,290,2410  E CHERRY ST, ,0,0,0,0,703600,Vacant School,0,1940,22042,2410,SEATTLE,25,10759100,10,76851,6,Major Institution And Public Facilities/Utilities,16,Schools,1,2,0,22042,School(Public),0,Horace Mann School,C,SEATTLE SCHOOL DISTRICT,PUBLIC,184,0,2019,98122,45,SEATTLE PUBLIC SCHOOLS,PO BOX 34165,2445 3RD AVE S,SEATTLE  WA,98124,X,O,1910,1940,76774.77197641,1111.84680946,Y,24,24,,76771,8511,36857,0,0,20038,0,11365,45368,31403,11.0862174519024,48.0090138203228,0.0,0.0,26.101001680322,0.0,14.8037670474528,59.0952312722252,40.9047687277748,,8511,36857,76771,11365,48222,11.0862174519024,48.0090138203228,62.8127808677756,14.8037670474528,,2125,238,6386,6624,8511,1887,28.4873188405797,8.62825806619687,11.0862174519024,2.45795938570554,,,,76774.4567565918,1111.84454507883
25,3438502540,343850,2540,1812 SW Myrtle St, ,0,0,0,0,0, ,0,0,0, ,SEATTLE,18,173000,10,44431,8,Vacant,18,Vacant,0,0,0,0,Vacant(Single-family),0, ,R,SEATTLE SCHOOL DISTRICT,PUBLIC,300,0,2019, ,5,SEATTLE PUBLIC SCHOOLS,PO BOX 34165 M/S 23-365, ,SEATTLE  WA,98124,X,NB,0,0,44624.71192587,861.87366832,Y,25,25,,400696,172851,142990,2939,0,41529,3688,36699,318780,81916,43.1376904186715,35.6854073911394,0.733473755665143,0.0,10.3642162637012,0.920398506598519,9.15881366422425,79.5565715654761,20.4434284345239,,172851,142990,400696,39638,182628,43.1376904186715,35.6854073911394,45.5776948110288,9.89228741988939,,12164,13822,160687,174509,172851,-1658,-0.950094264479196,43.5514704414319,43.1376904186715,-0.413780022760399,,,,400695.418197632,2612.57280931187
26,369000400,36900,400,4017   26TH AVE W, ,0,0,0,0,7332700,school-DISCOVERY EARLY,0,2000,52546,4017,SEATTLE,20,8755200,10,145920,6,Major Institution And Public Facilities/Utilities,16,Schools,1,2,0,52546,School(Public),0,LAWTON ELEMENTARY SCHOOL,C,SEATTLE SCHOOL DISTRICT,PUBLIC,184,0,2019,98199,20,SEATTLE PUBLIC SCHOOLS,PO BOX 34165 - M/S 23-365, ,SEATTLE  WA,98124,X,O,1989,2000,145648.29573716,1831.30048555,Y,26,26,,216018,62954,69055,17901,0,39720,0,26388,149910,66108,29.1429417918877,31.9672434704515,8.28680943254729,0.0,18.3873566091715,0.0,12.215648695942,69.3969946948865,30.6030053051135,,62954,69055,216018,44289,113344,29.1429417918877,31.9672434704515,52.4697015989408,20.5024581284893,,4636,4254,58318,62572,62954,382,0.610496707792623,28.9661046764621,29.1429417918877,0.176837115425567,,,,216011.302703857,2520.63615945655
