OBJECTID,VRI_CLASS,DISTANCE_ZONE,VRI_SCENIC,VRI_SENSITIVITY,VRI_AREA_ID,BLM_ORG_CD,GIS_ACRES,SHAPE_Length,SHAPE_Area
56,IV,SS,B,MOD,VRIORC000000271,ORC00,192.75686473,0.0433085209584625,8.48718584002908e-05
57,IV,SS,B,MOD,VRIORC000000271,ORC00,0.56168922,0.003059212409064,2.47314856071599e-07
58,III,FM,B,MOD,VRIORC000000441,ORC00,6.40608107,0.006774021639691,2.82066569513045e-06
59,IV,SS,B,MOD,VRIORC000000271,ORC00,3.7828752,0.0054922994047664,1.66569447004458e-06
60,IV,SS,B,MOD,VRIORC000000271,ORC00,1.29564198,0.0036457672675362,5.70480482818556e-07
61,III,FM,B,MOD,VRIORC000000441,ORC00,75.97353233,0.0256394811353015,3.34524516925898e-05
62,IV,SS,C,MOD,VRIORL040000410,ORL04,534.30060364,0.0835687003671937,0.0002352313232613
63,IV,SS,C,MOD,VRIORL040000410,ORL04,537.27198907,0.0690197915701274,0.0002365328696475
64,IV,SS,C,MOD,VRIORL040000410,ORL04,652.70736278,0.0687266489430017,0.0002873605546382
65,IV,BG,C,MOD,VRIORM000000245,ORM00,8.59209422,0.0116030399795223,3.78334246268887e-06
66,IV,SS,C,LOW,VRIORL040000409,ORL04,977.14680767,0.149591331443962,0.0004301169976713
67,IV,SS,C,MOD,VRIORM000000330,ORM00,955.53832717,0.22059243524475,0.0004206280760247
68,II,SS,A,HIGH,VRIORM000000812,ORM00,0.06787779,0.0094113242924582,2.98795137680224e-08
69,IV,SS,C,LOW,VRIORL040000409,ORL04,654.4730549,0.0686336186909633,0.0002881547260685
70,IV,SS,C,LOW,VRIORL040000409,ORL04,245.33364805,0.0489494759867957,0.0001080176090903
71,IV,BG,C,MOD,VRIORM000000245,ORM00,40.56916944,0.0170241659278293,1.78637352553751e-05
72,IV,SS,C,MOD,VRIORM000000330,ORM00,0.02244709,0.0005170020399104,9.88399872618492e-09
73,IV,SS,C,LOW,VRIORL040000409,ORL04,203.89743122,0.0489181198293835,8.97707056900651e-05
74,IV,SS,C,HIGH,VRIORL040000408,ORL04,39.98099148,0.0169707843370227,1.75975115297873e-05
75,II,SS,A,HIGH,VRIORM000000809,ORM00,42.42201443,0.0174634952868845,1.86820628857647e-05
76,II,FM,A,HIGH,VRIORM000001056,ORM00,35.3438026,0.016802289754354,1.55648410876e-05
77,IV,SS,B,HIGH,VRIORL040000399,ORL04,39.95638177,0.0169456474732198,1.75843594911633e-05
78,III,FM,C,HIGH,VRIORL040000405,ORL04,40.46439673,0.0170351916363658,1.78171949151906e-05
79,II,SS,A,HIGH,VRIORM000000812,ORM00,116.91755782,0.0332693351027676,5.14616792180825e-05
80,II,FM,A,HIGH,VRIORM000001056,ORM00,1806.04376491,0.16844071154526,0.0007951386837817
81,IV,SS,B,MOD,VRIORC000000270,ORC00,40.77818093,0.0171409530259616,1.79586169077825e-05
82,III,FM,C,HIGH,VRIORL040000405,ORL04,65.09488749,0.0295901308220965,2.86642422056048e-05
83,IV,SS,C,HIGH,VRIORL040000408,ORL04,16.81880989,0.0151086553960808,7.40613697225885e-06
84,IV,FM,C,LOW,VRIORV040000061,ORV04,91.0906315,0.0297735122927579,4.01155380030093e-05
85,IV,FM,C,LOW,VRIORV040000780,ORV04,31.06667521,0.0151451620290449,1.3681517547797e-05
86,IV,SS,C,LOW,VRIORL040000409,ORL04,122.09098817,0.0319108751720399,5.37635370510195e-05
87,IV,SS,C,MOD,VRIORL040000410,ORL04,161.77297153,0.0413755329193597,7.12396349307655e-05
88,IV,SS,C,MOD,VRIORL040000410,ORL04,162.04658727,0.0389343527258374,7.13573078351247e-05
89,IV,BG,C,HIGH,VRIORL040000402,ORL04,0.13220638,0.0011323348904866,5.82224474915737e-08
90,IV,BG,C,MOD,VRIORL040000404,ORL04,87.66727202,0.028462186236831,3.86051306747111e-05
91,III,FM,C,HIGH,VRIORL040000405,ORL04,207.71850112,0.0398403400057309,9.14715771509002e-05
92,IV,FM,C,MOD,VRIORL040000407,ORL04,73.03959828,0.0329914539357447,3.21611132147633e-05
93,IV,SS,C,HIGH,VRIORL040000408,ORL04,0.04362039,0.0014207429399039,1.92099606608712e-08
94,IV,SS,C,HIGH,VRIORL040000408,ORL04,4.05275618,0.0062556556402795,1.78451807163323e-06
95,IV,SS,C,MOD,VRIORL040000410,ORL04,1.22810629,0.0049640418048811,5.40847618326682e-07
96,IV,SS,C,MOD,VRIORL040000410,ORL04,74.67013584,0.0283593195677578,3.28780680440702e-05
97,III,FM,C,HIGH,VRIORL040000405,ORL04,61.43534607,0.0270394126284295,2.70556780489046e-05
98,IV,SS,C,HIGH,VRIORL040000408,ORL04,72.62716329,0.0350360352568567,3.19828865592692e-05
99,IV,SS,C,MOD,VRIORL040000410,ORL04,519.50446085,0.0625551273645425,0.0002287635516099
100,IV,SS,C,LOW,VRIORL040000409,ORL04,653.43329787,0.0686440745177118,0.000287757967291
101,IV,BG,C,MOD,VRIORM000000245,ORM00,0.20462495,0.0072309581947611,9.01257774716022e-08
102,IV,BG,C,LOW,VRIORL040000403,ORL04,233.22622184,0.0602013295325184,0.0001027101904045
103,IV,BG,C,LOW,VRIORL040000403,ORL04,7.02241729,0.008304134413769,3.09235014003802e-06
104,III,FM,C,HIGH,VRIORL040000405,ORL04,3.04766008,0.0104534285036522,1.34221575860801e-06
105,IV,SS,C,LOW,VRIORL040000409,ORL04,76.13667642,0.0328334002003002,3.35265339285152e-05
106,IV,SS,C,LOW,VRIORL040000409,ORL04,3.77532546,0.0059917854028821,1.66242813621012e-06
107,IV,BG,C,LOW,VRIORL040000403,ORL04,35.14714,0.0434965848336004,1.54790851949003e-05
108,IV,SS,C,LOW,VRIORL040000409,ORL04,562.61096038,0.108482759046935,0.0002477603353437
109,IV,SS,B,MOD,VRIORC000000270,ORC00,214.30496744,0.0588578525694391,9.43801293515238e-05
110,IV,BG,B,MOD,VRIORC000000316,ORC00,0.612871,0.0025973755573651,2.69927535812146e-07
111,IV,BG,B,MOD,VRIORC000000316,ORC00,69.64286085,0.0251655974141822,3.06680997507266e-05
112,IV,SS,C,MOD,VRIORL040000410,ORL04,39.90927567,0.0169464301466258,1.75714132878893e-05
113,IV,BG,C,MOD,VRIORM000000245,ORM00,103.72094455,0.0447669293970846,4.56841952185889e-05
114,IV,FM,C,MOD,VRIORM000000833,ORM00,223.14920969,0.0498627221122222,9.82908455878765e-05
115,IV,FM,C,MOD,VRIORL040000407,ORL04,40.13374587,0.0170095748773985,1.76750872121099e-05
116,IV,BG,C,MOD,VRIORL040000404,ORL04,102.50035754,0.0967256435088575,4.5098426096034e-05
117,IV,BG,C,MOD,VRIORL040000404,ORL04,10.1753993,0.0112086494811178,4.47736986060958e-06
118,IV,BG,C,MOD,VRIORL040000404,ORL04,217.74956833,0.0751565351158203,9.57952806521233e-05
119,IV,FM,C,MOD,VRIORL040000407,ORL04,2210.81552912,0.376852390104757,0.0009729957296048
120,IV,FM,C,MOD,VRIORL040000407,ORL04,0.19571205,0.0021072766386612,8.60919146847441e-08
121,IV,FM,C,MOD,VRIORL040000407,ORL04,1.74796699,0.0061945374415154,7.68914546511759e-07
122,IV,SS,C,MOD,VRIORL040000410,ORL04,951.51872244,0.167523932082705,0.0004188970714815
123,IV,SS,C,MOD,VRIORL040000410,ORL04,37.48788559,0.0269201881778442,1.65059104245262e-05
124,IV,SS,C,MOD,VRIORL040000410,ORL04,17.6486121,0.0188719726749015,7.76834887275262e-06
125,IV,SS,C,MOD,VRIORL040000410,ORL04,2.61833054,0.005122046874752,1.15232207262704e-06
126,IV,SS,C,MOD,VRIORL040000410,ORL04,303.90073052,0.0988380090193068,0.0001337226842343
127,IV,SS,C,MOD,VRIORL040000410,ORL04,80.25546908,0.0267175729608124,3.53180995821576e-05
128,IV,SS,C,MOD,VRIORL040000410,ORL04,18.90224764,0.0161537497819881,8.3160498699227e-06
129,IV,SS,C,MOD,VRIORL040000410,ORL04,151.77211448,0.0898544424969854,6.67825077334318e-05
130,IV,SS,C,MOD,VRIORL040000410,ORL04,40.71057911,0.0169054651552662,1.79084935377922e-05
131,IV,SS,C,LOW,VRIORL040000409,ORL04,655.80178516,0.0685367771966949,0.0002888653192566
132,III,FM,C,HIGH,VRIORL040000405,ORL04,2.44382097,0.0048848278495916,1.07651471471757e-06
133,III,FM,C,HIGH,VRIORL040000405,ORL04,92.52715563,0.0285543904039829,4.07572605684186e-05
134,III,FM,C,HIGH,VRIORL040000405,ORL04,50.36212059,0.0200232922475333,2.21808176111375e-05
135,IV,SS,C,HIGH,VRIORL040000408,ORL04,101.80713105,0.0539838831134046,4.48443986797692e-05
136,IV,SS,C,HIGH,VRIORL040000408,ORL04,44.5557671,0.0270308948162841,1.96234453986451e-05
137,IV,SS,C,MOD,VRIORL040000410,ORL04,368.62629628,0.0614296396047664,0.0001623589516784
138,IV,SS,B,MOD,VRIORC000000270,ORC00,40.75543457,0.0171436301842428,1.79546781392452e-05
139,II,,,,VRIORB000000003,ORB00,121.39829081,0.0341292149312828,5.34681086577375e-05
140,III,FM,C,HIGH,VRIORL040000405,ORL04,141.58289115,0.0557910723448087,6.2361377739973e-05
141,III,FM,C,HIGH,VRIORL040000405,ORL04,0.45891749,0.0021156824255582,2.02112465000178e-07
142,III,FM,C,HIGH,VRIORL040000405,ORL04,0.77838053,0.002850147552843,3.42804172962122e-07
143,IV,SS,C,HIGH,VRIORL040000408,ORL04,2.14501336,0.0055006102279562,9.44875424857036e-07
144,IV,SS,C,HIGH,VRIORL040000408,ORL04,56.21899517,0.0316126246484555,2.47607045613372e-05
145,III,FM,C,HIGH,VRIORL040000405,ORL04,41.19122975,0.01722039086343,1.81442661416354e-05
146,IV,FM,C,MOD,VRIORL040000407,ORL04,159.66532358,0.0406239584182445,7.03109328994591e-05
147,IV,SS,C,MOD,VRIORL040000410,ORL04,2.31065484,0.0053446341928137,1.01761124999249e-06
148,IV,BG,C,MOD,VRIORL040000404,ORL04,14.89496942,0.0125470955504518,6.55985508252696e-06
149,IV,SS,C,MOD,VRIORL040000410,ORL04,25.99813757,0.0152601010680655,1.14496630390486e-05
150,IV,SS,C,HIGH,VRIORL040000408,ORL04,4.75449705,0.0086637402073709,2.09470536553104e-06
151,IV,SS,C,LOW,VRIORL040000409,ORL04,321.01670245,0.0543436616642295,0.0001414251514532
152,II,SS,A,HIGH,VRIORM000000825,ORM00,0.39492936,0.0020183639367032,1.74004868704446e-07
153,II,FM,A,HIGH,VRIORM000001057,ORM00,231.56177807,0.0520889601196588,0.0001020266914613
154,IV,FM,C,MOD,VRIORL040000407,ORL04,322.21683102,0.0633049585579904,0.0001419149047849
155,IV,SS,C,MOD,VRIORL040000410,ORL04,0.8178774,0.0027620174649129,3.6026906378578e-07
156,IV,SS,C,MOD,VRIORL040000410,ORL04,42.87125486,0.018897013517693,1.88828781983036e-05
157,IV,FM,C,MOD,VRIORL040000407,ORL04,40.2325668,0.0170286993709318,1.7723107457631e-05
158,III,SS,B,HIGH,VRIORM000000347,ORM00,26.83295344,0.0158595357916656,1.18231930382299e-05
159,II,FM,B,HIGH,VRIORM000000840,ORM00,13.82368088,0.0127122852324485,6.09106193578477e-06
160,IV,SS,B,MOD,VRIORC000000270,ORC00,432.14270483,0.0863838066458384,0.0001903437331684
161,IV,SS,B,MOD,VRIORC000000270,ORC00,799.63874713,0.155463319703369,0.0003521591492933
162,IV,SS,B,MOD,VRIORC000000270,ORC00,1.32694841,0.0038761544592401,5.84332039265902e-07
163,III,FM,B,MOD,VRIORC000000440,ORC00,25.82830224,0.0197336104333979,1.13760705061706e-05
164,III,FM,B,MOD,VRIORC000000440,ORC00,286.38682397,0.101349642055551,0.000126123765006
165,III,SS,B,HIGH,VRIORM000000347,ORM00,377.72279172,0.0981859341521319,0.0001664181441374
166,IV,SS,C,HIGH,VRIORM000000333,ORM00,6.07083837,0.0069730917055125,2.67501134417131e-06
167,III,SS,B,HIGH,VRIORM000000347,ORM00,179.53525232,0.0444663170718524,7.90999711728954e-05
168,IV,SS,C,HIGH,VRIORM000000341,ORM00,326.26699937,0.0864488822891513,0.0001437457105922
169,III,SS,B,HIGH,VRIORM000000347,ORM00,0.3336223,0.0018647638508074,1.47000299485852e-07
170,III,SS,B,HIGH,VRIORM000000347,ORM00,1.00193841,0.0037843016137712,4.41443883250544e-07
171,III,SS,B,HIGH,VRIORM000000347,ORM00,0.01484416,0.0005314934910482,6.53977398589641e-09
172,III,SS,B,HIGH,VRIORM000000347,ORM00,0.0785728,0.0014775292131638,3.46157267242336e-08
173,III,SS,B,HIGH,VRIORM000000347,ORM00,4.4697476,0.0065757276046574,1.96913289616339e-06
174,III,FM,C,HIGH,VRIORM000000837,ORM00,62.96840106,0.0242276311968652,2.7745510540746e-05
175,III,FM,C,HIGH,VRIORM000000837,ORM00,15.03076189,0.0139985616365967,6.62236107017749e-06
176,IV,SS,B,HIGH,VRIORL040000399,ORL04,40.79384625,0.0171380474655139,1.79634161375525e-05
177,IV,FM,C,MOD,VRIORL040000407,ORL04,277.74186922,0.0601602857335923,0.0001223279412502
178,IV,SS,C,MOD,VRIORL040000410,ORL04,1.80847741,0.0043926879840256,7.96515095776566e-07
179,IV,SS,C,MOD,VRIORL040000410,ORL04,3.73027711,0.0052671895288468,1.64291046080219e-06
180,IV,BG,C,MOD,VRIORL040000404,ORL04,5.00215238,0.0110264414390263,2.20344521517e-06
181,IV,BG,C,MOD,VRIORL040000404,ORL04,7.03233663,0.0184955678967912,3.09726032661137e-06
182,III,FM,C,HIGH,VRIORL040000405,ORL04,1007.79350237,0.129491429396005,0.0004439440668521
183,IV,SS,C,HIGH,VRIORL040000408,ORL04,17.9389245,0.0132891542418653,7.90205267339443e-06
184,IV,SS,C,HIGH,VRIORL040000408,ORL04,26.012293,0.0186736572271644,1.14571476699549e-05
185,IV,SS,C,HIGH,VRIORL040000408,ORL04,0.00126431,0.0001168971667817,5.5689683625128e-10
186,IV,SS,C,HIGH,VRIORL040000408,ORL04,0.1564687,0.0029565876089826,6.89079465999845e-08
187,IV,SS,C,MOD,VRIORL040000410,ORL04,232.42734895,0.0498519949331647,0.0001023651650053
188,II,SS,A,HIGH,VRIORL040000392,ORL04,6.78568775,0.0076411495342264,2.98980894769304e-06
189,III,FM,C,HIGH,VRIORL040000405,ORL04,481.63247918,0.0692733087215839,0.0002121890198852
190,III,FM,C,HIGH,VRIORL040000405,ORL04,28.2103233,0.0192562700108512,1.24271186406636e-05
191,IV,SS,C,HIGH,VRIORL040000408,ORL04,5.30315999,0.0099876918535753,2.33654704730883e-06
192,IV,SS,C,HIGH,VRIORL040000408,ORL04,123.60493974,0.0536196160422362,5.44530943479671e-05
193,II,FM,A,MOD,VRIORM000001043,ORM00,12.20005834,0.0144549866626064,5.37602814511262e-06
194,II,FM,A,HIGH,VRIORM000001057,ORM00,26.09935974,0.0140886354539028,1.15007970955755e-05
195,III,FM,C,HIGH,VRIORM000000837,ORM00,40.42519288,0.0170653862202268,1.78135735503655e-05
196,IV,BG,C,MOD,VRIORL040000404,ORL04,2.10470681,0.0053164230619482,9.27135488951439e-07
197,IV,FM,C,MOD,VRIORL040000407,ORL04,36.46190161,0.0165335260850486,1.60613903760165e-05
198,IV,SS,C,MOD,VRIORL040000410,ORL04,1.16656109,0.0036007989820873,5.13852820288818e-07
199,IV,FM,C,MOD,VRIORL040000407,ORL04,13.34231293,0.0122663372431222,5.87773035030392e-06
200,IV,SS,C,MOD,VRIORL040000410,ORL04,27.45417088,0.0155405723814832,1.20943925936389e-05
201,IV,BG,C,MOD,VRIORL040000404,ORL04,0.85292351,0.0025658388472944,3.75699919993878e-07
202,IV,SS,C,MOD,VRIORL040000410,ORL04,39.46129288,0.01682678172675,1.73817576384167e-05
203,IV,BG,C,MOD,VRIORL040000404,ORL04,109.1592503,0.0465524269486304,4.80835635152853e-05
204,III,FM,C,HIGH,VRIORL040000405,ORL04,1176.52495677,0.13568900364223,0.000518272639141
205,IV,FM,C,MOD,VRIORL040000407,ORL04,26.2939716,0.0205322757933891,1.15830846893975e-05
206,IV,FM,C,MOD,VRIORL040000407,ORL04,254.05177815,0.0581103744122004,0.0001118963961984
207,IV,FM,C,MOD,VRIORL040000407,ORL04,4.87567949,0.0094485423648485,2.1474457627347e-06
208,IV,SS,C,MOD,VRIORL040000410,ORL04,24.72039257,0.0159889241298281,1.08878594106342e-05
209,III,FM,C,HIGH,VRIORL040000405,ORL04,33.63727691,0.0171486114825749,1.48204208049208e-05
210,III,FM,C,HIGH,VRIORL040000405,ORL04,0.22626372,0.0020620720609036,9.96885762135002e-08
211,IV,SS,C,HIGH,VRIORL040000408,ORL04,6.94309451,0.0088722083277114,3.05903833596878e-06
212,IV,SS,C,HIGH,VRIORM000000340,ORM00,1.22264895,0.003561184345347,5.38813253257911e-07
213,III,FM,C,HIGH,VRIORM000000837,ORM00,79.84553141,0.0237807511240979,3.51853598131396e-05
214,IV,SS,B,HIGH,VRIORL040000399,ORL04,40.33054738,0.0170577437791039,1.77613513284561e-05
215,IV,FM,C,MOD,VRIORL040000407,ORL04,63.5350298,0.0238521965505656,2.79884331221302e-05
216,IV,SS,C,MOD,VRIORL040000410,ORL04,9.2455849,0.0094609646533096,4.07281728660981e-06
217,IV,SS,C,MOD,VRIORL040000410,ORL04,8.04786652,0.0094770838658994,3.54513549109301e-06
218,IV,SS,C,MOD,VRIORL040000410,ORL04,80.79399335,0.0268462939830447,3.55899783729015e-05
219,II,SS,A,HIGH,VRIORM000000815,ORM00,38.3156313,0.0164518298802565,1.688581111139e-05
220,II,FM,A,HIGH,VRIORM000001054,ORM00,3.13492936,0.0053772932551198,1.38159870957184e-06
221,IV,SS,B,HIGH,VRIORL040000399,ORL04,40.4963307,0.0170895478611056,1.78352411576999e-05
222,IV,BG,C,MOD,VRIORL040000404,ORL04,79.53096318,0.0275778173844229,3.50352203769114e-05
223,IV,FM,C,MOD,VRIORL040000407,ORL04,718.73145398,0.13779730777374,0.000316614411157
224,IV,FM,C,MOD,VRIORL040000407,ORL04,0.00748221,0.0009187546022693,3.2960962888968703e-09
225,IV,SS,C,MOD,VRIORL040000410,ORL04,0.53057504,0.0023430423801333,2.33749324494541e-07
226,IV,SS,C,MOD,VRIORL040000410,ORL04,4.3291078,0.0071645762226604,1.90697363050087e-06
227,IV,SS,C,HIGH,VRIORV040000486,ORV04,39.91759813,0.0169670667033501,1.75922441158007e-05
228,III,SS,B,HIGH,VRIORC000000289,ORC00,22.88837137,0.0175965266558133,1.00851450012216e-05
229,II,FM,B,HIGH,VRIORC000000412,ORC00,14.73929383,0.0125087911910207,6.49458308072271e-06
230,II,FM,B,HIGH,VRIORC000000412,ORC00,1.04020221,0.0036443897769286,4.58329454561114e-07
231,IV,BG,C,MOD,VRIORL040000404,ORL04,70.23499422,0.0233611751132514,3.09423136072821e-05
232,IV,FM,C,MOD,VRIORL040000407,ORL04,155.95526608,0.0424522677894434,6.87093496974506e-05
233,IV,FM,C,MOD,VRIORL040000407,ORL04,0.00423703,0.0002467110356316,1.8665044984396502e-09
234,IV,SS,C,MOD,VRIORL040000410,ORL04,12.83047927,0.0117259626666422,5.65236105633547e-06
235,IV,SS,C,HIGH,VRIORM000000336,ORM00,394.70901861,0.0687296526053495,0.0001739457150412
236,III,FM,C,HIGH,VRIORM000000837,ORM00,2.98335082,0.0052458016907983,1.31479814522572e-06
237,III,FM,C,HIGH,VRIORL040000405,ORL04,322.22054808,0.085671284988796,0.0001419853894094
238,IV,SS,C,HIGH,VRIORL040000408,ORL04,148.32392048,0.0415865334455366,6.53538657529158e-05
239,IV,SS,C,HIGH,VRIORL040000408,ORL04,14.7256925,0.0110702020799438,6.48856894195658e-06
240,III,FM,C,HIGH,VRIORL040000405,ORL04,1107.9736051,0.1479265297582,0.0004881833958323
241,IV,SS,C,HIGH,VRIORL040000408,ORL04,2.25849033,0.0053190181416788,9.95100660873878e-07
242,IV,SS,C,HIGH,VRIORL040000408,ORL04,0.56881314,0.0026981849073331,2.50622422602581e-07
243,IV,SS,C,HIGH,VRIORL040000408,ORL04,118.11787856,0.0319347144596906,5.20395279270035e-05
244,IV,SS,C,HIGH,VRIORL040000408,ORL04,1.10808549,0.0032517616020103,4.88181727505149e-07
245,IV,SS,C,HIGH,VRIORL040000408,ORL04,72.48267421,0.0249869475993541,3.19301025702494e-05
246,IV,BG,C,MOD,VRIORL040000404,ORL04,8.21876849,0.0137709378910974,3.62130305060282e-06
247,IV,FM,C,MOD,VRIORL040000407,ORL04,8.29540653,0.0089821093484329,3.65506032603116e-06
248,IV,FM,C,MOD,VRIORL040000407,ORL04,46.08818454,0.0212813516851182,2.03047392789792e-05
249,IV,SS,C,MOD,VRIORL040000410,ORL04,0.05865507,0.0009267721786631,2.58443028128674e-08
250,IV,SS,C,MOD,VRIORL040000410,ORL04,57.4428766,0.0254200564291125,2.53086764582746e-05
251,IV,SS,C,MOD,VRIORL040000410,ORL04,1.34029999,0.0049389174144221,5.90467944779339e-07
252,IV,BG,C,MOD,VRIORL040000404,ORL04,437.98817855,0.098006893251073,0.0001929331715485
253,IV,BG,C,MOD,VRIORL040000404,ORL04,32.33260008,0.0221797659750516,1.42436558743003e-05
254,IV,BG,C,MOD,VRIORL040000404,ORL04,3.63613445,0.007621420766836,1.60175480188434e-06
255,IV,BG,C,MOD,VRIORL040000404,ORL04,5.14027964,0.0079065107495862,2.26417949174256e-06
256,IV,FM,C,MOD,VRIORL040000407,ORL04,82.14050854,0.0308997172556967,3.61819205461049e-05
257,IV,FM,C,MOD,VRIORL040000407,ORL04,219.56020686,0.0477775656878128,9.6693105759282e-05
