OBJECTID,GEOID,ACRES_TOTAL,PCT_PEOPLE_OF_COLOR,PCT_ENGLISH_LANG_LEARNERS,PCT_FOREIGN_BORN,PCT_POP_UNDER200PCT_POVERTY,PCT_LESS_BACHELOR_DEGREE,PCT_ADULT_NOLEISUREPHYSACTIV,PCT_ADULT_WITH_DIABETES,PCT_ADULT_WITH_OBESITY,PCT_ADULT_MENTALHLTHNOTGOOD,PCT_ADULT_WITH_ASTHMA,LIFE_EXPECTANCY_AT_BIRTH,PCT_ADULT_WITH_DISABILITY,PTL_PEOPLE_OF_COLOR,PTL_ENGLISH_LANG_LEARNERS,PTL_FOREIGN_BORN,PTL_POP_UNDER200PCT_POVERTY,PTL_LESS_BACHELOR_DEGREE,PTL_ADULT_NOLEISUREPHYSACTIV,PTL_ADULT_WITH_DIABETES,PTL_ADULT_WITH_OBESITY,PTL_ADULT_MENTALHLTHNOTGOOD,PTL_ADULT_WITH_ASTHMA,PTL_LOW_LIFE_EXPECT_AT_BIRTH,RACE_ELL_ORIGINS_PERCENTILE,SOCIOECON_DISADV_PERCENTILE,HEALTH_DISADV_PERCENTILE,COMPOSITE_PERCENTILE,RACE_ELL_ORIGINS_QUINTILE,HEALTH_DISADV_QUINTILE,COMPOSITE_QUINTILE,TRACTCE,TRACT,NAME,NAMELSAD,POP_POC,POP_TOTAL_FOR_POC,POP_FOREIGN_BORN,POP_TOTAL_FOR_FOREIGN_BORN,POP_ENGLISH_LANG_LEARNERS,POP_5_YRS_AND_OLDER,POP_LESS_THAN_BACHELOR_DEG,POP_25_YRS_AND_OLDER,POP_UNDER200PCT_POVERTY,POP_POV_STATUS_DETERMINED,POP_ADULT_WITH_DISABILITY,POP_ADULT_CIVILIAN_NONINST,COMPOSITE_SCORE,RACE_ELL_ORIGINS_SCORE,SOCIOECON_DISADV_SCORE,HEALTH_DISADV_SCORE,SOCIOECON_DISADV_QUINTILE,PTL_ADULT_WITH_DISABILITY,SHAPE_Length,SHAPE_Area
11,53033006300,1518.17222329,0.1741,0.0056,0.1085,0.0692,0.1472,0.098,0.064,0.191,0.103,0.087,87.81,0.071706758,0.0,0.039,0.204,0.096,0.039,0.295,0.63,0.198,0.0,0.073,0.074,0.017,0.028,0.085,0.0,Lowest,Lowest,Lowest,6300,6300,63.0,Census Tract 63,963,5530,621,5724,31,5492,620,4211,395,5705,313,4365,0.043333333,0.06075,0.0675,0.214571429,Lowest,0.232,36285.8489218384,27750333.3959339
12,53033006600,481.39923682,0.3162,0.0119,0.1818,0.1082,0.1294,0.085,0.042,0.193,0.123,0.087,85.27,0.035679374,0.386,0.102,0.539,0.21,0.017,0.045,0.244,0.227,0.318,0.073,0.341,0.352,0.051,0.039,0.056,Second Lowest,Lowest,Lowest,6600,6600,66.0,Census Tract 66,1284,4061,788,4334,51,4272,488,3770,469,4334,146,4092,0.147333333,0.35325,0.1135,0.182285714,Lowest,0.028,21983.5700762036,11109059.1955637
13,53033007502,78.06481991,0.3849,0.0,0.2035,0.1475,0.2201,0.093,0.038,0.203,0.134,0.091,86.6,0.093012906,0.522,0.0,0.653,0.465,0.238,0.176,0.107,0.465,0.727,0.437,0.177,0.431,0.335,0.312,0.357,Middle,Second Lowest,Second Lowest,7502,7502,75.02,Census Tract 75.02,1337,3474,480,2359,0,2308,447,2031,348,2359,209,2247,0.359333333,0.42425,0.3515,0.362428571,Second Lowest,0.448,7403.62929266713,3400503.5551605
14,53033007800,1416.01424913,0.2575,0.0195,0.1044,0.1011,0.1896,0.101,0.065,0.21,0.108,0.089,85.02,0.108758224,0.187,0.21,0.181,0.187,0.142,0.323,0.653,0.647,0.045,0.187,0.393,0.17,0.085,0.403,0.176,Lowest,Middle,Lowest,7800,7800,78.0,Census Tract 78,1361,5285,616,5898,112,5740,799,4215,595,5888,529,4864,0.219333333,0.19125,0.1645,0.412857143,Lowest,0.642,28746.3735215771,22245158.1630775
15,53033007901,66.03075073,0.3438,0.019,0.0864,0.2739,0.2759,0.109,0.051,0.214,0.134,0.095,81.91,0.180945853,0.448,0.17,0.096,0.801,0.397,0.46,0.369,0.71,0.727,0.71,0.688,0.272,0.63,0.755,0.579,Second Lowest,Second Highest,Middle,7901,7901,79.01,Census Tract 79.01,965,2807,257,2973,56,2953,721,2613,811,2961,528,2918,0.552333333,0.2905,0.599,0.654,Second Highest,0.914,7879.40433949822,2876299.5019897
16,53033008102,160.09983851,0.419,0.0569,0.3047,0.2954,0.4488,0.145,0.083,0.246,0.129,0.094,78.72,0.30167364,0.596,0.551,0.818,0.829,0.789,0.744,0.852,0.943,0.573,0.681,0.915,0.653,0.846,0.92,0.846,Second Highest,Highest Equity Priority/Most Disadvantaged,Highest Equity Priority,8102,8102,81.02,Census Tract 81.02,1259,3005,806,2645,149,2617,1039,2315,740,2505,721,2390,0.806333333,0.64025,0.809,0.815428571,Highest Equity Priority/Most Disadvantaged,1.0,14339.9950294181,5987812.08650392
17,53033008402,35.93911192,0.4243,0.0082,0.1503,0.2019,0.3131,0.101,0.041,0.186,0.129,0.087,85.26,0.103729604,0.607,0.062,0.414,0.659,0.5,0.323,0.198,0.085,0.573,0.073,0.353,0.426,0.613,0.227,0.414,Middle,Second Lowest,Middle,8402,8402,84.02,Census Tract 84.02,1278,3012,387,2574,21,2574,697,2226,512,2536,267,2574,0.422,0.4225,0.5795,0.314428571,Second Highest,0.596,5220.86848686108,1565507.7151831
18,53033008600,175.77173153,0.5294,0.0697,0.2156,0.3239,0.369,0.127,0.041,0.192,0.172,0.106,82.61,0.062974203,0.784,0.63,0.687,0.869,0.659,0.653,0.198,0.215,0.965,0.943,0.637,0.738,0.795,0.647,0.767,Second Highest,Second Highest,Second Highest,8600,8600,86.0,Census Tract 86,4044,7639,1510,7003,486,6971,1424,3859,1743,5382,415,6590,0.726666667,0.72125,0.764,0.539285714,Second Highest,0.164,11640.7206126296,7656616.62563152
19,53033009701,857.05455473,0.2217,0.0578,0.1721,0.0907,0.327,0.102,0.058,0.205,0.116,0.09,86.99,0.139240506,0.079,0.556,0.5,0.153,0.556,0.357,0.545,0.522,0.136,0.346,0.125,0.301,0.34,0.386,0.34,Second Lowest,Second Lowest,Second Lowest,9701,9701,97.01,Census Tract 97.01,1320,5955,1059,6154,336,5817,1566,4789,557,6138,715,5135,0.342333333,0.3035,0.3545,0.406142857,Second Lowest,0.812,29764.000341636,19291172.1188629
20,53033010602,573.81473799,0.2107,0.0265,0.1598,0.1493,0.3288,0.111,0.058,0.213,0.124,0.093,86.77,0.05616272,0.062,0.278,0.471,0.482,0.568,0.505,0.545,0.687,0.357,0.636,0.154,0.204,0.539,0.437,0.375,Second Lowest,Middle,Second Lowest,10602,10602,106.02,Census Tract 106.02,841,3991,624,3906,99,3729,1051,3196,583,3906,185,3294,0.393333333,0.21825,0.525,0.429857143,Middle,0.125,23774.9471378089,15462014.0646102
21,53033010701,361.02584304,0.5596,0.0881,0.1753,0.2313,0.5362,0.161,0.069,0.247,0.15,0.104,78.57,0.142725881,0.818,0.732,0.511,0.704,0.886,0.823,0.738,0.965,0.903,0.926,0.921,0.732,0.829,0.954,0.88,Second Highest,Highest Equity Priority/Most Disadvantaged,Highest Equity Priority,10701,10701,107.01,Census Tract 107.01,2306,4121,728,4154,335,3801,1725,3217,947,4095,466,3265,0.838333333,0.71975,0.795,0.871285714,Highest Equity Priority/Most Disadvantaged,0.823,21302.3651802902,15726285.7226281
22,53033011002,424.9060711,0.8928,0.3665,0.4908,0.5269,0.7944,0.303,0.142,0.225,0.146,0.099,82.13,0.088566351,1.0,0.988,0.982,0.965,1.0,1.0,0.994,0.835,0.875,0.84,0.677,0.994,1.0,0.897,0.982,Highest Equity Priority,Highest Equity Priority/Most Disadvantaged,Highest Equity Priority,11002,11002,110.02,Census Tract 110.02,4098,4590,2257,4599,1596,4355,2245,2826,2423,4599,299,3376,0.963666667,0.9925,0.9825,0.804285714,Highest Equity Priority/Most Disadvantaged,0.409,22511.1267649617,18508908.4572961
23,53033011402,293.10989101,0.5849,0.1812,0.2635,0.1728,0.6287,0.193,0.085,0.243,0.147,0.1,75.24,0.184619816,0.829,0.92,0.755,0.59,0.931,0.926,0.875,0.926,0.88,0.863,0.989,0.84,0.789,0.982,0.909,Highest Equity Priority,Highest Equity Priority/Most Disadvantaged,Highest Equity Priority,11402,11402,114.02,Census Tract 114.02,2456,4199,1138,4318,719,3968,1969,3132,746,4318,641,3472,0.870333333,0.83325,0.7605,0.912142857,Second Highest,0.926,17329.7366833147,12767283.8288824
24,53033026400,30.0,0.6357,0.2059,0.325,0.3633,0.7856,0.202,0.086,0.263,0.153,0.102,79.06,0.138625318,0.9,0.93,0.862,0.891,0.998,0.934,0.876,0.984,0.928,0.909,0.895,0.933,0.971,0.981,0.976,Highest Equity Priority,Highest Equity Priority/Most Disadvantaged,Highest Equity Priority,26400,26400,264.0,Census Tract 264,3803,154,1860,5723,1098,5333,3207,4082,2075,5711,599,4321,0.961666667,0.898,0.9445,0.905,Highest Equity Priority/Most Disadvantaged,0.809,5771.70969403208,461398.058503353
25,53033001201,249.12446376,0.511,0.1302,0.1912,0.3962,0.6044,0.157,0.07,0.219,0.14,0.098,82.18,0.23818073,0.778,0.835,0.579,0.909,0.92,0.806,0.75,0.772,0.795,0.795,0.671,0.789,0.96,0.88,0.914,Second Highest,Highest Equity Priority/Most Disadvantaged,Highest Equity Priority,1201,1201,12.01,Census Tract 12.01,1932,3781,752,3934,470,3610,1832,3031,1554,3922,796,3342,0.876333333,0.7425,0.9145,0.795142857,Highest Equity Priority/Most Disadvantaged,0.977,15899.7733430541,10851861.6415862
26,53033001800,233.76681064,0.4013,0.0466,0.2512,0.1451,0.3182,0.1,0.036,0.196,0.138,0.092,80.1,0.050344828,0.562,0.471,0.715,0.437,0.528,0.318,0.062,0.289,0.778,0.551,0.83,0.602,0.477,0.403,0.511,Second Highest,Middle,Middle,1800,1800,18.0,Census Tract 18,2050,5109,1263,5027,225,4831,1238,3891,726,5002,219,4350,0.494,0.5775,0.4825,0.412857143,Middle,0.062,13946.100028213,10182882.2714508
27,53033002900,243.68207314,0.1959,0.0098,0.0861,0.0869,0.3015,0.097,0.047,0.209,0.125,0.091,82.62,0.058319957,0.017,0.09,0.09,0.136,0.465,0.272,0.312,0.607,0.386,0.437,0.631,0.005,0.272,0.38,0.164,Lowest,Second Lowest,Lowest,2900,2900,29.0,Census Tract 29,919,4690,410,4764,44,4495,1064,3529,411,4732,218,3738,0.219,0.0535,0.3005,0.399714286,Second Lowest,0.153,13366.3196709081,10614791.1059279
28,53033003202,236.22172766,0.2401,0.0,0.077,0.0533,0.2669,0.101,0.054,0.208,0.122,0.091,84.86,0.078925956,0.13,0.0,0.068,0.034,0.369,0.323,0.448,0.585,0.255,0.437,0.404,0.034,0.147,0.369,0.107,Lowest,Second Lowest,Lowest,3202,3202,32.02,Census Tract 32.02,1148,4781,367,4769,0,4483,953,3571,254,4769,291,3687,0.183333333,0.082,0.2015,0.396428571,Lowest,0.323,12945.3948643709,10289818.4569653
29,53033004000,1434.81219152,0.3999,0.0432,0.1365,0.1661,0.2688,0.138,0.075,0.222,0.128,0.099,85.36,0.100895037,0.545,0.443,0.38,0.556,0.375,0.715,0.823,0.823,0.511,0.84,0.336,0.5,0.454,0.761,0.596,Middle,Second Highest,Middle,4000,4000,40.0,Census Tract 40,1323,3308,445,3259,137,3171,586,2180,528,3179,248,2458,0.571666667,0.47825,0.4655,0.656142857,Middle,0.545,27560.0138429835,26374983.6799588
30,53033004302,81.82083724,0.4227,0.083,0.1962,0.6989,0.3663,0.152,0.037,0.185,0.19,0.113,81.4,0.101750292,0.602,0.71,0.607,0.988,0.653,0.778,0.102,0.073,0.971,0.965,0.739,0.636,0.863,0.693,0.772,Second Highest,Second Highest,Second Highest,4302,4302,43.02,Census Tract 43.02,1657,3920,872,4445,367,4423,534,1458,2488,3560,436,4285,0.730666667,0.63025,0.8205,0.598571429,Highest Equity Priority/Most Disadvantaged,0.562,7987.27441919544,3564115.67005324
31,53033004702,65.82891952,0.3329,0.0911,0.2557,0.1215,0.1435,0.091,0.04,0.193,0.126,0.089,87.08,0.079333986,0.426,0.761,0.721,0.306,0.034,0.125,0.164,0.227,0.426,0.187,0.12,0.613,0.096,0.09,0.261,Second Highest,Lowest,Second Lowest,4702,4702,47.02,Census Tract 47.02,1304,3917,842,3293,293,3218,410,2858,400,3293,243,3063,0.266333333,0.5835,0.17,0.225428571,Lowest,0.329,6956.44967487604,2867507.73438163
32,53033005803,205.60545051,0.3164,0.0367,0.235,0.2022,0.2835,0.106,0.052,0.207,0.128,0.092,82.95,0.062299751,0.392,0.42,0.698,0.664,0.42,0.42,0.392,0.562,0.511,0.551,0.563,0.488,0.562,0.471,0.534,Middle,Middle,Middle,5803,5803,58.03,Census Tract 58.03,1059,3347,768,3268,115,3135,782,2758,657,3250,175,2809,0.507,0.4755,0.542,0.451142857,Middle,0.159,17129.1988103483,8956173.42434502
33,53033007403,29.29497404,0.347,0.0409,0.1886,0.1695,0.1866,0.081,0.031,0.187,0.129,0.087,85.9,0.056092125,0.465,0.426,0.568,0.562,0.125,0.011,0.011,0.107,0.573,0.073,0.262,0.511,0.329,0.011,0.284,Middle,Lowest,Second Lowest,7403,7403,74.03,Census Tract 74.03,883,2545,514,2725,110,2692,473,2535,462,2725,151,2692,0.283666667,0.481,0.3435,0.165142857,Second Lowest,0.119,5227.49528678734,1276089.06897687
34,53033007700,261.50615747,0.4004,0.0088,0.1537,0.1345,0.2706,0.097,0.049,0.211,0.124,0.091,79.99,0.085253926,0.551,0.073,0.437,0.369,0.386,0.272,0.363,0.664,0.357,0.437,0.847,0.392,0.363,0.534,0.431,Second Lowest,Middle,Middle,7700,7700,77.0,Census Tract 77,2158,5390,885,5759,48,5480,1176,4346,771,5731,418,4903,0.429666667,0.403,0.3775,0.473571429,Second Lowest,0.375,15242.2097594939,11391208.2195848
35,53033008004,200.4904136,0.4724,0.0414,0.3205,0.0675,0.1561,0.093,0.044,0.193,0.116,0.083,85.04,0.026126715,0.698,0.431,0.846,0.085,0.045,0.176,0.272,0.227,0.136,0.011,0.387,0.676,0.022,0.017,0.21,Second Highest,Lowest,Second Lowest,8004,8004,80.04,Census Tract 80.04,1611,3410,1021,3186,129,3113,459,2941,215,3186,80,3062,0.238333333,0.66825,0.065,0.172714286,Lowest,0.0,14944.9795882911,2908326.63335204
36,53033008401,62.00107,0.4399,0.1051,0.3339,0.1601,0.3943,0.101,0.041,0.186,0.129,0.087,85.26,0.139937652,0.647,0.789,0.88,0.534,0.704,0.323,0.198,0.085,0.573,0.073,0.353,0.784,0.642,0.267,0.59,Second Highest,Second Lowest,Middle,8401,8401,84.01,Census Tract 84.01,1526,3469,1026,3073,323,3073,989,2508,488,3048,404,2887,0.564333333,0.74075,0.619,0.346142857,Second Highest,0.818,9275.81826751285,2700766.6092787
37,53033009400,416.68103021,0.6069,0.18,0.3141,0.1791,0.3818,0.166,0.08,0.204,0.124,0.085,85.56,0.190997977,0.863,0.914,0.835,0.613,0.687,0.835,0.846,0.505,0.357,0.039,0.307,0.892,0.676,0.659,0.789,Highest Equity Priority,Second Highest,Second Highest,9400,9400,94.0,Census Tract 94,3985,6566,2079,6618,1157,6429,2134,5590,1178,6577,1133,5932,0.742333333,0.86875,0.65,0.548142857,Second Highest,0.948,18874.5831831158,18150625.6759028
38,53033009600,813.47763119,0.2068,0.0083,0.0945,0.0671,0.2714,0.114,0.067,0.202,0.112,0.089,84.23,0.069801463,0.051,0.068,0.147,0.079,0.392,0.568,0.704,0.443,0.073,0.187,0.455,0.028,0.187,0.335,0.107,Lowest,Second Lowest,Lowest,9600,9600,96.0,Census Tract 96,1209,5847,533,5640,45,5431,1310,4827,371,5527,334,4785,0.183333333,0.07925,0.2355,0.376285714,Lowest,0.204,20745.4059998832,19741501.6537032
39,53033009802,227.90428198,0.2401,0.0445,0.1128,0.198,0.3344,0.105,0.054,0.213,0.123,0.092,86.59,0.055607331,0.13,0.454,0.227,0.647,0.579,0.392,0.448,0.687,0.318,0.551,0.188,0.227,0.636,0.352,0.386,Second Lowest,Second Lowest,Second Lowest,9802,9802,98.02,Census Tract 98.02,846,3523,455,4035,158,3549,1056,3158,799,4035,179,3219,0.405,0.23525,0.613,0.383714286,Second Highest,0.102,12982.7549339758,9927510.52308763
40,53033010002,234.26642893,0.6124,0.1878,0.2675,0.1915,0.4296,0.172,0.083,0.195,0.122,0.084,85.78,0.11565921,0.875,0.926,0.778,0.63,0.75,0.852,0.852,0.278,0.255,0.028,0.279,0.875,0.727,0.488,0.71,Highest Equity Priority,Middle,Second Highest,10002,10002,100.02,Census Tract 100.02,2977,4861,1318,4928,890,4739,1671,3890,942,4919,486,4202,0.696666667,0.8635,0.69,0.460714286,Second Highest,0.681,13732.7653894052,10204645.6442321
41,53033010102,937.31668578,0.5066,0.0229,0.0727,0.1139,0.328,0.169,0.093,0.239,0.127,0.098,78.29,0.128850103,0.767,0.238,0.051,0.244,0.562,0.84,0.909,0.903,0.465,0.795,0.938,0.465,0.403,0.886,0.613,Middle,Highest Equity Priority/Most Disadvantaged,Second Highest,10102,10102,101.02,Census Tract 101.02,2220,4382,330,4539,99,4326,1194,3640,517,4539,502,3896,0.584666667,0.45575,0.403,0.799142857,Middle,0.744,22274.1707680351,17314610.0397054
42,53033010800,1102.84621738,0.4987,0.0741,0.1935,0.2287,0.4685,0.137,0.066,0.211,0.128,0.09,79.31,0.103320053,0.755,0.653,0.59,0.698,0.806,0.698,0.693,0.664,0.511,0.346,0.881,0.681,0.784,0.727,0.772,Second Highest,Second Highest,Second Highest,10800,10800,108.0,Census Tract 108,2525,5063,943,4874,331,4467,1645,3511,1110,4853,389,3765,0.730666667,0.68825,0.752,0.625428571,Second Highest,0.585,39019.3474976913,44087445.2204998
43,53033010900,1265.68614133,0.3672,0.0677,0.0904,0.3176,0.5029,0.14,0.065,0.242,0.141,0.093,82.55,0.082296651,0.5,0.613,0.119,0.852,0.852,0.727,0.653,0.914,0.812,0.636,0.643,0.437,0.897,0.801,0.732,Middle,Highest Equity Priority/Most Disadvantaged,Second Highest,10900,10900,109.0,Census Tract 109,535,1457,109,1206,76,1122,519,1032,383,1206,86,1045,0.711666667,0.433,0.852,0.676714286,Highest Equity Priority/Most Disadvantaged,0.352,44798.0378177311,51621853.7150774
44,53033026500,105.999844148715,0.6964,0.2985,0.3572,0.549,0.738,0.284,0.132,0.272,0.166,0.112,79.54,0.171720204,0.934,0.975,0.901,0.969,0.989,0.988,0.981,0.987,0.948,0.965,0.871,0.956,0.999,1.0,0.992,Highest Equity Priority,Highest Equity Priority/Most Disadvantaged,Highest Equity Priority,26500,26500,265.0,Census Tract 265,3053,919,1620,4535,1293,4332,2222,3011,2485,4526,572,3331,0.985,0.936,0.979,0.946714286,Highest Equity Priority/Most Disadvantaged,0.887,11232.5871184181,-4617353.21111805
45,53033000300,299.22579345,0.4007,0.0778,0.1536,0.1544,0.449,0.13,0.065,0.216,0.132,0.094,80.22,0.089323692,0.556,0.659,0.431,0.505,0.795,0.681,0.653,0.738,0.687,0.681,0.824,0.568,0.676,0.772,0.693,Middle,Second Highest,Second Highest,300,300,3.0,Census Tract 3,1130,2820,437,2845,210,2698,823,1833,438,2837,210,2351,0.672,0.5505,0.65,0.669142857,Second Highest,0.42,17298.0295354702,13033864.5532296
46,53033000404,155.91605218,0.5904,0.2551,0.3719,0.4058,0.7325,0.174,0.088,0.233,0.141,0.102,80.02,0.259975445,0.835,0.965,0.926,0.926,0.988,0.886,0.88,0.869,0.812,0.909,0.841,0.931,0.994,0.971,0.994,Highest Equity Priority,Highest Equity Priority/Most Disadvantaged,Highest Equity Priority,404,404,4.04,Census Tract 4.04,2401,4067,1435,3859,967,3790,2204,3009,1566,3859,847,3258,0.965333333,0.89025,0.957,0.882714286,Highest Equity Priority/Most Disadvantaged,0.982,12962.5584131738,6791652.7167523
47,53033001100,262.08447174,0.3563,0.1296,0.2593,0.0589,0.279,0.114,0.059,0.203,0.119,0.088,79.56,0.103587444,0.488,0.829,0.744,0.056,0.414,0.568,0.596,0.465,0.227,0.159,0.87,0.642,0.181,0.579,0.482,Second Highest,Middle,Middle,1100,1100,11.0,Census Tract 11,966,2711,702,2707,336,2593,585,2097,159,2698,231,2230,0.467333333,0.63725,0.235,0.496428571,Lowest,0.59,14159.1273465597,11416399.5889459
