ObjectId,ID,Permit_Number,Permit_Subtype,Permit_Description,Street_Address,City,State,ZIP_Code,Date_Issued,Project_Start_Date,Project_End_Date,Permit_Type_Code,Subtype_Code
38,138,349766,H7CONVR,REYNOLDS-MILL ROOF,2827 HALE AVE,LOUISVILLE,KY,40211,2012-12-20 07:32:14,2012-12-14 00:00:00,2012-12-14 00:00:00,ASBESTOS,H7CONVR
39,139,320051,H7CONVR,MSD SHAWNEE PUMP STATION,612 SOUTHWESTERN PKY,LOUISVILLE,KY,40211,2012-01-31 09:50:21,2012-02-10 00:00:00,2012-02-13 00:00:00,ASBESTOS,H7CONVR
40,140,320061,Regulated Abatement Other,RAA HOUSE-719 JEFFERSON COURT,719 JEFFERSON CT,LOUISVILLE,KY,40217,2012-01-30 16:54:36,2012-02-07 00:00:00,2012-02-24 00:00:00,ASBESTOS,OTHERABATE
41,141,320866,Regulated Abatement for Renov.,VETERANS AFFAIRS MEDICAL CTR,800 ZORN AVE,LOUISVILLE,KY,40206,2012-02-10 15:18:36,2012-02-08 00:00:00,2012-02-08 00:00:00,ASBESTOS,RENOABATE
42,142,312034,Regulated Abatement for Renov.,MARION E TAYLOR BLDG,312 S 4TH ST,LOUISVILLE,KY,40202,2011-10-25 12:22:07,2011-11-01 00:00:00,2011-11-25 00:00:00,ASBESTOS,RENOABATE
43,143,314058,Regulated Abatement Other,HOUSE IPL 2100 BOLLING AV.,2100 BOLLING AVE,LOUISVILLE,KY,40210,2011-11-23 14:42:00,2011-11-22 00:00:00,2011-11-29 00:00:00,ASBESTOS,OTHERABATE
44,144,314062,H7CONVR,KENTUCKY TRANS CABINET #90,6300 SHADOW WOOD DR,LOUISVILLE,KY,40059,2011-11-10 13:15:54,2011-11-28 00:00:00,2011-12-09 00:00:00,ASBESTOS,H7CONVR
45,145,314268,H7CONVR,RESDIDENTIAL 130 N SPRING ST.,130 N SPRING ST,LOUISVILLE,KY,40206,2011-11-11 11:40:20,2011-11-20 00:00:00,2011-11-30 00:00:00,ASBESTOS,H7CONVR
46,146,314272,H7CONVR,RESIDENTIAL - 815 N.33RD ST.,815 N 33RD ST,LOUISVILLE,KY,40212,2011-11-11 11:39:16,2011-11-14 00:00:00,2011-11-20 00:00:00,ASBESTOS,H7CONVR
47,147,315592,Blanket Abatement,FORD KTP FRIBLKT,3001 CHAMBERLAIN LN,LOUISVILLE,KY,40241,2011-12-02 12:54:42,2011-12-20 00:00:00,2012-12-20 00:00:00,ASBESTOS,BLANKET
48,148,315744,H7CONVR,IPL HOUSE 436 DR. W J HODGE ST,436 DR W J HODGE ST,LOUISVILLE,KY,40203,2011-12-06 14:06:26,2011-10-25 00:00:00,2011-12-30 00:00:00,ASBESTOS,H7CONVR
49,149,346814,Regulated Abatement for Renov.,LUBRIZOL,4200 BELLS LN,LOUISVILLE,KY,40211,2012-11-09 12:15:35,2012-11-26 00:00:00,2012-12-31 00:00:00,ASBESTOS,RENOABATE
50,150,352084,Regulated Abatement for Renov.,AMERICAN SYNTHETIC RUBBER LAB,4500 CAMP GROUND RD,LOUISVILLE,KY,40216,2013-01-23 11:49:32,2013-02-04 00:00:00,2013-04-04 00:00:00,ASBESTOS,RENOABATE
51,201,353560,Regulated Abatement for Renov.,MOLEE BUILDING,425 W MUHAMMAD ALI BLVD,LOUISVILLE,KY,40202,2013-02-12 15:06:00,2013-02-20 00:00:00,2013-06-25 00:00:00,ASBESTOS,RENOABATE
52,202,348485,Regulated Abatement for Renov.,KNIGHT HALL,2000 NORRIS PL,LOUISVILLE,KY,40205,,2012-12-03 00:00:00,2012-12-04 00:00:00,ASBESTOS,RENOABATE
53,203,348628,Regulated Abatement Other,ABANDONED HOUSE IPL,125 BOSTON CT,LOUISVILLE,KY,40212,2012-12-06 14:07:00,2012-12-17 00:00:00,2012-12-28 00:00:00,ASBESTOS,OTHERABATE
54,204,349660,Regulated Abatement for Renov.,L G & E #51354 17400 DIXIE HWY,, , , ,2012-12-21 13:58:38,2012-12-12 00:00:00,2013-01-07 00:00:00,ASBESTOS,RENOABATE
55,205,350056,Blanket Abatement,LG&E FRIABLE MILL CREEK BLK,14660 DIXIE HWY,LOUISVILLE,KY,40272,2012-12-21 15:01:36,2013-01-01 00:00:00,2013-12-31 00:00:00,ASBESTOS,BLANKET
56,206,350607,Regulated Abatement for Renov.,BUILDING,1757 FRANKFORT AVE,LOUISVILLE,KY,40206,2013-01-04 09:58:00,2013-01-16 00:00:00,2013-02-22 00:00:00,ASBESTOS,RENOABATE
57,207,350808,H7CONVR,7506 BEULAH CHURCH ROAD,7506 BEULAH CHURCH RD,LOUISVILLE,KY,40228,2013-01-11 10:55:20,2012-09-27 00:00:00,2012-10-05 00:00:00,ASBESTOS,H7CONVR
58,208,351274,Regulated Abatement Other,LUMS RESTAURANT BLDG,2531 S 3RD ST,LOUISVILLE,KY,40208,2013-01-11 16:44:00,2013-01-24 00:00:00,2013-01-31 00:00:00,ASBESTOS,OTHERABATE
59,209,351303,H7CONVR,4009 MEADOWFIELD DRIVE,4009 MEADOWFIELD DR,LOUISVILLE,KY,40245,2013-01-16 07:47:19,2013-01-15 00:00:00,2013-01-15 00:00:00,ASBESTOS,H7CONVR
60,210,351442,H7CONVR,HOUSE 4132 GREENWOOD AV.,4132 GREENWOOD AVE,LOUISVILLE,KY,40211,2013-03-07 08:52:52,2013-01-18 00:00:00,2013-01-30 00:00:00,ASBESTOS,H7CONVR
61,211,352082,H7CONVR,COMMERCIAL BLDG 8010 PRESTON,8010 PRESTON HWY,LOUISVILLE,KY,40219,2013-01-23 11:40:00,2013-02-01 00:00:00,2013-02-01 00:00:00,ASBESTOS,H7CONVR
62,212,342916,H7CONVR,HOUSE 1517 MAGAZINE ST.,1517 MAGAZINE ST,LOUISVILLE,KY,40203,2012-11-27 11:47:41,2012-10-08 00:00:00,2012-11-08 00:00:00,ASBESTOS,H7CONVR
63,213,329966,Regulated Abatement for Renov.,WILLOW BROOK APTS UNITS 49-56,2106 BUECHEL BANK RD,LOUISVILLE,KY,40218,2012-06-05 09:55:03,2012-05-29 00:00:00,2012-06-29 00:00:00,ASBESTOS,RENOABATE
64,214,336866,H7CONVR,SAINT XAVIER HIGH SCHOOL,1609 POPLAR LEVEL RD,LOUISVILLE,KY,40217,2012-07-31 16:13:35,2012-07-31 00:00:00,2012-08-02 00:00:00,ASBESTOS,H7CONVR
65,215,337100,Regulated Abatement Other,HOUSE 410 SHELBY HOUSING AUTH,410 SHELBY PKY,LOUISVILLE,KY,40203,2012-08-06 11:07:00,2012-08-13 00:00:00,2012-10-01 00:00:00,ASBESTOS,OTHERABATE
66,216,322946,Long-Term Abatement,JCPS CRUMS LANE ES FLOORLT,3212 S CRUMS LN,LOUISVILLE,KY,40216,2012-03-08 09:50:23,2012-04-27 00:00:00,2013-04-27 00:00:00,ASBESTOS,LONGTERM
67,217,323676,Regulated Abatement Other,HOUSE IPL 2302 W. MADISON DT.,2302 W MADISON ST,LOUISVILLE,KY,40211,2012-03-16 16:35:00,2012-03-28 00:00:00,2012-04-13 00:00:00,ASBESTOS,OTHERABATE
68,218,323755,Regulated Abatement Other,JCPS VALLEY HIGH SCH PHASE 2,10200 DIXIE HWY,LOUISVILLE,KY,40272,2012-03-16 16:00:00,2012-04-07 00:00:00,2012-08-15 00:00:00,ASBESTOS,OTHERABATE
69,219,323763,H7CONVR,GARAGE 2221 W. CHESTNUT ST.,2221 W CHESTNUT ST,LOUISVILLE,KY,40211,2012-03-19 13:08:48,2012-03-24 00:00:00,2012-03-25 00:00:00,ASBESTOS,H7CONVR
70,220,326683,Regulated Abatement Other,VACANT LONG JOHN SILVER,4916 DIXIE HWY,LOUISVILLE,KY,40216,2012-04-19 12:10:00,2012-05-07 00:00:00,2012-06-01 00:00:00,ASBESTOS,OTHERABATE
71,221,327192,Long-Term Abatement,LG&E MILL CREEK NONFRIABLE LT,14660 DIXIE HWY,LOUISVILLE,KY,40272,2012-04-26 10:05:07,2012-05-26 00:00:00,2013-05-26 00:00:00,ASBESTOS,LONGTERM
72,222,327302,H7CONVR,MEDICAL STEAM PLANT BOILER HSE,235 ABRAHAM FLEXNER WAY,LOUISVILLE,KY,40202,2012-04-27 16:00:00,2012-05-08 00:00:00,2012-06-16 00:00:00,ASBESTOS,H7CONVR
73,223,327948,Long-Term Abatement,JCPS LINCOLN ELEM SCH LTF,930 E MAIN ST,LOUISVILLE,KY,40206,2012-05-07 14:35:19,2012-06-01 00:00:00,2013-06-02 00:00:00,ASBESTOS,LONGTERM
74,224,319718,Long-Term Abatement,LG&E GAS LINE STONE ST - GAGEL,, , , ,2012-01-30 10:33:00,2012-04-23 00:00:00,2012-10-01 00:00:00,ASBESTOS,LONGTERM
75,225,295925,Regulated Abatement for Renov.,REYNOLDS LAMINATING PLANT,1225 W BURNETT AVE,LOUISVILLE,KY,40210,2011-05-04 15:54:02,2011-04-12 00:00:00,2011-04-12 00:00:00,ASBESTOS,RENOABATE
76,226,300969,Regulated Abatement Other,ABANDONED COMMERCIAL BLDG.,306 E MAIN ST,LOUISVILLE,KY,40202,2011-06-28 09:09:00,2011-07-05 00:00:00,2011-07-06 00:00:00,ASBESTOS,OTHERABATE
77,227,301512,Long-Term Abatement,JCPS SHACKLETTE ES LTF,5310 MERCURY DR,LOUISVILLE,KY,40258,2011-06-30 15:23:16,2011-07-26 00:00:00,2012-07-26 00:00:00,ASBESTOS,LONGTERM
78,228,301898,Long-Term Abatement,COURIER JOURNAL LT,525 W BROADWAY,LOUISVILLE,KY,40202,2011-07-20 10:48:00,2011-07-28 00:00:00,2012-07-28 00:00:00,ASBESTOS,LONGTERM
79,229,290967,Long-Term Abatement,AUDUBON NORTON HOSP NOFRILNGTM,1 AUDUBON PLAZA DR,LOUISVILLE,KY,40217,2011-03-07 10:29:00,2011-03-18 00:00:00,2012-03-18 00:00:00,ASBESTOS,LONGTERM
80,230,291400,Blanket Abatement,BROWN-FORMAN FRIBLNKT,850 DIXIE HWY,LOUISVILLE,KY,40210,2011-03-09 14:38:23,2011-03-14 00:00:00,2012-03-14 00:00:00,ASBESTOS,BLANKET
81,231,292265,Regulated Abatement for Renov.,AT&T,521 W CHESTNUT ST,LOUISVILLE,KY,40202,2011-03-23 12:45:56,2011-04-05 00:00:00,2011-04-06 00:00:00,ASBESTOS,RENOABATE
82,232,293821,Regulated Abatement for Renov.,GRAPHIC PACKAGING,6820 ENTERPRISE DR,LOUISVILLE,KY,40214,2011-04-11 16:44:00,2011-06-14 00:00:00,2011-06-24 00:00:00,ASBESTOS,RENOABATE
83,233,294809,H7CONVR,STORAGE BLDG,1310 PENILE RD,LOUISVILLE,KY,40272,2011-10-25 16:56:46,2011-03-07 00:00:00,2011-03-11 00:00:00,ASBESTOS,H7CONVR
84,234,295050,Regulated Abatement Other,CARBIDE INDUSTRIES FURNACE BDG,4400 BELLS LN,LOUISVILLE,KY,40211,2011-06-16 12:42:00,2011-06-21 00:00:00,2011-12-31 00:00:00,ASBESTOS,OTHERABATE
85,235,295060,Regulated Abatement for Renov.,ADATH JESHURUN,2401 WOODBOURNE AVE,LOUISVILLE,KY,40205,2011-04-26 14:24:51,2011-05-23 00:00:00,2011-06-23 00:00:00,ASBESTOS,RENOABATE
86,236,284923,Regulated Abatement for Renov.,ASSUMPTION HIGH SCHOOL,2170 TYLER LN,LOUISVILLE,KY,40205,2010-12-06 12:40:59,2010-11-30 00:00:00,2010-11-30 00:00:00,ASBESTOS,RENOABATE
87,237,284926,Regulated Abatement for Renov.,HOUSING AUTHORITY APARTMENT 7,3332 BRECKENRIDGE LN,LOUISVILLE,KY,40220,2010-12-06 12:36:42,2010-12-13 00:00:00,2010-12-15 00:00:00,ASBESTOS,RENOABATE
88,238,285614,Long-Term Abatement,JCPS EASTERN HIGH SCHOOL-LTF,12400 OLD SHELBYVILLE RD,MIDDLETOWN,KY,40243,2010-12-10 10:21:00,2011-06-21 00:00:00,2012-06-22 00:00:00,ASBESTOS,LONGTERM
89,239,285703,Regulated Abatement for Renov.,ARKEMA,4350 CAMP GROUND RD,LOUISVILLE,KY,40216,2010-12-17 13:34:18,2010-12-08 00:00:00,2010-12-09 00:00:00,ASBESTOS,RENOABATE
90,240,280570,Regulated Abatement for Renov.,RIVER CITY HOUSING 2018 ROWAN,2018 ROWAN ST,LOUISVILLE,KY,40203,2010-10-13 09:32:47,2010-10-26 00:00:00,2010-11-26 00:00:00,ASBESTOS,RENOABATE
91,241,282189,H7CONVR,AT&T,521 W CHESTNUT ST,LOUISVILLE,KY,40202,2010-11-11 09:54:42,2010-11-04 00:00:00,2010-11-07 00:00:00,ASBESTOS,H7CONVR
92,242,282295,H7CONVR,RESIDENCE-6505 SOUTH DRIVE,6505 SOUTH DR,LOUISVILLE,KY,40272,2010-11-04 11:00:22,2010-11-11 00:00:00,2010-11-15 00:00:00,ASBESTOS,H7CONVR
93,243,283756,Regulated Abatement for Renov.,PROFESSIONAL BUILDING EAST,3101 BRECKENRIDGE LN,LOUISVILLE,KY,40220,2010-11-16 11:25:43,2010-11-29 00:00:00,2011-01-31 00:00:00,ASBESTOS,RENOABATE
94,244,275271,Regulated Abatement for Renov.,U OF L FORD HALL,2217 S 3RD ST,LOUISVILLE,KY,40208,2010-08-18 15:56:53,2010-06-20 00:00:00,2010-07-30 00:00:00,ASBESTOS,RENOABATE
95,245,260746,Regulated Abatement for Renov.,BEARNOS BLDG 131 W. MAIN,131 W MAIN ST,LOUISVILLE,KY,40202,2010-03-19 18:26:00,2010-04-02 00:00:00,2010-04-22 00:00:00,ASBESTOS,RENOABATE
96,246,346553,Long-Term Abatement,GENE SNYDER FEDERAL COURT LT,601 W BROADWAY,LOUISVILLE,KY,40202,2012-11-09 15:39:12,2012-11-07 00:00:00,2013-11-07 00:00:00,ASBESTOS,LONGTERM
97,247,340877,Regulated Abatement for Renov.,KOSAIR CHARITIES BASEMENT,982 EASTERN PKY,LOUISVILLE,KY,40217,2012-09-10 08:53:36,2012-09-10 00:00:00,2012-09-12 00:00:00,ASBESTOS,RENOABATE
98,248,341475,Long-Term Abatement,NATIONAL CITY TOWER,101 S 5TH ST,LOUISVILLE,KY,40202,2012-09-14 12:02:56,2012-09-27 00:00:00,2013-09-27 00:00:00,ASBESTOS,LONGTERM
99,249,302956,Regulated Abatement for Renov.,BIG FOUR BRIDGE,, , , ,2011-07-19 12:59:00,2011-08-17 00:00:00,2011-12-25 00:00:00,ASBESTOS,RENOABATE
100,250,360700,Regulated Abatement Other,ABANDONED HOUSE IPL,223 BONNIE LN,LOUISVILLE,KY,40218,2013-05-08 11:49:21,2013-05-13 00:00:00,2013-05-31 00:00:00,ASBESTOS,OTHERABATE
101,1,320053,H7CONVR,KENTUCKY CREDIT UNION LEAGUE,3615 NEWBURG RD,LOUISVILLE,KY,40218,2012-01-31 09:48:56,2012-02-09 00:00:00,2012-02-18 00:00:00,ASBESTOS,H7CONVR
102,2,320703,Regulated Abatement for Renov.,U OF L MEDICAL DENTAL BLDG 52,627 S PRESTON ST,LOUISVILLE,KY,40202,2012-02-08 14:48:21,2012-02-20 00:00:00,2012-02-22 00:00:00,ASBESTOS,RENOABATE
103,3,321785,Regulated Abatement Other,ISA OFFICE/HOUSE/TRAILER,7200 GRADE LN,LOUISVILLE,KY,40219,2012-02-21 11:33:00,2012-03-05 00:00:00,2012-03-09 00:00:00,ASBESTOS,OTHERABATE
104,4,311988,Blanket Abatement,AIRPORT INDUSTRIAL CTR FRIBL,163 ROCHESTER DR,LOUISVILLE,KY,40214,2011-10-19 14:21:00,2011-11-01 00:00:00,2012-11-01 00:00:00,ASBESTOS,BLANKET
105,5,313680,Blanket Abatement,NATIONAL CITY TOWER,101 S 5TH ST,LOUISVILLE,KY,40202,2011-11-04 11:00:29,2011-11-14 00:00:00,2012-11-14 00:00:00,ASBESTOS,BLANKET
106,6,314070,H7CONVR,KENTUCKY TRANS CABINET #87,6307 SHADOW WOOD DR,LOUISVILLE,KY,40059,2011-11-10 13:17:17,2011-11-28 00:00:00,2011-12-09 00:00:00,ASBESTOS,H7CONVR
107,7,314072,H7CONVR,KENTUCKY TRANS CABINET#104,6319 SHADOW WOOD DR,LOUISVILLE,KY,40059,2011-11-10 13:19:30,2011-11-28 00:00:00,2011-12-09 00:00:00,ASBESTOS,H7CONVR
108,8,314078,Regulated Abatement Other,KENTUCKY TRANS CABINET #103,5212 SHADOW WOOD LN,LOUISVILLE,KY,40059,2011-11-10 13:24:58,2011-11-28 00:00:00,2011-12-09 00:00:00,ASBESTOS,OTHERABATE
109,9,314079,Regulated Abatement Other,KENTUCKY TRANS CABINET #102,5208 SHADOW WOOD LN,LOUISVILLE,KY,40059,2011-11-11 09:09:53,2011-11-28 00:00:00,2011-12-09 00:00:00,ASBESTOS,OTHERABATE
110,10,315724,Regulated Abatement Other,HIGHLAND NURSING HOME,1705 STEVENS AVE,LOUISVILLE,KY,40205,2011-12-02 12:39:40,2011-11-15 00:00:00,2011-12-09 00:00:00,ASBESTOS,OTHERABATE
111,11,303628,Regulated Abatement for Renov.,ZEON CHEMICALS,4100 BELLS LN,LOUISVILLE,KY,40211,2011-08-09 09:43:00,2011-08-29 00:00:00,2011-11-10 00:00:00,ASBESTOS,RENOABATE
112,12,304763,Regulated Abatement Other,RAA - NTP#20 8602 MINORS LN.,8602 MINOR LN,LOUISVILLE,KY,40219,2011-08-01 10:33:00,2011-07-11 00:00:00,2011-07-21 00:00:00,ASBESTOS,OTHERABATE
113,13,305040,Regulated Abatement Other,CHURCHILL DOWNS HOUSE,1009 THORNBERRY AVE,LOUISVILLE,KY,40215,2011-08-04 13:19:00,2011-08-15 00:00:00,2011-08-30 00:00:00,ASBESTOS,OTHERABATE
114,14,305333,Regulated Abatement Other,ABANDONED HOUSE IPL,531 S 18TH ST,LOUISVILLE,KY,40203,2011-08-09 11:27:00,2011-08-15 00:00:00,2011-08-19 00:00:00,ASBESTOS,OTHERABATE
115,15,308690,Long-Term Abatement,JEWISH HOSPITAL LT,217 E CHESTNUT ST,LOUISVILLE,KY,40202,2011-09-13 09:41:31,2011-09-21 00:00:00,2012-09-21 00:00:00,ASBESTOS,LONGTERM
116,16,309395,Regulated Abatement Other,H & R BLOCK,6801 DIXIE HWY,LOUISVILLE,KY,40258,2011-09-30 09:54:23,2011-09-29 00:00:00,2011-10-05 00:00:00,ASBESTOS,OTHERABATE
117,17,309403,H7CONVR,HOUSE 513 E. KENTUCKY ST.,513 E KENTUCKY ST,LOUISVILLE,KY,40203,2011-09-20 11:23:42,2011-09-28 00:00:00,2011-10-10 00:00:00,ASBESTOS,H7CONVR
118,18,309406,H7CONVR,1605 FLAT ROCK ROAD,1605 FLAT ROCK RD,LOUISVILLE,KY,40245,2011-09-20 11:20:34,2011-10-03 00:00:00,2011-11-14 00:00:00,ASBESTOS,H7CONVR
119,19,310518,Regulated Abatement Other,E.I. DUPONT NEMOURS,4200 CAMP GROUND RD,LOUISVILLE,KY,40216,2011-10-04 10:37:41,2011-10-13 00:00:00,2011-10-27 00:00:00,ASBESTOS,OTHERABATE
120,20,295939,Regulated Abatement for Renov.,ST.XAVIER HIGH SCHOOL 1961 BLD,1609 POPLAR LEVEL RD,LOUISVILLE,KY,40217,2011-05-04 15:51:00,2011-05-31 00:00:00,2011-08-02 00:00:00,ASBESTOS,RENOABATE
