inci_no,Alm_Date,Address,Inci_type,Content_Loss,Property_Loss,Total_Loss,Pre_Inci_Value,Saved,ObjectId
17-0001807,2017/01/18 05:00:00+00,3620 WOODRUFF Louisville KY 40215,111 - Building fire,,3000.0,3000,60000,57000,34
17-0001880,2017/01/18 05:00:00+00,1105 S SHELBY Louisville KY 40203,111 - Building fire,10000.0,36000.0,46000,55570,9570,35
17-0001902,2017/01/19 05:00:00+00,665 HECKS Louisville KY 40211,131 - Passenger vehicle fire,,1500.0,1500,1500,0,36
17-0001928,2017/01/19 05:00:00+00,Watterson Louisville KY 40216,"130 - Mobile property (vehicle) fire, other",500.0,6000.0,6500,6000,-500,37
17-0001994,2017/01/20 05:00:00+00,841 S 23RD Louisville KY 40211,"151 - Outside rubbish, trash or waste fire",20.0,,20,18540,18520,38
17-0002278,2017/01/23 05:00:00+00,410 N 34TH Louisville KY 40212,111 - Building fire,0.0,5000.0,5000,43000,38000,39
17-0002395,2017/01/24 05:00:00+00,324 N 19TH Louisville KY 40203,111 - Building fire,6000.0,10000.0,16000,19550,3550,40
17-0002457,2017/01/24 05:00:00+00,3668 WOODRUFF Louisville KY 40215,111 - Building fire,200.0,500.0,700,75000,74300,41
17-0002598,2017/01/26 05:00:00+00,2504 STANDARD Louisville KY 40210,111 - Building fire,2000.0,5000.0,7000,25390,18390,42
17-0002605,2017/01/26 05:00:00+00,2936 BANK Louisville KY 40212,111 - Building fire,15000.0,30910.0,45910,30910,-15000,43
17-0002723,2017/01/27 05:00:00+00,845 CLARKS Louisville KY 40217,"130 - Mobile property (vehicle) fire, other",,500.0,500,10000,9500,44
17-0002727,2017/01/27 05:00:00+00,2606 KINGS KING KY 40205,"100 - Fire, other",,250.0,250,300000,299750,45
17-0002947,2017/01/29 05:00:00+00,1716 W ORMSBY Louisville KY 40210,111 - Building fire,,500.0,500,60000,59500,46
17-0002971,2017/01/30 05:00:00+00,2527 W JEFFERSON Louisville KY 40212,111 - Building fire,1000.0,9000.0,10000,15000,5000,47
17-0003116,2017/01/31 05:00:00+00,1700 W CHESTNUT Louisville KY 40203,111 - Building fire,1000.0,2000.0,3000,5000,2000,48
17-0003187,2017/02/01 05:00:00+00,816 IROQUOIS Louisville KY 40214,111 - Building fire,500.0,2500.0,3000,127000,124000,49
17-0003227,2017/02/01 05:00:00+00,1615 S 32ND Louisville KY 40211,111 - Building fire,5000.0,5000.0,10000,109780,99780,50
17-0006611,2017/03/04 05:00:00+00,Crittenden Dr City of Louisville KY 40209,131 - Passenger vehicle fire,0.0,8000.0,8000,8000,0,51
17-0006657,2017/03/05 05:00:00+00,436 S HITE 3 Louisville KY 40206,111 - Building fire,30000.0,100000.0,130000,400000,270000,52
17-0006724,2017/03/05 05:00:00+00,910 DENMARK Louisville KY 40215,"151 - Outside rubbish, trash or waste fire",,1000.0,1000,1000,0,53
17-0006734,2017/03/05 05:00:00+00,612 WILDERNESS Louisville KY 40214,"130 - Mobile property (vehicle) fire, other",,1500.0,1500,1500,0,54
17-0006830,2017/03/07 05:00:00+00,2637 HALE Louisville KY 40211,111 - Building fire,0.0,500.0,500,50000,49500,55
17-0006985,2017/03/08 05:00:00+00,3439 NEWBURG 5 Louisville KY 40218,111 - Building fire,2500.0,50000.0,52500,200000,147500,56
17-0007006,2017/03/08 05:00:00+00,1318 MORGAN Louisville KY 40213,111 - Building fire,,10000.0,10000,75000,65000,57
17-0007054,2017/03/09 05:00:00+00,414 DOWNES Louisville KY 40214,111 - Building fire,2000.0,10000.0,12000,10000,-2000,58
17-0007200,2017/03/10 05:00:00+00,615 M Louisville KY 40208,111 - Building fire,10000.0,30000.0,40000,52830,12830,59
17-0007157,2017/03/10 05:00:00+00,S 13TH Louisville KY 40203,131 - Passenger vehicle fire,,500.0,500,2500,2000,60
17-0007200,2017/03/10 05:00:00+00,613 M Louisville KY 40208,111 - Building fire,,5000.0,5000,43610,38610,61
17-0007250,2017/03/11 05:00:00+00,1700 LANG Louisville KY 40211,131 - Passenger vehicle fire,,10000.0,10000,15000,5000,62
17-0007313,2017/03/12 05:00:00+00,1816 STANDARD Louisville KY 40210,111 - Building fire,1000.0,15000.0,16000,15000,-1000,63
17-0007314,2017/03/12 05:00:00+00,310 E JACOB Louisville KY 40203,111 - Building fire,,105000.0,105000,105000,0,64
17-0007495,2017/03/13 04:00:00+00,2009 PEABODY 7 Louisville KY 40218,"113 - Cooking fire, confined to container",1000.0,,1000,500000,499000,65
17-0007453,2017/03/13 04:00:00+00,1913 LYTLE Louisville KY 40203,111 - Building fire,0.0,14000.0,14000,28000,14000,66
17-0007485,2017/03/13 04:00:00+00,2716 N BANK Louisville KY 40212,111 - Building fire,1000.0,31160.0,32160,33660,1500,67
17-0007509,2017/03/14 04:00:00+00,2235 GRAND Louisville KY 40210,131 - Passenger vehicle fire,,500.0,500,8000,7500,68
17-0007657,2017/03/15 04:00:00+00,1329 SALE Louisville KY 40215,111 - Building fire,500.0,0.0,500,47600,47100,69
17-0008017,2017/03/19 04:00:00+00,600 WIMBLETON 2 Louisville KY 40218,"113 - Cooking fire, confined to container",0.0,200.0,200,1000000,999800,70
17-0008051,2017/03/19 04:00:00+00,2708 W CHESTNUT Louisville KY 40211,111 - Building fire,500.0,15000.0,15500,15000,-500,71
17-0008047,2017/03/19 04:00:00+00,S 11TH Louisville KY 40210,111 - Building fire,0.0,150000.0,150000,150000,0,72
17-0008057,2017/03/19 04:00:00+00,906 CECIL Louisville KY 40211,111 - Building fire,,15000.0,15000,20000,5000,73
17-0008119,2017/03/20 04:00:00+00,S 1ST Louisville KY 40203,131 - Passenger vehicle fire,100.0,15000.0,15100,15000,-100,74
17-0008205,2017/03/21 04:00:00+00,1101 BARDSTOWN Louisville KY 40204,131 - Passenger vehicle fire,,100.0,100,500,400,75
17-0008298,2017/03/21 04:00:00+00,3115 PORTLAND Louisville KY 40212,111 - Building fire,800.0,1000.0,1800,29230,27430,76
17-0008314,2017/03/22 04:00:00+00,3700 W WHEATMORE Louisville KY 40215,142 - Brush or brush-and-grass mixture fire,100.0,,100,1000000,999900,77
17-0008352,2017/03/22 04:00:00+00,3428 RIVER PARK Louisville KY 40211,111 - Building fire,5000.0,10000.0,15000,41900,26900,78
17-0008436,2017/03/23 04:00:00+00,2644 ALGONQUIN Louisville KY 40210,131 - Passenger vehicle fire,100.0,800.0,900,800,-100,79
17-0008438,2017/03/23 04:00:00+00,1138 S 28TH Louisville KY 40211,111 - Building fire,15000.0,37300.0,52300,37300,-15000,80
17-0008463,2017/03/23 04:00:00+00,1628 ARLING Louisville KY 40215,111 - Building fire,5000.0,20000.0,25000,65000,40000,81
17-0008574,2017/03/24 04:00:00+00,1818 W JEFFERSON Louisville KY 40203,111 - Building fire,0.0,1000.0,1000,29530,28530,82
17-0008671,2017/03/25 04:00:00+00,3507 W MUHAMMAD ALI Louisville KY 40212,111 - Building fire,3000.0,5000.0,8000,27000,19000,83
17-0008726,2017/03/26 04:00:00+00,118 N EWING Louisville KY 40206,111 - Building fire,15000.0,50000.0,65000,192990,127990,84
17-0008774,2017/03/26 04:00:00+00,2203 DATE Louisville KY 40210,111 - Building fire,,15000.0,15000,30000,15000,85
17-0008783,2017/03/26 04:00:00+00,2822 GARFIELD Louisville KY 40212,111 - Building fire,1200.0,24000.0,25200,24000,-1200,86
17-0009182,2017/03/30 04:00:00+00,4015 GRAND Louisville KY 40211,"113 - Cooking fire, confined to container",20.0,0.0,20,40000,39980,87
17-0009192,2017/03/30 04:00:00+00,1777 WILSON Louisville KY 40210,131 - Passenger vehicle fire,0.0,2000.0,2000,8000,6000,88
17-0009223,2017/03/30 04:00:00+00,I264W @ I65 City of Louisville KY 40213,131 - Passenger vehicle fire,,4500.0,4500,4500,0,89
17-0009365,2017/04/01 04:00:00+00,665 S 27TH Louisville KY 40211,111 - Building fire,1000.0,500.0,1500,20770,19270,90
17-0009486,2017/04/02 04:00:00+00,4516 BREWSTER Louisville KY 40211,111 - Building fire,200.0,1000.0,1200,60000,58800,91
17-0009487,2017/04/02 04:00:00+00,3532 NORBOURNE STM KY 40207,"118 - Trash or rubbish fire, contained",250.0,1000.0,1250,20000,18750,92
17-0009528,2017/04/03 04:00:00+00,2019 BANK Louisville KY 40203,111 - Building fire,0.0,38620.0,38620,38620,0,93
17-0009589,2017/04/03 04:00:00+00,3104 COMMANDER Louisville KY 40220,131 - Passenger vehicle fire,,100.0,100,5000,4900,94
17-0009528,2017/04/03 04:00:00+00,2023 Bank City of Louisville KY 40203,111 - Building fire,5000.0,2000.0,7000,47980,40980,95
17-0009528,2017/04/03 04:00:00+00,2017 Bank City of Louisville KY 40203,111 - Building fire,1000.0,2000.0,3000,61590,58590,96
17-0009858,2017/04/06 04:00:00+00,2532 W BURNETT Louisville KY 40210,111 - Building fire,,400.0,400,2000,1600,97
17-0009931,2017/04/07 04:00:00+00,1329 LILLIAN Louisville KY 40208,111 - Building fire,200.0,400.0,600,26650,26050,98
17-0009933,2017/04/07 04:00:00+00,2129 BOLLING Louisville KY 40210,"113 - Cooking fire, confined to container",1000.0,,1000,75000,74000,99
17-0009983,2017/04/08 04:00:00+00,2200 BROWNSBORO Louisville KY 40206,"130 - Mobile property (vehicle) fire, other",1000.0,2000.0,3000,2500,-500,100
17-0013065,2017/05/07 04:00:00+00,1934 RUTHERFORD Louisville KY 40205,154 - Dumpster or other outside trash receptacle fire,100.0,0.0,100,275000,274900,101
17-0013151,2017/05/08 04:00:00+00,1515 OLEANDA Louisville KY 40215,111 - Building fire,,20000.0,20000,100000,80000,102
17-0013285,2017/05/09 04:00:00+00,I-264 East Louisville KY 40220,"130 - Mobile property (vehicle) fire, other",0.0,8000.0,8000,43000,35000,103
17-0013324,2017/05/09 04:00:00+00,1430 BERRY Louisville KY 40215,"113 - Cooking fire, confined to container",300.0,300.0,600,300,-300,104
17-0013446,2017/05/10 04:00:00+00,432 E JEFFERSON Louisville KY 40202,111 - Building fire,200.0,0.0,200,6270000,6269800,105
17-0013463,2017/05/11 04:00:00+00,432 E JEFFERSON Louisville KY 40202,111 - Building fire,100.0,0.0,100,6270000,6269900,106
17-0013604,2017/05/12 04:00:00+00,81 COLLEGE Louisville KY 40203,111 - Building fire,1500.0,10000.0,11500,14810,3310,107
17-0013706,2017/05/13 04:00:00+00,1200 TENNESSEE Louisville KY 40208,111 - Building fire,50.0,0.0,50,5000,4950,108
17-0013816,2017/05/14 04:00:00+00,4102 LEE City of Louisville KY 40214,111 - Building fire,0.0,200.0,200,500,300,109
17-0013786,2017/05/14 04:00:00+00,2308 GRIFFITHS Louisville KY 40212,131 - Passenger vehicle fire,0.0,1400.0,1400,1600,200,110
17-0013808,2017/05/14 04:00:00+00,1624 GALLAGHER Louisville KY 40210,111 - Building fire,,10000.0,10000,13290,3290,111
17-0013904,2017/05/15 04:00:00+00,2608 W JEFFERSON Louisville KY 40212,111 - Building fire,1000.0,5000.0,6000,35360,29360,112
17-0013910,2017/05/15 04:00:00+00,3211 MID DALE Louisville KY 40220,131 - Passenger vehicle fire,,100.0,100,7000,6900,113
17-0013908,2017/05/15 04:00:00+00,1216 BICKNELL Louisville KY 40215,111 - Building fire,10000.0,65000.0,75000,65000,-10000,114
17-0013995,2017/05/16 04:00:00+00,2502 PRESTON Louisville KY 40217,"130 - Mobile property (vehicle) fire, other",250.0,2000.0,2250,2000,-250,115
17-0014016,2017/05/16 04:00:00+00,TAYLOR Louisville KY 40208,131 - Passenger vehicle fire,100.0,1450.0,1550,1500,-50,116
17-0014088,2017/05/17 04:00:00+00,906 PLACE ROUGE Louisville KY 40203,"160 - Special outside fire, other",100.0,0.0,100,100,0,117
17-0014093,2017/05/17 04:00:00+00,4205 W MARKET Louisville KY 40212,111 - Building fire,3500.0,40000.0,43500,70000,26500,118
17-0014122,2017/05/17 04:00:00+00,I65 South City of Louisville KY 40213,131 - Passenger vehicle fire,0.0,500.0,500,2500,2000,119
17-0014217,2017/05/18 04:00:00+00,310 S HANCOCK Louisville KY 40202,111 - Building fire,3000.0,150000.0,153000,5000000,4847000,120
17-0014396,2017/05/20 04:00:00+00,3829 HALE Louisville KY 40211,111 - Building fire,3000.0,10000.0,13000,70000,57000,121
17-0014418,2017/05/20 04:00:00+00,W MARKET Louisville KY 40212,131 - Passenger vehicle fire,0.0,7500.0,7500,15000,7500,122
17-0014436,2017/05/20 04:00:00+00,3300 LESTER Louisville KY 40215,131 - Passenger vehicle fire,2000.0,4000.0,6000,4000,-2000,123
17-0014651,2017/05/22 04:00:00+00,914 E Oak City of Louisville KY 40204,111 - Building fire,1000.0,8000.0,9000,38850,29850,124
17-0014648,2017/05/22 04:00:00+00,1120 SAMUEL Louisville KY 40204,154 - Dumpster or other outside trash receptacle fire,,500.0,500,2500,2000,125
17-0014650,2017/05/22 04:00:00+00,906 ELLISON Louisville KY 40204,131 - Passenger vehicle fire,0.0,2500.0,2500,2500,0,126
17-0014693,2017/05/22 04:00:00+00,3505 WHEELER Louisville KY 40215,111 - Building fire,10000.0,20000.0,30000,50000,20000,127
17-0014729,2017/05/23 04:00:00+00,3778 LEXINGTON Louisville KY 40207,324 - Motor vehicle accident with no injuries.,0.0,600.0,600,350000,349400,128
17-0014730,2017/05/23 04:00:00+00,2900 SPRINGDALE Louisville KY 40206,"113 - Cooking fire, confined to container",500.0,100.0,600,500000,499400,129
17-0014799,2017/05/24 04:00:00+00,800 FLORHAM 103 Louisville KY 40208,111 - Building fire,0.0,1000.0,1000,1000000,999000,130
17-0014943,2017/05/25 04:00:00+00,800 S 38TH Louisville KY 40211,111 - Building fire,,2000.0,2000,42360,40360,131
17-0014948,2017/05/25 04:00:00+00,S 3RD Louisville KY 40208,131 - Passenger vehicle fire,0.0,1000.0,1000,1000,0,132
17-0015097,2017/05/26 04:00:00+00,2716 BANK Louisville KY 40212,111 - Building fire,0.0,5000.0,5000,5000,0,133
17-0015081,2017/05/26 04:00:00+00,1114 W MUHAMMAD ALI Louisville KY 40203,111 - Building fire,1500.0,1500.0,3000,2751930,2748930,134
17-0015347,2017/05/29 04:00:00+00,1219 BELMAR Louisville KY 40213,111 - Building fire,3500.0,10000.0,13500,120000,106500,135
17-0015379,2017/05/29 04:00:00+00,7TH STREET Louisville KY 40216,131 - Passenger vehicle fire,0.0,1000.0,1000,4000,3000,136
17-0015423,2017/05/30 04:00:00+00,1520 ARLING Louisville KY 40215,111 - Building fire,5000.0,20000.0,25000,75000,50000,137
17-0015530,2017/05/31 04:00:00+00,3240 W Jefferson Louisville KY 40212,131 - Passenger vehicle fire,,9700.0,9700,9700,0,138
17-0015582,2017/05/31 04:00:00+00,324 E MAIN 521 City of Louisville KY 40202,"113 - Cooking fire, confined to container",5000.0,,5000,5000,0,139
17-0015616,2017/06/01 04:00:00+00,4001 LENTZ Louisville KY 40215,111 - Building fire,5000.0,10000.0,15000,60000,45000,140
17-0015670,2017/06/01 04:00:00+00,Interstate 64 City of Louisville KY 40206,131 - Passenger vehicle fire,1000.0,8000.0,9000,8000,-1000,141
17-0015953,2017/06/04 04:00:00+00,N 38TH Louisville KY 40212,131 - Passenger vehicle fire,,6600.0,6600,6600,0,142
17-0016040,2017/06/04 04:00:00+00,1730 W ST CATHERINE Louisville KY 40210,"311 - Medical assist, assist EMS crew",0.0,10000.0,10000,10000,0,143
17-0016055,2017/06/04 04:00:00+00,S 23RD Louisville KY 40210,131 - Passenger vehicle fire,0.0,10000.0,10000,10000,0,144
17-0016288,2017/06/07 04:00:00+00,3900 POPLAR LEVEL Louisville KY 40213,111 - Building fire,0.0,15000.0,15000,130000,115000,145
17-0016346,2017/06/07 04:00:00+00,3100 CLINTON 6 Shively KY 40216,111 - Building fire,5000.0,2000.0,7000,1746000,1739000,146
17-0016457,2017/06/08 04:00:00+00,1826 jefferson Louisville KY 40203,111 - Building fire,0.0,10000.0,10000,55290,45290,147
17-0016377,2017/06/08 04:00:00+00,1929 PEABODY 6 Louisville KY 40218,111 - Building fire,250.0,1000.0,1250,200000,198750,148
17-0016386,2017/06/08 04:00:00+00,4010 FRANKLIN Louisville KY 40213,131 - Passenger vehicle fire,0.0,4000.0,4000,10000,6000,149
17-0016457,2017/06/08 04:00:00+00,1830 W JEFFERSON Louisville KY 40203,111 - Building fire,,90000.0,90000,90000,0,150
17-0003269,2017/02/02 05:00:00+00,201 MERIDIAN Louisville KY 40207,111 - Building fire,300000.0,460000.0,760000,460001,-299999,151
17-0003309,2017/02/02 05:00:00+00,1488 S SHELBY Louisville KY 40217,111 - Building fire,,40000.0,40000,40000,0,152
17-0003477,2017/02/03 05:00:00+00,1314 Bardstown City of Louisville KY 40204,131 - Passenger vehicle fire,,1000.0,1000,5000,4000,153
17-0003381,2017/02/03 05:00:00+00,888 W MARKET Louisville KY 40202,111 - Building fire,200.0,,200,10000000,9999800,154
17-0003434,2017/02/03 05:00:00+00,2232 BARDSTOWN Louisville KY 40205,154 - Dumpster or other outside trash receptacle fire,0.0,200.0,200,739000,738800,155
17-0003477,2017/02/03 05:00:00+00,1314 BARDSTOWN Louisville KY 40204,131 - Passenger vehicle fire,,2000.0,2000,2000,0,156
17-0003534,2017/02/04 05:00:00+00,2211 HEATHER Louisville KY 40218,111 - Building fire,,200.0,200,150000,149800,157
17-0003533,2017/02/04 05:00:00+00,653 S mix Louisville KY 40208,"118 - Trash or rubbish fire, contained",200.0,400.0,600,36000,35400,158
17-0003544,2017/02/04 05:00:00+00,3948 TAYLORSVILLE Louisville KY 40220,131 - Passenger vehicle fire,,1000.0,1000,3000,2000,159
17-0003686,2017/02/05 05:00:00+00,1416 Lytle City of Louisville KY 40203,111 - Building fire,5000.0,5000.0,10000,250000,240000,160
17-0003681,2017/02/05 05:00:00+00,1824 Baird Louisville KY 40203,111 - Building fire,0.0,10000.0,10000,25000,15000,161
17-0003685,2017/02/05 05:00:00+00,132 S SHAWNEE Louisville KY 40212,138 - Off-road vehicle or heavy equipment fire,,1000.0,1000,2000,1000,162
17-0003686,2017/02/05 05:00:00+00,1416 LYTLE Louisville KY 40203,132 - Road freight or transport vehicle fire,5000.0,5000.0,10000,5000,-5000,163
17-0003726,2017/02/06 05:00:00+00,1103 Dixie City of Louisville KY 40210,111 - Building fire,,1000.0,1000,21310,20310,164
17-0003726,2017/02/06 05:00:00+00,1101 DIXIE Louisville KY 40210,111 - Building fire,,49500.0,49500,49500,0,165
17-0003801,2017/02/06 05:00:00+00,4524 RIVERVIEW Louisville KY 40211,111 - Building fire,2500.0,5000.0,7500,48640,41140,166
17-0003909,2017/02/07 05:00:00+00,3764 POWELL Louisville KY 40215,111 - Building fire,0.0,5000.0,5000,15000,10000,167
17-0004049,2017/02/09 05:00:00+00,409 E MUHAMMAD ALI Louisville KY 40202,"113 - Cooking fire, confined to container",150.0,200.0,350,6110640,6110290,168
17-0004105,2017/02/09 05:00:00+00,604 BLUEGRASS 1 Louisville KY 40214,111 - Building fire,30000.0,200000.0,230000,515000,285000,169
17-0004165,2017/02/10 05:00:00+00,1455 S 2ND Louisville KY 40208,111 - Building fire,1000.0,10000.0,11000,151000,140000,170
17-0004351,2017/02/11 05:00:00+00,S 6TH Louisville KY 40202,131 - Passenger vehicle fire,0.0,2000.0,2000,2000,0,171
17-0004258,2017/02/11 05:00:00+00,2005 TERRIL Louisville KY 40218,111 - Building fire,10000.0,25000.0,35000,390170,355170,172
17-0004364,2017/02/12 05:00:00+00,2529 W JEFFERSON Louisville KY 40212,481 - Attempt to burn,,200.0,200,30010,29810,173
17-0004382,2017/02/12 05:00:00+00,2123 W MUHAMMAD ALI Louisville KY 40212,111 - Building fire,1000.0,5000.0,6000,31440,25440,174
17-0004457,2017/02/13 05:00:00+00,1631 BRASHEAR Louisville KY 40210,131 - Passenger vehicle fire,,4000.0,4000,4000,0,175
17-0004531,2017/02/13 05:00:00+00,1515 CLARA Louisville KY 40215,111 - Building fire,1000.0,12000.0,13000,90000,77000,176
17-0004609,2017/02/14 05:00:00+00,1367 GARDINER WTPK KY 40213,111 - Building fire,,50.0,50,8550000,8549950,177
17-0004687,2017/02/15 05:00:00+00,2707 TAYLOR Louisville KY 40208,111 - Building fire,15000.0,40000.0,55000,80000,25000,178
17-0004879,2017/02/16 05:00:00+00,2216 gerald City of Louisville KY 40218,111 - Building fire,1000.0,3200.0,4200,6000,1800,179
17-0004764,2017/02/16 05:00:00+00,3408 BRECKENRIDGE 1 Louisville KY 40220,111 - Building fire,5000.0,20000.0,25000,408000,383000,180
17-0004879,2017/02/16 05:00:00+00,2216 Gerald City of Louisville KY 40218,111 - Building fire,1000.0,1000.0,2000,6000,4000,181
17-0004879,2017/02/16 05:00:00+00,2216 GERALD Louisville KY 40218,161 - Outside storage fire,1000.0,6000.0,7000,6000,-1000,182
17-0004947,2017/02/17 05:00:00+00,5202 PRESTON Louisville KY 40213,111 - Building fire,,500.0,500,200000,199500,183
17-0005075,2017/02/18 05:00:00+00,3510 W MAIN Louisville KY 40212,111 - Building fire,,1000.0,1000,35000,34000,184
17-0005008,2017/02/18 05:00:00+00,320 ARMSTRONG Louisville KY 40208,"480 - Attempted burning, illegal action, other",800.0,0.0,800,200000,199200,185
17-0005032,2017/02/18 05:00:00+00,840 RIVER CREST Louisville KY 40206,131 - Passenger vehicle fire,,1200.0,1200,1200,0,186
17-0005121,2017/02/19 05:00:00+00,4135 W BROADWAY Louisville KY 40211,111 - Building fire,10000.0,33000.0,43000,66160,23160,187
17-0005125,2017/02/19 05:00:00+00,I 264 East City of Louisville KY 40220,131 - Passenger vehicle fire,0.0,1500.0,1500,1500,0,188
17-0005261,2017/02/20 05:00:00+00,67 COLLEGE Louisville KY 40203,"130 - Mobile property (vehicle) fire, other",200.0,2000.0,2200,2000,-200,189
17-0005389,2017/02/21 05:00:00+00,I-264 East City of Louisville KY 40218,131 - Passenger vehicle fire,0.0,1500.0,1500,4000,2500,190
17-0005625,2017/02/23 05:00:00+00,1719 THERESA SHV KY 40216,111 - Building fire,20000.0,10000.0,30000,20000,-10000,191
17-0005700,2017/02/24 05:00:00+00,1110 RED FOX Louisville KY 40205,"140 - Natural vegetation fire, other",,100.0,100,1184540,1184440,192
17-0005715,2017/02/24 05:00:00+00,2700 FRANKFORT Louisville KY 40206,131 - Passenger vehicle fire,,1000.0,1000,12000,11000,193
17-0005735,2017/02/24 05:00:00+00,4800BLK S 5TH Louisville KY 40214,131 - Passenger vehicle fire,,4000.0,4000,4000,0,194
17-0005975,2017/02/26 05:00:00+00,801 S 42nd City of Louisville KY 40211,111 - Building fire,,100.0,100,1000,900,195
17-0006017,2017/02/27 05:00:00+00,1779 W HILL Louisville KY 40210,111 - Building fire,,5000.0,5000,16250,11250,196
17-0006302,2017/03/01 05:00:00+00,1224 W ASHLAND Louisville KY 40215,"113 - Cooking fire, confined to container",500.0,0.0,500,95000,94500,197
17-0006422,2017/03/02 05:00:00+00,2104 DAVID GRAVES City of Louisville KY 40218,111 - Building fire,500.0,,500,500,0,198
