County,District,School_Name,Program,Application_Number,Applicant,Preliminary_Grant_Application,Full_Grant_Application,Site_and_Design_Application,Site_Only_Application,Design_Only_Application,Environmental_Hardship_Application,Reduced_to_Costs_Incurred,Number_of_Elementary_School_Pupil_Grants_Requested,Number_of_Middle_School_Pupil_Grants_Requested,Number_of_High_School_Pupil_Grants_Requested,Number_of_Non_Severe_School_Pupil_Grants_Requested,Number_of_Severe_School_Pupil_Grants_Requested,Grade_Level_of_Project,State_Share_of_Funding,Site_Acquisition,Financial_Hardship,CSFA_Lease_Amount,CTEFP_Loan_Amount,Type_of_Joint_Use_Facility,Type_of_Joint_Use_Partner,Industry_Sector,Portables_Replaced,Last_SAB_Date,Status
Shasta,Grant Elementary,Grant Elementary Addition,New Construction,50/70003-00-001,,,4104898.4,143931.6,,324692.0,,,203.0,101.0,,,,EL,6311181.0,382500.0,7026885.0,,,,,,,12/18/2002,Closed
Shasta,Grant Elementary,Grant Elementary,New Construction,50/70003-00-002,,,1121362.0,,,91135.0,,,46.0,,,,,EL,1293752.0,,1131242.0,,,,,,,12/14/2011,Closed
Shasta,Grant Elementary,Grant Elementary,New Construction,50/70003-00-003,,,,,,4113.0,,RCI,94.0,26.0,,,3.0,EL,4390.0,,3836.0,,,,,,,1/25/2017,2% Completed
Shasta,Millville Elementary,Millville Elementary,New Construction,50/70052-00-001,,,106364.0,,,,,,9.0,,,,,EL,106364.0,,,,,,,,,12/10/2008,Closed
Shasta,Millville Elementary,Millville Elementary,New Construction,50/70052-00-002,,,1006208.0,,,,,,,27.0,,,,EL,511118.0,,495090.0,,,,,,,10/27/2021,70% Completed
Shasta,North Cow Creek Elementary,North Cow Creek Elementary,New Construction,50/70078-00-001,,,,,,280660.0,,,50.0,,,,,EL,479490.0,,362490.0,,,,,,,8/23/2023,Funds Released
Shasta,Pacheco Union Elementary,Prairie Elementary,New Construction,50/70094-00-001,,,482488.0,,,,,,45.0,,,,,EL,482488.0,,,,,,,,,7/10/2013,Closed
Shasta,Pacheco Union Elementary,Pacheco Elementary,New Construction,50/70094-00-002,,,967776.0,,,,,,65.0,26.0,,,,EL,967776.0,,,,,,,,,7/10/2013,Closed
Shasta,Redding Elementary,Sequoia Middle,New Construction,50/70110-00-001,,,1406071.0,,,,,,,159.0,,28.0,,MI,2812142.0,,,,,,,,,8/27/2003,Closed
Shasta,Redding Elementary,Manzanita Elementary,New Construction,50/70110-00-002,,,131307.0,,,,,,19.0,,,,,EL,131307.0,,,,,,,,,10/26/2005,Closed
Shasta,Redding Elementary,Turtle Bay,New Construction,50/70110-00-003,,,62265.0,,,,,,6.0,,,,,EL,62265.0,,,,,,,,,7/27/2005,Closed
Shasta,Redding Elementary,Turtle Bay,New Construction,50/70110-00-004,,,82243.0,,,,,,9.0,,,,,EL,82243.0,,,,,,,,,12/15/2005,Closed
Shasta,Redding Elementary,Sequoia Middle,New Construction,50/70110-00-005,,,885618.0,,,,,,21.0,87.0,,,,MI,885618.0,,,,,,,,,3/22/2006,Closed
Shasta,Shasta Union High,Foothill High,New Construction,50/70136-01-001,,,9747838.0,,,,,,,,630.0,,,HI,14621757.0,,14621757.0,,,,,,,4/28/1999,Closed
Shasta,Shasta Union High,Foothill High,New Construction,50/70136-01-002,,,706304.0,,,,,,,,77.0,,,HI,706304.0,,,,,,,,,8/27/2003,Closed
Shasta,Shasta Union High,Foothill High,New Construction,50/70136-01-003,,,2061135.0,,,,,,,,237.0,,,HI,4122270.0,,,,,,,,,3/30/2005,Closed
Shasta,Shasta Union High,Foothill High,New Construction,50/70136-01-004,,,221850.0,,,,,,,,28.0,,,HI,405082.24,,,,,,,,,10/25/2006,Closed
Shasta,Shasta Union High,Foothill High,New Construction,50/70136-01-005,,,1447513.0,,,,,,,,145.0,,,HI,1447513.0,,,,,,,,,7/27/2005,Closed
Shasta,Shasta Union High,Enterprise High,New Construction,50/70136-02-002,,,2148016.0,,,,,,,,220.0,,,HI,2148016.0,,,,,,,,,3/30/2005,Closed
Shasta,Shasta Union High,Enterprise High,New Construction,50/70136-02-003,,,441464.0,,,,,,,,33.0,,,HI,1765856.0,,,,,,,,,5/3/2005,Closed
Sierra,Sierra-plumas Joint Unified,Downieville Junior-senior High,New Construction,50/70177-00-001,,,907669.0,,,,,,,73.0,,,,MI,907669.0,,,,,,,,,12/18/2002,Closed
Siskiyou,Butteville Union Elementary,Butteville Elementary,New Construction,50/70201-00-001,,,574116.0,,,,,,66.0,9.0,,,,EL,574116.0,,,,,,,,,12/18/2002,Closed
Siskiyou,Grenada Elementary,Grenada Elementary,New Construction,50/70326-00-002,,,343924.0,,,,,,50.0,,,,,EL,343924.0,,,,,,,,,4/28/2004,Closed
Siskiyou,Junction Elementary,Junction Elementary,New Construction,50/70367-00-003,,,,,,13208.0,,RCI,32.0,7.0,,,,EL,13208.0,,,,,,,,,8/22/2001,Closed
Solano,Benicia Unified,Benicia High,New Construction,50/70524-00-001,,,7316967.0,,,,,,829.0,86.0,,32.0,9.0,EL,14633934.0,,,,,,,,,2/23/2005,Closed
Solano,Dixon Unified,Gretchen Higgins Elementary,New Construction,50/70532-00-001,,,4671369.0,,,,,,675.0,,,,,EL,4224495.0,446874.0,,,,,,,,1/24/2001,Closed
Solano,Dixon Unified,Dixon High,New Construction,50/70532-00-003,,,36682933.0,,,,,,643.0,472.0,1075.0,33.0,,HI,77257392.0,32791407.0,,,,,,,,10/25/2006,Closed
Solano,Fairfield-suisun Unified,New High School,New Construction,50/70540-00-001,,,19476737.0,,,,,,,,2000.0,,,HI,16079057.0,3397680.0,,,,,,,,7/28/1999,Closed
Solano,Fairfield-suisun Unified,Nelda Mundy (vintage Valley) Elementary,New Construction,50/70540-00-002,,,4716161.0,,,,,,650.0,,,,,EL,8331546.0,1099276.0,,,,,,,,10/27/2004,Closed
Solano,Fairfield-suisun Unified,Crescent Elk Elementary,New Construction,50/70540-00-003,,,5411281.0,,,,,,575.0,,,,,EL,5411281.0,,,,,,,,,2/27/2002,Closed
Solano,Fairfield-suisun Unified,Crescent Elk Elementary,New Construction,50/70540-00-004,,,3024788.0,,,,,,471.0,,,,,EL,3024788.0,,,,,,,,,12/18/2002,Closed
Solano,Fairfield-suisun Unified,Green Valley Middle,New Construction,50/70540-00-005,,,3400564.0,,,,,,,392.0,,13.0,,MI,3400564.0,,,,,,,,,4/23/2003,Closed
Solano,Fairfield-suisun Unified,Lawler Ranch,New Construction,50/70540-00-006,,,7687179.0,,,,,,1080.0,,,,,EL,7177179.0,510000.0,,,,,,,,12/10/2003,Closed
Solano,Fairfield-suisun Unified,Tolenas Elementary,New Construction,50/70540-00-007,,,360206.0,,,,,,50.0,,,,,EL,360206.0,,,,,,,,,3/22/2006,Closed
Solano,Fairfield-suisun Unified,Tolenas Elementary,New Construction,50/70540-00-008,,,284823.0,,,,,,39.0,,,,,EL,284823.0,,,,,,,,,7/27/2005,Closed
Solano,Fairfield-suisun Unified,Sullivan (charles L.) Middle,New Construction,50/70540-00-009,,,1840921.0,,,,,,,248.0,,,,MI,1840921.0,,,,,,,,,7/27/2005,Closed
Solano,Fairfield-suisun Unified,Sheldon (e. Ruth) Elementary,New Construction,50/70540-00-010,,,564767.0,,,,,,75.0,,,,,EL,564767.0,,,,,,,,,3/22/2006,Closed
Solano,Fairfield-suisun Unified,Jones (k. I.) Elementary,New Construction,50/70540-00-011,,,186443.0,,,,,,25.0,,,,,EL,186443.0,,,,,,,,,3/22/2006,Closed
Solano,Fairfield-suisun Unified,Dover Middle,New Construction,50/70540-00-012,,,378077.0,,,,,,,48.0,,,,MI,378077.0,,,,,,,,,7/27/2005,Closed
Solano,Fairfield-suisun Unified,Suisun Elementary,New Construction,50/70540-00-013,,,282456.0,,,,,,37.0,,,,,EL,282456.0,,,,,,,,,7/27/2005,Closed
Solano,Fairfield-suisun Unified,Blanc (amy) Elementary,New Construction,50/70540-00-014,,,392222.0,,,,,,50.0,,,,,EL,392222.0,,,,,,,,,7/27/2005,Closed
Solano,Fairfield-suisun Unified,Gordon (cleo) Elementary,New Construction,50/70540-00-015,,,188690.0,,,,,,25.0,,,,,EL,188690.0,,,,,,,,,3/22/2006,Closed
Solano,Fairfield-suisun Unified,Kyle (anna) Elementary,New Construction,50/70540-00-016,,,1990378.0,,,,,,300.0,,,,,EL,1990378.0,,,,,,,,,7/27/2005,Closed
Solano,Fairfield-suisun Unified,Suisun Valley Elementary,New Construction,50/70540-00-017,,,416193.0,,,,,,18.0,38.0,,,,EL,416193.0,,,,,,,,,7/27/2005,Closed
Solano,Fairfield-suisun Unified,Grange Middle,New Construction,50/70540-00-018,,,2668569.0,,,,,,,315.0,,,,MI,2668569.0,,,,,,,,,2/22/2006,Closed
Solano,Fairfield-suisun Unified,Weir (david A.) Elementary,New Construction,50/70540-00-019,,,9010721.0,,,,,,600.0,,,,27.0,EL,5890721.0,3120000.0,,,,,,,,1/24/2007,Closed
Solano,Fairfield-suisun Unified,Rolling Hills Elementary,New Construction,50/70540-00-020,,,7548503.0,,,,,,575.0,,,,,EL,7522753.0,25750.0,,,,,,,,4/25/2007,Closed
Solano,Fairfield-suisun Unified,Cordelia Hills Elementary,New Construction,50/70540-00-021,,,13250619.0,,,,,,429.0,334.0,,,,EL,21092166.0,5409072.0,,,,,,,,6/25/2008,Closed
Solano,Fairfield-suisun Unified,Suisun Valley Elementary,New Construction,50/70540-00-024,,,1704618.0,,,,,,81.0,,,,,EL,3617295.0,1496559.0,,,,,,,,2/23/2011,Closed
Solano,Fairfield-suisun Unified,Armijo High,New Construction,50/70540-00-025,,,2365518.0,,,,,,,,154.0,,,HI,2365518.0,,,,,,,,,12/14/2011,Closed
Solano,Fairfield-suisun Unified,Public Safety Academy,New Construction,50/70540-00-026,,,1563012.0,,,,,,75.0,,,,,EL,1563012.0,,,,,,,,,5/27/2020,99% Completed
Solano,Fairfield-suisun Unified,Public Safety Academy,New Construction,50/70540-00-027,,,5533642.0,,,,,,269.0,,,,,HI,5533642.0,,,,,,,,,10/27/2021,89% Completed
Solano,Fairfield-suisun Unified,Grange Middle School,New Construction,50/70540-00-028,,,3288966.0,,,,,,186.0,,,,,MI,3288966.0,,,,,,,,,4/27/2022,Funds Released
Solano,Fairfield-suisun Unified,Fairview Elementary,New Construction,50/70540-00-029,,,2723145.0,,,,,,132.0,,,,,EL,2723145.0,,,,,,,,,4/27/2022,Funds Released
Solano,Fairfield-suisun Unified,Sheldon (e. Ruth) Elementary,New Construction,50/70540-00-031,,,2757977.0,,,,,,101.0,,,,,EL,2757977.0,,,,,,,,,4/26/2023,Funds Released
Solano,Fairfield-suisun Unified,Suisun Valley Elementary,New Construction,50/70540-00-032,,,491566.0,,,,,,6.0,,,,,EL,491566.0,,,,,,,,,6/28/2023,Apportioned
Solano,Travis Unified,Vanden High,New Construction,50/70565-00-001,,,8842299.0,,,,,,,,756.0,,,HI,8842299.0,,,,,,,,,3/28/2007,Closed
Solano,Vacaville Unified,Wood (will C.) High,New Construction,50/70573-00-001,,,6578744.0,,,,,,,,432.0,,,HI,6578744.0,,,,,,,,,4/28/2010,Closed
Sonoma,Alexander Valley Union Elementary,Alexander Valley Union Elementary,New Construction,50/70599-00-001,,,468775.0,,,,,,26.0,,,,,EL,468775.0,,,,,,,,,8/22/2007,Closed
Sonoma,West Sonoma County Union High,El Molino High,New Construction,50/70607-00-001,,,1830132.0,,,,,,,,243.0,,,HI,3657540.44,,,,,,,,,4/28/2004,Closed
Sonoma,West Sonoma County Union High,El Molino High,New Construction,50/70607-00-002,,,360701.0,,,,,,,,43.0,,,HI,721402.0,,,,,,,,,7/28/1999,Closed
Sonoma,West Sonoma County Union High,Analy High,New Construction,50/70607-00-003,,,904443.0,,,,,,,,104.0,,,HI,1808886.0,,,,,,,,,1/26/2000,Closed
Sonoma,West Sonoma County Union High,El Molino High,New Construction,50/70607-00-004,,,1128342.0,,,,,,,,135.0,,,HI,2256684.0,,,,,,,,,2/23/2005,Closed
Sonoma,West Sonoma County Union High,Analy High,New Construction,50/70607-00-005,,,1626399.0,,,,,,,,189.0,,,HI,1626399.0,,,,,,,,,12/18/2002,Closed
Sonoma,Bellevue Union Elementary,Taylor Mountain,New Construction,50/70615-00-001,,,4837539.0,,,,,,583.0,,,13.0,,EL,4395409.0,442130.0,,,,,,,,2/23/2005,Closed
Sonoma,Forestville Union Elementary,Forestville Elementary,New Construction,50/70680-00-001,,,654996.0,,,,,,56.0,,,20.0,,EL,654996.0,,,,,,,,,12/18/2002,Closed
Sonoma,Horicon Elementary,Horicon Elementary,New Construction,50/70763-00-001,,,670930.0,,,,,,,,,,,EL,670930.0,,,,,,,,,4/24/2002,Closed
Sonoma,Horicon Elementary,Horicon Elementary,New Construction,50/70763-00-002,,,321582.0,,,,,,,23.0,,,,EL,296582.0,25000.0,,,,,,,,12/18/2002,Closed
Sonoma,Mark West Union,John B. Riebli Elementary,New Construction,50/70805-00-001,,,2350653.0,,,,,,250.0,,,,,EL,2350653.0,,,,,,,,,4/28/2010,Closed
Sonoma,Oak Grove Union Elementary,Willowside Middle,New Construction,50/70839-00-001,,,299781.0,,,,,,,27.0,,,,MI,599562.0,,,,,,,,,6/25/2008,Closed
Sonoma,Oak Grove Union Elementary,Oak Grove Elementary,New Construction,50/70839-00-002,,,679176.0,,,,,,16.0,34.0,,,,EL,5433408.0,,,,,,,,,12/15/2010,Closed
Sonoma,Petaluma Joint Union High,Casa Grande High,New Construction,50/70862-00-001,,,1479239.0,,,,,,,,137.0,4.0,,HI,1479239.0,,,,,,,,,5/24/2006,Closed
Sonoma,Piner-olivet Union Elementary,Jack London Elementary,New Construction,50/70870-00-001,,,9887101.39,,,,,,803.0,,,28.0,,EL,20181336.0,2322855.0,7152829.17,,,,,,,5/28/2008,Closed
Sonoma,Roseland Elementary,Roseland Creek Elementary,New Construction,50/70904-00-001,,,18809594.0,6427464.81,,2322413.0,,,725.0,,,24.0,,EL,274445685.0,115247529.0,345322947.87,,,,,,,10/26/2022,Closed
Sonoma,Santa Rosa Elementary,Hidden Valley Elementary,New Construction,50/70912-00-001,,,1193565.0,,,,,,125.0,,,,,EL,1193565.0,,,,,,,,,10/24/2007,Closed
Sonoma,Santa Rosa High,Slater (herbert) Junior High,New Construction,50/70920-00-001,,,307398.0,,,,,,,,,,12.0,MI,307398.0,,,,,,,,,12/15/2005,Closed
Sonoma,Sebastopol Union Elementary,Park Side Elementary,New Construction,50/70938-00-001,,,1326639.0,,,,,,235.0,,,,,EL,1326639.0,,,,,,,,,7/28/1999,Closed
Sonoma,Sebastopol Union Elementary,Brook Haven Middle,New Construction,50/70938-00-002,,,6004777.0,,,183052.0,,,,351.0,,,,MI,18687684.0,,18439290.0,,,,,,,9/27/2000,Closed
Sonoma,Sebastopol Union Elementary,Brook Haven Middle,New Construction,50/70938-00-003,,,955176.0,,,,,,,54.0,,,,MI,955176.0,,955176.0,,,,,,,3/22/2000,Closed
Sonoma,Sonoma Valley Unified,Sonoma Valley High,New Construction,50/70953-00-001,,,2072479.0,,,,,,,100.0,134.0,29.0,,HI,2072479.0,,,,,,,,,12/18/2002,Closed
Sonoma,Sonoma Valley Unified,Sonoma Charter (middle),New Construction,50/70953-00-002,,,880322.0,,,,,,,54.0,,,,MI,2379945.0,246726.0,,,,,,,,5/27/2015,Closed
Sonoma,Waugh Elementary,Corona Creek Elementary,New Construction,50/70995-00-001,,,220749.0,,,,,,37.0,,,,,EL,220749.0,,,,,,,,,8/25/1999,Closed
Sonoma,Waugh Elementary,Meadow Elementary,New Construction,50/70995-00-002,,,206183.0,,,,,,35.0,,,,,EL,206183.0,,,,,,,,,8/25/1999,Closed
Sonoma,West Side Union Elementary,West Side Elementary,New Construction,50/71001-00-001,,,1460320.0,,,150857.0,,,75.0,,,,,EL,2458125.0,,2375406.0,,,,,,,3/28/2007,Closed
Sonoma,Wright Elementary,950 S. Wright Road,New Construction,50/71035-00-001,,,,,3244509.15,,,RCI,467.0,,,12.0,,EL,0.0,9733527.45,,,,,,,,10/26/2022,95% Completed
Stanislaus,Ceres Unified,Central Valley High,New Construction,50/71043-00-001,,,20138685.4,,,,,,,,1701.0,,,HI,36542368.8,3735002.0,,,,,,,,8/27/2003,Closed
Stanislaus,Ceres Unified,Sinclear Elementary,New Construction,50/71043-00-002,,,6924953.13,,,,,,489.0,,,,,EL,6875074.0,,6974832.26,,,,,,,8/25/2004,Closed
Stanislaus,Ceres Unified,M. Robert Adkison Elementary,New Construction,50/71043-00-003,,,10385277.63,2519700.0,,1090501.51,,,584.0,,,33.0,13.0,EL,37751959.0,11637650.29,48578744.69,,,,,,,12/6/2006,Closed
Stanislaus,Ceres Unified,La Rosa Elementary,New Construction,50/71043-00-004,,,11930368.21,1134930.0,,1106489.48,,,584.0,,,33.0,13.0,EL,34607070.0,8195950.68,42227705.46,,,,,,,5/25/2005,Closed
Stanislaus,Ceres Unified,South West Elementary,New Construction,50/71043-00-005,,,9864450.0,1705396.85,,,,,584.0,,,32.0,12.0,EL,22002456.0,1729176.0,22547755.4,,,,,,,5/3/2005,Closed
Stanislaus,Ceres Unified,East Elementary,New Construction,50/71043-00-006,,,9931015.04,1292209.0,,,,,584.0,,,33.0,13.0,EL,22206724.0,1015568.0,21670604.16,,,,,,,5/3/2005,Closed
Stanislaus,Ceres Unified,West Elementary Expansion,New Construction,50/71043-00-007,,,2137468.0,,,,,,96.0,,,32.0,,EL,2137468.0,,2137468.0,,,,,,,2/23/2005,Closed
Stanislaus,Ceres Unified,Blaker/kinser Jr. High,New Construction,50/71043-00-008,,,1763755.14,,,491689.0,,,,162.0,,,,MI,2256120.0,,2254768.28,,,,,,,2/23/2005,Closed
Stanislaus,Ceres Unified,Ceres High,New Construction,50/71043-00-009,,,4676602.0,,,,,,,,270.0,,,HI,2338301.0,,2338301.0,,,,,,,2/23/2005,Closed
Stanislaus,Ceres Unified,Ceres Junior High,New Construction,50/71043-00-010,,,14399406.0,,,,,,,856.0,,26.0,9.0,MI,38856963.0,4345755.0,,,,,,,,8/23/2017,Closed
Stanislaus,Ceres Unified,Lucas Elementary,New Construction,50/71043-00-011,,,10560924.0,,,1217034.0,,,300.0,,,26.0,,EL,21516120.0,7892591.55,28876941.55,,,,,,,2/28/2018,Closed
Stanislaus,Ceres Unified,Walt L. Hanline Elementary,New Construction,50/71043-00-012,,,16353944.0,910226.0,,2880042.0,,,750.0,,,26.0,,EL,45937475.0,3890137.75,49258862.75,,,,,,,4/25/2018,Closed
Stanislaus,Ceres Unified,Argus High,New Construction,50/71043-00-013,,,1576862.0,,,,,,,,108.0,,,HI,3153724.0,,,,,,,,,12/15/2010,Closed
Stanislaus,Ceres Unified,Walter White Elementary,New Construction,50/71043-00-015,,,1623135.0,,,,,,100.0,,,26.0,,EL,3246270.0,,,,,,,,,12/15/2010,Closed
Stanislaus,Ceres Unified,M. Robert Adkison Elementary,New Construction,50/71043-00-016,,,787354.0,,,,,,25.0,,,13.0,9.0,EL,1574708.0,,,,,,,,,12/15/2010,Closed
Stanislaus,Ceres Unified,Virginia Park Elementary,New Construction,50/71043-00-017,,,821424.0,,,,,,50.0,,,13.0,,EL,1642848.0,,,,,,,,,12/15/2010,Closed
Stanislaus,Ceres Unified,Sinclear Elementary,New Construction,50/71043-00-018,,,823370.0,,,,,,75.0,,,,,EL,1646740.0,,,,,,,,,12/15/2010,Closed
Stanislaus,Ceres Unified,La Rosa Elementary,New Construction,50/71043-00-019,,,781696.0,,,,,,75.0,,,,,EL,1563392.0,,,,,,,,,12/15/2010,Closed
Stanislaus,Ceres Unified,La Rosa Elementary,New Construction,50/71043-00-022,,,838635.0,,,,,,25.0,,,,18.0,EL,1677270.0,,,,,,,,,12/15/2010,Closed
Stanislaus,Ceres Unified,Caswell Elementary,New Construction,50/71043-00-025,,,2597770.0,,,,,,225.0,,,13.0,,EL,2597770.0,,,,,,,,,12/12/2012,Closed
Stanislaus,Ceres Unified,Don Pedro Elementary,New Construction,50/71043-00-027,,,810051.0,,,,,,50.0,,,13.0,,EL,1620102.0,,,,,,,,,12/15/2010,Closed
Stanislaus,Ceres Unified,Ceres High,New Construction,50/71043-00-028,,,2692575.0,,,,,,,,216.0,,,HI,5385150.0,,,,,,,,,12/15/2010,Closed
Stanislaus,Ceres Unified,Central Valley High,New Construction,50/71043-00-029,,,5333663.0,,,,,,,,432.0,,,HI,10667326.0,,,,,,,,,12/15/2010,Closed
Stanislaus,Ceres Unified,Elementary 15,New Construction,50/71043-00-030,,,18953788.0,,,3269423.0,,,627.0,72.0,,,69.0,EL,42701131.24,1916796.0,44210531.24,,,,,,,2/28/2018,Closed
Stanislaus,Ceres Unified,Lucas Elementary,New Construction,50/71043-00-031,,,7358775.0,,,,,,300.0,,,,,EL,32202720.0,,32202720.0,,,,,,,10/26/2022,Closed
Stanislaus,Ceres Unified,Lucas Elementary Phase 3,New Construction,50/71043-00-032,,,5328933.0,,,,,,250.0,,,,,EL,23870952.0,,22582656.0,,,,,,,10/26/2022,Closed
Stanislaus,Ceres Unified,Central Valley High,New Construction,50/71043-00-034,,,2184128.0,,,,,,,,108.0,,,HI,2184128.0,,,,,,,,,10/27/2021,100% Completed
Stanislaus,Ceres Unified,Caswell Elementary,New Construction,50/71043-00-035,,,1820416.0,,,,,,,,68.0,,,EL,1820416.0,,,,,,,,,2/22/2023,Funds Released
Stanislaus,Denair Unified,Denair High,New Construction,50/71068-00-002,,,1949912.0,,,,,,,,135.0,,,HI,5796042.0,,,,,,,,,4/26/2006,Closed
Stanislaus,Denair Unified,Denair High,New Construction,50/71068-00-003,,,256518.0,,,,,,,,27.0,,,HI,256518.0,,,,,,,,,12/10/2003,Closed
Stanislaus,Denair Unified,Denair Elementary,New Construction,50/71068-00-004,,,1164245.0,,,,,,150.0,,,,,EL,1164245.0,,,,,,,,,6/22/2005,Closed
Stanislaus,Denair Unified,Denair Elementary,New Construction,50/71068-00-005,,,1671448.0,,,,,,75.0,,,,,EL,1760170.0,,1582726.0,,,,,,,6/25/2008,Closed
Stanislaus,Denair Unified,Denair Middle,New Construction,50/71068-00-006,,,13272674.0,,,,,,213.0,104.0,115.0,12.0,,MI,62930608.0,262024.0,43000760.0,,,,,,,10/14/2013,Closed
Stanislaus,Empire Union Elementary,Norman Glick Middle,New Construction,50/71076-00-001,,,4527684.0,,,,,,224.0,262.0,,,,MI,8400452.0,721889.18,,,,,,,,9/22/2004,Closed
Stanislaus,Gratton Elementary,Gratton Elementary,New Construction,50/71084-00-001,,,1687320.0,,,271984.75,,,75.0,,,,,EL,2776392.0,243939.0,2857583.25,,,,,,,12/14/2011,Closed
Stanislaus,Hart-ransom Union Elementary,Hart-ransom Elementary,New Construction,50/71092-00-001,,,4090633.0,,,,,,299.0,,,,,EL,3957263.0,133370.0,,,,,,,,4/28/2010,Closed
Stanislaus,Keyes Union Elementary,Keyes Elementary,New Construction,50/71134-00-001,,,2128252.0,,,,,,183.0,,,,,EL,4256504.0,,,,,,,,,8/4/2010,Closed
Stanislaus,Modesto City High,Modesto City High,New Construction,50/71175-00-001,,,5034496.0,,,,,,,,459.0,,,HI,5034496.0,,,,,,,,,12/18/2002,Closed
Stanislaus,Modesto City High,James C. Enochs High,New Construction,50/71175-00-002,,,29534940.0,,,,,,,,2206.0,117.0,,HI,109881948.0,8257812.0,,,,,,,,5/3/2005,Closed
Stanislaus,Modesto City High,Gregori High -severe Classroom Addition,New Construction,50/71175-00-004,,,1152906.0,,,,,,,,,,27.0,HI,1152906.0,,,,,,,,,4/23/2008,Closed
Stanislaus,Patterson Joint Unified,New Middle School,New Construction,50/71217-00-001,,,8925436.0,,,810487.0,,,1177.0,183.0,,,,MI,34915428.0,3300960.0,738652.0,,,,,,,4/26/2006,100% Completed
Stanislaus,Patterson Joint Unified,Apricot Valley,New Construction,50/71217-00-002,,,6874290.0,,,,,,674.0,151.0,,13.0,,EL,12059044.0,1689536.0,,,,,,,,6/28/2006,Closed
Stanislaus,Patterson Joint Unified,Northmead Elementary,New Construction,50/71217-00-003,,,914166.0,,,,,,,17.0,83.0,,,EL,1828332.0,,,,,,,,,12/8/2004,Closed
Stanislaus,Patterson Joint Unified,Las Palmas Elementary,New Construction,50/71217-00-004,,,735235.0,,,,,,,100.0,,,,EL,735235.0,,,,,,,,,12/8/2004,Closed
Stanislaus,Patterson Joint Unified,Walnut Grove Middle School,New Construction,50/71217-00-005,,,11159770.0,,,,,,359.0,30.0,198.0,65.0,,MI,15635134.0,6663614.0,,,,,,,,8/26/2015,Closed
Stanislaus,Patterson Joint Unified,Patterson High,New Construction,50/71217-00-006,,,494117.0,,,,,,,,39.0,,,HI,494117.0,,,,,,,,,12/12/2007,Closed
Stanislaus,Patterson Joint Unified,Creekside Middle,New Construction,50/71217-00-007,,,525291.0,,,,,,,56.0,,,,MI,525291.0,,,,,,,,,12/12/2007,Closed
Stanislaus,Patterson Joint Unified,Patterson High,New Construction,50/71217-00-008,,,475046.0,,,,,,,,35.0,,,HI,950092.0,,,,,,,,,6/25/2008,Closed
Stanislaus,Patterson Joint Unified,Patterson High,New Construction,50/71217-00-009,,,349758.0,,,,,,,,20.0,,,HI,349758.0,,,,,,,,,10/24/2018,100% Completed
Stanislaus,Roberts Ferry Union Elementary,Roberts Ferry Union Elementary,New Construction,50/71233-00-001,,,2705667.0,,,,,,,27.0,,,,MI,1389717.0,,1315950.0,,,,,,,12/14/2011,Closed
Stanislaus,Roberts Ferry Union Elementary,Roberts Ferry Union Elementary,New Construction,50/71233-00-002,,,,,,1141880.0,,,190.0,39.0,,,,EL,584041.0,,557839.0,,,,,,,4/27/2022,Funds Released
Stanislaus,Salida Union,Salida Middle/vella Campus,New Construction,50/71266-00-002,,,8634935.0,,,,,,484.0,800.0,,,,MI,16673870.0,596000.0,,,,,,,,4/26/2000,Closed
Stanislaus,Salida Union,Dena Boer Elementary,New Construction,50/71266-00-003,,,2548413.0,,,,,,479.0,,,,,EL,2548413.0,,,,,,,,,4/26/2000,Closed
Stanislaus,Salida Union,Salida Middle/vella Campus,New Construction,50/71266-00-004,,,2173159.0,,,,,,76.0,257.0,,13.0,,MI,2173159.0,,,,,,,,,12/18/2002,Closed
Stanislaus,Shiloh Elementary,Shiloh Elementary,New Construction,50/71274-00-001,,,4484052.0,795753.0,,,,,121.0,16.0,,,,EL,20336632.0,811312.0,21090496.0,,,,,,,5/27/2020,99% Completed
Stanislaus,Stanislaus Union Elementary,Mary Lou Dieterich Elementary,New Construction,50/71282-00-001,,,3223029.0,,,,,,414.0,,,,,EL,3090844.0,132185.0,,,,,,,,9/24/2003,Closed
Stanislaus,Stanislaus Union Elementary,Prescott Senior Elementary,New Construction,50/71282-00-002,,,1850572.0,,,,,,138.0,,,,,MI,1850572.0,,,,,,,,,12/14/2011,Closed
Stanislaus,Sylvan Union Elementary,Sylvan Elementary,New Construction,50/71290-00-001,,,5334080.0,,,,,,780.0,,,,,EL,10557847.0,,,,,,,,,1/25/2006,Closed
Stanislaus,Sylvan Union Elementary,Mary Ann Sanders Elementary,New Construction,50/71290-00-002,,,7270514.0,,,,,,650.0,,,13.0,9.0,EL,27888900.0,1193156.0,,,,,,,,1/24/2007,Closed
Stanislaus,Sylvan Union Elementary,Daniel J. Savage Middle,New Construction,50/71290-00-003,,,14450677.0,,,,,,,758.0,,26.0,18.0,MI,39535000.0,18267708.0,,,,,,,,1/24/2007,Closed
Stanislaus,Sylvan Union Elementary,Crossroads Elementary,New Construction,50/71290-00-004,,,6587555.0,,,,,,401.0,,,12.0,18.0,EL,20966536.0,5383684.0,,,,,,,,1/24/2007,Closed
Stanislaus,Valley Home Joint Elementary,Valley Home Elementary,New Construction,50/71324-00-001,,,119298.0,,,,,,5.0,1.0,,,,EL,119298.0,,,,,,,,,2/22/2006,Closed
