CHAMBER OF COMMERCE,ADDRESS,CITY,STATE,ZIP,PHONE,LONGITUDE,LATITUDE,Location
CHECOTAH CHAMBER OF COMMERCE,201 N BROADWAY ST,CHECOTAH,OK,74426,(918) 473-2070,-95.522484,35.471156,"(35.471156, -95.522484)"
EUFAULA AREA CHAMBER OF COMMERCE,321 N MAIN ST,EUFAULA,OK,74432,(918) 689-2791,-95.582567,35.288435,"(35.288435, -95.582567)"
CHOUTEAU CHAMBER OF COMMERCE,50 E MAIN ST,LOCUST GROVE,OK,74352,(918) 476-8222,-95.168423,36.199902,"(36.199902, -95.168423)"
ARNETT CHAMBER OF COMMERCE,219 E RENFROW,ARNETT,OK,73832,(580) 885-7535,-99.778024,36.13489,"(36.13489, -99.778024)"
HINTON ECONOMIC DEVELOPMENT,PO BOX 519,HINTON,OK,73047,(405) 542-3323,-98.29791,35.463941,"(35.463941, -98.29791)"
CHAMBERS OF COMMERCE,8515 MAIN ST,SPENCER,OK,73084,(405) 771-9933,-97.379412,35.52284,"(35.52284, -97.379412)"
CHAMBER OF COMMERCE,PO BOX 48,HINTON,OK,73047,(405) 542-6428,-98.29791,35.463941,"(35.463941, -98.29791)"
WEATHERFORD AREA CHAMBER OF COMMERCE,PO BOX 857,WEATHERFORD,OK,73096,(580) 772-7744,-98.706599,35.53886,"(35.53886, -98.706599)"
CHAMBER OF COMMERCE,112 E PAUL AVE,PAULS VALLEY,OK,73075,(405) 238-6491,-97.219494,34.740706,"(34.740706, -97.219494)"
CACHE CHAMBER OF COMMERCE,416 W C AVE,CACHE,OK,73527,(580) 429-4534,-98.628123,34.628558,"(34.628558, -98.628123)"
CHAMBER OF COMMERCE OFFICE,107 N MAIN ST,LINDSAY,OK,73052,(405) 756-4312,-97.602594,34.837116,"(34.837116, -97.602594)"
PUSHMATAHA COUNTY CHAMBER OF COMMERCE FAX LINE,119 W MAIN ST,ANTLERS,OK,74523,(580) 298-5770,-95.620839,34.231061,"(34.231061, -95.620839)"
IDABEL CHAMBER OF COMMERCE & AGRICULTURE,7 NW TEXAS ST,IDABEL,OK,74745,(580) 286-3305,-94.828597,33.893693,"(33.893693, -94.828597)"
SHIDLER CITY OF,351 CANTON AVE,SHIDLER,OK,74652,(918) 793-4171,-96.709696,36.807304,"(36.807304, -96.709696)"
WILSON CHAMBER OF COMMERCE,1108 US HIGHWAY 70A,WILSON,OK,73463,(580) 668-2103,-97.419664,34.163884,"(34.163884, -97.419664)"
PUSHMATAHA COUNTY CHAMBER OF COMMERCE,119 W MAIN ST,ANTLERS,OK,74523,(580) 298-2488,-95.620839,34.231061,"(34.231061, -95.620839)"
NEWCASTLE CHAMBER OF COMMERCE,820 N MAIN ST,NEWCASTLE,OK,73065,(405) 387-3232,-97.59997,35.254983,"(35.254983, -97.59997)"
THOMAS AREA CHAMBER OF COMMERCE,122 W BROADWAY AVE,THOMAS,OK,73669,(580) 661-3685,-98.752559,35.74392,"(35.74392, -98.752559)"
GREATER OKLAHOMA CITY HISPANIC CHAMBER OF COMMERCE,309 SW 59TH ST,OKLAHOMA CITY,OK,73109,(405) 616-5031,-97.517505,35.406263,"(35.406263, -97.517505)"
GREATER OKLAHOMA CITY HISPANIC CHAMBER OF COMMERCE,309 SW 59TH ST,OKLAHOMA CITY,OK,73109,(405) 601-6842,-97.517505,35.406263,"(35.406263, -97.517505)"
CHAMBER OF COMMERCE,302 W MAIN ST STE 106,PURCELL,OK,73080,(405) 527-6331,-97.362897,35.012156,"(35.012156, -97.362897)"
CIMARRON CO CHAMBER OF COMMERCE,6 NE SQ,BOISE CITY,OK,73933,(580) 544-3344,-102.512349,36.72969,"(36.72969, -102.512349)"
CHAMBER OF COMMERCE,FAX 822 3008,OKEENE,OK,73763,(580) 822-3005,-98.317064,36.10932,"(36.10932, -98.317064)"
WEATHERFORD AREA CHAMBER OF COMMERCE,522 W RAINEY AVE,WEATHERFORD,OK,73096,(580) 772-7744,-98.713474,35.524834,"(35.524834, -98.713474)"
CHAMBER OF COMMERCE,260 N 2ND ST,FAIRFAX,OK,74637,(918) 642-5266,-96.702703,36.572848,"(36.572848, -96.702703)"
MOUNDS CHAMBER OF COMMERCE,1313 COMMERCIAL AVE,MOUNDS,OK,74047,(918) 827-2900,-96.060545,35.876811,"(35.876811, -96.060545)"
CHAMBERS OF COMMERCE,110 E COMMERCIAL,HASKELL,OK,74436,(918) 482-1245,-95.687382,35.818416,"(35.818416, -95.687382)"
HASKELL CHAMBER OF COMMERCE,110 E COMMERCIAL ST,BROKEN ARROW,OK,74012,(918) 482-1245,-95.790558,36.051486,"(36.051486, -95.790558)"
CHAMBER OF COMMERCE,16 N DALTON,VALLIANT,OK,74764,(580) 933-5050,-95.06943,33.998411,"(33.998411, -95.06943)"
CHAMBER OF COMMERCE,16 N DALTON,VALLIANT,OK,74764,(580) 933-5050,-95.06943,33.998411,"(33.998411, -95.06943)"
GREATER TULSA HISPANIC CHAMBER OF COMMERCE,10802 E 31ST ST,TULSA,OK,74146,(918) 664-5326,-95.856264,36.118774,"(36.118774, -95.856264)"
CHOCTAW CHAMBER OF COMMERCE,2437 MAIN ST,CHOCTAW,OK,73020,(405) 390-3303,-97.271154,35.493714,"(35.493714, -97.271154)"
EL RENO CHAMBER OF COMMERCE,206 N BICKFORD AVE,EL RENO,OK,73036,(405) 262-1188,-97.953658,35.534249,"(35.534249, -97.953658)"
YUKON CHAMBER OF COMMERCE,510 ELM AVE,YUKON,OK,73099,(405) 354-3567,-97.750842,35.506645,"(35.506645, -97.750842)"
LAWTON INDUSTRIAL FOUNDATION,629 SW C AVE,LAWTON,OK,73501,(580) 355-3541,-98.39735,34.605364,"(34.605364, -98.39735)"
WAYNOKA CHAMBER OF COMMERCE,116 MAIN ST,WAYNOKA,OK,73860,(580) 824-4741,-98.880013,36.578535,"(36.578535, -98.880013)"
HOOKER CHAMBER OF COMMERCE,PO BOX 989,HOOKER,OK,73945,(580) 652-2809,-101.187735,36.8452,"(36.8452, -101.187735)"
TEXHOMA CHAMBER OF COMMERCE,112 2ND ST,TEXHOMA,OK,73949,(580) 423-7112,-101.783088,36.505104,"(36.505104, -101.783088)"
COLLINSVILLE CHAMBER OF COMMERCE,1023 W MAIN ST,COLLINSVILLE,OK,74021,(918) 371-4703,-95.836938,36.364353,"(36.364353, -95.836938)"
CUSHING CHAMBER OF COMMERCE & INDUSTRY,1301 E MAIN ST,CUSHING,OK,74023,(918) 225-2400,-96.751806,35.984924,"(35.984924, -96.751806)"
CHAMBER OF COMMERCE,300 W MAIN ST,HOMINY,OK,74035,(918) 885-4939,-96.396585,36.415458,"(36.415458, -96.396585)"
PAWNEE CHAMBER OF COMMERCE,613 HARRISON ST,PAWNEE,OK,74058,(918) 762-2108,-96.80429,36.337809,"(36.337809, -96.80429)"
OKMULGEE CHAMBER OF COMMERCE,112 N MORTON AVE,OKMULGEE,OK,74447,(918) 756-6172,-95.972808,35.623414,"(35.623414, -95.972808)"
STIGLER CHAMBER OF COMMERCE,204 E MAIN ST,STIGLER,OK,74462,(918) 967-8681,-95.124351,35.253766,"(35.253766, -95.124351)"
SHIDLER CHAMBER OF COMMERCE,351 N COSDEN AVE,SHIDLER,OK,74652,(918) 793-4171,-96.661334,36.779236,"(36.779236, -96.661334)"
SHAWNEE ECONOMIC DEVELOPMENT FOUNDATION,131 N BELL AVE,SHAWNEE,OK,74801,(405) 273-6092,-96.922011,35.327881,"(35.327881, -96.922011)"
STRATFORD CHAMBER OF COMMERCE,100 S HYDEN,STRATFORD,OK,74872,(580) 759-3300,-96.961919,34.78723,"(34.78723, -96.961919)"
NOBLE CHAMBER OF COMMERCE,114 S MAIN,NOBLE,OK,73068,(405) 872-5535,-97.39484,35.139042,"(35.139042, -97.39484)"
NORTHSIDE CHAMBER OF COMMERCE,910 SW E AVE STE B,LAWTON,OK,73501,(580) 355-9547,-98.401907,34.602784,"(34.602784, -98.401907)"
CHAMBER OF COMMERCE,101 E DEWEY AVE,SAPULPA,OK,74066,(918) 224-0170,-96.112797,35.99871,"(35.99871, -96.112797)"
BROKEN ARROW CHAMBER & DEVELOPMENT AUTHORITY,123 N MAIN ST,BROKEN ARROW,OK,74012,(918) 251-1518,-95.790654,36.052697,"(36.052697, -95.790654)"
GREENWOOD CHAMBER OF COMMERCE,131 N GREENWOOD AVE,TULSA,OK,74120,(918) 585-2084,-95.986093,36.160186,"(36.160186, -95.986093)"
MOORELAND ECONOMIC DEVELOPMENT ORGANIZATION,124 S MAIN ST,MOORELAND,OK,73852,(580) 994-5454,-99.204819,36.43362,"(36.43362, -99.204819)"
OOLOGAH CHAMBER OF COMMERCE,148 W COOWEESCOOWEE AVE,OOLOGAH,OK,74053,(918) 443-2790,-95.706683,36.447177,"(36.447177, -95.706683)"
FORT COBB CHAMBER OF COMMERCE,201 MAIN,FORT COBB,OK,73038,(405) 643-2682,-98.434969,35.09757,"(35.09757, -98.434969)"
SKIATOOK CHAMBER OF COMMERCE,304 E ROGERS BLVD,SKIATOOK,OK,74070,(918) 396-3702,-95.998657,36.368394,"(36.368394, -95.998657)"
STILLWATER CHAMBER OF COMMERCE,409 S MAIN ST,STILLWATER,OK,74074,(405) 372-5573,-97.058514,36.11769,"(36.11769, -97.058514)"
HARRAH CHAMBER OF COMMERCE,1971 CHURCH AVE,HARRAH,OK,73045,(405) 454-2190,-97.162552,35.488376,"(35.488376, -97.162552)"
MULDROW CHAMBER OF COMMERCE,100 N MAIN ST,MULDROW,OK,74948,(918) 427-7668,-94.599448,35.411422,"(35.411422, -94.599448)"
CHAMBER OF COMMERCE,301 E CHEROKEE AVE,SALLISAW,OK,74955,(918) 775-2558,-94.786984,35.460765,"(35.460765, -94.786984)"
NEWKIRK CHAMBER OF COMMERCE,114 S MAIN ST,NEWKIRK,OK,74647,(580) 362-2155,-97.053449,36.88211,"(36.88211, -97.053449)"
CHAMBER OF COMMERCE,410 COLLEGE AVE,ALVA,OK,73717,(580) 327-1647,-98.666724,36.804709,"(36.804709, -98.666724)"
HENRYETTA CHAMBER OF COMMERCE,115 S 4TH ST,HENRYETTA,OK,74437,(918) 652-3331,-95.985949,35.439559,"(35.439559, -95.985949)"
JOHNSTON COUNTY CHAMBER OF COMMERCE,106 W MAIN ST,TISHOMINGO,OK,73460,(580) 371-2175,-96.677323,34.234883,"(34.234883, -96.677323)"
BLACKWELL CHAMBER OF COMMERCE,120 S MAIN ST,BLACKWELL,OK,74631,(580) 363-4195,-97.282854,36.804039,"(36.804039, -97.282854)"
CHAMBER OF COMMERCE-GLENPOOL,494 E 141ST PL,GLENPOOL,OK,74033,(918) 322-3505,-96.001838,35.957904,"(35.957904, -96.001838)"
ADA INDUSTRIAL DEVELOPMENT CORP INC,300 W MAIN ST,ADA,OK,74820,(580) 332-2506,-96.682069,34.774577,"(34.774577, -96.682069)"
OWASSO CHAMBER OF COMMERCE,315 S CEDAR ST,OWASSO,OK,74055,(918) 272-2141,-95.852344,36.262815,"(36.262815, -95.852344)"
DAVENPORT CHAMBER OF COMMERCE,PO BOX 66,DAVENPORT,OK,74026,(918) 377-2241,-96.76502,35.716943,"(35.716943, -96.76502)"
WILBURTON CHAMBER OF COMMERCE,302 W MAIN ST,WILBURTON,OK,74578,(918) 465-2759,-95.313623,34.918557,"(34.918557, -95.313623)"
OKEENE CHAMBER OF COMMERCE,116 W E ST,OKEENE,OK,73763,(580) 822-3005,-98.317444,36.11825,"(36.11825, -98.317444)"
ATOKA COUNTY CHAMBER OF COMMERCE,415 E COURT ST,ATOKA,OK,74525,(580) 889-2410,-96.12424,34.385103,"(34.385103, -96.12424)"
SOUTHWEST TULSA CHAMBER OF COMMERCE,4981 S UNION AVE,TULSA,OK,74107,(918) 446-7010,-96.011689,36.0884,"(36.0884, -96.011689)"
WATONGA CHAMBER OF COMMERCE,OR 623 5474,WATONGA,OK,73772,(580) 623-5452,-98.40835,35.846021,"(35.846021, -98.40835)"
SPENCER CHAMBER OF COMMERCE,8515 MAIN ST,SPENCER,OK,73084,(405) 771-9933,-97.379412,35.52284,"(35.52284, -97.379412)"
MIAMI CONVENTION AND VISITORS BUREAU,111 N MAIN ST,MIAMI,OK,74354,(918) 542-4481,-94.877684,36.876491,"(36.876491, -94.877684)"
JENKS CHAMBER OF COMMERCE,224 E A ST,JENKS,OK,74037,(918) 299-5005,-95.967983,36.023449,"(36.023449, -95.967983)"
FEDERAL CHAMBER OF TULSA,2448 E 81ST ST STE 5950,TULSA,OK,74137,(918) 388-2079,-95.952395,36.046199,"(36.046199, -95.952395)"
SEMINOLE CHAMBER OF COMMERCE,326 E EVANS AVE,SEMINOLE,OK,74868,(405) 382-3640,-96.668097,35.226638,"(35.226638, -96.668097)"
MOORE CHAMBER OF COMMERCE,305 W MAIN ST,MOORE,OK,73160,(405) 794-3400,-97.490114,35.338394,"(35.338394, -97.490114)"
PAWHUSKA CHAMBER OF COMMERCE,210 W MAIN ST,PAWHUSKA,OK,74056,(918) 287-1208,-96.341885,36.663459,"(36.663459, -96.341885)"
CATOOSA CHAMBER OF COMMERCE,650 S CHEROKEE ST,CATOOSA,OK,74015,(918) 266-6042,-95.75059,36.178537,"(36.178537, -95.75059)"
CHAMBER OF COMMERCE,321 N MAIN ST,EUFAULA,OK,74432,(918) 689-2791,-95.582567,35.288435,"(35.288435, -95.582567)"
PRYOR AREA CHAMBER OF COMMERCE,100 E GRAHAM AVE,PRYOR,OK,74361,(918) 825-0157,-95.31827,36.307983,"(36.307983, -95.31827)"
CHAMBER OF COMMERCE,PO BOX 504,LINDSAY,OK,73052,(405) 756-4312,-97.588369,34.82015,"(34.82015, -97.588369)"
CHAMBERS OF COMMERCE,204 E MAIN ST,STIGLER,OK,74462,(918) 967-8681,-95.124351,35.253766,"(35.253766, -95.124351)"
STATE CHAMBER OKLAHOMA'S ASSOCIATION OF BUSINESS & INDUSTRY THE,330 NE 10TH ST,OKLAHOMA CITY,OK,73104,(405) 235-3669,-97.506782,35.477909,"(35.477909, -97.506782)"
CHAMBERS OF COMMERCE,310 W BROADWAY ST,MUSKOGEE,OK,74401,(918) 682-2401,-95.371175,35.749648,"(35.749648, -95.371175)"
CAPITOL CHAMBER OF COMMERCE,4915 N LINCOLN BLVD,OKLAHOMA CITY,OK,73105,(405) 427-4444,-97.503463,35.520751,"(35.520751, -97.503463)"
MIDWEST CITY CHAMBER OF COMMERCE,5905 TROSPER RD,OKLAHOMA CITY,OK,73110,(405) 733-3801,-97.418797,35.443745,"(35.443745, -97.418797)"
CHAMBER OF COMMERCE,210 KENWOOD BLVD,ENID,OK,73701,(580) 237-2494,-97.881898,36.397806,"(36.397806, -97.881898)"
HOBART CHAMBER OF COMMERCE,106 W 4TH ST,HOBART,OK,73651,(580) 726-2553,-99.093381,35.024394,"(35.024394, -99.093381)"
DUNCAN CHAMBER OF COMMERCE & INDUSTRY,911 W WALNUT AVE,DUNCAN,OK,73533,(580) 255-3644,-97.958407,34.50315,"(34.50315, -97.958407)"
BEAVER COUNTY CHAMBER OF COMMERCE,33 W 2ND,BEAVER,OK,73932,(580) 625-4726,-100.559762,36.774041,"(36.774041, -100.559762)"
CHAMBER OF COMMERCE,804 MANVEL AVE,CHANDLER,OK,74834,(405) 258-0673,-96.880636,35.702509,"(35.702509, -96.880636)"
MARSHALL COUNTY CHAMBER OF COMMERCE,400 W OVERTON ST,MADILL,OK,73446,(580) 795-2431,-96.774024,34.091992,"(34.091992, -96.774024)"
SPIRO AREA CHAMBER OF COMMERCE,210 S MAIN ST,SPIRO,OK,74959,(918) 962-3816,-94.621034,35.239813,"(35.239813, -94.621034)"
GREATER OKLAHOMA CITY CHAMBER,189 W SHERIDAN AVE,OKLAHOMA CITY,OK,73102,(405) 297-8912,-97.516042,35.466596,"(35.466596, -97.516042)"
MUSTANG CHAMBER OF COMMERCE,1201 N MUSTANG RD,MUSTANG,OK,73064,(405) 376-2758,-97.724732,35.403007,"(35.403007, -97.724732)"
CHAMBERS OF COMMERCE,1971 CHURCH AVE,HARRAH,OK,73045,(405) 454-2190,-97.162552,35.488376,"(35.488376, -97.162552)"
CHAMBERS OF COMMERCE,109A N MAIN ST,MCLOUD,OK,74851,(405) 964-6566,-97.092084,35.436237,"(35.436237, -97.092084)"
CHAMBER OF COMMERCE,5 N 6TH ST,STILWELL,OK,74960,(918) 696-7845,-94.633347,35.815297,"(35.815297, -94.633347)"
GRAND LAKE AREA CHAMBER OF COMMERCE,959 N 3RD ST,LANGLEY,OK,74350,(918) 782-3214,-95.048484,36.46624,"(36.46624, -95.048484)"
SAYRE CHAMBER OF COMMERCE,117 N 4TH ST,SAYRE,OK,73662,(580) 928-3386,-99.640156,35.291551,"(35.291551, -99.640156)"
VALLIANT AREA CHAMBER OF COMMERCE AND AGRICULTURE,PO BOX 396,VALLIANT,OK,74764,(580) 933-5050,-95.069592,33.99841,"(33.99841, -95.069592)"
CHAMBER OF COMMERCE NOWATA AREA,126 S MAPLE ST,NOWATA,OK,74048,(918) 273-2301,-95.638341,36.699687,"(36.699687, -95.638341)"
CHAMBER OF COMMERCE,103 E BROADWAY ST,DRUMRIGHT,OK,74030,(918) 352-2204,-96.601472,35.988644,"(35.988644, -96.601472)"
COWETA CHAMBER OF COMMERCE,117 S BROADWAY,COWETA,OK,74429,(918) 486-2513,-95.65037,35.950708,"(35.950708, -95.65037)"
OKEMAH CHAMBER OF COMMERCE,407 W BROADWAY ST,OKEMAH,OK,74859,(918) 623-2440,-96.304946,35.431383,"(35.431383, -96.304946)"
CHAMBER OF COMMERCE,315 E MAIN ST,HEALDTON,OK,73438,(580) 229-0900,-97.480832,34.233133,"(34.233133, -97.480832)"
GUYMON CHAMBER OF COMMERCE,711 E HIGHWAY 3,GUYMON,OK,73942,(580) 338-3376,-101.465689,36.67492,"(36.67492, -101.465689)"
LAVERNE CHAMBER OF COMMERCE,106 S BROADWAY,LAVERNE,OK,73848,(580) 921-3612,-99.89384,36.709884,"(36.709884, -99.89384)"
CHECOTAH CHAMBER OF COMMERCE,201 N BROADWAY ST,CHECOTAH,OK,74426,(918) 473-1453,-95.522484,35.471156,"(35.471156, -95.522484)"
MAIN STREET PURCELL,302 W MAIN ST STE 106,PURCELL,OK,73080,(405) 527-6331,-97.362897,35.012156,"(35.012156, -97.362897)"
SAND SPRINGS CHAMBER OF COMMERCE,121 N MAIN ST,SAND SPRINGS,OK,74063,(918) 245-3221,-96.110035,36.13766,"(36.13766, -96.110035)"
FORT GIBSON CHAMBER OF COMMERCE,112 N LEE,FORT GIBSON,OK,74434,(918) 478-4780,-95.250338,35.797285,"(35.797285, -95.250338)"
CANTON CHAMBER OF COMMERCE,W MAIN ST,CANTON,OK,73724,(580) 886-2216,-98.593194,36.053491,"(36.053491, -98.593194)"
CHAMBERS OF COMMERCE,301 S GRANT AVE,WAGONER,OK,74467,(918) 485-3414,-95.392449,35.958257,"(35.958257, -95.392449)"
CHAMBERS OF COMMERCE,210 S MAIN ST,SPIRO,OK,74959,(918) 962-3816,-94.621034,35.239813,"(35.239813, -94.621034)"
GREER COUNTY CHAMBER OF COMMERCE,222 W JEFFERSON ST,MANGUM,OK,73554,(580) 782-2444,-99.507634,34.873542,"(34.873542, -99.507634)"
STROUD CHAMBER OF COMMERCE,216 W MAIN ST,STROUD,OK,74079,(918) 968-3321,-96.65543,35.74889,"(35.74889, -96.65543)"
CLINTON CHAMBER OF COMMERCE,101 S 4TH ST,CLINTON,OK,73601,(580) 323-2222,-98.964671,35.514296,"(35.514296, -98.964671)"
CHAMBER OF COMMERCE,100 E MAIN ST,DAVIS,OK,73030,(580) 369-2402,-97.121667,34.503591,"(34.503591, -97.121667)"
NORTHWEST CHAMBER OF COMMERCE,7440 NW 39TH EXPY,BETHANY,OK,73008,(405) 789-1256,-97.643687,35.514356,"(35.514356, -97.643687)"
KINGFISHER CHAMBER OF COMMERCE,123 W MILES AVE,KINGFISHER,OK,73750,(405) 375-4445,-97.933055,35.861834,"(35.861834, -97.933055)"
SHATTUCK CHAMBER OF COMMERCE,115 S MAIN ST,SHATTUCK,OK,73858,(580) 938-2818,-99.881704,36.275849,"(36.275849, -99.881704)"
COMMERCE & TOURISM,221 W CHICKASHA AVE,CHICKASHA,OK,73018,(405) 224-0787,-97.934387,35.051016,"(35.051016, -97.934387)"
CHAMBER OF COMMERCE-GREATER SHAWNEE AREA,131 N BELL AVE,SHAWNEE,OK,74801,(405) 273-6092,-96.922011,35.327881,"(35.327881, -96.922011)"
CHAMBERS OF COMMERCE,MUSTANG RD & SH 152,MUSTANG,OK,73064,(405) 376-2758,-97.724569,35.39168,"(35.39168, -97.724569)"
CHAMBERS OF COMMERCE,1971 CHURCH AVE,HARRAH,OK,73045,(405) 454-2190,-97.162552,35.488376,"(35.488376, -97.162552)"
MARLOW CHAMBER OF COMMERCE,223 W MAIN ST,MARLOW,OK,73055,(580) 658-2212,-97.956737,34.647818,"(34.647818, -97.956737)"
DEL CITY CHAMBER OF COMMERCE,4505 SE 15TH ST,OKLAHOMA CITY,OK,73115,(405) 677-1910,-97.436935,35.449823,"(35.449823, -97.436935)"
CORDELL CHAMBER OF COMMERCE,116 S COLLEGE ST,CORDELL,OK,73632,(580) 832-3538,-98.990385,35.290783,"(35.290783, -98.990385)"
WOODWARD CHAMBER OF COMMERCE,1006 OKLAHOMA AVE,WOODWARD,OK,73801,(580) 256-7411,-99.392104,36.433763,"(36.433763, -99.392104)"
CHAMBER OF COMMERCE,105 S MAIN ST,FREDERICK,OK,73542,(580) 335-2126,-99.01719,34.389431,"(34.389431, -99.01719)"
CHAMBER OF COMMERCE,116 N BROADWAY ST,WALTERS,OK,73572,(580) 875-3335,-98.309034,34.358239,"(34.358239, -98.309034)"
CHAMBER OF COMMERCE CLAREMORE,419 W WILL ROGERS BLVD,CLAREMORE,OK,74017,(918) 341-2818,-95.614148,36.311653,"(36.311653, -95.614148)"
CHAMBER OF COMMERCE,114 E ROBERT S KERR BLVD,WYNNEWOOD,OK,73098,(405) 665-4466,-97.170117,34.642912,"(34.642912, -97.170117)"
MCLOUD CHAMBER OF COMMERCE,109A N MAIN ST,MCLOUD,OK,74851,(405) 964-6566,-97.092084,35.436237,"(35.436237, -97.092084)"
CHAMBER OF COMMERCE,516 W KENTUCKY AVE,ANADARKO,OK,73005,(405) 247-6651,-98.250503,35.071256,"(35.071256, -98.250503)"
CHAMBER OF COMMERCE,202 N MAIN ST,WETUMKA,OK,74883,(405) 452-3237,-96.241724,35.238501,"(35.238501, -96.241724)"
PERRY CHAMBER OF COMMERCE,300 N 6TH ST,PERRY,OK,73077,(580) 336-4684,-97.285635,36.286209,"(36.286209, -97.285635)"
DURANT CHAMBER OF COMMERCE,215 N 4TH AVE,DURANT,OK,74701,(580) 924-0848,-96.379447,33.993038,"(33.993038, -96.379447)"
CHAMBER OF COMMERCE-WEWOKA,101 W PARK ST,WEWOKA,OK,74884,(405) 257-5485,-96.491213,35.160954,"(35.160954, -96.491213)"
CHAMBER OF COMMERCE OF NORMAN,115 E GRAY ST,NORMAN,OK,73069,(405) 321-7260,-97.443647,35.222159,"(35.222159, -97.443647)"
SOUTH OKLAHOMA CITY CHAMBER OF COMMERCE,701 W I 240 SERVICE RD,OKLAHOMA CITY,OK,73139,(405) 634-1436,-97.525477,35.39181,"(35.39181, -97.525477)"
CHAMBER OF COMMERCE WEATHERFORD,522 W RAINEY AVE,WEATHERFORD,OK,73096,(580) 772-7744,-98.713474,35.524834,"(35.524834, -98.713474)"
HEAVENER CHAMBER OF COMMERCE,501 W 1ST ST,HEAVENER,OK,74937,(918) 653-4303,-94.603382,34.889256,"(34.889256, -94.603382)"
CHAMBER OF COMMERCE,212 W OKLAHOMA AVE,GUTHRIE,OK,73044,(405) 282-1947,-97.426761,35.878148,"(35.878148, -97.426761)"
GREATER OKLAHOMA CITY CHAMBER,123 PARK AVE,OKLAHOMA CITY,OK,73102,(405) 297-8900,-97.51501,35.468874,"(35.468874, -97.51501)"
EDMOND AREA CHAMBER OF COMMERCE,825 E 2ND ST STE 100,EDMOND,OK,73034,(405) 341-2808,-97.469524,35.652916,"(35.652916, -97.469524)"
CHAMBER OF COMMERCE,114 N BROADWAY ST,TECUMSEH,OK,74873,(405) 598-8666,-96.936642,35.2579,"(35.2579, -96.936642)"
TALIHINA CHAMBER OF COMMERCE,TALIHINA,TALIHINA,OK,74571,(918) 567-3434,-95.047369,34.75201,"(34.75201, -95.047369)"
MCALESTER CHAMBER OF COMMERCE,345 E ADAMS AVE,MCALESTER,OK,74501,(918) 423-2550,-95.76545,34.934877,"(34.934877, -95.76545)"
MIAMI AREA CHAMBER OF COMMERCE,PO BOX 760,MIAMI,OK,74355,(918) 542-4481,-94.880049,36.87249,"(36.87249, -94.880049)"
LAWTON FT SILL CHAMBER OF COMMERCE INDUSTRY,629 SW C AVE,LAWTON,OK,73501,(580) 355-3541,-98.39735,34.605364,"(34.605364, -98.39735)"
