_Household_ID,Date_Added,Housing_Type,Household_Type,Household_Size,Annual_Income,ZIP_Code,OBJECTID
244348,2/9/2021 21:08,Rent/Non-Subsidized,Single Parent Female,2.0,$600 ,40118.0,136
244895,2/15/2021 18:21,Rent/Non-Subsidized,Single Parent Female,2.0,$0 ,40118.0,137
244929,2/16/2021 16:08,Rent/Non-Subsidized,Multigenerational Household,7.0,"$42,336 ",40118.0,138
245743,2/22/2021 17:08,Rent/Non-Subsidized,Single Parent Male,1.0,$0 ,40118.0,139
245983,2/23/2021 15:08,Rent/Non-Subsidized,Two Adults No Children,2.0,"$39,860.04 ",40118.0,140
247590,3/2/2021 19:22,Rent/Non-Subsidized,Single Parent Female,3.0,"$15,600 ",40118.0,141
247966,3/3/2021 21:20,Rent/Subsidized,Single Parent Female,1.0,"$10,092 ",40118.0,142
250844,3/19/2021 19:10,Owns Home,Two Adults No Children,2.0,"$16,380 ",40118.0,143
250873,3/19/2021 20:46,Rent/Non-Subsidized,Single Parent Male,4.0,$0 ,40118.0,144
251251,3/23/2021 18:11,Rent/Non-Subsidized,Single Parent Female,5.0,"$2,580 ",40118.0,145
252887,4/8/2021 14:26,Rent/Non-Subsidized,Single Parent Female,3.0,$0 ,40118.0,146
253762,4/16/2021 17:37,Rent/Non-Subsidized,Single Parent Female,2.0,"$13,537.56 ",40118.0,147
254289,4/27/2021 13:38,Owns Home,Single Parent Female,3.0,"$4,800 ",40118.0,148
256079,5/18/2021 19:18,Rent/Non-Subsidized,Single Parent Female,4.0,"$27,480 ",40118.0,149
258706,6/15/2021 16:14,Rent/Non-Subsidized,Single Parent Male,3.0,$0 ,40118.0,150
259059,6/17/2021 18:40,Rent/Non-Subsidized,Single Parent Female,3.0,$0 ,40118.0,151
260822,6/30/2021 19:11,Owns Home,Two Adults No Children,2.0,"$24,564 ",40118.0,152
261120,7/7/2021 14:27,Rent/Non-Subsidized,Single Parent Female,3.0,"$28,146 ",40118.0,153
263798,8/2/2021 21:47,Rent/Non-Subsidized,Single Parent Female,3.0,$0 ,40118.0,154
264368,8/5/2021 18:05,Rent/Non-Subsidized,Single Parent Male,2.0,$0 ,40118.0,155
266413,8/19/2021 14:11,Rent/Non-Subsidized,Two Parent Household,3.0,"$22,803 ",40118.0,156
268378,9/1/2021 13:24,Rent/Non-Subsidized,Single Parent Male,3.0,"$30,949.56 ",40118.0,157
269411,9/9/2021 12:21,Rent/Non-Subsidized,Single Parent Female,3.0,"$1,596 ",40118.0,158
269687,9/10/2021 14:50,Rent/Non-Subsidized,Single Parent Female,3.0,"$10,800 ",40118.0,159
269838,9/13/2021 13:52,Rent/Non-Subsidized,Other,2.0,"$16,200 ",40118.0,160
272256,9/28/2021 15:26,Rent/Non-Subsidized,Single Parent Female,3.0,"$24,900 ",40118.0,161
272711,9/30/2021 14:36,Rent/Non-Subsidized,Single Parent Female,3.0,"$15,000 ",40118.0,162
273242,10/4/2021 20:31,Rent/Non-Subsidized,Two Parent Household,3.0,"$9,000 ",40118.0,163
273574,10/6/2021 18:10,Rent/Non-Subsidized,Single Parent Female,2.0,"$1,690.56 ",40118.0,164
274288,10/12/2021 15:07,Rent/Non-Subsidized,Single Parent Female,2.0,"$10,092 ",40118.0,165
274359,10/12/2021 17:49,Rent/Non-Subsidized,Single Parent Female,5.0,"$15,420 ",40118.0,166
274459,10/13/2021 13:41,Rent/Non-Subsidized,Two Adults No Children,2.0,"$25,920 ",40118.0,167
276309,10/25/2021 20:12,Rent/Non-Subsidized,Two Parent Household,5.0,"$26,784 ",40118.0,168
276894,10/28/2021 18:16,Rent/Non-Subsidized,Two Parent Household,3.0,"$31,618.32 ",40118.0,169
279166,11/12/2021 18:35,Rent/Non-Subsidized,Single Parent Female,3.0,"$20,700 ",40118.0,170
279528,11/16/2021 14:19,Rent/Non-Subsidized,Single Parent Female,2.0,"$18,971.64 ",40118.0,171
280108,11/18/2021 15:21,Rent/Non-Subsidized,Single Parent Female,2.0,"$5,928 ",40118.0,172
281091,11/24/2021 15:12,Rent/Non-Subsidized,Two Parent Household,3.0,"$21,000 ",40118.0,173
282308,12/3/2021 13:37,Rent/Non-Subsidized,Single Parent Female,2.0,$0 ,40118.0,174
282452,12/3/2021 18:06,Rent/Subsidized,Single Parent Female,3.0,"$26,700 ",40118.0,175
283336,12/8/2021 17:56,Rent/Non-Subsidized,Non-related Adults with Children,5.0,"$27,893.64 ",40118.0,176
284510,12/15/2021 15:16,Rent/Non-Subsidized,Two Adults No Children,2.0,"$19,296 ",40118.0,177
286153,1/12/2022 19:15,Rent/Non-Subsidized,Non-related Adults with Children,4.0,"$39,420 ",40118.0,178
292466,2/23/2022 14:21,Rent/Non-Subsidized,Two Adults No Children,2.0,"$9,972 ",40118.0,179
292776,2/24/2022 15:54,Rent/Non-Subsidized,Two Parent Household,5.0,"$10,704 ",40118.0,180
293547,3/1/2022 14:50,Rent/Non-Subsidized,Single Parent Female,2.0,"$39,492 ",40118.0,181
295344,3/10/2022 21:41,Rent/Non-Subsidized,Two Parent Household,6.0,"$18,720 ",40118.0,182
302370,5/27/2022 15:28,Rent/Non-Subsidized,Single Parent Female,3.0,"$14,460 ",40118.0,183
30271,10/18/2018 13:00,Rent/Non-Subsidized,Single Parent Female,4.0,"$19,404 ",40118.0,184
302778,6/2/2022 19:39,Rent/Non-Subsidized,Single Parent Female,4.0,"$20,052 ",40118.0,185
303045,6/7/2022 12:35,Rent/Subsidized,Single Parent Male,4.0,"$23,044.68 ",40118.0,186
311232,11/4/2022 18:57,Rent/Non-Subsidized,Single Parent Female,6.0,$0 ,40118.0,187
314943,11/30/2022 20:39,Rent/Non-Subsidized,Single Parent Female,2.0,$0 ,40118.0,188
315663,12/5/2022 20:31,Owns Home,Multigenerational Household,3.0,"$26,064 ",40118.0,189
316516,12/8/2022 20:00,Rent/Non-Subsidized,Single Parent Male,2.0,$0 ,40118.0,190
316604,12/9/2022 15:22,Owns Home,Two Adults No Children,2.0,$0 ,40118.0,191
322986,2/7/2023 15:45,Rent/Non-Subsidized,Single Parent Female,3.0,$0 ,40118.0,192
324672,2/20/2023 19:25,Rent/Subsidized,Single Parent Female,4.0,$0 ,40118.0,193
326582,3/9/2023 14:39,Rent/Subsidized,Single Parent Female,2.0,"$4,608 ",40118.0,194
326989,3/14/2023 13:19,Rent/Non-Subsidized,Multigenerational Household,4.0,"$20,544 ",40118.0,195
328565,3/29/2023 19:19,Owns Home,Single Parent Female,3.0,"$24,778.92 ",40118.0,196
328881,4/3/2023 17:41,Rent/Non-Subsidized,Single Parent Female,3.0,,40118.0,197
335289,7/27/2023,Rent/Non-Subsidized,Single Parent Female,2.0,$0 ,40118.0,198
336007,8/3/2023,Rent/Non-Subsidized,Multigenerational Household,3.0,"$7,140 ",40118.0,199
339237,9/1/2023,Rent/Subsidized,Single Parent Female,3.0,$0 ,40118.0,200
339280,9/5/2023,Rent/Non-Subsidized,Single Parent Female,2.0,"$12,981.84 ",40118.0,201
340750,9/20/2023,Rent/Non-Subsidized,Single Parent Female,2.0,"$12,000 ",40118.0,202
340926,9/22/2023,Owns Home,Two Parent Household,4.0,"$15,156 ",40118.0,203
42092,10/30/2018 15:26,Owns Home,Single Parent Male,3.0,"$10,044 ",40118.0,204
43758,10/31/2018 17:21,Rent/Non-Subsidized,Two Adults No Children,2.0,"$9,936 ",40118.0,205
45196,11/1/2018 19:07,Owns Home,Single Parent Female,2.0,"$8,436 ",40118.0,206
48929,11/6/2018 19:09,Rent/Subsidized,Two Parent Household,4.0,"$2,628 ",40118.0,207
49381,11/6/2018 21:28,Rent/Non-Subsidized,Single Parent Female,4.0,"$10,092 ",40118.0,208
51033,11/7/2018 18:41,Rent/Subsidized,Single Parent Female,3.0,"$6,468 ",40118.0,209
52045,11/8/2018 14:31,Rent/Non-Subsidized,Single Parent Female,2.0,"$34,752 ",40118.0,210
54202,11/9/2018 14:49,Rent/Subsidized,Single Parent Female,3.0,"$15,456 ",40118.0,211
55838,11/12/2018 14:57,Rent/Non-Subsidized,Single Parent Female,4.0,"$14,976 ",40118.0,212
56107,11/12/2018 21:10,Rent/Non-Subsidized,Two Adults No Children,1.0,"$11,040 ",40118.0,213
59261,11/13/2018 20:25,Rent/Non-Subsidized,Single Parent Female,3.0,$0 ,40118.0,214
64879,11/16/2018 18:54,Rent/Subsidized,Single Parent Female,2.0,"$32,040 ",40118.0,215
67273,11/19/2018 20:07,Owns Home,Multigenerational Household,4.0,"$26,820 ",40118.0,216
67361,11/19/2018 20:27,Rent/Non-Subsidized,Two Parent Household,6.0,"$42,384 ",40118.0,217
67518,11/19/2018 21:19,Rent/Non-Subsidized,Single Parent Female,2.0,$0 ,40118.0,218
69401,11/20/2018 20:22,Rent/Subsidized,Two Parent Household,3.0,"$25,236 ",40118.0,219
70556,11/21/2018 20:04,Rent/Non-Subsidized,Single Parent Female,2.0,"$8,988 ",40118.0,220
72145,11/26/2018 15:03,Rent/Non-Subsidized,Single Parent Female,6.0,"$5,184 ",40118.0,221
80522,12/3/2018 14:54,Owns Home,Single Parent Female,3.0,"$16,272 ",40118.0,222
83388,12/4/2018 20:01,Rent/Non-Subsidized,Single Parent Female,3.0,"$10,380 ",40118.0,223
83586,12/4/2018 22:19,Rent/Non-Subsidized,Single Parent Female,6.0,"$14,520.96 ",40118.0,224
83954,12/5/2018 14:54,Rent/Subsidized,Single Parent Female,4.0,$0 ,40118.0,225
S1302993404HH,,Unknown,Unknown,1.0,$0 ,40118.0,226
S1304105645HH,,Unknown,Lives with spouse,2.0,"$32,232 ",40118.0,227
S1305648988HH,,Unknown,Lives with spouse,2.0,"$12,000 ",40118.0,228
S1306103798HH,,Unknown,Lives with spouse,2.0,$0 ,40118.0,229
S1308597040HH,,Unknown,Other than family members over 65,2.0,"$51,600 ",40118.0,230
S1308617186HH,,Unknown,Other,3.0,"$34,656 ",40118.0,231
S1309446311HH,,Unknown,Lives with spouse,2.0,"$32,232 ",40118.0,232
S1310441738HH,,Unknown,Lives with spouse,2.0,"$25,440 ",40118.0,233
S1320520854HH,,Unknown,Lives with spouse,2.0,"$11,940 ",40118.0,234
S1321610313HH,,Unknown,Lives with spouse,2.0,"$24,000 ",40118.0,235
S1325396335HH,,Unknown,Lives with spouse,2.0,"$54,900 ",40118.0,236
S1331435948HH,,Unknown,Spouse under 65,2.0,"$14,724 ",40118.0,237
S1333968417HH,,Unknown,Spouse over 65,1.0,$0 ,40118.0,238
S1335547918HH,,Unknown,Other,3.0,"$34,560 ",40118.0,239
S1339407956HH,,Unknown,Lives with spouse,2.0,"$23,040 ",40118.0,240
S1340414714HH,,Unknown,Lives with spouse,2.0,"$24,000 ",40118.0,241
S1342864173HH,,Unknown,Lives with children,4.0,"$12,000 ",40118.0,242
S1349524962HH,,Unknown,Lives with spouse,2.0,"$36,000 ",40118.0,243
S1350969547HH,,Unknown,Unknown,,,40118.0,244
S1351430422HH,,Unknown,Lives with adult relative,3.0,"$17,256 ",40118.0,245
S1354502445HH,,Unknown,Lives with spouse,2.0,"$36,000 ",40118.0,246
S1355855089HH,,Unknown,Lives with spouse,2.0,"$24,000 ",40118.0,247
S1361179947HH,,Unknown,Lives with spouse,2.0,"$28,800 ",40118.0,248
S1363956665HH,,Unknown,Unknown,,,40118.0,249
S1368809020HH,,Unknown,Lives with spouse,2.0,"$33,600 ",40118.0,250
S1369931598HH,,Unknown,Unknown,,,40118.0,251
S1370704287HH,,Unknown,Lives with children,2.0,"$12,144 ",40118.0,252
S1373211204HH,,Unknown,Spouse over 65,2.0,"$14,724 ",40118.0,253
S1381213760HH,,Unknown,Spouse under 65,2.0,"$16,464 ",40118.0,254
S1394704809HH,,Unknown,Lives with spouse,2.0,$0 ,40118.0,255
S304412088HH,,Rents Home,Lives with adult relative,2.0,"$10,800 ",40118.0,256
104377,1/14/2019 21:18,Rent/Non-Subsidized,Single Person,1.0,"$10,620 ",40118.0,257
108638,1/23/2019 18:32,Rent/Non-Subsidized,Single Person,1.0,$0 ,40118.0,258
11047,9/25/2018 17:31,Rent/Non-Subsidized,Single Person,1.0,"$11,208 ",40118.0,259
110770,1/28/2019 18:28,Rent/Non-Subsidized,Single Person,1.0,"$11,040 ",40118.0,260
112035,1/30/2019 19:26,Owns Home,Single Person,1.0,"$13,596 ",40118.0,261
112182,1/30/2019 22:22,Owns Home,Single Person,1.0,$0 ,40118.0,262
113995,2/5/2019 16:09,Owns Home,Single Person,1.0,"$14,940 ",40118.0,263
115438,2/8/2019 16:28,Rent/Non-Subsidized,Single Person,1.0,$0 ,40118.0,264
116575,2/12/2019 19:49,Owns Home,Single Person,1.0,"$13,752 ",40118.0,265
118368,2/19/2019 19:49,Rent/Non-Subsidized,Single Person,1.0,$0 ,40118.0,266
120569,2/27/2019 15:49,Owns Home,Single Person,1.0,"$17,652 ",40118.0,267
121956,3/5/2019 18:44,Owns Home,Single Person,1.0,"$9,000 ",40118.0,268
124488,3/19/2019 12:51,Owns Home,Single Person,1.0,"$11,820 ",40118.0,269
126277,3/28/2019 12:35,Rent/Non-Subsidized,Single Person,1.0,$0 ,40118.0,270
126292,3/28/2019 13:28,Rent/Non-Subsidized,Single Person,1.0,$0 ,40118.0,271
130972,4/19/2019 15:08,Rent/Non-Subsidized,Single Person,1.0,$0 ,40118.0,272
142249,8/29/2019 11:31,Rent/Non-Subsidized,Single Person,1.0,$0 ,40118.0,273
151851,10/24/2019 19:39,Rent/Non-Subsidized,Single Person,3.0,"$29,832 ",40118.0,274
151883,10/25/2019 12:16,Rent/Non-Subsidized,Single Person,1.0,"$10,452 ",40118.0,275
152212,10/28/2019 17:44,Owns Home,Single Person,1.0,"$10,236 ",40118.0,276
153008,10/31/2019 13:36,Owns Home,Single Person,1.0,"$15,036 ",40118.0,277
153669,11/4/2019 15:55,Owns Home,Single Person,1.0,$0 ,40118.0,278
155533,11/7/2019 19:32,Owns Home,Single Person,1.0,"$10,092 ",40118.0,279
157856,11/14/2019 18:13,Owns Home,Single Person,1.0,"$13,284 ",40118.0,280
160440,11/20/2019 20:52,Rent/Non-Subsidized,Single Person,1.0,"$12,552 ",40118.0,281
166827,12/10/2019 15:03,Rent/Non-Subsidized,Single Person,1.0,$0 ,40118.0,282
177137,1/31/2020 14:22,Rent/Non-Subsidized,Single Person,1.0,"$11,688 ",40118.0,283
181818,2/12/2020 20:05,Owns Home,Single Person,1.0,"$9,768 ",40118.0,284
184437,2/26/2020 19:48,Rent/Non-Subsidized,Single Person,1.0,"$11,928 ",40118.0,285
184775,2/28/2020 18:37,Rent/Non-Subsidized,Single Person,1.0,"$10,332 ",40118.0,286
185604,3/5/2020 18:53,Rent/Non-Subsidized,Single Person,4.0,"$31,200 ",40118.0,287
